,QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
380,4,2:49.0,,E. İlyasova makes free throw 2 of 2,108,107
381,4,2:30.0,N. Vučević misses 3-pt jump shot from 25 ft,,108,107
382,4,2:28.0,,Defensive rebound by Team,108,107
383,4,2:28.0,,K. Bazemore enters the game for T. Cavanaugh,108,107
384,4,2:12.0,,D. Schröder misses 2-pt layup from 1 ft,108,107
385,4,2:09.0,Defensive rebound by N. Vučević,,108,107
386,4,1:48.0,M. Hezonja misses 3-pt jump shot from 24 ft,,108,107
387,4,1:44.0,,Defensive rebound by K. Bazemore,108,107
388,4,1:33.0,,Shooting foul by N. Vučević (drawn by E. İlyasova),108,107
389,4,1:33.0,,E. İlyasova makes free throw 1 of 2,108,108
390,4,1:33.0,,D. Bembry enters the game for M. Belinelli,108,108
391,4,1:33.0,D. Augustin enters the game for M. Hezonja,,108,108
392,4,1:33.0,,E. İlyasova misses free throw 2 of 2,108,108
393,4,1:30.0,Defensive rebound by N. Vučević,,108,108
394,4,1:12.0,N. Vučević makes 2-pt layup from 4 ft (assist by J. Simmons),,110,108
395,4,1:06.0,,Atlanta full timeout,110,108
396,4,1:06.0,,M. Belinelli enters the game for D. Bembry,110,108
397,4,0:56.0,,Shooting foul by E. Payton (drawn by D. Schröder),110,108
398,4,0:56.0,,D. Schröder makes free throw 1 of 2,110,109
399,4,0:56.0,,D. Bembry enters the game for M. Belinelli,110,109
400,4,0:56.0,,D. Schröder makes free throw 2 of 2,110,110
401,4,0:45.0,,Loose ball foul by K. Bazemore (drawn by J. Simmons),110,110
402,4,0:45.0,Orlando full timeout,,110,110
403,4,0:37.0,Turnover by J. Simmons (bad pass; steal by K. Bazemore),,110,110
404,4,0:36.0,,K. Bazemore makes 2-pt dunk at rim,110,112
405,4,0:23.0,S. Mack misses 3-pt jump shot from 22 ft (block by T. Prince),,110,112
406,4,0:21.0,,Defensive rebound by K. Bazemore,110,112
407,4,0:21.0,,Personal take foul by N. Vučević (drawn by K. Bazemore),110,112
408,4,0:21.0,,K. Bazemore makes free throw 1 of 2,110,113
409,4,0:21.0,,K. Bazemore makes free throw 2 of 2,110,114
410,4,0:21.0,Orlando full timeout,,110,114
411,4,0:19.0,Turnover by E. Payton (bad pass; steal by K. Bazemore),,110,114
412,4,0:18.0,,K. Bazemore makes 2-pt dunk from 1 ft,110,116
413,4,0:13.0,E. Payton misses 3-pt jump shot from 25 ft,,110,116
414,4,0:09.0,,Defensive rebound by T. Prince,110,116
415,4,0:09.0,,Personal take foul by S. Mack (drawn by D. Schröder),110,116
416,4,0:09.0,,D. Schröder makes free throw 1 of 2,110,117
417,4,0:09.0,,T. Cavanaugh enters the game for E. İlyasova,110,117
418,4,0:09.0,,D. Schröder misses free throw 2 of 2,110,117
419,4,0:07.0,Defensive rebound by S. Mack,,110,117
420,4,0:03.0,J. Simmons misses 3-pt jump shot from 25 ft,,110,117
421,4,0:03.0,,Defensive rebound by T. Cavanaugh,110,117
