,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
120,2,8:14.0,,Offensive foul by K. O'Quinn (drawn by J. Crawford),41,27
121,2,8:14.0,,Turnover by K. O'Quinn (offensive foul),41,27
122,2,7:55.0,K. Towns misses 2-pt jump shot from 12 ft,,41,27
123,2,7:49.0,Offensive rebound by N. Bjelica,,41,27
124,2,7:49.0,N. Bjelica makes 2-pt layup at rim,,43,27
125,2,7:42.0,,T. Burke misses 2-pt jump shot from 7 ft,43,27
126,2,7:35.0,,Offensive rebound by T. Williams,43,27
127,2,7:35.0,,T. Williams makes 2-pt layup at rim,43,29
128,2,7:29.0,Personal foul by T. Williams (drawn by G. Dieng),,43,29
129,2,7:29.0,,M. Beasley enters the game for L. Kornet,43,29
130,2,7:22.0,Turnover by G. Dieng (offensive goaltending),,43,29
131,2,7:06.0,,T. Williams misses 3-pt jump shot from 25 ft,43,29
132,2,7:02.0,Defensive rebound by J. Crawford,,43,29
133,2,6:54.0,Personal foul by T. Williams (drawn by K. Towns),,43,29
134,2,6:54.0,T. Gibson enters the game for T. Jones,,43,29
135,2,6:54.0,J. Teague enters the game for G. Dieng,,43,29
136,2,6:49.0,Personal foul by F. Ntilikina (drawn by T. Gibson),,43,29
137,2,6:35.0,J. Crawford misses 2-pt jump shot from 22 ft,,43,29
138,2,6:33.0,,Defensive rebound by M. Beasley,43,29
139,2,6:27.0,,T. Williams misses 2-pt layup from 1 ft (block by K. Towns),43,29
140,2,6:23.0,,Offensive rebound by K. O'Quinn,43,29
141,2,6:23.0,,K. O'Quinn makes 2-pt layup from 2 ft,43,31
142,2,6:06.0,Turnover by J. Teague (lost ball; steal by T. Williams),,43,31
143,2,6:02.0,,T. Burke makes 2-pt layup from 2 ft (assist by T. Williams),43,33
144,2,5:41.0,Shooting foul by K. O'Quinn (drawn by T. Gibson),,43,33
145,2,5:41.0,T. Gibson makes free throw 1 of 2,,44,33
146,2,5:41.0,,E. Freedom enters the game for K. O'Quinn,44,33
147,2,5:41.0,T. Gibson makes free throw 2 of 2,,45,33
148,2,5:26.0,,T. Burke misses 3-pt jump shot from 25 ft,45,33
149,2,5:21.0,Defensive rebound by K. Towns,,45,33
150,2,5:19.0,N. Bjelica makes 2-pt layup at rim (assist by J. Crawford),,47,33
151,2,5:19.0,,Violation by T. Williams (def goaltending),47,33
152,2,5:01.0,,F. Ntilikina misses 2-pt jump shot from 8 ft,47,33
153,2,4:59.0,,Offensive rebound by E. Freedom,47,33
154,2,4:59.0,,Shooting foul by N. Bjelica (drawn by E. Freedom),47,33
155,2,4:59.0,,E. Freedom makes free throw 1 of 2,47,34
156,2,4:59.0,,T. Hardaway enters the game for T. Williams,47,34
157,2,4:59.0,A. Wiggins enters the game for J. Crawford,,47,34
158,2,4:59.0,,E. Freedom misses free throw 2 of 2,47,34
159,2,4:57.0,Defensive rebound by N. Bjelica,,47,34
160,2,4:37.0,J. Teague misses 2-pt jump shot from 12 ft,,47,34
161,2,4:34.0,Offensive rebound by N. Bjelica,,47,34
162,2,4:34.0,Turnover by Team (shot clock),,47,34
163,2,4:23.0,,T. Hardaway makes 2-pt layup from 2 ft (assist by T. Burke),47,36
164,2,4:08.0,J. Teague misses 2-pt layup from 4 ft,,47,36
165,2,4:05.0,,Defensive rebound by E. Freedom,47,36
166,2,4:01.0,,F. Ntilikina misses 3-pt jump shot from 23 ft,47,36
167,2,3:55.0,Defensive rebound by N. Bjelica,,47,36
168,2,3:50.0,J. Teague misses 3-pt jump shot from 25 ft,,47,36
169,2,3:46.0,,Defensive rebound by F. Ntilikina,47,36
170,2,3:42.0,,M. Beasley makes 2-pt layup at rim (assist by T. Burke),47,38
171,2,3:38.0,Minnesota full timeout,,47,38
172,2,3:20.0,J. Teague makes 2-pt layup from 1 ft,,49,38
173,2,3:05.0,,Turnover by M. Beasley (bad pass; steal by N. Bjelica),49,38
174,2,2:54.0,A. Wiggins misses 3-pt jump shot from 24 ft,,49,38
175,2,2:52.0,Offensive rebound by Team,,49,38
176,2,2:42.0,A. Wiggins misses 2-pt hook shot from 4 ft,,49,38
177,2,2:41.0,Offensive rebound by Team,,49,38
178,2,2:41.0,,Loose ball foul by E. Freedom (drawn by T. Gibson),49,38
179,2,2:41.0,T. Gibson makes free throw 1 of 2,,50,38
180,2,2:41.0,T. Gibson makes free throw 2 of 2,,51,38
181,2,2:26.0,,F. Ntilikina makes 3-pt jump shot from 23 ft (assist by M. Beasley),51,41
182,2,2:26.0,,Shooting foul by T. Gibson (drawn by F. Ntilikina),51,41
183,2,2:26.0,,F. Ntilikina makes free throw 1 of 1,51,42
184,2,2:14.0,Shooting foul by M. Beasley (drawn by A. Wiggins),,51,42
