,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BROOKLYN_ACTION,SACRAMENTO_SCORE,BROOKLYN_SCORE
186,2,3:06.0,,R. Hollis-Jefferson makes free throw 2 of 2,54,38
187,2,3:01.0,Personal foul by R. Hollis-Jefferson (drawn by W. Cauley-Stein),,54,38
188,2,3:01.0,W. Cauley-Stein makes free throw 1 of 2,,55,38
189,2,3:01.0,W. Cauley-Stein makes free throw 2 of 2,,56,38
190,2,2:42.0,,R. Hollis-Jefferson makes 2-pt layup from 7 ft,56,40
191,2,2:42.0,,Shooting foul by Z. Randolph (drawn by R. Hollis-Jefferson),56,40
192,2,2:42.0,,C. LeVert enters the game for A. Crabbe,56,40
193,2,2:42.0,,R. Hollis-Jefferson makes free throw 1 of 1,56,41
194,2,2:26.0,W. Cauley-Stein makes 2-pt layup from 7 ft,,58,41
195,2,2:10.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),58,44
196,2,1:50.0,Z. Randolph makes 2-pt jump shot from 18 ft,,60,44
197,2,1:41.0,,C. LeVert makes 3-pt jump shot from 24 ft,60,47
198,2,1:17.0,Z. Randolph makes 2-pt jump shot from 17 ft,,62,47
199,2,0:59.0,,D. Carroll misses 3-pt jump shot from 26 ft,62,47
200,2,0:59.0,Defensive rebound by Z. Randolph,,62,47
201,2,0:47.0,W. Cauley-Stein makes 2-pt layup from 8 ft (assist by Z. Randolph),,64,47
202,2,0:35.0,,N. Stauskas misses 3-pt jump shot from 24 ft,64,47
203,2,0:35.0,Defensive rebound by G. Hill,,64,47
204,2,0:15.0,B. Bogdanović misses 2-pt layup from 6 ft,,64,47
205,2,0:12.0,,Defensive rebound by D. Carroll,64,47
206,2,0:06.0,,Personal foul by G. Hill (drawn by C. LeVert),64,47
207,2,0:04.0,,Shooting foul by W. Cauley-Stein (drawn by R. Hollis-Jefferson),64,47
208,2,0:04.0,,R. Hollis-Jefferson makes free throw 1 of 2,64,48
209,2,0:04.0,,R. Hollis-Jefferson misses free throw 2 of 2,64,48
210,2,0:02.0,,Offensive rebound by D. Carroll,64,48
211,2,0:00.0,,D. Carroll misses 2-pt jump shot from 4 ft,64,48
212,2,0:00.0,Defensive rebound by G. Hill,,64,48
213,3,11:42.0,G. Temple makes 2-pt jump shot from 18 ft,,66,48
214,3,11:26.0,,Shooting foul by G. Hill (drawn by S. Dinwiddie),66,48
215,3,11:26.0,,S. Dinwiddie makes free throw 1 of 2,66,49
216,3,11:26.0,,S. Dinwiddie makes free throw 2 of 2,66,50
217,3,11:07.0,B. Bogdanović makes 2-pt jump shot from 12 ft,,68,50
218,3,10:39.0,,A. Crabbe makes 2-pt jump shot from 7 ft (assist by S. Dinwiddie),68,52
219,3,10:19.0,Turnover by B. Bogdanović (bad pass; steal by A. Crabbe),,68,52
220,3,10:06.0,,A. Crabbe misses 3-pt jump shot from 26 ft,68,52
221,3,9:58.0,,Offensive rebound by D. Carroll,68,52
222,3,9:55.0,,R. Hollis-Jefferson misses 2-pt layup from 8 ft (block by Z. Randolph),68,52
223,3,9:55.0,Defensive rebound by Team,,68,52
224,3,9:30.0,Z. Randolph makes 2-pt jump shot from 9 ft,,70,52
225,3,9:16.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by D. Carroll),70,55
226,3,8:54.0,W. Cauley-Stein misses 2-pt jump shot from 7 ft,,70,55
227,3,8:52.0,,Defensive rebound by R. Hollis-Jefferson,70,55
228,3,8:45.0,,Shooting foul by B. Bogdanović (drawn by D. Carroll),70,55
229,3,8:45.0,,D. Carroll makes free throw 1 of 2,70,56
230,3,8:45.0,,D. Carroll makes free throw 2 of 2,70,57
231,3,8:24.0,W. Cauley-Stein misses 2-pt hook shot from 7 ft,,70,57
232,3,8:22.0,Offensive rebound by W. Cauley-Stein,,70,57
233,3,8:22.0,Shooting foul by R. Hollis-Jefferson (drawn by W. Cauley-Stein),,70,57
234,3,8:22.0,W. Cauley-Stein makes free throw 1 of 2,,71,57
235,3,8:22.0,W. Cauley-Stein misses free throw 2 of 2,,71,57
236,3,8:19.0,,Defensive rebound by T. Zeller,71,57
237,3,8:07.0,,D. Carroll makes 2-pt layup from 7 ft,71,59
238,3,8:00.0,Z. Randolph misses 3-pt jump shot from 28 ft,,71,59
239,3,7:56.0,,Defensive rebound by A. Crabbe,71,59
240,3,7:49.0,,Shooting foul by Z. Randolph (drawn by D. Carroll),71,59
241,3,7:49.0,,D. Carroll makes free throw 1 of 3,71,60
