,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
157,2,5:21.0,,E. Freedom misses 2-pt hook shot from 4 ft (block by M. Plumlee),32,32
158,2,5:19.0,Defensive rebound by D. Schröder,,32,32
159,2,5:03.0,T. Dorsey makes 2-pt jump shot from 8 ft,,34,32
160,2,4:43.0,,Turnover by E. Freedom (out of bounds lost ball),34,32
161,2,4:43.0,M. Belinelli enters the game for T. Dorsey,,34,32
162,2,4:43.0,J. Collins enters the game for M. Plumlee,,34,32
163,2,4:28.0,D. Schröder misses 2-pt layup from 2 ft (block by T. Hardaway),,34,32
164,2,4:25.0,,Defensive rebound by C. Lee,34,32
165,2,4:19.0,,T. Hardaway misses 3-pt jump shot from 26 ft,34,32
166,2,4:15.0,,Offensive rebound by K. Porziņģis,34,32
167,2,4:14.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,34,32
168,2,4:14.0,,Offensive rebound by T. Hardaway,34,32
169,2,4:10.0,,Personal foul by K. Bazemore (drawn by T. Hardaway),34,32
170,2,4:10.0,,K. O'Quinn enters the game for E. Freedom,34,32
171,2,4:10.0,M. Muscala enters the game for D. Dedmon,,34,32
172,2,4:02.0,,Shooting foul by K. Bazemore (drawn by T. Hardaway),34,32
173,2,4:02.0,,T. Hardaway makes free throw 1 of 2,34,33
174,2,4:02.0,,T. Hardaway makes free throw 2 of 2,34,34
175,2,3:46.0,M. Muscala makes 2-pt jump shot from 10 ft (assist by D. Schröder),,36,34
176,2,3:33.0,,T. Hardaway misses 2-pt layup from 2 ft,36,34
177,2,3:31.0,Defensive rebound by M. Muscala,,36,34
178,2,3:25.0,Shooting foul by K. Porziņģis (drawn by D. Schröder),,36,34
179,2,3:25.0,T. Prince enters the game for K. Bazemore,,36,34
180,2,3:25.0,D. Schröder makes free throw 1 of 2,,37,34
181,2,3:25.0,D. Schröder makes free throw 2 of 2,,38,34
182,2,3:11.0,,K. O'Quinn makes 2-pt jump shot from 15 ft (assist by J. Jack),38,36
183,2,2:58.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by T. Prince),,41,36
184,2,2:46.0,,Turnover by J. Jack (bad pass),41,36
185,2,2:46.0,Atlanta full timeout,,41,36
186,2,2:30.0,M. Belinelli makes 2-pt jump shot from 20 ft,,43,36
187,2,2:10.0,,Turnover by K. O'Quinn (turnover),43,36
188,2,1:58.0,M. Muscala misses 3-pt jump shot from 24 ft,,43,36
189,2,1:56.0,,Defensive rebound by C. Lee,43,36
190,2,1:46.0,,Turnover by K. Porziņģis (lost ball; steal by D. Schröder),43,36
191,2,1:44.0,Turnover by J. Collins (bad pass; steal by K. Porziņģis),,43,36
192,2,1:44.0,,Turnover by J. Jack (bad pass),43,36
193,2,1:31.0,D. Schröder misses 2-pt jump shot from 19 ft,,43,36
194,2,1:29.0,,Defensive rebound by K. Porziņģis,43,36
