,QUARTER,TIME_REMAINING,CHICAGO_ACTION,UTAH_ACTION,CHICAGO_SCORE,UTAH_SCORE
133,2,7:31.0,,A. Burks misses 2-pt layup from 2 ft,31,35
134,2,7:30.0,,Offensive rebound by Team,31,35
135,2,7:30.0,,D. Mitchell enters the game for A. Burks,31,35
136,2,7:30.0,,Utah full timeout,31,35
137,2,7:30.0,K. Dunn enters the game for Q. Pondexter,,31,35
138,2,7:24.0,,Turnover by R. Hood (bad pass; steal by J. Grant),31,35
139,2,7:19.0,J. Grant makes 2-pt layup from 2 ft,,33,35
140,2,7:19.0,Shooting foul by E. Udoh (drawn by J. Grant),,33,35
141,2,7:19.0,,J. Ingles enters the game for R. Hood,33,35
142,2,7:19.0,J. Grant makes free throw 1 of 1,,34,35
143,2,7:01.0,,R. Rubio misses 2-pt jump shot from 11 ft,34,35
144,2,6:58.0,Defensive rebound by B. Portis,,34,35
145,2,6:48.0,K. Dunn makes 2-pt layup from 1 ft (assist by J. Grant),,36,35
146,2,6:33.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by D. Mitchell),36,38
147,2,6:16.0,Personal foul by R. Rubio (drawn by B. Portis),,36,38
148,2,6:16.0,B. Portis makes free throw 1 of 2,,37,38
149,2,6:16.0,,R. Neto enters the game for R. Rubio,37,38
150,2,6:16.0,,D. Favors enters the game for E. Udoh,37,38
151,2,6:16.0,J. Holiday enters the game for A. Blakeney,,37,38
152,2,6:16.0,B. Portis makes free throw 2 of 2,,38,38
153,2,6:04.0,,D. Mitchell misses 3-pt jump shot from 24 ft,38,38
154,2,5:59.0,Defensive rebound by K. Dunn,,38,38
155,2,5:49.0,L. Markkanen misses 3-pt jump shot from 24 ft,,38,38
156,2,5:47.0,,Defensive rebound by J. Ingles,38,38
157,2,5:35.0,,J. Ingles misses 3-pt jump shot from 25 ft,38,38
158,2,5:31.0,Defensive rebound by K. Dunn,,38,38
159,2,5:28.0,Turnover by K. Dunn (bad pass; steal by D. Favors),,38,38
160,2,5:23.0,,R. Neto makes 3-pt jump shot from 23 ft (assist by D. Mitchell),38,41
161,2,5:05.0,B. Portis misses 3-pt jump shot from 25 ft,,38,41
162,2,5:03.0,,Defensive rebound by R. Neto,38,41
163,2,4:59.0,,Personal foul by J. Grant (drawn by D. Favors),38,41
164,2,4:57.0,,D. Mitchell makes 2-pt dunk from 2 ft (assist by R. Neto),38,43
165,2,4:56.0,Chicago full timeout,,38,43
166,2,4:56.0,D. Valentine enters the game for J. Grant,,38,43
167,2,4:43.0,L. Markkanen misses 2-pt hook shot from 3 ft,,38,43
168,2,4:37.0,Offensive rebound by B. Portis,,38,43
169,2,4:37.0,B. Portis makes 2-pt layup at rim,,40,43
170,2,4:27.0,,D. Mitchell misses 2-pt dunk from 1 ft,40,43
171,2,4:23.0,Defensive rebound by J. Holiday,,40,43
172,2,4:16.0,Turnover by J. Holiday (bad pass; steal by D. Mitchell),,40,43
173,2,4:10.0,,D. Mitchell misses 2-pt layup from 3 ft,40,43
174,2,4:10.0,,Offensive rebound by Team,40,43
175,2,4:06.0,,D. Mitchell misses 3-pt jump shot from 25 ft,40,43
176,2,4:02.0,Defensive rebound by B. Portis,,40,43
177,2,3:56.0,Offensive foul by B. Portis (drawn by J. Jerebko),,40,43
178,2,3:56.0,Turnover by B. Portis (offensive foul),,40,43
179,2,3:56.0,,R. Hood enters the game for J. Jerebko,40,43
180,2,3:56.0,R. Lopez enters the game for B. Portis,,40,43
181,2,3:42.0,,J. Ingles misses 2-pt jump shot from 12 ft,40,43
182,2,3:39.0,Defensive rebound by L. Markkanen,,40,43
183,2,3:18.0,Turnover by R. Lopez (bad pass; steal by R. Hood),,40,43
184,2,3:18.0,,Personal foul by J. Holiday (drawn by D. Mitchell),40,43
185,2,3:18.0,,D. Mitchell makes free throw 1 of 2,40,44
186,2,3:18.0,P. Zipser enters the game for L. Markkanen,,40,44
187,2,3:18.0,,D. Mitchell makes free throw 2 of 2,40,45
188,2,3:03.0,D. Valentine misses 3-pt jump shot from 25 ft,,40,45
189,2,3:00.0,,Defensive rebound by R. Hood,40,45
190,2,2:53.0,,R. Hood misses 2-pt layup from 6 ft,40,45
191,2,2:48.0,,Offensive rebound by D. Favors,40,45
192,2,2:48.0,,D. Favors makes 2-pt layup at rim,40,47
193,2,2:47.0,,Violation by R. Hood (def goaltending),40,47
194,2,2:47.0,D. Valentine makes 2-pt layup from 3 ft,,42,47
195,2,2:32.0,,D. Mitchell misses 2-pt layup from 2 ft,42,47
196,2,2:30.0,Defensive rebound by J. Holiday,,42,47
197,2,2:26.0,,Violation by D. Mitchell (def goaltending),42,47
198,2,2:26.0,K. Dunn makes 2-pt layup from 1 ft,,44,47
199,2,2:03.0,,R. Hood makes 2-pt jump shot from 11 ft,44,49
200,2,1:47.0,R. Lopez misses 2-pt hook shot from 11 ft,,44,49
201,2,1:44.0,,Defensive rebound by D. Favors,44,49
202,2,1:38.0,,D. Favors makes 2-pt jump shot from 11 ft (assist by J. Ingles),44,51
203,2,1:23.0,D. Valentine misses 3-pt jump shot from 24 ft,,44,51
204,2,1:19.0,,Defensive rebound by R. Neto,44,51
205,2,1:06.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Neto),44,53
206,2,0:52.0,Personal foul by D. Mitchell (drawn by R. Lopez),,44,53
207,2,0:52.0,R. Lopez makes free throw 1 of 2,,45,53
208,2,0:52.0,R. Lopez makes free throw 2 of 2,,46,53
209,2,0:33.0,,R. Hood makes 2-pt jump shot from 13 ft,46,55
210,2,0:19.0,P. Zipser misses 3-pt jump shot from 24 ft,,46,55
211,2,0:15.0,,Defensive rebound by R. Neto,46,55
212,2,0:00.0,,R. Hood misses 3-pt jump shot from 24 ft,46,55
213,2,0:00.0,,Offensive rebound by Team,46,55
214,3,11:48.0,Turnover by K. Dunn (lost ball; steal by R. Rubio),,46,55
215,3,11:44.0,,Personal foul by D. Valentine (drawn by R. Rubio),46,55
216,3,11:33.0,,Turnover by R. Rubio (out of bounds lost ball),46,55
217,3,11:14.0,R. Lopez makes 2-pt hook shot from 7 ft (assist by D. Valentine),,48,55
218,3,10:56.0,,J. Jerebko makes 3-pt jump shot from 24 ft (assist by D. Mitchell),48,58
219,3,10:41.0,J. Holiday misses 2-pt jump shot from 15 ft,,48,58
220,3,10:38.0,Offensive rebound by R. Lopez,,48,58
221,3,10:34.0,Shooting foul by D. Mitchell (drawn by K. Dunn),,48,58
222,3,10:34.0,K. Dunn misses free throw 1 of 2,,48,58
223,3,10:34.0,Offensive rebound by Team,,48,58
224,3,10:34.0,K. Dunn makes free throw 2 of 2,,49,58
225,3,10:24.0,,R. Rubio misses 3-pt jump shot from 24 ft,49,58
226,3,10:20.0,Defensive rebound by K. Dunn,,49,58
227,3,10:15.0,Shooting foul by D. Favors (drawn by K. Dunn),,49,58
228,3,10:15.0,K. Dunn makes free throw 1 of 2,,50,58
229,3,10:15.0,K. Dunn makes free throw 2 of 2,,51,58
230,3,9:56.0,,D. Favors misses 2-pt jump shot from 9 ft,51,58
231,3,9:55.0,,Offensive rebound by D. Favors,51,58
232,3,9:55.0,,Shooting foul by D. Valentine (drawn by D. Favors),51,58
233,3,9:55.0,,D. Favors makes free throw 1 of 2,51,59
234,3,9:55.0,,D. Favors misses free throw 2 of 2,51,59
235,3,9:54.0,,Offensive rebound by Team,51,59
236,3,9:54.0,Loose ball foul by L. Markkanen (drawn by J. Jerebko),,51,59
237,3,9:44.0,,Personal foul by K. Dunn (drawn by R. Rubio),51,59
238,3,9:34.0,,R. Rubio misses 3-pt jump shot from 24 ft,51,59
239,3,9:31.0,Defensive rebound by K. Dunn,,51,59
240,3,9:23.0,R. Lopez misses 2-pt jump shot from 16 ft,,51,59
241,3,9:21.0,,Defensive rebound by J. Jerebko,51,59
242,3,9:11.0,,Personal foul by D. Valentine (drawn by D. Favors),51,59
243,3,9:11.0,,D. Favors makes free throw 1 of 2,51,60
244,3,9:11.0,,D. Favors makes free throw 2 of 2,51,61
245,3,9:01.0,Turnover by R. Lopez (bad pass),,51,61
246,3,8:51.0,,J. Jerebko makes 3-pt jump shot from 24 ft (assist by D. Mitchell),51,64
247,3,8:31.0,K. Dunn makes 2-pt layup from 2 ft,,53,64
248,3,8:09.0,,J. Ingles makes 3-pt jump shot from 26 ft (assist by D. Mitchell),53,67
249,3,8:08.0,Chicago full timeout,,53,67
250,3,7:50.0,J. Holiday misses 2-pt jump shot from 13 ft,,53,67
251,3,7:43.0,Offensive rebound by R. Lopez,,53,67
252,3,7:43.0,R. Lopez makes 2-pt layup at rim,,55,67
253,3,7:36.0,,Turnover by R. Rubio (lost ball; steal by K. Dunn),55,67
254,3,7:32.0,K. Dunn misses 2-pt layup from 2 ft,,55,67
255,3,7:28.0,Offensive rebound by L. Markkanen,,55,67
256,3,7:27.0,L. Markkanen misses 2-pt layup from 2 ft (block by J. Jerebko),,55,67
257,3,7:27.0,Offensive rebound by L. Markkanen,,55,67
258,3,7:27.0,Turnover by L. Markkanen (lost ball; steal by R. Rubio),,55,67
259,3,7:16.0,,Utah full timeout,55,67
260,3,7:13.0,,Turnover by D. Mitchell (traveling),55,67
261,3,7:03.0,Personal foul by D. Favors (drawn by R. Lopez),,55,67
262,3,6:56.0,Turnover by J. Holiday (bad pass; steal by J. Ingles),,55,67
263,3,6:45.0,,Shooting foul by K. Dunn (drawn by D. Favors),55,67
264,3,6:45.0,,D. Favors makes free throw 1 of 2,55,68
265,3,6:45.0,,D. Favors makes free throw 2 of 2,55,69
266,3,6:33.0,K. Dunn misses 2-pt jump shot from 16 ft,,55,69
267,3,6:30.0,,Defensive rebound by D. Mitchell,55,69
268,3,6:24.0,,D. Favors makes 2-pt layup from 1 ft (assist by D. Mitchell),55,71
269,3,6:05.0,D. Valentine misses 2-pt jump shot from 7 ft (block by R. Rubio),,55,71
270,3,6:03.0,,Defensive rebound by D. Mitchell,55,71
271,3,5:53.0,,Turnover by R. Rubio (bad pass; steal by K. Dunn),55,71
272,3,5:48.0,L. Markkanen misses 3-pt jump shot from 25 ft,,55,71
273,3,5:45.0,,Defensive rebound by J. Ingles,55,71
274,3,5:23.0,,D. Favors makes 2-pt jump shot from 5 ft (assist by D. Mitchell),55,73
275,3,5:21.0,Chicago full timeout,,55,73
276,3,5:21.0,,R. Hood enters the game for R. Rubio,55,73
277,3,5:21.0,,T. Sefolosha enters the game for J. Jerebko,55,73
278,3,5:21.0,A. Blakeney enters the game for K. Dunn,,55,73
279,3,5:21.0,B. Portis enters the game for D. Valentine,,55,73
280,3,5:21.0,J. Grant enters the game for L. Markkanen,,55,73
281,3,5:10.0,J. Holiday misses 3-pt jump shot from 25 ft,,55,73
282,3,5:07.0,,Defensive rebound by D. Mitchell,55,73
283,3,5:00.0,,J. Ingles misses 3-pt jump shot from 24 ft,55,73
284,3,4:55.0,Defensive rebound by J. Grant,,55,73
285,3,4:42.0,R. Lopez makes 2-pt hook shot from 6 ft,,57,73
286,3,4:26.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Hood),57,76
287,3,4:07.0,,E. Udoh enters the game for J. Ingles,57,76
288,3,4:07.0,,R. Neto enters the game for D. Favors,57,76
289,3,4:07.0,,A. Burks enters the game for D. Mitchell,57,76
290,3,4:00.0,Shooting foul by E. Udoh (drawn by R. Lopez),,57,76
291,3,4:00.0,R. Lopez makes free throw 1 of 2,,58,76
292,3,4:00.0,R. Lopez misses free throw 2 of 2,,58,76
293,3,3:57.0,,Defensive rebound by R. Hood,58,76
294,3,3:46.0,,R. Hood makes 3-pt jump shot from 24 ft,58,79
295,3,3:29.0,Shooting foul by R. Hood (drawn by J. Holiday),,58,79
296,3,3:29.0,J. Holiday makes free throw 1 of 2,,59,79
297,3,3:29.0,J. Holiday makes free throw 2 of 2,,60,79
298,3,3:17.0,,R. Hood makes 3-pt jump shot from 26 ft,60,82
299,3,3:04.0,A. Blakeney makes 3-pt jump shot from 23 ft (assist by B. Portis),,63,82
300,3,2:49.0,,R. Hood misses 3-pt jump shot from 23 ft,63,82
301,3,2:46.0,Defensive rebound by R. Lopez,,63,82
302,3,2:29.0,J. Holiday makes 2-pt layup from 1 ft (assist by R. Lopez),,65,82
303,3,2:08.0,,R. Hood misses 2-pt jump shot from 18 ft,65,82
304,3,2:04.0,,Offensive rebound by E. Udoh,65,82
305,3,1:53.0,,Personal foul by B. Portis (drawn by R. Hood),65,82
306,3,1:53.0,,R. Hood makes free throw 1 of 2,65,83
307,3,1:53.0,C. Felício enters the game for R. Lopez,,65,83
308,3,1:53.0,,R. Hood makes free throw 2 of 2,65,84
309,3,1:32.0,Shooting foul by E. Udoh (drawn by B. Portis),,65,84
310,3,1:32.0,B. Portis makes free throw 1 of 2,,66,84
311,3,1:32.0,B. Portis makes free throw 2 of 2,,67,84
312,3,1:17.0,,T. Sefolosha misses 3-pt jump shot from 22 ft,67,84
313,3,1:13.0,Defensive rebound by C. Felício,,67,84
314,3,1:05.0,C. Felício misses 2-pt layup from 2 ft,,67,84
