,QUARTER,TIME_REMAINING,BOSTON_ACTION,MINNESOTA_ACTION,BOSTON_SCORE,MINNESOTA_SCORE
106,2,10:47.0,,T. Gibson makes free throw 1 of 2,37,31
107,2,10:47.0,,T. Gibson misses free throw 2 of 2,37,31
108,2,10:45.0,Defensive rebound by G. Monroe,,37,31
109,2,10:28.0,M. Morris misses 2-pt jump shot from 17 ft,,37,31
110,2,10:25.0,,Defensive rebound by G. Dieng,37,31
111,2,10:15.0,,T. Gibson makes 2-pt hook shot from 5 ft,37,33
112,2,9:55.0,M. Morris misses 3-pt jump shot from 23 ft,,37,33
113,2,9:53.0,,Defensive rebound by N. Bjelica,37,33
114,2,9:50.0,,Turnover by T. Jones (discontinued dribble),37,33
115,2,9:50.0,,K. Towns enters the game for T. Gibson,37,33
116,2,9:35.0,G. Monroe misses 2-pt hook shot from 6 ft (block by G. Dieng),,37,33
117,2,9:35.0,Offensive rebound by Team,,37,33
118,2,9:30.0,M. Smart misses 3-pt jump shot from 25 ft,,37,33
119,2,9:24.0,Offensive rebound by J. Tatum,,37,33
120,2,9:24.0,J. Tatum makes 2-pt layup at rim,,39,33
121,2,9:09.0,,Turnover by N. Bjelica (bad pass; steal by T. Rozier),39,33
122,2,9:05.0,T. Rozier makes 2-pt dunk at rim,,41,33
123,2,9:05.0,,Minnesota full timeout,41,33
124,2,8:55.0,,T. Jones misses 2-pt jump shot from 9 ft,41,33
125,2,8:53.0,Defensive rebound by T. Rozier,,41,33
126,2,8:49.0,M. Smart misses 3-pt jump shot from 24 ft,,41,33
127,2,8:47.0,,Defensive rebound by N. Bjelica,41,33
128,2,8:38.0,,K. Towns makes 2-pt jump shot from 16 ft (assist by J. Crawford),41,35
129,2,8:21.0,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Monroe),,44,35
130,2,8:03.0,,K. Towns makes 2-pt layup at rim,44,37
131,2,7:48.0,Offensive foul by G. Monroe (drawn by K. Towns),,44,37
132,2,7:48.0,Turnover by G. Monroe (offensive foul),,44,37
133,2,7:48.0,,J. Teague enters the game for T. Jones,44,37
134,2,7:48.0,,T. Gibson enters the game for G. Dieng,44,37
135,2,7:48.0,A. Horford enters the game for M. Morris,,44,37
136,2,7:34.0,,K. Towns misses 2-pt hook shot from 8 ft,44,37
137,2,7:32.0,Defensive rebound by G. Monroe,,44,37
138,2,7:23.0,M. Smart makes 2-pt layup from 1 ft (assist by A. Horford),,46,37
139,2,7:23.0,Shooting foul by J. Crawford (drawn by M. Smart),,46,37
140,2,7:23.0,M. Smart makes free throw 1 of 1,,47,37
141,2,7:07.0,,K. Towns misses 2-pt jump shot from 4 ft,47,37
142,2,7:04.0,Defensive rebound by J. Tatum,,47,37
143,2,7:01.0,J. Tatum makes 2-pt layup from 1 ft,,49,37
144,2,6:55.0,,J. Crawford misses 3-pt jump shot from 25 ft,49,37
145,2,6:55.0,Defensive rebound by G. Monroe,,49,37
146,2,6:45.0,J. Tatum misses 2-pt jump shot from 20 ft,,49,37
147,2,6:43.0,Offensive rebound by M. Smart,,49,37
148,2,6:43.0,M. Smart makes 2-pt dunk at rim,,51,37
149,2,6:43.0,,Minnesota full timeout,51,37
150,2,6:43.0,,A. Wiggins enters the game for J. Crawford,51,37
151,2,6:27.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Teague),51,40
152,2,6:08.0,Turnover by A. Horford (bad pass; steal by A. Wiggins),,51,40
153,2,5:53.0,,N. Bjelica misses 2-pt layup at rim,51,40
154,2,5:53.0,,Offensive rebound by N. Bjelica,51,40
155,2,5:51.0,,N. Bjelica makes 2-pt layup at rim,51,42
156,2,5:40.0,K. Irving enters the game for J. Tatum,,51,42
157,2,5:40.0,J. Brown enters the game for M. Smart,,51,42
158,2,5:40.0,A. Baynes enters the game for G. Monroe,,51,42
159,2,5:39.0,Turnover by K. Irving (bad pass),,51,42
160,2,5:18.0,,N. Bjelica misses 3-pt jump shot from 24 ft,51,42
161,2,5:16.0,Defensive rebound by A. Baynes,,51,42
162,2,5:11.0,K. Irving misses 3-pt jump shot from 24 ft,,51,42
163,2,5:07.0,,Defensive rebound by N. Bjelica,51,42
164,2,4:54.0,,A. Wiggins misses 2-pt jump shot from 16 ft,51,42
165,2,4:52.0,Defensive rebound by A. Baynes,,51,42
166,2,4:37.0,A. Baynes misses 2-pt jump shot from 14 ft,,51,42
167,2,4:34.0,,Defensive rebound by K. Towns,51,42
168,2,4:27.0,,K. Towns makes 2-pt dunk at rim (assist by J. Teague),51,44
169,2,4:26.0,Boston full timeout,,51,44
170,2,4:26.0,M. Morris enters the game for T. Rozier,,51,44
171,2,4:26.0,M. Smart enters the game for A. Baynes,,51,44
172,2,4:11.0,A. Horford misses 3-pt jump shot from 25 ft,,51,44
173,2,4:06.0,,Defensive rebound by J. Teague,51,44
174,2,3:45.0,,Turnover by T. Gibson (lost ball; steal by M. Smart),51,44
175,2,3:45.0,Personal foul by N. Bjelica (drawn by M. Morris),,51,44
176,2,3:25.0,J. Brown misses 3-pt jump shot from 23 ft,,51,44
177,2,3:22.0,Offensive rebound by M. Morris,,51,44
178,2,3:18.0,K. Irving makes 3-pt jump shot from 24 ft (assist by M. Morris),,54,44
179,2,2:58.0,,J. Teague misses 3-pt jump shot from 25 ft,54,44
180,2,2:56.0,Defensive rebound by J. Brown,,54,44
181,2,2:49.0,M. Morris makes 2-pt jump shot from 19 ft (assist by M. Smart),,56,44
182,2,2:49.0,Shooting foul by T. Gibson (drawn by M. Morris),,56,44
183,2,2:49.0,M. Morris misses free throw 1 of 1,,56,44
184,2,2:47.0,,Defensive rebound by T. Gibson,56,44
185,2,2:40.0,,J. Teague misses 2-pt jump shot from 10 ft,56,44
186,2,2:36.0,Defensive rebound by M. Morris,,56,44
187,2,2:30.0,J. Brown misses 2-pt jump shot from 9 ft,,56,44
188,2,2:30.0,,Defensive rebound by J. Teague,56,44
189,2,2:17.0,,A. Wiggins misses 2-pt jump shot from 19 ft,56,44
190,2,2:15.0,Defensive rebound by M. Morris,,56,44
191,2,1:58.0,A. Horford makes 2-pt jump shot from 21 ft (assist by K. Irving),,58,44
192,2,1:43.0,,J. Teague misses 2-pt jump shot from 12 ft,58,44
193,2,1:43.0,,Offensive rebound by Team,58,44
