,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
114,2,10:04.0,,T. Parker makes 2-pt jump shot from 15 ft,30,28
115,2,10:04.0,,Shooting foul by Q. Cook (drawn by T. Parker),30,28
116,2,10:04.0,,T. Parker makes free throw 1 of 1,30,29
117,2,9:54.0,Q. Cook misses 2-pt jump shot from 16 ft,,30,29
118,2,9:51.0,,Defensive rebound by P. Gasol,30,29
119,2,9:40.0,,Turnover by T. Parker (bad pass; steal by D. Green),30,29
120,2,9:36.0,S. Livingston makes 2-pt dunk at rim (assist by D. Green),,32,29
121,2,9:20.0,,T. Parker makes 2-pt layup from 2 ft,32,31
122,2,9:07.0,Personal foul by D. Bertāns (drawn by D. Green),,32,31
123,2,8:53.0,D. West misses 3-pt jump shot from 26 ft,,32,31
124,2,8:49.0,,Defensive rebound by R. Gay,32,31
125,2,8:33.0,,P. Gasol misses 3-pt jump shot from 26 ft,32,31
126,2,8:32.0,,Offensive rebound by Team,32,31
127,2,8:22.0,,T. Parker misses 2-pt layup from 1 ft,32,31
128,2,8:21.0,Defensive rebound by D. West,,32,31
129,2,8:17.0,Turnover by S. Livingston (traveling),,32,31
130,2,8:04.0,,T. Parker misses 2-pt jump shot from 20 ft,32,31
131,2,8:01.0,Defensive rebound by S. Livingston,,32,31
132,2,7:47.0,Turnover by Q. Cook (bad pass; steal by R. Gay),,32,31
133,2,7:44.0,,P. Mills enters the game for T. Parker,32,31
134,2,7:44.0,,L. Aldridge enters the game for P. Gasol,32,31
135,2,7:44.0,K. Durant enters the game for Q. Cook,,32,31
136,2,7:26.0,,D. Green makes 2-pt layup from 3 ft (assist by L. Aldridge),32,33
137,2,7:13.0,S. Livingston misses 2-pt layup from 1 ft (block by D. Green),,32,33
138,2,7:13.0,,Defensive rebound by Team,32,33
139,2,7:13.0,J. McGee enters the game for D. West,,32,33
140,2,7:13.0,A. Iguodala enters the game for S. Livingston,,32,33
141,2,6:56.0,,R. Gay makes 2-pt layup at rim,32,35
142,2,6:51.0,K. Thompson misses 3-pt jump shot from 26 ft,,32,35
143,2,6:51.0,,Defensive rebound by Team,32,35
144,2,6:49.0,,San Antonio full timeout,32,35
145,2,6:49.0,,K. Anderson enters the game for D. Bertāns,32,35
146,2,6:38.0,,P. Mills makes 2-pt jump shot from 21 ft,32,37
147,2,6:19.0,J. McGee makes 2-pt dunk from 1 ft (assist by K. Thompson),,34,37
148,2,5:54.0,,R. Gay makes 2-pt dunk from 3 ft (assist by K. Anderson),34,39
149,2,5:44.0,Personal foul by R. Gay (drawn by D. Green),,34,39
150,2,5:44.0,K. Looney enters the game for J. McGee,,34,39
151,2,5:32.0,A. Iguodala makes 2-pt jump shot from 8 ft,,36,39
152,2,5:10.0,,D. Green misses 2-pt jump shot from 17 ft,36,39
