,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MINNESOTA_ACTION,NEW YORK_SCORE,MINNESOTA_SCORE
117,2,8:31.0,Defensive rebound by K. O'Quinn,,36,34
118,2,8:20.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by F. Ntilikina),,39,34
119,2,7:54.0,,K. Towns makes 2-pt hook shot from 13 ft,39,36
120,2,7:43.0,C. Lee makes 2-pt layup from 1 ft,,41,36
121,2,7:35.0,,J. Crawford misses 3-pt jump shot from 25 ft,41,36
122,2,7:33.0,Defensive rebound by K. O'Quinn,,41,36
123,2,7:31.0,M. Beasley makes 2-pt dunk from 1 ft (assist by K. O'Quinn),,43,36
124,2,7:22.0,,Minnesota full timeout,43,36
125,2,7:22.0,,J. Teague enters the game for T. Jones,43,36
126,2,7:22.0,,A. Wiggins enters the game for G. Dieng,43,36
127,2,7:22.0,,J. Butler enters the game for N. Bjelica,43,36
128,2,7:22.0,,T. Gibson enters the game for J. Crawford,43,36
129,2,7:22.0,E. Freedom enters the game for K. O'Quinn,,43,36
130,2,7:09.0,,A. Wiggins misses 2-pt jump shot from 8 ft,43,36
131,2,7:04.0,,Offensive rebound by T. Gibson,43,36
132,2,7:04.0,,T. Gibson makes 2-pt layup at rim,43,38
133,2,6:50.0,Turnover by F. Ntilikina (lost ball; steal by J. Teague),,43,38
134,2,6:42.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by K. Towns),43,40
135,2,6:17.0,Turnover by C. Lee (bad pass; steal by J. Teague),,43,40
136,2,6:15.0,,J. Teague makes 2-pt layup from 1 ft,43,42
137,2,6:14.0,New York full timeout,,43,42
138,2,6:14.0,T. Hardaway enters the game for C. Lee,,43,42
139,2,6:14.0,K. Porziņģis enters the game for M. Beasley,,43,42
140,2,6:14.0,L. Thomas enters the game for F. Ntilikina,,43,42
141,2,6:14.0,J. Jack enters the game for D. McDermott,,43,42
142,2,6:02.0,K. Porziņģis misses 2-pt jump shot from 20 ft,,43,42
143,2,5:56.0,Offensive rebound by E. Freedom,,43,42
144,2,5:56.0,E. Freedom makes 2-pt layup at rim,,45,42
145,2,5:48.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Teague),45,45
146,2,5:24.0,E. Freedom misses 2-pt jump shot from 18 ft,,45,45
147,2,5:19.0,,Defensive rebound by J. Teague,45,45
148,2,5:11.0,,Turnover by J. Teague (bad pass),45,45
149,2,4:59.0,Personal foul by T. Gibson (drawn by K. Porziņģis),,45,45
150,2,4:50.0,K. Porziņģis makes 2-pt jump shot from 14 ft (assist by J. Jack),,47,45
151,2,4:33.0,,K. Towns misses 2-pt layup from 2 ft,47,45
152,2,4:31.0,,Offensive rebound by K. Towns,47,45
153,2,4:29.0,,K. Towns makes 2-pt layup from 1 ft,47,47
154,2,4:10.0,T. Hardaway misses 3-pt jump shot from 26 ft,,47,47
155,2,4:07.0,Offensive rebound by E. Freedom,,47,47
156,2,4:06.0,E. Freedom makes 2-pt layup from 1 ft,,49,47
157,2,3:53.0,,A. Wiggins misses 2-pt jump shot from 17 ft,49,47
158,2,3:49.0,Defensive rebound by Team,,49,47
159,2,3:42.0,,Personal foul by L. Thomas (drawn by J. Butler),49,47
160,2,3:42.0,Turnover by L. Thomas (turnover),,49,47
161,2,3:39.0,,Personal foul by L. Thomas (drawn by K. Towns),49,47
162,2,3:29.0,,A. Wiggins misses 2-pt jump shot from 5 ft (block by K. Porziņģis),49,47
163,2,3:27.0,Defensive rebound by E. Freedom,,49,47
164,2,3:18.0,T. Hardaway makes 2-pt dunk from 1 ft (assist by J. Jack),,51,47
165,2,3:08.0,,A. Wiggins makes 2-pt dunk at rim (assist by J. Teague),51,49
166,2,2:53.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,54,49
167,2,2:44.0,,J. Teague misses 2-pt jump shot from 13 ft,54,49
168,2,2:42.0,Defensive rebound by T. Hardaway,,54,49
169,2,2:38.0,T. Hardaway misses 3-pt jump shot from 25 ft,,54,49
170,2,2:38.0,,Defensive rebound by J. Teague,54,49
171,2,2:31.0,,J. Butler misses 3-pt jump shot from 24 ft,54,49
172,2,2:31.0,,Offensive rebound by T. Gibson,54,49
173,2,2:21.0,,A. Wiggins misses 3-pt jump shot from 22 ft,54,49
174,2,2:21.0,Defensive rebound by Team,,54,49
175,2,2:05.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by J. Jack),,57,49
176,2,1:39.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Butler),57,51
177,2,1:21.0,Turnover by K. Porziņģis (lost ball; steal by J. Teague),,57,51
178,2,1:09.0,,K. Towns misses 2-pt layup from 1 ft (block by L. Thomas),57,51
179,2,1:08.0,,Offensive rebound by K. Towns,57,51
180,2,1:06.0,,K. Towns makes 2-pt layup from 1 ft,57,53
181,2,1:06.0,,Shooting foul by E. Freedom (drawn by K. Towns),57,53
182,2,1:06.0,K. O'Quinn enters the game for E. Freedom,,57,53
183,2,1:06.0,C. Lee enters the game for L. Thomas,,57,53
184,2,1:06.0,,K. Towns misses free throw 1 of 1,57,53
185,2,1:03.0,Defensive rebound by K. Porziņģis,,57,53
186,2,0:50.0,T. Hardaway misses 2-pt jump shot from 22 ft,,57,53
187,2,0:48.0,,Defensive rebound by Team,57,53
188,2,0:38.0,Offensive charge foul by K. Towns (drawn by K. Porziņģis),,57,53
189,2,0:38.0,,Turnover by K. Towns (offensive foul),57,53
190,2,0:29.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,57,53
191,2,0:26.0,,Defensive rebound by K. Towns,57,53
192,2,0:03.0,,J. Butler makes 2-pt layup at rim (assist by K. Towns),57,55
193,3,11:45.0,Turnover by E. Freedom (bad pass; steal by A. Wiggins),,57,55
194,3,11:33.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),57,58
195,3,11:15.0,C. Lee misses 2-pt jump shot from 20 ft,,57,58
196,3,11:12.0,,Defensive rebound by T. Gibson,57,58
197,3,11:03.0,,K. Towns makes 2-pt hook shot from 4 ft (assist by J. Teague),57,60
198,3,10:52.0,J. Jack misses 2-pt layup from 2 ft (block by T. Gibson),,57,60
199,3,10:52.0,Offensive rebound by C. Lee,,57,60
200,3,10:46.0,K. Porziņģis misses 2-pt jump shot from 19 ft,,57,60
201,3,10:46.0,,Defensive rebound by K. Towns,57,60
202,3,10:42.0,,Shooting foul by J. Jack (drawn by J. Teague),57,60
203,3,10:42.0,,J. Teague makes free throw 1 of 2,57,61
204,3,10:42.0,,J. Teague makes free throw 2 of 2,57,62
205,3,10:25.0,E. Freedom makes 2-pt hook shot from 1 ft,,59,62
206,3,10:06.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),59,64
207,3,9:45.0,C. Lee makes 2-pt jump shot from 11 ft (assist by E. Freedom),,61,64
208,3,9:32.0,,Turnover by J. Butler (out of bounds lost ball),61,64
209,3,9:21.0,K. Porziņģis misses 2-pt jump shot from 11 ft,,61,64
210,3,9:18.0,Offensive rebound by K. Porziņģis,,61,64
211,3,9:16.0,K. Porziņģis misses 2-pt jump shot from 6 ft,,61,64
212,3,9:16.0,,Defensive rebound by J. Teague,61,64
213,3,9:08.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),61,66
214,3,9:08.0,,Shooting foul by K. Porziņģis (drawn by T. Gibson),61,66
215,3,9:08.0,,T. Gibson makes free throw 1 of 1,61,67
216,3,9:00.0,E. Freedom misses 2-pt jump shot from 7 ft,,61,67
217,3,9:00.0,Offensive rebound by K. Porziņģis,,61,67
218,3,8:58.0,K. Porziņģis misses 2-pt layup from 4 ft,,61,67
219,3,8:58.0,,Defensive rebound by A. Wiggins,61,67
220,3,8:53.0,,A. Wiggins misses 2-pt layup from 1 ft,61,67
221,3,8:52.0,,Offensive rebound by T. Gibson,61,67
222,3,8:51.0,,T. Gibson makes 2-pt layup at rim,61,69
223,3,8:51.0,New York full timeout,,61,69
224,3,8:37.0,Turnover by K. Porziņģis (lost ball; steal by J. Teague),,61,69
225,3,8:33.0,,J. Teague misses 3-pt jump shot from 26 ft,61,69
226,3,8:30.0,,Offensive rebound by J. Teague,61,69
227,3,8:20.0,,Offensive foul by A. Wiggins (drawn by K. Porziņģis),61,69
228,3,8:20.0,,Turnover by A. Wiggins (offensive foul),61,69
229,3,8:02.0,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by E. Freedom),,64,69
230,3,7:44.0,,J. Butler misses 2-pt jump shot from 20 ft,64,69
231,3,7:44.0,Defensive rebound by E. Freedom,,64,69
232,3,7:35.0,E. Freedom makes 2-pt dunk from 1 ft (assist by J. Jack),,66,69
233,3,7:13.0,,A. Wiggins misses 3-pt jump shot from 25 ft,66,69
234,3,7:09.0,Defensive rebound by E. Freedom,,66,69
235,3,7:04.0,K. Porziņģis misses 3-pt jump shot from 22 ft,,66,69
236,3,7:02.0,,Defensive rebound by J. Butler,66,69
237,3,6:46.0,,T. Gibson makes 2-pt layup from 2 ft (assist by K. Towns),66,71
238,3,6:31.0,K. Porziņģis misses 2-pt jump shot from 13 ft,,66,71
239,3,6:29.0,,Defensive rebound by A. Wiggins,66,71
240,3,6:16.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),66,73
241,3,6:16.0,,Shooting foul by E. Freedom (drawn by A. Wiggins),66,73
242,3,6:16.0,M. Beasley enters the game for C. Lee,,66,73
243,3,6:16.0,T. Hardaway enters the game for K. Porziņģis,,66,73
244,3,6:16.0,K. O'Quinn enters the game for E. Freedom,,66,73
245,3,6:16.0,,A. Wiggins makes free throw 1 of 1,66,74
246,3,5:53.0,K. O'Quinn makes 2-pt layup from 1 ft (assist by M. Beasley),,68,74
247,3,5:44.0,,T. Gibson misses 2-pt layup from 3 ft (block by M. Beasley),68,74
248,3,5:44.0,Defensive rebound by L. Thomas,,68,74
249,3,5:37.0,J. Jack makes 3-pt jump shot from 24 ft,,71,74
250,3,5:22.0,,Shooting foul by J. Jack (drawn by J. Teague),71,74
251,3,5:22.0,,J. Teague misses free throw 1 of 2,71,74
252,3,5:22.0,,Offensive rebound by Team,71,74
253,3,5:22.0,,J. Teague makes free throw 2 of 2,71,75
254,3,5:07.0,M. Beasley makes 2-pt layup from 1 ft,,73,75
255,3,4:48.0,,Shooting foul by K. O'Quinn (drawn by J. Teague),73,75
256,3,4:48.0,,J. Teague makes free throw 1 of 2,73,76
257,3,4:48.0,,J. Teague makes free throw 2 of 2,73,77
258,3,4:30.0,M. Beasley misses 2-pt jump shot from 6 ft (block by K. Towns),,73,77
259,3,4:30.0,,Defensive rebound by Team,73,77
260,3,4:06.0,,T. Gibson makes 2-pt dunk at rim (assist by A. Wiggins),73,79
261,3,3:50.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by J. Jack),,76,79
262,3,3:33.0,,Def 3 sec tech foul by T. Hardaway,76,79
263,3,3:33.0,,J. Butler misses technical free throw,76,79
264,3,3:33.0,,Offensive rebound by Team,76,79
265,3,3:27.0,,K. Towns misses 3-pt jump shot from 25 ft,76,79
266,3,3:24.0,Defensive rebound by M. Beasley,,76,79
267,3,3:19.0,K. O'Quinn makes 2-pt layup from 1 ft (assist by L. Thomas),,78,79
268,3,3:18.0,,Minnesota full timeout,78,79
269,3,3:18.0,,G. Dieng enters the game for K. Towns,78,79
270,3,3:02.0,,A. Wiggins misses 2-pt jump shot from 16 ft,78,79
271,3,2:58.0,Defensive rebound by K. O'Quinn,,78,79
272,3,2:42.0,J. Jack makes 3-pt jump shot from 23 ft (assist by T. Hardaway),,81,79
273,3,2:31.0,,Turnover by J. Teague (lost ball; steal by L. Thomas),81,79
274,3,2:26.0,Turnover by J. Jack (bad pass; steal by J. Butler),,81,79
275,3,2:23.0,,J. Butler makes 2-pt dunk from 1 ft,81,81
276,3,1:58.0,K. O'Quinn makes 2-pt layup from 2 ft,,83,81
277,3,1:58.0,Shooting foul by A. Wiggins (drawn by K. O'Quinn),,83,81
278,3,1:58.0,,T. Jones enters the game for J. Teague,83,81
279,3,1:58.0,F. Ntilikina enters the game for J. Jack,,83,81
280,3,1:58.0,K. O'Quinn misses free throw 1 of 1,,83,81
281,3,1:56.0,,Defensive rebound by G. Dieng,83,81
282,3,1:36.0,,A. Wiggins makes 2-pt jump shot from 12 ft (assist by T. Gibson),83,83
283,3,1:25.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by M. Beasley),,86,83
284,3,1:04.0,,G. Dieng makes 2-pt jump shot from 21 ft (assist by T. Jones),86,85
285,3,0:50.0,Turnover by F. Ntilikina (bad pass; steal by G. Dieng),,86,85
286,3,0:43.0,,A. Wiggins misses 2-pt layup from 1 ft,86,85
287,3,0:43.0,,Offensive rebound by G. Dieng,86,85
288,3,0:43.0,,G. Dieng makes 2-pt layup at rim,86,87
289,3,0:43.0,New York full timeout,,86,87
290,3,0:43.0,,J. Crawford enters the game for J. Butler,86,87
291,3,0:25.0,Turnover by M. Beasley (bad pass; steal by A. Wiggins),,86,87
292,3,0:03.0,,A. Wiggins misses 2-pt jump shot from 16 ft,86,87
293,3,0:00.0,Defensive rebound by K. O'Quinn,,86,87
294,3,0:00.0,K. O'Quinn misses 3-pt jump shot from 68 ft,,86,87
295,3,0:00.0,Offensive rebound by Team,,86,87
296,4,11:48.0,,N. Bjelica makes 3-pt jump shot from 27 ft (assist by T. Jones),86,90
297,4,11:20.0,Shooting foul by J. Crawford (drawn by K. O'Quinn),,86,90
298,4,11:20.0,K. O'Quinn makes free throw 1 of 2,,87,90
299,4,11:20.0,K. O'Quinn makes free throw 2 of 2,,88,90
300,4,10:59.0,,G. Dieng makes 2-pt jump shot from 21 ft,88,92
301,4,10:39.0,F. Ntilikina misses 2-pt jump shot from 19 ft,,88,92
302,4,10:35.0,,Defensive rebound by K. Towns,88,92
303,4,10:23.0,,J. Crawford misses 3-pt jump shot from 23 ft,88,92
304,4,10:23.0,Defensive rebound by K. Porziņģis,,88,92
305,4,10:07.0,K. Porziņģis misses 2-pt jump shot from 7 ft,,88,92
306,4,10:04.0,,Defensive rebound by K. Towns,88,92
307,4,10:04.0,,Minnesota full timeout,88,92
308,4,9:39.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by K. Towns),88,94
309,4,9:29.0,Personal foul by J. Crawford (drawn by C. Lee),,88,94
310,4,9:23.0,C. Lee misses 3-pt jump shot from 24 ft,,88,94
311,4,9:19.0,,Defensive rebound by K. Towns,88,94
312,4,9:10.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by T. Jones),88,97
313,4,8:49.0,E. Freedom enters the game for K. O'Quinn,,88,97
314,4,8:44.0,C. Lee misses 3-pt jump shot from 25 ft,,88,97
315,4,8:43.0,Offensive rebound by K. Porziņģis,,88,97
316,4,8:43.0,Shooting foul by T. Jones (drawn by K. Porziņģis),,88,97
317,4,8:43.0,K. Porziņģis makes free throw 1 of 2,,89,97
318,4,8:43.0,K. Porziņģis misses free throw 2 of 2,,89,97
319,4,8:41.0,Offensive rebound by E. Freedom,,89,97
320,4,8:31.0,Turnover by F. Ntilikina (bad pass; steal by T. Jones),,89,97
321,4,8:22.0,,Personal foul by K. Porziņģis (drawn by K. Towns),89,97
322,4,8:22.0,J. Jack enters the game for F. Ntilikina,,89,97
323,4,8:19.0,,N. Bjelica makes 3-pt jump shot from 22 ft (assist by K. Towns),89,100
324,4,8:06.0,Shooting foul by J. Crawford (drawn by K. Porziņģis),,89,100
325,4,8:06.0,K. Porziņģis makes free throw 1 of 2,,90,100
326,4,8:06.0,L. Thomas enters the game for M. Beasley,,90,100
327,4,8:06.0,K. Porziņģis misses free throw 2 of 2,,90,100
328,4,8:04.0,,Defensive rebound by K. Towns,90,100
329,4,7:52.0,,K. Towns makes 2-pt jump shot from 11 ft (assist by T. Jones),90,102
330,4,7:52.0,,Shooting foul by K. Porziņģis (drawn by K. Towns),90,102
331,4,7:52.0,,K. Towns makes free throw 1 of 1,90,103
332,4,7:29.0,J. Jack makes 2-pt jump shot from 6 ft,,92,103
333,4,7:04.0,,T. Jones misses 2-pt jump shot from 11 ft,92,103
334,4,7:00.0,Defensive rebound by K. Porziņģis,,92,103
335,4,6:53.0,J. Jack misses 2-pt jump shot from 11 ft,,92,103
336,4,6:51.0,,Defensive rebound by K. Towns,92,103
337,4,6:41.0,,T. Jones makes 3-pt jump shot from 25 ft (assist by G. Dieng),92,106
338,4,6:25.0,Turnover by L. Thomas (out of bounds lost ball),,92,106
339,4,6:25.0,,J. Teague enters the game for T. Jones,92,106
340,4,6:25.0,,J. Butler enters the game for N. Bjelica,92,106
341,4,6:25.0,T. Hardaway enters the game for L. Thomas,,92,106
342,4,6:10.0,,J. Teague makes 2-pt jump shot from 6 ft,92,108
343,4,5:52.0,New York full timeout,,92,108
344,4,5:46.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,92,108
345,4,5:44.0,,Defensive rebound by Team,92,108
346,4,5:31.0,,G. Dieng misses 2-pt jump shot from 2 ft (block by E. Freedom),92,108
347,4,5:28.0,,Offensive rebound by J. Butler,92,108
348,4,5:25.0,,J. Crawford makes 3-pt jump shot from 27 ft (assist by K. Towns),92,111
349,4,5:25.0,,Shooting foul by C. Lee (drawn by J. Crawford),92,111
350,4,5:25.0,,J. Crawford misses free throw 1 of 1,92,111
351,4,5:22.0,Defensive rebound by T. Hardaway,,92,111
352,4,5:17.0,C. Lee makes 3-pt jump shot from 25 ft,,95,111
353,4,5:02.0,,J. Crawford misses 2-pt jump shot from 19 ft,95,111
354,4,4:59.0,Defensive rebound by C. Lee,,95,111
355,4,4:54.0,Turnover by J. Jack (bad pass; steal by J. Butler),,95,111
356,4,4:49.0,,J. Butler makes 2-pt layup from 1 ft (assist by J. Crawford),95,113
357,4,4:22.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by C. Lee),,98,113
358,4,3:57.0,,J. Butler misses 3-pt jump shot from 24 ft,98,113
359,4,3:54.0,,Offensive rebound by G. Dieng,98,113
360,4,3:51.0,,G. Dieng misses 3-pt jump shot from 23 ft,98,113
361,4,3:51.0,,Offensive rebound by Team,98,113
362,4,3:50.0,,T. Gibson enters the game for G. Dieng,98,113
363,4,3:50.0,,A. Wiggins enters the game for J. Crawford,98,113
364,4,3:43.0,,J. Teague misses 3-pt jump shot from 25 ft,98,113
365,4,3:39.0,Defensive rebound by E. Freedom,,98,113
366,4,3:30.0,J. Jack makes 2-pt jump shot from 9 ft,,100,113
367,4,3:15.0,,A. Wiggins misses 2-pt jump shot from 14 ft,100,113
368,4,3:12.0,,Offensive rebound by T. Gibson,100,113
369,4,2:53.0,,J. Butler misses 2-pt jump shot from 14 ft,100,113
370,4,2:50.0,Defensive rebound by E. Freedom,,100,113
371,4,2:43.0,Personal foul by J. Butler (drawn by T. Hardaway),,100,113
372,4,2:43.0,J. Jack makes free throw 1 of 2,,101,113
373,4,2:43.0,J. Jack makes free throw 2 of 2,,102,113
374,4,2:25.0,,Turnover by K. Towns (bad pass; steal by J. Jack),102,113
