,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PHOENIX_ACTION,PHILADELPHIA_SCORE,PHOENIX_SCORE
82,1,3:16.0,Defensive rebound by T. McConnell,,26,20
83,1,3:11.0,Personal foul by I. Canaan (drawn by T. McConnell),,26,20
84,1,3:08.0,J. Bayless makes 2-pt layup at rim (assist by J. Redick),,28,20
85,1,2:51.0,,D. Bender makes 3-pt jump shot from 23 ft (assist by D. Booker),28,23
86,1,2:36.0,J. Bayless misses 2-pt jump shot from 20 ft,,28,23
87,1,2:34.0,Offensive rebound by J. Bayless,,28,23
88,1,2:31.0,J. Bayless makes 3-pt jump shot from 22 ft,,31,23
89,1,2:07.0,,D. Bender misses 2-pt jump shot from 18 ft,31,23
90,1,2:06.0,Defensive rebound by Team,,31,23
91,1,2:06.0,,Loose ball foul by A. Len (drawn by J. Embiid),31,23
92,1,2:06.0,,T. Daniels enters the game for D. Booker,31,23
93,1,1:52.0,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Bayless),,33,23
94,1,1:27.0,,I. Canaan makes 2-pt jump shot from 8 ft,33,25
95,1,1:03.0,J. Bayless misses 3-pt jump shot from 26 ft,,33,25
96,1,1:01.0,,Defensive rebound by Team,33,25
97,1,0:48.0,,Personal foul by J. Bayless (drawn by T. Daniels),33,25
98,1,0:48.0,,T. Daniels makes free throw 1 of 2,33,26
99,1,0:48.0,,T. Daniels makes free throw 2 of 2,33,27
100,1,0:36.0,Shooting foul by D. Bender (drawn by J. Redick),,33,27
101,1,0:36.0,J. Redick makes free throw 1 of 2,,34,27
102,1,0:36.0,J. Redick makes free throw 2 of 2,,35,27
103,1,0:28.0,,I. Canaan makes 3-pt jump shot from 26 ft,35,30
104,1,0:12.0,Offensive foul by J. Embiid (drawn by I. Canaan),,35,30
105,1,0:12.0,Turnover by J. Embiid (offensive foul),,35,30
106,1,0:04.0,,I. Canaan makes 2-pt layup at rim,35,32
107,1,0:01.0,J. Redick makes 3-pt jump shot from 33 ft (assist by T. Booker),,38,32
108,2,11:43.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Len),38,32
109,2,11:43.0,,A. Len makes free throw 1 of 2,38,33
110,2,11:43.0,,T. Warren enters the game for J. Jackson,38,33
111,2,11:43.0,,A. Len misses free throw 2 of 2,38,33
112,2,11:41.0,Defensive rebound by J. Embiid,,38,33
113,2,11:32.0,Turnover by D. Šarić (bad pass; steal by I. Canaan),,38,33
114,2,11:20.0,,Personal foul by T. Luwawu-Cabarrot (drawn by D. Bender),38,33
115,2,11:17.0,,Turnover by I. Canaan (bad pass; steal by T. McConnell),38,33
116,2,11:10.0,T. McConnell makes 2-pt jump shot from 16 ft (assist by T. Luwawu-Cabarrot),,40,33
117,2,10:48.0,,D. Bender misses 2-pt hook shot from 11 ft,40,33
118,2,10:46.0,Defensive rebound by J. Embiid,,40,33
119,2,10:38.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by J. Embiid),,43,33
120,2,10:23.0,,T. Warren misses 2-pt jump shot from 12 ft,43,33
121,2,10:19.0,Defensive rebound by J. Embiid,,43,33
122,2,10:09.0,Turnover by J. Embiid (traveling),,43,33
123,2,10:09.0,,M. Chriss enters the game for A. Len,43,33
124,2,10:09.0,,T. Chandler enters the game for D. Bender,43,33
125,2,9:58.0,,I. Canaan misses 2-pt layup from 1 ft (block by D. Šarić),43,33
126,2,9:58.0,Defensive rebound by Team,,43,33
127,2,9:46.0,Offensive foul by J. Embiid (drawn by T. Daniels),,43,33
128,2,9:46.0,Turnover by J. Embiid (offensive foul),,43,33
129,2,9:34.0,,I. Canaan misses 3-pt jump shot from 23 ft,43,33
130,2,9:32.0,Defensive rebound by T. Luwawu-Cabarrot,,43,33
131,2,9:28.0,Personal foul by M. Chriss (drawn by D. Šarić),,43,33
132,2,9:23.0,Shooting foul by M. Chriss (drawn by D. Šarić),,43,33
133,2,9:23.0,D. Šarić makes free throw 1 of 2,,44,33
134,2,9:23.0,,D. Bender enters the game for M. Chriss,44,33
135,2,9:23.0,B. Simmons enters the game for T. Luwawu-Cabarrot,,44,33
136,2,9:23.0,R. Covington enters the game for T. McConnell,,44,33
137,2,9:23.0,J. Bayless enters the game for J. Redick,,44,33
138,2,9:23.0,D. Šarić makes free throw 2 of 2,,45,33
139,2,9:01.0,,T. Warren makes 2-pt jump shot from 17 ft,45,35
140,2,8:39.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by J. Embiid),,48,35
141,2,8:20.0,,T. Warren misses 2-pt layup from 1 ft,48,35
142,2,8:18.0,Defensive rebound by J. Embiid,,48,35
143,2,8:14.0,J. Embiid makes 2-pt layup at rim (assist by D. Šarić),,50,35
144,2,8:14.0,Shooting foul by I. Canaan (drawn by J. Embiid),,50,35
145,2,8:14.0,,T. Ulis enters the game for I. Canaan,50,35
146,2,8:14.0,J. Embiid makes free throw 1 of 1,,51,35
147,2,8:14.0,,Phoenix full timeout,51,35
148,2,8:14.0,,D. Booker enters the game for T. Daniels,51,35
149,2,8:14.0,A. Johnson enters the game for J. Embiid,,51,35
150,2,8:05.0,,Turnover by T. Warren (bad pass),51,35
151,2,7:51.0,J. Bayless misses 2-pt layup at rim (block by T. Chandler),,51,35
152,2,7:48.0,,Defensive rebound by T. Warren,51,35
153,2,7:41.0,,T. Warren misses 2-pt jump shot from 9 ft,51,35
154,2,7:40.0,Defensive rebound by R. Covington,,51,35
155,2,7:40.0,Turnover by R. Covington (traveling),,51,35
156,2,7:34.0,,Turnover by T. Chandler (bad pass; steal by R. Covington),51,35
157,2,7:33.0,Turnover by B. Simmons (bad pass),,51,35
158,2,7:23.0,,Offensive foul by D. Booker (drawn by R. Covington),51,35
159,2,7:23.0,,Turnover by D. Booker (offensive foul),51,35
160,2,7:08.0,Turnover by D. Šarić (bad pass; steal by T. Ulis),,51,35
161,2,7:03.0,,T. Warren misses 2-pt jump shot from 12 ft,51,35
162,2,7:00.0,Defensive rebound by A. Johnson,,51,35
163,2,6:46.0,B. Simmons misses 2-pt hook shot from 9 ft,,51,35
164,2,6:44.0,,Defensive rebound by T. Ulis,51,35
165,2,6:37.0,,Turnover by D. Booker (bad pass),51,35
166,2,6:27.0,J. Bayless makes 2-pt layup at rim (assist by A. Johnson),,53,35
167,2,6:15.0,,Personal foul by R. Covington (drawn by D. Booker),53,35
168,2,6:15.0,,J. Dudley enters the game for D. Bender,53,35
169,2,6:05.0,,T. Chandler misses 2-pt layup from 1 ft,53,35
170,2,6:04.0,,Offensive rebound by T. Chandler,53,35
171,2,6:02.0,,T. Chandler makes 2-pt layup from 1 ft,53,37
172,2,5:51.0,B. Simmons misses 2-pt jump shot from 17 ft,,53,37
173,2,5:48.0,,Defensive rebound by D. Booker,53,37
174,2,5:46.0,,T. Warren makes 2-pt layup from 7 ft (assist by D. Booker),53,39
175,2,5:46.0,,Shooting block foul by J. Bayless (drawn by T. Warren),53,39
176,2,5:46.0,,T. Warren misses free throw 1 of 1,53,39
177,2,5:46.0,Defensive rebound by B. Simmons,,53,39
178,2,5:46.0,Philadelphia full timeout,,53,39
179,2,5:46.0,T. McConnell enters the game for J. Bayless,,53,39
180,2,5:23.0,R. Covington misses 2-pt jump shot from 21 ft,,53,39
181,2,5:19.0,Offensive rebound by T. McConnell,,53,39
182,2,5:16.0,Turnover by T. McConnell (lost ball; steal by T. Ulis),,53,39
183,2,4:55.0,,D. Booker misses 2-pt jump shot from 12 ft,53,39
184,2,4:52.0,Defensive rebound by R. Covington,,53,39
185,2,4:45.0,Turnover by D. Šarić (bad pass; steal by J. Dudley),,53,39
186,2,4:41.0,,D. Booker misses 3-pt jump shot from 25 ft,53,39
187,2,4:37.0,Defensive rebound by R. Covington,,53,39
188,2,4:22.0,Shooting foul by T. Chandler (drawn by D. Šarić),,53,39
189,2,4:22.0,D. Šarić makes free throw 1 of 2,,54,39
190,2,4:22.0,D. Šarić makes free throw 2 of 2,,55,39
191,2,4:09.0,,Shooting block foul by R. Covington (drawn by D. Booker),55,39
192,2,4:09.0,,D. Booker makes free throw 1 of 2,55,40
193,2,4:09.0,,J. Jackson enters the game for T. Warren,55,40
194,2,4:09.0,J. Embiid enters the game for A. Johnson,,55,40
195,2,4:09.0,J. Redick enters the game for D. Šarić,,55,40
196,2,4:09.0,T. Booker enters the game for R. Covington,,55,40
197,2,4:09.0,,D. Booker makes free throw 2 of 2,55,41
198,2,3:59.0,J. Redick misses 3-pt jump shot from 25 ft,,55,41
199,2,3:55.0,Offensive rebound by T. Booker,,55,41
200,2,3:48.0,T. Booker makes 2-pt layup at rim (assist by T. McConnell),,57,41
201,2,3:29.0,,T. Chandler makes 2-pt layup at rim (assist by T. Ulis),57,43
202,2,3:17.0,Turnover by J. Embiid (bad pass; steal by J. Jackson),,57,43
203,2,2:59.0,,J. Jackson misses 3-pt jump shot from 24 ft,57,43
204,2,2:55.0,Defensive rebound by T. McConnell,,57,43
205,2,2:55.0,Personal take foul by J. Dudley (drawn by B. Simmons),,57,43
206,2,2:55.0,B. Simmons makes free throw 1 of 2,,58,43
207,2,2:55.0,,I. Canaan enters the game for T. Ulis,58,43
208,2,2:55.0,B. Simmons makes free throw 2 of 2,,59,43
209,2,2:31.0,,J. Jackson misses 2-pt layup from 1 ft,59,43
210,2,2:27.0,,Offensive rebound by J. Jackson,59,43
211,2,2:27.0,,J. Jackson misses 2-pt layup at rim,59,43
212,2,2:27.0,,Offensive rebound by T. Chandler,59,43
213,2,2:19.0,,J. Jackson misses 2-pt layup from 1 ft (block by B. Simmons),59,43
214,2,2:19.0,Defensive rebound by B. Simmons,,59,43
215,2,2:19.0,Offensive foul by J. Embiid (drawn by J. Jackson),,59,43
216,2,2:19.0,Turnover by J. Embiid (offensive foul),,59,43
217,2,2:19.0,A. Johnson enters the game for J. Embiid,,59,43
218,2,2:07.0,,T. Chandler makes 2-pt dunk at rim (assist by D. Booker),59,45
219,2,1:57.0,J. Redick misses 3-pt jump shot from 26 ft,,59,45
220,2,1:53.0,Offensive rebound by A. Johnson,,59,45
221,2,1:50.0,J. Redick makes 2-pt jump shot from 10 ft,,61,45
222,2,1:31.0,,Shooting foul by J. Redick (drawn by T. Chandler),61,45
223,2,1:31.0,,T. Chandler misses free throw 1 of 2,61,45
224,2,1:31.0,,Offensive rebound by Team,61,45
225,2,1:31.0,,T. Chandler misses free throw 2 of 2,61,45
226,2,1:29.0,Defensive rebound by A. Johnson,,61,45
227,2,1:14.0,,Violation by J. Jackson (kicked ball),61,45
228,2,1:08.0,J. Redick misses 3-pt jump shot from 26 ft,,61,45
229,2,1:05.0,Offensive rebound by A. Johnson,,61,45
230,2,1:04.0,B. Simmons makes 2-pt dunk at rim (assist by A. Johnson),,63,45
231,2,0:49.0,,J. Jackson makes 2-pt jump shot from 9 ft,63,47
232,2,0:49.0,,Shooting block foul by J. Redick (drawn by J. Jackson),63,47
233,2,0:49.0,J. Bayless enters the game for J. Redick,,63,47
234,2,0:49.0,,J. Jackson makes free throw 1 of 1,63,48
235,2,0:30.0,T. McConnell misses 2-pt jump shot from 11 ft,,63,48
236,2,0:27.0,,Defensive rebound by T. Chandler,63,48
237,2,0:09.0,,D. Booker misses 3-pt jump shot from 27 ft,63,48
238,2,0:06.0,,Offensive rebound by Team,63,48
239,2,0:06.0,,Personal foul by T. Booker (drawn by J. Jackson),63,48
240,2,0:06.0,,J. Jackson makes free throw 1 of 2,63,49
241,2,0:06.0,,T. Ulis enters the game for D. Booker,63,49
242,2,0:06.0,,T. Daniels enters the game for I. Canaan,63,49
243,2,0:06.0,,J. Jackson misses free throw 2 of 2,63,49
244,2,0:05.0,Defensive rebound by B. Simmons,,63,49
245,2,0:00.0,A. Johnson misses 2-pt layup from 2 ft,,63,49
246,2,0:00.0,Offensive rebound by Team,,63,49
247,3,11:47.0,,Turnover by T. Warren (bad pass; steal by D. Šarić),63,49
248,3,11:43.0,R. Covington makes 3-pt jump shot from 25 ft (assist by B. Simmons),,66,49
249,3,11:19.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by M. Chriss),66,52
250,3,11:08.0,Personal foul by T. Ulis (drawn by J. Redick),,66,52
251,3,11:05.0,Turnover by B. Simmons (discontinued dribble),,66,52
252,3,10:56.0,,Shooting foul by R. Covington (drawn by D. Booker),66,52
253,3,10:56.0,,D. Booker makes free throw 1 of 2,66,53
254,3,10:56.0,J. Bayless enters the game for R. Covington,,66,53
255,3,10:56.0,,D. Booker makes free throw 2 of 2,66,54
256,3,10:41.0,J. Embiid makes 2-pt hook shot from 7 ft,,68,54
257,3,10:31.0,,Turnover by D. Booker (bad pass; steal by D. Šarić),68,54
258,3,10:28.0,Shooting foul by M. Chriss (drawn by J. Redick),,68,54
259,3,10:28.0,J. Redick makes free throw 1 of 2,,69,54
260,3,10:28.0,J. Redick makes free throw 2 of 2,,70,54
261,3,10:12.0,,D. Booker misses 3-pt jump shot from 25 ft,70,54
262,3,10:11.0,Defensive rebound by Team,,70,54
263,3,9:57.0,J. Embiid makes 2-pt jump shot from 11 ft (assist by J. Redick),,72,54
264,3,9:44.0,,T. Warren misses 2-pt jump shot from 10 ft,72,54
265,3,9:44.0,,Offensive rebound by Team,72,54
266,3,9:44.0,,Personal foul by D. Šarić (drawn by M. Chriss),72,54
267,3,9:37.0,,Shooting foul by J. Embiid (drawn by M. Chriss),72,54
268,3,9:37.0,,M. Chriss misses free throw 1 of 2,72,54
269,3,9:37.0,,Offensive rebound by Team,72,54
270,3,9:37.0,A. Johnson enters the game for J. Embiid,,72,54
271,3,9:37.0,,M. Chriss makes free throw 2 of 2,72,55
272,3,9:20.0,Shooting foul by T. Ulis (drawn by J. Redick),,72,55
273,3,9:20.0,J. Redick makes free throw 1 of 2,,73,55
274,3,9:20.0,J. Redick misses free throw 2 of 2,,73,55
275,3,9:18.0,,Defensive rebound by T. Chandler,73,55
276,3,9:11.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by M. Chriss),73,58
277,3,9:02.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),,76,58
278,3,8:44.0,,M. Chriss makes 3-pt jump shot from 25 ft (assist by T. Ulis),76,61
279,3,8:30.0,J. Redick misses 2-pt jump shot from 16 ft,,76,61
280,3,8:28.0,,Defensive rebound by M. Chriss,76,61
281,3,8:18.0,,M. Chriss makes 3-pt jump shot from 25 ft (assist by T. Ulis),76,64
282,3,8:17.0,Philadelphia full timeout,,76,64
283,3,8:05.0,Personal foul by T. Ulis (drawn by J. Redick),,76,64
284,3,7:56.0,Turnover by D. Šarić (bad pass; steal by M. Chriss),,76,64
285,3,7:51.0,,T. Warren misses 2-pt jump shot from 9 ft,76,64
286,3,7:50.0,,Offensive rebound by Team,76,64
287,3,7:50.0,T. McConnell enters the game for J. Redick,,76,64
288,3,7:48.0,,T. Chandler makes 2-pt dunk at rim (assist by T. Ulis),76,66
289,3,7:41.0,Turnover by B. Simmons (lost ball; steal by T. Ulis),,76,66
290,3,7:41.0,,Personal foul by B. Simmons (drawn by T. Ulis),76,66
291,3,7:30.0,,T. Warren misses 2-pt layup from 7 ft (block by B. Simmons),76,66
292,3,7:30.0,,Offensive rebound by Team,76,66
293,3,7:28.0,,M. Chriss misses 3-pt jump shot from 25 ft,76,66
294,3,7:24.0,,Offensive rebound by T. Ulis,76,66
295,3,7:23.0,,D. Booker makes 3-pt jump shot from 27 ft (assist by T. Ulis),76,69
296,3,7:00.0,D. Šarić misses 2-pt layup from 6 ft,,76,69
297,3,6:57.0,,Defensive rebound by M. Chriss,76,69
298,3,6:47.0,,Personal foul by J. Bayless (drawn by D. Booker),76,69
299,3,6:47.0,,Technical foul by M. Chriss,76,69
300,3,6:47.0,D. Šarić makes technical free throw,,77,69
301,3,6:47.0,,D. Booker misses free throw 1 of 2,77,69
302,3,6:47.0,,Offensive rebound by Team,77,69
303,3,6:47.0,,D. Booker makes free throw 2 of 2,77,70
304,3,6:32.0,B. Simmons makes 2-pt jump shot from 13 ft,,79,70
305,3,6:14.0,,T. Warren makes 2-pt jump shot from 18 ft (assist by D. Booker),79,72
306,3,5:59.0,T. McConnell makes 2-pt jump shot from 9 ft,,81,72
307,3,5:46.0,,Turnover by D. Booker (bad pass; steal by B. Simmons),81,72
308,3,5:41.0,B. Simmons misses 2-pt layup at rim (block by M. Chriss),,81,72
309,3,5:40.0,,Defensive rebound by Team,81,72
310,3,5:40.0,,A. Len enters the game for T. Chandler,81,72
311,3,5:33.0,,T. Ulis misses 2-pt layup from 3 ft (block by B. Simmons),81,72
312,3,5:32.0,Defensive rebound by Team,,81,72
313,3,5:32.0,,Personal foul by B. Simmons (drawn by D. Booker),81,72
314,3,5:32.0,Turnover by B. Simmons (turnover),,81,72
315,3,5:32.0,,D. Booker makes free throw 1 of 1,81,73
316,3,5:32.0,J. Redick enters the game for B. Simmons,,81,73
317,3,5:28.0,,Shooting foul by J. Redick (drawn by T. Warren),81,73
318,3,5:28.0,,T. Warren makes free throw 1 of 2,81,74
319,3,5:28.0,,T. Warren makes free throw 2 of 2,81,75
320,3,5:15.0,Turnover by T. McConnell (bad pass; steal by T. Ulis),,81,75
321,3,5:12.0,,T. Warren makes 2-pt dunk from 1 ft (assist by T. Ulis),81,77
322,3,5:12.0,,Shooting foul by A. Johnson (drawn by T. Warren),81,77
323,3,5:12.0,J. Embiid enters the game for A. Johnson,,81,77
324,3,5:12.0,T. Booker enters the game for D. Šarić,,81,77
325,3,5:12.0,,T. Warren makes free throw 1 of 1,81,78
326,3,5:02.0,Personal foul by D. Booker (drawn by J. Embiid),,81,78
327,3,5:02.0,J. Embiid makes free throw 1 of 2,,82,78
328,3,5:02.0,T. Luwawu-Cabarrot enters the game for J. Redick,,82,78
329,3,5:02.0,J. Embiid misses free throw 2 of 2,,82,78
330,3,5:00.0,,Defensive rebound by M. Chriss,82,78
331,3,4:44.0,,D. Booker misses 2-pt jump shot from 12 ft,82,78
332,3,4:39.0,,Offensive rebound by M. Chriss,82,78
333,3,4:39.0,,M. Chriss makes 2-pt dunk at rim,82,80
334,3,4:25.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,,82,80
335,3,4:23.0,,Defensive rebound by M. Chriss,82,80
336,3,4:20.0,,Turnover by M. Chriss (turnover; steal by T. Booker),82,80
337,3,4:12.0,Turnover by T. Luwawu-Cabarrot (bad pass),,82,80
338,3,3:53.0,,T. Warren makes 2-pt jump shot from 13 ft,82,82
339,3,3:32.0,Shooting foul by A. Len (drawn by J. Embiid),,82,82
340,3,3:32.0,J. Embiid makes free throw 1 of 2,,83,82
341,3,3:32.0,J. Embiid makes free throw 2 of 2,,84,82
342,3,3:12.0,,T. Ulis misses 3-pt jump shot from 26 ft,84,82
343,3,3:11.0,Defensive rebound by Team,,84,82
344,3,2:55.0,J. Embiid misses 2-pt layup from 1 ft (block by A. Len),,84,82
345,3,2:53.0,,Defensive rebound by A. Len,84,82
346,3,2:51.0,,D. Booker makes 2-pt jump shot from 12 ft,84,84
347,3,2:51.0,,Shooting foul by J. Bayless (drawn by D. Booker),84,84
348,3,2:51.0,,Phoenix full timeout,84,84
349,3,2:51.0,,J. Jackson enters the game for T. Warren,84,84
350,3,2:51.0,D. Šarić enters the game for T. Booker,,84,84
351,3,2:51.0,,D. Booker makes free throw 1 of 1,84,85
352,3,2:37.0,Turnover by J. Embiid (bad pass),,84,85
353,3,2:37.0,,T. Daniels enters the game for D. Booker,84,85
354,3,2:26.0,,J. Jackson makes 2-pt jump shot from 12 ft,84,87
355,3,2:13.0,D. Šarić makes 2-pt layup from 1 ft (assist by J. Embiid),,86,87
356,3,2:01.0,,T. Daniels misses 3-pt jump shot from 26 ft,86,87
357,3,1:57.0,Defensive rebound by J. Embiid,,86,87
358,3,1:46.0,Personal block foul by A. Len (drawn by J. Embiid),,86,87
359,3,1:46.0,J. Embiid makes free throw 1 of 2,,87,87
360,3,1:46.0,,D. Bender enters the game for M. Chriss,87,87
361,3,1:46.0,J. Embiid misses free throw 2 of 2,,87,87
362,3,1:43.0,Offensive rebound by T. Luwawu-Cabarrot,,87,87
363,3,1:42.0,J. Embiid misses 3-pt jump shot from 25 ft,,87,87
364,3,1:40.0,,Defensive rebound by A. Len,87,87
365,3,1:28.0,,J. Jackson misses 2-pt jump shot from 6 ft,87,87
366,3,1:25.0,Defensive rebound by T. McConnell,,87,87
367,3,1:25.0,Turnover by J. Bayless (step out of bounds),,87,87
368,3,1:14.0,,T. Daniels misses 3-pt jump shot from 22 ft (block by J. Bayless),87,87
369,3,1:11.0,Defensive rebound by D. Šarić,,87,87
370,3,0:56.0,J. Embiid makes 2-pt jump shot from 15 ft,,89,87
371,3,0:56.0,Shooting foul by J. Jackson (drawn by J. Embiid),,89,87
372,3,0:56.0,J. Embiid makes free throw 1 of 1,,90,87
373,3,0:42.0,,T. Ulis makes 2-pt jump shot from 16 ft,90,89
374,3,0:30.0,T. McConnell makes 2-pt layup at rim,,92,89
375,3,0:07.0,,T. Ulis misses 2-pt jump shot from 14 ft,92,89
376,3,0:03.0,,Offensive rebound by A. Len,92,89
377,3,0:02.0,,A. Len misses 2-pt layup from 4 ft,92,89
378,3,0:02.0,Defensive rebound by D. Šarić,,92,89
379,4,11:40.0,J. Embiid makes 2-pt layup from 1 ft,,94,89
380,4,11:23.0,,D. Booker makes 3-pt jump shot from 22 ft (assist by I. Canaan),94,92
381,4,11:06.0,J. Embiid makes 2-pt jump shot from 10 ft,,96,92
382,4,10:48.0,,I. Canaan makes 2-pt layup from 1 ft,96,94
383,4,10:26.0,Shooting foul by D. Bender (drawn by T. Luwawu-Cabarrot),,96,94
384,4,10:26.0,T. Luwawu-Cabarrot makes free throw 1 of 2,,97,94
385,4,10:26.0,,T. Chandler enters the game for A. Len,97,94
