,QUARTER,TIME_REMAINING,DALLAS_ACTION,BOSTON_ACTION,DALLAS_SCORE,BOSTON_SCORE
86,1,3:27.0,D. Harris enters the game for M. Kleber,,18,19
87,1,3:27.0,H. Barnes misses free throw 2 of 2,,18,19
88,1,3:23.0,,Defensive rebound by A. Horford,18,19
89,1,3:13.0,,T. Rozier misses 3-pt jump shot from 24 ft,18,19
90,1,3:12.0,,Offensive rebound by J. Tatum,18,19
91,1,3:12.0,,Shooting foul by D. Harris (drawn by J. Tatum),18,19
92,1,3:12.0,,J. Tatum misses free throw 1 of 2,18,19
93,1,3:12.0,,Offensive rebound by Team,18,19
94,1,3:12.0,D. Nowitzki enters the game for H. Barnes,,18,19
95,1,3:12.0,,J. Tatum makes free throw 2 of 2,18,20
96,1,3:12.0,Dallas full timeout,,18,20
97,1,2:58.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,18,20
98,1,2:54.0,,Defensive rebound by J. Tatum,18,20
99,1,2:43.0,,S. Larkin makes 2-pt layup from 1 ft (assist by A. Horford),18,22
100,1,2:31.0,J. Barea misses 2-pt jump shot from 8 ft,,18,22
101,1,2:28.0,,Defensive rebound by A. Horford,18,22
102,1,2:18.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by T. Rozier),18,24
103,1,2:02.0,D. Nowitzki makes 2-pt jump shot from 20 ft,,20,24
104,1,1:48.0,,Personal foul by Y. Ferrell (drawn by S. Larkin),20,24
105,1,1:48.0,,D. Theis enters the game for A. Horford,20,24
106,1,1:48.0,,M. Smart enters the game for J. Tatum,20,24
107,1,1:40.0,Personal foul by D. Theis (drawn by J. Barea),,20,24
108,1,1:40.0,,Turnover by D. Theis (turnover),20,24
109,1,1:22.0,Turnover by D. Powell (bad pass; steal by S. Larkin),,20,24
110,1,1:09.0,,S. Larkin misses 2-pt jump shot from 19 ft,20,24
111,1,1:04.0,Defensive rebound by J. Barea,,20,24
112,1,0:59.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by J. Barea),,22,24
113,1,0:44.0,,M. Smart misses 2-pt jump shot from 13 ft,22,24
114,1,0:41.0,Defensive rebound by J. Barea,,22,24
115,1,0:36.0,J. Barea makes 3-pt jump shot from 26 ft,,25,24
116,1,0:22.0,,T. Rozier misses 3-pt jump shot from 25 ft,25,24
117,1,0:15.0,Defensive rebound by D. Powell,,25,24
118,1,0:04.0,Shooting foul by S. Larkin (drawn by J. Barea),,25,24
119,1,0:04.0,J. Barea makes free throw 1 of 2,,26,24
120,1,0:04.0,A. Cleveland enters the game for D. Nowitzki,,26,24
121,1,0:04.0,J. Barea misses free throw 2 of 2,,26,24
122,1,0:02.0,,Defensive rebound by D. Theis,26,24
123,2,11:45.0,,G. Yabusele misses 3-pt jump shot from 24 ft,26,24
124,2,11:41.0,Defensive rebound by Y. Ferrell,,26,24
125,2,11:32.0,D. Harris misses 2-pt layup from 3 ft,,26,24
126,2,11:31.0,Offensive rebound by D. Powell,,26,24
127,2,11:31.0,D. Powell makes 2-pt layup at rim,,28,24
128,2,11:12.0,,S. Larkin misses 3-pt jump shot from 25 ft,28,24
129,2,11:09.0,Defensive rebound by D. Nowitzki,,28,24
130,2,11:02.0,D. Harris makes 2-pt layup from 1 ft (assist by J. Barea),,30,24
131,2,10:44.0,,Turnover by M. Smart (traveling),30,24
132,2,10:28.0,Turnover by J. Barea (bad pass; steal by S. Larkin),,30,24
133,2,10:22.0,,D. Theis misses 3-pt jump shot from 24 ft,30,24
134,2,10:17.0,,Offensive rebound by G. Yabusele,30,24
135,2,10:16.0,,S. Larkin misses 3-pt jump shot from 25 ft,30,24
136,2,10:14.0,Defensive rebound by Y. Ferrell,,30,24
137,2,10:05.0,D. Nowitzki misses 2-pt jump shot from 9 ft,,30,24
138,2,10:03.0,,Defensive rebound by D. Theis,30,24
139,2,9:54.0,,S. Larkin makes 3-pt jump shot from 24 ft (assist by G. Yabusele),30,27
140,2,9:52.0,,Loose ball foul by M. Smart (drawn by Y. Ferrell),30,27
141,2,9:52.0,,A. Nader enters the game for M. Smart,30,27
142,2,9:37.0,D. Nowitzki makes 3-pt jump shot from 22 ft (assist by J. Barea),,33,27
143,2,9:26.0,,S. Larkin makes 3-pt jump shot from 24 ft (assist by G. Yabusele),33,30
144,2,9:08.0,Shooting foul by D. Theis (drawn by D. Harris),,33,30
145,2,9:08.0,D. Harris makes free throw 1 of 2,,34,30
146,2,9:08.0,D. Harris makes free throw 2 of 2,,35,30
147,2,8:45.0,,G. Yabusele makes 3-pt jump shot from 25 ft (assist by D. Theis),35,33
148,2,8:23.0,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by D. Harris),,37,33
149,2,7:56.0,,T. Rozier misses 3-pt jump shot from 24 ft,37,33
150,2,7:53.0,Defensive rebound by D. Powell,,37,33
151,2,7:40.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,37,33
152,2,7:35.0,,Defensive rebound by D. Theis,37,33
153,2,7:28.0,,A. Nader makes 3-pt jump shot from 23 ft (assist by G. Yabusele),37,36
154,2,7:28.0,Dallas full timeout,,37,36
155,2,7:28.0,H. Barnes enters the game for D. Harris,,37,36
156,2,7:28.0,D. Smith enters the game for D. Nowitzki,,37,36
157,2,7:28.0,,K. Irving enters the game for D. Theis,37,36
158,2,7:28.0,,S. Ojeleye enters the game for S. Larkin,37,36
159,2,7:09.0,H. Barnes makes 2-pt jump shot from 12 ft,,39,36
160,2,6:45.0,,K. Irving makes 2-pt jump shot from 15 ft,39,38
161,2,6:28.0,J. Barea misses 3-pt jump shot from 26 ft,,39,38
162,2,6:25.0,,Defensive rebound by T. Rozier,39,38
163,2,6:17.0,,G. Yabusele misses 2-pt layup from 4 ft,39,38
164,2,6:17.0,,Offensive rebound by K. Irving,39,38
165,2,6:12.0,,K. Irving misses 3-pt jump shot from 23 ft,39,38
166,2,6:12.0,Defensive rebound by D. Powell,,39,38
167,2,5:58.0,D. Smith misses 2-pt jump shot from 18 ft,,39,38
168,2,5:58.0,Offensive rebound by D. Powell,,39,38
169,2,5:51.0,D. Smith misses 2-pt layup from 5 ft (block by A. Nader),,39,38
170,2,5:51.0,,Defensive rebound by G. Yabusele,39,38
171,2,5:43.0,,A. Nader misses 2-pt layup from 6 ft,39,38
172,2,5:43.0,Defensive rebound by D. Smith,,39,38
173,2,5:25.0,Shooting foul by K. Irving (drawn by H. Barnes),,39,38
174,2,5:25.0,H. Barnes makes free throw 1 of 2,,40,38
175,2,5:25.0,,J. Tatum enters the game for T. Rozier,40,38
176,2,5:25.0,,A. Horford enters the game for G. Yabusele,40,38
177,2,5:25.0,W. Matthews enters the game for J. Barea,,40,38
178,2,5:25.0,M. Kleber enters the game for D. Powell,,40,38
179,2,5:25.0,H. Barnes makes free throw 2 of 2,,41,38
180,2,5:11.0,,K. Irving makes 2-pt layup from 2 ft (assist by A. Horford),41,40
181,2,4:57.0,D. Smith makes 3-pt jump shot from 22 ft (assist by H. Barnes),,44,40
182,2,4:36.0,,A. Horford misses 2-pt layup from 2 ft,44,40
183,2,4:36.0,Defensive rebound by Y. Ferrell,,44,40
184,2,4:27.0,Y. Ferrell makes 3-pt jump shot from 26 ft,,47,40
185,2,4:14.0,,S. Ojeleye misses 3-pt jump shot from 24 ft,47,40
186,2,4:11.0,,Offensive rebound by A. Horford,47,40
187,2,4:08.0,,J. Tatum misses 2-pt layup from 4 ft (block by M. Kleber),47,40
188,2,4:08.0,Defensive rebound by M. Kleber,,47,40
189,2,4:02.0,Turnover by M. Kleber (bad pass; steal by A. Nader),,47,40
190,2,3:57.0,,A. Nader misses 3-pt jump shot from 22 ft,47,40
191,2,3:54.0,,Offensive rebound by A. Horford,47,40
192,2,3:53.0,,A. Horford makes 2-pt layup from 3 ft,47,42
193,2,3:40.0,Y. Ferrell makes 3-pt jump shot from 24 ft (assist by M. Kleber),,50,42
194,2,3:16.0,,J. Tatum makes 2-pt jump shot from 16 ft (assist by A. Horford),50,44
195,2,3:02.0,M. Kleber makes 3-pt jump shot from 22 ft (assist by Y. Ferrell),,53,44
196,2,2:51.0,,Boston full timeout,53,44
197,2,2:51.0,,M. Smart enters the game for A. Nader,53,44
198,2,2:51.0,,D. Theis enters the game for S. Ojeleye,53,44
199,2,2:42.0,,Turnover by D. Theis (bad pass; steal by D. Smith),53,44
200,2,2:35.0,D. Smith misses 2-pt jump shot from 8 ft,,53,44
201,2,2:32.0,,Defensive rebound by J. Tatum,53,44
202,2,2:14.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by A. Horford),53,47
203,2,1:58.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,53,47
204,2,1:54.0,,Defensive rebound by D. Theis,53,47
205,2,1:48.0,,K. Irving misses 2-pt layup from 5 ft,53,47
206,2,1:46.0,Defensive rebound by M. Kleber,,53,47
207,2,1:29.0,W. Matthews makes 2-pt jump shot from 13 ft (assist by Y. Ferrell),,55,47
208,2,1:15.0,,K. Irving misses 3-pt jump shot from 24 ft,55,47
209,2,1:12.0,Defensive rebound by M. Kleber,,55,47
210,2,1:02.0,W. Matthews misses 3-pt jump shot from 26 ft,,55,47
211,2,0:59.0,,Defensive rebound by D. Theis,55,47
212,2,0:51.0,,A. Horford misses 2-pt dunk at rim (block by M. Kleber),55,47
213,2,0:51.0,,Offensive rebound by D. Theis,55,47
214,2,0:46.0,,D. Theis misses 2-pt layup from 3 ft (block by M. Kleber),55,47
215,2,0:46.0,Defensive rebound by Y. Ferrell,,55,47
216,2,0:29.0,D. Smith makes 2-pt layup from 3 ft,,57,47
217,2,0:11.0,,Turnover by K. Irving (lost ball; steal by Y. Ferrell),57,47
218,2,0:01.0,D. Smith misses 2-pt jump shot from 15 ft,,57,47
219,2,0:01.0,,Defensive rebound by D. Theis,57,47
220,3,11:42.0,,A. Horford misses 2-pt hook shot from 9 ft,57,47
221,3,11:39.0,Defensive rebound by D. Nowitzki,,57,47
222,3,11:29.0,M. Kleber makes 2-pt layup from 2 ft (assist by D. Smith),,59,47
223,3,11:11.0,,J. Tatum misses 2-pt layup from 7 ft,59,47
224,3,11:06.0,Defensive rebound by D. Nowitzki,,59,47
225,3,10:52.0,D. Smith misses 2-pt layup from 5 ft (block by A. Baynes),,59,47
226,3,10:48.0,,Defensive rebound by M. Smart,59,47
227,3,10:45.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart),59,50
228,3,10:27.0,D. Smith misses 3-pt jump shot from 24 ft,,59,50
229,3,10:24.0,,Defensive rebound by A. Baynes,59,50
230,3,10:16.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),59,53
231,3,9:53.0,H. Barnes misses 2-pt layup from 9 ft (block by K. Irving),,59,53
232,3,9:49.0,,Defensive rebound by A. Baynes,59,53
233,3,9:48.0,,A. Horford makes 2-pt dunk from 2 ft (assist by M. Smart),59,55
234,3,9:48.0,Dallas full timeout,,59,55
235,3,9:32.0,Turnover by W. Matthews (lost ball; steal by J. Tatum),,59,55
236,3,9:29.0,,J. Tatum makes 2-pt dunk at rim,59,57
237,3,9:10.0,Turnover by W. Matthews (bad pass),,59,57
238,3,8:55.0,,Turnover by K. Irving (bad pass; steal by D. Nowitzki),59,57
239,3,8:40.0,D. Smith misses 2-pt jump shot from 10 ft,,59,57
240,3,8:36.0,,Defensive rebound by A. Baynes,59,57
241,3,8:28.0,,K. Irving makes 2-pt layup from 4 ft (assist by A. Horford),59,59
242,3,8:03.0,H. Barnes makes 2-pt jump shot from 9 ft,,61,59
243,3,7:54.0,,K. Irving misses 2-pt layup from 3 ft (block by M. Kleber),61,59
244,3,7:51.0,Defensive rebound by D. Nowitzki,,61,59
245,3,7:40.0,M. Kleber misses 2-pt jump shot from 15 ft,,61,59
246,3,7:36.0,,Defensive rebound by J. Tatum,61,59
247,3,7:29.0,,A. Baynes misses 2-pt jump shot from 21 ft,61,59
248,3,7:26.0,Defensive rebound by D. Nowitzki,,61,59
249,3,7:18.0,D. Smith misses 3-pt jump shot from 24 ft,,61,59
250,3,7:14.0,Offensive rebound by D. Smith,,61,59
251,3,7:13.0,W. Matthews misses 3-pt jump shot from 23 ft,,61,59
252,3,7:13.0,,Defensive rebound by A. Baynes,61,59
253,3,7:00.0,,A. Horford misses 2-pt jump shot from 8 ft,61,59
254,3,6:56.0,Defensive rebound by D. Nowitzki,,61,59
255,3,6:35.0,W. Matthews misses 2-pt jump shot from 14 ft,,61,59
256,3,6:34.0,Offensive rebound by Team,,61,59
257,3,6:34.0,Turnover by Team (shot clock),,61,59
258,3,6:21.0,,A. Horford makes 3-pt jump shot from 23 ft (assist by K. Irving),61,62
259,3,6:19.0,Dallas full timeout,,61,62
260,3,6:19.0,,S. Ojeleye enters the game for A. Baynes,61,62
261,3,6:19.0,Y. Ferrell enters the game for D. Smith,,61,62
262,3,6:19.0,J. Barea enters the game for D. Nowitzki,,61,62
263,3,6:02.0,H. Barnes makes 2-pt jump shot from 16 ft (assist by J. Barea),,63,62
264,3,5:44.0,,A. Horford makes 2-pt dunk from 1 ft (assist by M. Smart),63,64
265,3,5:19.0,H. Barnes makes 2-pt jump shot from 9 ft,,65,64
266,3,5:02.0,,J. Tatum makes 2-pt jump shot from 15 ft (assist by M. Smart),65,66
267,3,4:46.0,Y. Ferrell misses 2-pt layup from 2 ft,,65,66
268,3,4:46.0,,Defensive rebound by Team,65,66
269,3,4:46.0,,T. Rozier enters the game for J. Tatum,65,66
270,3,4:28.0,,Turnover by M. Smart (bad pass; steal by W. Matthews),65,66
271,3,4:24.0,J. Barea makes 2-pt layup from 1 ft (assist by H. Barnes),,67,66
272,3,4:07.0,,A. Horford misses 2-pt hook shot from 10 ft,67,66
273,3,4:04.0,Defensive rebound by W. Matthews,,67,66
274,3,3:41.0,Turnover by Team (shot clock),,67,66
275,3,3:23.0,,A. Horford misses 2-pt hook shot from 8 ft,67,66
276,3,3:20.0,Defensive rebound by H. Barnes,,67,66
277,3,3:09.0,H. Barnes misses 2-pt jump shot from 15 ft,,67,66
278,3,3:06.0,,Defensive rebound by T. Rozier,67,66
279,3,3:03.0,,T. Rozier makes 2-pt layup from 4 ft,67,68
280,3,2:43.0,H. Barnes makes 2-pt jump shot from 17 ft,,69,68
281,3,2:42.0,,Boston full timeout,69,68
282,3,2:42.0,,S. Larkin enters the game for K. Irving,69,68
283,3,2:42.0,D. Harris enters the game for W. Matthews,,69,68
284,3,2:28.0,,T. Rozier misses 3-pt jump shot from 26 ft,69,68
285,3,2:25.0,Defensive rebound by H. Barnes,,69,68
286,3,2:13.0,D. Harris misses 2-pt layup from 2 ft,,69,68
287,3,2:11.0,,Defensive rebound by A. Horford,69,68
288,3,2:04.0,,S. Ojeleye misses 3-pt jump shot from 22 ft,69,68
289,3,2:00.0,Defensive rebound by J. Barea,,69,68
290,3,1:51.0,M. Kleber makes 2-pt dunk from 1 ft (assist by Y. Ferrell),,71,68
291,3,1:39.0,,T. Rozier misses 3-pt jump shot from 27 ft,71,68
292,3,1:35.0,Defensive rebound by H. Barnes,,71,68
293,3,1:20.0,Turnover by J. Barea (bad pass; steal by A. Horford),,71,68
294,3,1:06.0,,S. Ojeleye misses 3-pt jump shot from 25 ft,71,68
295,3,1:02.0,Defensive rebound by J. Barea,,71,68
296,3,0:50.0,H. Barnes makes 2-pt layup from 1 ft,,73,68
297,3,0:36.0,,M. Smart misses 2-pt jump shot from 7 ft,73,68
298,3,0:33.0,Defensive rebound by J. Barea,,73,68
299,3,0:30.0,J. Barea misses 3-pt jump shot from 26 ft,,73,68
300,3,0:27.0,,Defensive rebound by S. Ojeleye,73,68
301,3,0:18.0,,Shooting foul by D. Harris (drawn by T. Rozier),73,68
302,3,0:18.0,,T. Rozier makes free throw 1 of 2,73,69
303,3,0:18.0,,J. Tatum enters the game for S. Larkin,73,69
304,3,0:18.0,D. Nowitzki enters the game for H. Barnes,,73,69
305,3,0:18.0,D. Powell enters the game for M. Kleber,,73,69
306,3,0:18.0,,T. Rozier makes free throw 2 of 2,73,70
307,3,0:12.0,Personal foul by T. Rozier (drawn by J. Barea),,73,70
308,3,0:04.0,D. Powell misses 2-pt layup from 2 ft (block by A. Horford),,73,70
309,3,0:00.0,,Defensive rebound by J. Tatum,73,70
310,3,0:00.0,,J. Tatum misses 3-pt jump shot from 33 ft,73,70
311,3,0:00.0,,Offensive rebound by Team,73,70
312,4,11:44.0,D. Harris misses 3-pt jump shot from 24 ft,,73,70
313,4,11:40.0,,Defensive rebound by S. Larkin,73,70
314,4,11:27.0,,D. Theis makes 2-pt dunk from 1 ft (assist by S. Larkin),73,72
315,4,11:12.0,Y. Ferrell misses 2-pt layup from 1 ft,,73,72
316,4,11:12.0,Offensive rebound by Team,,73,72
317,4,11:12.0,W. Matthews enters the game for D. Harris,,73,72
318,4,11:04.0,J. Barea misses 2-pt jump shot from 16 ft,,73,72
319,4,10:54.0,Offensive rebound by D. Powell,,73,72
320,4,10:54.0,D. Powell misses 2-pt dunk at rim (block by D. Theis),,73,72
321,4,10:53.0,,Defensive rebound by T. Rozier,73,72
322,4,10:51.0,,J. Tatum misses 2-pt jump shot from 16 ft,73,72
323,4,10:51.0,Defensive rebound by D. Powell,,73,72
324,4,10:39.0,J. Barea misses 2-pt jump shot from 10 ft,,73,72
325,4,10:39.0,,Defensive rebound by T. Rozier,73,72
326,4,10:32.0,,Shooting foul by D. Powell (drawn by T. Rozier),73,72
327,4,10:32.0,,T. Rozier makes free throw 1 of 2,73,73
328,4,10:32.0,,T. Rozier makes free throw 2 of 2,73,74
329,4,10:15.0,Personal foul by J. Tatum (drawn by W. Matthews),,73,74
330,4,10:10.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,73,74
331,4,10:06.0,,Defensive rebound by D. Theis,73,74
332,4,9:48.0,,J. Tatum misses 2-pt jump shot from 22 ft,73,74
333,4,9:44.0,,Offensive rebound by D. Theis,73,74
334,4,9:43.0,,S. Larkin makes 3-pt jump shot from 27 ft (assist by D. Theis),73,77
335,4,9:22.0,D. Powell misses 2-pt layup from 5 ft,,73,77
336,4,9:21.0,,Defensive rebound by S. Larkin,73,77
337,4,9:21.0,,Personal foul by D. Powell (drawn by S. Larkin),73,77
338,4,9:08.0,,T. Rozier makes 3-pt jump shot from 26 ft (assist by S. Larkin),73,80
339,4,9:07.0,Dallas full timeout,,73,80
340,4,9:07.0,D. Harris enters the game for W. Matthews,,73,80
341,4,8:52.0,Shooting foul by S. Ojeleye (drawn by D. Nowitzki),,73,80
342,4,8:52.0,D. Nowitzki makes free throw 1 of 2,,74,80
343,4,8:52.0,S. Mejri enters the game for D. Powell,,74,80
344,4,8:52.0,D. Nowitzki makes free throw 2 of 2,,75,80
345,4,8:40.0,,S. Larkin misses 2-pt jump shot from 15 ft,75,80
346,4,8:39.0,Defensive rebound by Team,,75,80
347,4,8:25.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,75,80
348,4,8:22.0,,Defensive rebound by T. Rozier,75,80
349,4,8:12.0,,Shooting foul by S. Mejri (drawn by D. Theis),75,80
350,4,8:12.0,,D. Theis misses free throw 1 of 2,75,80
351,4,8:12.0,,Offensive rebound by Team,75,80
352,4,8:12.0,,D. Theis makes free throw 2 of 2,75,81
353,4,7:59.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Barea),,78,81
354,4,7:40.0,,D. Theis misses 2-pt jump shot from 15 ft,78,81
355,4,7:35.0,Defensive rebound by Y. Ferrell,,78,81
356,4,7:24.0,J. Barea makes 3-pt jump shot from 25 ft (assist by S. Mejri),,81,81
357,4,7:23.0,,Boston full timeout,81,81
358,4,7:23.0,,M. Smart enters the game for J. Tatum,81,81
359,4,7:23.0,,K. Irving enters the game for S. Larkin,81,81
360,4,7:03.0,,K. Irving misses 3-pt jump shot from 24 ft,81,81
361,4,6:59.0,,Offensive rebound by S. Ojeleye,81,81
362,4,6:58.0,,Personal foul by Y. Ferrell (drawn by D. Theis),81,81
363,4,6:51.0,,T. Rozier misses 2-pt jump shot from 20 ft,81,81
364,4,6:50.0,,Offensive rebound by D. Theis,81,81
365,4,6:50.0,,D. Theis makes 2-pt dunk at rim,81,83
366,4,6:32.0,J. Barea misses 3-pt jump shot from 25 ft,,81,83
367,4,6:32.0,,Defensive rebound by T. Rozier,81,83
368,4,6:20.0,,K. Irving makes 2-pt jump shot from 15 ft,81,85
369,4,5:53.0,Turnover by Y. Ferrell (lost ball; steal by D. Theis),,81,85
370,4,5:48.0,,Turnover by K. Irving (bad pass; steal by D. Harris),81,85
371,4,5:41.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by J. Barea),,83,85
372,4,5:23.0,,K. Irving misses 3-pt jump shot from 27 ft,83,85
373,4,5:20.0,Defensive rebound by S. Mejri,,83,85
374,4,5:11.0,Turnover by J. Barea (bad pass; steal by D. Theis),,83,85
375,4,5:02.0,,Boston full timeout,83,85
376,4,5:02.0,,J. Tatum enters the game for D. Theis,83,85
377,4,5:02.0,,A. Horford enters the game for S. Ojeleye,83,85
378,4,5:02.0,H. Barnes enters the game for Y. Ferrell,,83,85
379,4,5:02.0,M. Kleber enters the game for D. Harris,,83,85
380,4,5:02.0,W. Matthews enters the game for D. Nowitzki,,83,85
381,4,5:02.0,D. Smith enters the game for S. Mejri,,83,85
382,4,4:51.0,,A. Horford misses 2-pt hook shot from 7 ft,83,85
383,4,4:48.0,Defensive rebound by H. Barnes,,83,85
384,4,4:31.0,H. Barnes makes 2-pt jump shot from 11 ft,,85,85
385,4,4:14.0,,M. Smart makes 2-pt layup from 2 ft (assist by A. Horford),85,87
386,4,3:52.0,H. Barnes misses 2-pt layup from 5 ft,,85,87
