,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,TORONTO_ACTION,MINNESOTA_SCORE,TORONTO_SCORE
33,1,7:12.0,J. Butler makes free throw 1 of 2,,7,6
34,1,7:12.0,,N. Powell enters the game for O. Anunoby,7,6
35,1,7:12.0,J. Butler makes free throw 2 of 2,,8,6
36,1,6:48.0,,D. DeRozan misses 2-pt jump shot from 12 ft,8,6
37,1,6:48.0,,Offensive rebound by Team,8,6
38,1,6:48.0,,Turnover by Team (shot clock),8,6
39,1,6:48.0,,Toronto full timeout,8,6
40,1,6:32.0,A. Wiggins misses 2-pt jump shot from 16 ft,,8,6
41,1,6:28.0,Offensive rebound by J. Teague,,8,6
42,1,6:25.0,Shooting foul by N. Powell (drawn by J. Teague),,8,6
43,1,6:25.0,J. Teague misses free throw 1 of 2,,8,6
44,1,6:25.0,Offensive rebound by Team,,8,6
45,1,6:25.0,J. Teague makes free throw 2 of 2,,9,6
46,1,6:14.0,,S. Ibaka makes 3-pt jump shot from 22 ft (assist by D. DeRozan),9,9
47,1,6:00.0,T. Gibson makes 2-pt jump shot from 14 ft (assist by J. Teague),,11,9
48,1,5:44.0,,S. Ibaka makes 2-pt jump shot from 20 ft (assist by D. DeRozan),11,11
49,1,5:26.0,T. Gibson makes 2-pt jump shot from 4 ft (assist by A. Wiggins),,13,11
50,1,5:05.0,,D. DeRozan misses 3-pt jump shot from 22 ft,13,11
51,1,5:03.0,Defensive rebound by J. Teague,,13,11
52,1,4:56.0,J. Butler misses 2-pt jump shot from 14 ft,,13,11
53,1,4:54.0,,Defensive rebound by J. Valančiūnas,13,11
54,1,4:48.0,,N. Powell misses 3-pt jump shot from 23 ft,13,11
55,1,4:46.0,Defensive rebound by K. Towns,,13,11
56,1,4:41.0,A. Wiggins misses 2-pt jump shot from 19 ft,,13,11
57,1,4:39.0,,Defensive rebound by J. Valančiūnas,13,11
58,1,4:35.0,,Shooting foul by K. Towns (drawn by S. Ibaka),13,11
59,1,4:35.0,,S. Ibaka misses free throw 1 of 2,13,11
60,1,4:35.0,,Offensive rebound by Team,13,11
61,1,4:35.0,,J. Poeltl enters the game for J. Valančiūnas,13,11
62,1,4:35.0,G. Dieng enters the game for K. Towns,,13,11
63,1,4:35.0,,S. Ibaka makes free throw 2 of 2,13,12
64,1,4:17.0,Personal foul by K. Lowry (drawn by T. Gibson),,13,12
65,1,4:05.0,J. Butler makes 2-pt jump shot from 10 ft,,15,12
66,1,3:53.0,,J. Poeltl misses 2-pt layup from 7 ft (block by G. Dieng),15,12
67,1,3:50.0,Defensive rebound by J. Butler,,15,12
68,1,3:41.0,A. Wiggins misses 2-pt hook shot from 8 ft,,15,12
69,1,3:41.0,,Defensive rebound by S. Ibaka,15,12
70,1,3:35.0,,N. Powell makes 3-pt jump shot from 23 ft (assist by K. Lowry),15,15
71,1,3:19.0,A. Wiggins misses 3-pt jump shot from 24 ft,,15,15
72,1,3:17.0,Offensive rebound by T. Gibson,,15,15
73,1,3:10.0,G. Dieng makes 2-pt jump shot from 16 ft,,17,15
74,1,2:53.0,,D. DeRozan makes 2-pt dunk from 2 ft (assist by K. Lowry),17,17
75,1,2:43.0,Shooting foul by J. Poeltl (drawn by G. Dieng),,17,17
76,1,2:43.0,Minnesota full timeout,,17,17
77,1,2:43.0,,D. Wright enters the game for K. Lowry,17,17
78,1,2:43.0,,P. Siakam enters the game for S. Ibaka,17,17
79,1,2:43.0,N. Bjelica enters the game for J. Teague,,17,17
80,1,2:43.0,T. Jones enters the game for T. Gibson,,17,17
81,1,2:43.0,G. Dieng makes free throw 1 of 2,,18,17
82,1,2:43.0,G. Dieng makes free throw 2 of 2,,19,17
83,1,2:29.0,,D. DeRozan misses 2-pt layup from 2 ft (block by G. Dieng),19,17
84,1,2:27.0,Defensive rebound by A. Wiggins,,19,17
85,1,2:06.0,A. Wiggins makes 2-pt jump shot from 15 ft (assist by J. Butler),,21,17
86,1,1:47.0,,D. DeRozan misses 2-pt jump shot from 15 ft,21,17
87,1,1:45.0,,Offensive rebound by J. Poeltl,21,17
88,1,1:44.0,,N. Powell misses 3-pt jump shot from 25 ft,21,17
89,1,1:41.0,Defensive rebound by N. Bjelica,,21,17
90,1,1:29.0,G. Dieng makes 2-pt jump shot from 20 ft (assist by J. Butler),,23,17
91,1,1:07.0,,N. Powell misses 3-pt jump shot from 25 ft,23,17
92,1,1:04.0,Defensive rebound by N. Bjelica,,23,17
93,1,0:50.0,J. Butler makes 2-pt jump shot from 6 ft,,25,17
94,1,0:27.0,,D. DeRozan misses 2-pt jump shot from 14 ft,25,17
95,1,0:24.0,Defensive rebound by A. Wiggins,,25,17
96,1,0:03.0,A. Wiggins makes 2-pt jump shot from 16 ft,,27,17
97,1,0:00.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by D. DeRozan),27,19
98,2,11:42.0,J. Crawford misses 3-pt jump shot from 25 ft,,27,19
99,2,11:39.0,,Defensive rebound by F. VanVleet,27,19
100,2,11:35.0,,F. VanVleet makes 2-pt layup from 2 ft,27,21
101,2,11:18.0,G. Dieng makes 2-pt jump shot from 8 ft (assist by N. Bjelica),,29,21
102,2,10:58.0,,D. Wright misses 2-pt layup from 1 ft,29,21
103,2,10:56.0,Defensive rebound by A. Wiggins,,29,21
104,2,10:49.0,,Offensive charge foul by A. Wiggins (drawn by D. Wright),29,21
105,2,10:49.0,Turnover by A. Wiggins (offensive foul),,29,21
106,2,10:49.0,S. Muhammad enters the game for A. Wiggins,,29,21
107,2,10:34.0,,Personal foul by N. Bjelica (drawn by P. Siakam),29,21
108,2,10:25.0,,P. Siakam misses 2-pt layup from 1 ft,29,21
109,2,10:23.0,Defensive rebound by N. Bjelica,,29,21
110,2,10:10.0,S. Muhammad misses 2-pt layup from 7 ft (block by J. Poeltl),,29,21
111,2,10:09.0,Offensive rebound by N. Bjelica,,29,21
112,2,10:09.0,Shooting foul by F. VanVleet (drawn by N. Bjelica),,29,21
113,2,10:09.0,N. Bjelica makes free throw 1 of 2,,30,21
114,2,10:09.0,N. Bjelica makes free throw 2 of 2,,31,21
115,2,9:57.0,,P. Siakam makes 2-pt layup from 3 ft (assist by F. VanVleet),31,23
116,2,9:57.0,,Shooting foul by N. Bjelica (drawn by P. Siakam),31,23
117,2,9:57.0,,P. Siakam misses free throw 1 of 1,31,23
118,2,9:54.0,Defensive rebound by N. Bjelica,,31,23
119,2,9:41.0,G. Dieng makes 2-pt jump shot from 21 ft (assist by T. Jones),,33,23
120,2,9:21.0,,Turnover by P. Siakam (traveling),33,23
121,2,9:01.0,S. Muhammad misses 2-pt layup from 3 ft (block by N. Powell),,33,23
122,2,9:01.0,,Defensive rebound by F. VanVleet,33,23
123,2,9:01.0,,Personal foul by G. Dieng (drawn by F. VanVleet),33,23
124,2,8:45.0,,Turnover by F. VanVleet (bad pass; steal by N. Bjelica),33,23
125,2,8:31.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by J. Crawford),,36,23
126,2,8:24.0,,Toronto full timeout,36,23
127,2,8:24.0,,K. Lowry enters the game for N. Powell,36,23
128,2,8:19.0,,Shooting foul by T. Jones (drawn by K. Lowry),36,23
129,2,8:19.0,,K. Lowry makes free throw 1 of 2,36,24
130,2,8:19.0,,K. Lowry makes free throw 2 of 2,36,25
131,2,7:58.0,J. Crawford makes 2-pt jump shot from 22 ft,,38,25
132,2,7:46.0,,F. VanVleet makes 3-pt jump shot from 25 ft (assist by P. Siakam),38,28
133,2,7:34.0,T. Jones makes 2-pt jump shot from 14 ft,,40,28
134,2,7:22.0,,F. VanVleet makes 2-pt layup from 3 ft (assist by D. Wright),40,30
135,2,7:08.0,G. Dieng makes 2-pt layup from 2 ft (assist by J. Crawford),,42,30
136,2,6:51.0,,J. Poeltl makes 2-pt hook shot from 5 ft (assist by K. Lowry),42,32
137,2,6:51.0,Violation by G. Dieng (def goaltending),,42,32
138,2,6:27.0,G. Dieng makes 2-pt jump shot from 14 ft,,44,32
139,2,6:15.0,,Turnover by J. Poeltl (lost ball; steal by J. Crawford),44,32
140,2,6:11.0,Shooting foul by P. Siakam (drawn by S. Muhammad),,44,32
141,2,6:11.0,S. Muhammad misses free throw 1 of 2,,44,32
142,2,6:11.0,Offensive rebound by Team,,44,32
143,2,6:11.0,,S. Ibaka enters the game for J. Poeltl,44,32
144,2,6:11.0,,J. Valančiūnas enters the game for P. Siakam,44,32
145,2,6:11.0,S. Muhammad makes free throw 2 of 2,,45,32
146,2,6:03.0,,K. Lowry misses 3-pt jump shot from 25 ft,45,32
147,2,6:01.0,Defensive rebound by S. Muhammad,,45,32
148,2,5:53.0,J. Crawford misses 2-pt layup from 3 ft,,45,32
149,2,5:52.0,Offensive rebound by S. Muhammad,,45,32
150,2,5:52.0,S. Muhammad misses 2-pt layup at rim,,45,32
151,2,5:52.0,Offensive rebound by Team,,45,32
152,2,5:52.0,,D. DeRozan enters the game for D. Wright,45,32
153,2,5:52.0,J. Butler enters the game for S. Muhammad,,45,32
154,2,5:40.0,G. Dieng misses 2-pt jump shot from 9 ft,,45,32
155,2,5:37.0,,Defensive rebound by D. DeRozan,45,32
156,2,5:31.0,,S. Ibaka makes 3-pt jump shot from 24 ft (assist by D. DeRozan),45,35
157,2,5:23.0,Minnesota full timeout,,45,35
158,2,5:23.0,J. Teague enters the game for T. Jones,,45,35
159,2,5:23.0,K. Towns enters the game for G. Dieng,,45,35
160,2,5:13.0,J. Crawford misses 2-pt jump shot from 19 ft,,45,35
161,2,5:10.0,,Defensive rebound by S. Ibaka,45,35
162,2,4:54.0,,K. Lowry misses 3-pt jump shot from 22 ft,45,35
163,2,4:51.0,Defensive rebound by K. Towns,,45,35
164,2,4:33.0,J. Butler makes 2-pt jump shot from 11 ft,,47,35
165,2,4:15.0,,Personal foul by J. Crawford (drawn by K. Lowry),47,35
166,2,4:15.0,,K. Lowry makes free throw 1 of 2,47,36
167,2,4:15.0,,K. Lowry makes free throw 2 of 2,47,37
168,2,3:55.0,J. Teague makes 2-pt layup from 3 ft (assist by J. Butler),,49,37
169,2,3:34.0,,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Lowry),49,39
170,2,3:16.0,J. Butler makes 2-pt layup from 2 ft,,51,39
171,2,2:55.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by S. Ibaka),51,42
172,2,2:45.0,Turnover by J. Teague (bad pass; steal by J. Valančiūnas),,51,42
173,2,2:41.0,,F. VanVleet misses 2-pt layup from 1 ft,51,42
174,2,2:41.0,Defensive rebound by Team,,51,42
175,2,2:41.0,,Loose ball foul by S. Ibaka (drawn by J. Butler),51,42
176,2,2:41.0,,O. Anunoby enters the game for F. VanVleet,51,42
177,2,2:41.0,T. Gibson enters the game for N. Bjelica,,51,42
178,2,2:41.0,A. Wiggins enters the game for J. Crawford,,51,42
179,2,2:24.0,K. Towns makes 2-pt layup from 1 ft (assist by J. Butler),,53,42
180,2,2:09.0,,J. Valančiūnas makes 2-pt jump shot from 17 ft (assist by K. Lowry),53,44
181,2,1:50.0,T. Gibson makes 2-pt jump shot from 12 ft,,55,44
182,2,1:25.0,,J. Valančiūnas makes 2-pt dunk from 2 ft (assist by S. Ibaka),55,46
183,2,0:58.0,,Offensive charge foul by J. Teague (drawn by K. Lowry),55,46
184,2,0:58.0,Turnover by J. Teague (offensive foul),,55,46
185,2,0:46.0,,Shooting foul by J. Butler (drawn by D. DeRozan),55,46
186,2,0:46.0,,D. DeRozan makes free throw 1 of 2,55,47
187,2,0:46.0,,D. DeRozan makes free throw 2 of 2,55,48
188,2,0:38.0,Personal foul by S. Ibaka (drawn by K. Towns),,55,48
189,2,0:25.0,J. Butler makes 2-pt jump shot from 14 ft,,57,48
190,2,0:06.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. DeRozan),57,51
191,2,0:00.0,A. Wiggins misses 2-pt jump shot from 12 ft,,57,51
192,2,0:00.0,Offensive rebound by Team,,57,51
193,3,11:38.0,J. Butler misses 2-pt jump shot from 7 ft,,57,51
194,3,11:35.0,,Defensive rebound by J. Valančiūnas,57,51
195,3,11:29.0,,K. Lowry makes 2-pt layup from 2 ft,57,53
196,3,11:08.0,,Offensive charge foul by T. Gibson,57,53
197,3,11:08.0,Turnover by T. Gibson (offensive foul),,57,53
198,3,11:08.0,Technical foul by T. Gibson,,57,53
199,3,11:08.0,,D. DeRozan makes technical free throw,57,54
200,3,10:55.0,,J. Valančiūnas misses 2-pt jump shot from 7 ft,57,54
201,3,10:52.0,Defensive rebound by T. Gibson,,57,54
202,3,10:46.0,J. Teague makes 2-pt jump shot from 10 ft,,59,54
203,3,10:46.0,Shooting foul by O. Anunoby (drawn by J. Teague),,59,54
204,3,10:46.0,J. Teague misses free throw 1 of 1,,59,54
205,3,10:44.0,,Defensive rebound by J. Valančiūnas,59,54
206,3,10:35.0,,S. Ibaka misses 3-pt jump shot from 25 ft,59,54
207,3,10:31.0,,Offensive rebound by O. Anunoby,59,54
208,3,10:19.0,,D. DeRozan makes 2-pt jump shot from 14 ft,59,56
209,3,10:03.0,A. Wiggins makes 2-pt jump shot from 17 ft,,61,56
210,3,9:49.0,,Shooting foul by J. Teague (drawn by D. DeRozan),61,56
211,3,9:49.0,,D. DeRozan misses free throw 1 of 2,61,56
212,3,9:49.0,,Offensive rebound by Team,61,56
213,3,9:49.0,,D. DeRozan makes free throw 2 of 2,61,57
214,3,9:38.0,A. Wiggins makes 2-pt layup from 3 ft (assist by K. Towns),,63,57
215,3,9:25.0,,O. Anunoby misses 3-pt jump shot from 25 ft,63,57
216,3,9:21.0,Defensive rebound by K. Towns,,63,57
217,3,9:15.0,J. Teague misses 2-pt jump shot from 7 ft,,63,57
218,3,9:12.0,,Defensive rebound by J. Valančiūnas,63,57
219,3,9:00.0,,K. Lowry misses 2-pt layup from 5 ft,63,57
220,3,8:57.0,,Offensive rebound by J. Valančiūnas,63,57
221,3,8:55.0,,J. Valančiūnas makes 2-pt dunk from 1 ft,63,59
222,3,8:40.0,J. Teague makes 2-pt layup from 2 ft (assist by T. Gibson),,65,59
223,3,8:27.0,,O. Anunoby makes 3-pt jump shot from 22 ft (assist by S. Ibaka),65,62
224,3,8:06.0,J. Teague makes 2-pt jump shot from 11 ft,,67,62
225,3,7:52.0,,D. DeRozan makes 3-pt jump shot from 24 ft (assist by K. Lowry),67,65
226,3,7:29.0,K. Towns misses 2-pt jump shot from 21 ft,,67,65
227,3,7:26.0,Offensive rebound by A. Wiggins,,67,65
228,3,7:25.0,J. Butler makes 3-pt jump shot from 25 ft (assist by J. Teague),,70,65
229,3,7:09.0,,S. Ibaka misses 2-pt jump shot from 13 ft,70,65
230,3,7:07.0,Defensive rebound by A. Wiggins,,70,65
231,3,6:54.0,K. Towns misses 2-pt jump shot from 3 ft,,70,65
232,3,6:51.0,,Defensive rebound by K. Lowry,70,65
233,3,6:45.0,,Turnover by J. Valančiūnas (out of bounds lost ball),70,65
234,3,6:45.0,,Toronto full timeout,70,65
235,3,6:26.0,Shooting foul by J. Valančiūnas (drawn by K. Towns),,70,65
236,3,6:26.0,K. Towns makes free throw 1 of 2,,71,65
237,3,6:26.0,K. Towns makes free throw 2 of 2,,72,65
238,3,6:16.0,,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by K. Lowry),72,67
239,3,5:57.0,T. Gibson misses 2-pt layup from 4 ft,,72,67
240,3,5:55.0,,Defensive rebound by O. Anunoby,72,67
241,3,5:45.0,,D. DeRozan makes 2-pt jump shot from 13 ft,72,69
242,3,5:30.0,K. Towns misses 2-pt layup from 1 ft,,72,69
243,3,5:27.0,Offensive rebound by Team,,72,69
244,3,5:27.0,,Technical foul by S. Ibaka,72,69
245,3,5:27.0,K. Towns makes free throw 1 of 1,,73,69
246,3,5:14.0,T. Gibson misses 2-pt jump shot from 19 ft,,73,69
247,3,5:12.0,,Defensive rebound by Team,73,69
248,3,5:02.0,,K. Lowry misses 3-pt jump shot from 26 ft,73,69
249,3,4:59.0,Defensive rebound by A. Wiggins,,73,69
250,3,4:41.0,A. Wiggins misses 2-pt jump shot from 19 ft,,73,69
251,3,4:37.0,Offensive rebound by T. Gibson,,73,69
252,3,4:35.0,T. Gibson misses 2-pt jump shot from 2 ft,,73,69
253,3,4:35.0,,Defensive rebound by O. Anunoby,73,69
254,3,4:33.0,,Turnover by D. DeRozan (traveling),73,69
255,3,4:33.0,G. Dieng enters the game for K. Towns,,73,69
256,3,4:23.0,J. Teague misses 2-pt jump shot from 5 ft,,73,69
257,3,4:20.0,,Defensive rebound by D. DeRozan,73,69
258,3,4:13.0,,D. DeRozan makes 2-pt jump shot from 18 ft,73,71
259,3,3:53.0,Shooting foul by O. Anunoby (drawn by J. Butler),,73,71
260,3,3:53.0,J. Butler misses free throw 1 of 2,,73,71
261,3,3:53.0,Offensive rebound by Team,,73,71
262,3,3:53.0,,N. Powell enters the game for O. Anunoby,73,71
263,3,3:53.0,J. Butler makes free throw 2 of 2,,74,71
264,3,3:40.0,,D. DeRozan misses 3-pt jump shot from 26 ft,74,71
265,3,3:36.0,,Offensive rebound by J. Valančiūnas,74,71
266,3,3:34.0,,J. Valančiūnas makes 2-pt dunk from 1 ft,74,73
267,3,3:21.0,A. Wiggins misses 3-pt jump shot from 25 ft,,74,73
268,3,3:17.0,Offensive rebound by J. Teague,,74,73
269,3,3:14.0,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),,76,73
270,3,3:01.0,,Turnover by K. Lowry (bad pass; steal by G. Dieng),76,73
271,3,2:53.0,Turnover by A. Wiggins (bad pass; steal by D. DeRozan),,76,73
272,3,2:52.0,,K. Lowry makes 2-pt layup from 2 ft (assist by D. DeRozan),76,75
273,3,2:52.0,,Shooting foul by J. Teague (drawn by K. Lowry),76,75
274,3,2:52.0,Minnesota full timeout,,76,75
275,3,2:52.0,,J. Poeltl enters the game for J. Valančiūnas,76,75
276,3,2:52.0,N. Bjelica enters the game for J. Teague,,76,75
277,3,2:52.0,T. Jones enters the game for T. Gibson,,76,75
278,3,2:52.0,,K. Lowry makes free throw 1 of 1,76,76
279,3,2:33.0,J. Butler misses 2-pt jump shot from 3 ft (block by J. Poeltl),,76,76
280,3,2:33.0,Offensive rebound by J. Butler,,76,76
281,3,2:33.0,,D. Wright enters the game for K. Lowry,76,76
282,3,2:27.0,J. Butler makes 2-pt jump shot from 19 ft,,78,76
283,3,2:05.0,,S. Ibaka misses 2-pt jump shot from 10 ft,78,76
284,3,2:03.0,Defensive rebound by J. Butler,,78,76
285,3,1:46.0,J. Butler makes 2-pt layup from 1 ft (assist by N. Bjelica),,80,76
286,3,1:32.0,,D. DeRozan misses 3-pt jump shot from 24 ft,80,76
287,3,1:29.0,Defensive rebound by A. Wiggins,,80,76
288,3,1:15.0,J. Butler misses 2-pt jump shot from 15 ft,,80,76
289,3,1:13.0,,Defensive rebound by S. Ibaka,80,76
290,3,1:05.0,,D. Wright misses 2-pt jump shot from 19 ft,80,76
291,3,1:02.0,Defensive rebound by J. Butler,,80,76
292,3,0:45.0,A. Wiggins misses 2-pt layup from 2 ft,,80,76
293,3,0:43.0,,Defensive rebound by S. Ibaka,80,76
294,3,0:32.0,,J. Poeltl makes 2-pt dunk at rim (assist by D. Wright),80,78
295,3,0:09.0,A. Wiggins misses 3-pt jump shot from 25 ft,,80,78
296,3,0:06.0,,Defensive rebound by N. Powell,80,78
297,3,0:00.0,,D. DeRozan misses 2-pt jump shot from 19 ft,80,78
298,3,0:00.0,,Offensive rebound by Team,80,78
299,4,11:43.0,,D. Wright misses 3-pt jump shot from 24 ft,80,78
300,4,11:41.0,,Offensive rebound by Team,80,78
301,4,11:34.0,,Turnover by N. Powell (traveling),80,78
302,4,11:18.0,Turnover by A. Wiggins (lost ball; steal by N. Powell),,80,78
303,4,11:14.0,,N. Powell makes 2-pt dunk from 1 ft,80,80
304,4,10:53.0,A. Wiggins makes 2-pt layup from 2 ft,,82,80
305,4,10:41.0,,P. Siakam misses 2-pt layup from 3 ft,82,80
306,4,10:36.0,,Offensive rebound by J. Poeltl,82,80
307,4,10:36.0,,J. Poeltl makes 2-pt layup at rim,82,82
308,4,10:26.0,A. Wiggins misses 2-pt dunk from 3 ft,,82,82
309,4,10:24.0,,Defensive rebound by P. Siakam,82,82
310,4,10:21.0,,Shooting block foul by N. Bjelica (drawn by P. Siakam),82,82
311,4,10:21.0,,P. Siakam misses free throw 1 of 2,82,82
312,4,10:21.0,,Offensive rebound by Team,82,82
313,4,10:21.0,S. Muhammad enters the game for A. Wiggins,,82,82
314,4,10:21.0,,P. Siakam makes free throw 2 of 2,82,83
315,4,10:00.0,J. Crawford makes 2-pt jump shot from 21 ft,,84,83
316,4,9:37.0,,F. VanVleet misses 3-pt jump shot from 22 ft,84,83
317,4,9:34.0,Defensive rebound by G. Dieng,,84,83
318,4,9:28.0,Turnover by S. Muhammad (turnover),,84,83
319,4,9:18.0,,Shooting foul by J. Crawford (drawn by D. Wright),84,83
320,4,9:18.0,,D. Wright makes free throw 1 of 2,84,84
321,4,9:18.0,,D. Wright makes free throw 2 of 2,84,85
322,4,9:06.0,J. Crawford misses 2-pt jump shot from 21 ft,,84,85
323,4,9:03.0,,Defensive rebound by N. Powell,84,85
324,4,8:58.0,,N. Powell misses 2-pt jump shot from 6 ft,84,85
325,4,8:50.0,,Offensive rebound by J. Poeltl,84,85
326,4,8:50.0,,J. Poeltl makes 2-pt layup at rim,84,87
327,4,8:38.0,S. Muhammad misses 2-pt layup from 3 ft,,84,87
328,4,8:35.0,,Defensive rebound by P. Siakam,84,87
329,4,8:25.0,,N. Powell makes 3-pt jump shot from 22 ft (assist by P. Siakam),84,90
330,4,8:24.0,Minnesota full timeout,,84,90
331,4,8:24.0,K. Towns enters the game for G. Dieng,,84,90
332,4,8:24.0,J. Butler enters the game for S. Muhammad,,84,90
333,4,8:02.0,Shooting foul by J. Poeltl (drawn by J. Butler),,84,90
334,4,8:02.0,J. Butler misses free throw 1 of 2,,84,90
335,4,8:02.0,Offensive rebound by Team,,84,90
336,4,8:02.0,J. Butler misses free throw 2 of 2,,84,90
337,4,8:00.0,,Defensive rebound by N. Powell,84,90
338,4,7:46.0,,D. Wright misses 2-pt hook shot from 4 ft,84,90
339,4,7:42.0,,Offensive rebound by J. Poeltl,84,90
340,4,7:42.0,,J. Poeltl makes 2-pt layup at rim,84,92
341,4,7:28.0,Shooting foul by J. Poeltl (drawn by T. Jones),,84,92
342,4,7:28.0,T. Jones makes free throw 1 of 2,,85,92
343,4,7:28.0,T. Gibson enters the game for N. Bjelica,,85,92
344,4,7:28.0,T. Jones misses free throw 2 of 2,,85,92
345,4,7:26.0,,Defensive rebound by D. Wright,85,92
346,4,7:02.0,,F. VanVleet misses 3-pt jump shot from 23 ft,85,92
347,4,7:00.0,Defensive rebound by K. Towns,,85,92
348,4,6:49.0,Personal foul by F. VanVleet (drawn by T. Jones),,85,92
349,4,6:49.0,J. Teague enters the game for T. Jones,,85,92
350,4,6:49.0,,K. Lowry enters the game for N. Powell,85,92
351,4,6:49.0,,D. DeRozan enters the game for D. Wright,85,92
352,4,6:37.0,J. Butler misses 2-pt jump shot from 12 ft,,85,92
353,4,6:35.0,Offensive rebound by K. Towns,,85,92
354,4,6:35.0,Personal foul by J. Poeltl (drawn by K. Towns),,85,92
355,4,6:35.0,,S. Ibaka enters the game for P. Siakam,85,92
356,4,6:16.0,T. Gibson makes 2-pt jump shot from 6 ft (assist by J. Butler),,87,92
357,4,6:02.0,,K. Lowry misses 3-pt jump shot from 25 ft,87,92
358,4,6:00.0,Defensive rebound by J. Crawford,,87,92
359,4,5:53.0,Shooting foul by D. DeRozan (drawn by J. Butler),,87,92
360,4,5:53.0,J. Butler makes free throw 1 of 3,,88,92
361,4,5:53.0,J. Butler misses free throw 2 of 3,,88,92
362,4,5:53.0,Offensive rebound by Team,,88,92
363,4,5:53.0,,J. Valančiūnas enters the game for J. Poeltl,88,92
364,4,5:53.0,J. Butler makes free throw 3 of 3,,89,92
365,4,5:29.0,,J. Valančiūnas makes 2-pt jump shot from 2 ft (assist by K. Lowry),89,94
366,4,5:05.0,J. Butler misses 2-pt jump shot from 18 ft,,89,94
367,4,5:03.0,,Defensive rebound by S. Ibaka,89,94
368,4,4:50.0,,Toronto full timeout,89,94
369,4,4:50.0,A. Wiggins enters the game for J. Crawford,,89,94
370,4,4:47.0,,Shooting foul by K. Towns (drawn by D. DeRozan),89,94
371,4,4:47.0,,D. DeRozan makes free throw 1 of 2,89,95
372,4,4:47.0,,D. DeRozan makes free throw 2 of 2,89,96
373,4,4:24.0,K. Towns makes 2-pt dunk from 2 ft (assist by J. Butler),,91,96
374,4,4:05.0,,F. VanVleet makes 2-pt layup at rim (assist by J. Valančiūnas),91,98
375,4,4:05.0,,Shooting foul by J. Teague (drawn by F. VanVleet),91,98
376,4,4:05.0,,F. VanVleet makes free throw 1 of 1,91,99
377,4,3:40.0,J. Teague makes 3-pt jump shot from 25 ft (assist by K. Towns),,94,99
378,4,3:17.0,,J. Valančiūnas misses 2-pt layup from 1 ft,94,99
379,4,3:15.0,Defensive rebound by K. Towns,,94,99
380,4,3:06.0,A. Wiggins misses 2-pt hook shot from 8 ft,,94,99
