,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DETROIT_ACTION,HOUSTON_SCORE,DETROIT_SCORE
43,1,5:47.0,,I. Smith misses 2-pt layup from 4 ft,18,17
44,1,5:43.0,Defensive rebound by C. Capela,,18,17
45,1,5:41.0,G. Green misses 3-pt jump shot from 26 ft,,18,17
46,1,5:40.0,,Defensive rebound by Team,18,17
47,1,5:29.0,,T. Harris misses 3-pt jump shot from 28 ft,18,17
48,1,5:25.0,Defensive rebound by C. Capela,,18,17
49,1,5:06.0,T. Ariza makes 2-pt layup at rim,,20,17
50,1,4:52.0,,T. Harris makes 2-pt jump shot from 2 ft (assist by I. Smith),20,19
51,1,4:39.0,Personal foul by I. Smith (drawn by C. Capela),,20,19
52,1,4:39.0,,D. Buycks enters the game for I. Smith,20,19
53,1,4:39.0,T. Black enters the game for C. Capela,,20,19
54,1,4:34.0,Turnover by C. Paul (bad pass; steal by A. Bradley),,20,19
55,1,4:29.0,,Turnover by A. Bradley (bad pass; steal by C. Paul),20,19
56,1,4:23.0,T. Ariza makes 3-pt jump shot from 27 ft (assist by C. Paul),,23,19
57,1,3:53.0,,Shooting foul by P. Tucker (drawn by T. Harris),23,19
58,1,3:53.0,,T. Harris makes free throw 1 of 2,23,20
59,1,3:53.0,,T. Harris makes free throw 2 of 2,23,21
60,1,3:40.0,G. Green makes 3-pt jump shot from 26 ft (assist by C. Paul),,26,21
61,1,3:30.0,,Detroit full timeout,26,21
62,1,3:30.0,,L. Kennard enters the game for A. Bradley,26,21
63,1,3:17.0,,D. Buycks makes 3-pt jump shot from 30 ft,26,24
64,1,2:47.0,T. Ariza misses 3-pt jump shot from 26 ft,,26,24
65,1,2:47.0,Offensive rebound by Team,,26,24
66,1,2:42.0,C. Paul makes 2-pt jump shot from 13 ft,,28,24
67,1,2:19.0,,Turnover by E. Moreland (bad pass; steal by P. Tucker),28,24
68,1,2:11.0,G. Green makes 3-pt jump shot from 25 ft (assist by C. Paul),,31,24
69,1,1:42.0,,D. Buycks makes 3-pt jump shot from 27 ft (assist by L. Kennard),31,27
70,1,1:23.0,B. Weber enters the game for T. Ariza,,31,27
71,1,1:23.0,E. Gordon enters the game for C. Paul,,31,27
72,1,1:18.0,T. Black makes 2-pt dunk at rim (assist by E. Gordon),,33,27
73,1,1:01.0,,E. Moreland makes 2-pt dunk from 1 ft (assist by D. Buycks),33,29
74,1,0:44.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by B. Weber),,36,29
75,1,0:25.0,,Shooting foul by E. Gordon (drawn by T. Harris),36,29
76,1,0:25.0,,T. Harris makes free throw 1 of 2,36,30
77,1,0:25.0,C. Paul enters the game for B. Weber,,36,30
78,1,0:25.0,,T. Harris makes free throw 2 of 2,36,31
79,1,0:01.0,Shooting foul by E. Moreland (drawn by T. Black),,42,35
80,1,0:01.0,T. Black misses free throw 1 of 2,,42,35
81,1,0:01.0,Offensive rebound by Team,,42,35
82,1,0:01.0,,B. Marjanović enters the game for R. Bullock,42,35
83,1,0:01.0,,A. Tolliver enters the game for T. Harris,42,35
84,1,0:01.0,T. Black makes free throw 2 of 2,,37,31
85,1,0:00.0,,D. Buycks misses 3-pt jump shot from 65 ft,37,31
86,1,0:00.0,,Offensive rebound by Team,37,31
87,2,11:47.0,,Personal foul by B. Weber (drawn by D. Buycks),37,31
88,2,11:34.0,,B. Marjanović makes 2-pt hook shot from 5 ft (assist by L. Kennard),37,33
89,2,11:23.0,C. Capela misses 2-pt jump shot from 10 ft (block by D. Buycks),,37,33
90,2,11:19.0,,Offensive rebound by Team,37,33
91,2,11:04.0,,D. Buycks makes 2-pt layup from 1 ft (assist by B. Marjanović),37,35
92,2,10:52.0,B. Weber makes 3-pt jump shot from 27 ft (assist by E. Gordon),,40,35
93,2,10:31.0,,B. Marjanović misses 2-pt hook shot from 2 ft,40,35
94,2,10:28.0,Defensive rebound by E. Gordon,,40,35
95,2,10:16.0,C. Capela misses 2-pt layup from 3 ft,,40,35
96,2,10:15.0,,Defensive rebound by L. Kennard,40,35
97,2,10:07.0,,Turnover by B. Marjanović (traveling),40,35
98,2,9:57.0,G. Green misses 3-pt jump shot from 26 ft,,40,35
99,2,9:51.0,Offensive rebound by C. Capela,,40,35
100,2,9:41.0,R. Anderson misses 2-pt jump shot from 19 ft,,40,35
101,2,9:39.0,,Defensive rebound by B. Marjanović,40,35
102,2,9:27.0,,Turnover by D. Buycks (bad pass; steal by B. Weber),40,35
103,2,9:25.0,Shooting foul by D. Buycks (drawn by B. Weber),,40,35
104,2,9:25.0,B. Weber makes free throw 1 of 2,,41,35
105,2,9:25.0,T. Black enters the game for C. Capela,,41,35
106,2,9:25.0,B. Weber makes free throw 2 of 2,,42,35
107,2,9:11.0,,A. Bradley misses 2-pt jump shot from 17 ft,42,35
108,2,9:09.0,,Offensive rebound by B. Marjanović,42,35
109,2,9:07.0,,B. Marjanović makes 2-pt hook shot from 3 ft,42,37
110,2,8:57.0,R. Anderson misses 3-pt jump shot from 26 ft,,42,37
111,2,8:54.0,,Defensive rebound by L. Kennard,42,37
112,2,8:40.0,,A. Tolliver makes 2-pt hook shot from 3 ft,42,39
113,2,8:35.0,Personal foul by A. Tolliver (drawn by R. Anderson),,42,39
114,2,8:23.0,R. Anderson misses 3-pt jump shot from 25 ft,,42,39
115,2,8:20.0,,Defensive rebound by D. Buycks,42,39
116,2,8:09.0,,Turnover by L. Kennard (bad pass; steal by B. Weber),42,39
117,2,8:04.0,B. Weber misses 2-pt layup from 2 ft,,42,39
118,2,8:04.0,Offensive rebound by Team,,42,39
119,2,7:58.0,T. Black makes 2-pt layup from 1 ft (assist by E. Gordon),,44,39
120,2,7:48.0,,Detroit full timeout,44,39
121,2,7:48.0,T. Ariza enters the game for B. Weber,,44,39
122,2,7:44.0,,Shooting foul by T. Black (drawn by B. Marjanović),44,39
123,2,7:44.0,,B. Marjanović misses free throw 1 of 2,44,39
124,2,7:44.0,,Offensive rebound by Team,44,39
125,2,7:44.0,,B. Marjanović makes free throw 2 of 2,44,40
126,2,7:34.0,Turnover by E. Gordon (bad pass; steal by L. Kennard),,44,40
127,2,7:29.0,,L. Kennard misses 2-pt layup from 3 ft,44,40
128,2,7:29.0,,Offensive rebound by Team,44,40
129,2,7:22.0,,A. Bradley makes 2-pt jump shot from 19 ft,44,42
130,2,7:13.0,Personal foul by L. Kennard (drawn by G. Green),,44,42
131,2,7:13.0,,I. Smith enters the game for D. Buycks,44,42
132,2,6:59.0,E. Gordon makes 2-pt jump shot from 6 ft,,46,42
133,2,6:46.0,,Offensive foul by B. Marjanović (drawn by T. Ariza),46,42
134,2,6:46.0,,Turnover by B. Marjanović (offensive foul),46,42
135,2,6:33.0,G. Green misses 3-pt jump shot from 23 ft,,46,42
136,2,6:30.0,,Defensive rebound by B. Marjanović,46,42
137,2,6:21.0,,I. Smith makes 2-pt layup from 1 ft,46,44
138,2,6:09.0,T. Ariza misses 2-pt layup from 2 ft,,46,44
139,2,6:09.0,,Defensive rebound by I. Smith,46,44
140,2,5:59.0,,Shooting foul by T. Black (drawn by A. Tolliver),46,44
141,2,5:59.0,,A. Tolliver makes free throw 1 of 2,46,45
142,2,5:59.0,,E. Moreland enters the game for B. Marjanović,46,45
143,2,5:59.0,C. Paul enters the game for E. Gordon,,46,45
144,2,5:59.0,P. Tucker enters the game for T. Black,,46,45
145,2,5:59.0,C. Capela enters the game for R. Anderson,,46,45
146,2,5:59.0,,A. Tolliver makes free throw 2 of 2,46,46
147,2,5:45.0,Turnover by C. Paul (bad pass; steal by I. Smith),,46,46
148,2,5:33.0,,A. Tolliver misses 2-pt layup from 2 ft,46,46
149,2,5:29.0,Defensive rebound by C. Paul,,46,46
150,2,5:20.0,G. Green makes 3-pt jump shot from 28 ft (assist by C. Paul),,49,46
151,2,4:54.0,,I. Smith misses 2-pt layup from 2 ft,49,46
152,2,4:52.0,Defensive rebound by G. Green,,49,46
153,2,4:43.0,Turnover by C. Paul (lost ball; steal by L. Kennard),,49,46
154,2,4:39.0,,A. Bradley makes 2-pt layup from 2 ft (assist by L. Kennard),49,48
155,2,4:16.0,T. Ariza makes 2-pt layup at rim,,51,48
156,2,4:05.0,,A. Bradley makes 3-pt jump shot from 28 ft (assist by I. Smith),51,51
157,2,3:48.0,T. Ariza misses 3-pt jump shot from 23 ft,,51,51
158,2,3:45.0,,Defensive rebound by L. Kennard,51,51
159,2,3:43.0,,L. Kennard misses 3-pt jump shot from 27 ft,51,51
160,2,3:37.0,Defensive rebound by C. Capela,,51,51
161,2,3:20.0,Houston full timeout,,51,51
162,2,3:20.0,,T. Harris enters the game for L. Kennard,51,51
163,2,3:20.0,,R. Bullock enters the game for A. Tolliver,51,51
164,2,3:20.0,E. Gordon enters the game for G. Green,,51,51
165,2,3:20.0,C. Paul makes technical free throw,,52,51
166,2,3:12.0,Personal foul by A. Bradley (drawn by C. Paul),,52,51
167,2,3:02.0,T. Ariza misses 2-pt layup at rim,,52,51
168,2,2:58.0,Offensive rebound by C. Capela,,52,51
169,2,2:58.0,C. Capela makes 2-pt dunk at rim,,54,51
170,2,2:53.0,,Personal foul by C. Capela (drawn by E. Moreland),54,51
171,2,2:46.0,,A. Bradley misses 2-pt jump shot from 21 ft,54,51
172,2,2:42.0,Defensive rebound by P. Tucker,,54,51
173,2,2:38.0,C. Paul misses 3-pt jump shot from 25 ft,,54,51
174,2,2:35.0,,Defensive rebound by I. Smith,54,51
175,2,2:22.0,,T. Harris makes 2-pt jump shot from 4 ft,54,53
176,2,2:06.0,Turnover by C. Capela (bad pass; steal by I. Smith),,54,53
177,2,2:03.0,,I. Smith makes 2-pt dunk from 1 ft,54,55
178,2,1:52.0,Shooting foul by A. Bradley (drawn by C. Paul),,54,55
179,2,1:52.0,C. Paul makes free throw 1 of 2,,55,55
180,2,1:52.0,,L. Kennard enters the game for I. Smith,55,55
181,2,1:52.0,,D. Buycks enters the game for A. Bradley,55,55
182,2,1:52.0,C. Paul makes free throw 2 of 2,,56,55
183,2,1:40.0,,Turnover by D. Buycks (bad pass),56,55
184,2,1:25.0,C. Capela makes 2-pt layup from 1 ft (assist by C. Paul),,58,55
185,2,1:07.0,,R. Bullock misses 3-pt jump shot from 23 ft,58,55
186,2,1:04.0,Defensive rebound by C. Capela,,58,55
187,2,0:59.0,E. Gordon misses 3-pt jump shot from 25 ft,,58,55
188,2,0:53.0,Offensive rebound by C. Paul,,58,55
189,2,0:52.0,Turnover by C. Paul (lost ball; steal by E. Moreland),,58,55
190,2,0:47.0,,T. Harris makes 2-pt jump shot from 14 ft,58,57
191,2,0:30.0,C. Paul misses 3-pt jump shot from 25 ft,,58,57
192,2,0:25.0,,Defensive rebound by R. Bullock,58,57
193,2,0:03.0,,D. Buycks misses 2-pt jump shot from 21 ft (block by C. Capela),58,57
194,2,0:03.0,Defensive rebound by C. Paul,,58,57
195,2,0:00.0,C. Paul misses 3-pt jump shot from 43 ft,,58,57
196,2,0:00.0,Offensive rebound by Team,,58,57
197,3,11:40.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by R. Bullock),58,60
198,3,11:17.0,C. Capela misses 2-pt layup from 2 ft,,58,60
199,3,11:15.0,,Defensive rebound by E. Moreland,58,60
200,3,11:09.0,,I. Smith misses 2-pt layup from 2 ft,58,60
201,3,11:05.0,Defensive rebound by T. Ariza,,58,60
202,3,10:56.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by C. Paul),,61,60
203,3,10:36.0,,T. Harris misses 3-pt jump shot from 26 ft,61,60
204,3,10:33.0,,Offensive rebound by E. Moreland,61,60
205,3,10:26.0,,I. Smith misses 3-pt jump shot from 25 ft,61,60
206,3,10:24.0,Defensive rebound by T. Ariza,,61,60
207,3,10:12.0,R. Anderson misses 3-pt jump shot from 26 ft,,61,60
208,3,10:09.0,,Defensive rebound by A. Bradley,61,60
209,3,9:52.0,,Turnover by A. Bradley (lost ball; steal by C. Paul),61,60
210,3,9:48.0,E. Gordon misses 2-pt layup from 3 ft (block by E. Moreland),,61,60
211,3,9:48.0,,Defensive rebound by Team,61,60
212,3,9:35.0,,I. Smith makes 2-pt jump shot from 7 ft,61,62
213,3,9:30.0,Personal foul by R. Bullock (drawn by E. Gordon),,61,62
214,3,9:22.0,C. Capela makes 2-pt layup from 3 ft (assist by C. Paul),,63,62
215,3,9:20.0,Technical foul by E. Gordon,,63,62
216,3,9:20.0,,T. Harris makes technical free throw,63,63
217,3,9:03.0,,Shooting foul by R. Anderson (drawn by R. Bullock),63,63
218,3,9:03.0,,R. Bullock misses free throw 1 of 2,63,63
219,3,9:03.0,,Offensive rebound by Team,63,63
220,3,9:03.0,,R. Bullock makes free throw 2 of 2,63,64
221,3,8:48.0,T. Ariza misses 3-pt jump shot from 26 ft,,63,64
222,3,8:44.0,,Defensive rebound by T. Harris,63,64
223,3,8:32.0,,I. Smith makes 2-pt jump shot from 5 ft,63,66
224,3,8:20.0,C. Capela misses 2-pt layup from 1 ft,,63,66
225,3,8:16.0,Offensive rebound by C. Capela,,63,66
226,3,8:16.0,C. Capela makes 2-pt layup at rim,,65,66
227,3,8:07.0,,A. Bradley misses 2-pt jump shot from 14 ft,65,66
228,3,8:03.0,Defensive rebound by R. Anderson,,65,66
229,3,7:48.0,Turnover by E. Gordon (lost ball; steal by E. Moreland),,65,66
230,3,7:26.0,,I. Smith makes 2-pt jump shot from 18 ft (assist by A. Bradley),65,68
231,3,7:12.0,Offensive foul by C. Paul (drawn by A. Bradley),,65,68
232,3,7:12.0,Turnover by C. Paul (offensive foul),,65,68
233,3,7:12.0,G. Green enters the game for E. Gordon,,65,68
234,3,6:59.0,,A. Bradley makes 2-pt dunk at rim (assist by E. Moreland),65,70
235,3,6:43.0,T. Ariza misses 3-pt jump shot from 22 ft,,65,70
236,3,6:43.0,,Defensive rebound by Team,65,70
237,3,6:43.0,,Detroit full timeout,65,70
238,3,6:30.0,,T. Harris makes 2-pt dunk at rim (assist by A. Bradley),65,72
239,3,6:15.0,G. Green misses 3-pt jump shot from 27 ft,,65,72
240,3,6:12.0,Offensive rebound by R. Anderson,,65,72
241,3,6:05.0,C. Paul misses 3-pt jump shot from 27 ft,,65,72
242,3,6:05.0,,Defensive rebound by E. Moreland,65,72
243,3,5:38.0,,T. Harris misses 2-pt jump shot from 15 ft,65,72
244,3,5:33.0,Defensive rebound by R. Anderson,,65,72
245,3,5:21.0,G. Green misses 2-pt jump shot from 10 ft,,65,72
246,3,5:18.0,,Defensive rebound by I. Smith,65,72
247,3,5:14.0,,A. Bradley misses 3-pt jump shot from 23 ft,65,72
248,3,5:10.0,Defensive rebound by G. Green,,65,72
249,3,5:02.0,T. Ariza misses 3-pt jump shot from 23 ft,,65,72
250,3,4:58.0,,Defensive rebound by T. Harris,65,72
251,3,4:48.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by E. Moreland),65,75
252,3,4:46.0,Houston full timeout,,65,75
253,3,4:46.0,P. Tucker enters the game for C. Capela,,65,75
254,3,4:46.0,T. Black enters the game for R. Anderson,,65,75
255,3,4:34.0,Turnover by T. Black (bad pass),,65,75
256,3,4:25.0,,A. Bradley misses 3-pt jump shot from 25 ft,65,75
257,3,4:21.0,Defensive rebound by C. Paul,,65,75
258,3,4:07.0,T. Ariza makes 2-pt dunk at rim (assist by P. Tucker),,67,75
259,3,3:52.0,,Personal foul by T. Ariza (drawn by A. Bradley),67,75
260,3,3:52.0,,B. Marjanović enters the game for I. Smith,67,75
261,3,3:52.0,,D. Buycks enters the game for E. Moreland,67,75
262,3,3:52.0,E. Gordon enters the game for T. Ariza,,67,75
263,3,3:52.0,B. Weber enters the game for C. Paul,,67,75
264,3,3:42.0,,D. Buycks makes 3-pt jump shot from 26 ft (assist by A. Bradley),67,78
265,3,3:19.0,G. Green makes 2-pt jump shot from 12 ft (assist by E. Gordon),,69,78
266,3,3:19.0,Shooting foul by D. Buycks (drawn by G. Green),,69,78
267,3,3:19.0,,L. Kennard enters the game for A. Bradley,69,78
268,3,3:19.0,G. Green makes free throw 1 of 1,,70,78
269,3,3:02.0,,Shooting foul by P. Tucker (drawn by T. Harris),70,78
270,3,3:02.0,,T. Harris makes free throw 1 of 2,70,79
271,3,3:02.0,,E. Moreland enters the game for B. Marjanović,70,79
272,3,3:02.0,C. Paul enters the game for B. Weber,,70,79
273,3,3:02.0,,T. Harris makes free throw 2 of 2,70,80
274,3,2:51.0,T. Black makes 2-pt hook shot from 3 ft (assist by C. Paul),,72,80
275,3,2:36.0,,T. Harris makes 3-pt jump shot from 25 ft,72,83
276,3,2:22.0,E. Gordon misses 3-pt jump shot from 28 ft,,72,83
277,3,2:20.0,,Defensive rebound by L. Kennard,72,83
278,3,2:15.0,,T. Harris misses 3-pt jump shot from 28 ft,72,83
279,3,2:12.0,Defensive rebound by T. Black,,72,83
280,3,2:04.0,G. Green misses 3-pt jump shot from 27 ft,,72,83
281,3,2:00.0,,Defensive rebound by E. Moreland,72,83
282,3,1:39.0,,D. Buycks misses 2-pt jump shot from 7 ft (block by T. Black),72,83
283,3,1:34.0,Defensive rebound by P. Tucker,,72,83
284,3,1:27.0,Turnover by P. Tucker (step out of bounds),,72,83
285,3,1:27.0,,B. Marjanović enters the game for E. Moreland,72,83
286,3,1:27.0,B. Weber enters the game for C. Paul,,72,83
287,3,1:16.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by D. Buycks),72,86
288,3,0:54.0,P. Tucker misses 2-pt jump shot from 4 ft,,72,86
289,3,0:51.0,,Defensive rebound by T. Harris,72,86
290,3,0:37.0,,B. Marjanović misses 2-pt layup from 1 ft (block by B. Weber),72,86
291,3,0:35.0,Defensive rebound by E. Gordon,,72,86
292,3,0:32.0,T. Black makes 2-pt dunk from 1 ft (assist by E. Gordon),,74,86
293,3,0:15.0,,B. Marjanović makes 2-pt jump shot from 6 ft (assist by R. Bullock),74,88
294,3,0:01.0,E. Gordon makes 3-pt jump shot from 28 ft (assist by B. Weber),,77,88
295,4,11:49.0,E. Gordon misses 2-pt layup from 3 ft (block by B. Marjanović),,77,88
296,4,11:44.0,,Defensive rebound by A. Tolliver,77,88
297,4,11:42.0,,Turnover by D. Buycks (bad pass),77,88
298,4,11:31.0,G. Green makes 3-pt jump shot from 28 ft (assist by P. Tucker),,80,88
299,4,11:10.0,,Offensive foul by B. Marjanović (drawn by T. Black),80,88
300,4,11:10.0,,Turnover by B. Marjanović (offensive foul),80,88
301,4,11:04.0,E. Gordon makes 2-pt jump shot from 17 ft (assist by B. Weber),,82,88
302,4,11:01.0,,Detroit full timeout,82,88
303,4,10:41.0,,Shooting foul by T. Black (drawn by B. Marjanović),82,88
304,4,10:41.0,,B. Marjanović misses free throw 1 of 2,82,88
305,4,10:41.0,,Offensive rebound by Team,82,88
306,4,10:41.0,,B. Marjanović makes free throw 2 of 2,82,89
307,4,10:27.0,P. Tucker misses 3-pt jump shot from 22 ft,,82,89
308,4,10:24.0,,Defensive rebound by D. Buycks,82,89
309,4,10:07.0,,B. Marjanović misses 2-pt layup from 5 ft,82,89
310,4,10:05.0,Defensive rebound by T. Black,,82,89
311,4,9:49.0,B. Weber misses 2-pt layup from 4 ft (block by B. Marjanović),,82,89
312,4,9:46.0,Offensive rebound by T. Black,,82,89
313,4,9:43.0,E. Gordon misses 2-pt hook shot from 5 ft,,82,89
314,4,9:43.0,Offensive rebound by T. Black,,82,89
315,4,9:43.0,Turnover by Team (shot clock),,82,89
316,4,9:29.0,,A. Tolliver misses 3-pt jump shot from 25 ft,82,89
317,4,9:25.0,Defensive rebound by B. Weber,,82,89
318,4,9:21.0,G. Green misses 3-pt jump shot from 27 ft,,82,89
319,4,9:18.0,,Defensive rebound by B. Marjanović,82,89
320,4,9:08.0,,B. Marjanović misses 2-pt dunk from 2 ft,82,89
321,4,9:05.0,,Offensive rebound by B. Marjanović,82,89
322,4,9:05.0,,B. Marjanović makes 2-pt layup from 1 ft,82,91
323,4,8:51.0,Turnover by T. Black (traveling),,82,91
324,4,8:51.0,C. Capela enters the game for T. Black,,82,91
325,4,8:41.0,,Shooting foul by B. Weber (drawn by D. Buycks),82,91
326,4,8:41.0,,D. Buycks makes free throw 1 of 2,82,92
327,4,8:41.0,,D. Buycks makes free throw 2 of 2,82,93
328,4,8:29.0,P. Tucker misses 3-pt jump shot from 23 ft,,82,93
329,4,8:26.0,,Defensive rebound by L. Kennard,82,93
330,4,8:22.0,,Personal foul by B. Weber (drawn by D. Buycks),82,93
331,4,8:22.0,,E. Moreland enters the game for B. Marjanović,82,93
332,4,8:22.0,R. Anderson enters the game for B. Weber,,82,93
333,4,8:22.0,T. Ariza enters the game for P. Tucker,,82,93
334,4,8:22.0,C. Paul enters the game for E. Gordon,,82,93
335,4,8:06.0,,D. Buycks makes 3-pt jump shot from 24 ft,82,96
336,4,7:38.0,C. Capela misses 2-pt layup from 1 ft,,82,96
337,4,7:38.0,Offensive rebound by Team,,82,96
338,4,7:38.0,Turnover by Team (shot clock),,82,96
339,4,7:27.0,,A. Bradley misses 3-pt jump shot from 28 ft,82,96
340,4,7:23.0,Defensive rebound by G. Green,,82,96
341,4,7:13.0,Personal foul by A. Tolliver (drawn by C. Paul),,82,96
342,4,7:00.0,C. Capela makes 2-pt layup from 2 ft (assist by R. Anderson),,84,96
343,4,6:45.0,,A. Bradley misses 3-pt jump shot from 25 ft,84,96
344,4,6:44.0,,Offensive rebound by Team,84,96
345,4,6:44.0,,Personal foul by T. Ariza (drawn by A. Tolliver),84,96
346,4,6:35.0,,D. Buycks misses 2-pt layup from 4 ft (block by C. Capela),84,96
347,4,6:35.0,,Offensive rebound by Team,84,96
348,4,6:25.0,,Turnover by Team (turnover),84,96
349,4,6:14.0,G. Green misses 3-pt jump shot from 22 ft,,84,96
350,4,6:14.0,,Defensive rebound by Team,84,96
351,4,5:55.0,,E. Moreland makes 2-pt layup from 1 ft (assist by A. Tolliver),84,98
352,4,5:41.0,Turnover by C. Capela (bad pass),,84,98
353,4,5:41.0,,T. Harris enters the game for L. Kennard,84,98
354,4,5:41.0,,R. Bullock enters the game for A. Tolliver,84,98
355,4,5:41.0,E. Gordon enters the game for G. Green,,84,98
356,4,5:26.0,,E. Moreland misses 2-pt hook shot from 7 ft,84,98
357,4,5:22.0,Defensive rebound by T. Ariza,,84,98
358,4,5:18.0,C. Capela misses 2-pt layup from 1 ft,,84,98
359,4,5:17.0,Offensive rebound by C. Capela,,84,98
360,4,5:17.0,C. Capela misses 2-pt layup from 1 ft,,84,98
361,4,5:15.0,,Defensive rebound by E. Moreland,84,98
362,4,5:05.0,,Turnover by D. Buycks (discontinued dribble),84,98
363,4,5:05.0,,I. Smith enters the game for D. Buycks,84,98
364,4,4:49.0,R. Anderson misses 2-pt jump shot from 16 ft,,84,98
365,4,4:46.0,,Defensive rebound by T. Harris,84,98
366,4,4:22.0,,T. Harris misses 2-pt jump shot from 14 ft,84,98
367,4,4:20.0,,Offensive rebound by E. Moreland,84,98
368,4,4:17.0,,I. Smith makes 2-pt layup from 1 ft (assist by E. Moreland),84,100
369,4,4:14.0,Houston full timeout,,84,100
370,4,4:14.0,P. Tucker enters the game for C. Capela,,84,100
371,4,4:14.0,T. Black enters the game for R. Anderson,,84,100
372,4,4:00.0,E. Gordon makes 2-pt layup from 3 ft,,86,100
373,4,3:57.0,,Personal take foul by T. Black (drawn by E. Moreland),86,100
374,4,3:57.0,,E. Moreland makes free throw 1 of 2,86,101
375,4,3:57.0,,E. Moreland makes free throw 2 of 2,86,102
376,4,3:46.0,C. Paul makes 3-pt jump shot from 28 ft,,89,102
377,4,3:16.0,,E. Moreland misses 2-pt layup from 2 ft,89,102
378,4,3:16.0,Defensive rebound by E. Gordon,,89,102
379,4,3:08.0,C. Paul makes 2-pt jump shot from 6 ft,,91,102
380,4,2:44.0,,I. Smith misses 2-pt jump shot from 18 ft,91,102
381,4,2:44.0,Defensive rebound by C. Paul,,91,102
382,4,2:26.0,P. Tucker misses 3-pt jump shot from 23 ft,,91,102
383,4,2:26.0,,Defensive rebound by E. Moreland,91,102
384,4,2:01.0,,Turnover by Team (shot clock),91,102
385,4,1:51.0,T. Black makes 2-pt layup at rim (assist by C. Paul),,93,102
386,4,1:31.0,,A. Bradley misses 2-pt jump shot from 17 ft,93,102
387,4,1:28.0,Defensive rebound by C. Paul,,93,102
388,4,1:24.0,C. Paul misses 3-pt jump shot from 26 ft,,93,102
389,4,1:21.0,,Defensive rebound by E. Moreland,93,102
