,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
102,1,0:00.0,,E. Fournier makes free throw 2 of 3,43,31
103,1,0:00.0,,E. Fournier misses free throw 3 of 3,43,31
104,1,0:00.0,,Offensive rebound by W. Iwundu,43,31
105,1,0:00.0,,W. Iwundu misses 2-pt layup at rim,43,31
106,1,0:00.0,,Offensive rebound by Team,43,31
107,2,11:50.0,Turnover by D. Wade (bad pass; steal by S. Mack),,43,31
108,2,11:35.0,,A. Afflalo misses 2-pt jump shot from 16 ft,43,31
109,2,11:31.0,Defensive rebound by J. Green,,43,31
110,2,11:23.0,Turnover by K. Korver (bad pass),,43,31
111,2,11:16.0,,S. Mack misses 2-pt layup from 3 ft,43,31
112,2,11:13.0,Defensive rebound by L. James,,43,31
113,2,11:10.0,K. Korver makes 3-pt jump shot from 25 ft (assist by L. James),,46,31
114,2,10:53.0,,Personal foul by D. Rose (drawn by M. Speights),46,31
115,2,10:43.0,,M. Speights makes 2-pt dunk at rim (assist by W. Iwundu),46,33
116,2,10:33.0,D. Rose misses 2-pt jump shot from 17 ft,,46,33
117,2,10:33.0,,Defensive rebound by D. Augustin,46,33
118,2,10:23.0,,W. Iwundu misses 2-pt layup from 2 ft,46,33
119,2,10:21.0,Defensive rebound by L. James,,46,33
120,2,10:14.0,D. Wade makes 2-pt layup from 3 ft,,48,33
121,2,10:00.0,,W. Iwundu misses 3-pt jump shot from 22 ft,48,33
122,2,9:56.0,Defensive rebound by L. James,,48,33
123,2,9:51.0,K. Korver makes 3-pt jump shot from 23 ft (assist by L. James),,51,33
124,2,9:51.0,,Orlando full timeout,51,33
125,2,9:31.0,,Personal foul by K. Korver (drawn by M. Speights),51,33
126,2,9:20.0,,S. Mack misses 2-pt layup from 5 ft,51,33
127,2,9:18.0,Defensive rebound by D. Wade,,51,33
128,2,9:12.0,J. Green misses 3-pt jump shot from 23 ft,,51,33
129,2,9:07.0,,Defensive rebound by M. Speights,51,33
130,2,8:57.0,,M. Speights misses 2-pt jump shot from 14 ft,51,33
131,2,8:55.0,Defensive rebound by D. Wade,,51,33
132,2,8:43.0,D. Rose misses 2-pt jump shot from 9 ft,,51,33
133,2,8:39.0,Offensive rebound by D. Rose,,51,33
134,2,8:39.0,D. Rose misses 2-pt layup at rim (block by M. Speights),,51,33
135,2,8:38.0,,Defensive rebound by M. Speights,51,33
136,2,8:38.0,,Shooting foul by K. Korver (drawn by W. Iwundu),51,33
137,2,8:38.0,,W. Iwundu misses free throw 1 of 2,51,33
138,2,8:38.0,,Offensive rebound by Team,51,33
139,2,8:38.0,,K. Birch enters the game for M. Speights,51,33
140,2,8:38.0,,W. Iwundu makes free throw 2 of 2,51,34
141,2,8:28.0,Shooting foul by K. Birch (drawn by J. Green),,51,34
142,2,8:28.0,J. Green makes free throw 1 of 2,,52,34
143,2,8:28.0,,M. Hezonja enters the game for W. Iwundu,52,34
144,2,8:28.0,J. Green makes free throw 2 of 2,,53,34
145,2,8:11.0,,M. Hezonja makes 2-pt jump shot from 10 ft (assist by K. Birch),53,36
146,2,8:02.0,Turnover by D. Wade (out of bounds lost ball),,53,36
147,2,8:02.0,Cleveland full timeout,,53,36
148,2,7:43.0,,A. Afflalo makes 2-pt jump shot from 15 ft (assist by D. Augustin),53,38
149,2,7:19.0,L. James misses 2-pt layup from 7 ft (block by S. Mack),,53,38
150,2,7:19.0,,Defensive rebound by Team,53,38
151,2,7:07.0,,Turnover by K. Birch (bad pass),53,38
152,2,6:59.0,L. James makes 2-pt layup from 2 ft,,55,38
153,2,6:34.0,,A. Afflalo misses 2-pt jump shot from 7 ft (block by D. Wade),55,38
154,2,6:34.0,,Offensive rebound by Team,55,38
155,2,6:34.0,,Turnover by Team (shot clock),55,38
156,2,6:16.0,Shooting foul by K. Birch (drawn by J. Green),,55,38
157,2,6:16.0,J. Green makes free throw 1 of 2,,56,38
158,2,6:16.0,,E. Fournier enters the game for A. Afflalo,56,38
159,2,6:16.0,,E. Payton enters the game for S. Mack,56,38
160,2,6:16.0,,J. Simmons enters the game for D. Augustin,56,38
161,2,6:16.0,J. Green makes free throw 2 of 2,,57,38
162,2,5:56.0,,M. Hezonja misses 2-pt layup from 3 ft (block by J. Green),57,38
163,2,5:56.0,I. Thomas enters the game for D. Rose,,57,38
164,2,5:56.0,J. Smith enters the game for D. Wade,,57,38
165,2,5:56.0,Offensive rebound by Team,,57,38
166,2,5:48.0,L. James makes 2-pt layup from 2 ft,,59,38
167,2,5:36.0,,M. Hezonja misses 3-pt jump shot from 26 ft,59,38
168,2,5:33.0,Defensive rebound by L. James,,59,38
169,2,5:26.0,K. Korver misses 3-pt jump shot from 23 ft,,59,38
170,2,5:24.0,,Defensive rebound by J. Simmons,59,38
171,2,5:11.0,,K. Birch makes 2-pt jump shot from 7 ft,59,40
172,2,4:48.0,J. Green makes 2-pt dunk at rim (assist by L. James),,61,40
173,2,4:29.0,T. Thompson enters the game for L. James,,61,40
174,2,4:29.0,J. Crowder enters the game for K. Korver,,61,40
175,2,4:29.0,,B. Biyombo enters the game for K. Birch,61,40
176,2,4:18.0,,M. Hezonja makes 3-pt jump shot from 27 ft (assist by E. Payton),61,43
177,2,4:00.0,I. Thomas misses 2-pt jump shot from 22 ft,,61,43
178,2,4:00.0,,Defensive rebound by M. Hezonja,61,43
179,2,3:51.0,,E. Payton makes 2-pt layup from 2 ft (assist by M. Hezonja),61,45
180,2,3:39.0,J. Smith misses 3-pt jump shot from 23 ft,,61,45
181,2,3:39.0,,Defensive rebound by E. Fournier,61,45
182,2,3:34.0,,Shooting foul by J. Smith (drawn by E. Fournier),61,45
183,2,3:34.0,,E. Fournier misses free throw 1 of 2,61,45
184,2,3:34.0,,Offensive rebound by Team,61,45
185,2,3:34.0,L. James enters the game for J. Green,,61,45
186,2,3:34.0,,E. Fournier misses free throw 2 of 2,61,45
187,2,3:29.0,Defensive rebound by L. James,,61,45
188,2,3:13.0,J. Crowder misses 3-pt jump shot from 23 ft,,61,45
189,2,3:09.0,,Defensive rebound by J. Simmons,61,45
190,2,3:03.0,,M. Hezonja misses 3-pt jump shot from 24 ft,61,45
191,2,3:00.0,Defensive rebound by T. Thompson,,61,45
192,2,2:56.0,Personal foul by E. Payton (drawn by L. James),,61,45
193,2,2:48.0,I. Thomas misses 2-pt jump shot from 12 ft,,61,45
194,2,2:45.0,,Defensive rebound by E. Payton,61,45
195,2,2:41.0,,E. Fournier makes 2-pt layup from 2 ft (assist by E. Payton),61,47
196,2,2:32.0,Cleveland full timeout,,61,47
197,2,2:29.0,Turnover by L. James (bad pass; steal by E. Fournier),,61,47
198,2,2:27.0,,Turnover by E. Fournier (bad pass),61,47
199,2,2:18.0,J. Crowder misses 2-pt layup from 2 ft (block by B. Biyombo),,61,47
200,2,2:14.0,Offensive rebound by J. Smith,,61,47
201,2,2:12.0,J. Crowder misses 2-pt layup from 4 ft (block by E. Payton),,61,47
202,2,2:12.0,,Defensive rebound by E. Fournier,61,47
203,2,2:00.0,,J. Simmons misses 2-pt jump shot from 18 ft,61,47
204,2,2:00.0,,Offensive rebound by B. Biyombo,61,47
205,2,1:40.0,,M. Hezonja misses 2-pt jump shot from 12 ft,61,47
206,2,1:37.0,Defensive rebound by L. James,,61,47
207,2,1:33.0,Turnover by L. James (bad pass),,61,47
208,2,1:20.0,,B. Biyombo makes 2-pt layup from 2 ft,61,49
209,2,1:20.0,,Shooting foul by T. Thompson (drawn by B. Biyombo),61,49
210,2,1:20.0,,B. Biyombo misses free throw 1 of 1,61,49
211,2,1:17.0,Defensive rebound by L. James,,61,49
212,2,1:05.0,L. James misses 2-pt jump shot from 10 ft,,61,49
213,2,0:59.0,Offensive rebound by T. Thompson,,61,49
214,2,0:59.0,T. Thompson makes 2-pt layup at rim,,63,49
215,2,0:48.0,,E. Payton makes 2-pt layup from 5 ft,63,51
216,2,0:26.0,L. James misses 2-pt hook shot from 7 ft,,63,51
217,2,0:24.0,Offensive rebound by L. James,,63,51
218,2,0:22.0,L. James makes 2-pt layup from 3 ft,,65,51
219,2,0:20.0,,Turnover by B. Biyombo (bad pass; steal by I. Thomas),65,51
220,2,0:04.0,T. Thompson makes 2-pt layup at rim (assist by I. Thomas),,67,51
221,2,0:00.0,,E. Fournier misses 3-pt jump shot from 28 ft,67,51
222,2,0:00.0,,Offensive rebound by Team,67,51
223,3,11:41.0,T. Thompson makes 2-pt layup at rim (assist by I. Thomas),,69,51
224,3,11:23.0,,B. Biyombo makes 2-pt hook shot from 6 ft (assist by E. Payton),69,53
