,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA LAKERS_ACTION,CLEVELAND_SCORE,LA LAKERS_SCORE
81,1,3:03.0,,B. Lopez makes 2-pt dunk from 2 ft (assist by I. Thomas),18,24
82,1,2:46.0,J. Clarkson misses 2-pt layup from 2 ft (block by B. Lopez),,18,24
83,1,2:43.0,,Defensive rebound by T. Wear,18,24
84,1,2:36.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,18,24
85,1,2:33.0,Defensive rebound by K. Korver,,18,24
86,1,2:26.0,Shooting foul by I. Thomas (drawn by J. Calderón),,18,24
87,1,2:26.0,J. Calderón misses free throw 1 of 2,,18,24
88,1,2:26.0,Offensive rebound by Team,,18,24
89,1,2:26.0,J. Holland enters the game for J. Green,,18,24
90,1,2:26.0,J. Calderón makes free throw 2 of 2,,19,24
91,1,2:07.0,,K. Kuzma makes 2-pt jump shot from 2 ft,19,26
92,1,1:52.0,A. Žižić makes 2-pt dunk from 2 ft (assist by J. Clarkson),,21,26
93,1,1:43.0,,B. Lopez makes 2-pt hook shot from 10 ft (assist by K. Caldwell-Pope),21,28
94,1,1:24.0,J. Calderón makes 2-pt jump shot from 19 ft,,23,28
95,1,1:06.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by I. Thomas),23,31
96,1,0:54.0,Personal foul by K. Kuzma (drawn by J. Clarkson),,23,31
97,1,0:54.0,J. Clarkson makes free throw 1 of 2,,24,31
98,1,0:54.0,,A. Caruso enters the game for K. Caldwell-Pope,24,31
99,1,0:54.0,J. Clarkson makes free throw 2 of 2,,25,31
100,1,0:44.0,,I. Thomas misses 2-pt layup from 3 ft (block by A. Žižić),25,31
101,1,0:41.0,,Offensive rebound by I. Thomas,25,31
102,1,0:38.0,,K. Kuzma misses 3-pt jump shot from 27 ft,25,31
103,1,0:36.0,Defensive rebound by J. Calderón,,25,31
104,1,0:33.0,A. Žižić makes 2-pt dunk from 1 ft (assist by J. Clarkson),,27,31
105,1,0:21.0,,A. Caruso makes 2-pt layup at rim (assist by B. Lopez),27,33
106,1,0:01.0,J. Clarkson makes 2-pt jump shot from 15 ft (assist by J. Calderón),,29,33
107,1,0:00.0,,I. Thomas misses 3-pt jump shot from 56 ft,29,33
108,1,0:00.0,,Offensive rebound by Team,29,33
109,2,11:44.0,,Turnover by I. Thomas (bad pass; steal by J. Holland),29,33
110,2,11:32.0,J. Clarkson misses 2-pt jump shot from 8 ft,,29,33
111,2,11:29.0,,Defensive rebound by L. Ball,29,33
112,2,11:14.0,,T. Wear misses 3-pt jump shot from 27 ft,29,33
113,2,11:13.0,,Offensive rebound by Team,29,33
114,2,11:13.0,Loose ball foul by J. Clarkson (drawn by L. Ball),,29,33
115,2,10:50.0,,L. Ball misses 2-pt jump shot from 19 ft,29,33
116,2,10:48.0,Defensive rebound by J. Holland,,29,33
117,2,10:32.0,J. Holland misses 3-pt jump shot from 27 ft,,29,33
118,2,10:29.0,,Defensive rebound by L. Ball,29,33
119,2,10:16.0,,L. Ball misses 3-pt jump shot from 23 ft,29,33
120,2,10:14.0,Defensive rebound by K. Korver,,29,33
121,2,10:00.0,Turnover by J. Clarkson (traveling),,29,33
122,2,9:43.0,,I. Thomas misses 2-pt jump shot from 21 ft,29,33
123,2,9:41.0,Defensive rebound by A. Žižić,,29,33
124,2,9:39.0,Shooting foul by I. Zubac (drawn by J. Holland),,29,33
125,2,9:39.0,J. Holland misses free throw 1 of 2,,29,33
126,2,9:39.0,Offensive rebound by Team,,29,33
127,2,9:39.0,,J. Randle enters the game for I. Zubac,29,33
128,2,9:39.0,L. Nance enters the game for A. Žižić,,29,33
129,2,9:39.0,J. Holland makes free throw 2 of 2,,30,33
130,2,9:28.0,,T. Wear makes 3-pt jump shot from 25 ft (assist by J. Randle),30,36
131,2,9:18.0,Personal foul by T. Wear (drawn by J. Holland),,30,36
132,2,9:18.0,L. James enters the game for J. Holland,,30,36
133,2,9:09.0,L. Nance misses 2-pt hook shot from 7 ft (block by J. Randle),,30,36
134,2,9:09.0,Offensive rebound by Team,,30,36
135,2,9:02.0,K. Korver misses 3-pt jump shot from 28 ft,,30,36
136,2,8:59.0,,Defensive rebound by T. Wear,30,36
137,2,8:53.0,Offensive charge foul by J. Randle (drawn by L. James),,30,36
138,2,8:53.0,,Turnover by J. Randle (offensive foul),30,36
139,2,8:39.0,L. James makes 2-pt layup from 2 ft (assist by J. Calderón),,32,36
140,2,8:26.0,,L. Ball makes 3-pt jump shot from 24 ft (assist by J. Randle),32,39
141,2,8:09.0,K. Korver makes 3-pt jump shot from 24 ft (assist by L. Nance),,35,39
142,2,7:58.0,,J. Randle makes 2-pt layup from 1 ft (assist by L. Ball),35,41
143,2,7:39.0,J. Calderón makes 2-pt layup from 1 ft,,37,41
144,2,7:32.0,,Personal foul by L. Nance (drawn by J. Randle),37,41
145,2,7:32.0,,K. Kuzma enters the game for A. Caruso,37,41
146,2,7:32.0,,K. Caldwell-Pope enters the game for T. Wear,37,41
147,2,7:22.0,,L. Ball misses 3-pt jump shot from 25 ft,37,41
148,2,7:20.0,Defensive rebound by L. James,,37,41
149,2,7:06.0,L. Nance misses 2-pt hook shot from 2 ft,,37,41
150,2,7:04.0,,Defensive rebound by I. Thomas,37,41
151,2,7:04.0,G. Hill enters the game for J. Calderón,,37,41
152,2,6:54.0,,Turnover by I. Thomas (bad pass; steal by L. James),37,41
153,2,6:50.0,L. James makes 2-pt layup from 1 ft,,39,41
154,2,6:43.0,,I. Thomas makes 3-pt jump shot from 22 ft (assist by K. Kuzma),39,44
155,2,6:31.0,L. James misses 2-pt layup from 1 ft,,39,44
156,2,6:30.0,,Defensive rebound by I. Thomas,39,44
157,2,6:24.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by J. Randle),39,47
158,2,6:23.0,Cleveland full timeout,,39,47
159,2,6:10.0,K. Korver makes 3-pt jump shot from 24 ft (assist by L. James),,42,47
160,2,6:05.0,,Turnover by K. Kuzma (turnover),42,47
161,2,6:05.0,J. Green enters the game for L. Nance,,42,47
162,2,6:05.0,J. Smith enters the game for J. Clarkson,,42,47
163,2,5:55.0,J. Green makes 3-pt jump shot from 26 ft (assist by J. Smith),,45,47
164,2,5:38.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. Ball),45,50
165,2,5:27.0,L. James makes 2-pt layup from 2 ft (assist by G. Hill),,47,50
166,2,5:14.0,,I. Thomas makes 3-pt jump shot from 28 ft (assist by L. Ball),47,53
167,2,4:54.0,L. James misses 3-pt jump shot from 27 ft,,47,53
168,2,4:50.0,,Defensive rebound by L. Ball,47,53
169,2,4:38.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by K. Kuzma),47,55
170,2,4:23.0,Personal foul by K. Caldwell-Pope (drawn by J. Green),,47,55
171,2,4:23.0,,B. Lopez enters the game for I. Thomas,47,55
172,2,4:23.0,L. Nance enters the game for K. Korver,,47,55
173,2,4:17.0,L. Nance makes 2-pt layup from 2 ft (assist by L. James),,49,55
174,2,4:02.0,,J. Randle misses 2-pt layup from 1 ft (block by L. James),49,55
175,2,4:02.0,,Offensive rebound by J. Randle,49,55
176,2,4:00.0,,Shooting foul by J. Green (drawn by J. Randle),49,55
177,2,4:00.0,,J. Randle makes free throw 1 of 2,49,56
178,2,4:00.0,,J. Randle makes free throw 2 of 2,49,57
179,2,3:38.0,L. Nance makes 2-pt jump shot from 17 ft (assist by L. James),,51,57
180,2,3:22.0,,L. Ball misses 3-pt jump shot from 26 ft,51,57
181,2,3:19.0,Defensive rebound by J. Smith,,51,57
182,2,3:14.0,J. Green makes 2-pt layup from 1 ft,,53,57
183,2,3:08.0,,Offensive foul by J. Randle (drawn by J. Green),53,57
184,2,3:08.0,,Turnover by J. Randle (offensive foul),53,57
185,2,2:54.0,Shooting foul by B. Lopez (drawn by L. Nance),,53,57
186,2,2:54.0,,LA Lakers full timeout,53,57
187,2,2:54.0,,I. Thomas enters the game for L. Ball,53,57
188,2,2:54.0,L. Nance makes free throw 1 of 2,,54,57
189,2,2:54.0,L. Nance makes free throw 2 of 2,,55,57
190,2,2:41.0,,B. Lopez misses 2-pt jump shot from 5 ft,55,57
191,2,2:36.0,,Offensive rebound by B. Lopez,55,57
192,2,2:36.0,,B. Lopez makes 2-pt layup at rim,55,59
193,2,2:18.0,L. James misses 3-pt jump shot from 25 ft,,55,59
194,2,2:16.0,,Defensive rebound by K. Kuzma,55,59
195,2,2:10.0,,B. Lopez misses 2-pt layup from 3 ft,55,59
196,2,2:03.0,,Offensive rebound by B. Lopez,55,59
197,2,2:03.0,,B. Lopez makes 2-pt layup at rim,55,61
198,2,1:54.0,J. Smith makes 3-pt jump shot from 26 ft,,58,61
199,2,1:37.0,,Shooting foul by G. Hill (drawn by J. Randle),58,61
200,2,1:37.0,,J. Randle makes free throw 1 of 2,58,62
201,2,1:37.0,A. Žižić enters the game for L. Nance,,58,62
202,2,1:37.0,K. Korver enters the game for J. Green,,58,62
203,2,1:37.0,,J. Randle makes free throw 2 of 2,58,63
204,2,1:22.0,J. Smith misses 2-pt jump shot from 17 ft,,58,63
205,2,1:18.0,Offensive rebound by L. James,,58,63
206,2,1:16.0,A. Žižić makes 2-pt dunk from 1 ft (assist by L. James),,60,63
207,2,1:00.0,,B. Lopez misses 2-pt jump shot from 17 ft,60,63
208,2,0:58.0,Defensive rebound by L. James,,60,63
209,2,0:53.0,G. Hill misses 3-pt jump shot from 21 ft,,60,63
210,2,0:49.0,,Defensive rebound by K. Kuzma,60,63
211,2,0:41.0,,K. Kuzma misses 2-pt layup from 1 ft,60,63
212,2,0:39.0,,Offensive rebound by J. Randle,60,63
213,2,0:38.0,,Turnover by J. Randle (traveling),60,63
214,2,0:38.0,J. Clarkson enters the game for G. Hill,,60,63
215,2,0:25.0,J. Smith misses 2-pt jump shot from 14 ft,,60,63
216,2,0:25.0,,Defensive rebound by Team,60,63
217,2,0:25.0,Loose ball foul by A. Žižić (drawn by K. Kuzma),,60,63
218,2,0:25.0,,K. Kuzma makes free throw 1 of 2,60,64
219,2,0:25.0,,A. Caruso enters the game for I. Thomas,60,64
220,2,0:25.0,J. Calderón enters the game for A. Žižić,,60,64
221,2,0:25.0,,D. Williams enters the game for B. Lopez,60,64
222,2,0:25.0,,K. Kuzma makes free throw 2 of 2,60,65
223,2,0:00.0,L. James misses 2-pt jump shot from 4 ft,,60,65
224,2,0:00.0,,Defensive rebound by J. Randle,60,65
225,3,11:42.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,60,65
226,3,11:39.0,,Offensive rebound by Team,60,65
227,3,11:28.0,,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,60,65
228,3,11:25.0,Defensive rebound by L. Nance,,60,65
229,3,11:13.0,L. James misses 3-pt jump shot from 26 ft,,60,65
230,3,11:10.0,,Defensive rebound by K. Kuzma,60,65
231,3,10:58.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by L. Ball),60,68
232,3,10:31.0,L. James makes 3-pt jump shot from 25 ft (assist by J. Smith),,63,68
233,3,10:16.0,,L. Ball makes 2-pt dunk from 1 ft (assist by J. Randle),63,70
234,3,9:48.0,J. Green misses 2-pt jump shot from 21 ft,,63,70
235,3,9:45.0,,Defensive rebound by J. Randle,63,70
236,3,9:36.0,,K. Kuzma misses 2-pt layup from 1 ft,63,70
237,3,9:34.0,Defensive rebound by L. Nance,,63,70
238,3,9:21.0,Turnover by L. James (bad pass; steal by K. Caldwell-Pope),,63,70
239,3,9:14.0,,J. Randle makes 2-pt dunk at rim,63,72
240,3,9:14.0,Cleveland full timeout,,63,72
241,3,8:54.0,G. Hill makes 3-pt jump shot from 22 ft,,66,72
242,3,8:38.0,,L. Ball misses 3-pt jump shot from 24 ft,66,72
243,3,8:36.0,Defensive rebound by J. Green,,66,72
244,3,8:33.0,Shooting foul by K. Kuzma (drawn by J. Green),,66,72
245,3,8:33.0,J. Green makes free throw 1 of 2,,67,72
246,3,8:33.0,J. Green makes free throw 2 of 2,,68,72
247,3,8:09.0,,B. Lopez misses 2-pt jump shot from 16 ft,68,72
248,3,8:06.0,Defensive rebound by L. James,,68,72
249,3,7:57.0,G. Hill makes 2-pt layup from 1 ft,,70,72
250,3,7:36.0,,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,70,72
251,3,7:35.0,Defensive rebound by L. Nance,,70,72
252,3,7:31.0,J. Green misses 2-pt dunk at rim (block by J. Randle),,70,72
253,3,7:27.0,,Defensive rebound by J. Randle,70,72
254,3,7:21.0,,B. Lopez misses 2-pt jump shot from 6 ft,70,72
255,3,7:21.0,Defensive rebound by Team,,70,72
256,3,7:11.0,L. Nance makes 2-pt dunk from 3 ft (assist by L. James),,72,72
257,3,7:10.0,,LA Lakers full timeout,72,72
258,3,7:01.0,,Personal foul by L. Nance (drawn by B. Lopez),72,72
259,3,6:55.0,,Turnover by B. Lopez (traveling),72,72
260,3,6:42.0,J. Green misses 3-pt jump shot from 24 ft,,72,72
261,3,6:39.0,,Defensive rebound by J. Randle,72,72
262,3,6:37.0,,Shooting foul by J. Green (drawn by J. Randle),72,72
263,3,6:37.0,,J. Randle makes free throw 1 of 2,72,73
264,3,6:37.0,,J. Randle makes free throw 2 of 2,72,74
265,3,6:30.0,Offensive foul by L. Nance (drawn by K. Caldwell-Pope),,72,74
266,3,6:30.0,Turnover by L. Nance (offensive foul),,72,74
267,3,6:14.0,,Turnover by J. Randle (bad pass; steal by J. Smith),72,74
268,3,6:11.0,Turnover by J. Smith (bad pass; steal by B. Lopez),,72,74
269,3,6:06.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,72,74
270,3,6:02.0,,Offensive rebound by J. Randle,72,74
271,3,6:02.0,,J. Randle misses 2-pt layup at rim,72,74
272,3,6:02.0,Defensive rebound by L. Nance,,72,74
273,3,5:58.0,J. Smith misses 2-pt layup from 2 ft,,72,74
274,3,5:55.0,Offensive rebound by L. Nance,,72,74
275,3,5:53.0,Turnover by L. Nance (bad pass; steal by J. Randle),,72,74
276,3,5:45.0,,J. Randle makes 2-pt layup from 2 ft,72,76
277,3,5:21.0,L. Nance makes 2-pt hook shot from 5 ft (assist by G. Hill),,74,76
278,3,5:08.0,,L. Ball misses 2-pt jump shot from 13 ft,74,76
279,3,5:03.0,Defensive rebound by L. James,,74,76
280,3,4:57.0,L. James makes 2-pt layup from 1 ft,,76,76
281,3,4:37.0,,K. Kuzma makes 3-pt jump shot from 26 ft,76,79
282,3,4:11.0,L. James misses 2-pt jump shot from 16 ft,,76,79
283,3,4:07.0,,Defensive rebound by J. Randle,76,79
284,3,4:00.0,,Shooting foul by G. Hill (drawn by K. Caldwell-Pope),76,79
285,3,4:00.0,,K. Caldwell-Pope makes free throw 1 of 2,76,80
286,3,4:00.0,,I. Thomas enters the game for L. Ball,76,80
287,3,4:00.0,A. Žižić enters the game for J. Smith,,76,80
288,3,4:00.0,K. Korver enters the game for L. Nance,,76,80
289,3,4:00.0,J. Clarkson enters the game for J. Green,,76,80
290,3,4:00.0,,K. Caldwell-Pope makes free throw 2 of 2,76,81
291,3,3:39.0,Shooting foul by K. Kuzma (drawn by L. James),,76,81
292,3,3:39.0,L. James makes free throw 1 of 2,,77,81
293,3,3:39.0,L. James misses free throw 2 of 2,,77,81
294,3,3:37.0,,Defensive rebound by J. Randle,77,81
295,3,3:29.0,,B. Lopez makes 3-pt jump shot from 28 ft (assist by I. Thomas),77,84
296,3,3:20.0,G. Hill misses 3-pt jump shot from 26 ft,,77,84
297,3,3:17.0,,Defensive rebound by K. Kuzma,77,84
298,3,3:04.0,,Shooting foul by K. Korver (drawn by K. Kuzma),77,84
299,3,3:04.0,,K. Kuzma makes free throw 1 of 2,77,85
300,3,3:04.0,J. Calderón enters the game for G. Hill,,77,85
301,3,3:04.0,,K. Kuzma makes free throw 2 of 2,77,86
302,3,2:50.0,L. James misses 3-pt jump shot from 25 ft,,77,86
303,3,2:47.0,,Defensive rebound by B. Lopez,77,86
304,3,2:38.0,,K. Kuzma misses 2-pt jump shot from 8 ft (block by A. Žižić),77,86
305,3,2:35.0,Defensive rebound by A. Žižić,,77,86
306,3,2:34.0,Turnover by A. Žižić (bad pass; steal by K. Caldwell-Pope),,77,86
307,3,2:34.0,,K. Kuzma misses 2-pt layup at rim,77,86
308,3,2:34.0,,Offensive rebound by J. Randle,77,86
309,3,2:32.0,,J. Randle makes 2-pt layup from 1 ft,77,88
310,3,2:32.0,Cleveland full timeout,,77,88
311,3,2:21.0,A. Žižić makes 2-pt layup from 3 ft (assist by L. James),,79,88
312,3,2:05.0,,I. Thomas misses 2-pt jump shot from 16 ft,79,88
313,3,2:05.0,,Offensive rebound by I. Thomas,79,88
314,3,1:50.0,,I. Thomas makes 2-pt jump shot from 3 ft,79,90
315,3,1:37.0,J. Clarkson misses 2-pt layup from 3 ft (block by B. Lopez),,79,90
316,3,1:37.0,,Defensive rebound by B. Lopez,79,90
317,3,1:37.0,,Personal foul by J. Calderón (drawn by I. Thomas),79,90
318,3,1:37.0,,I. Thomas makes free throw 1 of 2,79,91
319,3,1:37.0,,A. Caruso enters the game for K. Caldwell-Pope,79,91
320,3,1:37.0,J. Holland enters the game for L. James,,79,91
321,3,1:37.0,,I. Thomas makes free throw 2 of 2,79,92
322,3,1:21.0,J. Clarkson misses 3-pt jump shot from 27 ft,,79,92
323,3,1:20.0,,Defensive rebound by K. Kuzma,79,92
324,3,1:12.0,,J. Randle makes 2-pt dunk from 1 ft (assist by I. Thomas),79,94
325,3,0:55.0,K. Korver misses 2-pt jump shot from 17 ft,,79,94
326,3,0:52.0,,Defensive rebound by A. Caruso,79,94
327,3,0:49.0,,I. Thomas misses 3-pt jump shot from 27 ft,79,94
328,3,0:49.0,,Offensive rebound by I. Thomas,79,94
329,3,0:44.0,,I. Thomas makes 2-pt jump shot from 13 ft,79,96
330,3,0:34.0,J. Clarkson misses 3-pt jump shot from 27 ft,,79,96
331,3,0:34.0,,Defensive rebound by B. Lopez,79,96
332,3,0:12.0,,A. Caruso makes 2-pt layup from 1 ft (assist by B. Lopez),79,98
333,3,0:03.0,J. Holland makes 3-pt jump shot from 27 ft (assist by J. Clarkson),,82,98
334,3,0:01.0,,Turnover by I. Thomas (out of bounds lost ball),82,98
335,3,0:00.0,J. Clarkson misses 3-pt jump shot from 28 ft,,82,98
336,3,0:00.0,Offensive rebound by Team,,82,98
337,4,11:46.0,Turnover by K. Korver (bad pass; steal by I. Zubac),,82,98
338,4,11:44.0,,L. Ball misses 2-pt dunk at rim,82,98
339,4,11:40.0,Defensive rebound by K. Korver,,82,98
340,4,11:35.0,J. Calderón makes 3-pt jump shot from 25 ft (assist by J. Clarkson),,85,98
341,4,11:17.0,,Shooting foul by J. Calderón (drawn by I. Thomas),85,98
342,4,11:17.0,,I. Thomas makes free throw 1 of 2,85,99
343,4,11:17.0,,I. Thomas makes free throw 2 of 2,85,100
344,4,11:08.0,Shooting foul by I. Zubac (drawn by J. Calderón),,85,100
345,4,11:08.0,J. Calderón makes free throw 1 of 2,,86,100
346,4,11:08.0,J. Calderón makes free throw 2 of 2,,87,100
347,4,10:52.0,,L. Ball misses 3-pt jump shot from 26 ft,87,100
348,4,10:47.0,Defensive rebound by A. Žižić,,87,100
349,4,10:25.0,J. Clarkson misses 2-pt jump shot from 8 ft,,87,100
350,4,10:21.0,,Defensive rebound by I. Zubac,87,100
351,4,10:19.0,,I. Thomas makes 2-pt jump shot from 12 ft,87,102
352,4,10:04.0,Turnover by J. Clarkson (bad pass; steal by I. Zubac),,87,102
353,4,10:04.0,,Personal foul by J. Calderón (drawn by I. Thomas),87,102
354,4,9:47.0,,I. Thomas makes 2-pt layup from 3 ft,87,104
355,4,9:32.0,J. Calderón misses 3-pt jump shot from 26 ft,,87,104
356,4,9:31.0,,Defensive rebound by A. Caruso,87,104
357,4,9:26.0,,I. Thomas makes 2-pt jump shot from 21 ft,87,106
358,4,9:25.0,Cleveland full timeout,,87,106
359,4,9:25.0,G. Hill enters the game for J. Clarkson,,87,106
360,4,9:25.0,L. James enters the game for A. Žižić,,87,106
361,4,9:25.0,L. Nance enters the game for J. Calderón,,87,106
362,4,9:13.0,K. Korver makes 3-pt jump shot from 24 ft (assist by G. Hill),,90,106
363,4,8:51.0,,A. Caruso misses 3-pt jump shot from 26 ft,90,106
364,4,8:49.0,Defensive rebound by J. Holland,,90,106
365,4,8:43.0,L. James misses 2-pt layup from 2 ft,,90,106
366,4,8:40.0,Offensive rebound by L. James,,90,106
367,4,8:40.0,L. James makes 2-pt layup from 2 ft,,92,106
368,4,8:40.0,,LA Lakers full timeout,92,106
369,4,8:40.0,,K. Caldwell-Pope enters the game for A. Caruso,92,106
370,4,8:40.0,,B. Lopez enters the game for T. Wear,92,106
371,4,8:40.0,,J. Randle enters the game for I. Zubac,92,106
372,4,8:26.0,,J. Randle makes 2-pt layup from 1 ft (assist by I. Thomas),92,108
373,4,8:26.0,,Shooting foul by L. Nance (drawn by J. Randle),92,108
374,4,8:26.0,,J. Randle misses free throw 1 of 1,92,108
375,4,8:23.0,Defensive rebound by L. James,,92,108
376,4,8:10.0,L. Nance makes 2-pt dunk from 3 ft (assist by L. James),,94,108
377,4,7:48.0,,B. Lopez makes 2-pt hook shot from 7 ft,94,110
378,4,7:24.0,G. Hill misses 2-pt jump shot from 20 ft,,94,110
379,4,7:22.0,,Defensive rebound by B. Lopez,94,110
380,4,7:16.0,,Personal foul by L. Nance (drawn by I. Thomas),94,110
381,4,7:16.0,,K. Kuzma enters the game for L. Ball,94,110
382,4,7:05.0,,J. Randle makes 2-pt layup from 2 ft (assist by I. Thomas),94,112
383,4,7:05.0,,Shooting foul by K. Korver (drawn by J. Randle),94,112
384,4,7:05.0,,J. Randle makes free throw 1 of 1,94,113
385,4,6:58.0,L. James misses 3-pt jump shot from 26 ft,,94,113
386,4,6:54.0,,Defensive rebound by J. Randle,94,113
387,4,6:41.0,,Turnover by I. Thomas (bad pass),94,113
