,QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
261,3,4:49.0,,Offensive rebound by Team,85,71
262,3,4:49.0,,B. McLemore enters the game for D. Brooks,85,71
263,3,4:49.0,C. Joseph enters the game for D. Collison,,85,71
264,3,4:49.0,,M. Gasol makes free throw 2 of 2,85,72
265,3,4:36.0,V. Oladipo misses 2-pt layup at rim (block by M. Gasol),,85,72
266,3,4:36.0,Offensive rebound by Team,,85,72
267,3,4:36.0,D. Sabonis enters the game for T. Young,,85,72
268,3,4:28.0,B. Bogdanović misses 2-pt jump shot from 8 ft,,85,72
269,3,4:25.0,,Defensive rebound by T. Evans,85,72
270,3,4:18.0,,T. Evans makes 2-pt layup at rim,85,74
271,3,4:10.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,85,74
272,3,4:09.0,Offensive rebound by Team,,85,74
273,3,4:05.0,Personal foul by C. Parsons (drawn by C. Joseph),,85,74
274,3,3:56.0,C. Joseph makes 2-pt layup from 1 ft,,87,74
275,3,3:40.0,,M. Gasol misses 2-pt layup at rim (block by V. Oladipo),87,74
276,3,3:40.0,,Offensive rebound by Team,87,74
277,3,3:39.0,L. Stephenson enters the game for B. Bogdanović,,87,74
278,3,3:32.0,,T. Evans misses 3-pt jump shot from 25 ft,87,74
279,3,3:28.0,Defensive rebound by L. Stephenson,,87,74
280,3,3:23.0,V. Oladipo makes 2-pt layup from 1 ft,,89,74
281,3,3:11.0,,B. McLemore misses 2-pt layup at rim,89,74
282,3,3:08.0,Defensive rebound by C. Joseph,,89,74
283,3,2:58.0,V. Oladipo misses 3-pt jump shot from 25 ft,,89,74
284,3,2:55.0,,Defensive rebound by C. Parsons,89,74
285,3,2:45.0,,T. Evans makes 3-pt jump shot from 25 ft,89,77
286,3,2:31.0,Personal foul by C. Parsons (drawn by M. Turner),,89,77
287,3,2:31.0,,B. Wright enters the game for M. Gasol,89,77
288,3,2:26.0,C. Joseph misses 2-pt jump shot from 16 ft,,89,77
289,3,2:22.0,,Defensive rebound by C. Parsons,89,77
290,3,2:20.0,,Shooting foul by M. Turner (drawn by T. Evans),89,77
291,3,2:20.0,,T. Evans misses free throw 1 of 2,89,77
292,3,2:20.0,,Offensive rebound by Team,89,77
293,3,2:20.0,D. Collison enters the game for V. Oladipo,,89,77
294,3,2:20.0,,T. Evans makes free throw 2 of 2,89,78
295,3,2:02.0,C. Joseph makes 2-pt jump shot from 8 ft,,91,78
296,3,1:49.0,,B. McLemore makes 2-pt jump shot from 15 ft (assist by T. Evans),91,80
297,3,1:32.0,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Collison),,93,80
298,3,1:15.0,,B. McLemore misses 3-pt jump shot from 23 ft,93,80
299,3,1:13.0,Defensive rebound by D. Sabonis,,93,80
300,3,1:08.0,C. Joseph misses 2-pt layup from 2 ft,,93,80
301,3,1:04.0,,Defensive rebound by W. Selden,93,80
302,3,0:56.0,,W. Selden misses 3-pt jump shot from 25 ft,93,80
303,3,0:53.0,,Offensive rebound by B. McLemore,93,80
304,3,0:53.0,,B. McLemore makes 2-pt layup at rim,93,82
305,3,0:47.0,,Loose ball foul by B. McLemore (drawn by D. Collison),93,82
306,3,0:47.0,D. Collison makes free throw 1 of 2,,94,82
307,3,0:47.0,T. Young enters the game for M. Turner,,94,82
308,3,0:47.0,D. Collison makes free throw 2 of 2,,95,82
309,3,0:32.0,,B. Wright makes 2-pt hook shot from 11 ft (assist by T. Evans),95,84
310,3,0:16.0,Personal foul by B. McLemore (drawn by D. Collison),,95,84
311,3,0:16.0,D. Collison makes free throw 1 of 2,,96,84
