,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
251,3,9:58.0,A. Rivers misses 3-pt jump shot from 25 ft,,63,65
252,3,9:54.0,,Defensive rebound by A. Horford,63,65
253,3,9:48.0,,J. Tatum misses 3-pt jump shot from 25 ft,63,65
254,3,9:45.0,Defensive rebound by D. Jordan,,63,65
255,3,9:30.0,A. Bradley makes 2-pt layup from 1 ft,,65,65
256,3,9:14.0,,J. Tatum makes 2-pt layup from 2 ft (assist by K. Irving),65,67
257,3,8:55.0,Personal foul by J. Brown (drawn by A. Bradley),,65,67
258,3,8:39.0,A. Rivers makes 2-pt layup from 3 ft,,67,67
259,3,8:26.0,,Turnover by K. Irving (bad pass; steal by D. Jordan),67,67
260,3,8:13.0,T. Harris misses 2-pt jump shot from 15 ft,,67,67
261,3,8:10.0,,Defensive rebound by A. Baynes,67,67
262,3,8:05.0,,Personal foul by A. Rivers (drawn by J. Brown),67,67
263,3,8:01.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Baynes),67,70
264,3,7:45.0,A. Rivers misses 2-pt layup from 3 ft (block by A. Baynes),,67,70
265,3,7:43.0,Offensive rebound by D. Jordan,,67,70
266,3,7:43.0,D. Jordan makes 2-pt layup at rim,,69,70
267,3,7:37.0,Offensive charge foul by J. Brown (drawn by D. Gallinari),,69,70
268,3,7:37.0,,Turnover by J. Brown (offensive foul),69,70
269,3,7:37.0,,T. Rozier enters the game for K. Irving,69,70
270,3,7:28.0,Personal foul by A. Baynes (drawn by D. Gallinari),,69,70
271,3,7:28.0,,G. Monroe enters the game for A. Baynes,69,70
272,3,7:28.0,L. Williams enters the game for A. Bradley,,69,70
273,3,7:14.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by A. Rivers),,72,70
274,3,6:57.0,,J. Brown misses 2-pt jump shot from 3 ft,72,70
275,3,6:55.0,,Offensive rebound by G. Monroe,72,70
276,3,6:49.0,,A. Horford misses 2-pt jump shot from 13 ft,72,70
277,3,6:49.0,Defensive rebound by D. Jordan,,72,70
278,3,6:42.0,Personal foul by J. Tatum (drawn by D. Jordan),,72,70
279,3,6:42.0,,Boston full timeout,72,70
280,3,6:42.0,,K. Irving enters the game for J. Tatum,72,70
281,3,6:35.0,D. Jordan makes 2-pt dunk at rim (assist by A. Rivers),,74,70
282,3,6:17.0,,Shooting foul by T. Harris (drawn by A. Horford),74,70
283,3,6:17.0,,A. Horford makes free throw 1 of 2,74,71
284,3,6:17.0,,A. Horford makes free throw 2 of 2,74,72
285,3,6:07.0,Turnover by D. Jordan (bad pass; steal by G. Monroe),,74,72
286,3,6:05.0,,Personal foul by D. Jordan (drawn by K. Irving),74,72
287,3,5:54.0,,J. Brown misses 3-pt jump shot from 23 ft,74,72
288,3,5:53.0,Defensive rebound by D. Jordan,,74,72
289,3,5:40.0,T. Harris misses 2-pt jump shot from 15 ft,,74,72
290,3,5:35.0,,Defensive rebound by G. Monroe,74,72
291,3,5:22.0,,T. Rozier misses 2-pt jump shot from 21 ft,74,72
292,3,5:20.0,Defensive rebound by T. Harris,,74,72
293,3,5:16.0,Personal foul by T. Rozier (drawn by D. Gallinari),,74,72
294,3,5:16.0,D. Gallinari makes free throw 1 of 2,,75,72
295,3,5:16.0,,M. Morris enters the game for A. Horford,75,72
296,3,5:16.0,D. Gallinari makes free throw 2 of 2,,76,72
297,3,5:05.0,,Turnover by K. Irving (lost ball; steal by D. Jordan),76,72
298,3,5:01.0,D. Gallinari misses 3-pt jump shot from 25 ft,,76,72
299,3,4:57.0,,Defensive rebound by M. Morris,76,72
300,3,4:48.0,,Personal foul by D. Gallinari (drawn by T. Rozier),76,72
301,3,4:48.0,,T. Rozier misses free throw 1 of 2,76,72
302,3,4:48.0,,Offensive rebound by Team,76,72
303,3,4:48.0,S. Dekker enters the game for D. Gallinari,,76,72
304,3,4:48.0,,T. Rozier makes free throw 2 of 2,76,73
305,3,4:34.0,D. Jordan makes 2-pt dunk at rim (assist by L. Williams),,78,73
306,3,4:18.0,,G. Monroe makes 2-pt layup from 1 ft (assist by K. Irving),78,75
307,3,4:08.0,Personal take foul by G. Monroe (drawn by D. Jordan),,78,75
308,3,4:08.0,D. Jordan makes free throw 1 of 2,,79,75
309,3,4:08.0,D. Jordan makes free throw 2 of 2,,80,75
310,3,3:57.0,,Personal foul by A. Rivers (drawn by K. Irving),80,75
311,3,3:57.0,,K. Irving makes free throw 1 of 2,80,76
312,3,3:57.0,M. Teodosić enters the game for A. Rivers,,80,76
313,3,3:57.0,,K. Irving makes free throw 2 of 2,80,77
314,3,3:47.0,Shooting foul by T. Rozier (drawn by L. Williams),,80,77
