,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
154,2,6:09.0,,C. Capela makes 2-pt dunk at rim,47,39
155,2,5:52.0,J. Butler misses 2-pt jump shot from 7 ft,,47,39
156,2,5:51.0,,Defensive rebound by C. Capela,47,39
157,2,5:33.0,,Turnover by J. Harden (bad pass; steal by J. Crawford),47,39
158,2,5:30.0,J. Crawford makes 2-pt layup from 2 ft (assist by J. Teague),,49,39
159,2,5:08.0,,P. Tucker makes 3-pt jump shot from 25 ft (assist by T. Ariza),49,42
160,2,4:47.0,K. Towns makes 2-pt jump shot from 13 ft,,51,42
161,2,4:23.0,,Shooting foul by K. Towns (drawn by T. Ariza),51,42
162,2,4:23.0,,T. Ariza makes free throw 1 of 2,51,43
163,2,4:23.0,,C. Paul enters the game for C. Capela,51,43
164,2,4:23.0,A. Wiggins enters the game for J. Butler,,51,43
165,2,4:23.0,,T. Ariza makes free throw 2 of 2,51,44
166,2,4:11.0,Turnover by J. Crawford (lost ball; steal by J. Harden),,51,44
167,2,3:54.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Harden),51,47
168,2,3:46.0,Minnesota full timeout,,51,47
169,2,3:40.0,Offensive foul by K. Towns (drawn by J. Harden),,51,47
170,2,3:40.0,Turnover by K. Towns (offensive foul),,51,47
171,2,3:22.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by T. Ariza),51,50
172,2,3:04.0,J. Butler enters the game for J. Crawford,,51,50
173,2,3:00.0,J. Butler misses 2-pt jump shot from 15 ft,,51,50
174,2,2:58.0,Offensive rebound by K. Towns,,51,50
175,2,2:57.0,K. Towns misses 2-pt layup from 1 ft,,51,50
176,2,2:56.0,,Defensive rebound by P. Tucker,51,50
177,2,2:35.0,,J. Harden misses 2-pt layup from 1 ft,51,50
178,2,2:34.0,,Offensive rebound by J. Harden,51,50
179,2,2:33.0,,J. Harden misses 2-pt layup at rim,51,50
180,2,2:33.0,Defensive rebound by Team,,51,50
181,2,2:15.0,K. Towns makes 2-pt hook shot from 4 ft,,53,50
182,2,2:01.0,,P. Tucker misses 3-pt jump shot from 24 ft,53,50
183,2,1:59.0,Defensive rebound by J. Teague,,53,50
184,2,1:52.0,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),,55,50
185,2,1:32.0,,J. Harden makes 2-pt layup from 1 ft,55,52
186,2,1:15.0,J. Teague makes 3-pt jump shot from 25 ft (assist by J. Butler),,58,52
187,2,0:57.0,,J. Harden misses 3-pt jump shot from 25 ft,58,52
188,2,0:56.0,Defensive rebound by J. Butler,,58,52
189,2,0:41.0,Shooting foul by T. Ariza (drawn by J. Teague),,58,52
190,2,0:41.0,J. Teague misses free throw 1 of 2,,58,52
191,2,0:41.0,Offensive rebound by Team,,58,52
192,2,0:41.0,,C. Capela enters the game for P. Tucker,58,52
193,2,0:41.0,G. Dieng enters the game for K. Towns,,58,52
194,2,0:41.0,J. Teague makes free throw 2 of 2,,59,52
195,2,0:32.0,,C. Paul makes 2-pt jump shot from 14 ft,59,54
196,2,0:11.0,D. Rose misses 2-pt layup from 1 ft (block by J. Harden),,59,54
197,2,0:08.0,,Defensive rebound by J. Harden,59,54
198,2,0:08.0,,Shooting foul by J. Teague (drawn by C. Capela),59,54
199,2,0:08.0,K. Towns enters the game for G. Dieng,,59,54
200,2,0:08.0,,C. Capela misses free throw 1 of 2,59,54
201,2,0:08.0,,Offensive rebound by Team,59,54
202,2,0:08.0,,C. Capela makes free throw 2 of 2,59,55
203,2,0:01.0,K. Towns misses 3-pt jump shot from 25 ft,,59,55
204,2,0:01.0,,Defensive rebound by C. Capela,59,55
205,3,11:45.0,,C. Paul makes 2-pt layup at rim,59,57
206,3,11:27.0,K. Towns makes 2-pt hook shot from 6 ft (assist by J. Butler),,61,57
207,3,11:01.0,,J. Harden misses 3-pt jump shot from 28 ft,61,57
208,3,11:00.0,Defensive rebound by K. Towns,,61,57
209,3,10:50.0,J. Butler misses 3-pt jump shot from 23 ft,,61,57
210,3,10:48.0,,Defensive rebound by T. Ariza,61,57
211,3,10:39.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by C. Paul),61,60
212,3,10:27.0,Personal foul by J. Harden (drawn by J. Butler),,61,60
213,3,10:17.0,J. Teague misses 2-pt jump shot from 5 ft,,61,60
214,3,10:16.0,,Defensive rebound by T. Ariza,61,60
215,3,9:53.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),61,63
216,3,9:28.0,T. Gibson misses 2-pt jump shot from 14 ft,,61,63
217,3,9:27.0,,Defensive rebound by C. Capela,61,63
218,3,9:17.0,,C. Paul makes 2-pt jump shot from 11 ft,61,65
219,3,9:17.0,Minnesota full timeout,,61,65
220,3,9:06.0,Shooting foul by P. Tucker (drawn by K. Towns),,61,65
221,3,9:06.0,K. Towns makes free throw 1 of 2,,62,65
222,3,9:06.0,K. Towns makes free throw 2 of 2,,63,65
223,3,8:50.0,,Turnover by P. Tucker (step out of bounds),63,65
224,3,8:33.0,Shooting foul by C. Capela (drawn by J. Teague),,63,65
225,3,8:33.0,J. Teague misses free throw 1 of 2,,63,65
226,3,8:33.0,Offensive rebound by Team,,63,65
227,3,8:33.0,J. Teague makes free throw 2 of 2,,64,65
228,3,8:23.0,,Turnover by J. Harden (bad pass; steal by J. Butler),64,65
