,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
98,1,0:08.0,,Personal take foul by P. Mills (drawn by K. Felder),19,21
99,1,0:00.0,,K. Felder misses 2-pt layup from 1 ft,19,21
100,1,0:00.0,Defensive rebound by R. Gay,,19,21
101,1,0:00.0,R. Gay misses 3-pt jump shot from 51 ft,,19,21
102,1,0:00.0,Offensive rebound by Team,,19,21
103,2,11:47.0,Shooting foul by D. Nwaba (drawn by M. Ginóbili),,19,21
104,2,11:47.0,M. Ginóbili misses free throw 1 of 2,,19,21
105,2,11:47.0,Offensive rebound by Team,,19,21
106,2,11:47.0,M. Ginóbili makes free throw 2 of 2,,20,21
107,2,11:34.0,,K. Felder makes 2-pt jump shot from 20 ft,20,23
108,2,11:18.0,Offensive foul by P. Mills (drawn by K. Felder),,20,23
109,2,11:18.0,Turnover by P. Mills (offensive foul),,20,23
110,2,11:18.0,D. Green enters the game for P. Mills,,20,23
111,2,11:18.0,D. Murray enters the game for M. Ginóbili,,20,23
112,2,11:07.0,,Turnover by K. Felder (bad pass; steal by D. Murray),20,23
113,2,11:01.0,D. Green makes 2-pt layup at rim (assist by D. Murray),,22,23
114,2,10:44.0,,Turnover by D. Valentine (bad pass; steal by R. Gay),22,23
115,2,10:38.0,B. Forbes misses 2-pt layup from 1 ft,,22,23
116,2,10:30.0,Offensive rebound by D. Murray,,22,23
117,2,10:30.0,R. Gay makes 2-pt layup at rim,,24,23
118,2,10:21.0,,Turnover by P. Zipser (traveling),24,23
119,2,10:21.0,K. Anderson enters the game for R. Gay,,24,23
120,2,10:04.0,D. Murray makes 2-pt jump shot from 19 ft (assist by J. Lauvergne),,26,23
121,2,10:04.0,,Chicago full timeout,26,23
122,2,10:04.0,,L. Markkanen enters the game for P. Zipser,26,23
123,2,9:50.0,,Turnover by K. Felder (bad pass),26,23
124,2,9:33.0,D. Murray misses 2-pt jump shot from 19 ft,,26,23
125,2,9:28.0,,Defensive rebound by K. Felder,26,23
126,2,9:26.0,,K. Felder makes 2-pt layup from 2 ft,26,25
127,2,9:26.0,Violation by D. Green (def goaltending),,26,25
128,2,9:03.0,B. Forbes misses 2-pt jump shot from 20 ft,,26,25
129,2,8:54.0,,Defensive rebound by L. Markkanen,26,25
130,2,8:52.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by K. Felder),26,28
131,2,8:33.0,K. Anderson misses 2-pt jump shot from 19 ft,,26,28
132,2,8:29.0,,Defensive rebound by L. Markkanen,26,28
133,2,8:24.0,L. Aldridge enters the game for B. Forbes,,26,28
134,2,8:24.0,P. Gasol enters the game for J. Lauvergne,,26,28
135,2,8:11.0,,D. Valentine misses 3-pt jump shot from 25 ft,26,28
136,2,8:09.0,Defensive rebound by K. Anderson,,26,28
137,2,8:07.0,Turnover by K. Anderson (step out of bounds),,26,28
138,2,7:54.0,,K. Felder misses 2-pt jump shot from 21 ft,26,28
139,2,7:50.0,Defensive rebound by P. Gasol,,26,28
140,2,7:44.0,D. Murray misses 2-pt jump shot from 12 ft,,26,28
141,2,7:41.0,,Defensive rebound by L. Markkanen,26,28
142,2,7:30.0,,L. Markkanen misses 3-pt jump shot from 25 ft,26,28
143,2,7:26.0,Defensive rebound by D. Murray,,26,28
144,2,7:19.0,L. Aldridge makes 2-pt jump shot from 11 ft,,28,28
145,2,7:04.0,,D. Nwaba misses 3-pt jump shot from 23 ft,28,28
146,2,7:04.0,Defensive rebound by L. Aldridge,,28,28
147,2,6:53.0,L. Aldridge misses 3-pt jump shot from 25 ft,,28,28
148,2,6:53.0,,Defensive rebound by D. Nwaba,28,28
149,2,6:41.0,,L. Markkanen misses 2-pt jump shot from 4 ft,28,28
150,2,6:41.0,,Offensive rebound by C. Felício,28,28
151,2,6:37.0,,C. Felício misses 2-pt layup at rim,28,28
152,2,6:35.0,Defensive rebound by L. Aldridge,,28,28
153,2,6:24.0,P. Gasol makes 2-pt dunk at rim (assist by K. Anderson),,30,28
154,2,6:08.0,,D. Valentine makes 2-pt jump shot from 9 ft (assist by C. Felício),30,30
155,2,5:57.0,Personal foul by C. Felício (drawn by L. Aldridge),,30,30
156,2,5:57.0,,J. Grant enters the game for K. Felder,30,30
157,2,5:57.0,,J. Holiday enters the game for D. Nwaba,30,30
158,2,5:57.0,P. Mills enters the game for D. Murray,,30,30
159,2,5:43.0,D. Green misses 2-pt jump shot from 17 ft,,30,30
160,2,5:39.0,,Defensive rebound by L. Markkanen,30,30
161,2,5:37.0,,L. Markkanen misses 2-pt jump shot from 7 ft,30,30
162,2,5:37.0,Defensive rebound by Team,,30,30
163,2,5:37.0,M. Ginóbili enters the game for D. Green,,30,30
164,2,5:27.0,Personal foul by C. Felício (drawn by L. Aldridge),,30,30
165,2,5:14.0,K. Anderson makes 2-pt jump shot from 8 ft (assist by M. Ginóbili),,32,30
166,2,5:02.0,,J. Grant makes 2-pt jump shot from 9 ft,32,32
167,2,4:50.0,,Violation by J. Grant (kicked ball),32,32
168,2,4:50.0,,R. Lopez enters the game for C. Felício,32,32
169,2,4:41.0,M. Ginóbili misses 2-pt jump shot from 6 ft,,32,32
170,2,4:37.0,,Defensive rebound by L. Markkanen,32,32
171,2,4:22.0,,Turnover by J. Grant (turnover),32,32
172,2,4:11.0,Turnover by P. Gasol (traveling),,32,32
173,2,3:55.0,,D. Valentine misses 2-pt jump shot from 14 ft,32,32
174,2,3:51.0,Defensive rebound by K. Anderson,,32,32
175,2,3:43.0,L. Aldridge misses 2-pt layup from 1 ft,,32,32
176,2,3:40.0,,Defensive rebound by D. Valentine,32,32
177,2,3:22.0,,Shooting foul by M. Ginóbili (drawn by R. Lopez),32,32
178,2,3:22.0,,R. Lopez makes free throw 1 of 2,32,33
179,2,3:22.0,San Antonio full timeout,,32,33
180,2,3:22.0,,P. Zipser enters the game for D. Valentine,32,33
181,2,3:22.0,R. Gay enters the game for K. Anderson,,32,33
182,2,3:22.0,,R. Lopez misses free throw 2 of 2,32,33
183,2,3:18.0,,Offensive rebound by R. Lopez,32,33
184,2,3:13.0,,L. Markkanen misses 2-pt layup from 2 ft,32,33
185,2,3:11.0,Defensive rebound by P. Gasol,,32,33
186,2,2:59.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by P. Gasol),,34,33
187,2,2:35.0,,P. Zipser misses 2-pt jump shot from 14 ft,34,33
188,2,2:31.0,Defensive rebound by P. Gasol,,34,33
189,2,2:28.0,Turnover by P. Mills (discontinued dribble),,34,33
190,2,2:13.0,,J. Grant misses 3-pt jump shot from 24 ft,34,33
191,2,2:10.0,Defensive rebound by R. Gay,,34,33
192,2,2:04.0,Turnover by R. Gay (bad pass; steal by J. Holiday),,34,33
193,2,1:50.0,,L. Markkanen makes 2-pt layup from 1 ft,34,35
194,2,1:42.0,R. Gay makes 2-pt layup from 1 ft (assist by P. Gasol),,36,35
195,2,1:42.0,Shooting foul by J. Grant (drawn by R. Gay),,36,35
196,2,1:42.0,R. Gay misses free throw 1 of 1,,36,35
197,2,1:40.0,Offensive rebound by Team,,36,35
198,2,1:25.0,R. Gay makes 2-pt layup from 2 ft (assist by M. Ginóbili),,38,35
199,2,1:16.0,,Turnover by L. Markkanen (bad pass; steal by M. Ginóbili),38,35
200,2,1:11.0,M. Ginóbili makes 2-pt dunk at rim,,40,35
