,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
54,1,5:15.0,,Turnover by J. Holiday (bad pass; steal by L. James),14,21
55,1,5:08.0,I. Shumpert makes 3-pt jump shot from 24 ft (assist by L. James),,17,21
56,1,5:01.0,,New Orleans full timeout,17,21
57,1,5:01.0,,E. Moore enters the game for B. Hield,17,21
58,1,5:01.0,Violation by Team (jump ball),,17,21
59,1,4:53.0,,S. Hill misses 3-pt jump shot from 25 ft,17,21
60,1,4:52.0,Defensive rebound by T. Thompson,,17,21
61,1,4:49.0,Personal foul by S. Hill (drawn by L. James),,17,21
62,1,4:49.0,,D. Motiejūnas enters the game for S. Hill,17,21
63,1,4:42.0,L. James misses 2-pt layup from 2 ft,,17,21
64,1,4:41.0,,Defensive rebound by D. Cunningham,17,21
65,1,4:26.0,,E. Moore misses 3-pt jump shot from 27 ft,17,21
66,1,4:25.0,Defensive rebound by K. Love,,17,21
67,1,4:12.0,Shooting block foul by J. Holiday (drawn by K. Love),,17,21
68,1,4:12.0,K. Love makes free throw 1 of 2,,18,21
69,1,4:12.0,K. Love makes free throw 2 of 2,,19,21
70,1,3:58.0,,Personal foul by T. Thompson (drawn by D. Motiejūnas),19,21
71,1,3:58.0,,S. Hill enters the game for D. Cunningham,19,21
72,1,3:58.0,R. Jefferson enters the game for T. Thompson,,19,21
73,1,3:54.0,,E. Moore makes 2-pt layup from 1 ft (assist by S. Hill),19,23
74,1,3:40.0,Personal foul by E. Moore (drawn by L. James),,19,23
75,1,3:40.0,,L. Galloway enters the game for S. Hill,19,23
76,1,3:28.0,L. James misses 2-pt jump shot from 5 ft (block by E. Moore),,19,23
77,1,3:26.0,Offensive rebound by L. James,,19,23
78,1,3:26.0,Turnover by Team (shot clock),,19,23
79,1,3:12.0,,T. Jones makes 2-pt hook shot from 4 ft,19,25
80,1,2:53.0,K. Irving misses 2-pt jump shot from 17 ft,,19,25
81,1,2:51.0,,Defensive rebound by J. Holiday,19,25
