,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
179,2,1:09.0,,Defensive rebound by J. Johnson,50,51
180,2,1:03.0,,D. Waiters makes 3-pt jump shot from 25 ft (assist by J. Johnson),50,54
181,2,1:03.0,Brooklyn full timeout,,50,54
182,2,0:41.0,Turnover by R. Foye (lost ball; steal by H. Whiteside),,50,54
183,2,0:35.0,,R. McGruder misses 3-pt jump shot from 25 ft,50,54
184,2,0:34.0,,Offensive rebound by H. Whiteside,50,54
185,2,0:33.0,,H. Whiteside makes 2-pt layup from 1 ft,50,56
186,2,0:09.0,Shooting foul by R. McGruder (drawn by B. Bogdanović),,50,56
187,2,0:09.0,B. Bogdanović makes free throw 1 of 2,,51,56
188,2,0:09.0,R. Hollis-Jefferson enters the game for S. Dinwiddie,,50,56
189,2,0:09.0,,W. Ellington enters the game for O. White,51,56
190,2,0:09.0,I. Whitehead enters the game for B. Lopez,,51,56
191,2,0:09.0,B. Bogdanović makes free throw 2 of 2,,52,56
192,2,0:04.0,,D. Waiters misses 3-pt jump shot from 26 ft,52,56
193,2,0:02.0,Defensive rebound by R. Foye,,52,56
194,2,0:01.0,R. Foye misses 3-pt jump shot from 55 ft,,52,56
195,2,0:00.0,Offensive rebound by Team,,52,56
196,3,11:45.0,,H. Whiteside makes 2-pt dunk at rim (assist by D. Waiters),52,58
197,3,11:26.0,Personal foul by G. Dragić (drawn by T. Booker),,52,58
198,3,11:13.0,S. Dinwiddie makes 2-pt layup from 1 ft,,54,58
199,3,10:44.0,,D. Waiters misses 3-pt jump shot from 24 ft,54,58
200,3,10:43.0,Defensive rebound by B. Bogdanović,,54,58
201,3,10:34.0,Turnover by T. Booker (lost ball; steal by R. McGruder),,54,58
202,3,10:32.0,,Personal foul by T. Booker (drawn by D. Waiters),54,58
203,3,10:16.0,,L. Babbitt makes 3-pt jump shot from 23 ft (assist by G. Dragić),54,61
