,QUARTER,TIME_REMAINING,MIAMI_ACTION,GOLDEN STATE_ACTION,MIAMI_SCORE,GOLDEN STATE_SCORE
37,1,7:33.0,L. Babbitt misses 3-pt jump shot from 24 ft,,10,9
38,1,7:32.0,,Defensive rebound by K. Durant,10,9
39,1,7:22.0,,Def 3 sec tech foul by H. Whiteside,10,9
40,1,7:22.0,,S. Curry misses technical free throw,10,9
41,1,7:22.0,,Offensive rebound by Team,10,9
42,1,7:11.0,,Turnover by Z. Pachulia (bad pass; steal by D. Waiters),10,9
43,1,7:02.0,L. Babbitt misses 2-pt jump shot from 15 ft,,10,9
44,1,7:01.0,,Defensive rebound by K. Durant,10,9
45,1,6:55.0,,K. Durant misses 3-pt jump shot from 25 ft,10,9
46,1,6:54.0,Defensive rebound by H. Whiteside,,10,9
47,1,6:41.0,H. Whiteside makes 2-pt dunk at rim (assist by D. Waiters),,12,9
48,1,6:29.0,,P. McCaw misses 2-pt jump shot from 17 ft,12,9
49,1,6:28.0,Defensive rebound by H. Whiteside,,12,9
50,1,6:15.0,G. Dragić misses 3-pt jump shot from 23 ft,,12,9
51,1,6:15.0,,Defensive rebound by Z. Pachulia,12,9
52,1,6:06.0,,K. Durant misses 2-pt jump shot from 4 ft,12,9
53,1,6:04.0,Defensive rebound by D. Waiters,,12,9
54,1,5:54.0,D. Waiters makes 2-pt jump shot from 17 ft,,14,9
55,1,5:46.0,,Golden State full timeout,14,9
56,1,5:46.0,T. Johnson enters the game for R. McGruder,,14,9
57,1,5:40.0,,Turnover by D. Green (bad pass; steal by H. Whiteside),14,9
58,1,5:36.0,T. Johnson makes 2-pt layup from 1 ft (assist by G. Dragić),,16,9
59,1,5:19.0,,K. Durant misses 2-pt hook shot from 5 ft,16,9
60,1,5:18.0,Defensive rebound by H. Whiteside,,16,9
61,1,5:03.0,D. Waiters misses 2-pt jump shot from 18 ft,,16,9
62,1,5:02.0,,Defensive rebound by S. Curry,16,9
63,1,4:57.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),16,11
64,1,4:37.0,T. Johnson makes 2-pt layup from 2 ft (assist by H. Whiteside),,18,11
65,1,4:24.0,,D. Green misses 3-pt jump shot from 25 ft,18,11
66,1,4:23.0,Defensive rebound by H. Whiteside,,18,11
67,1,4:13.0,G. Dragić makes 2-pt layup from 2 ft,,20,11
68,1,3:49.0,,K. Durant makes 2-pt dunk at rim (assist by Z. Pachulia),20,13
69,1,3:40.0,Miami full timeout,,20,13
70,1,3:40.0,,I. Clark enters the game for Z. Pachulia,20,13
71,1,3:40.0,,J. McGee enters the game for P. McCaw,20,13
72,1,3:40.0,,A. Iguodala enters the game for D. Green,20,13
73,1,3:36.0,J. Johnson enters the game for L. Babbitt,,20,13
74,1,3:29.0,T. Johnson makes 3-pt jump shot from 26 ft (assist by H. Whiteside),,23,13
75,1,3:16.0,,K. Durant makes 2-pt jump shot from 12 ft (assist by A. Iguodala),23,15
76,1,2:52.0,J. Johnson makes 2-pt dunk at rim,,25,15
77,1,2:35.0,,I. Clark makes 2-pt jump shot from 12 ft,25,17
78,1,2:29.0,J. Johnson misses 3-pt jump shot from 26 ft,,25,17
79,1,2:29.0,,Defensive rebound by J. McGee,25,17
80,1,2:23.0,,S. Curry makes 3-pt jump shot from 31 ft,25,20
81,1,2:02.0,G. Dragić misses 3-pt jump shot from 27 ft,,25,20
82,1,2:01.0,,Defensive rebound by S. Curry,25,20
83,1,1:56.0,,Turnover by K. Durant (lost ball; steal by G. Dragić),25,20
84,1,1:50.0,Turnover by G. Dragić (lost ball),,25,20
85,1,1:50.0,W. Reed enters the game for H. Whiteside,,25,20
86,1,1:39.0,,Shooting foul by J. Johnson (drawn by K. Durant),25,20
87,1,1:39.0,,K. Durant makes 2-pt jump shot from 9 ft (assist by S. Curry),25,22
88,1,1:39.0,W. Ellington enters the game for G. Dragić,,25,22
89,1,1:39.0,,K. Durant makes free throw 1 of 1,25,23
90,1,1:22.0,D. Waiters makes 2-pt jump shot from 5 ft (assist by T. Johnson),,27,23
91,1,1:13.0,,I. Clark misses 2-pt layup from 3 ft,27,23
92,1,1:13.0,Defensive rebound by D. Waiters,,27,23
93,1,1:06.0,Offensive foul by D. Waiters (drawn by I. Clark),,27,23
94,1,1:06.0,Turnover by D. Waiters (offensive foul),,27,23
95,1,1:06.0,R. McGruder enters the game for D. Waiters,,27,23
96,1,0:54.0,,K. Durant misses 2-pt layup at rim (block by W. Reed),27,23
97,1,0:53.0,,Offensive rebound by K. Durant,27,23
98,1,0:53.0,,K. Durant makes 2-pt dunk at rim,27,25
99,1,0:37.0,Personal foul by K. Durant (drawn by T. Johnson),,27,25
100,1,0:22.0,J. Johnson misses 2-pt jump shot from 7 ft (block by K. Durant),,27,25
101,1,0:21.0,,Defensive rebound by A. Iguodala,27,25
102,1,0:05.0,,Shooting foul by T. Johnson (drawn by S. Curry),27,25
103,1,0:05.0,,S. Curry makes free throw 1 of 2,27,26
104,1,0:05.0,,J. McAdoo enters the game for J. McGee,27,26
105,1,0:05.0,,D. Green enters the game for K. Durant,27,26
106,1,0:05.0,,S. Curry makes free throw 2 of 2,27,27
107,1,0:00.0,J. Johnson makes 2-pt dunk at rim,,29,27
108,2,11:38.0,,D. West misses 2-pt jump shot from 8 ft,29,27
109,2,11:38.0,Defensive rebound by T. Johnson,,29,27
110,2,11:31.0,J. Johnson makes 2-pt layup from 1 ft (assist by T. Johnson),,31,27
111,2,11:18.0,,Personal foul by W. Ellington (drawn by A. Iguodala),31,27
112,2,11:13.0,,I. Clark misses 2-pt jump shot from 14 ft,31,27
113,2,11:13.0,,Offensive rebound by Team,31,27
114,2,11:05.0,,S. Livingston makes 2-pt jump shot from 15 ft (assist by I. Clark),31,29
115,2,10:45.0,J. Johnson misses 3-pt jump shot from 23 ft,,31,29
116,2,10:44.0,,Defensive rebound by D. West,31,29
117,2,10:39.0,,D. Green makes 2-pt jump shot from 3 ft (assist by D. West),31,31
118,2,10:23.0,J. Johnson misses 3-pt jump shot from 24 ft,,31,31
119,2,10:22.0,,Defensive rebound by D. West,31,31
120,2,10:13.0,,D. Green misses 3-pt jump shot from 29 ft,31,31
121,2,10:13.0,Defensive rebound by W. Reed,,31,31
122,2,10:04.0,T. Johnson misses 3-pt jump shot from 27 ft,,31,31
123,2,10:03.0,,Defensive rebound by D. Green,31,31
124,2,9:59.0,,A. Iguodala makes 2-pt layup from 2 ft (assist by D. Green),31,33
125,2,9:38.0,G. Dragić misses 2-pt jump shot from 11 ft,,31,33
126,2,9:38.0,,Defensive rebound by D. Green,31,33
127,2,9:32.0,,I. Clark makes 3-pt jump shot from 25 ft (assist by S. Livingston),31,36
128,2,9:19.0,Miami full timeout,,31,36
129,2,9:19.0,R. McGruder enters the game for T. Johnson,,31,36
130,2,9:09.0,Turnover by W. Reed (traveling),,31,36
131,2,8:57.0,,D. Green makes 2-pt layup from 2 ft (assist by D. West),31,38
132,2,8:36.0,W. Ellington misses 3-pt jump shot from 29 ft,,31,38
133,2,8:35.0,,Defensive rebound by D. Green,31,38
134,2,8:28.0,,D. Green misses 2-pt layup from 2 ft,31,38
135,2,8:27.0,Defensive rebound by W. Reed,,31,38
136,2,8:16.0,W. Reed misses 2-pt jump shot from 4 ft,,31,38
137,2,8:15.0,,Defensive rebound by D. West,31,38
138,2,8:07.0,,Personal foul by W. Reed (drawn by D. West),31,38
139,2,8:07.0,H. Whiteside enters the game for W. Reed,,31,38
140,2,7:56.0,,S. Livingston makes 2-pt jump shot from 16 ft (assist by D. Green),31,40
141,2,7:35.0,Shooting foul by I. Clark (drawn by H. Whiteside),,31,40
142,2,7:35.0,H. Whiteside makes free throw 1 of 2,,32,40
143,2,7:35.0,H. Whiteside misses free throw 2 of 2,,32,40
144,2,7:35.0,D. Waiters enters the game for W. Ellington,,32,40
145,2,7:34.0,,Defensive rebound by D. West,32,40
146,2,7:17.0,,A. Iguodala makes 2-pt jump shot from 18 ft,32,42
147,2,7:04.0,J. Johnson makes 2-pt layup from 2 ft (assist by D. Waiters),,34,42
148,2,6:49.0,L. Babbitt enters the game for J. Johnson,,34,42
149,2,6:44.0,,D. West misses 2-pt jump shot from 20 ft,34,42
150,2,6:44.0,Defensive rebound by G. Dragić,,34,42
151,2,6:42.0,Personal foul by S. Livingston (drawn by G. Dragić),,34,42
152,2,6:42.0,,Violation by Team (jump ball),34,42
153,2,6:22.0,H. Whiteside makes 2-pt jump shot from 6 ft,,36,42
154,2,6:02.0,,Turnover by I. Clark (step out of bounds),36,42
155,2,5:50.0,G. Dragić makes 2-pt layup from 2 ft,,38,42
156,2,5:47.0,,Golden State full timeout,38,42
157,2,5:47.0,,Z. Pachulia enters the game for A. Iguodala,38,42
158,2,5:47.0,,K. Durant enters the game for I. Clark,38,42
159,2,5:47.0,,S. Curry enters the game for D. West,38,42
160,2,5:41.0,,Shooting foul by D. Waiters (drawn by S. Livingston),38,42
161,2,5:41.0,,S. Livingston misses free throw 1 of 2,38,42
162,2,5:41.0,,Offensive rebound by Team,38,42
163,2,5:41.0,,S. Livingston makes free throw 2 of 2,38,43
164,2,5:22.0,G. Dragić misses 2-pt jump shot from 5 ft (block by D. Green),,38,43
165,2,5:21.0,,Defensive rebound by S. Curry,38,43
166,2,5:17.0,T. Johnson enters the game for G. Dragić,,38,43
167,2,5:17.0,,P. McCaw enters the game for D. Green,38,43
168,2,5:02.0,,S. Curry misses 2-pt layup from 2 ft (block by H. Whiteside),38,43
169,2,5:01.0,Defensive rebound by H. Whiteside,,38,43
170,2,4:54.0,Shooting foul by Z. Pachulia (drawn by T. Johnson),,38,43
171,2,4:54.0,T. Johnson makes free throw 1 of 2,,39,43
172,2,4:54.0,T. Johnson makes free throw 2 of 2,,40,43
173,2,4:39.0,,Z. Pachulia makes 2-pt jump shot from 18 ft (assist by S. Curry),40,45
174,2,4:17.0,H. Whiteside makes 2-pt jump shot from 12 ft (assist by D. Waiters),,42,45
175,2,4:10.0,,Personal foul by T. Johnson (drawn by K. Durant),42,45
176,2,4:10.0,J. Johnson enters the game for L. Babbitt,,42,45
177,2,4:03.0,,S. Curry makes 3-pt jump shot from 25 ft,42,48
178,2,3:35.0,H. Whiteside makes 2-pt hook shot from 3 ft (assist by J. Johnson),,44,48
179,2,3:22.0,,K. Durant misses 2-pt jump shot from 14 ft,44,48
180,2,3:22.0,Defensive rebound by D. Waiters,,44,48
181,2,3:12.0,H. Whiteside makes 2-pt layup at rim (assist by D. Waiters),,46,48
182,2,3:00.0,,S. Curry misses 3-pt jump shot from 27 ft,46,48
183,2,3:00.0,Defensive rebound by T. Johnson,,46,48
184,2,2:50.0,D. Waiters misses 2-pt layup from 3 ft,,46,48
185,2,2:50.0,,Defensive rebound by Team,46,48
186,2,2:50.0,Official timeout,,46,48
187,2,2:50.0,,I. Clark enters the game for Z. Pachulia,46,48
188,2,2:50.0,,A. Iguodala enters the game for P. McCaw,46,48
189,2,2:50.0,,D. Green enters the game for S. Livingston,46,48
190,2,2:25.0,,I. Clark misses 3-pt jump shot from 29 ft,46,48
191,2,2:25.0,Defensive rebound by H. Whiteside,,46,48
192,2,2:10.0,Turnover by J. Johnson (bad pass; steal by D. Green),,46,48
193,2,2:02.0,,Turnover by S. Curry (bad pass; steal by J. Johnson),46,48
194,2,1:51.0,J. Johnson misses 3-pt jump shot from 25 ft,,46,48
195,2,1:50.0,,Defensive rebound by K. Durant,46,48
196,2,1:37.0,,S. Curry misses 2-pt hook shot from 4 ft,46,48
197,2,1:37.0,Defensive rebound by H. Whiteside,,46,48
198,2,1:26.0,T. Johnson makes 3-pt jump shot from 24 ft (assist by J. Johnson),,49,48
199,2,1:18.0,,K. Durant misses 3-pt jump shot from 27 ft,49,48
200,2,1:17.0,Defensive rebound by T. Johnson,,49,48
201,2,1:00.0,D. Waiters misses 3-pt jump shot from 25 ft,,49,48
202,2,0:59.0,Offensive rebound by T. Johnson,,49,48
203,2,0:57.0,T. Johnson misses 3-pt jump shot from 26 ft,,49,48
204,2,0:56.0,,Defensive rebound by Team,49,48
205,2,0:56.0,,Personal foul by H. Whiteside (drawn by D. Green),49,48
206,2,0:56.0,,D. Green misses free throw 1 of 2,49,48
207,2,0:56.0,,Offensive rebound by Team,49,48
208,2,0:56.0,G. Dragić enters the game for T. Johnson,,49,48
209,2,0:56.0,W. Ellington enters the game for D. Waiters,,49,48
210,2,0:56.0,,D. Green makes free throw 2 of 2,49,49
211,2,0:46.0,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),,51,49
212,2,0:39.0,,S. Curry makes 2-pt jump shot from 19 ft,51,51
213,2,0:22.0,J. Johnson misses 3-pt jump shot from 24 ft,,51,51
214,2,0:21.0,Offensive rebound by H. Whiteside,,51,51
215,2,0:19.0,Miami full timeout,,51,51
216,2,0:19.0,,P. McCaw enters the game for I. Clark,51,51
217,2,0:19.0,D. Waiters enters the game for J. Johnson,,51,51
218,2,0:19.0,T. Johnson enters the game for R. McGruder,,51,51
219,2,0:01.0,Personal foul by P. McCaw (drawn by W. Ellington),,51,51
220,2,0:01.0,W. Ellington makes free throw 1 of 3,,52,51
221,2,0:01.0,W. Ellington makes free throw 2 of 3,,53,51
222,2,0:01.0,,Golden State full timeout,53,51
223,2,0:01.0,,I. Clark enters the game for P. McCaw,53,51
224,2,0:01.0,,D. West enters the game for A. Iguodala,53,51
225,2,0:01.0,R. McGruder enters the game for D. Waiters,,53,51
226,2,0:01.0,J. Johnson enters the game for T. Johnson,,53,51
227,2,0:01.0,W. Ellington makes free throw 3 of 3,,54,51
228,2,0:00.0,,Personal foul by R. McGruder (drawn by D. Green),54,51
229,2,0:00.0,,D. Green makes free throw 1 of 2,54,52
230,2,0:00.0,,D. Green makes free throw 2 of 2,54,53
231,3,11:47.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),54,56
232,3,11:37.0,Offensive foul by H. Whiteside (drawn by S. Curry),,54,56
233,3,11:37.0,Turnover by H. Whiteside (offensive foul),,54,56
234,3,11:26.0,,S. Curry makes 2-pt jump shot from 18 ft (assist by Z. Pachulia),54,58
235,3,11:04.0,Personal foul by P. McCaw (drawn by D. Waiters),,54,58
236,3,10:51.0,R. McGruder misses 2-pt jump shot from 22 ft (block by K. Durant),,54,58
237,3,10:51.0,Offensive rebound by Team,,54,58
238,3,10:47.0,D. Waiters misses 2-pt jump shot from 21 ft,,54,58
239,3,10:45.0,,Defensive rebound by D. Green,54,58
240,3,10:40.0,,S. Curry misses 3-pt jump shot from 26 ft,54,58
241,3,10:39.0,Defensive rebound by L. Babbitt,,54,58
242,3,10:25.0,L. Babbitt makes 2-pt jump shot from 16 ft,,56,58
243,3,10:07.0,,K. Durant makes 2-pt jump shot from 7 ft (assist by Z. Pachulia),56,60
244,3,10:06.0,Miami full timeout,,56,60
245,3,9:46.0,Turnover by G. Dragić (step out of bounds),,56,60
246,3,9:33.0,,S. Curry misses 2-pt jump shot from 19 ft,56,60
247,3,9:32.0,Defensive rebound by R. McGruder,,56,60
248,3,9:22.0,L. Babbitt misses 3-pt jump shot from 30 ft,,56,60
249,3,9:22.0,,Defensive rebound by S. Curry,56,60
250,3,9:16.0,,Turnover by S. Curry (bad pass),56,60
251,3,9:02.0,Turnover by H. Whiteside (lost ball; steal by Z. Pachulia),,56,60
252,3,9:02.0,,Personal foul by H. Whiteside (drawn by Z. Pachulia),56,60
253,3,8:47.0,,D. Green misses 3-pt jump shot from 25 ft,56,60
254,3,8:47.0,Defensive rebound by H. Whiteside,,56,60
255,3,8:33.0,L. Babbitt misses 3-pt jump shot from 23 ft,,56,60
256,3,8:33.0,,Defensive rebound by D. Green,56,60
257,3,8:21.0,,S. Curry misses 2-pt jump shot from 17 ft,56,60
258,3,8:21.0,Defensive rebound by H. Whiteside,,56,60
259,3,8:06.0,Turnover by H. Whiteside (bad pass; steal by K. Durant),,56,60
260,3,8:03.0,,Turnover by P. McCaw (lost ball),56,60
261,3,7:45.0,D. Waiters makes 2-pt jump shot from 10 ft (assist by G. Dragić),,58,60
262,3,7:33.0,,D. Green makes 2-pt dunk at rim (assist by S. Curry),58,62
263,3,7:07.0,G. Dragić misses 3-pt jump shot from 26 ft,,58,62
264,3,7:06.0,,Defensive rebound by Z. Pachulia,58,62
265,3,6:58.0,,K. Durant makes 2-pt layup at rim (assist by S. Curry),58,64
266,3,6:35.0,L. Babbitt misses 2-pt jump shot from 11 ft,,58,64
267,3,6:34.0,,Defensive rebound by K. Durant,58,64
268,3,6:25.0,,P. McCaw misses 3-pt jump shot from 23 ft,58,64
269,3,6:24.0,Defensive rebound by H. Whiteside,,58,64
270,3,6:12.0,D. Waiters makes 2-pt layup from 1 ft,,60,64
271,3,5:50.0,,K. Durant misses 2-pt layup from 3 ft (block by H. Whiteside),60,64
272,3,5:49.0,Defensive rebound by R. McGruder,,60,64
273,3,5:46.0,G. Dragić misses 2-pt layup from 1 ft (block by S. Curry),,60,64
274,3,5:45.0,,Defensive rebound by P. McCaw,60,64
275,3,5:39.0,,S. Curry misses 3-pt jump shot from 27 ft,60,64
276,3,5:38.0,Defensive rebound by R. McGruder,,60,64
277,3,5:19.0,H. Whiteside misses 2-pt jump shot from 16 ft,,60,64
278,3,5:18.0,,Defensive rebound by Z. Pachulia,60,64
279,3,5:10.0,,P. McCaw makes 3-pt jump shot from 27 ft (assist by D. Green),60,67
280,3,4:53.0,Shooting foul by P. McCaw (drawn by R. McGruder),,60,67
281,3,4:53.0,R. McGruder makes free throw 1 of 2,,61,67
282,3,4:53.0,,Golden State full timeout,61,67
283,3,4:53.0,R. McGruder misses free throw 2 of 2,,61,67
284,3,4:53.0,J. Johnson enters the game for L. Babbitt,,61,67
285,3,4:53.0,T. Johnson enters the game for H. Whiteside,,61,67
286,3,4:53.0,W. Reed enters the game for G. Dragić,,61,67
287,3,4:53.0,,J. McGee enters the game for K. Durant,61,67
288,3,4:53.0,,A. Iguodala enters the game for Z. Pachulia,61,67
289,3,4:53.0,,I. Clark enters the game for P. McCaw,61,67
290,3,4:52.0,,Defensive rebound by D. Green,61,67
291,3,4:36.0,,Turnover by J. McGee (lost ball; steal by D. Waiters),61,67
292,3,4:22.0,Shooting foul by J. McGee (drawn by W. Reed),,61,67
293,3,4:22.0,W. Reed makes free throw 1 of 2,,62,67
294,3,4:22.0,W. Reed makes free throw 2 of 2,,63,67
295,3,4:07.0,,S. Curry misses 2-pt layup from 3 ft,63,67
296,3,4:06.0,Defensive rebound by W. Reed,,63,67
297,3,3:58.0,D. Waiters misses 3-pt jump shot from 27 ft,,63,67
298,3,3:58.0,,Defensive rebound by Team,63,67
299,3,3:58.0,Loose ball foul by W. Reed (drawn by J. McGee),,63,67
300,3,3:49.0,,Shooting foul by J. Johnson (drawn by D. Green),63,67
301,3,3:49.0,,D. Green makes free throw 1 of 2,63,68
302,3,3:49.0,,D. Green makes free throw 2 of 2,63,69
303,3,3:32.0,T. Johnson makes 3-pt jump shot from 27 ft (assist by J. Johnson),,66,69
304,3,3:16.0,,A. Iguodala makes 3-pt jump shot from 24 ft (assist by S. Curry),66,72
305,3,3:05.0,J. Johnson misses 2-pt layup from 3 ft (block by J. McGee),,66,72
306,3,3:04.0,,Defensive rebound by J. McGee,66,72
307,3,2:47.0,,D. Green misses 2-pt jump shot from 8 ft,66,72
308,3,2:47.0,Defensive rebound by T. Johnson,,66,72
309,3,2:32.0,D. Waiters misses 2-pt jump shot from 16 ft,,66,72
310,3,2:32.0,,Defensive rebound by A. Iguodala,66,72
311,3,2:26.0,,A. Iguodala misses 2-pt layup from 3 ft,66,72
312,3,2:25.0,,Offensive rebound by A. Iguodala,66,72
313,3,2:24.0,,Personal foul by D. Waiters (drawn by A. Iguodala),66,72
314,3,2:24.0,,K. Durant enters the game for D. Green,66,72
315,3,2:12.0,,S. Curry misses 3-pt jump shot from 25 ft,66,72
316,3,2:12.0,Defensive rebound by W. Reed,,66,72
317,3,1:59.0,W. Reed makes 2-pt hook shot from 5 ft (assist by D. Waiters),,68,72
318,3,1:44.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by I. Clark),68,75
319,3,1:17.0,T. Johnson misses 3-pt jump shot from 26 ft,,68,75
320,3,1:17.0,,Defensive rebound by S. Curry,68,75
321,3,1:12.0,,I. Clark misses 2-pt layup from 1 ft,68,75
322,3,1:12.0,Defensive rebound by R. McGruder,,68,75
323,3,0:53.0,D. Waiters misses 3-pt jump shot from 25 ft,,68,75
324,3,0:53.0,,Defensive rebound by A. Iguodala,68,75
325,3,0:46.0,,Shooting foul by T. Johnson (drawn by S. Curry),68,75
326,3,0:46.0,,S. Curry makes free throw 1 of 2,68,76
327,3,0:46.0,G. Dragić enters the game for D. Waiters,,68,76
328,3,0:46.0,,S. Curry makes free throw 2 of 2,68,77
329,3,0:31.0,Personal foul by I. Clark (drawn by T. Johnson),,68,77
330,3,0:23.0,W. Reed misses 2-pt jump shot from 14 ft (block by J. McGee),,68,77
331,3,0:22.0,Offensive rebound by R. McGruder,,68,77
332,3,0:20.0,R. McGruder misses 2-pt jump shot from 6 ft,,68,77
333,3,0:18.0,,Defensive rebound by K. Durant,68,77
334,3,0:03.0,,J. McGee makes 2-pt jump shot from 8 ft (assist by I. Clark),68,79
335,4,11:41.0,Turnover by J. Johnson (bad pass; steal by D. West),,68,79
336,4,11:36.0,,Personal foul by J. Johnson (drawn by K. Durant),68,79
337,4,11:36.0,H. Whiteside enters the game for W. Reed,,68,79
338,4,11:23.0,,D. West makes 2-pt jump shot from 18 ft (assist by A. Iguodala),68,81
339,4,11:05.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by R. McGruder),,71,81
340,4,10:48.0,,K. Durant misses 2-pt jump shot from 12 ft,71,81
341,4,10:48.0,Defensive rebound by H. Whiteside,,71,81
342,4,10:38.0,T. Johnson misses 3-pt jump shot from 26 ft,,71,81
343,4,10:37.0,Offensive rebound by H. Whiteside,,71,81
344,4,10:36.0,H. Whiteside makes 2-pt dunk at rim,,73,81
345,4,10:19.0,,A. Iguodala misses 3-pt jump shot from 25 ft,73,81
346,4,10:19.0,Defensive rebound by H. Whiteside,,73,81
347,4,10:00.0,R. McGruder misses 2-pt jump shot from 18 ft,,73,81
348,4,10:00.0,,Defensive rebound by A. Iguodala,73,81
349,4,9:56.0,,Shooting foul by R. McGruder (drawn by K. Durant),73,81
350,4,9:56.0,,K. Durant makes free throw 1 of 2,73,82
351,4,9:56.0,,K. Durant makes free throw 2 of 2,73,83
352,4,9:29.0,H. Whiteside makes 2-pt hook shot from 13 ft,,75,83
353,4,9:08.0,,S. Livingston misses 2-pt jump shot from 15 ft,75,83
354,4,9:08.0,Defensive rebound by J. Johnson,,75,83
355,4,8:58.0,G. Dragić misses 2-pt jump shot from 14 ft,,75,83
356,4,8:58.0,,Defensive rebound by D. Green,75,83
357,4,8:48.0,,S. Livingston makes 2-pt jump shot from 8 ft (assist by D. West),75,85
358,4,8:36.0,Shooting foul by S. Livingston (drawn by J. Johnson),,75,85
359,4,8:36.0,Official timeout,,75,85
360,4,8:36.0,J. Johnson misses free throw 1 of 2,,75,85
361,4,8:36.0,Offensive rebound by Team,,75,85
362,4,8:36.0,D. Waiters enters the game for R. McGruder,,75,85
363,4,8:36.0,J. Johnson makes free throw 2 of 2,,76,85
364,4,8:15.0,,D. West misses 2-pt jump shot from 15 ft,76,85
365,4,8:15.0,Defensive rebound by H. Whiteside,,76,85
366,4,7:58.0,H. Whiteside makes 2-pt dunk at rim (assist by J. Johnson),,78,85
367,4,7:38.0,,I. Clark enters the game for D. Green,78,85
368,4,7:35.0,,I. Clark misses 2-pt jump shot from 12 ft,78,85
369,4,7:34.0,Defensive rebound by H. Whiteside,,78,85
370,4,7:24.0,G. Dragić misses 2-pt jump shot from 12 ft,,78,85
371,4,7:24.0,Offensive rebound by Team,,78,85
372,4,7:15.0,H. Whiteside makes 2-pt dunk at rim (assist by D. Waiters),,80,85
373,4,7:00.0,,K. Durant misses 2-pt jump shot from 12 ft,80,85
374,4,7:00.0,,Offensive rebound by D. West,80,85
375,4,6:56.0,,Golden State full timeout,80,85
376,4,6:52.0,,S. Livingston misses 2-pt jump shot from 17 ft,80,85
377,4,6:52.0,Defensive rebound by J. Johnson,,80,85
378,4,6:36.0,T. Johnson makes 2-pt dunk at rim (assist by J. Johnson),,82,85
379,4,6:15.0,,Shooting foul by G. Dragić (drawn by S. Livingston),82,85
380,4,6:15.0,,S. Livingston misses free throw 1 of 2,82,85
381,4,6:15.0,,Offensive rebound by Team,82,85
382,4,6:15.0,,Z. Pachulia enters the game for D. West,82,85
383,4,6:15.0,,S. Curry enters the game for K. Durant,82,85
384,4,6:15.0,,S. Livingston makes free throw 2 of 2,82,86
385,4,5:54.0,T. Johnson misses 3-pt jump shot from 24 ft,,82,86
386,4,5:53.0,,Defensive rebound by S. Curry,82,86
