,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SAN ANTONIO_ACTION,CHICAGO_SCORE,SAN ANTONIO_SCORE
81,1,0:55.0,D. Wade misses 2-pt jump shot from 12 ft,,20,32
82,1,0:52.0,,Defensive rebound by L. Aldridge,20,32
83,1,0:41.0,,L. Aldridge makes 2-pt layup at rim (assist by P. Mills),20,34
84,1,0:26.0,C. Felício makes 2-pt layup at rim (assist by D. Wade),,22,34
85,1,0:07.0,,Shooting foul by D. Wade (drawn by L. Aldridge),22,34
86,1,0:07.0,,L. Aldridge makes free throw 1 of 2,22,35
87,1,0:07.0,,L. Aldridge makes free throw 2 of 2,22,36
88,1,0:03.0,Personal foul by D. Lee (drawn by D. Wade),,22,36
89,1,0:03.0,,D. Dedmon enters the game for L. Aldridge,22,36
90,1,0:03.0,,J. Simmons enters the game for D. Lee,22,36
91,1,0:00.0,J. Grant makes 3-pt jump shot from 25 ft (assist by D. Wade),,25,36
92,2,11:50.0,,Turnover by M. Ginóbili (bad pass; steal by J. Grant),25,36
93,2,11:24.0,J. Grant misses 2-pt jump shot from 19 ft,,25,36
94,2,11:23.0,Offensive rebound by C. Felício,,25,36
95,2,11:16.0,D. McDermott misses 3-pt jump shot from 26 ft,,25,36
96,2,11:16.0,Offensive rebound by Team,,25,36
97,2,11:16.0,,Loose ball foul by P. Mills,25,36
98,2,11:08.0,N. Mirotić makes 2-pt layup from 2 ft (assist by D. Wade),,27,36
99,2,10:54.0,,D. Lee makes 2-pt jump shot from 7 ft (assist by M. Ginóbili),27,38
100,2,10:54.0,,Shooting foul by C. Felício (drawn by D. Lee),27,38
101,2,10:54.0,,D. Lee makes free throw 1 of 1,27,39
102,2,10:47.0,Personal foul by M. Ginóbili (drawn by D. McDermott),,27,39
103,2,10:36.0,N. Mirotić misses 3-pt jump shot from 23 ft,,27,39
104,2,10:35.0,,Defensive rebound by D. Dedmon,27,39
105,2,10:18.0,,D. Green misses 3-pt jump shot from 23 ft,27,39
106,2,10:18.0,,Offensive rebound by Team,27,39
107,2,10:18.0,Loose ball foul by N. Mirotić (drawn by D. Dedmon),,27,39
108,2,10:08.0,,D. Dedmon misses 2-pt hook shot from 10 ft,27,39
109,2,10:05.0,Defensive rebound by D. Wade,,27,39
110,2,10:00.0,D. Wade misses 2-pt jump shot from 9 ft,,27,39
111,2,9:58.0,,Defensive rebound by D. Green,27,39
112,2,9:47.0,,Turnover by M. Ginóbili (lost ball; steal by J. Grant),27,39
113,2,9:42.0,J. Grant makes 2-pt layup from 1 ft (assist by N. Mirotić),,29,39
114,2,9:30.0,,Turnover by D. Green (bad pass; steal by N. Mirotić),29,39
115,2,9:25.0,N. Mirotić makes 3-pt jump shot from 26 ft,,32,39
116,2,9:25.0,,San Antonio full timeout,32,39
117,2,9:25.0,,L. Aldridge enters the game for D. Lee,32,39
118,2,9:25.0,,K. Leonard enters the game for D. Green,32,39
119,2,9:12.0,,P. Mills misses 2-pt jump shot from 20 ft,32,39
120,2,9:12.0,Defensive rebound by C. Felício,,32,39
121,2,9:02.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by D. Wade),,35,39
122,2,8:54.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,35,39
123,2,8:53.0,Defensive rebound by N. Mirotić,,35,39
124,2,8:43.0,N. Mirotić misses 3-pt jump shot from 26 ft,,35,39
125,2,8:42.0,,Defensive rebound by K. Leonard,35,39
126,2,8:24.0,,K. Leonard misses 3-pt jump shot from 24 ft,35,39
127,2,8:23.0,Defensive rebound by D. McDermott,,35,39
128,2,8:00.0,D. Wade misses 3-pt jump shot from 25 ft,,35,39
129,2,8:00.0,,Defensive rebound by K. Leonard,35,39
130,2,7:49.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by P. Mills),35,41
131,2,7:33.0,C. Felício misses 2-pt jump shot from 16 ft,,35,41
132,2,7:32.0,Offensive rebound by Team,,35,41
133,2,7:32.0,,Loose ball foul by P. Mills,35,41
134,2,7:32.0,,T. Parker enters the game for P. Mills,35,41
135,2,7:32.0,J. Butler enters the game for D. McDermott,,35,41
136,2,7:24.0,C. Felício misses 2-pt layup at rim,,35,41
137,2,7:23.0,,Defensive rebound by D. Dedmon,35,41
138,2,7:10.0,,Def 3 sec tech foul by C. Felício,35,41
139,2,7:10.0,,K. Leonard makes technical free throw,35,42
140,2,7:10.0,D. McDermott enters the game for D. Wade,,35,42
141,2,7:10.0,,J. Simmons enters the game for M. Ginóbili,35,42
142,2,7:08.0,,Personal foul by J. Grant (drawn by L. Aldridge),35,42
143,2,6:51.0,,J. Simmons makes 3-pt jump shot from 24 ft (assist by K. Leonard),35,45
144,2,6:36.0,Turnover by N. Mirotić (bad pass; steal by K. Leonard),,35,45
145,2,6:36.0,,Personal take foul by N. Mirotić (drawn by K. Leonard),35,45
146,2,6:36.0,R. Rondo enters the game for J. Grant,,35,45
147,2,6:17.0,,K. Leonard makes 2-pt jump shot from 11 ft (assist by D. Dedmon),35,47
148,2,6:17.0,Chicago full timeout,,35,47
149,2,6:17.0,T. Gibson enters the game for C. Felício,,35,47
150,2,6:17.0,,P. Gasol enters the game for D. Dedmon,35,47
151,2,5:57.0,T. Gibson makes 2-pt layup from 1 ft,,37,47
152,2,5:35.0,,Turnover by T. Parker (traveling),37,47
153,2,5:20.0,J. Butler makes 2-pt jump shot from 18 ft,,39,47
154,2,4:55.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by J. Simmons),39,49
155,2,4:34.0,Personal foul by J. Simmons (drawn by N. Mirotić),,39,49
156,2,4:20.0,R. Rondo makes 2-pt jump shot from 17 ft,,41,49
157,2,4:04.0,,P. Gasol misses 2-pt jump shot from 5 ft (block by N. Mirotić),41,49
158,2,4:03.0,Defensive rebound by N. Mirotić,,41,49
159,2,3:53.0,R. Rondo misses 2-pt layup from 2 ft,,41,49
160,2,3:51.0,Offensive rebound by T. Gibson,,41,49
161,2,3:49.0,T. Gibson makes 2-pt layup from 1 ft,,43,49
162,2,3:24.0,,T. Parker misses 3-pt jump shot from 25 ft,43,49
163,2,3:23.0,,Offensive rebound by P. Gasol,43,49
164,2,3:23.0,,Personal foul by T. Gibson (drawn by P. Gasol),43,49
165,2,3:23.0,,P. Gasol misses free throw 1 of 2,43,49
166,2,3:23.0,,Offensive rebound by Team,43,49
167,2,3:23.0,,M. Ginóbili enters the game for J. Simmons,43,49
168,2,3:23.0,,P. Gasol makes free throw 2 of 2,43,50
169,2,3:05.0,J. Butler misses 2-pt jump shot from 16 ft,,43,50
170,2,3:04.0,,Defensive rebound by M. Ginóbili,43,50
171,2,2:45.0,,T. Parker makes 2-pt jump shot from 17 ft,43,52
172,2,2:33.0,R. Rondo makes 2-pt jump shot from 19 ft,,45,52
173,2,2:18.0,,L. Aldridge misses 2-pt jump shot from 14 ft,45,52
174,2,2:16.0,Defensive rebound by R. Rondo,,45,52
175,2,2:11.0,T. Gibson misses 2-pt jump shot from 5 ft (block by M. Ginóbili),,45,52
176,2,2:10.0,Offensive rebound by T. Gibson,,45,52
177,2,2:09.0,Shooting foul by L. Aldridge (drawn by T. Gibson),,45,52
178,2,2:09.0,Official timeout,,45,52
179,2,2:09.0,T. Gibson makes free throw 1 of 2,,46,52
180,2,2:09.0,D. Wade enters the game for D. McDermott,,45,52
181,2,2:09.0,T. Gibson makes free throw 2 of 2,,47,52
182,2,1:52.0,,K. Leonard misses 2-pt jump shot from 14 ft,47,52
183,2,1:51.0,Defensive rebound by T. Gibson,,47,52
184,2,1:34.0,J. Butler makes 2-pt dunk at rim (assist by T. Gibson),,49,52
185,2,1:19.0,,T. Parker misses 2-pt jump shot from 19 ft,49,52
186,2,1:19.0,,Offensive rebound by L. Aldridge,49,52
187,2,1:18.0,,Turnover by L. Aldridge (bad pass),49,52
188,2,1:01.0,T. Gibson misses 2-pt layup from 1 ft,,49,52
189,2,0:59.0,,Defensive rebound by T. Parker,49,52
190,2,0:48.0,,T. Parker misses 2-pt jump shot from 18 ft,49,52
191,2,0:48.0,,Offensive rebound by Team,49,52
192,2,0:48.0,Loose ball foul by T. Gibson (drawn by L. Aldridge),,49,52
193,2,0:48.0,,L. Aldridge makes free throw 1 of 2,49,53
194,2,0:48.0,,L. Aldridge misses free throw 2 of 2,49,53
195,2,0:48.0,,D. Lee enters the game for P. Gasol,49,53
196,2,0:48.0,R. Lopez enters the game for T. Gibson,,49,53
197,2,0:47.0,Defensive rebound by N. Mirotić,,49,53
198,2,0:34.0,Personal foul by M. Ginóbili (drawn by R. Lopez),,49,53
199,2,0:34.0,R. Lopez makes free throw 1 of 2,,50,53
200,2,0:34.0,R. Lopez misses free throw 2 of 2,,50,53
201,2,0:34.0,,Defensive rebound by K. Leonard,50,53
202,2,0:25.0,,K. Leonard makes 2-pt jump shot from 19 ft,50,55
203,2,0:04.0,J. Butler misses 2-pt jump shot from 16 ft,,50,55
204,2,0:02.0,Offensive rebound by D. Wade,,50,55
205,3,11:36.0,,T. Parker makes 2-pt jump shot from 11 ft,50,57
206,3,11:19.0,D. Wade misses 2-pt jump shot from 10 ft,,50,57
207,3,11:15.0,,Defensive rebound by L. Aldridge,50,57
208,3,11:07.0,,P. Gasol misses 2-pt jump shot from 17 ft,50,57
209,3,11:06.0,Defensive rebound by R. Lopez,,50,57
210,3,10:54.0,J. Butler makes 2-pt jump shot from 12 ft,,52,57
211,3,10:37.0,,P. Gasol makes 2-pt jump shot from 7 ft (assist by T. Parker),52,59
212,3,10:37.0,,Shooting foul by R. Lopez (drawn by P. Gasol),52,59
213,3,10:37.0,,P. Gasol misses free throw 1 of 1,52,59
214,3,10:34.0,Defensive rebound by T. Gibson,,52,59
215,3,10:18.0,R. Lopez makes 2-pt dunk at rim (assist by D. Wade),,54,59
216,3,9:59.0,,P. Gasol makes 2-pt hook shot from 4 ft,54,61
217,3,9:37.0,T. Gibson makes 2-pt jump shot from 6 ft (assist by J. Butler),,56,61
218,3,9:17.0,,P. Gasol misses 2-pt jump shot from 14 ft,56,61
219,3,9:15.0,Defensive rebound by R. Rondo,,56,61
220,3,9:03.0,T. Gibson makes 2-pt jump shot from 13 ft (assist by R. Rondo),,58,61
221,3,8:43.0,,T. Parker misses 2-pt layup from 2 ft,58,61
222,3,8:37.0,,Offensive rebound by L. Aldridge,58,61
223,3,8:33.0,,L. Aldridge makes 2-pt layup from 2 ft,58,63
224,3,8:24.0,R. Lopez makes 2-pt layup from 1 ft (assist by T. Gibson),,60,63
225,3,8:03.0,,K. Leonard misses 2-pt jump shot from 23 ft,60,63
226,3,8:03.0,Defensive rebound by Team,,60,63
227,3,8:03.0,,M. Ginóbili enters the game for D. Green,60,63
228,3,7:48.0,D. Wade misses 2-pt jump shot from 8 ft,,60,63
229,3,7:45.0,Offensive rebound by T. Gibson,,60,63
230,3,7:40.0,T. Gibson misses 2-pt jump shot from 6 ft,,60,63
231,3,7:38.0,Offensive rebound by R. Lopez,,60,63
232,3,7:33.0,D. Wade makes 3-pt jump shot from 25 ft (assist by J. Butler),,63,63
233,3,7:19.0,,Personal foul by R. Rondo (drawn by K. Leonard),63,63
234,3,7:19.0,,P. Mills enters the game for T. Parker,63,63
235,3,7:19.0,,D. Lee enters the game for P. Gasol,63,63
236,3,7:11.0,,P. Mills misses 2-pt jump shot from 17 ft,63,63
237,3,7:10.0,Defensive rebound by J. Butler,,63,63
238,3,7:04.0,Offensive foul by T. Gibson (drawn by M. Ginóbili),,63,63
239,3,7:04.0,Turnover by T. Gibson (offensive foul),,63,63
240,3,6:41.0,,D. Lee misses 2-pt jump shot from 16 ft,63,63
241,3,6:37.0,,Offensive rebound by K. Leonard,63,63
242,3,6:37.0,,K. Leonard makes 2-pt dunk at rim,63,65
243,3,6:17.0,R. Lopez misses 2-pt hook shot from 5 ft,,63,65
244,3,6:16.0,,Defensive rebound by M. Ginóbili,63,65
245,3,6:10.0,,D. Lee makes 2-pt layup from 2 ft (assist by M. Ginóbili),63,67
246,3,6:10.0,Chicago full timeout,,63,67
247,3,6:10.0,D. McDermott enters the game for D. Wade,,63,67
248,3,5:58.0,R. Rondo makes 2-pt jump shot from 4 ft (assist by J. Butler),,65,67
249,3,5:48.0,,L. Aldridge misses 2-pt jump shot from 18 ft,65,67
250,3,5:46.0,Defensive rebound by D. McDermott,,65,67
251,3,5:35.0,T. Gibson makes 2-pt jump shot from 15 ft (assist by R. Rondo),,67,67
252,3,5:19.0,,Shooting foul by T. Gibson (drawn by L. Aldridge),67,67
253,3,5:19.0,,L. Aldridge misses free throw 1 of 2,67,67
254,3,5:19.0,,Offensive rebound by Team,67,67
255,3,5:19.0,,L. Aldridge misses free throw 2 of 2,67,67
256,3,5:19.0,N. Mirotić enters the game for T. Gibson,,67,67
257,3,5:18.0,Defensive rebound by J. Butler,,67,67
258,3,4:56.0,J. Butler makes 3-pt jump shot from 23 ft (assist by R. Lopez),,70,67
259,3,4:44.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by M. Ginóbili),70,69
260,3,4:28.0,Shooting foul by L. Aldridge (drawn by R. Lopez),,70,69
261,3,4:28.0,R. Lopez makes free throw 1 of 2,,71,69
262,3,4:28.0,R. Lopez misses free throw 2 of 2,,71,69
263,3,4:27.0,,Defensive rebound by D. Lee,71,69
264,3,4:16.0,,M. Ginóbili misses 2-pt layup from 2 ft,71,69
265,3,4:15.0,,Offensive rebound by K. Leonard,71,69
266,3,4:10.0,,Shooting foul by J. Butler (drawn by K. Leonard),71,69
267,3,4:10.0,,K. Leonard makes free throw 1 of 2,71,70
268,3,4:10.0,,D. Dedmon enters the game for L. Aldridge,71,70
269,3,4:10.0,,K. Leonard makes free throw 2 of 2,71,71
270,3,3:55.0,J. Butler misses 2-pt layup from 1 ft,,71,71
271,3,3:51.0,Offensive rebound by J. Butler,,71,71
272,3,3:51.0,J. Butler misses 2-pt layup from 1 ft,,71,71
273,3,3:48.0,,Defensive rebound by K. Leonard,71,71
274,3,3:43.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,71,71
275,3,3:42.0,Defensive rebound by J. Butler,,71,71
276,3,3:42.0,Personal foul by D. Dedmon (drawn by J. Butler),,71,71
277,3,3:28.0,Turnover by R. Rondo (bad pass),,71,71
278,3,3:28.0,,San Antonio full timeout,71,71
279,3,3:28.0,J. Grant enters the game for R. Rondo,,71,71
280,3,3:20.0,,K. Leonard misses 2-pt layup from 2 ft,71,71
281,3,3:19.0,,Offensive rebound by D. Dedmon,71,71
282,3,3:19.0,,D. Dedmon makes 2-pt dunk at rim,71,73
283,3,3:07.0,Offensive foul by R. Lopez (drawn by K. Leonard),,71,73
284,3,3:07.0,Turnover by R. Lopez (offensive foul),,71,73
285,3,2:52.0,,D. Dedmon makes 2-pt dunk at rim (assist by P. Mills),71,75
286,3,2:40.0,Turnover by R. Lopez (bad pass),,71,75
287,3,2:40.0,,J. Simmons enters the game for K. Leonard,71,75
288,3,2:21.0,,J. Simmons misses 2-pt hook shot from 4 ft,71,75
289,3,2:18.0,,Offensive rebound by D. Dedmon,71,75
290,3,2:18.0,,D. Dedmon makes 2-pt layup from 2 ft,71,77
291,3,2:02.0,J. Grant misses 3-pt jump shot from 26 ft,,71,77
292,3,2:01.0,,Defensive rebound by D. Lee,71,77
293,3,1:54.0,,M. Ginóbili makes 3-pt jump shot from 24 ft,71,80
294,3,1:54.0,Loose ball foul by D. McDermott (drawn by D. Dedmon),,71,80
295,3,1:54.0,C. Felício enters the game for R. Lopez,,71,80
296,3,1:54.0,D. Wade enters the game for J. Butler,,71,80
297,3,1:54.0,,D. Dedmon makes free throw 1 of 1,71,81
298,3,1:32.0,D. Wade makes 2-pt jump shot from 17 ft,,73,81
299,3,1:16.0,,P. Mills makes 2-pt layup from 3 ft (assist by D. Lee),73,83
300,3,0:56.0,D. Wade misses 2-pt jump shot from 11 ft,,73,83
301,3,0:55.0,Offensive rebound by D. Wade,,73,83
302,3,0:51.0,D. Wade makes 2-pt layup from 2 ft,,75,83
303,3,0:51.0,Shooting foul by J. Simmons (drawn by D. Wade),,75,83
304,3,0:51.0,D. Wade makes free throw 1 of 1,,76,83
305,3,0:29.0,,D. Lee makes 2-pt jump shot from 17 ft,76,85
306,3,0:14.0,Offensive foul by C. Felício (drawn by J. Simmons),,76,85
307,3,0:14.0,Turnover by C. Felício (offensive foul),,76,85
308,3,0:14.0,,K. Leonard enters the game for D. Lee,76,85
309,3,0:04.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by P. Mills),76,87
310,3,0:00.0,J. Grant misses 3-pt jump shot from 26 ft,,76,87
311,3,0:00.0,Offensive rebound by Team,,76,87
312,4,11:46.0,D. Wade makes 2-pt jump shot from 5 ft,,78,87
313,4,11:31.0,,Offensive foul by D. Dedmon (drawn by N. Mirotić),78,87
314,4,11:31.0,,Turnover by D. Dedmon (offensive foul),78,87
315,4,11:31.0,,T. Parker enters the game for P. Mills,78,87
316,4,11:21.0,Shooting foul by D. Dedmon (drawn by D. Wade),,78,87
317,4,11:21.0,D. Wade makes free throw 1 of 2,,79,87
318,4,11:21.0,,K. Leonard enters the game for J. Simmons,79,87
319,4,11:21.0,D. Wade makes free throw 2 of 2,,80,87
320,4,11:08.0,,Shooting foul by D. Wade (drawn by K. Leonard),80,87
321,4,11:08.0,,K. Leonard makes free throw 1 of 2,80,88
322,4,11:08.0,,L. Aldridge enters the game for D. Lee,80,88
323,4,11:08.0,,K. Leonard makes free throw 2 of 2,80,89
324,4,11:00.0,D. Wade makes 2-pt layup from 2 ft,,82,89
325,4,10:40.0,,D. Green makes 3-pt jump shot from 25 ft,82,92
326,4,10:21.0,D. McDermott misses 2-pt jump shot from 7 ft,,82,92
327,4,10:19.0,,Defensive rebound by D. Dedmon,82,92
328,4,10:13.0,,D. Green makes 3-pt jump shot from 24 ft (assist by D. Dedmon),82,95
329,4,10:13.0,Chicago full timeout,,82,95
330,4,10:13.0,J. Butler enters the game for D. McDermott,,82,95
331,4,10:01.0,Shooting foul by K. Leonard (drawn by C. Felício),,82,95
332,4,10:01.0,C. Felício makes free throw 1 of 2,,83,95
333,4,10:01.0,C. Felício makes free throw 2 of 2,,84,95
334,4,9:51.0,,Turnover by D. Dedmon (bad pass),84,95
335,4,9:41.0,D. Wade makes 2-pt jump shot from 13 ft (assist by J. Grant),,86,95
336,4,9:25.0,,P. Gasol enters the game for D. Dedmon,86,95
337,4,9:14.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by D. Green),86,98
338,4,9:02.0,N. Mirotić misses 2-pt layup from 2 ft,,86,98
339,4,9:02.0,Offensive rebound by C. Felício,,86,98
340,4,9:02.0,C. Felício makes 2-pt layup at rim,,88,98
341,4,9:02.0,Shooting foul by L. Aldridge (drawn by C. Felício),,88,98
342,4,9:02.0,C. Felício makes free throw 1 of 1,,89,98
343,4,8:41.0,,T. Parker misses 2-pt jump shot from 4 ft,89,98
344,4,8:39.0,,Offensive rebound by Team,89,98
345,4,8:36.0,,L. Aldridge makes 2-pt jump shot from 11 ft (assist by T. Parker),89,100
346,4,8:29.0,Turnover by C. Felício (bad pass; steal by D. Green),,89,100
347,4,8:21.0,,D. Green misses 3-pt jump shot from 24 ft,89,100
348,4,8:19.0,Defensive rebound by J. Grant,,89,100
349,4,8:14.0,Turnover by J. Grant (bad pass; steal by K. Leonard),,89,100
350,4,7:57.0,,T. Parker makes 3-pt jump shot from 25 ft (assist by P. Gasol),89,103
351,4,7:54.0,Shooting foul by P. Gasol (drawn by D. Wade),,89,103
352,4,7:54.0,D. Wade makes free throw 1 of 2,,90,103
353,4,7:54.0,R. Rondo enters the game for J. Grant,,89,103
354,4,7:54.0,T. Gibson enters the game for C. Felício,,89,103
355,4,7:54.0,D. Wade makes free throw 2 of 2,,91,103
356,4,7:43.0,,T. Parker misses 2-pt jump shot from 5 ft,91,103
357,4,7:41.0,Defensive rebound by N. Mirotić,,91,103
358,4,7:32.0,J. Butler misses 2-pt jump shot from 6 ft,,91,103
359,4,7:27.0,,Defensive rebound by P. Gasol,91,103
360,4,7:23.0,,Personal foul by J. Butler (drawn by L. Aldridge),91,103
361,4,7:11.0,,L. Aldridge misses 2-pt jump shot from 8 ft,91,103
362,4,7:09.0,,Offensive rebound by K. Leonard,91,103
363,4,7:03.0,,K. Leonard misses 3-pt jump shot from 26 ft,91,103
364,4,7:02.0,,Offensive rebound by K. Leonard,91,103
365,4,6:59.0,,K. Leonard misses 2-pt jump shot from 8 ft,91,103
366,4,6:55.0,,Offensive rebound by L. Aldridge,91,103
367,4,6:55.0,,L. Aldridge misses 2-pt layup from 2 ft,91,103
368,4,6:55.0,Defensive rebound by R. Rondo,,91,103
369,4,6:42.0,T. Gibson misses 2-pt hook shot from 7 ft,,91,103
370,4,6:41.0,,Defensive rebound by P. Gasol,91,103
371,4,6:25.0,,L. Aldridge makes 2-pt dunk at rim (assist by T. Parker),91,105
372,4,6:25.0,Chicago full timeout,,91,105
373,4,6:18.0,D. McDermott enters the game for D. Wade,,91,105
374,4,6:09.0,J. Butler makes 2-pt jump shot from 14 ft,,93,105
375,4,5:50.0,,L. Aldridge misses 2-pt jump shot from 14 ft,93,105
376,4,5:48.0,Defensive rebound by R. Rondo,,93,105
377,4,5:30.0,J. Butler misses 2-pt jump shot from 8 ft,,93,105
378,4,5:29.0,Offensive rebound by T. Gibson,,93,105
379,4,5:25.0,N. Mirotić misses 3-pt jump shot from 25 ft,,93,105
380,4,5:23.0,,Defensive rebound by P. Gasol,93,105
381,4,5:15.0,,T. Parker makes 2-pt layup from 3 ft,93,107
382,4,5:02.0,J. Butler misses 3-pt jump shot from 26 ft,,93,107
