,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHILADELPHIA_ACTION,DALLAS_SCORE,PHILADELPHIA_SCORE
23,1,8:09.0,Defensive rebound by H. Barnes,,9,8
24,1,7:57.0,W. Matthews misses 3-pt jump shot from 25 ft,,9,8
25,1,7:55.0,,Defensive rebound by D. Šarić,9,8
26,1,7:43.0,,T. McConnell makes 2-pt layup at rim (assist by R. Covington),9,10
27,1,7:19.0,Turnover by D. Nowitzki (lost ball; steal by T. Luwawu-Cabarrot),,9,10
28,1,7:15.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft,9,12
29,1,7:14.0,Dallas full timeout,,9,12
30,1,7:14.0,,J. Anderson enters the game for D. Šarić,9,12
31,1,6:51.0,W. Matthews misses 2-pt layup from 2 ft,,9,12
32,1,6:50.0,,Defensive rebound by R. Covington,9,12
33,1,6:45.0,,Turnover by R. Covington (traveling),9,12
34,1,6:45.0,N. Noel enters the game for D. Nowitzki,,9,12
35,1,6:45.0,J. Barea enters the game for Y. Ferrell,,9,12
36,1,6:30.0,J. Barea misses 2-pt jump shot from 14 ft,,9,12
37,1,6:28.0,,Defensive rebound by T. Luwawu-Cabarrot,9,12
38,1,6:22.0,,J. Anderson makes 3-pt jump shot from 26 ft (assist by T. McConnell),9,15
39,1,6:05.0,W. Matthews makes 2-pt jump shot from 14 ft,,11,15
40,1,5:55.0,,T. McConnell makes 2-pt jump shot from 16 ft (assist by R. Covington),11,17
41,1,5:45.0,Turnover by J. Barea (lost ball; steal by R. Holmes),,11,17
42,1,5:38.0,,T. Luwawu-Cabarrot misses 2-pt layup from 1 ft,11,17
43,1,5:37.0,,Offensive rebound by R. Holmes,11,17
44,1,5:36.0,,R. Holmes makes 2-pt layup from 1 ft,11,19
45,1,5:17.0,H. Barnes misses 3-pt jump shot from 24 ft,,11,19
46,1,5:16.0,,Defensive rebound by R. Holmes,11,19
47,1,5:06.0,,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),11,21
48,1,5:05.0,Dallas full timeout,,11,21
49,1,5:05.0,,J. Okafor enters the game for R. Holmes,11,21
50,1,5:05.0,,G. Henderson enters the game for T. Luwawu-Cabarrot,11,21
51,1,4:53.0,S. Curry misses 2-pt jump shot from 21 ft,,11,21
52,1,4:52.0,,Defensive rebound by T. McConnell,11,21
53,1,4:45.0,,J. Okafor misses 2-pt jump shot from 13 ft,11,21
54,1,4:43.0,Defensive rebound by H. Barnes,,11,21
55,1,4:24.0,Turnover by N. Noel (lost ball; steal by J. Anderson),,11,21
56,1,4:16.0,,Personal foul by W. Matthews (drawn by J. Anderson),11,21
57,1,4:16.0,D. Harris enters the game for S. Curry,,11,21
58,1,4:16.0,,S. Rodríguez enters the game for T. McConnell,11,21
59,1,4:01.0,,R. Covington misses 3-pt jump shot from 25 ft,11,21
60,1,3:59.0,Defensive rebound by H. Barnes,,11,21
61,1,3:52.0,D. Harris misses 2-pt jump shot from 17 ft,,11,21
62,1,3:51.0,Offensive rebound by N. Noel,,11,21
63,1,3:48.0,H. Barnes makes 2-pt layup at rim (assist by N. Noel),,13,21
64,1,3:40.0,,G. Henderson misses 3-pt jump shot from 25 ft,13,21
65,1,3:39.0,,Offensive rebound by S. Rodríguez,13,21
66,1,3:31.0,,G. Henderson misses 2-pt jump shot from 9 ft,13,21
67,1,3:29.0,Defensive rebound by W. Matthews,,13,21
68,1,3:10.0,N. Noel makes 2-pt jump shot from 16 ft (assist by J. Barea),,15,21
69,1,2:47.0,,Turnover by J. Okafor (lost ball; steal by H. Barnes),15,21
70,1,2:33.0,J. Barea makes 2-pt jump shot from 3 ft,,17,21
71,1,2:18.0,,R. Covington misses 3-pt jump shot from 25 ft,17,21
72,1,2:17.0,Defensive rebound by N. Noel,,17,21
73,1,2:04.0,N. Noel makes 2-pt jump shot from 5 ft (assist by J. Barea),,19,21
74,1,2:04.0,,Philadelphia full timeout,19,21
75,1,2:04.0,,D. Šarić enters the game for R. Covington,19,21
76,1,2:04.0,D. Finney-Smith enters the game for W. Matthews,,19,21
77,1,1:55.0,,Turnover by J. Okafor (back court),19,21
78,1,1:55.0,D. Nowitzki enters the game for H. Barnes,,19,21
79,1,1:47.0,Personal foul by J. Okafor (drawn by N. Noel),,19,21
80,1,1:29.0,J. Barea makes 3-pt jump shot from 29 ft (assist by N. Noel),,22,21
81,1,1:09.0,,J. Anderson misses 2-pt jump shot from 8 ft (block by N. Noel),22,21
82,1,1:07.0,Defensive rebound by D. Nowitzki,,22,21
83,1,1:02.0,N. Noel misses 2-pt layup from 1 ft,,22,21
84,1,1:00.0,,Defensive rebound by J. Okafor,22,21
85,1,0:51.0,,Personal foul by D. Finney-Smith (drawn by D. Šarić),22,21
86,1,0:40.0,,G. Henderson misses 2-pt jump shot from 13 ft (block by D. Harris),22,21
87,1,0:38.0,Defensive rebound by D. Harris,,22,21
88,1,0:32.0,Personal foul by S. Rodríguez,,22,21
89,1,0:32.0,J. Barea makes free throw 1 of 2,,23,21
90,1,0:32.0,J. Barea misses free throw 2 of 2,,23,21
91,1,0:30.0,,Defensive rebound by D. Šarić,23,21
92,1,0:21.0,,D. Šarić misses 2-pt jump shot from 3 ft (block by D. Nowitzki),23,21
93,1,0:19.0,Defensive rebound by D. Harris,,23,21
94,1,0:04.0,J. Barea misses 2-pt jump shot from 12 ft,,23,21
95,1,0:03.0,,Defensive rebound by S. Rodríguez,23,21
96,1,0:00.0,,J. Anderson misses 3-pt jump shot from 38 ft,23,21
97,1,0:00.0,,Offensive rebound by Team,23,21
98,2,11:40.0,S. Mejri makes 2-pt layup from 3 ft (assist by D. Harris),,25,21
99,2,11:24.0,Offensive charge foul by J. Okafor (drawn by S. Mejri),,25,21
100,2,11:24.0,,Turnover by J. Okafor (offensive foul),25,21
101,2,11:02.0,D. Nowitzki makes 2-pt jump shot from 19 ft,,27,21
102,2,10:41.0,,S. Rodríguez makes 3-pt jump shot from 25 ft (assist by J. Okafor),27,24
103,2,10:24.0,D. Nowitzki makes 2-pt jump shot from 18 ft,,29,24
104,2,10:08.0,,Turnover by G. Henderson (bad pass; steal by Y. Ferrell),29,24
105,2,10:01.0,D. Finney-Smith misses 2-pt jump shot from 8 ft,,29,24
106,2,9:59.0,,Defensive rebound by G. Henderson,29,24
107,2,9:56.0,,Shooting foul by D. Finney-Smith (drawn by J. Okafor),29,24
108,2,9:56.0,,J. Okafor makes free throw 1 of 2,29,25
109,2,9:56.0,,T. Luwawu-Cabarrot enters the game for G. Henderson,29,25
110,2,9:56.0,,J. Okafor makes free throw 2 of 2,29,26
111,2,9:45.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,29,26
112,2,9:43.0,,Defensive rebound by N. Stauskas,29,26
113,2,9:32.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by S. Rodríguez),29,29
114,2,9:13.0,D. Harris misses 2-pt layup from 3 ft,,29,29
115,2,9:12.0,Offensive rebound by Team,,29,29
116,2,9:12.0,,Loose ball foul by D. Šarić (drawn by D. Harris),29,29
117,2,9:12.0,,R. Holmes enters the game for J. Okafor,29,29
118,2,9:12.0,S. Curry enters the game for D. Harris,,29,29
119,2,9:09.0,Offensive foul by S. Curry (drawn by N. Stauskas),,29,29
120,2,9:09.0,Turnover by S. Curry (offensive foul),,29,29
121,2,8:58.0,,D. Šarić misses 3-pt jump shot from 25 ft,29,29
122,2,8:55.0,Defensive rebound by S. Mejri,,29,29
123,2,8:45.0,Official timeout,,29,29
124,2,8:45.0,Turnover by Team (5 sec inbounds),,29,29
125,2,8:35.0,,Personal foul by S. Mejri (drawn by S. Rodríguez),29,29
126,2,8:32.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,29,29
127,2,8:30.0,Defensive rebound by Y. Ferrell,,29,29
128,2,8:22.0,Y. Ferrell misses 2-pt jump shot from 18 ft,,29,29
129,2,8:21.0,,Defensive rebound by R. Holmes,29,29
130,2,8:06.0,,R. Covington enters the game for D. Šarić,29,29
131,2,8:06.0,J. Barea enters the game for D. Nowitzki,,29,29
132,2,8:06.0,W. Matthews enters the game for Y. Ferrell,,29,29
133,2,8:06.0,H. Barnes enters the game for D. Finney-Smith,,29,29
134,2,8:06.0,N. Noel enters the game for S. Mejri,,29,29
135,2,8:03.0,,R. Holmes makes 2-pt hook shot from 6 ft (assist by S. Rodríguez),29,31
136,2,7:47.0,S. Curry makes 2-pt hook shot from 4 ft (assist by J. Barea),,31,31
137,2,7:35.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by R. Holmes),31,34
138,2,7:09.0,J. Barea misses 3-pt jump shot from 24 ft,,31,34
139,2,7:08.0,Offensive rebound by J. Barea,,31,34
140,2,7:03.0,N. Noel makes 2-pt dunk at rim (assist by J. Barea),,33,34
141,2,6:30.0,,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft,33,34
142,2,6:29.0,,Offensive rebound by R. Holmes,33,34
143,2,6:29.0,,R. Holmes makes 2-pt dunk at rim,33,36
144,2,6:15.0,Personal foul by S. Rodríguez,,33,36
145,2,6:05.0,J. Barea misses 2-pt layup from 2 ft,,33,36
146,2,6:03.0,,Defensive rebound by R. Covington,33,36
147,2,5:55.0,,Shooting foul by J. Barea (drawn by R. Covington),33,36
148,2,5:55.0,,Philadelphia full timeout,33,36
149,2,5:55.0,,R. Covington misses free throw 1 of 3,33,36
150,2,5:55.0,,Offensive rebound by Team,33,36
151,2,5:55.0,,R. Covington makes free throw 2 of 3,33,37
152,2,5:55.0,,T. McConnell enters the game for S. Rodríguez,33,36
153,2,5:55.0,,R. Covington makes free throw 3 of 3,33,38
154,2,5:34.0,W. Matthews misses 3-pt jump shot from 24 ft,,33,38
155,2,5:33.0,,Defensive rebound by N. Stauskas,33,38
156,2,5:26.0,,Turnover by N. Stauskas (bad pass),33,38
157,2,5:09.0,H. Barnes makes 2-pt jump shot from 5 ft,,35,38
158,2,4:45.0,,Turnover by R. Holmes (traveling),35,38
159,2,4:26.0,J. Barea makes 2-pt jump shot from 4 ft (assist by N. Noel),,37,38
160,2,4:20.0,,Shooting foul by H. Barnes (drawn by R. Covington),37,38
161,2,4:20.0,,R. Covington makes free throw 1 of 2,37,39
162,2,4:20.0,,R. Covington makes free throw 2 of 2,37,40
163,2,4:11.0,Shooting foul by T. Luwawu-Cabarrot (drawn by W. Matthews),,37,40
164,2,4:11.0,W. Matthews misses free throw 1 of 2,,37,40
165,2,4:11.0,Offensive rebound by Team,,37,40
166,2,4:11.0,W. Matthews makes free throw 2 of 2,,38,40
167,2,3:57.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by R. Holmes),38,43
168,2,3:37.0,N. Noel makes 2-pt dunk at rim (assist by W. Matthews),,40,43
169,2,3:20.0,,Shooting foul by N. Noel (drawn by R. Holmes),40,43
170,2,3:20.0,,R. Holmes misses free throw 1 of 2,40,43
171,2,3:20.0,,Offensive rebound by Team,40,43
172,2,3:20.0,,D. Šarić enters the game for N. Stauskas,40,43
173,2,3:20.0,D. Nowitzki enters the game for N. Noel,,40,43
174,2,3:20.0,Y. Ferrell enters the game for J. Barea,,40,43
175,2,3:20.0,D. Harris enters the game for S. Curry,,40,43
176,2,3:20.0,,R. Holmes makes free throw 2 of 2,40,44
177,2,3:05.0,Y. Ferrell misses 2-pt jump shot from 8 ft,,40,44
178,2,3:04.0,,Defensive rebound by R. Covington,40,44
179,2,2:57.0,,R. Holmes misses 2-pt jump shot from 18 ft,40,44
180,2,2:56.0,Defensive rebound by Y. Ferrell,,40,44
181,2,2:48.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,40,44
182,2,2:46.0,,Defensive rebound by R. Holmes,40,44
183,2,2:37.0,,Shooting foul by W. Matthews (drawn by R. Covington),40,44
184,2,2:37.0,Dallas full timeout,,40,44
185,2,2:37.0,,R. Covington makes free throw 1 of 2,40,45
186,2,2:37.0,,J. Okafor enters the game for R. Holmes,40,45
187,2,2:37.0,,J. Anderson enters the game for T. Luwawu-Cabarrot,40,45
188,2,2:37.0,,R. Covington makes free throw 2 of 2,40,46
189,2,2:23.0,H. Barnes misses 2-pt layup from 1 ft,,40,46
190,2,2:21.0,,Defensive rebound by D. Šarić,40,46
191,2,2:12.0,,Turnover by J. Anderson (back court),40,46
192,2,2:03.0,H. Barnes misses 2-pt jump shot from 16 ft,,40,46
193,2,2:02.0,,Defensive rebound by J. Anderson,40,46
194,2,1:54.0,,T. McConnell misses 2-pt jump shot from 4 ft (block by Y. Ferrell),40,46
195,2,1:52.0,Defensive rebound by Y. Ferrell,,40,46
196,2,1:43.0,D. Harris misses 3-pt jump shot from 23 ft,,40,46
197,2,1:42.0,,Defensive rebound by J. Anderson,40,46
198,2,1:28.0,,J. Anderson makes 3-pt jump shot from 24 ft (assist by D. Šarić),40,49
199,2,1:03.0,H. Barnes misses 2-pt layup from 2 ft (block by R. Covington),,40,49
200,2,1:02.0,,Defensive rebound by R. Covington,40,49
201,2,0:52.0,Offensive charge foul by J. Anderson (drawn by W. Matthews),,40,49
202,2,0:52.0,,Turnover by J. Anderson (offensive foul),40,49
203,2,0:52.0,J. Barea enters the game for Y. Ferrell,,40,49
204,2,0:47.0,Turnover by W. Matthews (lost ball),,40,49
205,2,0:47.0,,Philadelphia full timeout,40,49
206,2,0:47.0,N. Noel enters the game for D. Nowitzki,,40,49
207,2,0:33.0,,Turnover by T. McConnell (bad pass; steal by N. Noel),40,49
208,2,0:17.0,N. Noel misses 2-pt jump shot from 4 ft,,40,49
209,2,0:15.0,,Defensive rebound by R. Covington,40,49
210,2,0:01.0,,J. Okafor makes 2-pt hook shot from 4 ft (assist by T. McConnell),40,51
211,2,0:00.0,W. Matthews misses 3-pt jump shot from 60 ft,,40,51
212,2,0:00.0,Offensive rebound by Team,,40,51
213,3,11:41.0,W. Matthews misses 3-pt jump shot from 24 ft,,40,51
214,3,11:39.0,,Defensive rebound by R. Covington,40,51
215,3,11:33.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Šarić),40,54
216,3,11:18.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,40,54
217,3,11:17.0,,Defensive rebound by T. McConnell,40,54
218,3,11:06.0,,Shooting foul by H. Barnes (drawn by D. Šarić),40,54
219,3,11:06.0,,D. Šarić makes free throw 1 of 2,40,55
220,3,11:06.0,,D. Šarić makes free throw 2 of 2,40,56
221,3,10:41.0,Y. Ferrell misses 2-pt layup from 3 ft,,40,56
222,3,10:40.0,,Defensive rebound by D. Šarić,40,56
223,3,10:22.0,,D. Šarić misses 2-pt jump shot from 9 ft,40,56
224,3,10:20.0,Defensive rebound by S. Curry,,40,56
225,3,10:04.0,Turnover by W. Matthews (lost ball; steal by R. Holmes),,40,56
226,3,9:59.0,,Shooting foul by D. Nowitzki (drawn by T. Luwawu-Cabarrot),40,56
227,3,9:59.0,,T. Luwawu-Cabarrot makes free throw 1 of 2,40,57
228,3,9:59.0,,T. Luwawu-Cabarrot makes free throw 2 of 2,40,58
229,3,9:40.0,Shooting foul by T. Luwawu-Cabarrot (drawn by S. Curry),,40,58
230,3,9:40.0,S. Curry makes free throw 1 of 2,,41,58
231,3,9:40.0,S. Curry makes free throw 2 of 2,,42,58
232,3,9:36.0,,Turnover by T. Luwawu-Cabarrot (traveling),42,58
233,3,9:21.0,S. Curry misses 3-pt jump shot from 24 ft,,42,58
234,3,9:19.0,,Defensive rebound by R. Covington,42,58
235,3,9:04.0,,D. Šarić makes 2-pt jump shot from 17 ft,42,60
236,3,8:51.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by Y. Ferrell),,44,60
237,3,8:40.0,,R. Holmes misses 3-pt jump shot from 26 ft,44,60
238,3,8:38.0,Defensive rebound by Y. Ferrell,,44,60
239,3,8:33.0,Turnover by Y. Ferrell (bad pass; steal by T. McConnell),,44,60
240,3,8:30.0,,R. Covington makes 2-pt layup from 1 ft (assist by T. McConnell),44,62
241,3,8:30.0,Dallas full timeout,,44,62
242,3,8:30.0,D. Harris enters the game for S. Curry,,44,62
243,3,8:30.0,J. Barea enters the game for Y. Ferrell,,44,62
244,3,8:20.0,Turnover by J. Barea (back court),,44,62
245,3,8:12.0,,Turnover by R. Holmes (lost ball; steal by D. Harris),44,62
246,3,8:03.0,D. Harris misses 2-pt layup from 1 ft,,44,62
247,3,8:01.0,,Defensive rebound by R. Holmes,44,62
248,3,7:52.0,,R. Covington misses 2-pt jump shot from 8 ft,44,62
249,3,7:51.0,Defensive rebound by H. Barnes,,44,62
250,3,7:44.0,Shooting foul by R. Covington (drawn by D. Harris),,44,62
251,3,7:44.0,D. Harris misses free throw 1 of 2,,44,62
252,3,7:44.0,Offensive rebound by Team,,44,62
253,3,7:44.0,D. Harris makes free throw 2 of 2,,45,62
254,3,7:27.0,,D. Šarić makes 2-pt layup from 1 ft (assist by R. Covington),45,64
255,3,7:11.0,W. Matthews misses 3-pt jump shot from 24 ft,,45,64
256,3,7:09.0,,Defensive rebound by R. Holmes,45,64
257,3,7:02.0,,R. Covington makes 3-pt jump shot from 28 ft (assist by D. Šarić),45,67
258,3,6:48.0,J. Barea misses 2-pt jump shot from 7 ft (block by D. Šarić),,45,67
259,3,6:46.0,,Defensive rebound by T. Luwawu-Cabarrot,45,67
260,3,6:44.0,,Personal foul by D. Harris,45,67
261,3,6:44.0,,J. Anderson enters the game for D. Šarić,45,67
262,3,6:44.0,N. Noel enters the game for D. Nowitzki,,45,67
263,3,6:32.0,,R. Holmes misses 2-pt jump shot from 15 ft,45,67
264,3,6:30.0,,Offensive rebound by T. Luwawu-Cabarrot,45,67
265,3,6:29.0,,Shooting block foul by N. Noel (drawn by J. Anderson),45,67
266,3,6:29.0,,J. Anderson makes free throw 1 of 2,45,68
267,3,6:29.0,,J. Anderson makes free throw 2 of 2,45,69
268,3,6:22.0,D. Harris misses 2-pt layup from 1 ft,,45,69
269,3,6:21.0,,Defensive rebound by T. Luwawu-Cabarrot,45,69
270,3,6:15.0,,R. Holmes makes 2-pt jump shot from 4 ft,45,71
271,3,6:15.0,Technical foul by D. Harris,,45,71
272,3,6:15.0,,R. Covington makes technical free throw,45,72
273,3,5:59.0,W. Matthews misses 2-pt jump shot from 7 ft,,45,72
274,3,5:57.0,Offensive rebound by N. Noel,,45,72
275,3,5:57.0,N. Noel misses 2-pt layup from 1 ft,,45,72
276,3,5:55.0,,Defensive rebound by R. Covington,45,72
277,3,5:45.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by T. Luwawu-Cabarrot),45,75
278,3,5:43.0,Dallas full timeout,,45,75
279,3,5:43.0,,N. Stauskas enters the game for T. Luwawu-Cabarrot,45,75
280,3,5:43.0,D. Powell enters the game for W. Matthews,,45,75
281,3,5:43.0,N. Brussino enters the game for H. Barnes,,45,75
282,3,5:33.0,Turnover by J. Barea (lost ball),,45,75
283,3,5:33.0,,J. Okafor enters the game for R. Holmes,45,75
284,3,5:08.0,,N. Stauskas misses 3-pt jump shot from 25 ft,45,75
285,3,5:06.0,,Offensive rebound by J. Anderson,45,75
286,3,5:06.0,,J. Anderson makes 2-pt dunk at rim,45,77
287,3,4:57.0,Personal foul by J. Anderson (drawn by N. Brussino),,45,77
288,3,4:48.0,J. Barea misses 3-pt jump shot from 27 ft,,45,77
289,3,4:46.0,,Defensive rebound by N. Stauskas,45,77
290,3,4:40.0,,R. Covington misses 3-pt jump shot from 26 ft,45,77
291,3,4:38.0,Defensive rebound by D. Harris,,45,77
292,3,4:29.0,J. Barea makes 3-pt jump shot from 25 ft (assist by D. Harris),,48,77
293,3,4:13.0,,J. Okafor misses 2-pt jump shot from 11 ft,48,77
294,3,4:10.0,Defensive rebound by N. Brussino,,48,77
295,3,3:57.0,Personal foul by J. Anderson,,48,77
296,3,3:57.0,,S. Rodríguez enters the game for T. McConnell,48,77
297,3,3:57.0,,D. Šarić enters the game for R. Covington,48,77
298,3,3:57.0,Y. Ferrell enters the game for D. Harris,,48,77
299,3,3:57.0,M. Harris enters the game for J. Barea,,48,77
300,3,3:49.0,Y. Ferrell makes 2-pt layup from 3 ft,,50,77
301,3,3:25.0,,D. Šarić misses 2-pt jump shot from 13 ft,50,77
302,3,3:23.0,Defensive rebound by M. Harris,,50,77
303,3,3:16.0,M. Harris makes 2-pt jump shot from 9 ft,,52,77
304,3,3:16.0,,Philadelphia full timeout,52,77
305,3,2:51.0,,N. Stauskas misses 2-pt jump shot from 12 ft,52,77
306,3,2:50.0,,Offensive rebound by N. Stauskas,52,77
307,3,2:40.0,,N. Stauskas misses 3-pt jump shot from 26 ft,52,77
308,3,2:39.0,Defensive rebound by M. Harris,,52,77
309,3,2:30.0,M. Harris misses 2-pt jump shot from 3 ft,,52,77
310,3,2:29.0,Offensive rebound by N. Noel,,52,77
311,3,2:29.0,Shooting foul by S. Rodríguez (drawn by N. Noel),,52,77
312,3,2:29.0,N. Noel makes free throw 1 of 2,,53,77
313,3,2:29.0,N. Noel misses free throw 2 of 2,,53,77
314,3,2:27.0,,Defensive rebound by D. Šarić,53,77
315,3,2:10.0,,J. Okafor misses 2-pt layup from 3 ft,53,77
316,3,2:08.0,,Offensive rebound by D. Šarić,53,77
317,3,2:08.0,,D. Šarić makes 2-pt layup from 1 ft,53,79
318,3,1:57.0,Turnover by D. Powell (bad pass; steal by N. Stauskas),,53,79
319,3,1:53.0,,J. Anderson makes 2-pt dunk at rim (assist by N. Stauskas),53,81
320,3,1:39.0,D. Powell makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),,56,81
321,3,1:13.0,,Turnover by J. Okafor (traveling),56,81
322,3,1:00.0,D. Powell misses 2-pt jump shot from 6 ft,,56,81
323,3,0:58.0,,Defensive rebound by N. Stauskas,56,81
324,3,0:38.0,,S. Rodríguez makes 2-pt layup from 3 ft (assist by D. Šarić),56,83
325,3,0:38.0,,Shooting foul by N. Brussino (drawn by S. Rodríguez),56,83
326,3,0:38.0,,S. Rodríguez misses free throw 1 of 1,56,83
327,3,0:36.0,Defensive rebound by N. Noel,,56,83
328,3,0:27.0,D. Powell misses 2-pt jump shot from 4 ft (block by J. Okafor),,56,83
329,3,0:27.0,,Defensive rebound by Team,56,83
330,3,0:27.0,Loose ball foul by D. Powell (drawn by D. Šarić),,56,83
331,3,0:27.0,,D. Šarić makes free throw 1 of 2,56,84
332,3,0:27.0,S. Mejri enters the game for N. Noel,,56,84
333,3,0:27.0,,D. Šarić makes free throw 2 of 2,56,85
334,3,0:13.0,D. Powell misses 3-pt jump shot from 25 ft,,56,85
335,3,0:12.0,,Defensive rebound by J. Anderson,56,85
336,3,0:02.0,,J. Okafor makes 2-pt layup from 2 ft (assist by S. Rodríguez),56,87
337,3,0:00.0,N. Brussino misses 3-pt jump shot from 58 ft,,56,87
338,3,0:00.0,Offensive rebound by Team,,56,87
339,4,11:34.0,,J. Okafor makes 2-pt layup from 1 ft (assist by S. Rodríguez),56,89
340,4,11:22.0,N. Brussino misses 3-pt jump shot from 26 ft,,56,89
341,4,11:19.0,,Defensive rebound by S. Rodríguez,56,89
342,4,11:18.0,,Personal block foul by N. Brussino (drawn by S. Rodríguez),56,89
343,4,11:02.0,,S. Rodríguez makes 3-pt jump shot from 28 ft (assist by N. Stauskas),56,92
344,4,10:43.0,M. Harris misses 2-pt jump shot from 16 ft,,56,92
345,4,10:41.0,Offensive rebound by Team,,56,92
346,4,10:31.0,D. Powell misses 2-pt jump shot from 17 ft,,56,92
347,4,10:30.0,,Defensive rebound by J. Okafor,56,92
348,4,10:05.0,,N. Stauskas misses 3-pt jump shot from 28 ft,56,92
349,4,10:04.0,Defensive rebound by S. Mejri,,56,92
350,4,9:54.0,Turnover by M. Harris (bad pass; steal by N. Stauskas),,56,92
351,4,9:50.0,Violation by S. Mejri (def goaltending),,56,92
352,4,9:50.0,,J. Anderson makes 2-pt layup from 2 ft (assist by S. Rodríguez),56,94
353,4,9:31.0,D. Finney-Smith misses 2-pt jump shot from 19 ft,,56,94
354,4,9:30.0,,Defensive rebound by J. Anderson,56,94
355,4,9:18.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by J. Anderson),56,97
356,4,9:13.0,Dallas full timeout,,56,97
357,4,9:13.0,,Technical foul by J. Anderson,56,97
358,4,9:13.0,N. Brussino makes technical free throw,,57,97
359,4,9:13.0,,S. Long enters the game for J. Anderson,57,97
360,4,9:13.0,,T. Luwawu-Cabarrot enters the game for D. Šarić,57,97
361,4,9:01.0,M. Harris makes 2-pt layup from 1 ft (assist by D. Powell),,59,97
362,4,8:49.0,,Turnover by S. Long (lost ball; steal by D. Finney-Smith),59,97
363,4,8:46.0,D. Powell makes 2-pt dunk at rim (assist by D. Finney-Smith),,61,97
364,4,8:27.0,,J. Okafor makes 2-pt jump shot from 10 ft,61,99
365,4,8:12.0,Personal foul by T. Luwawu-Cabarrot (drawn by N. Brussino),,61,99
366,4,7:59.0,D. Powell makes 2-pt jump shot from 14 ft (assist by N. Brussino),,63,99
367,4,7:48.0,,Personal foul by D. Powell (drawn by S. Long),63,99
368,4,7:30.0,,J. Okafor misses 2-pt jump shot from 20 ft,63,99
369,4,7:29.0,Defensive rebound by N. Brussino,,63,99
370,4,7:21.0,N. Brussino misses 2-pt jump shot from 15 ft,,63,99
371,4,7:20.0,,Defensive rebound by J. Okafor,63,99
372,4,7:19.0,,Turnover by J. Okafor (lost ball; steal by D. Finney-Smith),63,99
373,4,7:08.0,Personal foul by J. Okafor (drawn by D. Finney-Smith),,63,99
374,4,7:03.0,M. Harris misses 2-pt jump shot from 18 ft,,63,99
375,4,7:02.0,Offensive rebound by Team,,63,99
376,4,6:54.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,63,99
377,4,6:51.0,,Defensive rebound by S. Long,63,99
