,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
105,1,1:23.0,,V. Oladipo makes 3-pt jump shot from 24 ft (assist by S. Christon),15,28
106,1,1:08.0,M. Thornton makes 2-pt layup from 2 ft,,17,28
107,1,0:51.0,,Turnover by J. Lauvergne (traveling),17,28
108,1,0:42.0,M. Gortat misses 2-pt jump shot from 5 ft,,17,28
109,1,0:41.0,,Defensive rebound by E. Freedom,17,28
110,1,0:31.0,,S. Christon makes 2-pt layup from 2 ft,17,30
111,1,0:14.0,M. Gortat misses 2-pt jump shot from 3 ft (block by E. Freedom),,17,30
112,1,0:14.0,Offensive rebound by Team,,17,30
113,1,0:09.0,T. Satoranský makes 2-pt hook shot from 10 ft,,19,30
114,1,0:00.0,,V. Oladipo makes 2-pt jump shot from 18 ft,19,32
115,2,11:44.0,,Turnover by A. Morrow (bad pass; steal by M. Morris),19,32
116,2,11:38.0,K. Oubre misses 3-pt jump shot from 22 ft,,19,32
117,2,11:37.0,,Defensive rebound by J. Lauvergne,19,32
118,2,11:23.0,Violation by M. Morris (kicked ball),,19,32
119,2,11:17.0,,V. Oladipo makes 2-pt layup from 1 ft,19,34
120,2,11:00.0,M. Morris misses 2-pt jump shot from 15 ft,,19,34
121,2,10:59.0,Offensive rebound by J. Smith,,19,34
122,2,10:54.0,M. Thornton makes 3-pt jump shot from 24 ft (assist by T. Satoranský),,22,34
123,2,10:38.0,Violation by M. Morris (kicked ball),,22,34
124,2,10:38.0,,J. Grant enters the game for J. Lauvergne,22,34
125,2,10:35.0,,Personal foul by J. Smith (drawn by E. Freedom),22,34
126,2,10:21.0,,S. Christon misses 3-pt jump shot from 25 ft,22,34
127,2,10:21.0,Defensive rebound by M. Morris,,22,34
128,2,10:10.0,M. Morris makes 2-pt layup from 2 ft (assist by T. Satoranský),,24,34
129,2,9:44.0,,E. Freedom makes 2-pt jump shot from 10 ft,24,36
130,2,9:29.0,M. Thornton makes 2-pt jump shot from 12 ft,,26,36
131,2,9:11.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by A. Morrow),26,39
132,2,8:51.0,M. Thornton misses 2-pt jump shot from 4 ft,,26,39
133,2,8:50.0,,Defensive rebound by E. Freedom,26,39
134,2,8:44.0,,A. Morrow misses 3-pt jump shot from 25 ft,26,39
135,2,8:44.0,Defensive rebound by Team,,26,39
136,2,8:44.0,,Loose ball foul by E. Freedom (drawn by J. Smith),26,39
137,2,8:44.0,Official timeout,,26,39
138,2,8:44.0,,R. Westbrook enters the game for S. Christon,26,39
139,2,8:44.0,J. Wall enters the game for T. Satoranský,,26,39
140,2,8:44.0,B. Beal enters the game for K. Oubre,,26,39
141,2,8:32.0,M. Morris misses 3-pt jump shot from 25 ft,,26,39
142,2,8:32.0,,Defensive rebound by R. Westbrook,26,39
143,2,8:26.0,,E. Freedom makes 2-pt jump shot from 6 ft (assist by R. Westbrook),26,41
144,2,8:12.0,J. Smith makes 2-pt jump shot from 12 ft (assist by J. Wall),,28,41
145,2,7:59.0,,E. Freedom makes 2-pt layup at rim (assist by R. Westbrook),28,43
146,2,7:59.0,,Shooting foul by M. Morris (drawn by E. Freedom),28,43
147,2,7:59.0,,A. Roberson enters the game for A. Morrow,28,43
148,2,7:59.0,M. Gortat enters the game for J. Smith,,28,43
149,2,7:59.0,,E. Freedom makes free throw 1 of 1,28,44
150,2,7:41.0,M. Morris makes 2-pt layup from 1 ft,,30,44
151,2,7:21.0,,E. Freedom misses 2-pt jump shot from 15 ft,30,44
152,2,7:20.0,,Offensive rebound by J. Grant,30,44
153,2,7:18.0,,V. Oladipo misses 3-pt jump shot from 24 ft,30,44
154,2,7:17.0,,Offensive rebound by Team,30,44
155,2,7:17.0,Loose ball foul by M. Gortat (drawn by E. Freedom),,30,44
156,2,7:09.0,,R. Westbrook misses 2-pt jump shot from 15 ft,30,44
157,2,7:06.0,Defensive rebound by B. Beal,,30,44
158,2,7:00.0,B. Beal misses 2-pt layup from 1 ft,,30,44
159,2,6:59.0,Offensive rebound by J. Wall,,30,44
160,2,6:59.0,J. Wall makes 2-pt layup from 1 ft,,32,44
161,2,6:37.0,,E. Freedom makes 2-pt layup from 2 ft,32,46
162,2,6:34.0,Washington full timeout,,32,46
163,2,6:34.0,,S. Adams enters the game for E. Freedom,32,46
164,2,6:34.0,O. Porter enters the game for M. Thornton,,32,46
165,2,6:20.0,Personal foul by J. Grant (drawn by M. Morris),,32,46
166,2,6:16.0,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),,35,46
167,2,6:09.0,,Oklahoma City full timeout,35,46
168,2,6:09.0,,A. Morrow enters the game for A. Roberson,35,46
169,2,6:03.0,,A. Morrow misses 3-pt jump shot from 23 ft,35,46
170,2,6:01.0,Defensive rebound by M. Morris,,35,46
171,2,5:54.0,Shooting foul by J. Grant (drawn by M. Gortat),,35,46
172,2,5:54.0,M. Gortat misses free throw 1 of 2,,35,46
173,2,5:54.0,Offensive rebound by Team,,35,46
174,2,5:54.0,M. Gortat misses free throw 2 of 2,,35,46
175,2,5:54.0,,Defensive rebound by R. Westbrook,35,46
176,2,5:42.0,,Turnover by V. Oladipo (traveling),35,46
177,2,5:27.0,J. Wall makes 2-pt jump shot from 20 ft,,37,46
178,2,5:06.0,,J. Grant makes 3-pt jump shot from 22 ft (assist by A. Morrow),37,49
179,2,4:52.0,M. Gortat makes 2-pt hook shot from 5 ft (assist by M. Morris),,39,49
180,2,4:41.0,,R. Westbrook misses 3-pt jump shot from 25 ft,39,49
181,2,4:41.0,Defensive rebound by M. Gortat,,39,49
182,2,4:30.0,J. Wall misses 3-pt jump shot from 22 ft,,39,49
