,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHICAGO_ACTION,MEMPHIS_SCORE,CHICAGO_SCORE
27,1,8:06.0,,D. Wade makes 3-pt jump shot from 23 ft (assist by R. Rondo),10,9
28,1,7:45.0,V. Carter makes 3-pt jump shot from 25 ft (assist by M. Gasol),,13,9
29,1,7:28.0,,B. Portis makes 2-pt jump shot from 17 ft (assist by R. Rondo),13,11
30,1,7:06.0,M. Gasol misses 2-pt jump shot from 21 ft,,13,11
31,1,7:04.0,,Defensive rebound by B. Portis,13,11
32,1,6:58.0,Violation by V. Carter (kicked ball),,13,11
33,1,6:51.0,,R. Lopez misses 2-pt hook shot from 7 ft,13,11
34,1,6:50.0,Defensive rebound by M. Gasol,,13,11
35,1,6:43.0,M. Conley misses 2-pt layup from 2 ft,,13,11
36,1,6:42.0,,Defensive rebound by B. Portis,13,11
37,1,6:38.0,,D. Wade makes 2-pt layup from 2 ft (assist by R. Rondo),13,13
38,1,6:28.0,Memphis full timeout,,13,13
39,1,6:20.0,T. Allen misses 2-pt layup from 2 ft,,13,13
40,1,6:19.0,,Defensive rebound by R. Rondo,13,13
41,1,6:07.0,,R. Rondo misses 2-pt layup from 1 ft (block by M. Gasol),13,13
42,1,6:06.0,Defensive rebound by M. Conley,,13,13
43,1,6:02.0,Turnover by J. Green (bad pass),,13,13
44,1,5:44.0,,B. Portis misses 3-pt jump shot from 23 ft,13,13
45,1,5:43.0,Defensive rebound by J. Green,,13,13
46,1,5:32.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),,15,13
47,1,5:15.0,,D. Wade misses 2-pt jump shot from 13 ft,15,13
48,1,5:13.0,Defensive rebound by J. Green,,15,13
49,1,5:13.0,Personal foul by R. Lopez (drawn by J. Green),,15,13
50,1,5:13.0,,N. Mirotić enters the game for B. Portis,15,13
51,1,5:13.0,,D. Valentine enters the game for D. Wade,15,13
52,1,5:13.0,A. Harrison enters the game for J. Green,,15,13
53,1,5:13.0,Z. Randolph enters the game for M. Conley,,15,13
54,1,5:03.0,Personal foul by N. Mirotić (drawn by V. Carter),,15,13
55,1,4:58.0,Z. Randolph misses 2-pt jump shot from 3 ft,,15,13
56,1,4:57.0,,Defensive rebound by R. Lopez,15,13
57,1,4:47.0,,Shooting foul by T. Allen (drawn by N. Mirotić),15,13
58,1,4:47.0,,N. Mirotić makes free throw 1 of 2,15,14
59,1,4:47.0,J. Ennis enters the game for V. Carter,,15,14
60,1,4:47.0,T. Daniels enters the game for T. Allen,,15,14
61,1,4:47.0,,N. Mirotić makes free throw 2 of 2,15,15
62,1,4:31.0,Shooting foul by R. Lopez (drawn by M. Gasol),,15,15
63,1,4:31.0,M. Gasol makes free throw 1 of 2,,16,15
64,1,4:31.0,,C. Felício enters the game for R. Lopez,16,15
65,1,4:31.0,M. Gasol makes free throw 2 of 2,,17,15
66,1,4:15.0,,R. Rondo misses 2-pt hook shot from 8 ft,17,15
67,1,4:14.0,Defensive rebound by J. Ennis,,17,15
68,1,4:09.0,Personal foul by R. Rondo (drawn by J. Ennis),,17,15
69,1,4:09.0,J. Ennis misses free throw 1 of 2,,17,15
70,1,4:09.0,Offensive rebound by Team,,17,15
71,1,4:09.0,J. Ennis makes free throw 2 of 2,,18,15
72,1,4:00.0,,Shooting foul by J. Ennis (drawn by J. Butler),18,15
73,1,4:00.0,,J. Butler misses free throw 1 of 2,18,15
74,1,4:00.0,,Offensive rebound by Team,18,15
75,1,4:00.0,,J. Butler makes free throw 2 of 2,18,16
76,1,3:49.0,Turnover by A. Harrison (bad pass; steal by R. Rondo),,18,16
77,1,3:45.0,,R. Rondo makes 2-pt layup from 1 ft,18,18
78,1,3:27.0,Z. Randolph misses 2-pt layup from 3 ft,,18,18
79,1,3:26.0,Offensive rebound by Z. Randolph,,18,18
80,1,3:25.0,Z. Randolph makes 2-pt layup from 2 ft,,20,18
81,1,3:11.0,,D. Valentine misses 3-pt jump shot from 24 ft,20,18
82,1,3:11.0,,Offensive rebound by Team,20,18
83,1,3:11.0,Loose ball foul by A. Harrison (drawn by C. Felício),,20,18
84,1,3:02.0,,J. Butler makes 2-pt jump shot from 18 ft,20,20
85,1,2:50.0,Shooting foul by N. Mirotić (drawn by J. Ennis),,20,20
86,1,2:50.0,,Chicago full timeout,20,20
87,1,2:50.0,J. Ennis makes free throw 1 of 2,,21,20
88,1,2:50.0,J. Ennis makes free throw 2 of 2,,22,20
89,1,2:41.0,,Personal foul by A. Harrison (drawn by J. Butler),22,20
90,1,2:28.0,,J. Butler misses 2-pt jump shot from 12 ft,22,20
91,1,2:27.0,Defensive rebound by J. Ennis,,22,20
92,1,2:13.0,T. Daniels misses 3-pt jump shot from 22 ft,,22,20
93,1,2:12.0,,Defensive rebound by N. Mirotić,22,20
94,1,2:08.0,,Shooting foul by J. Ennis (drawn by J. Butler),22,20
95,1,2:08.0,,J. Butler makes free throw 1 of 2,22,21
96,1,2:08.0,M. Conley enters the game for A. Harrison,,22,21
97,1,2:08.0,,J. Butler makes free throw 2 of 2,22,22
98,1,1:55.0,M. Gasol misses 2-pt hook shot from 5 ft,,22,22
99,1,1:55.0,Offensive rebound by Team,,22,22
100,1,1:49.0,Z. Randolph makes 2-pt hook shot from 6 ft,,24,22
101,1,1:40.0,,N. Mirotić misses 3-pt jump shot from 26 ft,24,22
102,1,1:39.0,,Offensive rebound by R. Rondo,24,22
103,1,1:36.0,,C. Felício makes 2-pt dunk at rim (assist by N. Mirotić),24,24
104,1,1:04.0,M. Gasol misses 2-pt jump shot from 18 ft,,24,24
105,1,1:03.0,,Defensive rebound by C. Felício,24,24
106,1,0:53.0,,D. Valentine misses 3-pt jump shot from 23 ft,24,24
107,1,0:52.0,Defensive rebound by M. Conley,,24,24
108,1,0:42.0,Z. Randolph misses 2-pt layup from 1 ft (block by N. Mirotić),,24,24
109,1,0:40.0,,Defensive rebound by D. Valentine,24,24
110,1,0:35.0,,R. Rondo misses 2-pt layup from 2 ft,24,24
111,1,0:33.0,Defensive rebound by Z. Randolph,,24,24
112,1,0:09.0,J. Ennis misses 3-pt jump shot from 26 ft,,24,24
113,1,0:08.0,,Defensive rebound by N. Mirotić,24,24
114,2,11:38.0,Z. Randolph misses 2-pt hook shot from 6 ft,,24,24
115,2,11:37.0,,Defensive rebound by M. Carter-Williams,24,24
116,2,11:33.0,,M. Carter-Williams makes 2-pt layup from 2 ft,24,26
117,2,11:16.0,M. Conley makes 2-pt jump shot from 7 ft,,26,26
118,2,11:00.0,,Shooting foul by B. Wright (drawn by N. Mirotić),26,26
119,2,11:00.0,,N. Mirotić makes free throw 1 of 3,26,27
120,2,11:00.0,,N. Mirotić makes free throw 2 of 3,26,28
121,2,11:00.0,,N. Mirotić makes free throw 3 of 3,26,29
122,2,10:50.0,T. Daniels makes 3-pt jump shot from 26 ft (assist by M. Conley),,29,29
123,2,10:33.0,,D. Wade misses 2-pt jump shot from 11 ft,29,29
124,2,10:32.0,Defensive rebound by T. Daniels,,29,29
125,2,10:22.0,Z. Randolph misses 2-pt layup from 1 ft (block by M. Carter-Williams),,29,29
126,2,10:21.0,Offensive rebound by Z. Randolph,,29,29
127,2,10:21.0,Z. Randolph misses 2-pt layup from 1 ft,,29,29
128,2,10:19.0,,Defensive rebound by D. Valentine,29,29
129,2,10:15.0,,Shooting foul by M. Conley (drawn by C. Felício),29,29
130,2,10:15.0,,D. Wade makes free throw 1 of 2,29,30
131,2,10:15.0,,D. Wade misses free throw 2 of 2,29,30
132,2,10:13.0,Defensive rebound by B. Wright,,29,30
133,2,10:02.0,Turnover by M. Conley (bad pass; steal by M. Carter-Williams),,29,30
134,2,9:51.0,,M. Carter-Williams makes 2-pt jump shot from 9 ft,29,32
135,2,9:32.0,J. Ennis makes 2-pt layup from 3 ft (assist by Z. Randolph),,31,32
136,2,9:18.0,,D. Wade misses 2-pt jump shot from 9 ft,31,32
137,2,9:14.0,,Offensive rebound by Team,31,32
138,2,9:14.0,Loose ball foul by B. Wright (drawn by N. Mirotić),,31,32
139,2,9:14.0,,B. Portis enters the game for N. Mirotić,31,32
140,2,9:04.0,,M. Carter-Williams misses 2-pt hook shot from 7 ft,31,32
141,2,9:03.0,Defensive rebound by M. Conley,,31,32
142,2,8:53.0,Shooting foul by M. Carter-Williams (drawn by M. Conley),,31,32
143,2,8:53.0,Memphis full timeout,,31,32
144,2,8:53.0,M. Conley makes free throw 1 of 2,,32,32
145,2,8:53.0,M. Conley makes free throw 2 of 2,,33,32
146,2,8:38.0,,Turnover by D. Wade (step out of bounds),33,32
147,2,8:15.0,T. Daniels misses 2-pt jump shot from 21 ft,,33,32
148,2,8:15.0,Offensive rebound by B. Wright,,33,32
149,2,8:15.0,B. Wright makes 2-pt dunk at rim,,35,32
150,2,8:15.0,Shooting foul by B. Portis (drawn by B. Wright),,35,32
151,2,8:15.0,B. Wright misses free throw 1 of 1,,35,32
152,2,8:13.0,,Defensive rebound by D. Valentine,35,32
153,2,7:50.0,,D. Valentine misses 2-pt jump shot from 8 ft,35,32
154,2,7:49.0,,Offensive rebound by B. Portis,35,32
155,2,7:47.0,,B. Portis misses 2-pt layup from 3 ft,35,32
156,2,7:46.0,,Offensive rebound by B. Portis,35,32
157,2,7:46.0,,B. Portis makes 2-pt jump shot from 4 ft,35,34
158,2,7:25.0,Z. Randolph makes 2-pt jump shot from 13 ft (assist by J. Ennis),,37,34
159,2,7:04.0,,B. Portis makes 2-pt jump shot from 20 ft (assist by D. Valentine),37,36
160,2,6:47.0,T. Daniels makes 3-pt jump shot from 25 ft (assist by M. Conley),,40,36
161,2,6:29.0,,D. Wade misses 2-pt jump shot from 19 ft,40,36
162,2,6:28.0,Defensive rebound by B. Wright,,40,36
163,2,6:10.0,M. Conley misses 3-pt jump shot from 24 ft,,40,36
164,2,6:09.0,Offensive rebound by T. Daniels,,40,36
165,2,6:05.0,T. Daniels misses 3-pt jump shot from 23 ft,,40,36
166,2,6:04.0,,Defensive rebound by B. Portis,40,36
167,2,5:55.0,,M. Carter-Williams makes 3-pt jump shot from 24 ft (assist by D. Wade),40,39
168,2,5:44.0,Memphis full timeout,,40,39
169,2,5:44.0,,P. Zipser enters the game for D. Wade,40,39
170,2,5:44.0,,J. Butler enters the game for D. Valentine,40,39
171,2,5:44.0,T. Allen enters the game for Z. Randolph,,40,39
172,2,5:44.0,M. Gasol enters the game for J. Ennis,,40,39
173,2,5:44.0,V. Carter enters the game for T. Daniels,,40,39
174,2,5:44.0,J. Green enters the game for B. Wright,,40,39
175,2,5:32.0,M. Conley makes 3-pt jump shot from 24 ft (assist by M. Gasol),,43,39
176,2,5:16.0,,B. Portis misses 2-pt jump shot from 17 ft,43,39
177,2,5:15.0,Defensive rebound by M. Conley,,43,39
178,2,5:04.0,V. Carter misses 3-pt jump shot from 26 ft,,43,39
179,2,5:03.0,,Defensive rebound by P. Zipser,43,39
180,2,4:53.0,,M. Carter-Williams misses 2-pt layup from 1 ft,43,39
181,2,4:52.0,,Offensive rebound by M. Carter-Williams,43,39
182,2,4:52.0,,M. Carter-Williams misses 2-pt layup from 2 ft,43,39
183,2,4:50.0,Defensive rebound by J. Green,,43,39
184,2,4:39.0,M. Gasol misses 3-pt jump shot from 25 ft,,43,39
185,2,4:38.0,,Defensive rebound by P. Zipser,43,39
186,2,4:18.0,,P. Zipser misses 3-pt jump shot from 26 ft,43,39
187,2,4:17.0,Defensive rebound by T. Allen,,43,39
188,2,4:08.0,M. Conley makes 2-pt layup from 1 ft (assist by M. Gasol),,45,39
189,2,4:06.0,,Chicago full timeout,45,39
190,2,4:06.0,,N. Mirotić enters the game for B. Portis,45,39
191,2,4:06.0,,R. Lopez enters the game for C. Felício,45,39
192,2,4:06.0,,R. Rondo enters the game for M. Carter-Williams,45,39
193,2,4:06.0,A. Harrison enters the game for M. Conley,,45,39
194,2,3:46.0,,J. Butler makes 2-pt jump shot from 8 ft,45,41
195,2,3:21.0,T. Allen misses 2-pt jump shot from 9 ft,,45,41
196,2,3:20.0,,Defensive rebound by P. Zipser,45,41
197,2,3:18.0,,J. Butler misses 2-pt layup from 1 ft (block by V. Carter),45,41
198,2,3:18.0,,Offensive rebound by Team,45,41
199,2,3:05.0,,P. Zipser misses 2-pt jump shot from 17 ft,45,41
200,2,3:04.0,,Offensive rebound by J. Butler,45,41
201,2,2:58.0,,J. Butler makes 2-pt jump shot from 8 ft,45,43
202,2,2:45.0,M. Gasol makes 2-pt jump shot from 13 ft (assist by V. Carter),,47,43
203,2,2:39.0,,P. Zipser makes 2-pt layup from 2 ft (assist by R. Rondo),47,45
204,2,2:22.0,T. Allen misses 2-pt layup from 2 ft,,47,45
205,2,2:20.0,,Defensive rebound by N. Mirotić,47,45
206,2,2:14.0,,R. Rondo makes 2-pt layup from 3 ft,47,47
207,2,2:04.0,Memphis full timeout,,47,47
208,2,1:46.0,A. Harrison misses 2-pt layup from 3 ft,,47,47
209,2,1:45.0,Offensive rebound by T. Allen,,47,47
210,2,1:43.0,T. Allen misses 2-pt layup from 3 ft,,47,47
211,2,1:42.0,Offensive rebound by A. Harrison,,47,47
212,2,1:33.0,J. Green makes 2-pt jump shot from 23 ft,,49,47
213,2,1:24.0,,Personal foul by J. Green (drawn by R. Rondo),49,47
214,2,1:24.0,M. Conley enters the game for A. Harrison,,49,47
215,2,1:17.0,,Turnover by N. Mirotić (bad pass),49,47
216,2,1:17.0,,C. Felício enters the game for R. Lopez,49,47
217,2,1:07.0,M. Conley makes 3-pt jump shot from 26 ft,,52,47
218,2,0:48.0,,R. Rondo makes 3-pt jump shot from 23 ft (assist by P. Zipser),52,50
219,2,0:37.0,Turnover by M. Conley (lost ball),,52,50
220,2,0:28.0,,R. Rondo misses 2-pt layup from 2 ft,52,50
221,2,0:28.0,Defensive rebound by Team,,52,50
222,2,0:28.0,T. Daniels enters the game for T. Allen,,52,50
223,2,0:28.0,,B. Portis enters the game for N. Mirotić,52,50
224,2,0:09.0,M. Gasol makes 2-pt jump shot from 12 ft (assist by M. Conley),,54,50
225,2,0:00.0,,B. Portis misses 2-pt jump shot from 15 ft,54,50
226,2,0:00.0,,Offensive rebound by Team,54,50
227,3,11:40.0,J. Green makes 2-pt dunk at rim (assist by T. Allen),,56,50
228,3,11:18.0,,R. Lopez misses 2-pt jump shot from 20 ft,56,50
229,3,11:17.0,Defensive rebound by T. Allen,,56,50
230,3,11:02.0,M. Gasol misses 2-pt jump shot from 5 ft,,56,50
231,3,11:01.0,,Defensive rebound by D. Wade,56,50
232,3,10:39.0,,B. Portis misses 3-pt jump shot from 25 ft,56,50
233,3,10:37.0,Defensive rebound by M. Conley,,56,50
234,3,10:22.0,V. Carter makes 2-pt jump shot from 18 ft,,58,50
235,3,10:08.0,,D. Wade misses 2-pt jump shot from 16 ft,58,50
236,3,10:07.0,Defensive rebound by M. Conley,,58,50
237,3,9:53.0,M. Conley makes 3-pt jump shot from 26 ft,,61,50
238,3,9:52.0,,Chicago full timeout,61,50
239,3,9:36.0,,R. Rondo misses 2-pt jump shot from 12 ft,61,50
240,3,9:35.0,Defensive rebound by J. Green,,61,50
241,3,9:27.0,M. Gasol misses 2-pt jump shot from 15 ft,,61,50
242,3,9:26.0,Offensive rebound by T. Allen,,61,50
243,3,9:09.0,M. Conley makes 3-pt jump shot from 23 ft (assist by M. Gasol),,64,50
244,3,8:47.0,,D. Wade misses 2-pt jump shot from 17 ft,64,50
245,3,8:46.0,,Offensive rebound by R. Lopez,64,50
246,3,8:46.0,,R. Lopez makes 2-pt layup from 2 ft,64,52
247,3,8:34.0,T. Allen makes 2-pt layup from 1 ft (assist by M. Gasol),,66,52
248,3,8:27.0,,Personal foul by T. Allen (drawn by J. Butler),66,52
249,3,8:10.0,,R. Lopez misses 2-pt jump shot from 13 ft,66,52
250,3,8:09.0,Defensive rebound by J. Green,,66,52
251,3,7:59.0,J. Green misses 3-pt jump shot from 26 ft,,66,52
252,3,7:58.0,Offensive rebound by V. Carter,,66,52
253,3,7:35.0,T. Allen misses 3-pt jump shot from 23 ft,,66,52
254,3,7:34.0,,Defensive rebound by J. Butler,66,52
255,3,7:21.0,,R. Lopez makes 2-pt hook shot from 7 ft (assist by D. Wade),66,54
256,3,7:03.0,J. Ennis enters the game for T. Allen,,66,54
257,3,6:56.0,M. Conley misses 3-pt jump shot from 23 ft,,66,54
258,3,6:55.0,,Defensive rebound by B. Portis,66,54
259,3,6:49.0,,Shooting foul by M. Conley (drawn by J. Butler),66,54
260,3,6:49.0,,J. Butler makes free throw 1 of 2,66,55
261,3,6:49.0,,J. Butler makes free throw 2 of 2,66,56
262,3,6:34.0,V. Carter misses 3-pt jump shot from 23 ft,,66,56
263,3,6:33.0,Offensive rebound by J. Green,,66,56
264,3,6:33.0,Personal foul by R. Rondo (drawn by J. Green),,66,56
265,3,6:18.0,M. Gasol misses 2-pt layup from 3 ft,,66,56
266,3,6:17.0,,Defensive rebound by R. Lopez,66,56
267,3,6:10.0,,Personal foul by M. Gasol (drawn by D. Wade),66,56
268,3,5:57.0,,R. Rondo makes 3-pt jump shot from 23 ft (assist by J. Butler),66,59
269,3,5:45.0,Personal foul by B. Portis (drawn by J. Green),,66,59
270,3,5:45.0,Z. Randolph enters the game for J. Green,,66,59
271,3,5:45.0,A. Harrison enters the game for M. Conley,,66,59
272,3,5:31.0,A. Harrison misses 3-pt jump shot from 25 ft (block by J. Butler),,66,59
273,3,5:27.0,,Defensive rebound by J. Butler,66,59
274,3,5:23.0,,J. Butler misses 2-pt jump shot from 5 ft,66,59
275,3,5:22.0,,Offensive rebound by B. Portis,66,59
276,3,5:22.0,,B. Portis makes 2-pt layup from 2 ft,66,61
277,3,5:22.0,Memphis full timeout,,66,61
278,3,5:06.0,Z. Randolph misses 2-pt jump shot from 18 ft,,66,61
279,3,5:06.0,,Defensive rebound by D. Wade,66,61
280,3,4:58.0,,D. Wade misses 2-pt jump shot from 14 ft,66,61
281,3,4:57.0,,Offensive rebound by J. Butler,66,61
282,3,4:53.0,,D. Wade misses 3-pt jump shot from 25 ft,66,61
283,3,4:52.0,Defensive rebound by Z. Randolph,,66,61
284,3,4:39.0,M. Gasol makes 2-pt jump shot from 15 ft (assist by V. Carter),,68,61
285,3,4:21.0,,Turnover by J. Butler (lost ball),68,61
286,3,4:21.0,,D. Valentine enters the game for D. Wade,68,61
287,3,4:21.0,T. Daniels enters the game for V. Carter,,68,61
288,3,4:03.0,Z. Randolph misses 2-pt layup from 3 ft,,68,61
289,3,4:01.0,Offensive rebound by Z. Randolph,,68,61
290,3,4:01.0,Z. Randolph misses 2-pt layup from 3 ft (block by B. Portis),,68,61
291,3,4:01.0,Offensive rebound by Team,,68,61
292,3,4:01.0,,N. Mirotić enters the game for B. Portis,68,61
293,3,3:58.0,M. Gasol makes 2-pt layup from 2 ft (assist by A. Harrison),,70,61
294,3,3:31.0,,N. Mirotić misses 2-pt jump shot from 10 ft,70,61
295,3,3:30.0,Defensive rebound by M. Gasol,,70,61
296,3,3:19.0,Z. Randolph misses 2-pt hook shot from 7 ft,,70,61
297,3,3:17.0,Offensive rebound by Z. Randolph,,70,61
298,3,3:08.0,Turnover by A. Harrison (lost ball; steal by R. Lopez),,70,61
299,3,3:08.0,,Personal foul by A. Harrison (drawn by N. Mirotić),70,61
300,3,2:50.0,,J. Butler misses 2-pt jump shot from 13 ft,70,61
301,3,2:49.0,Defensive rebound by Z. Randolph,,70,61
302,3,2:36.0,Shooting foul by R. Lopez (drawn by M. Gasol),,70,61
303,3,2:36.0,M. Gasol misses free throw 1 of 2,,70,61
304,3,2:36.0,Offensive rebound by Team,,70,61
305,3,2:36.0,,C. Felício enters the game for R. Lopez,70,61
306,3,2:36.0,M. Gasol makes free throw 2 of 2,,71,61
307,3,2:16.0,,D. Valentine makes 3-pt jump shot from 22 ft (assist by C. Felício),71,64
308,3,1:59.0,Personal foul by R. Rondo (drawn by M. Gasol),,71,64
309,3,1:45.0,M. Gasol makes 3-pt jump shot from 27 ft (assist by A. Harrison),,74,64
310,3,1:32.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by R. Rondo),74,67
311,3,1:12.0,T. Daniels misses 3-pt jump shot from 26 ft,,74,67
312,3,1:11.0,,Defensive rebound by R. Rondo,74,67
313,3,1:00.0,,R. Rondo makes 2-pt layup from 3 ft,74,69
314,3,0:40.0,Turnover by J. Ennis (lost ball; steal by R. Rondo),,74,69
315,3,0:37.0,,J. Butler makes 2-pt dunk at rim (assist by R. Rondo),74,71
316,3,0:25.0,Offensive foul by A. Harrison (drawn by J. Butler),,74,71
317,3,0:25.0,Turnover by A. Harrison (offensive foul),,74,71
318,3,0:25.0,M. Conley enters the game for A. Harrison,,74,71
319,3,0:03.0,,J. Butler misses 2-pt jump shot from 19 ft,74,71
320,3,0:01.0,Defensive rebound by J. Ennis,,74,71
321,3,0:00.0,M. Conley misses 3-pt jump shot from 52 ft,,74,71
322,3,0:00.0,Offensive rebound by Team,,74,71
323,4,11:39.0,,D. Valentine misses 3-pt jump shot from 25 ft,74,71
324,4,11:38.0,Defensive rebound by T. Daniels,,74,71
325,4,11:16.0,T. Daniels misses 3-pt jump shot from 28 ft,,74,71
326,4,11:15.0,,Defensive rebound by J. Butler,74,71
327,4,11:05.0,,J. Butler misses 2-pt jump shot from 6 ft,74,71
328,4,11:04.0,Defensive rebound by Z. Randolph,,74,71
329,4,10:48.0,B. Wright makes 2-pt layup from 1 ft (assist by Z. Randolph),,76,71
330,4,10:27.0,,M. Carter-Williams misses 2-pt jump shot from 8 ft,76,71
331,4,10:27.0,Defensive rebound by Team,,76,71
332,4,10:27.0,,Loose ball foul by C. Felício (drawn by Z. Randolph),76,71
333,4,10:27.0,,D. Wade enters the game for J. Butler,76,71
334,4,10:17.0,Personal foul by M. Carter-Williams (drawn by M. Conley),,76,71
335,4,10:12.0,Turnover by M. Conley (lost ball; steal by M. Carter-Williams),,76,71
336,4,10:08.0,,D. Valentine makes 2-pt layup from 2 ft (assist by M. Carter-Williams),76,73
337,4,9:46.0,B. Wright misses 2-pt hook shot from 9 ft,,76,73
338,4,9:44.0,Offensive rebound by Team,,76,73
339,4,9:42.0,Personal foul by M. Carter-Williams (drawn by M. Conley),,76,73
340,4,9:37.0,Personal foul by D. Valentine (drawn by T. Daniels),,76,73
341,4,9:25.0,J. Ennis misses 3-pt jump shot from 27 ft,,76,73
342,4,9:23.0,Offensive rebound by B. Wright,,76,73
343,4,9:21.0,T. Daniels misses 3-pt jump shot from 25 ft,,76,73
344,4,9:20.0,Offensive rebound by Team,,76,73
345,4,9:10.0,Shooting foul by N. Mirotić (drawn by M. Conley),,76,73
346,4,9:10.0,M. Conley makes free throw 1 of 2,,77,73
347,4,9:10.0,M. Conley makes free throw 2 of 2,,78,73
348,4,8:51.0,,D. Valentine makes 3-pt jump shot from 24 ft (assist by D. Wade),78,76
349,4,8:35.0,Offensive foul by B. Wright (drawn by M. Carter-Williams),,78,76
350,4,8:35.0,Turnover by B. Wright (offensive foul),,78,76
351,4,8:35.0,,Chicago full timeout,78,76
352,4,8:35.0,,J. Butler enters the game for D. Wade,78,76
353,4,8:35.0,V. Carter enters the game for T. Daniels,,78,76
354,4,8:11.0,,M. Carter-Williams misses 2-pt jump shot from 22 ft,78,76
355,4,8:11.0,,Offensive rebound by Team,78,76
356,4,8:11.0,,Turnover by Team (shot clock),78,76
357,4,7:57.0,Turnover by V. Carter (bad pass; steal by D. Valentine),,78,76
358,4,7:52.0,,D. Valentine misses 2-pt layup from 2 ft,78,76
359,4,7:51.0,,Offensive rebound by J. Butler,78,76
360,4,7:48.0,,J. Butler misses 2-pt jump shot from 14 ft,78,76
361,4,7:47.0,,Offensive rebound by N. Mirotić,78,76
362,4,7:36.0,,Shooting foul by Z. Randolph (drawn by J. Butler),78,76
363,4,7:36.0,,J. Butler makes free throw 1 of 2,78,77
364,4,7:36.0,,J. Butler misses free throw 2 of 2,78,77
365,4,7:36.0,M. Gasol enters the game for B. Wright,,78,77
366,4,7:35.0,Defensive rebound by M. Gasol,,78,77
367,4,7:16.0,M. Gasol misses 2-pt jump shot from 7 ft,,78,77
368,4,7:15.0,,Defensive rebound by D. Valentine,78,77
369,4,6:57.0,,J. Butler misses 2-pt jump shot from 20 ft,78,77
370,4,6:56.0,Defensive rebound by Z. Randolph,,78,77
371,4,6:35.0,V. Carter misses 3-pt jump shot from 23 ft,,78,77
372,4,6:34.0,,Defensive rebound by D. Valentine,78,77
373,4,6:26.0,,Personal foul by J. Ennis (drawn by J. Butler),78,77
374,4,6:26.0,T. Allen enters the game for J. Ennis,,78,77
375,4,6:26.0,,R. Rondo enters the game for M. Carter-Williams,78,77
376,4,6:15.0,,N. Mirotić misses 3-pt jump shot from 26 ft,78,77
377,4,6:14.0,Defensive rebound by V. Carter,,78,77
378,4,6:06.0,Z. Randolph makes 2-pt layup from 2 ft (assist by M. Gasol),,80,77
379,4,5:46.0,,N. Mirotić makes 3-pt jump shot from 26 ft (assist by D. Valentine),80,80
380,4,5:24.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),,83,80
381,4,5:09.0,,Turnover by N. Mirotić (lost ball; steal by M. Conley),83,80
382,4,4:59.0,M. Gasol misses 3-pt jump shot from 26 ft,,83,80
383,4,4:58.0,,Defensive rebound by D. Valentine,83,80
384,4,4:50.0,,R. Rondo misses 2-pt jump shot from 19 ft,83,80
385,4,4:49.0,,Offensive rebound by C. Felício,83,80
386,4,4:46.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by C. Felício),83,83
387,4,4:20.0,M. Gasol makes 2-pt layup from 3 ft (assist by Z. Randolph),,85,83
