,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
255,3,6:00.0,,Orlando full timeout,67,57
256,3,6:00.0,,E. Fournier enters the game for B. Biyombo,67,57
257,3,6:00.0,,N. Vučević enters the game for J. Meeks,67,57
258,3,6:00.0,,D. Augustin enters the game for E. Payton,67,57
259,3,5:38.0,,N. Vučević misses 2-pt jump shot from 13 ft,67,57
260,3,5:37.0,,Offensive rebound by S. Ibaka,67,57
261,3,5:32.0,,Turnover by S. Ibaka (bad pass; steal by K. Bazemore),67,57
262,3,5:29.0,T. Sefolosha misses 2-pt layup from 1 ft (block by N. Vučević),,67,57
263,3,5:27.0,,Defensive rebound by A. Gordon,67,57
264,3,5:23.0,,Turnover by A. Gordon (bad pass; steal by T. Sefolosha),67,57
265,3,5:20.0,,Violation by A. Gordon (def goaltending),67,57
266,3,5:20.0,K. Bazemore makes 2-pt layup from 1 ft,,69,57
267,3,4:57.0,,D. Augustin makes 3-pt jump shot from 24 ft (assist by N. Vučević),69,60
268,3,4:30.0,D. Howard misses 2-pt jump shot from 18 ft,,69,60
269,3,4:29.0,,Defensive rebound by A. Gordon,69,60
270,3,4:24.0,Violation by T. Sefolosha (kicked ball),,69,60
271,3,4:24.0,K. Korver enters the game for K. Bazemore,,69,60
272,3,4:19.0,,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),69,62
273,3,4:08.0,D. Howard misses 2-pt hook shot from 9 ft,,69,62
274,3,4:07.0,,Defensive rebound by A. Gordon,69,62
275,3,4:04.0,,A. Gordon makes 2-pt layup at rim,69,64
276,3,4:04.0,,Shooting foul by T. Sefolosha (drawn by A. Gordon),69,64
277,3,4:04.0,M. Muscala enters the game for D. Howard,,69,64
278,3,4:04.0,,A. Gordon makes free throw 1 of 1,69,65
279,3,3:52.0,D. Schröder makes 2-pt layup from 2 ft,,71,65
280,3,3:29.0,,S. Ibaka misses 2-pt jump shot from 20 ft,71,65
281,3,3:28.0,Defensive rebound by D. Schröder,,71,65
282,3,3:13.0,T. Sefolosha misses 3-pt jump shot from 26 ft,,71,65
283,3,3:13.0,Offensive rebound by Team,,71,65
284,3,3:13.0,Atlanta full timeout,,71,65
285,3,3:13.0,,J. Green enters the game for A. Gordon,71,65
286,3,3:13.0,T. Hardaway enters the game for T. Sefolosha,,71,65
287,3,3:08.0,Turnover by P. Millsap (offensive foul),,71,65
288,3,3:08.0,Offensive foul by P. Millsap (drawn by S. Ibaka),,71,65
289,3,3:08.0,M. Delaney enters the game for D. Schröder,,71,65
290,3,2:48.0,,E. Fournier misses 3-pt jump shot from 25 ft,71,65
291,3,2:47.0,Defensive rebound by M. Muscala,,71,65
292,3,2:29.0,M. Delaney makes 3-pt jump shot from 26 ft (assist by K. Korver),,74,65
293,3,2:14.0,,N. Vučević misses 2-pt jump shot from 12 ft,74,65
294,3,2:13.0,Defensive rebound by M. Delaney,,74,65
295,3,2:01.0,M. Delaney misses 2-pt layup from 1 ft,,74,65
296,3,1:59.0,,Defensive rebound by S. Ibaka,74,65
297,3,1:51.0,,Turnover by N. Vučević (3 sec),74,65
298,3,1:51.0,K. Humphries enters the game for P. Millsap,,74,65
299,3,1:36.0,K. Korver makes 2-pt layup from 1 ft (assist by M. Muscala),,76,65
300,3,1:24.0,,Turnover by N. Vučević (offensive foul),76,65
301,3,1:24.0,,Offensive foul by N. Vučević (drawn by K. Humphries),76,65
302,3,1:09.0,T. Hardaway makes 2-pt jump shot from 17 ft,,78,65
303,3,1:07.0,,Orlando full timeout,78,65
304,3,0:53.0,,E. Fournier misses 2-pt layup from 2 ft (block by K. Humphries),78,65
305,3,0:51.0,Defensive rebound by K. Korver,,78,65
306,3,0:37.0,K. Korver misses 3-pt jump shot from 28 ft,,78,65
307,3,0:35.0,,Defensive rebound by D. Augustin,78,65
308,3,0:26.0,,S. Ibaka misses 2-pt hook shot from 12 ft,78,65
309,3,0:25.0,Defensive rebound by M. Delaney,,78,65
310,3,0:01.0,Turnover by Team (shot clock),,78,65
311,4,11:43.0,M. Delaney makes 2-pt jump shot from 17 ft (assist by T. Hardaway),,80,65
312,4,11:25.0,,E. Payton makes 3-pt jump shot from 24 ft (assist by J. Green),80,68
313,4,11:13.0,T. Hardaway makes 3-pt jump shot from 27 ft (assist by K. Korver),,83,68
314,4,11:00.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Fournier),83,70
315,4,10:36.0,T. Hardaway makes 3-pt jump shot from 27 ft (assist by K. Korver),,86,70
316,4,10:22.0,,J. Green makes 3-pt jump shot from 27 ft (assist by N. Vučević),86,73
317,4,10:07.0,T. Hardaway misses 2-pt jump shot from 20 ft,,86,73
318,4,10:06.0,,Defensive rebound by E. Payton,86,73
319,4,9:54.0,,N. Vučević makes 2-pt hook shot from 8 ft,86,75
320,4,9:44.0,Personal foul by E. Fournier (drawn by K. Humphries),,86,75
321,4,9:41.0,T. Hardaway makes 2-pt dunk at rim (assist by K. Korver),,88,75
322,4,9:22.0,,E. Fournier makes 2-pt jump shot from 13 ft,88,77
323,4,9:08.0,Turnover by T. Hardaway (bad pass; steal by E. Payton),,88,77
324,4,9:04.0,,J. Meeks misses 2-pt layup from 2 ft (block by K. Korver),88,77
325,4,9:04.0,,Offensive rebound by Team,88,77
326,4,9:04.0,K. Bazemore enters the game for K. Korver,,88,77
327,4,8:57.0,,Shooting foul by M. Muscala (drawn by J. Green),88,77
328,4,8:57.0,Official timeout,,88,77
