,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
150,2,5:14.0,Personal foul by B. Jennings (drawn by I. Smith),,39,44
151,2,5:14.0,,J. Noah enters the game for M. Kuzminskas,39,44
152,2,4:55.0,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,,39,44
153,2,4:53.0,,Defensive rebound by B. Jennings,39,44
154,2,4:37.0,,B. Jennings misses 2-pt layup at rim,39,44
155,2,4:36.0,,Offensive rebound by J. Noah,39,44
156,2,4:36.0,,J. Noah makes 2-pt layup from 1 ft,39,46
157,2,4:11.0,T. Harris misses 2-pt jump shot from 14 ft,,39,46
158,2,4:09.0,Offensive rebound by T. Harris,,39,46
159,2,4:08.0,T. Harris makes 2-pt jump shot from 13 ft,,41,46
160,2,3:50.0,,C. Anthony makes 2-pt layup from 1 ft,41,48
161,2,3:31.0,A. Drummond makes 2-pt jump shot from 10 ft (assist by I. Smith),,43,48
162,2,3:17.0,,C. Anthony misses 2-pt jump shot from 8 ft,43,48
163,2,3:15.0,Defensive rebound by K. Caldwell-Pope,,43,48
164,2,3:11.0,Turnover by I. Smith (lost ball; steal by J. Noah),,43,48
165,2,3:05.0,,Shooting foul by K. Caldwell-Pope (drawn by J. Noah),43,48
166,2,3:05.0,,J. Noah misses free throw 1 of 2,43,48
167,2,3:05.0,,Offensive rebound by Team,43,48
168,2,3:05.0,,J. Noah misses free throw 2 of 2,43,48
169,2,3:05.0,,D. Rose enters the game for B. Jennings,43,48
170,2,3:05.0,,C. Lee enters the game for J. Holiday,43,48
171,2,3:04.0,Defensive rebound by M. Morris,,43,48
172,2,2:48.0,M. Morris misses 2-pt jump shot from 15 ft,,43,48
173,2,2:48.0,,Defensive rebound by D. Rose,43,48
174,2,2:38.0,,C. Lee misses 2-pt layup from 1 ft,43,48
175,2,2:37.0,Defensive rebound by T. Harris,,43,48
176,2,2:29.0,A. Drummond makes 2-pt dunk at rim (assist by T. Harris),,45,48
177,2,2:10.0,,J. Noah misses 2-pt jump shot from 16 ft,45,48
178,2,2:09.0,Defensive rebound by A. Drummond,,45,48
179,2,2:01.0,I. Smith makes 2-pt jump shot from 10 ft,,47,48
180,2,1:43.0,,Shooting foul by T. Harris (drawn by K. Porziņģis),47,48
181,2,1:43.0,,K. Porziņģis makes free throw 1 of 2,47,49
