,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DALLAS_ACTION,BROOKLYN_SCORE,DALLAS_SCORE
144,2,7:36.0,Defensive rebound by A. Nicholson,,39,35
145,2,7:26.0,,W. Matthews enters the game for D. Finney-Smith,39,35
146,2,7:13.0,A. Nicholson misses 3-pt jump shot from 26 ft,,39,35
147,2,7:13.0,Offensive rebound by T. Booker,,39,35
148,2,7:08.0,T. Booker makes 2-pt hook shot from 5 ft,,41,35
149,2,7:07.0,,Dallas full timeout,41,35
150,2,7:07.0,,S. Curry enters the game for D. Harris,41,35
151,2,7:07.0,,S. Mejri enters the game for D. Powell,41,35
152,2,6:51.0,,H. Barnes makes 2-pt layup from 2 ft (assist by Y. Ferrell),41,37
153,2,6:51.0,,Shooting foul by A. Nicholson (drawn by H. Barnes),41,37
154,2,6:51.0,J. Lin enters the game for S. Dinwiddie,,41,37
155,2,6:51.0,,H. Barnes makes free throw 1 of 1,41,38
156,2,6:32.0,R. Foye misses 3-pt jump shot from 25 ft,,41,38
157,2,6:31.0,,Defensive rebound by S. Mejri,41,38
158,2,6:20.0,,W. Matthews misses 3-pt jump shot from 28 ft,41,38
159,2,6:19.0,Defensive rebound by A. Nicholson,,41,38
160,2,6:02.0,A. Nicholson misses 3-pt jump shot from 23 ft,,41,38
161,2,6:01.0,Offensive rebound by T. Booker,,41,38
162,2,5:49.0,A. Nicholson misses 2-pt hook shot from 10 ft,,41,38
163,2,5:47.0,,Defensive rebound by H. Barnes,41,38
164,2,5:32.0,,Y. Ferrell misses 2-pt jump shot from 16 ft,41,38
165,2,5:31.0,Defensive rebound by A. Nicholson,,41,38
166,2,5:19.0,J. Lin makes 2-pt jump shot from 10 ft,,43,38
167,2,4:57.0,,W. Matthews misses 2-pt jump shot from 16 ft,43,38
168,2,4:56.0,,Offensive rebound by Team,43,38
169,2,4:56.0,Loose ball foul by A. Nicholson (drawn by S. Mejri),,43,38
170,2,4:56.0,Q. Acy enters the game for R. Foye,,43,38
171,2,4:56.0,C. LeVert enters the game for I. Whitehead,,43,38
172,2,4:56.0,S. Kilpatrick enters the game for T. Booker,,43,38
173,2,4:56.0,R. Hollis-Jefferson enters the game for A. Nicholson,,43,38
174,2,4:40.0,,S. Curry misses 3-pt jump shot from 24 ft,43,38
175,2,4:39.0,Defensive rebound by R. Hollis-Jefferson,,43,38
176,2,4:32.0,S. Kilpatrick misses 3-pt jump shot from 25 ft,,43,38
177,2,4:31.0,,Defensive rebound by S. Mejri,43,38
178,2,4:08.0,,S. Mejri makes 2-pt layup from 3 ft (assist by W. Matthews),43,40
179,2,3:51.0,J. Lin misses 2-pt jump shot from 12 ft,,43,40
180,2,3:49.0,,Defensive rebound by S. Curry,43,40
181,2,3:41.0,,S. Curry makes 2-pt jump shot from 5 ft,43,42
182,2,3:24.0,Q. Acy misses 2-pt jump shot from 11 ft,,43,42
183,2,3:22.0,,Defensive rebound by H. Barnes,43,42
184,2,3:14.0,Offensive charge foul by H. Barnes (drawn by Q. Acy),,43,42
185,2,3:14.0,,Turnover by H. Barnes (offensive foul),43,42
186,2,3:00.0,Turnover by S. Kilpatrick (lost ball; steal by W. Matthews),,43,42
187,2,2:48.0,,Y. Ferrell makes 2-pt jump shot from 17 ft,43,44
188,2,2:38.0,R. Hollis-Jefferson misses 2-pt jump shot from 11 ft,,43,44
189,2,2:36.0,,Defensive rebound by S. Mejri,43,44
190,2,2:25.0,,S. Curry makes 2-pt jump shot from 14 ft,43,46
191,2,2:09.0,Turnover by J. Lin (lost ball),,43,46
192,2,2:09.0,Official timeout,,43,46
193,2,2:09.0,,D. Nowitzki enters the game for S. Mejri,43,46
194,2,1:56.0,,H. Barnes misses 2-pt jump shot from 6 ft,43,46
195,2,1:54.0,Defensive rebound by J. Lin,,43,46
196,2,1:44.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,43,46
197,2,1:42.0,Offensive rebound by C. LeVert,,43,46
198,2,1:41.0,C. LeVert makes 2-pt layup from 1 ft,,45,46
199,2,1:26.0,,S. Curry misses 2-pt jump shot from 22 ft,45,46
200,2,1:25.0,Defensive rebound by R. Hollis-Jefferson,,45,46
201,2,1:05.0,S. Kilpatrick makes 2-pt layup from 1 ft (assist by Q. Acy),,47,46
202,2,0:54.0,,Turnover by Y. Ferrell (lost ball; steal by J. Lin),47,46
203,2,0:42.0,Shooting foul by Y. Ferrell (drawn by J. Lin),,47,46
204,2,0:42.0,J. Lin makes free throw 1 of 2,,48,46
205,2,0:42.0,J. Lin makes free throw 2 of 2,,49,46
206,2,0:33.0,,Y. Ferrell misses 2-pt layup from 2 ft (block by R. Hollis-Jefferson),49,46
207,2,0:31.0,,Offensive rebound by Y. Ferrell,49,46
208,2,0:28.0,,W. Matthews misses 2-pt jump shot from 5 ft,49,46
209,2,0:24.0,,Offensive rebound by Team,49,46
210,2,0:24.0,T. Booker enters the game for R. Hollis-Jefferson,,49,46
211,2,0:01.0,,Y. Ferrell misses 3-pt jump shot from 28 ft,49,46
212,2,0:00.0,,Offensive rebound by Team,49,46
213,3,11:40.0,,W. Matthews misses 3-pt jump shot from 25 ft,49,46
214,3,11:39.0,Defensive rebound by Q. Acy,,49,46
215,3,11:23.0,C. LeVert misses 2-pt jump shot from 13 ft,,49,46
216,3,11:21.0,,Defensive rebound by H. Barnes,49,46
217,3,11:12.0,,H. Barnes misses 2-pt hook shot from 5 ft,49,46
218,3,11:09.0,Defensive rebound by J. Lin,,49,46
219,3,11:06.0,Q. Acy makes 2-pt dunk at rim (assist by C. LeVert),,51,46
220,3,10:41.0,,S. Curry misses 2-pt jump shot from 20 ft,51,46
221,3,10:40.0,,Offensive rebound by Team,51,46
222,3,10:40.0,,Turnover by Team (shot clock),51,46
223,3,10:28.0,R. Foye misses 3-pt jump shot from 25 ft,,51,46
224,3,10:27.0,,Defensive rebound by S. Curry,51,46
225,3,10:11.0,,D. Nowitzki makes 2-pt jump shot from 8 ft,51,48
226,3,9:56.0,J. Lin misses 3-pt jump shot from 25 ft,,51,48
227,3,9:55.0,,Defensive rebound by D. Nowitzki,51,48
228,3,9:42.0,,Turnover by H. Barnes (lost ball; steal by J. Lin),51,48
229,3,9:42.0,Personal foul by D. Nowitzki (drawn by Q. Acy),,51,48
230,3,9:27.0,Q. Acy makes 3-pt jump shot from 26 ft (assist by C. LeVert),,54,48
231,3,9:09.0,,Turnover by S. Curry (bad pass; steal by R. Hollis-Jefferson),54,48
232,3,9:03.0,J. Lin makes 2-pt layup from 1 ft (assist by R. Foye),,56,48
233,3,9:03.0,,Dallas full timeout,56,48
234,3,8:49.0,,Personal foul by Q. Acy (drawn by D. Nowitzki),56,48
235,3,8:40.0,,H. Barnes makes 2-pt dunk at rim,56,50
236,3,8:26.0,Turnover by R. Hollis-Jefferson (lost ball; steal by D. Nowitzki),,56,50
237,3,8:16.0,,Personal block foul by R. Foye (drawn by H. Barnes),56,50
238,3,8:04.0,,H. Barnes misses 2-pt jump shot from 5 ft,56,50
239,3,8:03.0,Defensive rebound by Q. Acy,,56,50
240,3,8:03.0,,Loose ball foul by W. Matthews (drawn by Q. Acy),56,50
241,3,7:52.0,Turnover by Q. Acy (lost ball; steal by Y. Ferrell),,56,50
242,3,7:46.0,,Y. Ferrell makes 3-pt jump shot from 25 ft,56,53
243,3,7:29.0,R. Foye misses 2-pt jump shot from 18 ft,,56,53
244,3,7:28.0,,Defensive rebound by H. Barnes,56,53
245,3,7:15.0,,W. Matthews misses 3-pt jump shot from 25 ft,56,53
246,3,7:15.0,,Offensive rebound by S. Curry,56,53
247,3,7:11.0,,S. Curry makes 3-pt jump shot from 25 ft,56,56
248,3,7:11.0,Brooklyn full timeout,,56,56
249,3,6:52.0,Q. Acy makes 2-pt layup from 1 ft,,58,56
250,3,6:35.0,,Personal foul by J. Lin (drawn by D. Nowitzki),58,56
251,3,6:35.0,J. Hamilton enters the game for Q. Acy,,58,56
252,3,6:35.0,S. Dinwiddie enters the game for C. LeVert,,58,56
253,3,6:20.0,,W. Matthews misses 2-pt jump shot from 14 ft,58,56
254,3,6:19.0,Defensive rebound by R. Hollis-Jefferson,,58,56
255,3,6:07.0,,Offensive charge foul by R. Hollis-Jefferson (drawn by Y. Ferrell),58,56
256,3,6:07.0,Turnover by R. Hollis-Jefferson (offensive foul),,58,56
257,3,6:07.0,,S. Mejri enters the game for D. Nowitzki,58,56
258,3,6:07.0,T. Booker enters the game for R. Hollis-Jefferson,,58,56
259,3,5:53.0,,Personal foul by S. Dinwiddie (drawn by S. Curry),58,56
260,3,5:53.0,I. Whitehead enters the game for R. Foye,,58,56
261,3,5:38.0,,Y. Ferrell misses 2-pt jump shot from 23 ft,58,56
262,3,5:36.0,Defensive rebound by T. Booker,,58,56
263,3,5:14.0,T. Booker makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,61,56
264,3,4:55.0,,Shooting foul by S. Dinwiddie (drawn by H. Barnes),61,56
265,3,4:55.0,,H. Barnes makes free throw 1 of 2,61,57
266,3,4:55.0,S. Kilpatrick enters the game for J. Lin,,61,57
267,3,4:55.0,,J. Barea enters the game for Y. Ferrell,61,57
268,3,4:55.0,,H. Barnes makes free throw 2 of 2,61,58
269,3,4:41.0,Turnover by I. Whitehead (bad pass; steal by S. Mejri),,61,58
270,3,4:30.0,,Turnover by J. Barea (bad pass; steal by S. Dinwiddie),61,58
271,3,4:24.0,I. Whitehead misses 2-pt layup from 3 ft,,61,58
272,3,4:22.0,,Defensive rebound by S. Mejri,61,58
273,3,4:09.0,,W. Matthews makes 2-pt jump shot from 4 ft,61,60
274,3,4:00.0,T. Booker misses 2-pt jump shot from 6 ft,,61,60
275,3,3:57.0,,Defensive rebound by S. Mejri,61,60
276,3,3:47.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by W. Matthews),61,63
277,3,3:47.0,,Shooting foul by S. Dinwiddie (drawn by S. Curry),61,63
278,3,3:47.0,,S. Curry makes free throw 1 of 1,61,64
279,3,3:27.0,I. Whitehead misses 3-pt jump shot from 25 ft,,61,64
280,3,3:26.0,,Defensive rebound by J. Barea,61,64
281,3,3:18.0,,J. Barea makes 2-pt jump shot from 19 ft,61,66
282,3,3:09.0,Shooting block foul by S. Mejri (drawn by I. Whitehead),,61,66
283,3,3:09.0,I. Whitehead makes free throw 1 of 2,,62,66
284,3,3:09.0,I. Whitehead makes free throw 2 of 2,,63,66
285,3,2:57.0,,Personal foul by T. Booker (drawn by S. Mejri),63,66
286,3,2:57.0,,S. Mejri makes free throw 1 of 2,63,67
287,3,2:57.0,,S. Mejri misses free throw 2 of 2,63,67
288,3,2:55.0,Defensive rebound by J. Hamilton,,63,67
289,3,2:34.0,Shooting foul by W. Matthews (drawn by S. Kilpatrick),,63,67
290,3,2:34.0,S. Kilpatrick makes free throw 1 of 2,,64,67
291,3,2:34.0,S. Kilpatrick makes free throw 2 of 2,,65,67
292,3,2:26.0,,J. Barea makes 2-pt jump shot from 14 ft,65,69
293,3,2:13.0,T. Booker misses 2-pt jump shot from 5 ft,,65,69
294,3,2:12.0,,Defensive rebound by S. Mejri,65,69
