,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,HOUSTON_ACTION,CLEVELAND_SCORE,HOUSTON_SCORE
92,1,1:07.0,T. Thompson makes 2-pt dunk at rim (assist by D. Williams),,22,27
93,1,0:55.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Harden),22,30
94,1,0:38.0,I. Shumpert misses 2-pt layup from 2 ft (block by N. Hilário),,22,30
95,1,0:38.0,Offensive rebound by T. Thompson,,22,30
96,1,0:36.0,T. Thompson makes 2-pt dunk at rim,,24,30
97,1,0:30.0,D. Williams enters the game for K. Irving,,24,30
98,1,0:20.0,,Shooting foul by D. Williams (drawn by J. Harden),24,30
99,1,0:20.0,,J. Harden makes free throw 1 of 3,24,31
100,1,0:20.0,,J. Harden makes free throw 2 of 3,24,32
101,1,0:20.0,L. James enters the game for T. Thompson,,24,32
102,1,0:20.0,,J. Harden makes free throw 3 of 3,24,33
103,1,0:02.0,L. James makes 2-pt layup from 2 ft,,26,33
104,1,0:00.0,,L. Williams misses 3-pt jump shot from 47 ft,26,33
105,1,0:00.0,,Offensive rebound by Team,26,33
106,2,11:49.0,D. Williams misses 2-pt layup from 4 ft (block by C. Capela),,26,33
107,2,11:48.0,,Defensive rebound by C. Capela,26,33
108,2,11:27.0,,P. Beverley misses 2-pt layup from 2 ft,26,33
109,2,11:26.0,Defensive rebound by C. Frye,,26,33
110,2,11:17.0,C. Frye makes 2-pt jump shot from 23 ft (assist by L. James),,28,33
111,2,11:07.0,,P. Beverley misses 2-pt layup from 2 ft,28,33
112,2,11:06.0,Defensive rebound by C. Frye,,28,33
113,2,11:00.0,L. James makes 2-pt dunk at rim (assist by D. Williams),,30,33
114,2,10:59.0,,Houston full timeout,30,33
115,2,10:46.0,,E. Gordon misses 3-pt jump shot from 23 ft,30,33
116,2,10:46.0,Defensive rebound by C. Frye,,30,33
117,2,10:36.0,D. Williams makes 3-pt jump shot from 25 ft,,33,33
118,2,10:18.0,,L. Williams misses 2-pt jump shot from 15 ft,33,33
119,2,10:17.0,Defensive rebound by L. James,,33,33
120,2,10:10.0,L. James makes 2-pt layup from 1 ft,,35,33
121,2,9:51.0,,E. Gordon makes 2-pt jump shot from 8 ft,35,35
122,2,9:24.0,C. Frye misses 3-pt jump shot from 25 ft,,35,35
123,2,9:24.0,,Defensive rebound by E. Gordon,35,35
124,2,9:12.0,,S. Dekker misses 3-pt jump shot from 26 ft,35,35
125,2,9:11.0,Defensive rebound by D. Williams,,35,35
126,2,9:05.0,Personal foul by S. Dekker (drawn by C. Frye),,35,35
127,2,9:05.0,,T. Ariza enters the game for S. Dekker,35,35
128,2,9:01.0,Personal foul by T. Ariza (drawn by L. James),,35,35
129,2,8:50.0,J. Smith misses 3-pt jump shot from 26 ft,,35,35
130,2,8:49.0,,Defensive rebound by T. Ariza,35,35
131,2,8:42.0,,L. Williams misses 2-pt jump shot from 14 ft,35,35
132,2,8:41.0,Defensive rebound by D. Williams,,35,35
133,2,8:36.0,D. Williams makes 2-pt dunk at rim (assist by J. Smith),,37,35
134,2,8:28.0,,C. Capela makes 2-pt layup from 2 ft (assist by P. Beverley),37,37
135,2,8:07.0,D. Williams misses 3-pt jump shot from 26 ft,,37,37
136,2,8:06.0,,Defensive rebound by C. Capela,37,37
137,2,7:59.0,,T. Ariza misses 3-pt jump shot from 26 ft,37,37
138,2,7:57.0,Defensive rebound by J. Smith,,37,37
139,2,7:50.0,Turnover by D. Williams (lost ball; steal by L. Williams),,37,37
140,2,7:39.0,,Shooting foul by D. Williams (drawn by T. Ariza),37,37
141,2,7:39.0,,T. Ariza makes 2-pt layup from 2 ft (assist by P. Beverley),37,39
142,2,7:39.0,R. Jefferson enters the game for J. Smith,,37,39
143,2,7:39.0,,R. Anderson enters the game for L. Williams,37,39
144,2,7:39.0,,T. Ariza makes free throw 1 of 1,37,40
145,2,7:25.0,D. Williams misses 2-pt jump shot from 20 ft,,37,40
146,2,7:25.0,Offensive rebound by Team,,37,40
147,2,7:25.0,,Loose ball foul by C. Capela (drawn by R. Jefferson),37,40
148,2,7:25.0,I. Shumpert enters the game for L. James,,37,40
149,2,7:25.0,K. Irving enters the game for D. Williams,,37,40
150,2,7:19.0,Shooting foul by C. Capela (drawn by I. Shumpert),,37,40
151,2,7:19.0,I. Shumpert makes free throw 1 of 2,,38,40
152,2,7:19.0,I. Shumpert makes free throw 2 of 2,,39,40
153,2,6:59.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by R. Anderson),39,43
154,2,6:42.0,R. Jefferson makes 3-pt jump shot from 24 ft (assist by K. Irving),,42,43
155,2,6:26.0,,E. Gordon misses 3-pt jump shot from 26 ft,42,43
156,2,6:25.0,Defensive rebound by I. Shumpert,,42,43
157,2,6:06.0,R. Jefferson makes 3-pt jump shot from 25 ft (assist by K. Irving),,45,43
158,2,5:50.0,,R. Anderson misses 3-pt jump shot from 25 ft,45,43
159,2,5:49.0,Defensive rebound by I. Shumpert,,45,43
160,2,5:33.0,K. Irving makes 3-pt jump shot from 25 ft (assist by D. Williams),,48,43
161,2,5:33.0,,Houston full timeout,48,43
162,2,5:33.0,,Houston full timeout,48,43
163,2,5:33.0,,N. Hilário enters the game for C. Capela,48,43
164,2,5:33.0,,J. Harden enters the game for P. Beverley,48,43
165,2,5:19.0,,T. Ariza misses 2-pt layup from 4 ft (block by K. Irving),48,43
166,2,5:19.0,Defensive rebound by Team,,48,43
167,2,5:08.0,C. Frye makes 3-pt jump shot from 25 ft (assist by K. Irving),,51,43
168,2,4:58.0,,Shooting foul by I. Shumpert (drawn by J. Harden),51,43
169,2,4:58.0,,J. Harden misses free throw 1 of 3,51,43
170,2,4:58.0,,Offensive rebound by Team,51,43
171,2,4:58.0,,J. Harden makes free throw 2 of 3,51,44
172,2,4:58.0,,J. Harden makes free throw 3 of 3,51,45
173,2,4:47.0,R. Jefferson makes 3-pt jump shot from 23 ft (assist by K. Irving),,54,45
174,2,4:31.0,,J. Harden misses 3-pt jump shot from 25 ft,54,45
175,2,4:30.0,Defensive rebound by D. Williams,,54,45
176,2,4:19.0,R. Jefferson makes 3-pt jump shot from 26 ft (assist by K. Irving),,57,45
177,2,4:05.0,,Turnover by J. Harden (bad pass; steal by C. Frye),57,45
178,2,3:40.0,K. Irving misses 3-pt jump shot from 25 ft,,57,45
179,2,3:39.0,,Defensive rebound by T. Ariza,57,45
180,2,3:33.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),57,47
181,2,3:31.0,Cleveland full timeout,,57,47
182,2,3:31.0,L. James enters the game for I. Shumpert,,57,47
183,2,3:31.0,T. Thompson enters the game for D. Williams,,57,47
184,2,3:31.0,J. Smith enters the game for C. Frye,,57,47
185,2,3:15.0,Shooting foul by R. Anderson (drawn by K. Irving),,57,47
186,2,3:15.0,K. Irving makes free throw 1 of 2,,58,47
187,2,3:15.0,K. Irving makes free throw 2 of 2,,59,47
188,2,2:58.0,,N. Hilário makes 2-pt hook shot from 6 ft (assist by J. Harden),59,49
189,2,2:43.0,T. Thompson makes 2-pt dunk at rim (assist by L. James),,61,49
190,2,2:31.0,,Offensive foul by N. Hilário (drawn by R. Jefferson),61,49
191,2,2:31.0,,Turnover by N. Hilário (offensive foul),61,49
192,2,2:31.0,,P. Beverley enters the game for R. Anderson,61,49
193,2,2:14.0,L. James makes 2-pt layup from 2 ft,,63,49
194,2,2:06.0,,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),63,51
195,2,1:46.0,Shooting block foul by T. Ariza (drawn by L. James),,63,51
196,2,1:46.0,L. James makes 2-pt layup from 2 ft,,65,51
197,2,1:46.0,L. James misses free throw 1 of 1,,65,51
198,2,1:46.0,,Defensive rebound by J. Harden,65,51
199,2,1:25.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by P. Beverley),65,54
200,2,1:07.0,Turnover by K. Irving (bad pass; steal by N. Hilário),,65,54
201,2,1:01.0,,Personal foul by K. Irving (drawn by N. Hilário),65,54
202,2,0:53.0,,N. Hilário makes 2-pt layup from 2 ft (assist by J. Harden),65,56
203,2,0:30.0,K. Irving makes 2-pt jump shot from 17 ft,,67,56
204,2,0:27.0,,J. Harden makes 2-pt layup from 2 ft,67,58
205,2,0:07.0,Turnover by T. Thompson (lost ball; steal by N. Hilário),,67,58
206,2,0:02.0,,E. Gordon misses 3-pt jump shot from 26 ft,67,58
207,2,0:01.0,,Offensive rebound by E. Gordon,67,58
208,3,11:45.0,K. Irving makes 2-pt layup from 2 ft (assist by R. Jefferson),,69,58
209,3,11:29.0,,C. Capela misses 2-pt layup from 2 ft,69,58
210,3,11:28.0,Defensive rebound by K. Irving,,69,58
211,3,11:20.0,I. Shumpert makes 2-pt jump shot from 20 ft (assist by L. James),,71,58
212,3,11:14.0,,Turnover by J. Harden (bad pass),71,58
213,3,11:00.0,K. Irving misses 3-pt jump shot from 28 ft,,71,58
214,3,10:59.0,,Defensive rebound by C. Capela,71,58
215,3,10:42.0,,R. Anderson makes 2-pt jump shot from 10 ft,71,60
216,3,10:15.0,L. James makes 3-pt jump shot from 26 ft,,74,60
217,3,10:09.0,,Shooting foul by T. Thompson (drawn by T. Ariza),74,60
218,3,10:09.0,,T. Ariza makes free throw 1 of 2,74,61
219,3,10:09.0,,T. Ariza makes free throw 2 of 2,74,62
220,3,9:53.0,L. James misses 3-pt jump shot from 25 ft,,74,62
221,3,9:52.0,,Defensive rebound by T. Ariza,74,62
222,3,9:42.0,,J. Harden makes 3-pt jump shot from 25 ft,74,65
223,3,9:19.0,K. Irving misses 2-pt jump shot from 18 ft,,74,65
224,3,9:18.0,,Defensive rebound by J. Harden,74,65
225,3,8:58.0,,R. Anderson makes 3-pt jump shot from 23 ft (assist by P. Beverley),74,68
226,3,8:57.0,Cleveland full timeout,,74,68
227,3,8:35.0,I. Shumpert misses 3-pt jump shot from 25 ft,,74,68
228,3,8:34.0,,Defensive rebound by T. Ariza,74,68
229,3,8:25.0,,Shooting foul by K. Irving (drawn by T. Ariza),74,68
230,3,8:25.0,,T. Ariza makes free throw 1 of 2,74,69
231,3,8:25.0,,T. Ariza misses free throw 2 of 2,74,69
232,3,8:25.0,Defensive rebound by R. Jefferson,,74,69
233,3,8:06.0,Personal foul by P. Beverley (drawn by L. James),,74,69
234,3,7:54.0,K. Irving makes 2-pt jump shot from 22 ft,,76,69
235,3,7:50.0,,Turnover by J. Harden (bad pass; steal by L. James),76,69
236,3,7:43.0,I. Shumpert makes 3-pt jump shot from 24 ft (assist by L. James),,79,69
237,3,7:26.0,,J. Harden misses 2-pt jump shot from 6 ft,79,69
238,3,7:26.0,Defensive rebound by T. Thompson,,79,69
239,3,7:18.0,K. Irving misses 3-pt jump shot from 26 ft,,79,69
240,3,7:17.0,,Defensive rebound by C. Capela,79,69
241,3,7:03.0,,J. Harden misses 2-pt layup from 2 ft (block by T. Thompson),79,69
242,3,7:02.0,Defensive rebound by L. James,,79,69
243,3,6:52.0,T. Thompson makes 2-pt hook shot from 8 ft (assist by K. Irving),,81,69
244,3,6:32.0,,R. Anderson makes 3-pt jump shot from 24 ft (assist by T. Ariza),81,72
245,3,6:05.0,K. Irving misses 3-pt jump shot from 24 ft,,81,72
246,3,6:04.0,,Defensive rebound by R. Anderson,81,72
247,3,5:47.0,,J. Harden misses 3-pt jump shot from 26 ft,81,72
248,3,5:46.0,,Offensive rebound by C. Capela,81,72
249,3,5:46.0,,C. Capela makes 2-pt layup from 2 ft,81,74
250,3,5:27.0,Turnover by I. Shumpert (traveling),,81,74
251,3,5:27.0,J. Smith enters the game for R. Jefferson,,81,74
252,3,5:10.0,,J. Harden makes 2-pt layup from 2 ft,81,76
253,3,5:09.0,Cleveland full timeout,,81,76
254,3,5:09.0,,E. Gordon enters the game for P. Beverley,81,76
255,3,4:57.0,,Offensive charge foul by L. James (drawn by R. Anderson),81,76
256,3,4:57.0,Turnover by L. James (offensive foul),,81,76
257,3,4:41.0,,J. Harden makes 2-pt layup from 2 ft,81,78
258,3,4:23.0,I. Shumpert misses 3-pt jump shot from 25 ft,,81,78
259,3,4:22.0,,Defensive rebound by T. Ariza,81,78
260,3,4:06.0,,J. Harden misses 3-pt jump shot from 25 ft,81,78
261,3,4:05.0,Defensive rebound by L. James,,81,78
262,3,3:57.0,J. Smith misses 3-pt jump shot from 26 ft,,81,78
263,3,3:57.0,Offensive rebound by Team,,81,78
264,3,3:57.0,,Loose ball foul by C. Capela (drawn by T. Thompson),81,78
265,3,3:57.0,D. Williams enters the game for I. Shumpert,,81,78
266,3,3:57.0,,N. Hilário enters the game for C. Capela,81,78
267,3,3:52.0,Turnover by L. James (bad pass; steal by E. Gordon),,81,78
268,3,3:45.0,,Personal foul by D. Williams (drawn by N. Hilário),81,78
269,3,3:36.0,,J. Harden makes 2-pt layup from 2 ft,81,80
270,3,3:17.0,L. James makes 2-pt jump shot from 15 ft,,83,80
271,3,3:06.0,,R. Anderson misses 3-pt jump shot from 25 ft,83,80
272,3,3:05.0,,Offensive rebound by N. Hilário,83,80
273,3,2:59.0,,T. Ariza misses 3-pt jump shot from 25 ft,83,80
274,3,2:58.0,,Offensive rebound by N. Hilário,83,80
275,3,2:51.0,,E. Gordon misses 3-pt jump shot from 23 ft,83,80
276,3,2:51.0,,Offensive rebound by R. Anderson,83,80
277,3,2:49.0,,R. Anderson misses 2-pt layup from 2 ft,83,80
278,3,2:48.0,Defensive rebound by L. James,,83,80
279,3,2:36.0,K. Irving misses 2-pt jump shot from 15 ft (block by J. Harden),,83,80
280,3,2:36.0,,Defensive rebound by J. Harden,83,80
281,3,2:36.0,,Personal foul by K. Irving (drawn by J. Harden),83,80
282,3,2:36.0,,L. Williams enters the game for R. Anderson,83,80
283,3,2:22.0,,T. Ariza misses 3-pt jump shot from 24 ft,83,80
284,3,2:21.0,,Offensive rebound by L. Williams,83,80
285,3,2:16.0,,E. Gordon misses 2-pt layup from 2 ft,83,80
286,3,2:14.0,,Offensive rebound by E. Gordon,83,80
287,3,2:11.0,,L. Williams makes 3-pt jump shot from 25 ft (assist by E. Gordon),83,83
288,3,2:09.0,Cleveland full timeout,,83,83
289,3,2:09.0,D. Williams enters the game for L. James,,83,83
290,3,1:56.0,J. Smith misses 3-pt jump shot from 25 ft,,83,83
291,3,1:55.0,,Defensive rebound by L. Williams,83,83
292,3,1:49.0,,J. Harden misses 2-pt layup from 2 ft,83,83
293,3,1:48.0,Defensive rebound by D. Williams,,83,83
294,3,1:26.0,D. Williams makes 3-pt jump shot from 25 ft (assist by K. Irving),,86,83
295,3,1:08.0,,N. Hilário makes 2-pt layup from 1 ft (assist by L. Williams),86,85
296,3,0:52.0,K. Irving misses 2-pt jump shot from 5 ft (block by E. Gordon),,86,85
297,3,0:51.0,,Defensive rebound by N. Hilário,86,85
298,3,0:46.0,,Shooting foul by J. Smith (drawn by E. Gordon),86,85
299,3,0:46.0,,E. Gordon makes free throw 1 of 3,86,86
300,3,0:46.0,,E. Gordon makes free throw 2 of 3,86,87
301,3,0:46.0,,E. Gordon makes free throw 3 of 3,86,88
302,3,0:33.0,K. Irving misses 2-pt layup from 2 ft,,86,88
303,3,0:32.0,Offensive rebound by T. Thompson,,86,88
304,3,0:29.0,Personal foul by J. Harden (drawn by T. Thompson),,86,88
305,3,0:15.0,Turnover by K. Irving (bad pass; steal by J. Harden),,86,88
306,3,0:12.0,,J. Harden makes 2-pt layup from 2 ft,86,90
307,3,0:01.0,D. Williams misses 3-pt jump shot from 25 ft,,86,90
308,3,0:00.0,,Defensive rebound by J. Harden,86,90
309,4,11:49.0,,L. Williams makes 2-pt layup from 2 ft,86,92
310,4,11:28.0,L. James makes 3-pt jump shot from 26 ft (assist by D. Williams),,89,92
311,4,11:14.0,,N. Hilário makes 2-pt layup from 2 ft (assist by L. Williams),89,94
312,4,10:52.0,Shooting foul by N. Hilário (drawn by D. Williams),,89,94
313,4,10:52.0,D. Williams makes free throw 1 of 2,,90,94
314,4,10:52.0,D. Williams makes free throw 2 of 2,,91,94
315,4,10:43.0,,Turnover by L. Williams (bad pass; steal by L. James),91,94
316,4,10:32.0,J. Smith makes 2-pt jump shot from 12 ft,,93,94
317,4,10:24.0,,E. Gordon misses 3-pt jump shot from 26 ft,93,94
318,4,10:23.0,Defensive rebound by D. Williams,,93,94
319,4,10:15.0,C. Frye makes 3-pt jump shot from 24 ft (assist by D. Williams),,96,94
320,4,10:15.0,,Houston full timeout,96,94
321,4,10:15.0,,C. Capela enters the game for T. Ariza,96,94
322,4,10:15.0,,J. Harden enters the game for N. Hilário,96,94
323,4,9:57.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by E. Gordon),96,97
324,4,9:35.0,Turnover by C. Frye (traveling),,96,97
325,4,9:24.0,,J. Harden misses 2-pt hook shot from 7 ft,96,97
326,4,9:23.0,Defensive rebound by C. Frye,,96,97
327,4,9:17.0,L. James misses 3-pt jump shot from 27 ft,,96,97
328,4,9:16.0,,Defensive rebound by C. Capela,96,97
329,4,9:08.0,,P. Beverley misses 3-pt jump shot from 24 ft,96,97
330,4,9:07.0,Defensive rebound by J. Smith,,96,97
331,4,9:00.0,Turnover by L. James (bad pass; steal by C. Capela),,96,97
332,4,8:57.0,,Personal foul by D. Williams (drawn by J. Harden),96,97
333,4,8:57.0,R. Jefferson enters the game for D. Williams,,96,97
334,4,8:48.0,,Shooting foul by J. Smith (drawn by C. Capela),96,97
335,4,8:48.0,,C. Capela misses free throw 1 of 2,96,97
336,4,8:48.0,,Offensive rebound by Team,96,97
337,4,8:48.0,,C. Capela misses free throw 2 of 2,96,97
338,4,8:48.0,Defensive rebound by L. James,,96,97
339,4,8:28.0,L. James makes 2-pt dunk at rim (assist by J. Smith),,98,97
340,4,8:11.0,,Houston full timeout,98,97
341,4,8:07.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Capela),98,100
342,4,7:47.0,J. Smith misses 2-pt jump shot from 21 ft,,98,100
343,4,7:46.0,,Defensive rebound by P. Beverley,98,100
344,4,7:40.0,,Personal foul by J. Smith (drawn by J. Harden),98,100
345,4,7:40.0,I. Shumpert enters the game for J. Smith,,98,100
346,4,7:40.0,,R. Anderson enters the game for L. Williams,98,100
347,4,7:25.0,,E. Gordon misses 3-pt jump shot from 25 ft,98,100
348,4,7:24.0,,Offensive rebound by J. Harden,98,100
349,4,7:12.0,,P. Beverley misses 2-pt jump shot from 11 ft,98,100
350,4,7:11.0,Defensive rebound by I. Shumpert,,98,100
351,4,6:54.0,D. Williams makes 3-pt jump shot from 26 ft (assist by L. James),,101,100
352,4,6:41.0,,C. Capela misses 2-pt jump shot from 4 ft,101,100
353,4,6:40.0,,Offensive rebound by J. Harden,101,100
354,4,6:40.0,,J. Harden makes 2-pt layup from 2 ft,101,102
355,4,6:19.0,L. James misses 3-pt jump shot from 25 ft,,101,102
356,4,6:18.0,,Defensive rebound by J. Harden,101,102
357,4,6:15.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),101,104
358,4,6:15.0,Cleveland full timeout,,101,104
359,4,6:15.0,,T. Ariza enters the game for E. Gordon,101,104
360,4,6:15.0,K. Irving enters the game for C. Frye,,101,104
361,4,6:05.0,Turnover by L. James (bad pass; steal by P. Beverley),,101,104
362,4,6:00.0,,Personal foul by R. Jefferson (drawn by R. Anderson),101,104
363,4,5:55.0,,J. Harden misses 3-pt jump shot from 25 ft,101,104
364,4,5:54.0,,Offensive rebound by R. Anderson,101,104
365,4,5:54.0,,Shooting foul by D. Williams (drawn by R. Anderson),101,104
366,4,5:54.0,,R. Anderson makes free throw 1 of 2,101,105
367,4,5:54.0,T. Thompson enters the game for D. Williams,,101,105
368,4,5:54.0,,R. Anderson makes free throw 2 of 2,101,106
369,4,5:43.0,K. Irving misses 2-pt jump shot from 20 ft,,101,106
370,4,5:42.0,,Defensive rebound by R. Anderson,101,106
371,4,5:34.0,,C. Capela misses 2-pt layup from 1 ft (block by T. Thompson),101,106
372,4,5:33.0,,Offensive rebound by C. Capela,101,106
373,4,5:29.0,,J. Harden misses 3-pt jump shot from 25 ft,101,106
374,4,5:29.0,,Offensive rebound by P. Beverley,101,106
375,4,5:29.0,,Personal foul by R. Jefferson (drawn by P. Beverley),101,106
376,4,5:29.0,,P. Beverley makes free throw 1 of 2,101,107
377,4,5:29.0,,P. Beverley misses free throw 2 of 2,101,107
378,4,5:29.0,Defensive rebound by R. Jefferson,,101,107
379,4,5:04.0,L. James makes 3-pt jump shot from 26 ft (assist by I. Shumpert),,104,107
380,4,4:41.0,,R. Anderson misses 3-pt jump shot from 27 ft,104,107
381,4,4:41.0,,Offensive rebound by Team,104,107
382,4,4:41.0,Loose ball foul by K. Irving (drawn by P. Beverley),,104,107
383,4,4:41.0,,P. Beverley misses free throw 1 of 2,104,107
384,4,4:41.0,,Offensive rebound by Team,104,107
385,4,4:41.0,,N. Hilário enters the game for C. Capela,104,107
386,4,4:41.0,,P. Beverley makes free throw 2 of 2,104,108
387,4,4:19.0,K. Irving makes 2-pt jump shot from 7 ft,,106,108
388,4,4:07.0,,J. Harden makes 2-pt layup from 2 ft,106,110
389,4,3:44.0,I. Shumpert misses 3-pt jump shot from 24 ft,,106,110
