,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PHOENIX_ACTION,PHILADELPHIA_SCORE,PHOENIX_SCORE
142,2,9:55.0,E. İlyasova enters the game for D. Šarić,,36,30
143,2,9:55.0,J. Embiid makes free throw 2 of 2,,37,30
144,2,9:36.0,,T. Warren misses 3-pt jump shot from 24 ft,37,30
145,2,9:35.0,Defensive rebound by G. Henderson,,37,30
146,2,9:23.0,Def 3 sec tech foul by A. Len,,37,30
147,2,9:23.0,E. İlyasova makes technical free throw,,38,30
148,2,9:23.0,J. Okafor enters the game for J. Embiid,,38,30
149,2,9:23.0,,D. Booker enters the game for T. Warren,38,30
150,2,9:09.0,G. Henderson makes 2-pt jump shot from 18 ft,,40,30
151,2,9:00.0,,B. Knight misses 2-pt jump shot from 15 ft,40,30
152,2,8:56.0,,Offensive rebound by L. Barbosa,40,30
153,2,8:50.0,,J. Dudley misses 2-pt layup from 1 ft (block by J. Okafor),40,30
154,2,8:48.0,Defensive rebound by H. Thompson,,40,30
155,2,8:46.0,G. Henderson misses 2-pt jump shot from 5 ft (block by L. Barbosa),,40,30
156,2,8:45.0,Offensive rebound by T. McConnell,,40,30
157,2,8:44.0,H. Thompson misses 3-pt jump shot from 26 ft,,40,30
158,2,8:43.0,Offensive rebound by E. İlyasova,,40,30
159,2,8:37.0,E. İlyasova misses 2-pt jump shot from 7 ft,,40,30
160,2,8:36.0,,Defensive rebound by D. Booker,40,30
161,2,8:32.0,,Shooting foul by T. McConnell (drawn by B. Knight),40,30
162,2,8:32.0,Official timeout,,40,30
163,2,8:32.0,,B. Knight makes free throw 1 of 2,40,31
164,2,8:32.0,R. Covington enters the game for H. Thompson,,40,30
165,2,8:32.0,,B. Knight makes free throw 2 of 2,40,32
166,2,8:25.0,Offensive foul by J. Okafor (drawn by D. Booker),,40,32
167,2,8:25.0,Turnover by J. Okafor (offensive foul),,40,32
168,2,8:22.0,,Turnover by J. Dudley (bad pass; steal by T. McConnell),40,32
169,2,8:18.0,E. İlyasova makes 3-pt jump shot from 26 ft,,43,32
170,2,8:16.0,,Phoenix full timeout,43,32
171,2,8:16.0,,E. Bledsoe enters the game for B. Knight,43,32
172,2,8:16.0,,P. Tucker enters the game for J. Dudley,43,32
173,2,7:56.0,,A. Len makes 2-pt layup from 2 ft (assist by D. Booker),43,34
174,2,7:35.0,J. Okafor makes 2-pt hook shot from 6 ft,,45,34
175,2,7:19.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),45,37
176,2,7:07.0,R. Covington makes 3-pt jump shot from 28 ft (assist by E. İlyasova),,48,37
177,2,6:53.0,H. Thompson enters the game for G. Henderson,,48,37
178,2,6:51.0,,Offensive foul by A. Len (drawn by R. Covington),48,37
179,2,6:51.0,,Turnover by A. Len (offensive foul),48,37
180,2,6:51.0,,T. Chandler enters the game for A. Len,48,37
181,2,6:36.0,Turnover by E. İlyasova (lost ball; steal by P. Tucker),,48,37
182,2,6:33.0,,D. Booker misses 2-pt jump shot from 8 ft (block by R. Covington),48,37
183,2,6:29.0,,Offensive rebound by E. Bledsoe,48,37
184,2,6:23.0,,E. Bledsoe misses 2-pt jump shot from 16 ft,48,37
185,2,6:22.0,,Offensive rebound by Team,48,37
186,2,6:22.0,,Personal foul by J. Okafor (drawn by T. Chandler),48,37
187,2,6:19.0,,Shooting foul by J. Okafor (drawn by T. Chandler),48,37
188,2,6:19.0,,T. Chandler misses free throw 1 of 2,48,37
189,2,6:19.0,,Offensive rebound by Team,48,37
190,2,6:19.0,N. Noel enters the game for J. Okafor,,48,37
191,2,6:19.0,,T. Chandler makes free throw 2 of 2,48,38
192,2,6:01.0,T. McConnell makes 3-pt jump shot from 25 ft (assist by R. Covington),,51,38
193,2,5:51.0,,T. Chandler misses 2-pt layup from 2 ft,51,38
194,2,5:50.0,Defensive rebound by Team,,51,38
195,2,5:50.0,,Phoenix full timeout,51,38
196,2,5:36.0,Turnover by E. İlyasova (bad pass; steal by D. Booker),,51,38
197,2,5:33.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by D. Booker),51,40
198,2,5:10.0,H. Thompson makes 2-pt layup from 2 ft (assist by T. McConnell),,53,40
199,2,4:58.0,S. Rodríguez enters the game for T. McConnell,,53,40
200,2,4:58.0,,T. Warren enters the game for L. Barbosa,53,40
201,2,4:56.0,,Offensive foul by T. Chandler (drawn by E. İlyasova),53,40
202,2,4:56.0,,Turnover by T. Chandler (offensive foul),53,40
203,2,4:40.0,Turnover by S. Rodríguez (bad pass; steal by D. Booker),,53,40
204,2,4:31.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),53,43
205,2,4:17.0,E. İlyasova makes 2-pt jump shot from 20 ft,,55,43
206,2,4:09.0,,T. Chandler makes 2-pt dunk at rim (assist by D. Booker),55,45
207,2,3:58.0,E. İlyasova makes 2-pt jump shot from 21 ft (assist by N. Noel),,57,45
208,2,3:47.0,,Turnover by D. Booker (lost ball),57,45
209,2,3:47.0,Philadelphia full timeout,,57,45
210,2,3:47.0,J. Embiid enters the game for N. Noel,,57,45
211,2,3:34.0,Turnover by R. Covington (traveling),,57,45
212,2,3:16.0,,T. Chandler misses 2-pt layup from 1 ft,57,45
213,2,3:13.0,Defensive rebound by R. Covington,,57,45
214,2,3:10.0,R. Covington makes 2-pt layup from 2 ft,,59,45
215,2,2:57.0,,T. Warren makes 2-pt layup at rim (assist by T. Chandler),59,47
216,2,2:46.0,J. Embiid makes 2-pt jump shot from 15 ft,,61,47
217,2,2:37.0,,T. Chandler misses 2-pt layup from 2 ft,61,47
218,2,2:32.0,Defensive rebound by J. Embiid,,61,47
219,2,2:29.0,J. Embiid misses 2-pt layup from 2 ft,,61,47
220,2,2:27.0,,Defensive rebound by T. Warren,61,47
221,2,2:26.0,,Personal block foul by R. Covington,61,47
222,2,2:26.0,D. Šarić enters the game for E. İlyasova,,61,47
223,2,2:18.0,,D. Booker misses 3-pt jump shot from 25 ft,61,47
224,2,2:16.0,Defensive rebound by J. Embiid,,61,47
225,2,2:12.0,Turnover by J. Embiid (lost ball; steal by P. Tucker),,61,47
226,2,2:10.0,,Shooting foul by H. Thompson (drawn by D. Booker),61,47
227,2,2:10.0,,D. Booker makes 2-pt layup from 2 ft,61,49
228,2,2:10.0,G. Henderson enters the game for H. Thompson,,61,49
229,2,2:10.0,,D. Booker makes free throw 1 of 1,61,50
230,2,1:59.0,Turnover by R. Covington (lost ball),,61,50
231,2,1:54.0,,T. Warren makes 2-pt layup from 2 ft (assist by E. Bledsoe),61,52
232,2,1:34.0,D. Šarić misses 2-pt layup from 3 ft,,61,52
233,2,1:31.0,,Defensive rebound by P. Tucker,61,52
234,2,1:26.0,,Shooting foul by D. Šarić (drawn by T. Chandler),61,52
235,2,1:26.0,,T. Chandler misses free throw 1 of 2,61,52
236,2,1:26.0,,Offensive rebound by Team,61,52
237,2,1:26.0,,T. Chandler makes free throw 2 of 2,61,53
238,2,1:11.0,J. Embiid makes 2-pt jump shot from 7 ft (assist by R. Covington),,63,53
239,2,1:01.0,,P. Tucker misses 2-pt jump shot from 7 ft (block by J. Embiid),63,53
240,2,1:00.0,,Offensive rebound by T. Warren,63,53
241,2,0:57.0,,T. Warren misses 2-pt jump shot from 6 ft,63,53
242,2,0:55.0,Defensive rebound by D. Šarić,,63,53
243,2,0:51.0,S. Rodríguez makes 3-pt jump shot from 24 ft (assist by G. Henderson),,66,53
244,2,0:37.0,,D. Booker misses 3-pt jump shot from 26 ft,66,53
245,2,0:35.0,Defensive rebound by D. Šarić,,66,53
246,2,0:27.0,D. Šarić misses 3-pt jump shot from 27 ft,,66,53
247,2,0:24.0,Offensive rebound by R. Covington,,66,53
248,2,0:24.0,Personal foul by E. Bledsoe (drawn by R. Covington),,66,53
249,2,0:24.0,Philadelphia full timeout,,66,53
250,2,0:01.0,R. Covington misses 3-pt jump shot from 26 ft,,66,53
251,2,0:00.0,,Defensive rebound by T. Chandler,66,53
252,3,11:48.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),66,56
253,3,11:26.0,J. Okafor makes 2-pt jump shot from 14 ft,,68,56
254,3,11:11.0,,T. Chandler makes 2-pt dunk at rim (assist by D. Booker),68,58
255,3,10:56.0,Personal foul by M. Chriss (drawn by J. Embiid),,68,58
256,3,10:46.0,Turnover by S. Rodríguez (bad pass),,68,58
257,3,10:30.0,,M. Chriss makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),68,61
258,3,10:18.0,G. Henderson misses 2-pt jump shot from 20 ft,,68,61
259,3,10:15.0,,Defensive rebound by P. Tucker,68,61
260,3,10:06.0,,M. Chriss misses 3-pt jump shot from 24 ft,68,61
261,3,10:04.0,Defensive rebound by J. Okafor,,68,61
262,3,9:50.0,S. Rodríguez misses 3-pt jump shot from 25 ft,,68,61
263,3,9:48.0,,Defensive rebound by M. Chriss,68,61
264,3,9:38.0,,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by D. Booker),68,64
265,3,9:21.0,R. Covington misses 3-pt jump shot from 26 ft,,68,64
266,3,9:19.0,,Defensive rebound by D. Booker,68,64
267,3,9:13.0,,D. Booker makes 3-pt jump shot from 25 ft,68,67
268,3,9:13.0,Philadelphia full timeout,,68,67
269,3,8:57.0,Personal foul by M. Chriss (drawn by J. Embiid),,68,67
270,3,8:47.0,Turnover by S. Rodríguez (lost ball; steal by P. Tucker),,68,67
271,3,8:44.0,,Personal foul by R. Covington (drawn by P. Tucker),68,67
272,3,8:44.0,,Offensive foul by M. Chriss (drawn by J. Okafor),68,67
273,3,8:44.0,,Turnover by M. Chriss (offensive foul),68,67
274,3,8:44.0,,A. Len enters the game for M. Chriss,68,67
275,3,8:30.0,Turnover by R. Covington (bad pass; steal by P. Tucker),,68,67
276,3,8:22.0,,P. Tucker makes 2-pt jump shot from 17 ft (assist by A. Len),68,69
277,3,8:06.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by S. Rodríguez),,71,69
278,3,7:42.0,,D. Booker misses 3-pt jump shot from 26 ft,71,69
279,3,7:40.0,Defensive rebound by J. Embiid,,71,69
280,3,7:32.0,J. Embiid misses 2-pt layup from 2 ft,,71,69
281,3,7:30.0,,Defensive rebound by E. Bledsoe,71,69
282,3,7:18.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,71,69
283,3,7:16.0,Defensive rebound by S. Rodríguez,,71,69
284,3,7:11.0,R. Covington makes 2-pt layup from 2 ft (assist by S. Rodríguez),,73,69
285,3,7:11.0,,Phoenix full timeout,73,69
286,3,7:11.0,E. İlyasova enters the game for J. Embiid,,73,69
287,3,7:11.0,D. Šarić enters the game for G. Henderson,,73,69
288,3,7:11.0,T. McConnell enters the game for S. Rodríguez,,73,69
289,3,6:56.0,,E. Bledsoe makes 2-pt layup from 2 ft,73,71
290,3,6:40.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by R. Covington),,76,71
291,3,6:19.0,,Turnover by A. Len (bad pass; steal by D. Šarić),76,71
292,3,6:11.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by R. Covington),,79,71
293,3,6:01.0,Offensive charge foul by D. Booker (drawn by E. İlyasova),,79,71
294,3,6:01.0,,Turnover by D. Booker (offensive foul),79,71
295,3,5:41.0,E. İlyasova misses 2-pt jump shot from 15 ft (block by E. Bledsoe),,79,71
296,3,5:38.0,Offensive rebound by E. İlyasova,,79,71
297,3,5:35.0,R. Covington misses 3-pt jump shot from 25 ft,,79,71
298,3,5:34.0,,Defensive rebound by Team,79,71
299,3,5:34.0,,J. Dudley enters the game for T. Chandler,79,71
300,3,5:23.0,,D. Booker misses 2-pt jump shot from 17 ft,79,71
301,3,5:19.0,Defensive rebound by T. McConnell,,79,71
302,3,5:15.0,T. McConnell misses 2-pt layup from 2 ft,,79,71
303,3,5:12.0,,Defensive rebound by A. Len,79,71
304,3,5:09.0,N. Noel enters the game for J. Okafor,,79,71
305,3,5:06.0,,Shooting foul by E. İlyasova (drawn by A. Len),79,71
306,3,5:06.0,,A. Len makes free throw 1 of 2,79,72
307,3,5:06.0,,B. Knight enters the game for E. Bledsoe,79,72
308,3,5:06.0,,L. Barbosa enters the game for P. Tucker,79,72
309,3,5:06.0,,A. Len makes free throw 2 of 2,79,73
310,3,4:50.0,D. Šarić misses 3-pt jump shot from 25 ft,,79,73
311,3,4:48.0,,Defensive rebound by A. Len,79,73
312,3,4:38.0,,J. Dudley misses 3-pt jump shot from 26 ft,79,73
313,3,4:36.0,Defensive rebound by N. Noel,,79,73
314,3,4:26.0,E. İlyasova misses 2-pt jump shot from 21 ft,,79,73
315,3,4:24.0,,Defensive rebound by B. Knight,79,73
316,3,4:09.0,,A. Len makes 2-pt jump shot from 14 ft (assist by B. Knight),79,75
317,3,3:56.0,Turnover by E. İlyasova (bad pass),,79,75
318,3,3:56.0,,T. Warren enters the game for D. Booker,79,75
319,3,3:48.0,,Turnover by L. Barbosa (lost ball; steal by N. Noel),79,75
320,3,3:37.0,,Offensive charge foul by N. Noel (drawn by L. Barbosa),79,75
321,3,3:37.0,Turnover by N. Noel (offensive foul),,79,75
322,3,3:37.0,H. Thompson enters the game for R. Covington,,79,75
323,3,3:25.0,,B. Knight misses 2-pt jump shot from 4 ft,79,75
324,3,3:25.0,,Offensive rebound by B. Knight,79,75
325,3,3:24.0,,Turnover by B. Knight (step out of bounds),79,75
326,3,3:15.0,Personal foul by T. Warren,,79,75
327,3,3:02.0,Shooting foul by J. Dudley (drawn by N. Noel),,79,75
328,3,3:02.0,N. Noel misses free throw 1 of 2,,79,75
329,3,3:02.0,Offensive rebound by Team,,79,75
330,3,3:02.0,N. Noel misses free throw 2 of 2,,79,75
331,3,3:02.0,Offensive rebound by D. Šarić,,79,75
332,3,3:02.0,D. Šarić misses 2-pt layup from 3 ft,,79,75
333,3,3:01.0,,Defensive rebound by J. Dudley,79,75
334,3,2:51.0,,Turnover by J. Dudley (bad pass),79,75
335,3,2:51.0,J. Embiid enters the game for N. Noel,,79,75
336,3,2:39.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by J. Embiid),,82,75
337,3,2:20.0,,Turnover by B. Knight (discontinued dribble),82,75
338,3,2:14.0,Personal foul by A. Len (drawn by J. Embiid),,82,75
339,3,2:14.0,J. Embiid misses free throw 1 of 2,,82,75
340,3,2:14.0,Offensive rebound by Team,,82,75
341,3,2:14.0,J. Embiid makes free throw 2 of 2,,83,75
342,3,2:05.0,,Offensive foul by A. Len (drawn by E. İlyasova),83,75
343,3,2:05.0,,Turnover by A. Len (offensive foul),83,75
344,3,2:05.0,,T. Chandler enters the game for A. Len,83,75
345,3,1:49.0,J. Embiid makes 2-pt hook shot from 11 ft,,85,75
346,3,1:30.0,,T. Warren misses 2-pt jump shot from 13 ft,85,75
347,3,1:28.0,,Offensive rebound by T. Chandler,85,75
348,3,1:28.0,,T. Chandler misses 2-pt layup from 1 ft,85,75
349,3,1:23.0,Defensive rebound by J. Embiid,,85,75
350,3,1:20.0,Offensive foul by J. Embiid (drawn by B. Knight),,85,75
351,3,1:20.0,Turnover by J. Embiid (offensive foul),,85,75
352,3,1:00.0,,J. Dudley makes 2-pt jump shot from 17 ft (assist by L. Barbosa),85,77
353,3,0:45.0,E. İlyasova misses 2-pt jump shot from 11 ft,,85,77
354,3,0:43.0,,Defensive rebound by T. Chandler,85,77
355,3,0:35.0,,Shooting foul by J. Embiid (drawn by T. Chandler),85,77
356,3,0:35.0,,T. Chandler makes free throw 1 of 2,85,78
357,3,0:35.0,,T. Chandler makes free throw 2 of 2,85,79
358,3,0:25.0,Offensive foul by E. İlyasova (drawn by J. Dudley),,85,79
359,3,0:25.0,Turnover by E. İlyasova (offensive foul),,85,79
360,3,0:25.0,,D. Booker enters the game for T. Chandler,85,79
361,3,0:25.0,R. Covington enters the game for E. İlyasova,,85,79
362,3,0:06.0,,Personal foul by H. Thompson (drawn by B. Knight),85,79
363,3,0:06.0,,B. Knight makes free throw 1 of 2,85,80
364,3,0:06.0,,P. Tucker enters the game for J. Dudley,85,80
365,3,0:06.0,,T. Chandler enters the game for D. Booker,85,80
366,3,0:06.0,,B. Knight makes free throw 2 of 2,85,81
367,3,0:02.0,Turnover by T. McConnell (bad pass; steal by T. Warren),,85,81
368,3,0:00.0,,T. Warren misses 3-pt jump shot from 46 ft,85,81
369,3,0:00.0,,Offensive rebound by Team,85,81
370,4,11:50.0,Offensive foul by R. Covington (drawn by T. Chandler),,85,81
371,4,11:50.0,Turnover by R. Covington (offensive foul),,85,81
372,4,11:35.0,,T. Warren makes 2-pt layup from 1 ft,85,83
373,4,11:23.0,Turnover by J. Embiid (bad pass),,85,83
374,4,11:07.0,,Turnover by E. Bledsoe (traveling),85,83
375,4,10:46.0,G. Henderson misses 2-pt jump shot from 16 ft (block by E. Bledsoe),,85,83
376,4,10:43.0,Offensive rebound by S. Rodríguez,,85,83
377,4,10:42.0,S. Rodríguez misses 3-pt jump shot from 25 ft,,85,83
378,4,10:42.0,Offensive rebound by Team,,85,83
379,4,10:42.0,Turnover by Team (shot clock),,85,83
380,4,10:39.0,,Shooting block foul by R. Covington (drawn by E. Bledsoe),85,83
381,4,10:39.0,,E. Bledsoe makes free throw 1 of 2,85,84
382,4,10:39.0,J. Okafor enters the game for R. Covington,,85,84
383,4,10:39.0,E. İlyasova enters the game for J. Embiid,,85,84
384,4,10:39.0,,E. Bledsoe makes free throw 2 of 2,85,85
385,4,10:28.0,Personal foul by T. Chandler (drawn by J. Okafor),,85,85
386,4,10:20.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by S. Rodríguez),,88,85
