,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BROOKLYN_ACTION,MEMPHIS_SCORE,BROOKLYN_SCORE
100,2,10:39.0,Z. Randolph makes 2-pt layup from 1 ft,,29,21
101,2,10:28.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by C. LeVert),29,24
102,2,10:13.0,Z. Randolph misses 3-pt jump shot from 26 ft,,29,24
103,2,10:12.0,,Defensive rebound by T. Booker,29,24
104,2,10:00.0,,I. Whitehead makes 2-pt layup from 1 ft (assist by L. Scola),29,26
105,2,9:53.0,Memphis full timeout,,29,26
106,2,9:36.0,V. Carter makes 3-pt jump shot from 25 ft,,32,26
107,2,9:23.0,,C. LeVert makes 2-pt layup from 3 ft (assist by L. Scola),32,28
108,2,9:17.0,V. Carter makes 3-pt jump shot from 25 ft (assist by M. Conley),,35,28
109,2,9:05.0,,T. Booker misses 3-pt jump shot from 25 ft,35,28
110,2,9:04.0,Defensive rebound by Team,,35,28
111,2,8:44.0,Turnover by Z. Randolph (lost ball; steal by I. Whitehead),,35,28
112,2,8:33.0,,T. Booker makes 2-pt layup from 2 ft (assist by C. LeVert),35,30
113,2,8:19.0,M. Conley makes 2-pt jump shot from 12 ft,,37,30
114,2,8:07.0,,Turnover by I. Whitehead (bad pass; steal by V. Carter),37,30
115,2,7:56.0,Z. Randolph misses 2-pt jump shot from 4 ft,,37,30
116,2,7:54.0,,Defensive rebound by T. Booker,37,30
117,2,7:49.0,,T. Booker makes 2-pt layup from 2 ft,37,32
118,2,7:49.0,,Shooting foul by M. Conley (drawn by T. Booker),37,32
119,2,7:49.0,J. Ennis enters the game for V. Carter,,37,32
120,2,7:49.0,M. Gasol enters the game for Z. Randolph,,37,32
121,2,7:49.0,,B. Lopez enters the game for L. Scola,37,32
122,2,7:49.0,,T. Booker makes free throw 1 of 1,37,33
123,2,7:39.0,B. Wright makes 2-pt dunk at rim (assist by M. Conley),,39,33
124,2,7:19.0,,C. LeVert misses 3-pt jump shot from 24 ft,39,33
125,2,7:18.0,Defensive rebound by B. Wright,,39,33
126,2,7:15.0,Shooting foul by J. Harris (drawn by B. Wright),,39,33
127,2,7:15.0,B. Wright makes free throw 1 of 2,,40,33
128,2,7:15.0,C. Parsons enters the game for T. Daniels,,40,33
129,2,7:15.0,B. Wright makes free throw 2 of 2,,41,33
130,2,7:04.0,,Turnover by C. LeVert (bad pass; steal by B. Wright),41,33
131,2,7:00.0,M. Conley misses 3-pt jump shot from 25 ft,,41,33
132,2,6:58.0,,Defensive rebound by C. LeVert,41,33
133,2,6:52.0,,B. Lopez misses 3-pt jump shot from 25 ft,41,33
134,2,6:50.0,Defensive rebound by C. Parsons,,41,33
135,2,6:32.0,B. Wright makes 2-pt dunk at rim (assist by M. Gasol),,43,33
136,2,6:12.0,,C. LeVert misses 2-pt jump shot from 9 ft,43,33
137,2,6:07.0,Defensive rebound by C. Parsons,,43,33
138,2,5:57.0,Personal foul by C. LeVert (drawn by B. Wright),,43,33
139,2,5:57.0,Official timeout,,43,33
140,2,5:57.0,,S. Dinwiddie enters the game for I. Whitehead,43,33
141,2,5:57.0,,B. Bogdanović enters the game for T. Booker,43,33
142,2,5:57.0,,R. Hollis-Jefferson enters the game for J. Harris,43,33
143,2,5:48.0,B. Wright makes 2-pt dunk at rim (assist by C. Parsons),,45,33
