,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHOENIX_ACTION,TORONTO_SCORE,PHOENIX_SCORE
53,1,6:03.0,,Offensive rebound by T. Chandler,4,10
54,1,5:51.0,,E. Bledsoe makes 2-pt layup from 1 ft,4,12
55,1,5:36.0,P. Patterson misses 3-pt jump shot from 26 ft,,4,12
56,1,5:35.0,,Defensive rebound by D. Booker,4,12
57,1,5:23.0,,Turnover by T. Chandler (bad pass),4,12
58,1,5:04.0,D. DeRozan makes 2-pt jump shot from 18 ft,,6,12
59,1,4:47.0,,T. Warren misses 2-pt jump shot from 20 ft,6,12
60,1,4:45.0,Defensive rebound by J. Valančiūnas,,6,12
61,1,4:36.0,T. Ross misses 3-pt jump shot from 24 ft,,6,12
62,1,4:35.0,,Defensive rebound by T. Warren,6,12
63,1,4:26.0,,A. Len enters the game for T. Chandler,6,12
64,1,4:26.0,L. Nogueira enters the game for J. Valančiūnas,,6,12
65,1,4:20.0,,T. Warren misses 2-pt jump shot from 14 ft,6,12
66,1,4:16.0,,Offensive rebound by A. Len,6,12
67,1,4:16.0,,Turnover by T. Warren (lost ball),6,12
68,1,4:05.0,D. DeRozan makes 2-pt jump shot from 6 ft,,8,12
69,1,4:05.0,,Phoenix full timeout,8,12
70,1,4:05.0,C. Joseph enters the game for K. Lowry,,8,12
71,1,4:05.0,,B. Knight enters the game for E. Bledsoe,8,12
72,1,3:41.0,,T. Warren misses 3-pt jump shot from 27 ft,8,12
73,1,3:41.0,Defensive rebound by D. DeRozan,,8,12
74,1,3:29.0,D. DeRozan makes 2-pt jump shot from 3 ft,,10,12
75,1,3:03.0,,Turnover by B. Knight (bad pass),10,12
76,1,2:51.0,Shooting foul by B. Knight (drawn by D. DeRozan),,10,12
77,1,2:51.0,D. DeRozan makes free throw 1 of 2,,11,12
78,1,2:51.0,D. DeRozan misses free throw 2 of 2,,11,12
79,1,2:51.0,,D. Bender enters the game for P. Tucker,11,12
80,1,2:50.0,,Defensive rebound by D. Bender,11,12
81,1,2:32.0,,Turnover by T. Warren (bad pass; steal by T. Ross),11,12
82,1,2:27.0,Turnover by L. Nogueira (bad pass),,11,12
83,1,2:13.0,,D. Booker misses 2-pt jump shot from 22 ft,11,12
84,1,2:13.0,Defensive rebound by C. Joseph,,11,12
85,1,2:04.0,C. Joseph misses 2-pt jump shot from 10 ft,,11,12
86,1,2:03.0,,Defensive rebound by B. Knight,11,12
87,1,1:55.0,,B. Knight misses 2-pt jump shot from 23 ft,11,12
88,1,1:55.0,Defensive rebound by T. Ross,,11,12
89,1,1:53.0,Personal foul by T. Warren,,11,12
90,1,1:53.0,C. Joseph misses free throw 1 of 2,,11,12
91,1,1:53.0,Offensive rebound by Team,,11,12
92,1,1:53.0,,L. Barbosa enters the game for D. Booker,11,12
93,1,1:53.0,C. Joseph makes free throw 2 of 2,,12,12
94,1,1:30.0,,A. Len makes 2-pt jump shot from 8 ft (assist by L. Barbosa),12,14
95,1,1:11.0,P. Patterson misses 3-pt jump shot from 23 ft,,12,14
96,1,1:11.0,,Defensive rebound by A. Len,12,14
97,1,1:01.0,,D. Bender misses 3-pt jump shot from 24 ft,12,14
98,1,0:59.0,,Offensive rebound by D. Bender,12,14
99,1,0:53.0,,D. Bender misses 3-pt jump shot from 26 ft,12,14
100,1,0:52.0,,Offensive rebound by Team,12,14
101,1,0:40.0,,B. Knight makes 2-pt jump shot from 16 ft,12,16
102,1,0:31.0,D. DeRozan makes 2-pt layup from 2 ft,,14,16
103,1,0:23.0,,Turnover by B. Knight (lost ball; steal by L. Nogueira),14,16
104,1,0:23.0,Personal foul by B. Knight (drawn by D. DeRozan),,14,16
105,1,0:23.0,D. DeRozan makes free throw 1 of 2,,15,16
106,1,0:23.0,D. DeRozan makes free throw 2 of 2,,16,16
107,1,0:05.0,,Turnover by L. Barbosa (bad pass; steal by T. Ross),16,16
108,1,0:01.0,T. Ross makes 2-pt dunk at rim,,18,16
109,2,11:50.0,,T. Warren misses 2-pt layup from 3 ft,18,16
110,2,11:50.0,,Offensive rebound by Team,18,16
111,2,11:45.0,,T. Warren misses 2-pt jump shot from 10 ft,18,16
112,2,11:43.0,,Offensive rebound by A. Len,18,16
113,2,11:33.0,,A. Len misses 2-pt layup from 2 ft (block by K. Lowry),18,16
114,2,11:32.0,Defensive rebound by C. Joseph,,18,16
115,2,11:16.0,T. Ross misses 3-pt jump shot from 25 ft,,18,16
116,2,11:15.0,,Defensive rebound by Team,18,16
117,2,11:00.0,,Turnover by D. Bender (bad pass; steal by K. Lowry),18,16
118,2,11:00.0,Personal take foul by D. Bender (drawn by K. Lowry),,18,16
119,2,10:41.0,K. Lowry misses 2-pt jump shot from 18 ft,,18,16
120,2,10:39.0,,Defensive rebound by A. Len,18,16
121,2,10:32.0,,B. Knight makes 2-pt jump shot from 18 ft,18,18
122,2,10:22.0,C. Joseph misses 2-pt layup from 2 ft,,18,18
123,2,10:21.0,Offensive rebound by L. Nogueira,,18,18
124,2,10:13.0,P. Patterson misses 2-pt jump shot from 13 ft,,18,18
125,2,10:13.0,,Defensive rebound by A. Len,18,18
126,2,10:01.0,,B. Knight makes 3-pt jump shot from 26 ft (assist by L. Barbosa),18,21
127,2,9:50.0,Shooting foul by B. Knight (drawn by K. Lowry),,18,21
128,2,9:50.0,K. Lowry misses free throw 1 of 2,,18,21
129,2,9:50.0,Offensive rebound by Team,,18,21
130,2,9:50.0,K. Lowry misses free throw 2 of 2,,18,21
131,2,9:50.0,D. Carroll enters the game for P. Patterson,,18,21
132,2,9:50.0,,T. Ulis enters the game for B. Knight,18,21
133,2,9:49.0,,Defensive rebound by L. Barbosa,18,21
134,2,9:29.0,,L. Barbosa misses 3-pt jump shot from 23 ft,18,21
135,2,9:29.0,Defensive rebound by C. Joseph,,18,21
136,2,9:22.0,C. Joseph makes 2-pt layup from 3 ft (assist by K. Lowry),,20,21
137,2,9:09.0,,L. Barbosa misses 2-pt layup from 2 ft,20,21
138,2,9:09.0,,Offensive rebound by L. Barbosa,20,21
139,2,9:05.0,,L. Barbosa misses 2-pt layup from 2 ft,20,21
140,2,9:05.0,Defensive rebound by D. Carroll,,20,21
141,2,8:59.0,K. Lowry makes 3-pt jump shot from 27 ft,,23,21
142,2,8:59.0,,Phoenix full timeout,23,21
143,2,8:59.0,N. Powell enters the game for C. Joseph,,23,21
144,2,8:59.0,,D. Booker enters the game for T. Warren,23,21
145,2,8:59.0,,E. Bledsoe enters the game for L. Barbosa,23,21
146,2,8:50.0,,Turnover by E. Bledsoe (bad pass; steal by T. Ross),23,21
147,2,8:33.0,T. Ross misses 3-pt jump shot from 24 ft,,23,21
148,2,8:33.0,,Defensive rebound by E. Bledsoe,23,21
149,2,8:25.0,,E. Bledsoe makes 2-pt jump shot from 20 ft,23,23
150,2,8:09.0,T. Ross makes 2-pt jump shot from 23 ft,,25,23
151,2,7:51.0,,Offensive foul by A. Len (drawn by L. Nogueira),25,23
152,2,7:51.0,,Turnover by A. Len (offensive foul),25,23
153,2,7:30.0,T. Ross misses 2-pt jump shot from 15 ft,,25,23
154,2,7:28.0,Offensive rebound by Team,,25,23
155,2,7:19.0,N. Powell misses 2-pt layup from 2 ft (block by E. Bledsoe),,25,23
156,2,7:18.0,,Defensive rebound by D. Bender,25,23
157,2,7:01.0,,E. Bledsoe makes 2-pt jump shot from 5 ft,25,25
158,2,6:46.0,Personal foul by D. Bender (drawn by D. Carroll),,25,25
159,2,6:37.0,T. Ross misses 3-pt jump shot from 26 ft,,25,25
160,2,6:37.0,,Defensive rebound by A. Len,25,25
161,2,6:19.0,,D. Bender makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),25,28
162,2,5:53.0,K. Lowry misses 3-pt jump shot from 25 ft,,25,28
163,2,5:52.0,,Defensive rebound by Team,25,28
164,2,5:52.0,Official timeout,,25,28
165,2,5:52.0,D. DeRozan enters the game for T. Ross,,25,28
166,2,5:52.0,J. Valančiūnas enters the game for L. Nogueira,,25,28
167,2,5:45.0,,T. Ulis makes 2-pt jump shot from 12 ft,25,30
168,2,5:30.0,K. Lowry makes 2-pt layup from 1 ft,,27,30
169,2,5:19.0,,A. Len makes 2-pt dunk at rim (assist by T. Ulis),27,32
170,2,5:11.0,K. Lowry makes 2-pt jump shot from 5 ft,,29,32
171,2,5:11.0,Shooting block foul by T. Ulis (drawn by K. Lowry),,29,32
172,2,5:11.0,Technical foul by K. Lowry,,29,32
173,2,5:11.0,,E. Bledsoe makes technical free throw,29,33
174,2,5:11.0,K. Lowry makes free throw 1 of 1,,30,33
175,2,4:55.0,,D. Booker misses 2-pt jump shot from 18 ft,30,33
176,2,4:54.0,Defensive rebound by K. Lowry,,30,33
177,2,4:49.0,Shooting foul by T. Ulis (drawn by J. Valančiūnas),,30,33
178,2,4:49.0,J. Valančiūnas makes free throw 1 of 2,,31,33
179,2,4:49.0,J. Valančiūnas makes free throw 2 of 2,,32,33
180,2,4:26.0,,A. Len misses 2-pt jump shot from 21 ft,32,33
181,2,4:25.0,Defensive rebound by D. DeRozan,,32,33
182,2,4:12.0,Shooting block foul by D. Bender (drawn by D. Carroll),,32,33
183,2,4:12.0,D. Carroll makes free throw 1 of 2,,33,33
184,2,4:12.0,,T. Chandler enters the game for A. Len,33,33
185,2,4:12.0,,P. Tucker enters the game for D. Bender,33,33
186,2,4:12.0,D. Carroll makes free throw 2 of 2,,34,33
187,2,4:02.0,,E. Bledsoe makes 2-pt layup from 2 ft,34,35
188,2,3:57.0,N. Powell misses 2-pt layup from 3 ft,,34,35
189,2,3:55.0,,Defensive rebound by T. Ulis,34,35
190,2,3:54.0,,Turnover by T. Ulis (bad pass; steal by N. Powell),34,35
191,2,3:52.0,N. Powell makes 2-pt layup from 1 ft,,36,35
192,2,3:37.0,,T. Ulis makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),36,38
193,2,3:22.0,D. DeRozan makes 2-pt jump shot from 4 ft,,38,38
194,2,3:00.0,,D. Booker misses 2-pt jump shot from 16 ft,38,38
195,2,2:59.0,Defensive rebound by N. Powell,,38,38
196,2,2:53.0,Turnover by D. DeRozan (lost ball; steal by T. Ulis),,38,38
197,2,2:47.0,,Personal foul by K. Lowry (drawn by T. Chandler),38,38
198,2,2:47.0,Toronto full timeout,,38,38
199,2,2:47.0,C. Joseph enters the game for D. Carroll,,38,38
200,2,2:47.0,P. Siakam enters the game for K. Lowry,,38,38
201,2,2:34.0,,E. Bledsoe makes 2-pt jump shot from 5 ft,38,40
202,2,2:11.0,D. DeRozan misses 2-pt jump shot from 18 ft,,38,40
203,2,2:10.0,,Defensive rebound by T. Chandler,38,40
204,2,1:49.0,,Turnover by E. Bledsoe (back court),38,40
205,2,1:43.0,C. Joseph misses 2-pt jump shot from 16 ft,,38,40
206,2,1:40.0,,Defensive rebound by E. Bledsoe,38,40
207,2,1:36.0,,D. Booker makes 2-pt dunk from 1 ft (assist by E. Bledsoe),38,42
208,2,1:10.0,N. Powell misses 3-pt jump shot from 24 ft,,38,42
209,2,1:09.0,Offensive rebound by C. Joseph,,38,42
210,2,1:00.0,J. Valančiūnas makes 2-pt jump shot from 5 ft,,40,42
211,2,0:45.0,,Personal foul by C. Joseph (drawn by T. Chandler),40,42
212,2,0:37.0,,Turnover by D. Booker (bad pass; steal by J. Valančiūnas),40,42
213,2,0:29.0,Turnover by C. Joseph (bad pass),,40,42
214,2,0:10.0,,E. Bledsoe misses 2-pt jump shot from 5 ft (block by N. Powell),40,42
215,2,0:09.0,,Offensive rebound by E. Bledsoe,40,42
216,2,0:06.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,40,42
217,2,0:05.0,Defensive rebound by J. Valančiūnas,,40,42
218,2,0:01.0,,Offensive charge foul by C. Joseph (drawn by E. Bledsoe),40,42
219,2,0:01.0,Turnover by C. Joseph (offensive foul),,40,42
220,3,11:48.0,,E. Bledsoe makes 2-pt layup from 3 ft,40,44
221,3,11:25.0,D. DeRozan misses 2-pt jump shot from 9 ft,,40,44
222,3,11:24.0,,Defensive rebound by T. Chandler,40,44
223,3,11:16.0,,Turnover by E. Bledsoe (lost ball; steal by D. Carroll),40,44
224,3,11:09.0,Offensive foul by J. Valančiūnas (drawn by E. Bledsoe),,40,44
225,3,11:09.0,Turnover by J. Valančiūnas (offensive foul),,40,44
226,3,10:59.0,,D. Booker misses 2-pt jump shot from 17 ft,40,44
227,3,10:58.0,Defensive rebound by J. Valančiūnas,,40,44
228,3,10:50.0,K. Lowry makes 2-pt jump shot from 14 ft,,42,44
229,3,10:43.0,Offensive charge foul by E. Bledsoe (drawn by K. Lowry),,42,44
230,3,10:43.0,,Turnover by E. Bledsoe (offensive foul),42,44
231,3,10:32.0,Personal foul by P. Tucker (drawn by J. Valančiūnas),,42,44
232,3,10:17.0,Turnover by Team (shot clock),,42,44
233,3,10:09.0,,M. Chriss misses 3-pt jump shot from 24 ft,42,44
234,3,10:06.0,Defensive rebound by Team,,42,44
235,3,9:50.0,D. DeRozan makes 2-pt jump shot from 8 ft,,44,44
236,3,9:50.0,Shooting foul by M. Chriss (drawn by D. DeRozan),,44,44
237,3,9:50.0,D. DeRozan makes free throw 1 of 1,,45,44
238,3,9:40.0,,D. Booker misses 2-pt jump shot from 12 ft (block by T. Ross),45,44
239,3,9:40.0,,Offensive rebound by Team,45,44
240,3,9:37.0,,D. Booker misses 2-pt jump shot from 15 ft,45,44
241,3,9:37.0,Defensive rebound by D. DeRozan,,45,44
242,3,9:17.0,J. Valančiūnas misses 2-pt jump shot from 12 ft,,45,44
243,3,9:16.0,Offensive rebound by J. Valančiūnas,,45,44
244,3,9:11.0,T. Ross misses 2-pt jump shot from 23 ft,,45,44
245,3,9:10.0,Offensive rebound by D. Carroll,,45,44
246,3,8:48.0,D. DeRozan misses 3-pt jump shot from 30 ft,,45,44
247,3,8:48.0,,Defensive rebound by P. Tucker,45,44
248,3,8:42.0,,D. Booker makes 2-pt layup from 1 ft (assist by E. Bledsoe),45,46
249,3,8:30.0,T. Ross makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,48,46
250,3,8:10.0,,Personal foul by T. Ross (drawn by M. Chriss),48,46
251,3,7:58.0,,D. Booker misses 2-pt jump shot from 9 ft,48,46
252,3,7:57.0,,Offensive rebound by T. Chandler,48,46
253,3,7:53.0,,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by T. Chandler),48,49
254,3,7:35.0,Turnover by J. Valančiūnas (lost ball; steal by T. Chandler),,48,49
255,3,7:28.0,,D. Booker misses 3-pt jump shot from 25 ft,48,49
256,3,7:28.0,,Offensive rebound by P. Tucker,48,49
257,3,7:12.0,,P. Tucker misses 2-pt jump shot from 12 ft,48,49
258,3,7:10.0,,Offensive rebound by T. Chandler,48,49
259,3,7:10.0,,T. Chandler misses 2-pt layup from 2 ft,48,49
260,3,7:09.0,Defensive rebound by J. Valančiūnas,,48,49
261,3,7:09.0,Personal foul by P. Tucker (drawn by J. Valančiūnas),,48,49
262,3,7:02.0,Personal foul by M. Chriss (drawn by D. Carroll),,48,49
263,3,6:48.0,T. Ross misses 3-pt jump shot from 26 ft (block by E. Bledsoe),,48,49
264,3,6:46.0,Offensive rebound by J. Valančiūnas,,48,49
265,3,6:43.0,D. DeRozan misses 3-pt jump shot from 26 ft,,48,49
266,3,6:42.0,,Defensive rebound by D. Booker,48,49
267,3,6:39.0,,P. Tucker makes 2-pt layup from 1 ft (assist by D. Booker),48,51
268,3,6:39.0,,Shooting foul by T. Ross (drawn by P. Tucker),48,51
269,3,6:39.0,,P. Tucker makes free throw 1 of 1,48,52
270,3,6:26.0,K. Lowry misses 3-pt jump shot from 29 ft,,48,52
271,3,6:25.0,,Defensive rebound by D. Booker,48,52
272,3,6:16.0,,Shooting foul by J. Valančiūnas (drawn by P. Tucker),48,52
273,3,6:16.0,,P. Tucker makes free throw 1 of 2,48,53
274,3,6:16.0,L. Nogueira enters the game for J. Valančiūnas,,48,53
275,3,6:16.0,N. Powell enters the game for T. Ross,,48,53
276,3,6:16.0,,P. Tucker makes free throw 2 of 2,48,54
277,3,6:01.0,Shooting foul by P. Tucker (drawn by D. DeRozan),,48,54
278,3,6:01.0,D. DeRozan makes free throw 1 of 2,,49,54
279,3,6:01.0,P. Siakam enters the game for D. Carroll,,49,54
280,3,6:01.0,D. DeRozan makes free throw 2 of 2,,50,54
281,3,5:44.0,,M. Chriss makes 2-pt jump shot from 22 ft (assist by D. Booker),50,56
282,3,5:31.0,Turnover by K. Lowry (lost ball),,50,56
283,3,5:31.0,,Phoenix full timeout,50,56
284,3,5:31.0,,T. Warren enters the game for P. Tucker,50,56
285,3,5:07.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,50,56
286,3,5:07.0,,Offensive rebound by Team,50,56
287,3,5:07.0,Loose ball foul by L. Nogueira (drawn by T. Chandler),,50,56
288,3,4:55.0,,T. Chandler makes 2-pt dunk at rim (assist by D. Booker),50,58
289,3,4:37.0,Turnover by N. Powell (bad pass; steal by T. Chandler),,50,58
290,3,4:25.0,,Shooting foul by N. Powell (drawn by D. Booker),50,58
291,3,4:25.0,,D. Booker makes free throw 1 of 2,50,59
292,3,4:25.0,,D. Booker makes free throw 2 of 2,50,60
293,3,4:08.0,N. Powell misses 2-pt layup at rim,,50,60
294,3,4:06.0,,Defensive rebound by D. Booker,50,60
295,3,3:58.0,,T. Warren makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),50,62
296,3,3:47.0,Personal take foul by T. Chandler (drawn by K. Lowry),,50,62
297,3,3:47.0,K. Lowry makes free throw 1 of 2,,51,62
298,3,3:47.0,,A. Len enters the game for T. Chandler,51,62
299,3,3:47.0,K. Lowry makes free throw 2 of 2,,52,62
300,3,3:27.0,,D. Booker makes 2-pt jump shot from 22 ft,52,64
301,3,3:16.0,K. Lowry makes 2-pt layup from 1 ft,,54,64
302,3,3:08.0,,Shooting foul by P. Siakam (drawn by A. Len),54,64
303,3,3:08.0,,A. Len makes free throw 1 of 2,54,65
304,3,3:08.0,,A. Len misses free throw 2 of 2,54,65
305,3,3:08.0,C. Joseph enters the game for K. Lowry,,54,65
306,3,3:07.0,Defensive rebound by N. Powell,,54,65
307,3,2:51.0,C. Joseph makes 2-pt jump shot from 7 ft,,56,65
308,3,2:31.0,,T. Warren misses 2-pt jump shot from 14 ft (block by L. Nogueira),56,65
309,3,2:30.0,Defensive rebound by P. Siakam,,56,65
310,3,2:22.0,Turnover by D. DeRozan (lost ball; steal by T. Warren),,56,65
311,3,2:20.0,,Shooting foul by D. DeRozan (drawn by T. Warren),56,65
312,3,2:20.0,,T. Warren misses free throw 1 of 2,56,65
313,3,2:20.0,,Offensive rebound by Team,56,65
314,3,2:20.0,,T. Warren misses free throw 2 of 2,56,65
315,3,2:19.0,Defensive rebound by N. Powell,,56,65
316,3,2:03.0,N. Powell misses 2-pt dunk from 1 ft,,56,65
317,3,2:01.0,Offensive rebound by P. Siakam,,56,65
318,3,2:00.0,,Violation by A. Len (def goaltending),56,65
319,3,2:00.0,P. Siakam makes 2-pt layup from 2 ft,,58,65
320,3,1:42.0,,E. Bledsoe makes 2-pt layup from 2 ft,58,67
321,3,1:28.0,Turnover by L. Nogueira (bad pass),,58,67
322,3,1:15.0,,M. Chriss makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),58,70
323,3,0:54.0,C. Joseph misses 2-pt jump shot from 20 ft,,58,70
324,3,0:53.0,,Defensive rebound by D. Booker,58,70
325,3,0:46.0,,D. Booker makes 2-pt layup from 1 ft,58,72
326,3,0:36.0,Shooting block foul by A. Len (drawn by N. Powell),,58,72
327,3,0:36.0,N. Powell makes free throw 1 of 2,,59,72
328,3,0:36.0,N. Powell makes free throw 2 of 2,,60,72
329,3,0:32.0,,Personal foul by L. Nogueira (drawn by E. Bledsoe),60,72
330,3,0:32.0,,E. Bledsoe makes free throw 1 of 2,60,73
331,3,0:32.0,,E. Bledsoe makes free throw 2 of 2,60,74
332,3,0:07.0,D. DeRozan misses 2-pt jump shot from 7 ft,,60,74
333,3,0:04.0,Offensive rebound by P. Siakam,,60,74
334,3,0:04.0,P. Siakam misses 2-pt layup from 2 ft,,60,74
335,3,0:04.0,Offensive rebound by P. Siakam,,60,74
336,3,0:04.0,P. Siakam makes 2-pt layup from 2 ft,,62,74
337,3,0:01.0,,T. Warren makes 2-pt jump shot from 10 ft,62,76
338,4,11:45.0,P. Siakam misses 2-pt jump shot from 13 ft,,62,76
339,4,11:44.0,,Defensive rebound by M. Chriss,62,76
340,4,11:38.0,,E. Bledsoe misses 2-pt layup from 2 ft,62,76
341,4,11:36.0,,Offensive rebound by T. Warren,62,76
342,4,11:36.0,,T. Warren misses 2-pt layup from 1 ft,62,76
343,4,11:35.0,Defensive rebound by C. Joseph,,62,76
344,4,11:35.0,Toronto full timeout,,62,76
345,4,11:17.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by C. Joseph),,65,76
346,4,10:59.0,,M. Chriss makes 2-pt dunk at rim (assist by E. Bledsoe),65,78
347,4,10:44.0,C. Joseph makes 2-pt jump shot from 20 ft,,67,78
348,4,10:32.0,,Shooting block foul by C. Joseph (drawn by D. Booker),67,78
349,4,10:32.0,,D. Booker makes free throw 1 of 2,67,79
350,4,10:32.0,,D. Booker misses free throw 2 of 2,67,79
351,4,10:31.0,Defensive rebound by P. Siakam,,67,79
352,4,10:27.0,Personal block foul by D. Booker (drawn by C. Joseph),,67,79
353,4,10:18.0,C. Joseph makes 3-pt jump shot from 27 ft (assist by K. Lowry),,70,79
354,4,10:17.0,,Phoenix full timeout,70,79
355,4,10:17.0,,P. Tucker enters the game for M. Chriss,70,79
356,4,10:17.0,,T. Ulis enters the game for D. Booker,70,79
357,4,10:08.0,,Personal foul by P. Siakam (drawn by E. Bledsoe),70,79
358,4,10:04.0,,Turnover by E. Bledsoe (bad pass; steal by T. Ross),70,79
359,4,10:01.0,Turnover by T. Ross (bad pass; steal by E. Bledsoe),,70,79
360,4,9:48.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by T. Warren),70,82
361,4,9:38.0,Turnover by K. Lowry (bad pass; steal by T. Warren),,70,82
362,4,9:31.0,,P. Tucker misses 3-pt jump shot from 25 ft,70,82
363,4,9:30.0,Defensive rebound by K. Lowry,,70,82
364,4,9:23.0,Personal block foul by T. Warren,,70,82
365,4,9:12.0,P. Siakam misses 2-pt dunk at rim (block by A. Len),,70,82
366,4,9:12.0,,Defensive rebound by Team,70,82
367,4,8:55.0,,T. Warren misses 2-pt jump shot from 22 ft,70,82
368,4,8:53.0,Defensive rebound by N. Powell,,70,82
369,4,8:49.0,C. Joseph makes 2-pt layup from 3 ft (assist by N. Powell),,72,82
370,4,8:29.0,,T. Ulis makes 2-pt jump shot from 5 ft,72,84
371,4,8:11.0,N. Powell makes 3-pt jump shot from 24 ft (assist by K. Lowry),,75,84
372,4,7:49.0,,A. Len misses 2-pt layup from 1 ft,75,84
373,4,7:48.0,Defensive rebound by N. Powell,,75,84
374,4,7:47.0,,Offensive charge foul by N. Powell (drawn by E. Bledsoe),75,84
375,4,7:47.0,Turnover by N. Powell (offensive foul),,75,84
376,4,7:47.0,,B. Knight enters the game for E. Bledsoe,75,84
377,4,7:29.0,,T. Ulis misses 2-pt layup from 1 ft,75,84
378,4,7:27.0,Defensive rebound by T. Ross,,75,84
379,4,7:20.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by T. Ross),,78,84
380,4,7:06.0,,Turnover by A. Len (lost ball),78,84
381,4,6:58.0,K. Lowry misses 3-pt jump shot from 26 ft,,78,84
382,4,6:57.0,,Defensive rebound by T. Ulis,78,84
383,4,6:57.0,,Phoenix full timeout,78,84
384,4,6:57.0,,T. Chandler enters the game for A. Len,78,84
