,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
66,1,4:14.0,M. Plumlee makes free throw 2 of 2,,19,16
67,1,4:01.0,,H. Barnes misses 2-pt jump shot from 17 ft,19,16
68,1,4:00.0,Defensive rebound by M. Plumlee,,19,16
69,1,3:50.0,D. Lillard misses 2-pt jump shot from 18 ft,,19,16
70,1,3:49.0,Offensive rebound by M. Plumlee,,19,16
71,1,3:44.0,D. Lillard makes 2-pt layup from 1 ft (assist by M. Plumlee),,21,16
72,1,3:42.0,,Dallas full timeout,21,16
73,1,3:42.0,,Y. Ferrell enters the game for H. Barnes,21,16
74,1,3:42.0,,D. Nowitzki enters the game for S. Curry,21,16
75,1,3:42.0,E. Davis enters the game for N. Vonleh,,21,16
76,1,3:42.0,C. McCollum enters the game for M. Plumlee,,21,16
77,1,3:42.0,A. Aminu enters the game for D. Lillard,,21,16
78,1,3:25.0,,Shooting block foul by A. Crabbe (drawn by D. Harris),21,16
79,1,3:25.0,,D. Harris makes free throw 1 of 2,21,17
80,1,3:25.0,,D. Finney-Smith enters the game for W. Matthews,21,17
81,1,3:25.0,,D. Harris makes free throw 2 of 2,21,18
82,1,3:12.0,Personal foul by Y. Ferrell (drawn by M. Harkless),,21,18
83,1,3:12.0,M. Harkless makes free throw 1 of 2,,22,18
84,1,3:12.0,M. Harkless misses free throw 2 of 2,,22,18
85,1,3:11.0,,Defensive rebound by D. Harris,22,18
86,1,2:59.0,,Y. Ferrell makes 3-pt jump shot from 24 ft,22,21
87,1,2:49.0,C. McCollum makes 2-pt jump shot from 16 ft,,24,21
88,1,2:49.0,Shooting foul by D. Harris (drawn by C. McCollum),,24,21
89,1,2:49.0,Portland full timeout,,24,21
90,1,2:49.0,C. McCollum makes free throw 1 of 1,,25,21
91,1,2:39.0,,Personal foul by A. Aminu (drawn by D. Nowitzki),25,21
92,1,2:39.0,,D. Nowitzki makes free throw 1 of 2,25,22
93,1,2:39.0,,D. Nowitzki makes free throw 2 of 2,25,23
94,1,2:27.0,A. Crabbe makes 2-pt layup from 2 ft,,27,23
95,1,2:05.0,,S. Mejri makes 2-pt hook shot from 4 ft,27,25
96,1,1:54.0,C. McCollum makes 2-pt jump shot from 10 ft,,29,25
97,1,1:40.0,,D. Finney-Smith misses 3-pt jump shot from 24 ft,29,25
98,1,1:39.0,,Offensive rebound by S. Mejri,29,25
99,1,1:35.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,29,25
100,1,1:34.0,Defensive rebound by M. Harkless,,29,25
101,1,1:25.0,C. McCollum misses 2-pt jump shot from 16 ft,,29,25
102,1,1:24.0,,Defensive rebound by D. Harris,29,25
103,1,1:18.0,,D. Harris misses 2-pt layup from 1 ft,29,25
104,1,1:17.0,Defensive rebound by E. Davis,,29,25
105,1,1:11.0,Personal foul by D. Finney-Smith (drawn by M. Harkless),,29,25
106,1,1:11.0,M. Harkless makes free throw 1 of 2,,30,25
107,1,1:11.0,M. Harkless misses free throw 2 of 2,,30,25
108,1,1:10.0,,Defensive rebound by D. Harris,30,25
109,1,0:58.0,,Personal foul by A. Crabbe (drawn by D. Nowitzki),30,25
110,1,0:58.0,,D. Nowitzki makes free throw 1 of 2,30,26
111,1,0:58.0,,D. Nowitzki makes free throw 2 of 2,30,27
112,1,0:34.0,A. Aminu misses 3-pt jump shot from 25 ft,,30,27
113,1,0:33.0,,Defensive rebound by D. Finney-Smith,30,27
114,1,0:17.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,30,27
115,1,0:15.0,Defensive rebound by A. Aminu,,30,27
116,1,0:02.0,C. McCollum misses 2-pt layup from 1 ft (block by S. Mejri),,30,27
117,1,0:00.0,Offensive rebound by E. Davis,,30,27
118,1,0:00.0,E. Davis makes 2-pt layup from 1 ft,,32,27
119,2,11:46.0,,Y. Ferrell misses 2-pt jump shot from 18 ft,32,27
120,2,11:45.0,Defensive rebound by A. Aminu,,32,27
121,2,11:25.0,A. Aminu misses 3-pt jump shot from 24 ft,,32,27
122,2,11:24.0,Offensive rebound by M. Harkless,,32,27
123,2,11:21.0,M. Harkless makes 2-pt layup at rim,,34,27
124,2,11:12.0,,Personal foul by A. Aminu (drawn by D. Nowitzki),34,27
125,2,11:00.0,,W. Matthews makes 2-pt jump shot from 12 ft,34,29
126,2,10:38.0,E. Davis misses 2-pt layup from 3 ft (block by D. Nowitzki),,34,29
127,2,10:35.0,Offensive rebound by E. Davis,,34,29
128,2,10:33.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by E. Davis),,37,29
129,2,10:12.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Finney-Smith),37,32
130,2,9:55.0,M. Harkless misses 2-pt layup from 3 ft (block by D. Nowitzki),,37,32
131,2,9:52.0,,Defensive rebound by D. Finney-Smith,37,32
132,2,9:48.0,,Y. Ferrell misses 2-pt layup from 2 ft (block by M. Harkless),37,32
133,2,9:48.0,,Offensive rebound by Team,37,32
134,2,9:44.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,37,32
135,2,9:43.0,Defensive rebound by M. Harkless,,37,32
136,2,9:32.0,Turnover by A. Crabbe (bad pass),,37,32
137,2,9:20.0,,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),37,35
138,2,8:58.0,M. Harkless misses 2-pt jump shot from 21 ft,,37,35
139,2,8:57.0,,Defensive rebound by Y. Ferrell,37,35
140,2,8:53.0,,Shooting block foul by A. Crabbe (drawn by D. Finney-Smith),37,35
141,2,8:53.0,Official timeout,,37,35
142,2,8:53.0,,D. Finney-Smith makes free throw 1 of 2,37,36
143,2,8:53.0,,S. Curry enters the game for D. Nowitzki,37,35
144,2,8:53.0,,H. Barnes enters the game for Y. Ferrell,37,35
145,2,8:53.0,D. Lillard enters the game for C. McCollum,,37,35
146,2,8:53.0,E. Turner enters the game for A. Crabbe,,37,35
147,2,8:53.0,,D. Finney-Smith makes free throw 2 of 2,37,37
148,2,8:34.0,E. Turner misses 3-pt jump shot from 22 ft,,37,37
149,2,8:33.0,,Defensive rebound by H. Barnes,37,37
150,2,8:18.0,,W. Matthews misses 2-pt jump shot from 22 ft,37,37
151,2,8:17.0,Defensive rebound by D. Lillard,,37,37
152,2,8:05.0,D. Lillard makes 2-pt layup from 2 ft,,39,37
153,2,7:49.0,,Def 3 sec tech foul by E. Davis,39,37
154,2,7:49.0,,W. Matthews makes technical free throw,39,38
155,2,7:34.0,,W. Matthews misses 3-pt jump shot from 23 ft,39,38
156,2,7:33.0,Defensive rebound by A. Aminu,,39,38
157,2,7:23.0,E. Davis makes 2-pt layup from 2 ft (assist by D. Lillard),,41,38
158,2,7:16.0,,Dallas full timeout,41,38
159,2,7:16.0,M. Plumlee enters the game for A. Aminu,,41,38
160,2,7:16.0,N. Vonleh enters the game for E. Davis,,41,38
161,2,7:06.0,,H. Barnes makes 2-pt jump shot from 4 ft,41,40
162,2,6:44.0,M. Harkless makes 3-pt jump shot from 23 ft (assist by E. Turner),,44,40
163,2,6:24.0,,W. Matthews makes 2-pt jump shot from 4 ft,44,42
164,2,6:03.0,M. Harkless misses 2-pt jump shot from 20 ft,,44,42
165,2,6:02.0,,Defensive rebound by H. Barnes,44,42
166,2,5:39.0,,H. Barnes misses 2-pt jump shot from 17 ft,44,42
167,2,5:38.0,Defensive rebound by E. Turner,,44,42
168,2,5:29.0,E. Turner makes 2-pt jump shot from 9 ft,,46,42
169,2,5:04.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,46,42
170,2,5:03.0,Defensive rebound by N. Vonleh,,46,42
171,2,4:54.0,M. Plumlee misses 2-pt jump shot from 6 ft (block by D. Powell),,46,42
172,2,4:53.0,Offensive rebound by M. Plumlee,,46,42
173,2,4:52.0,M. Plumlee makes 2-pt hook shot from 2 ft,,48,42
174,2,4:51.0,,Dallas full timeout,48,42
175,2,4:51.0,,D. Harris enters the game for W. Matthews,48,42
176,2,4:51.0,,D. Nowitzki enters the game for D. Powell,48,42
177,2,4:31.0,,D. Harris misses 2-pt jump shot from 19 ft,48,42
178,2,4:30.0,Defensive rebound by M. Plumlee,,48,42
179,2,4:23.0,Personal foul by S. Curry (drawn by M. Harkless),,48,42
180,2,4:23.0,C. McCollum enters the game for M. Harkless,,48,42
181,2,4:22.0,C. McCollum makes 2-pt dunk at rim (assist by E. Turner),,50,42
182,2,3:54.0,,H. Barnes makes 2-pt jump shot from 8 ft,50,44
183,2,3:43.0,D. Lillard makes 2-pt layup from 2 ft,,52,44
184,2,3:25.0,,D. Harris misses 3-pt jump shot from 25 ft,52,44
185,2,3:21.0,Defensive rebound by M. Plumlee,,52,44
186,2,3:11.0,D. Lillard misses 2-pt layup from 2 ft,,52,44
187,2,3:11.0,Offensive rebound by M. Plumlee,,52,44
188,2,3:11.0,,Y. Ferrell enters the game for S. Curry,52,44
189,2,3:11.0,,W. Matthews enters the game for D. Finney-Smith,52,44
190,2,3:11.0,A. Aminu enters the game for N. Vonleh,,52,44
191,2,3:07.0,M. Plumlee makes 2-pt layup from 2 ft (assist by A. Aminu),,54,44
192,2,2:53.0,,Turnover by Y. Ferrell (bad pass; steal by C. McCollum),54,44
193,2,2:40.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by C. McCollum),,57,44
194,2,2:22.0,,Y. Ferrell misses 3-pt jump shot from 24 ft,57,44
195,2,2:20.0,Defensive rebound by M. Plumlee,,57,44
196,2,2:10.0,D. Lillard makes 3-pt jump shot from 26 ft,,60,44
197,2,1:50.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Harris),60,47
198,2,1:36.0,Personal foul by Y. Ferrell (drawn by D. Lillard),,60,47
199,2,1:26.0,E. Turner misses 3-pt jump shot from 24 ft,,60,47
200,2,1:25.0,,Defensive rebound by D. Harris,60,47
201,2,1:17.0,,Personal foul by M. Plumlee (drawn by D. Nowitzki),60,47
202,2,1:10.0,,Shooting block foul by M. Plumlee (drawn by H. Barnes),60,47
203,2,1:10.0,,H. Barnes misses free throw 1 of 2,60,47
204,2,1:10.0,,Offensive rebound by Team,60,47
205,2,1:10.0,M. Harkless enters the game for M. Plumlee,,60,47
