,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DETROIT_ACTION,MEMPHIS_SCORE,DETROIT_SCORE
283,3,2:09.0,,J. Leuer misses 2-pt jump shot from 18 ft,74,61
284,3,2:09.0,Defensive rebound by M. Gasol,,74,61
285,3,1:59.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by A. Harrison),,77,61
286,3,1:58.0,,Detroit full timeout,77,61
287,3,1:58.0,,S. Johnson enters the game for A. Drummond,77,61
288,3,1:58.0,,A. Baynes enters the game for K. Caldwell-Pope,77,61
289,3,1:45.0,,S. Johnson misses 2-pt jump shot from 10 ft (block by J. Ennis),77,61
290,3,1:45.0,,Offensive rebound by Team,77,61
291,3,1:37.0,,Turnover by S. Johnson (bad pass; steal by M. Gasol),77,61
292,3,1:32.0,J. Ennis misses 2-pt layup from 1 ft,,77,61
293,3,1:31.0,,Defensive rebound by I. Smith,77,61
294,3,1:27.0,,Turnover by I. Smith (traveling),77,61
295,3,1:10.0,M. Gasol makes 2-pt layup from 1 ft (assist by Z. Randolph),,79,61
296,3,0:51.0,,J. Leuer makes 2-pt jump shot from 14 ft,79,63
297,3,0:30.0,Z. Randolph misses 2-pt layup from 1 ft,,79,63
298,3,0:29.0,,Defensive rebound by T. Harris,79,63
299,3,0:24.0,,J. Leuer misses 2-pt jump shot from 18 ft,79,63
300,3,0:23.0,Defensive rebound by A. Harrison,,79,63
301,3,0:03.0,Z. Randolph misses 3-pt jump shot from 23 ft,,79,63
302,3,0:02.0,,Defensive rebound by J. Leuer,79,63
303,4,11:52.0,,J. Leuer makes 2-pt dunk at rim (assist by I. Smith),79,65
304,4,11:52.0,,Shooting foul by J. Martin (drawn by J. Leuer),79,65
305,4,11:52.0,,J. Leuer makes free throw 1 of 1,79,66
306,4,11:39.0,T. Daniels makes 3-pt jump shot from 26 ft (assist by Z. Randolph),,82,66
307,4,11:19.0,,Shooting foul by J. Martin (drawn by J. Leuer),82,66
308,4,11:19.0,,J. Leuer makes free throw 1 of 2,82,67
309,4,11:19.0,,J. Leuer makes free throw 2 of 2,82,68
310,4,11:09.0,Personal foul by S. Johnson (drawn by T. Daniels),,82,68
311,4,10:54.0,Z. Randolph misses 2-pt jump shot from 8 ft,,82,68
312,4,10:53.0,,Defensive rebound by J. Leuer,82,68
