,QUARTER,TIME_REMAINING,HOUSTON_ACTION,INDIANA_ACTION,HOUSTON_SCORE,INDIANA_SCORE
38,1,6:46.0,,P. George makes 2-pt jump shot from 17 ft,9,12
39,1,6:35.0,T. Ariza misses 3-pt jump shot from 25 ft,,9,12
40,1,6:34.0,,Defensive rebound by M. Turner,9,12
41,1,6:29.0,,Shooting block foul by M. Harrell (drawn by T. Young),9,12
42,1,6:29.0,,T. Young misses free throw 1 of 2,9,12
43,1,6:29.0,,Offensive rebound by Team,9,12
44,1,6:29.0,,T. Young makes free throw 2 of 2,9,13
45,1,6:17.0,J. Harden misses 3-pt jump shot from 26 ft,,9,13
46,1,6:17.0,,Defensive rebound by T. Young,9,13
47,1,6:01.0,,T. Young makes 2-pt jump shot from 17 ft,9,15
48,1,5:44.0,M. Harrell misses 2-pt dunk at rim,,9,15
49,1,5:43.0,,Defensive rebound by M. Turner,9,15
50,1,5:34.0,,Personal foul by P. Beverley (drawn by M. Turner),9,15
51,1,5:34.0,,Indiana full timeout,9,15
52,1,5:34.0,C. Capela enters the game for M. Harrell,,9,15
53,1,5:34.0,E. Gordon enters the game for P. Beverley,,9,15
54,1,5:27.0,,P. George makes 2-pt layup from 1 ft,9,17
55,1,5:09.0,Shooting foul by C. Miles (drawn by C. Capela),,9,17
56,1,5:09.0,C. Capela makes free throw 1 of 2,,10,17
57,1,5:09.0,,G. Robinson enters the game for C. Miles,10,17
58,1,5:09.0,C. Capela makes free throw 2 of 2,,11,17
59,1,4:51.0,,Turnover by J. Teague (bad pass; steal by J. Harden),11,17
60,1,4:44.0,C. Capela misses 2-pt dunk at rim,,11,17
61,1,4:44.0,,Defensive rebound by P. George,11,17
62,1,4:37.0,,J. Teague misses 2-pt jump shot from 12 ft,11,17
63,1,4:36.0,Defensive rebound by C. Capela,,11,17
64,1,4:26.0,T. Ariza misses 3-pt jump shot from 23 ft,,11,17
65,1,4:26.0,,Defensive rebound by P. George,11,17
66,1,4:18.0,,P. George makes 2-pt jump shot from 19 ft,11,19
67,1,3:53.0,J. Harden misses 3-pt jump shot from 27 ft,,11,19
68,1,3:52.0,,Defensive rebound by P. George,11,19
69,1,3:48.0,,Turnover by P. George (bad pass; steal by J. Harden),11,19
70,1,3:42.0,Shooting foul by J. Teague (drawn by E. Gordon),,11,19
71,1,3:42.0,E. Gordon makes free throw 1 of 2,,12,19
72,1,3:42.0,S. Dekker enters the game for R. Anderson,,12,19
73,1,3:42.0,,L. Allen enters the game for T. Young,12,19
74,1,3:42.0,E. Gordon makes free throw 2 of 2,,13,19
75,1,3:31.0,,M. Turner makes 2-pt layup from 4 ft (assist by P. George),13,21
76,1,3:31.0,,Shooting foul by S. Dekker (drawn by M. Turner),13,21
77,1,3:31.0,,M. Turner makes free throw 1 of 1,13,22
78,1,3:18.0,E. Gordon misses 3-pt jump shot from 25 ft,,13,22
79,1,3:16.0,,Defensive rebound by P. George,13,22
80,1,3:05.0,,P. George misses 2-pt jump shot from 15 ft,13,22
81,1,3:04.0,Defensive rebound by J. Harden,,13,22
82,1,2:44.0,C. Capela makes 2-pt dunk at rim (assist by T. Ariza),,15,22
83,1,2:24.0,,Shooting foul by E. Gordon (drawn by M. Turner),15,22
84,1,2:24.0,Houston full timeout,,15,22
85,1,2:24.0,,M. Turner makes free throw 1 of 2,15,23
86,1,2:24.0,,M. Turner misses free throw 2 of 2,15,23
87,1,2:22.0,Defensive rebound by T. Ariza,,15,23
88,1,2:22.0,Turnover by T. Ariza (step out of bounds),,15,23
89,1,2:15.0,,G. Robinson makes 2-pt dunk at rim (assist by J. Teague),15,25
90,1,1:55.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,17,25
91,1,1:39.0,,L. Allen makes 2-pt jump shot from 20 ft (assist by J. Teague),17,27
92,1,1:27.0,Turnover by E. Gordon (lost ball; steal by J. Teague),,17,27
93,1,1:16.0,,L. Allen makes 2-pt layup from 2 ft (assist by J. Teague),17,29
94,1,1:01.0,J. Harden misses 2-pt layup from 2 ft,,17,29
95,1,1:00.0,,Defensive rebound by L. Allen,17,29
96,1,0:57.0,,P. George makes 2-pt dunk at rim (assist by J. Teague),17,31
97,1,0:57.0,Houston full timeout,,17,31
98,1,0:57.0,C. Brewer enters the game for T. Ariza,,17,31
99,1,0:45.0,J. Harden makes 2-pt layup from 2 ft (assist by C. Capela),,19,31
100,1,0:45.0,Shooting foul by L. Allen (drawn by J. Harden),,19,31
101,1,0:45.0,J. Harden makes free throw 1 of 1,,20,31
102,1,0:31.0,,P. George misses 2-pt jump shot from 20 ft,20,31
103,1,0:30.0,Defensive rebound by C. Capela,,20,31
104,1,0:24.0,E. Gordon misses 3-pt jump shot from 24 ft,,20,31
105,1,0:23.0,,Defensive rebound by L. Allen,20,31
106,1,0:00.0,Violation by C. Capela (def goaltending),,20,31
107,1,0:00.0,,L. Allen makes 2-pt layup from 3 ft (assist by P. George),20,33
108,2,11:37.0,,A. Brooks misses 3-pt jump shot from 27 ft,20,33
109,2,11:37.0,Defensive rebound by C. Brewer,,20,33
110,2,11:23.0,Shooting foul by A. Jefferson (drawn by P. Beverley),,20,33
111,2,11:23.0,P. Beverley makes free throw 1 of 2,,21,33
112,2,11:23.0,P. Beverley makes free throw 2 of 2,,22,33
113,2,11:13.0,,G. Robinson makes 3-pt jump shot from 25 ft (assist by M. Ellis),22,36
114,2,10:51.0,P. Beverley misses 3-pt jump shot from 26 ft,,22,36
115,2,10:51.0,,Defensive rebound by Team,22,36
116,2,10:34.0,,A. Jefferson makes 2-pt layup at rim (assist by M. Ellis),22,38
117,2,10:25.0,Personal foul by A. Jefferson (drawn by E. Gordon),,22,38
118,2,10:16.0,C. Capela makes 2-pt hook shot from 12 ft,,24,38
119,2,10:02.0,,A. Jefferson makes 2-pt jump shot from 10 ft,24,40
120,2,9:44.0,C. Capela misses 2-pt hook shot from 13 ft,,24,40
121,2,9:44.0,,Defensive rebound by G. Robinson,24,40
122,2,9:27.0,,L. Allen makes 2-pt jump shot from 18 ft (assist by A. Jefferson),24,42
123,2,9:12.0,E. Gordon makes 2-pt jump shot from 19 ft,,26,42
124,2,9:01.0,,Turnover by M. Ellis (lost ball),26,42
125,2,9:01.0,M. Harrell enters the game for C. Capela,,26,42
126,2,8:53.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by P. Beverley),,29,42
127,2,8:28.0,,A. Jefferson misses 2-pt hook shot at rim,29,42
128,2,8:27.0,,Offensive rebound by G. Robinson,29,42
129,2,8:26.0,,G. Robinson misses 2-pt layup from 1 ft (block by E. Gordon),29,42
130,2,8:25.0,Defensive rebound by P. Beverley,,29,42
131,2,8:18.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by E. Gordon),,32,42
132,2,8:17.0,,Indiana full timeout,32,42
133,2,8:17.0,,T. Young enters the game for L. Allen,32,42
134,2,8:05.0,,M. Ellis misses 2-pt jump shot from 16 ft,32,42
135,2,8:05.0,Defensive rebound by P. Beverley,,32,42
136,2,7:46.0,Shooting foul by A. Jefferson (drawn by E. Gordon),,32,42
137,2,7:46.0,E. Gordon misses free throw 1 of 2,,32,42
138,2,7:46.0,Offensive rebound by Team,,32,42
139,2,7:46.0,E. Gordon misses free throw 2 of 2,,32,42
140,2,7:46.0,,Defensive rebound by A. Brooks,32,42
141,2,7:46.0,,M. Turner enters the game for A. Jefferson,32,42
142,2,7:46.0,,P. George enters the game for G. Robinson,32,42
143,2,7:31.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by M. Ellis),32,44
144,2,7:24.0,Personal foul by A. Brooks (drawn by E. Gordon),,32,44
145,2,7:12.0,S. Dekker misses 3-pt jump shot from 28 ft,,32,44
146,2,7:10.0,,Defensive rebound by M. Ellis,32,44
147,2,6:58.0,,T. Young misses 2-pt layup from 2 ft,32,44
148,2,6:58.0,Defensive rebound by S. Dekker,,32,44
149,2,6:51.0,P. Beverley misses 2-pt jump shot from 7 ft,,32,44
150,2,6:51.0,Offensive rebound by Team,,32,44
151,2,6:51.0,,J. Teague enters the game for A. Brooks,32,44
152,2,6:42.0,P. Beverley misses 2-pt hook shot from 10 ft,,32,44
153,2,6:41.0,Offensive rebound by M. Harrell,,32,44
154,2,6:37.0,C. Brewer misses 3-pt jump shot from 28 ft,,32,44
155,2,6:36.0,Offensive rebound by P. Beverley,,32,44
156,2,6:27.0,E. Gordon misses 3-pt jump shot from 28 ft,,32,44
157,2,6:26.0,Offensive rebound by M. Harrell,,32,44
158,2,6:22.0,M. Harrell makes 2-pt hook shot from 6 ft,,34,44
159,2,6:13.0,,J. Teague makes 2-pt layup from 1 ft,34,46
160,2,6:13.0,,Shooting foul by P. Beverley (drawn by J. Teague),34,46
161,2,6:13.0,,C. Miles enters the game for M. Ellis,34,46
162,2,6:13.0,,J. Teague makes free throw 1 of 1,34,47
163,2,5:48.0,S. Dekker misses 3-pt jump shot from 23 ft,,34,47
164,2,5:48.0,,Defensive rebound by J. Teague,34,47
165,2,5:32.0,,Personal foul by E. Gordon (drawn by J. Teague),34,47
166,2,5:32.0,Official timeout,,34,47
167,2,5:32.0,T. Ariza enters the game for E. Gordon,,34,47
168,2,5:32.0,R. Anderson enters the game for S. Dekker,,34,47
169,2,5:32.0,J. Harden enters the game for C. Brewer,,34,47
170,2,5:20.0,,Turnover by J. Teague (bad pass; steal by P. Beverley),34,47
171,2,5:16.0,Turnover by J. Harden (bad pass),,34,47
172,2,5:06.0,,M. Turner misses 2-pt hook shot from 7 ft,34,47
173,2,5:06.0,Defensive rebound by T. Ariza,,34,47
174,2,4:56.0,Personal foul by T. Young (drawn by J. Harden),,34,47
175,2,4:56.0,J. Harden makes free throw 1 of 2,,35,47
176,2,4:56.0,J. Harden makes free throw 2 of 2,,36,47
177,2,4:34.0,,C. Miles misses 3-pt jump shot from 30 ft,36,47
178,2,4:34.0,Defensive rebound by Team,,36,47
179,2,4:18.0,R. Anderson makes 3-pt jump shot from 30 ft (assist by J. Harden),,39,47
180,2,4:07.0,,P. George misses 3-pt jump shot from 25 ft,39,47
181,2,4:07.0,Defensive rebound by R. Anderson,,39,47
182,2,3:44.0,J. Harden misses 2-pt layup from 1 ft (block by M. Turner),,39,47
183,2,3:43.0,Offensive rebound by J. Harden,,39,47
184,2,3:41.0,J. Harden misses 2-pt jump shot from 15 ft,,39,47
185,2,3:40.0,,Defensive rebound by M. Turner,39,47
186,2,3:23.0,,P. George misses 3-pt jump shot from 27 ft,39,47
187,2,3:21.0,Defensive rebound by T. Ariza,,39,47
188,2,2:59.0,M. Harrell makes 2-pt dunk from 1 ft,,41,47
189,2,2:32.0,,J. Teague misses 3-pt jump shot from 27 ft,41,47
190,2,2:31.0,Defensive rebound by J. Harden,,41,47
191,2,2:25.0,,Offensive charge foul by J. Harden (drawn by P. George),41,47
192,2,2:25.0,Turnover by J. Harden (offensive foul),,41,47
193,2,2:25.0,Houston full timeout,,41,47
194,2,2:25.0,C. Capela enters the game for M. Harrell,,41,47
195,2,2:25.0,E. Gordon enters the game for P. Beverley,,41,47
196,2,2:11.0,,P. George misses 2-pt jump shot from 18 ft,41,47
197,2,2:10.0,Defensive rebound by J. Harden,,41,47
198,2,2:03.0,J. Harden misses 3-pt jump shot from 26 ft,,41,47
199,2,2:02.0,,Defensive rebound by T. Young,41,47
200,2,1:58.0,,P. George makes 2-pt dunk at rim (assist by T. Young),41,49
201,2,1:50.0,T. Ariza misses 3-pt jump shot from 27 ft,,41,49
202,2,1:50.0,,Defensive rebound by P. George,41,49
203,2,1:42.0,,Turnover by T. Young (lost ball; steal by R. Anderson),41,49
204,2,1:34.0,Shooting foul by M. Turner (drawn by T. Ariza),,41,49
205,2,1:34.0,T. Ariza makes free throw 1 of 2,,42,49
206,2,1:34.0,,G. Robinson enters the game for C. Miles,42,49
207,2,1:34.0,T. Ariza makes free throw 2 of 2,,43,49
208,2,1:16.0,,J. Teague misses 2-pt layup from 1 ft (block by C. Capela),43,49
209,2,1:16.0,,Offensive rebound by Team,43,49
210,2,1:13.0,,T. Young makes 2-pt layup from 3 ft (assist by J. Teague),43,51
211,2,1:05.0,R. Anderson misses 3-pt jump shot from 23 ft,,43,51
212,2,1:05.0,,Defensive rebound by G. Robinson,43,51
213,2,0:58.0,,T. Young makes 2-pt hook shot from 6 ft (assist by J. Teague),43,53
214,2,0:45.0,Turnover by J. Harden (lost ball; steal by J. Teague),,43,53
215,2,0:41.0,,G. Robinson makes 2-pt dunk at rim (assist by J. Teague),43,55
216,2,0:31.0,J. Harden misses 3-pt jump shot from 24 ft,,43,55
217,2,0:30.0,,Defensive rebound by M. Turner,43,55
218,2,0:18.0,,P. George misses 3-pt jump shot from 27 ft,43,55
219,2,0:17.0,,Offensive rebound by M. Turner,43,55
220,2,0:13.0,,Personal foul by E. Gordon (drawn by M. Turner),43,55
221,2,0:13.0,,Indiana full timeout,43,55
222,2,0:00.0,,P. George makes 2-pt jump shot from 10 ft,43,57
223,3,11:41.0,,M. Turner misses 2-pt jump shot from 19 ft,43,57
224,3,11:40.0,Defensive rebound by T. Ariza,,43,57
225,3,11:29.0,M. Harrell makes 2-pt dunk at rim,,45,57
226,3,11:14.0,,C. Miles misses 3-pt jump shot from 27 ft,45,57
227,3,11:14.0,Defensive rebound by R. Anderson,,45,57
228,3,11:03.0,Turnover by J. Harden (bad pass),,45,57
229,3,10:50.0,,M. Turner misses 2-pt jump shot from 17 ft,45,57
230,3,10:50.0,Defensive rebound by T. Ariza,,45,57
231,3,10:44.0,Turnover by J. Harden (lost ball; steal by T. Young),,45,57
232,3,10:44.0,Loose ball foul by J. Harden (drawn by T. Young),,45,57
233,3,10:29.0,,P. George makes 2-pt layup from 2 ft,45,59
234,3,10:29.0,,Shooting foul by R. Anderson (drawn by P. George),45,59
235,3,10:29.0,,P. George makes free throw 1 of 1,45,60
236,3,10:07.0,R. Anderson misses 3-pt jump shot from 29 ft,,45,60
237,3,10:06.0,,Defensive rebound by C. Miles,45,60
238,3,9:54.0,,T. Young misses 2-pt jump shot from 5 ft (block by M. Harrell),45,60
239,3,9:53.0,,Offensive rebound by Team,45,60
240,3,9:42.0,,C. Miles misses 3-pt jump shot from 27 ft,45,60
241,3,9:41.0,,Offensive rebound by M. Turner,45,60
242,3,9:30.0,,P. George misses 2-pt jump shot from 15 ft,45,60
243,3,9:30.0,,Offensive rebound by T. Young,45,60
244,3,9:30.0,,T. Young misses 2-pt layup from 3 ft,45,60
245,3,9:29.0,,Offensive rebound by M. Turner,45,60
246,3,9:29.0,,M. Turner makes 2-pt layup from 1 ft,45,62
247,3,9:14.0,Shooting foul by P. George (drawn by J. Harden),,45,62
248,3,9:14.0,J. Harden makes free throw 1 of 2,,46,62
249,3,9:14.0,J. Harden makes free throw 2 of 2,,47,62
250,3,9:02.0,,C. Miles misses 3-pt jump shot from 27 ft,47,62
251,3,9:01.0,Defensive rebound by R. Anderson,,47,62
252,3,8:40.0,J. Harden misses 3-pt jump shot from 27 ft,,47,62
253,3,8:40.0,Offensive rebound by M. Harrell,,47,62
254,3,8:33.0,T. Ariza misses 3-pt jump shot from 24 ft,,47,62
255,3,8:33.0,,Defensive rebound by J. Teague,47,62
256,3,8:23.0,,T. Young makes 2-pt layup from 2 ft (assist by J. Teague),47,64
257,3,8:07.0,Personal foul by C. Miles (drawn by M. Harrell),,47,64
258,3,7:56.0,,Violation by M. Turner (kicked ball),47,64
259,3,7:51.0,J. Harden misses 3-pt jump shot from 25 ft,,47,64
260,3,7:50.0,Offensive rebound by R. Anderson,,47,64
261,3,7:47.0,R. Anderson misses 2-pt layup from 1 ft (block by M. Turner),,47,64
262,3,7:46.0,,Defensive rebound by M. Turner,47,64
263,3,7:40.0,,M. Turner misses 2-pt layup from 2 ft (block by P. Beverley),47,64
264,3,7:40.0,Defensive rebound by T. Ariza,,47,64
265,3,7:40.0,Personal foul by T. Young (drawn by T. Ariza),,47,64
266,3,7:32.0,P. Beverley misses 3-pt jump shot from 26 ft,,47,64
267,3,7:31.0,,Defensive rebound by P. George,47,64
268,3,7:21.0,,M. Turner misses 2-pt jump shot from 18 ft,47,64
269,3,7:21.0,Defensive rebound by Team,,47,64
270,3,7:21.0,,Loose ball foul by P. George (drawn by P. Beverley),47,64
271,3,7:21.0,C. Capela enters the game for M. Harrell,,47,64
272,3,7:08.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),,50,64
273,3,6:51.0,,Personal foul by P. Beverley (drawn by P. George),50,64
274,3,6:45.0,,Def 3 sec tech foul by J. Harden,50,64
275,3,6:45.0,,P. George makes technical free throw,50,65
276,3,6:30.0,,J. Teague misses 2-pt jump shot from 18 ft,50,65
277,3,6:30.0,Defensive rebound by J. Harden,,50,65
278,3,6:24.0,J. Harden makes 3-pt jump shot from 26 ft,,53,65
279,3,6:23.0,,Indiana full timeout,53,65
280,3,6:05.0,,P. George makes 2-pt dunk from 2 ft,53,67
281,3,5:51.0,R. Anderson misses 3-pt jump shot from 23 ft,,53,67
282,3,5:50.0,,Defensive rebound by P. George,53,67
283,3,5:41.0,,P. George makes 3-pt jump shot from 27 ft (assist by J. Teague),53,70
284,3,5:27.0,R. Anderson makes 2-pt layup from 1 ft,,55,70
285,3,5:13.0,,Personal foul by P. Beverley (drawn by M. Turner),55,70
286,3,5:13.0,E. Gordon enters the game for P. Beverley,,55,70
287,3,5:04.0,,Shooting foul by E. Gordon (drawn by J. Teague),55,70
288,3,5:04.0,,J. Teague makes free throw 1 of 2,55,71
289,3,5:04.0,,J. Teague makes free throw 2 of 2,55,72
290,3,4:48.0,R. Anderson makes 2-pt layup from 3 ft (assist by J. Harden),,57,72
291,3,4:37.0,,M. Turner makes 2-pt layup from 3 ft (assist by J. Teague),57,74
292,3,4:37.0,,Shooting foul by C. Capela (drawn by M. Turner),57,74
293,3,4:37.0,,M. Turner makes free throw 1 of 1,57,75
294,3,4:27.0,J. Harden misses 3-pt jump shot from 27 ft,,57,75
295,3,4:27.0,,Defensive rebound by Team,57,75
296,3,4:27.0,Loose ball foul by C. Capela (drawn by M. Turner),,57,75
297,3,4:27.0,,M. Turner makes free throw 1 of 2,57,76
298,3,4:27.0,,M. Turner misses free throw 2 of 2,57,76
299,3,4:27.0,Defensive rebound by T. Ariza,,57,76
300,3,4:14.0,E. Gordon makes 2-pt layup from 1 ft,,59,76
301,3,4:06.0,,J. Teague makes 2-pt layup from 2 ft,59,78
302,3,3:53.0,E. Gordon misses 3-pt jump shot from 26 ft,,59,78
303,3,3:52.0,Offensive rebound by C. Capela,,59,78
304,3,3:49.0,E. Gordon misses 3-pt jump shot from 23 ft (block by M. Turner),,59,78
305,3,3:47.0,,Defensive rebound by J. Teague,59,78
306,3,3:40.0,,Turnover by C. Miles (bad pass; steal by C. Capela),59,78
307,3,3:32.0,Shooting foul by J. Teague (drawn by J. Harden),,59,78
308,3,3:32.0,J. Harden makes free throw 1 of 2,,60,78
309,3,3:32.0,S. Dekker enters the game for T. Ariza,,60,78
310,3,3:32.0,,G. Robinson enters the game for C. Miles,60,78
311,3,3:32.0,,L. Allen enters the game for T. Young,60,78
312,3,3:32.0,J. Harden makes free throw 2 of 2,,61,78
313,3,3:22.0,,G. Robinson makes 3-pt jump shot from 23 ft (assist by J. Teague),61,81
314,3,3:10.0,Personal foul by L. Allen (drawn by R. Anderson),,61,81
315,3,3:10.0,R. Anderson makes free throw 1 of 2,,62,81
316,3,3:10.0,R. Anderson misses free throw 2 of 2,,62,81
317,3,3:10.0,,Defensive rebound by P. George,62,81
318,3,2:58.0,Houston full timeout,,62,81
319,3,2:55.0,,Turnover by P. George (bad pass; steal by J. Harden),62,81
320,3,2:45.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,64,81
321,3,2:31.0,,J. Teague makes 2-pt jump shot from 6 ft,64,83
322,3,2:17.0,Turnover by E. Gordon (bad pass; steal by M. Turner),,64,83
323,3,1:59.0,,Shooting foul by J. Harden (drawn by J. Teague),64,83
324,3,1:59.0,,J. Teague makes free throw 1 of 2,64,84
325,3,1:59.0,,J. Teague makes free throw 2 of 2,64,85
326,3,1:51.0,E. Gordon misses 2-pt layup from 4 ft (block by J. Teague),,64,85
327,3,1:51.0,Offensive rebound by Team,,64,85
328,3,1:48.0,J. Harden makes 3-pt jump shot from 25 ft (assist by S. Dekker),,67,85
329,3,1:32.0,,Personal foul by J. Harden (drawn by P. George),67,85
330,3,1:32.0,,P. George makes free throw 1 of 2,67,86
331,3,1:32.0,,P. George makes free throw 2 of 2,67,87
332,3,1:14.0,R. Anderson makes 3-pt jump shot from 28 ft (assist by E. Gordon),,70,87
333,3,0:57.0,,P. George makes 2-pt jump shot from 20 ft,70,89
334,3,0:37.0,J. Harden misses 2-pt jump shot from 12 ft,,70,89
335,3,0:37.0,,Defensive rebound by Team,70,89
336,3,0:37.0,Loose ball foul by J. Harden (drawn by M. Turner),,70,89
337,3,0:37.0,,M. Turner misses free throw 1 of 2,70,89
338,3,0:37.0,,Offensive rebound by Team,70,89
339,3,0:37.0,P. Beverley enters the game for J. Harden,,70,89
340,3,0:37.0,,M. Ellis enters the game for P. George,70,89
341,3,0:37.0,,M. Turner makes free throw 2 of 2,70,90
342,3,0:26.0,P. Beverley misses 3-pt jump shot from 26 ft,,70,90
343,3,0:23.0,,Defensive rebound by G. Robinson,70,90
344,3,0:03.0,,J. Teague misses 3-pt jump shot from 26 ft,70,90
345,3,0:01.0,Defensive rebound by R. Anderson,,70,90
346,4,11:46.0,Shooting block foul by A. Jefferson (drawn by E. Gordon),,70,90
347,4,11:46.0,E. Gordon makes free throw 1 of 2,,71,90
348,4,11:46.0,E. Gordon makes free throw 2 of 2,,72,90
349,4,11:34.0,,G. Robinson makes 2-pt dunk from 2 ft (assist by M. Ellis),72,92
350,4,11:22.0,R. Anderson misses 2-pt jump shot from 18 ft,,72,92
351,4,11:21.0,,Defensive rebound by M. Ellis,72,92
352,4,10:56.0,,A. Brooks misses 3-pt jump shot from 26 ft,72,92
353,4,10:54.0,Defensive rebound by C. Capela,,72,92
354,4,10:43.0,R. Anderson makes 2-pt dunk from 3 ft (assist by P. Beverley),,74,92
355,4,10:43.0,Shooting foul by A. Brooks (drawn by R. Anderson),,74,92
356,4,10:43.0,R. Anderson makes free throw 1 of 1,,75,92
357,4,10:31.0,,Personal foul by R. Anderson (drawn by L. Allen),75,92
358,4,10:20.0,,G. Robinson makes 2-pt jump shot from 10 ft,75,94
359,4,10:07.0,E. Gordon makes 2-pt layup from 2 ft (assist by P. Beverley),,77,94
360,4,10:07.0,Shooting foul by M. Ellis (drawn by E. Gordon),,77,94
361,4,10:07.0,E. Gordon makes free throw 1 of 1,,78,94
362,4,9:47.0,,A. Brooks makes 2-pt layup from 2 ft,78,96
363,4,9:27.0,R. Anderson misses 3-pt jump shot from 29 ft,,78,96
364,4,9:26.0,Offensive rebound by S. Dekker,,78,96
365,4,9:25.0,S. Dekker makes 2-pt layup from 1 ft,,80,96
366,4,9:07.0,,L. Allen makes 2-pt layup from 2 ft (assist by M. Ellis),80,98
367,4,8:47.0,R. Anderson makes 3-pt jump shot from 23 ft (assist by P. Beverley),,83,98
368,4,8:22.0,,A. Jefferson makes 2-pt layup from 2 ft (assist by L. Allen),83,100
369,4,8:07.0,E. Gordon misses 3-pt jump shot from 25 ft,,83,100
370,4,8:06.0,,Defensive rebound by G. Robinson,83,100
371,4,7:54.0,,G. Robinson misses 2-pt jump shot from 10 ft (block by S. Dekker),83,100
372,4,7:54.0,,Offensive rebound by Team,83,100
373,4,7:54.0,Official timeout,,83,100
374,4,7:54.0,,P. George enters the game for G. Robinson,83,100
375,4,7:54.0,,T. Young enters the game for L. Allen,83,100
376,4,7:54.0,,J. Teague enters the game for A. Brooks,83,100
377,4,7:54.0,J. Harden enters the game for C. Capela,,83,100
378,4,7:54.0,M. Harrell enters the game for E. Gordon,,83,100
379,4,7:43.0,,M. Ellis misses 2-pt jump shot from 18 ft,83,100
380,4,7:42.0,Defensive rebound by S. Dekker,,83,100
381,4,7:31.0,Turnover by J. Harden (bad pass; steal by A. Jefferson),,83,100
382,4,7:25.0,,P. George makes 3-pt jump shot from 26 ft,83,103
383,4,7:10.0,S. Dekker makes 2-pt layup from 3 ft,,85,103
384,4,6:56.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by J. Teague),85,105
385,4,6:32.0,Turnover by S. Dekker (lost ball),,85,105
386,4,6:32.0,,M. Turner enters the game for A. Jefferson,85,105
387,4,6:21.0,,P. George misses 2-pt jump shot from 21 ft,85,105
388,4,6:19.0,Defensive rebound by P. Beverley,,85,105
389,4,6:14.0,S. Dekker makes 2-pt layup from 2 ft (assist by J. Harden),,87,105
390,4,6:03.0,,Personal foul by M. Harrell (drawn by T. Young),87,105
391,4,5:50.0,,M. Ellis misses 3-pt jump shot from 23 ft,87,105
392,4,5:49.0,Defensive rebound by R. Anderson,,87,105
393,4,5:39.0,J. Harden misses 2-pt layup at rim (block by M. Turner),,87,105
