,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MEMPHIS_ACTION,MILWAUKEE_SCORE,MEMPHIS_SCORE
81,1,2:19.0,J. Henson misses 2-pt layup from 1 ft,,22,26
82,1,2:15.0,Offensive rebound by J. Henson,,22,26
83,1,2:15.0,J. Henson misses 2-pt layup from 1 ft,,22,26
84,1,2:14.0,,Defensive rebound by A. Harrison,22,26
85,1,2:11.0,,T. Daniels misses 3-pt jump shot from 25 ft,22,26
86,1,2:08.0,,Offensive rebound by M. Gasol,22,26
87,1,1:59.0,,J. Ennis misses 2-pt jump shot from 22 ft,22,26
88,1,1:59.0,Defensive rebound by J. Terry,,22,26
89,1,1:43.0,T. Snell makes 2-pt jump shot from 11 ft,,24,26
90,1,1:21.0,,M. Gasol misses 2-pt jump shot from 22 ft,24,26
91,1,1:21.0,,Offensive rebound by Team,24,26
92,1,1:20.0,K. Middleton enters the game for T. Snell,,24,26
93,1,1:00.0,,M. Gasol makes 2-pt layup from 1 ft (assist by Z. Randolph),24,28
94,1,0:48.0,M. Brogdon misses 3-pt jump shot from 25 ft,,24,28
95,1,0:48.0,,Defensive rebound by Z. Randolph,24,28
96,1,0:31.0,,J. Ennis makes 2-pt dunk at rim (assist by M. Gasol),24,30
97,1,0:08.0,Turnover by M. Brogdon (bad pass; steal by M. Gasol),,24,30
98,1,0:03.0,,M. Conley enters the game for J. Ennis,24,30
99,2,11:36.0,K. Middleton misses 2-pt jump shot from 17 ft,,24,30
100,2,11:35.0,,Defensive rebound by T. Daniels,24,30
101,2,11:26.0,,Z. Randolph makes 2-pt jump shot from 19 ft,24,32
102,2,11:09.0,J. Terry misses 3-pt jump shot from 23 ft,,24,32
103,2,11:09.0,,Defensive rebound by M. Conley,24,32
104,2,10:57.0,,M. Conley misses 3-pt jump shot from 25 ft,24,32
105,2,10:57.0,Defensive rebound by J. Henson,,24,32
106,2,10:46.0,Shooting foul by A. Harrison (drawn by K. Middleton),,24,32
107,2,10:46.0,K. Middleton makes free throw 1 of 2,,25,32
108,2,10:46.0,K. Middleton makes free throw 2 of 2,,26,32
109,2,10:30.0,,A. Harrison misses 2-pt layup from 1 ft (block by J. Henson),26,32
110,2,10:28.0,,Offensive rebound by T. Daniels,26,32
111,2,10:24.0,,T. Daniels makes 3-pt jump shot from 24 ft,26,35
112,2,10:07.0,K. Middleton misses 3-pt jump shot from 26 ft,,26,35
113,2,10:06.0,Offensive rebound by J. Henson,,26,35
114,2,10:03.0,J. Henson makes 2-pt hook shot from 8 ft,,28,35
115,2,9:48.0,,B. Wright makes 2-pt dunk at rim (assist by M. Conley),28,37
116,2,9:33.0,M. Dellavedova makes 2-pt layup from 2 ft (assist by J. Henson),,30,37
117,2,9:19.0,,Z. Randolph misses 2-pt jump shot from 22 ft,30,37
118,2,9:19.0,,Offensive rebound by Team,30,37
119,2,9:19.0,Loose ball foul by M. Teletović (drawn by B. Wright),,30,37
120,2,9:12.0,,T. Daniels misses 2-pt jump shot from 18 ft,30,37
121,2,9:12.0,Defensive rebound by J. Terry,,30,37
122,2,8:58.0,J. Henson misses 2-pt hook shot from 9 ft,,30,37
123,2,8:56.0,,Defensive rebound by T. Daniels,30,37
124,2,8:45.0,,T. Daniels makes 3-pt jump shot from 26 ft (assist by A. Harrison),30,40
125,2,8:45.0,Milwaukee full timeout,,30,40
126,2,8:27.0,M. Dellavedova makes 3-pt jump shot from 23 ft (assist by K. Middleton),,33,40
127,2,8:05.0,,Shooting foul by K. Middleton (drawn by A. Harrison),33,40
128,2,8:05.0,,A. Harrison makes free throw 1 of 2,33,41
129,2,8:05.0,,M. Gasol enters the game for B. Wright,33,41
130,2,8:05.0,G. Monroe enters the game for J. Henson,,33,41
131,2,8:05.0,,A. Harrison makes free throw 2 of 2,33,42
132,2,7:53.0,Turnover by M. Dellavedova (bad pass; steal by T. Daniels),,33,42
133,2,7:48.0,,Z. Randolph makes 2-pt hook shot from 4 ft (assist by M. Conley),33,44
134,2,7:48.0,,Shooting foul by G. Monroe (drawn by Z. Randolph),33,44
135,2,7:48.0,,T. Allen enters the game for A. Harrison,33,44
136,2,7:48.0,M. Brogdon enters the game for J. Terry,,33,44
137,2,7:48.0,,Z. Randolph makes free throw 1 of 1,33,45
138,2,7:29.0,K. Middleton misses 3-pt jump shot from 24 ft,,33,45
139,2,7:28.0,,Defensive rebound by Z. Randolph,33,45
140,2,7:18.0,,M. Gasol misses 2-pt jump shot from 11 ft,33,45
141,2,7:18.0,,Offensive rebound by Team,33,45
142,2,6:58.0,,Z. Randolph misses 2-pt hook shot from 9 ft,33,45
143,2,6:53.0,Defensive rebound by M. Teletović,,33,45
144,2,6:40.0,M. Dellavedova misses 3-pt jump shot from 27 ft,,33,45
145,2,6:38.0,,Defensive rebound by T. Allen,33,45
146,2,6:22.0,,T. Daniels misses 3-pt jump shot from 26 ft,33,45
147,2,6:22.0,Defensive rebound by M. Dellavedova,,33,45
148,2,6:08.0,M. Brogdon makes 3-pt jump shot from 23 ft (assist by G. Monroe),,36,45
149,2,5:56.0,,Memphis full timeout,36,45
150,2,5:56.0,,J. Green enters the game for Z. Randolph,36,45
151,2,5:56.0,,V. Carter enters the game for T. Daniels,36,45
152,2,5:56.0,G. Antetokounmpo enters the game for M. Teletović,,36,45
153,2,5:50.0,,Turnover by T. Allen (dbl dribble),36,45
154,2,5:32.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,36,45
155,2,5:30.0,,Defensive rebound by M. Gasol,36,45
156,2,5:18.0,Offensive charge foul by M. Conley (drawn by K. Middleton),,36,45
157,2,5:18.0,,Turnover by M. Conley (offensive foul),36,45
158,2,5:07.0,G. Monroe makes 2-pt layup from 1 ft (assist by M. Brogdon),,38,45
159,2,5:07.0,Shooting foul by V. Carter (drawn by G. Monroe),,38,45
160,2,5:07.0,,A. Harrison enters the game for M. Conley,38,45
161,2,5:07.0,G. Monroe makes free throw 1 of 1,,39,45
162,2,4:52.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by A. Harrison),39,48
163,2,4:30.0,G. Monroe misses 2-pt hook shot from 6 ft,,39,48
164,2,4:29.0,,Defensive rebound by V. Carter,39,48
165,2,4:21.0,,Turnover by T. Allen (bad pass; steal by M. Brogdon),39,48
166,2,4:18.0,Shooting foul by A. Harrison (drawn by G. Antetokounmpo),,39,48
167,2,4:18.0,G. Antetokounmpo makes 2-pt jump shot from 8 ft (assist by M. Brogdon),,41,48
168,2,4:18.0,G. Antetokounmpo makes free throw 1 of 1,,42,48
169,2,4:03.0,,T. Allen makes 3-pt jump shot from 24 ft (assist by A. Harrison),42,51
170,2,3:48.0,M. Brogdon misses 3-pt jump shot from 26 ft,,42,51
171,2,3:48.0,,Defensive rebound by Team,42,51
172,2,3:33.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by A. Harrison),42,53
173,2,3:18.0,M. Dellavedova makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,45,53
174,2,3:01.0,,Shooting foul by G. Monroe (drawn by M. Gasol),45,53
175,2,3:01.0,,M. Gasol misses free throw 1 of 2,45,53
176,2,3:01.0,,Offensive rebound by Team,45,53
177,2,3:01.0,T. Snell enters the game for K. Middleton,,45,53
178,2,3:01.0,,M. Gasol makes free throw 2 of 2,45,54
179,2,2:51.0,Offensive foul by M. Dellavedova (drawn by A. Harrison),,45,54
180,2,2:51.0,Turnover by M. Dellavedova (offensive foul),,45,54
181,2,2:51.0,,Memphis full timeout,45,54
182,2,2:51.0,,M. Conley enters the game for A. Harrison,45,54
183,2,2:35.0,,M. Gasol misses 2-pt hook shot from 7 ft,45,54
184,2,2:33.0,Defensive rebound by G. Monroe,,45,54
185,2,2:20.0,Turnover by G. Monroe (lost ball; steal by V. Carter),,45,54
186,2,2:14.0,,V. Carter makes 2-pt dunk at rim (assist by J. Green),45,56
187,2,1:58.0,Personal foul by T. Allen (drawn by G. Antetokounmpo),,45,56
188,2,1:52.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,45,56
189,2,1:52.0,,Defensive rebound by T. Allen,45,56
190,2,1:37.0,,Def 3 sec tech foul by M. Brogdon,45,56
191,2,1:37.0,,M. Conley misses technical free throw,45,56
192,2,1:37.0,,Offensive rebound by Team,45,56
193,2,1:24.0,,M. Conley misses 3-pt jump shot from 23 ft,45,56
194,2,1:24.0,Defensive rebound by T. Snell,,45,56
195,2,1:05.0,G. Antetokounmpo misses 3-pt jump shot from 24 ft,,45,56
196,2,1:05.0,Offensive rebound by M. Brogdon,,45,56
197,2,1:02.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Brogdon),,47,56
198,2,1:02.0,Shooting foul by M. Gasol (drawn by G. Antetokounmpo),,47,56
199,2,1:02.0,G. Antetokounmpo makes free throw 1 of 1,,48,56
200,2,0:45.0,,M. Gasol makes 2-pt layup from 2 ft (assist by M. Conley),48,58
201,2,0:25.0,M. Dellavedova makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,51,58
202,2,0:25.0,Violation by Team (jump ball),,51,58
203,2,0:01.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by M. Conley),51,61
204,3,11:46.0,T. Maker makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,54,61
205,3,11:22.0,,M. Conley makes 3-pt jump shot from 23 ft (assist by M. Gasol),54,64
206,3,10:59.0,Turnover by K. Middleton (bad pass; steal by M. Conley),,54,64
207,3,10:53.0,,T. Allen misses 2-pt layup at rim (block by T. Maker),54,64
208,3,10:53.0,,Offensive rebound by Team,54,64
209,3,10:43.0,,V. Carter makes 3-pt jump shot from 27 ft (assist by M. Gasol),54,67
210,3,10:24.0,T. Snell misses 2-pt jump shot from 22 ft,,54,67
211,3,10:24.0,,Defensive rebound by M. Gasol,54,67
212,3,10:12.0,,V. Carter makes 3-pt jump shot from 24 ft (assist by M. Gasol),54,70
213,3,9:58.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Green),,54,70
214,3,9:50.0,,Shooting foul by K. Middleton (drawn by T. Allen),54,70
215,3,9:50.0,Milwaukee full timeout,,54,70
216,3,9:50.0,,T. Allen misses free throw 1 of 2,54,70
217,3,9:50.0,,Offensive rebound by Team,54,70
218,3,9:50.0,,T. Allen misses free throw 2 of 2,54,70
219,3,9:49.0,Defensive rebound by G. Antetokounmpo,,54,70
220,3,9:38.0,Personal foul by M. Conley (drawn by G. Antetokounmpo),,54,70
221,3,9:33.0,Shooting foul by V. Carter (drawn by K. Middleton),,54,70
222,3,9:33.0,K. Middleton makes free throw 1 of 2,,55,70
223,3,9:33.0,K. Middleton makes free throw 2 of 2,,56,70
224,3,9:12.0,,T. Allen makes 2-pt layup from 2 ft (assist by M. Gasol),56,72
225,3,9:10.0,,Violation by Team (jump ball),56,72
226,3,8:52.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,56,72
227,3,8:51.0,,Defensive rebound by J. Green,56,72
228,3,8:33.0,,Turnover by J. Green (step out of bounds),56,72
229,3,8:08.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,59,72
230,3,7:55.0,,Personal foul by T. Maker (drawn by M. Gasol),59,72
231,3,7:47.0,,Personal foul by T. Maker (drawn by M. Gasol),59,72
232,3,7:47.0,G. Monroe enters the game for T. Maker,,59,72
233,3,7:39.0,,M. Gasol makes 2-pt layup from 3 ft,59,74
234,3,7:13.0,Turnover by M. Dellavedova (bad pass; steal by M. Gasol),,59,74
235,3,7:07.0,,M. Conley makes 2-pt jump shot from 16 ft (assist by T. Allen),59,76
236,3,6:43.0,M. Dellavedova misses 2-pt jump shot from 21 ft,,59,76
237,3,6:43.0,Offensive rebound by K. Middleton,,59,76
238,3,6:37.0,G. Monroe makes 2-pt hook shot from 5 ft (assist by K. Middleton),,61,76
239,3,6:17.0,M. Brogdon enters the game for M. Dellavedova,,61,76
240,3,6:11.0,,M. Conley misses 3-pt jump shot from 27 ft,61,76
241,3,6:10.0,Defensive rebound by T. Snell,,61,76
242,3,5:53.0,K. Middleton misses 3-pt jump shot from 23 ft,,61,76
243,3,5:52.0,,Defensive rebound by M. Gasol,61,76
244,3,5:45.0,,Personal foul by T. Snell (drawn by M. Conley),61,76
245,3,5:45.0,,A. Harrison enters the game for M. Conley,61,76
246,3,5:35.0,,T. Allen misses 2-pt jump shot from 8 ft,61,76
247,3,5:34.0,Defensive rebound by G. Antetokounmpo,,61,76
248,3,5:24.0,G. Antetokounmpo makes 2-pt jump shot from 19 ft,,63,76
249,3,5:09.0,,Turnover by A. Harrison (bad pass; steal by G. Monroe),63,76
250,3,5:06.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,65,76
251,3,5:06.0,Shooting foul by V. Carter (drawn by G. Antetokounmpo),,65,76
252,3,5:06.0,G. Antetokounmpo misses free throw 1 of 1,,65,76
253,3,5:06.0,,T. Daniels enters the game for T. Allen,65,76
254,3,5:06.0,,J. Ennis enters the game for V. Carter,65,76
255,3,5:05.0,,Defensive rebound by T. Daniels,65,76
256,3,4:43.0,,M. Gasol makes 2-pt jump shot from 21 ft (assist by T. Daniels),65,78
257,3,4:27.0,Personal foul by J. Ennis (drawn by K. Middleton),,65,78
258,3,4:24.0,Turnover by G. Monroe (lost ball),,65,78
259,3,4:06.0,,A. Harrison misses 2-pt jump shot from 14 ft (block by M. Brogdon),65,78
260,3,4:04.0,Defensive rebound by G. Monroe,,65,78
261,3,4:01.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,65,78
262,3,3:58.0,Offensive rebound by T. Snell,,65,78
263,3,3:55.0,M. Brogdon makes 3-pt jump shot from 24 ft (assist by T. Snell),,68,78
264,3,3:55.0,,Memphis full timeout,68,78
265,3,3:55.0,,B. Wright enters the game for J. Green,68,78
266,3,3:55.0,J. Terry enters the game for K. Middleton,,68,78
267,3,3:30.0,,A. Harrison misses 2-pt jump shot from 22 ft,68,78
268,3,3:28.0,Defensive rebound by G. Monroe,,68,78
269,3,3:15.0,M. Brogdon misses 2-pt layup from 1 ft,,68,78
270,3,3:14.0,,Defensive rebound by M. Gasol,68,78
271,3,3:01.0,,Turnover by T. Daniels (bad pass),68,78
272,3,3:01.0,,M. Conley enters the game for A. Harrison,68,78
273,3,2:39.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,68,78
274,3,2:39.0,,Defensive rebound by M. Gasol,68,78
275,3,2:29.0,,M. Gasol misses 3-pt jump shot from 25 ft,68,78
276,3,2:28.0,,Offensive rebound by Team,68,78
277,3,2:28.0,,Z. Randolph enters the game for M. Gasol,68,78
278,3,2:14.0,,T. Daniels misses 2-pt layup from 1 ft,68,78
279,3,2:12.0,Defensive rebound by G. Antetokounmpo,,68,78
280,3,2:08.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,68,78
281,3,2:02.0,,Defensive rebound by Z. Randolph,68,78
282,3,1:59.0,,Turnover by T. Daniels (lost ball),68,78
283,3,1:44.0,G. Monroe makes 2-pt jump shot from 6 ft (assist by M. Brogdon),,70,78
284,3,1:31.0,,Turnover by J. Ennis (lost ball; steal by G. Monroe),70,78
285,3,1:26.0,Turnover by G. Monroe (bad pass; steal by M. Conley),,70,78
286,3,1:23.0,,Shooting foul by M. Brogdon (drawn by M. Conley),70,78
287,3,1:23.0,,M. Conley makes free throw 1 of 2,70,79
288,3,1:23.0,,A. Harrison enters the game for T. Daniels,70,79
289,3,1:23.0,,M. Conley makes free throw 2 of 2,70,80
290,3,1:14.0,Offensive foul by M. Brogdon (drawn by A. Harrison),,70,80
291,3,1:14.0,Turnover by M. Brogdon (offensive foul),,70,80
292,3,0:59.0,,Z. Randolph misses 2-pt hook shot from 7 ft,70,80
293,3,0:57.0,,Offensive rebound by B. Wright,70,80
294,3,0:57.0,,B. Wright makes 2-pt layup from 1 ft,70,82
295,3,0:33.0,J. Terry makes 3-pt jump shot from 25 ft (assist by T. Snell),,73,82
296,3,0:26.0,,A. Harrison makes 3-pt jump shot from 25 ft (assist by M. Conley),73,85
297,3,0:07.0,Shooting foul by B. Wright (drawn by G. Antetokounmpo),,73,85
298,3,0:07.0,G. Antetokounmpo misses free throw 1 of 2,,73,85
299,3,0:07.0,Offensive rebound by Team,,73,85
300,3,0:07.0,,V. Carter enters the game for A. Harrison,73,85
301,3,0:07.0,,T. Daniels enters the game for B. Wright,73,85
302,3,0:07.0,G. Antetokounmpo makes free throw 2 of 2,,74,85
303,3,0:02.0,,M. Conley misses 3-pt jump shot from 26 ft,74,85
304,3,0:01.0,Defensive rebound by G. Monroe,,74,85
305,4,11:35.0,,A. Harrison misses 2-pt jump shot from 9 ft,74,85
306,4,11:35.0,Defensive rebound by M. Teletović,,74,85
307,4,11:08.0,K. Middleton misses 2-pt jump shot from 22 ft,,74,85
308,4,11:08.0,,Defensive rebound by Z. Randolph,74,85
309,4,10:51.0,,Z. Randolph makes 2-pt jump shot from 21 ft (assist by M. Conley),74,87
310,4,10:37.0,Personal foul by A. Harrison (drawn by M. Brogdon),,74,87
311,4,10:28.0,M. Brogdon makes 2-pt layup from 1 ft,,76,87
312,4,10:09.0,,Z. Randolph makes 2-pt jump shot from 20 ft (assist by M. Conley),76,89
313,4,9:45.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by M. Brogdon),,79,89
314,4,9:27.0,,A. Harrison makes 2-pt layup from 1 ft,79,91
315,4,9:27.0,,Shooting foul by J. Henson (drawn by A. Harrison),79,91
316,4,9:27.0,,V. Carter enters the game for J. Ennis,79,91
317,4,9:27.0,,A. Harrison makes free throw 1 of 1,79,92
318,4,9:11.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by J. Terry),,82,92
319,4,8:51.0,,Z. Randolph misses 2-pt jump shot from 8 ft,82,92
320,4,8:49.0,Defensive rebound by K. Middleton,,82,92
321,4,8:38.0,M. Brogdon misses 2-pt jump shot from 9 ft,,82,92
322,4,8:38.0,Offensive rebound by Team,,82,92
323,4,8:38.0,Milwaukee full timeout,,82,92
324,4,8:38.0,,T. Allen enters the game for A. Harrison,82,92
325,4,8:38.0,,M. Gasol enters the game for B. Wright,82,92
326,4,8:31.0,J. Henson misses 2-pt hook shot from 5 ft,,82,92
327,4,8:29.0,,Defensive rebound by M. Gasol,82,92
328,4,8:17.0,,Personal foul by M. Teletović (drawn by Z. Randolph),82,92
329,4,8:01.0,,M. Conley makes 2-pt jump shot from 7 ft,82,94
330,4,7:39.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by K. Middleton),,85,94
331,4,7:18.0,,Offensive foul by M. Gasol (drawn by J. Henson),85,94
332,4,7:18.0,,Turnover by M. Gasol (offensive foul),85,94
333,4,6:55.0,M. Brogdon misses 2-pt layup from 1 ft,,85,94
334,4,6:54.0,Offensive rebound by M. Brogdon,,85,94
335,4,6:53.0,M. Brogdon makes 2-pt layup from 2 ft,,87,94
336,4,6:53.0,Violation by Team (jump ball),,87,94
337,4,6:53.0,Technical foul by Team,,87,94
338,4,6:53.0,,M. Conley makes technical free throw,87,95
339,4,6:31.0,,M. Gasol misses 2-pt jump shot from 10 ft,87,95
340,4,6:30.0,,Offensive rebound by Z. Randolph,87,95
341,4,6:30.0,,Z. Randolph misses 2-pt layup from 1 ft,87,95
342,4,6:29.0,,Offensive rebound by Z. Randolph,87,95
343,4,6:29.0,,Z. Randolph misses 2-pt layup from 1 ft,87,95
344,4,6:28.0,,Offensive rebound by T. Allen,87,95
345,4,6:08.0,,Z. Randolph makes 2-pt hook shot from 7 ft (assist by M. Conley),87,97
346,4,5:50.0,K. Middleton misses 3-pt jump shot from 23 ft,,87,97
347,4,5:49.0,,Defensive rebound by V. Carter,87,97
348,4,5:29.0,,Z. Randolph makes 2-pt hook shot from 7 ft (assist by M. Conley),87,99
349,4,5:29.0,Milwaukee full timeout,,87,99
350,4,5:29.0,G. Antetokounmpo enters the game for J. Terry,,87,99
351,4,5:29.0,G. Monroe enters the game for J. Henson,,87,99
352,4,5:14.0,Turnover by M. Brogdon (bad pass),,87,99
353,4,5:05.0,,Personal foul by M. Teletović (drawn by M. Gasol),87,99
354,4,4:57.0,,M. Conley makes 2-pt jump shot from 5 ft (assist by M. Gasol),87,101
355,4,4:47.0,Personal foul by V. Carter (drawn by G. Antetokounmpo),,87,101
356,4,4:35.0,Shooting foul by Z. Randolph (drawn by G. Monroe),,87,101
357,4,4:35.0,G. Monroe makes free throw 1 of 2,,88,101
358,4,4:35.0,G. Monroe makes free throw 2 of 2,,89,101
359,4,4:21.0,,T. Allen makes 3-pt jump shot from 25 ft (assist by M. Conley),89,104
360,4,4:08.0,Shooting foul by T. Allen (drawn by M. Brogdon),,89,104
361,4,4:08.0,M. Brogdon makes free throw 1 of 2,,90,104
362,4,4:08.0,T. Snell enters the game for M. Teletović,,90,104
363,4,4:08.0,M. Brogdon makes free throw 2 of 2,,91,104
364,4,3:57.0,,Shooting foul by G. Antetokounmpo (drawn by V. Carter),91,104
365,4,3:57.0,,V. Carter makes free throw 1 of 2,91,105
366,4,3:57.0,,J. Green enters the game for Z. Randolph,91,105
367,4,3:57.0,,V. Carter makes free throw 2 of 2,91,106
368,4,3:45.0,Turnover by G. Antetokounmpo (bad pass; steal by V. Carter),,91,106
369,4,3:30.0,,M. Conley misses 3-pt jump shot from 26 ft,91,106
370,4,3:29.0,Defensive rebound by G. Antetokounmpo,,91,106
371,4,3:14.0,G. Monroe misses 2-pt hook shot from 6 ft,,91,106
372,4,3:11.0,,Defensive rebound by T. Allen,91,106
373,4,2:47.0,,T. Allen makes 2-pt layup from 2 ft,91,108
374,4,2:31.0,G. Monroe misses 2-pt layup from 1 ft,,91,108
375,4,2:31.0,Offensive rebound by G. Monroe,,91,108
376,4,2:30.0,G. Monroe makes 2-pt layup from 1 ft,,93,108
377,4,2:19.0,,Memphis full timeout,93,108
