,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,TORONTO_ACTION,SAN ANTONIO_SCORE,TORONTO_SCORE
127,2,9:10.0,,K. Lowry makes free throw 2 of 3,38,33
128,2,9:10.0,,K. Lowry makes free throw 3 of 3,38,34
129,2,8:47.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by K. Anderson),,40,34
130,2,8:28.0,,P. Patterson makes 2-pt jump shot from 11 ft,40,36
131,2,8:19.0,,Offensive charge foul by D. Murray (drawn by P. Patterson),40,36
132,2,8:19.0,Turnover by D. Murray (offensive foul),,40,36
133,2,8:09.0,,L. Nogueira makes 2-pt dunk at rim (assist by C. Joseph),40,38
134,2,8:09.0,San Antonio full timeout,,40,38
135,2,7:48.0,Shooting foul by L. Nogueira (drawn by K. Anderson),,40,38
136,2,7:48.0,K. Anderson makes free throw 1 of 2,,41,38
137,2,7:48.0,K. Anderson makes free throw 2 of 2,,42,38
138,2,7:35.0,,K. Lowry misses 3-pt jump shot from 26 ft,42,38
139,2,7:33.0,,Offensive rebound by L. Nogueira,42,38
140,2,7:30.0,,L. Nogueira misses 2-pt layup from 2 ft,42,38
141,2,7:26.0,,Offensive rebound by L. Nogueira,42,38
142,2,7:26.0,,L. Nogueira misses 2-pt layup from 2 ft,42,38
143,2,7:26.0,Defensive rebound by D. Lee,,42,38
144,2,7:17.0,Shooting foul by P. Patterson (drawn by L. Aldridge),,42,38
145,2,7:17.0,L. Aldridge makes free throw 1 of 2,,43,38
146,2,7:17.0,,J. Valančiūnas enters the game for L. Nogueira,43,38
147,2,7:17.0,,J. Sullinger enters the game for P. Patterson,43,38
148,2,7:17.0,L. Aldridge makes free throw 2 of 2,,44,38
149,2,6:56.0,,Shooting foul by D. Lee (drawn by K. Lowry),44,38
150,2,6:56.0,,K. Lowry makes free throw 1 of 2,44,39
151,2,6:56.0,,N. Powell enters the game for T. Ross,44,39
152,2,6:56.0,,K. Lowry makes free throw 2 of 2,44,40
153,2,6:38.0,Shooting foul by J. Sullinger (drawn by L. Aldridge),,44,40
154,2,6:38.0,L. Aldridge makes free throw 1 of 2,,45,40
155,2,6:38.0,,D. Carroll enters the game for C. Joseph,45,40
156,2,6:38.0,P. Mills enters the game for D. Murray,,45,40
157,2,6:38.0,D. Green enters the game for K. Anderson,,45,40
158,2,6:38.0,L. Aldridge makes free throw 2 of 2,,46,40
159,2,6:14.0,,N. Powell misses 3-pt jump shot from 25 ft,46,40
160,2,6:13.0,Defensive rebound by B. Forbes,,46,40
161,2,6:05.0,B. Forbes makes 3-pt jump shot from 27 ft,,49,40
162,2,6:05.0,,Toronto full timeout,49,40
163,2,6:05.0,D. Dedmon enters the game for L. Aldridge,,49,40
164,2,5:53.0,,K. Lowry misses 2-pt hook shot from 6 ft,49,40
165,2,5:52.0,Defensive rebound by D. Lee,,49,40
166,2,5:41.0,D. Green misses 3-pt jump shot from 25 ft,,49,40
167,2,5:41.0,,Defensive rebound by J. Valančiūnas,49,40
168,2,5:34.0,,D. Carroll misses 3-pt jump shot from 24 ft,49,40
169,2,5:33.0,Defensive rebound by D. Lee,,49,40
170,2,5:28.0,P. Mills makes 2-pt layup from 2 ft,,51,40
171,2,5:28.0,Shooting foul by J. Valančiūnas (drawn by P. Mills),,51,40
172,2,5:28.0,P. Mills misses free throw 1 of 1,,51,40
173,2,5:26.0,,Defensive rebound by D. Carroll,51,40
174,2,5:10.0,,N. Powell makes 2-pt layup from 2 ft,51,42
175,2,4:58.0,Turnover by D. Lee (bad pass; steal by N. Powell),,51,42
176,2,4:42.0,,D. Carroll misses 3-pt jump shot from 26 ft,51,42
177,2,4:41.0,Defensive rebound by D. Dedmon,,51,42
178,2,4:31.0,Shooting foul by J. Sullinger (drawn by D. Lee),,51,42
179,2,4:31.0,D. Lee makes free throw 1 of 2,,52,42
180,2,4:31.0,D. Lee misses free throw 2 of 2,,52,42
181,2,4:31.0,M. Ginóbili enters the game for B. Forbes,,52,42
182,2,4:31.0,,P. Patterson enters the game for J. Sullinger,52,42
183,2,4:29.0,,Defensive rebound by J. Valančiūnas,52,42
184,2,4:15.0,,Turnover by J. Valančiūnas (lost ball; steal by P. Mills),52,42
185,2,4:00.0,M. Ginóbili misses 2-pt jump shot from 9 ft,,52,42
186,2,4:00.0,Offensive rebound by Team,,52,42
187,2,4:00.0,,Loose ball foul by K. Lowry (drawn by D. Dedmon),52,42
188,2,4:00.0,D. Dedmon misses free throw 1 of 2,,52,42
189,2,4:00.0,Offensive rebound by Team,,52,42
190,2,4:00.0,D. Dedmon makes free throw 2 of 2,,53,42
191,2,3:39.0,,K. Lowry misses 3-pt jump shot from 24 ft,53,42
192,2,3:38.0,,Offensive rebound by D. Carroll,53,42
193,2,3:33.0,,N. Powell misses 3-pt jump shot from 23 ft,53,42
194,2,3:32.0,Defensive rebound by D. Green,,53,42
195,2,3:15.0,D. Green makes 2-pt jump shot from 11 ft,,55,42
196,2,2:52.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by J. Valančiūnas),55,45
197,2,2:40.0,D. Lee makes 2-pt layup from 4 ft (assist by P. Mills),,57,45
198,2,2:30.0,,Shooting foul by D. Dedmon (drawn by J. Valančiūnas),57,45
199,2,2:30.0,Official timeout,,57,45
200,2,2:30.0,,J. Valančiūnas makes free throw 1 of 2,57,46
201,2,2:30.0,,C. Joseph enters the game for D. Carroll,57,45
202,2,2:30.0,K. Anderson enters the game for D. Lee,,57,45
203,2,2:30.0,,J. Valančiūnas makes free throw 2 of 2,57,47
204,2,2:20.0,,L. Nogueira enters the game for J. Valančiūnas,57,47
205,2,2:20.0,L. Aldridge enters the game for D. Dedmon,,57,47
206,2,2:13.0,K. Anderson misses 2-pt jump shot at rim (block by N. Powell),,57,47
207,2,2:13.0,Offensive rebound by Team,,57,47
208,2,2:08.0,L. Aldridge makes 2-pt jump shot from 23 ft (assist by P. Mills),,59,47
209,2,1:52.0,,N. Powell makes 2-pt jump shot from 19 ft,59,49
210,2,1:27.0,M. Ginóbili misses 2-pt layup from 2 ft,,59,49
211,2,1:26.0,,Defensive rebound by K. Lowry,59,49
212,2,1:19.0,,N. Powell misses 2-pt jump shot from 5 ft,59,49
213,2,1:18.0,Defensive rebound by D. Green,,59,49
214,2,1:10.0,P. Mills makes 2-pt layup from 2 ft (assist by D. Green),,61,49
215,2,0:51.0,,K. Lowry misses 3-pt jump shot from 26 ft,61,49
216,2,0:49.0,Defensive rebound by K. Anderson,,61,49
217,2,0:39.0,P. Mills misses 3-pt jump shot from 24 ft,,61,49
218,2,0:38.0,,Defensive rebound by P. Patterson,61,49
219,2,0:31.0,,P. Patterson makes 3-pt jump shot from 23 ft (assist by K. Lowry),61,52
220,2,0:14.0,L. Aldridge misses 2-pt jump shot from 13 ft,,61,52
221,2,0:13.0,,Defensive rebound by P. Patterson,61,52
222,2,0:02.0,,K. Lowry misses 2-pt layup from 3 ft,61,52
223,2,0:02.0,,Offensive rebound by L. Nogueira,61,52
224,2,0:02.0,,L. Nogueira makes 2-pt dunk at rim,61,54
225,3,11:43.0,L. Aldridge misses 2-pt jump shot from 21 ft,,61,54
226,3,11:43.0,,Defensive rebound by J. Valančiūnas,61,54
227,3,11:31.0,,J. Sullinger misses 3-pt jump shot from 25 ft,61,54
228,3,11:31.0,Defensive rebound by Team,,61,54
229,3,11:12.0,Turnover by D. Green (bad pass; steal by D. Carroll),,61,54
230,3,11:06.0,,D. Carroll misses 2-pt layup from 2 ft (block by D. Green),61,54
231,3,11:04.0,Defensive rebound by L. Aldridge,,61,54
232,3,10:51.0,D. Murray makes 2-pt layup from 1 ft (assist by D. Lee),,63,54
233,3,10:31.0,,K. Lowry misses 3-pt jump shot from 24 ft,63,54
234,3,10:31.0,,Offensive rebound by D. Carroll,63,54
235,3,10:26.0,,D. Carroll misses 2-pt layup from 2 ft (block by K. Anderson),63,54
236,3,10:24.0,Defensive rebound by K. Anderson,,63,54
237,3,10:07.0,Turnover by L. Aldridge (traveling),,63,54
238,3,9:49.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft,63,54
239,3,9:48.0,Defensive rebound by Team,,63,54
240,3,9:48.0,,Loose ball foul by D. Carroll (drawn by K. Anderson),63,54
241,3,9:39.0,Turnover by D. Lee (bad pass; steal by J. Sullinger),,63,54
242,3,9:32.0,,T. Ross enters the game for D. Carroll,63,54
243,3,9:32.0,,L. Nogueira enters the game for J. Sullinger,63,54
244,3,9:32.0,,N. Powell misses 2-pt layup from 2 ft (block by D. Green),63,54
245,3,9:31.0,Defensive rebound by D. Green,,63,54
246,3,9:10.0,Personal foul by N. Powell (drawn by D. Murray),,63,54
247,3,9:02.0,D. Lee misses 2-pt jump shot from 9 ft (block by J. Valančiūnas),,63,54
248,3,9:02.0,Offensive rebound by Team,,63,54
249,3,9:00.0,Shooting foul by T. Ross (drawn by D. Murray),,63,54
250,3,9:00.0,D. Murray misses free throw 1 of 2,,63,54
251,3,9:00.0,Offensive rebound by Team,,63,54
252,3,9:00.0,D. Murray makes free throw 2 of 2,,64,54
253,3,8:47.0,,Turnover by J. Valančiūnas (lost ball; steal by L. Aldridge),64,54
254,3,8:25.0,D. Green misses 3-pt jump shot from 22 ft,,64,54
255,3,8:25.0,,Defensive rebound by J. Valančiūnas,64,54
256,3,8:17.0,,K. Lowry makes 2-pt layup from 2 ft,64,56
257,3,7:50.0,K. Anderson misses 2-pt jump shot from 11 ft,,64,56
258,3,7:50.0,,Defensive rebound by K. Lowry,64,56
259,3,7:42.0,,K. Lowry misses 3-pt jump shot from 26 ft,64,56
260,3,7:41.0,Defensive rebound by D. Lee,,64,56
261,3,7:36.0,K. Anderson makes 2-pt jump shot from 5 ft (assist by D. Lee),,66,56
262,3,7:26.0,,Toronto full timeout,66,56
263,3,7:26.0,M. Ginóbili enters the game for D. Green,,66,56
264,3,7:26.0,P. Mills enters the game for D. Murray,,66,56
265,3,7:13.0,,Shooting foul by D. Lee (drawn by T. Ross),66,56
266,3,7:13.0,,T. Ross makes free throw 1 of 2,66,57
267,3,7:13.0,,T. Ross makes free throw 2 of 2,66,58
268,3,6:52.0,P. Mills misses 2-pt jump shot from 20 ft,,66,58
269,3,6:51.0,,Defensive rebound by N. Powell,66,58
270,3,6:44.0,,N. Powell makes 2-pt dunk at rim,66,60
271,3,6:42.0,San Antonio full timeout,,66,60
272,3,6:35.0,Turnover by M. Ginóbili (bad pass; steal by J. Valančiūnas),,66,60
273,3,6:34.0,,Personal foul by K. Anderson (drawn by N. Powell),66,60
274,3,6:34.0,D. Dedmon enters the game for D. Lee,,66,60
275,3,6:24.0,,Offensive foul by J. Valančiūnas (drawn by P. Mills),66,60
276,3,6:24.0,,Turnover by J. Valančiūnas (offensive foul),66,60
277,3,6:11.0,Turnover by D. Dedmon (bad pass; steal by L. Nogueira),,66,60
278,3,6:07.0,Offensive charge foul by K. Lowry (drawn by P. Mills),,66,60
279,3,6:07.0,,Turnover by K. Lowry (offensive foul),66,60
280,3,5:54.0,L. Aldridge misses 2-pt hook shot from 5 ft,,66,60
281,3,5:54.0,,Defensive rebound by J. Valančiūnas,66,60
282,3,5:34.0,,K. Lowry makes 2-pt layup from 5 ft,66,62
283,3,5:25.0,M. Ginóbili makes 2-pt jump shot from 16 ft,,68,62
284,3,5:25.0,Shooting foul by T. Ross (drawn by M. Ginóbili),,68,62
285,3,5:25.0,M. Ginóbili misses free throw 1 of 1,,68,62
286,3,5:22.0,,Defensive rebound by J. Valančiūnas,68,62
287,3,5:08.0,,Turnover by K. Lowry (bad pass),68,62
288,3,5:08.0,D. Green enters the game for K. Anderson,,68,62
289,3,4:51.0,L. Aldridge misses 2-pt jump shot from 15 ft,,68,62
290,3,4:50.0,,Defensive rebound by L. Nogueira,68,62
291,3,4:34.0,,Shooting foul by L. Aldridge (drawn by J. Valančiūnas),68,62
292,3,4:34.0,,J. Valančiūnas misses free throw 1 of 2,68,62
293,3,4:34.0,,Offensive rebound by Team,68,62
294,3,4:34.0,,J. Valančiūnas makes free throw 2 of 2,68,63
295,3,4:20.0,P. Mills misses 3-pt jump shot from 22 ft,,68,63
296,3,4:20.0,Offensive rebound by Team,,68,63
297,3,4:20.0,,Loose ball foul by K. Lowry (drawn by L. Aldridge),68,63
298,3,4:20.0,L. Aldridge makes free throw 1 of 2,,69,63
299,3,4:20.0,L. Aldridge makes free throw 2 of 2,,70,63
300,3,4:07.0,,K. Lowry makes 2-pt jump shot from 4 ft,70,65
301,3,3:49.0,D. Bertāns enters the game for L. Aldridge,,70,65
302,3,3:49.0,,C. Joseph enters the game for K. Lowry,70,65
303,3,3:49.0,,P. Patterson enters the game for J. Valančiūnas,70,65
304,3,3:44.0,P. Mills misses 3-pt jump shot from 25 ft,,70,65
305,3,3:44.0,,Defensive rebound by N. Powell,70,65
306,3,3:34.0,,T. Ross makes 2-pt jump shot from 16 ft,70,67
307,3,3:34.0,,Shooting foul by D. Green (drawn by T. Ross),70,67
308,3,3:34.0,,T. Ross makes free throw 1 of 1,70,68
309,3,3:19.0,P. Mills misses 2-pt layup from 1 ft (block by L. Nogueira),,70,68
310,3,3:18.0,Offensive rebound by Team,,70,68
311,3,3:14.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,70,68
312,3,3:13.0,,Defensive rebound by L. Nogueira,70,68
313,3,3:02.0,,C. Joseph makes 2-pt layup from 3 ft,70,70
314,3,2:41.0,D. Green makes 2-pt jump shot from 5 ft,,72,70
315,3,2:29.0,,C. Joseph makes 2-pt jump shot from 6 ft,72,72
316,3,2:19.0,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),,75,72
317,3,2:07.0,,C. Joseph makes 2-pt jump shot from 19 ft,75,74
318,3,1:58.0,Shooting foul by N. Powell (drawn by M. Ginóbili),,75,74
319,3,1:58.0,M. Ginóbili makes free throw 1 of 2,,76,74
320,3,1:58.0,M. Ginóbili misses free throw 2 of 2,,76,74
321,3,1:57.0,,Defensive rebound by P. Patterson,76,74
322,3,1:41.0,,P. Patterson makes 2-pt layup from 3 ft (assist by N. Powell),76,76
323,3,1:26.0,D. Green misses 3-pt jump shot from 24 ft,,76,76
324,3,1:26.0,,Defensive rebound by C. Joseph,76,76
325,3,1:19.0,,Personal block foul by P. Mills,76,76
326,3,1:19.0,,T. Ross misses free throw 1 of 2,76,76
327,3,1:19.0,,Offensive rebound by Team,76,76
328,3,1:19.0,,T. Ross makes free throw 2 of 2,76,77
329,3,1:06.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,76,77
330,3,1:05.0,,Defensive rebound by C. Joseph,76,77
331,3,0:57.0,,Turnover by C. Joseph (bad pass; steal by P. Mills),76,77
332,3,0:51.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by P. Mills),,79,77
333,3,0:33.0,,C. Joseph makes 2-pt layup from 1 ft,79,79
334,3,0:12.0,P. Mills misses 2-pt jump shot from 19 ft,,79,79
335,3,0:11.0,Offensive rebound by D. Green,,79,79
336,3,0:07.0,D. Green misses 2-pt jump shot from 9 ft,,79,79
337,3,0:06.0,Offensive rebound by D. Dedmon,,79,79
338,3,0:05.0,D. Dedmon misses 2-pt layup from 3 ft,,79,79
339,3,0:05.0,Offensive rebound by Team,,79,79
340,3,0:05.0,,F. VanVleet enters the game for N. Powell,79,79
341,3,0:00.0,D. Bertāns misses 3-pt jump shot from 24 ft,,79,79
342,3,0:00.0,,Defensive rebound by T. Ross,79,79
343,4,11:44.0,,K. Lowry misses 2-pt layup from 1 ft,79,79
344,4,11:43.0,,Offensive rebound by L. Nogueira,79,79
345,4,11:40.0,,Turnover by T. Ross (bad pass; steal by D. Bertāns),79,79
346,4,11:33.0,D. Murray makes 2-pt layup from 2 ft (assist by D. Bertāns),,81,79
347,4,11:18.0,,T. Ross makes 3-pt jump shot from 25 ft,81,82
348,4,10:54.0,D. Lee misses 2-pt hook shot from 6 ft,,81,82
349,4,10:54.0,,Defensive rebound by L. Nogueira,81,82
350,4,10:45.0,,T. Ross makes 3-pt jump shot from 26 ft,81,85
351,4,10:33.0,Shooting foul by K. Lowry (drawn by D. Bertāns),,81,85
352,4,10:33.0,D. Bertāns makes free throw 1 of 2,,82,85
353,4,10:33.0,D. Bertāns makes free throw 2 of 2,,83,85
354,4,10:25.0,,Shooting foul by B. Forbes (drawn by T. Ross),83,85
355,4,10:25.0,,T. Ross makes free throw 1 of 3,83,86
356,4,10:25.0,,T. Ross misses free throw 2 of 3,83,86
357,4,10:25.0,,Offensive rebound by Team,83,86
358,4,10:25.0,,T. Ross makes free throw 3 of 3,83,87
359,4,10:05.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by K. Anderson),,86,87
360,4,9:46.0,,L. Nogueira misses 2-pt hook shot from 6 ft,86,87
361,4,9:45.0,Defensive rebound by K. Anderson,,86,87
362,4,9:35.0,Shooting foul by T. Ross (drawn by K. Anderson),,86,87
363,4,9:35.0,K. Anderson makes free throw 1 of 2,,87,87
364,4,9:35.0,K. Anderson makes free throw 2 of 2,,88,87
365,4,9:17.0,,L. Nogueira makes 2-pt layup from 4 ft (assist by P. Patterson),88,89
366,4,9:06.0,Shooting foul by L. Nogueira (drawn by D. Murray),,88,89
367,4,9:06.0,D. Murray makes free throw 1 of 2,,89,89
368,4,9:06.0,L. Aldridge enters the game for D. Lee,,89,89
369,4,9:06.0,D. Murray makes free throw 2 of 2,,90,89
370,4,8:55.0,,P. Patterson misses 3-pt jump shot from 23 ft,90,89
371,4,8:54.0,Defensive rebound by D. Murray,,90,89
372,4,8:43.0,B. Forbes misses 3-pt jump shot from 25 ft,,90,89
373,4,8:43.0,,Defensive rebound by L. Nogueira,90,89
374,4,8:26.0,,C. Joseph misses 2-pt jump shot from 16 ft,90,89
375,4,8:26.0,Defensive rebound by D. Murray,,90,89
376,4,8:15.0,D. Bertāns makes 2-pt dunk at rim,,92,89
377,4,8:11.0,,Toronto full timeout,92,89
378,4,8:11.0,,N. Powell enters the game for L. Nogueira,92,89
379,4,8:11.0,,J. Valančiūnas enters the game for P. Patterson,92,89
380,4,7:59.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),92,91
381,4,7:41.0,D. Murray makes 2-pt layup from 2 ft (assist by D. Bertāns),,94,91
382,4,7:23.0,,T. Ross misses 3-pt jump shot from 24 ft,94,91
383,4,7:23.0,,Offensive rebound by Team,94,91
384,4,7:23.0,Loose ball foul by L. Aldridge (drawn by J. Valančiūnas),,94,91
385,4,7:23.0,D. Green enters the game for B. Forbes,,94,91
386,4,7:23.0,P. Mills enters the game for D. Bertāns,,94,91
