,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
108,1,0:25.0,,P. George makes free throw 1 of 2,19,24
109,1,0:25.0,,P. George makes free throw 2 of 2,19,25
110,1,0:04.0,G. Monroe makes 2-pt jump shot from 4 ft (assist by K. Middleton),,21,25
111,1,0:00.0,,C. Miles misses 3-pt jump shot from 26 ft,21,25
112,1,0:00.0,,Offensive rebound by Team,21,25
113,2,11:45.0,J. Terry makes 2-pt jump shot from 9 ft (assist by K. Middleton),,23,25
114,2,11:42.0,,Turnover by K. Séraphin (lost ball),23,25
115,2,11:33.0,K. Middleton misses 2-pt layup from 4 ft,,23,25
116,2,11:33.0,,Defensive rebound by T. Young,23,25
117,2,11:20.0,,A. Brooks misses 2-pt layup from 2 ft,23,25
118,2,11:18.0,,Offensive rebound by K. Séraphin,23,25
119,2,11:13.0,,T. Young makes 2-pt layup from 2 ft (assist by A. Brooks),23,27
120,2,10:55.0,Turnover by G. Monroe (bad pass; steal by C. Miles),,23,27
121,2,10:32.0,,L. Stephenson makes 2-pt jump shot from 18 ft,23,29
122,2,10:13.0,M. Teletović makes 3-pt jump shot from 25 ft (assist by J. Terry),,26,29
123,2,9:56.0,,A. Brooks makes 3-pt jump shot from 25 ft (assist by L. Stephenson),26,32
124,2,9:35.0,Turnover by M. Teletović (lost ball; steal by C. Miles),,26,32
125,2,9:24.0,,K. Séraphin misses 2-pt jump shot from 14 ft,26,32
126,2,9:23.0,Defensive rebound by G. Payton,,26,32
127,2,9:17.0,G. Monroe misses 2-pt layup from 2 ft,,26,32
128,2,9:16.0,,Defensive rebound by K. Séraphin,26,32
129,2,9:07.0,,Turnover by K. Séraphin (lost ball; steal by G. Monroe),26,32
130,2,8:56.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by J. Terry),,29,32
131,2,8:43.0,,Personal foul by K. Middleton,29,32
132,2,8:43.0,Official timeout,,29,32
133,2,8:43.0,,M. Turner enters the game for K. Séraphin,29,32
134,2,8:36.0,,Turnover by L. Stephenson (bad pass; steal by K. Middleton),29,32
135,2,8:23.0,K. Middleton makes 2-pt jump shot from 15 ft (assist by J. Terry),,31,32
136,2,8:05.0,,Turnover by C. Miles (bad pass; steal by K. Middleton),31,32
137,2,7:59.0,G. Payton makes 2-pt dunk from 2 ft (assist by J. Terry),,33,32
138,2,7:32.0,,C. Miles makes 3-pt jump shot from 25 ft (assist by L. Stephenson),33,35
139,2,7:17.0,M. Teletović makes 3-pt jump shot from 25 ft (assist by G. Payton),,36,35
140,2,6:56.0,,L. Stephenson misses 2-pt layup from 4 ft (block by G. Payton),36,35
141,2,6:56.0,,Offensive rebound by Team,36,35
142,2,6:56.0,,P. George enters the game for T. Young,36,35
143,2,6:56.0,,J. Teague enters the game for A. Brooks,36,35
144,2,6:56.0,T. Snell enters the game for J. Terry,,36,35
145,2,6:54.0,,Personal foul by G. Payton (drawn by J. Teague),36,35
146,2,6:41.0,,Shooting foul by G. Payton (drawn by J. Teague),36,35
147,2,6:41.0,,J. Teague misses free throw 1 of 2,36,35
148,2,6:41.0,,Offensive rebound by Team,36,35
149,2,6:41.0,,J. Teague makes free throw 2 of 2,36,36
150,2,6:25.0,Turnover by G. Payton (traveling),,36,36
151,2,6:04.0,,P. George makes 2-pt jump shot from 18 ft,36,38
152,2,5:50.0,G. Monroe makes 2-pt layup from 2 ft (assist by K. Middleton),,38,38
153,2,5:37.0,,P. George makes 2-pt jump shot from 17 ft,38,40
154,2,5:14.0,Turnover by T. Snell (bad pass; steal by P. George),,38,40
155,2,5:12.0,,P. George makes 2-pt dunk at rim,38,42
156,2,5:11.0,Milwaukee full timeout,,38,42
157,2,5:11.0,M. Dellavedova enters the game for K. Middleton,,38,42
158,2,5:11.0,G. Antetokounmpo enters the game for G. Payton,,38,42
159,2,5:11.0,,M. Ellis enters the game for L. Stephenson,38,42
160,2,5:01.0,Turnover by M. Dellavedova (bad pass; steal by M. Ellis),,38,42
161,2,4:55.0,,J. Teague misses 2-pt layup from 3 ft (block by M. Teletović),38,42
162,2,4:54.0,Defensive rebound by M. Teletović,,38,42
163,2,4:52.0,Turnover by M. Dellavedova (lost ball; steal by C. Miles),,38,42
164,2,4:47.0,,J. Teague misses 3-pt jump shot from 24 ft,38,42
165,2,4:45.0,,Offensive rebound by P. George,38,42
166,2,4:41.0,,C. Miles misses 3-pt jump shot from 24 ft,38,42
167,2,4:41.0,,Offensive rebound by C. Miles,38,42
168,2,4:37.0,,P. George misses 3-pt jump shot from 24 ft,38,42
169,2,4:37.0,,Offensive rebound by C. Miles,38,42
170,2,4:37.0,,Turnover by C. Miles (step out of bounds),38,42
171,2,4:22.0,Turnover by M. Dellavedova (bad pass; steal by M. Ellis),,38,42
172,2,4:18.0,,M. Ellis makes 2-pt layup from 2 ft,38,44
173,2,4:04.0,Turnover by M. Dellavedova (bad pass; steal by M. Turner),,38,44
174,2,3:55.0,,J. Teague makes 2-pt layup from 3 ft,38,46
175,2,3:55.0,Milwaukee full timeout,,38,46
176,2,3:55.0,T. Maker enters the game for G. Monroe,,38,46
177,2,3:39.0,Turnover by G. Antetokounmpo (lost ball; steal by P. George),,38,46
178,2,3:19.0,,M. Turner makes 2-pt dunk from 3 ft (assist by J. Teague),38,48
179,2,3:03.0,M. Teletović makes 3-pt jump shot from 23 ft (assist by M. Dellavedova),,41,48
180,2,2:57.0,,Shooting foul by T. Maker (drawn by M. Ellis),41,48
181,2,2:57.0,,Indiana full timeout,41,48
182,2,2:57.0,,M. Ellis misses free throw 1 of 2,41,48
183,2,2:57.0,,Offensive rebound by Team,41,48
184,2,2:57.0,,M. Ellis makes free throw 2 of 2,41,49
185,2,2:42.0,Shooting foul by M. Turner (drawn by G. Antetokounmpo),,41,49
186,2,2:42.0,G. Antetokounmpo makes free throw 1 of 2,,42,49
187,2,2:42.0,G. Antetokounmpo makes free throw 2 of 2,,43,49
188,2,2:28.0,,J. Teague makes 2-pt jump shot from 14 ft,43,51
189,2,2:07.0,T. Maker makes 2-pt hook shot from 12 ft,,45,51
190,2,1:53.0,,J. Teague misses 3-pt jump shot from 26 ft,45,51
191,2,1:52.0,Defensive rebound by T. Snell,,45,51
192,2,1:39.0,M. Teletović misses 3-pt jump shot from 25 ft,,45,51
193,2,1:38.0,Offensive rebound by G. Antetokounmpo,,45,51
194,2,1:27.0,Personal foul by C. Miles,,45,51
195,2,1:27.0,,K. Séraphin enters the game for M. Turner,45,51
196,2,1:20.0,Personal foul by P. George (drawn by G. Antetokounmpo),,45,51
197,2,1:20.0,G. Antetokounmpo misses free throw 1 of 2,,45,51
198,2,1:20.0,Offensive rebound by Team,,45,51
199,2,1:20.0,,L. Stephenson enters the game for P. George,45,51
200,2,1:20.0,G. Antetokounmpo makes free throw 2 of 2,,46,51
201,2,1:02.0,,Shooting foul by T. Maker (drawn by K. Séraphin),46,51
202,2,1:02.0,,K. Séraphin makes free throw 1 of 2,46,52
203,2,1:02.0,,K. Séraphin makes free throw 2 of 2,46,53
204,2,0:51.0,Shooting foul by J. Teague (drawn by G. Antetokounmpo),,46,53
205,2,0:51.0,G. Antetokounmpo makes free throw 1 of 2,,47,53
206,2,0:51.0,G. Antetokounmpo misses free throw 2 of 2,,47,53
207,2,0:51.0,,Defensive rebound by K. Séraphin,47,53
208,2,0:38.0,,K. Séraphin misses 2-pt layup from 4 ft,47,53
209,2,0:37.0,,Offensive rebound by Team,47,53
210,2,0:37.0,,Indiana full timeout,47,53
211,2,0:37.0,,T. Young enters the game for M. Ellis,47,53
212,2,0:27.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by L. Stephenson),47,56
213,2,0:05.0,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,50,56
214,2,0:00.0,,L. Stephenson misses 3-pt jump shot from 25 ft,50,56
215,2,0:00.0,,Offensive rebound by Team,50,56
216,3,11:43.0,Turnover by T. Maker (bad pass; steal by M. Ellis),,50,56
217,3,11:26.0,,J. Teague misses 3-pt jump shot from 24 ft,50,56
218,3,11:25.0,Defensive rebound by G. Antetokounmpo,,50,56
219,3,11:03.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft (assist by M. Dellavedova),,52,56
220,3,10:37.0,,P. George makes 3-pt jump shot from 24 ft (assist by J. Teague),52,59
221,3,10:13.0,K. Middleton misses 2-pt jump shot from 18 ft,,52,59
222,3,10:12.0,,Defensive rebound by M. Turner,52,59
223,3,10:00.0,,T. Young makes 2-pt jump shot from 13 ft (assist by J. Teague),52,61
