,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,TORONTO_ACTION,MINNESOTA_SCORE,TORONTO_SCORE
41,1,6:34.0,,T. Ross enters the game for D. Carroll,14,8
42,1,6:28.0,G. Dieng misses 2-pt jump shot from 20 ft,,14,8
43,1,6:27.0,Offensive rebound by A. Wiggins,,14,8
44,1,6:25.0,A. Wiggins makes 2-pt layup from 2 ft,,16,8
45,1,6:12.0,,P. Patterson makes 3-pt jump shot from 26 ft (assist by K. Lowry),16,11
46,1,6:00.0,Turnover by G. Dieng (traveling),,16,11
47,1,5:48.0,,T. Ross misses 3-pt jump shot from 25 ft,16,11
48,1,5:48.0,,Offensive rebound by K. Lowry,16,11
49,1,5:40.0,,Shooting foul by R. Rubio (drawn by P. Patterson),16,11
50,1,5:40.0,,P. Patterson misses free throw 1 of 2,16,11
51,1,5:40.0,,Offensive rebound by Team,16,11
52,1,5:40.0,,P. Patterson misses free throw 2 of 2,16,11
53,1,5:38.0,Defensive rebound by K. Towns,,16,11
54,1,5:33.0,R. Rubio misses 2-pt layup from 3 ft,,16,11
55,1,5:33.0,,Defensive rebound by D. DeRozan,16,11
56,1,5:18.0,,L. Nogueira makes 2-pt dunk at rim (assist by T. Ross),16,13
57,1,5:08.0,Turnover by R. Rubio (bad pass; steal by T. Ross),,16,13
58,1,5:02.0,,Personal block foul by R. Rubio (drawn by K. Lowry),16,13
59,1,4:45.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by K. Lowry),16,16
60,1,4:25.0,Def 3 sec tech foul by K. Lowry,,16,16
61,1,4:25.0,R. Rubio makes technical free throw,,17,16
62,1,4:25.0,S. Muhammad enters the game for Z. LaVine,,17,16
63,1,4:25.0,,C. Joseph enters the game for K. Lowry,17,16
64,1,4:10.0,R. Rubio misses 3-pt jump shot from 26 ft,,17,16
65,1,4:10.0,,Defensive rebound by P. Patterson,17,16
66,1,4:01.0,,P. Patterson misses 3-pt jump shot from 25 ft,17,16
67,1,4:00.0,Defensive rebound by A. Wiggins,,17,16
68,1,3:50.0,A. Wiggins makes 2-pt jump shot from 19 ft,,19,16
69,1,3:31.0,,T. Ross misses 3-pt jump shot from 25 ft,19,16
70,1,3:30.0,Defensive rebound by G. Dieng,,19,16
71,1,3:24.0,Personal foul by T. Ross (drawn by S. Muhammad),,19,16
72,1,3:24.0,S. Muhammad misses free throw 1 of 2,,19,16
73,1,3:24.0,Offensive rebound by Team,,19,16
74,1,3:24.0,K. Dunn enters the game for R. Rubio,,19,16
75,1,3:24.0,S. Muhammad makes free throw 2 of 2,,20,16
76,1,3:11.0,,T. Ross misses 3-pt jump shot from 24 ft,20,16
77,1,3:10.0,Defensive rebound by K. Towns,,20,16
78,1,3:01.0,A. Wiggins makes 2-pt dunk at rim (assist by K. Dunn),,22,16
79,1,2:50.0,,Shooting foul by G. Dieng (drawn by D. DeRozan),22,16
80,1,2:50.0,Minnesota full timeout,,22,16
81,1,2:50.0,,D. DeRozan makes free throw 1 of 2,22,17
82,1,2:50.0,C. Aldrich enters the game for G. Dieng,,22,16
83,1,2:50.0,,D. DeRozan makes free throw 2 of 2,22,18
84,1,2:34.0,A. Wiggins misses 2-pt jump shot from 5 ft,,22,18
85,1,2:34.0,Offensive rebound by C. Aldrich,,22,18
86,1,2:33.0,C. Aldrich makes 2-pt dunk at rim,,24,18
87,1,2:16.0,,D. DeRozan misses 2-pt jump shot from 17 ft,24,18
88,1,2:15.0,Defensive rebound by K. Towns,,24,18
89,1,2:02.0,A. Wiggins misses 3-pt jump shot from 29 ft,,24,18
90,1,2:02.0,,Defensive rebound by Team,24,18
91,1,2:00.0,N. Bjelica enters the game for K. Towns,,24,18
92,1,1:46.0,,D. DeRozan misses 2-pt jump shot from 4 ft,24,18
93,1,1:46.0,,Offensive rebound by L. Nogueira,24,18
94,1,1:45.0,,L. Nogueira misses 2-pt layup at rim,24,18
95,1,1:44.0,Defensive rebound by A. Wiggins,,24,18
96,1,1:44.0,Personal foul by D. DeRozan (drawn by N. Bjelica),,24,18
97,1,1:44.0,N. Bjelica makes free throw 1 of 2,,25,18
98,1,1:44.0,N. Bjelica misses free throw 2 of 2,,25,18
99,1,1:42.0,,Defensive rebound by P. Patterson,25,18
100,1,1:20.0,,T. Ross misses 3-pt jump shot from 28 ft,25,18
101,1,1:20.0,,Offensive rebound by C. Joseph,25,18
102,1,1:11.0,,Turnover by D. DeRozan (traveling),25,18
103,1,1:03.0,K. Dunn misses 2-pt layup from 3 ft (block by L. Nogueira),,25,18
104,1,1:02.0,Offensive rebound by C. Aldrich,,25,18
105,1,1:02.0,,Violation by L. Nogueira (def goaltending),25,18
106,1,1:02.0,C. Aldrich makes 2-pt hook shot from 2 ft,,27,18
107,1,0:50.0,,D. DeRozan misses 2-pt jump shot from 7 ft,27,18
108,1,0:50.0,,Offensive rebound by L. Nogueira,27,18
109,1,0:50.0,,L. Nogueira makes 2-pt dunk at rim,27,20
110,1,0:45.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by K. Dunn),,30,20
111,1,0:39.0,,L. Nogueira makes 2-pt layup from 2 ft (assist by C. Joseph),30,22
112,1,0:24.0,S. Muhammad makes 2-pt jump shot from 9 ft (assist by K. Dunn),,32,22
113,1,0:02.0,,D. DeRozan misses 2-pt jump shot from 5 ft (block by C. Aldrich),32,22
114,1,0:01.0,,Offensive rebound by P. Patterson,32,22
115,1,0:00.0,,P. Patterson misses 2-pt layup from 1 ft,32,22
116,1,0:00.0,Defensive rebound by C. Aldrich,,32,22
117,2,11:46.0,Offensive foul by K. Dunn (drawn by C. Joseph),,32,22
118,2,11:46.0,Turnover by K. Dunn (offensive foul),,32,22
119,2,11:34.0,,L. Nogueira makes 2-pt layup from 1 ft (assist by K. Lowry),32,24
120,2,11:15.0,Z. LaVine misses 2-pt jump shot from 18 ft,,32,24
121,2,11:14.0,,Defensive rebound by L. Nogueira,32,24
122,2,11:05.0,,Turnover by C. Joseph (bad pass; steal by N. Bjelica),32,24
123,2,10:59.0,Z. LaVine makes 2-pt layup from 3 ft,,34,24
124,2,10:46.0,,Personal foul by K. Dunn (drawn by C. Joseph),34,24
125,2,10:41.0,,P. Patterson misses 3-pt jump shot from 25 ft,34,24
126,2,10:41.0,,Offensive rebound by N. Powell,34,24
127,2,10:32.0,,K. Lowry misses 2-pt layup from 2 ft,34,24
128,2,10:32.0,Defensive rebound by N. Bjelica,,34,24
129,2,10:25.0,K. Dunn makes 2-pt layup from 3 ft (assist by Z. LaVine),,36,24
130,2,10:04.0,,C. Joseph makes 2-pt jump shot from 18 ft,36,26
131,2,9:40.0,S. Muhammad misses 2-pt jump shot from 22 ft,,36,26
132,2,9:40.0,Offensive rebound by Team,,36,26
133,2,9:40.0,,Loose ball foul by K. Lowry (drawn by C. Aldrich),36,26
134,2,9:40.0,,J. Valančiūnas enters the game for L. Nogueira,36,26
135,2,9:40.0,,D. Carroll enters the game for P. Patterson,36,26
136,2,9:34.0,Turnover by K. Dunn (bad pass; steal by D. Carroll),,36,26
137,2,9:30.0,,C. Joseph makes 2-pt layup from 2 ft (assist by D. Carroll),36,28
138,2,9:09.0,C. Aldrich makes 2-pt layup from 2 ft (assist by Z. LaVine),,38,28
139,2,8:56.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by C. Joseph),38,30
140,2,8:46.0,Turnover by N. Bjelica (traveling),,38,30
141,2,8:46.0,Official timeout,,38,30
142,2,8:46.0,G. Dieng enters the game for C. Aldrich,,38,30
143,2,8:24.0,,C. Joseph makes 2-pt jump shot from 7 ft,38,32
144,2,7:58.0,Z. LaVine makes 2-pt layup from 2 ft,,40,32
145,2,7:49.0,,Shooting foul by Z. LaVine (drawn by K. Lowry),40,32
146,2,7:49.0,,K. Lowry makes free throw 1 of 2,40,33
147,2,7:49.0,,K. Lowry misses free throw 2 of 2,40,33
148,2,7:47.0,Defensive rebound by N. Bjelica,,40,33
149,2,7:40.0,Technical foul by Team,,40,33
150,2,7:40.0,,K. Lowry makes technical free throw,40,34
151,2,7:25.0,K. Dunn makes 2-pt hook shot from 5 ft,,42,34
152,2,7:08.0,,K. Lowry misses 3-pt jump shot from 26 ft,42,34
153,2,7:08.0,Defensive rebound by N. Bjelica,,42,34
154,2,7:03.0,Shooting foul by C. Joseph (drawn by G. Dieng),,42,34
155,2,7:03.0,G. Dieng makes free throw 1 of 2,,43,34
156,2,7:03.0,,D. DeRozan enters the game for C. Joseph,43,34
157,2,7:03.0,A. Wiggins enters the game for S. Muhammad,,43,34
158,2,7:03.0,G. Dieng makes free throw 2 of 2,,44,34
159,2,6:49.0,,J. Valančiūnas makes 2-pt jump shot from 15 ft (assist by K. Lowry),44,36
160,2,6:27.0,Z. LaVine misses 3-pt jump shot from 26 ft,,44,36
161,2,6:26.0,Offensive rebound by A. Wiggins,,44,36
162,2,6:23.0,A. Wiggins misses 2-pt layup from 1 ft,,44,36
163,2,6:23.0,Offensive rebound by A. Wiggins,,44,36
164,2,6:23.0,A. Wiggins makes 2-pt layup from 1 ft,,46,36
165,2,6:11.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. DeRozan),46,39
166,2,5:56.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,49,39
167,2,5:43.0,,Shooting foul by K. Dunn (drawn by D. DeRozan),49,39
168,2,5:43.0,,Toronto full timeout,49,39
169,2,5:43.0,,D. DeRozan makes free throw 1 of 2,49,40
170,2,5:43.0,,P. Patterson enters the game for N. Powell,49,39
171,2,5:43.0,K. Towns enters the game for K. Dunn,,49,39
172,2,5:43.0,R. Rubio enters the game for N. Bjelica,,49,39
173,2,5:43.0,,D. DeRozan makes free throw 2 of 2,49,41
174,2,5:21.0,Z. LaVine misses 2-pt jump shot from 5 ft,,49,41
175,2,5:21.0,Offensive rebound by G. Dieng,,49,41
176,2,5:19.0,G. Dieng makes 2-pt layup from 2 ft,,51,41
177,2,4:59.0,,J. Valančiūnas makes 2-pt jump shot from 5 ft,51,43
178,2,4:38.0,G. Dieng makes 2-pt jump shot from 14 ft (assist by Z. LaVine),,53,43
179,2,4:23.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by P. Patterson),53,46
180,2,3:57.0,G. Dieng misses 3-pt jump shot from 24 ft,,53,46
181,2,3:57.0,,Defensive rebound by D. Carroll,53,46
182,2,3:51.0,,D. DeRozan makes 2-pt dunk at rim (assist by D. Carroll),53,48
183,2,3:48.0,,Violation by Team (jump ball),53,48
184,2,3:28.0,K. Towns misses 2-pt jump shot from 13 ft,,53,48
185,2,3:27.0,Offensive rebound by R. Rubio,,53,48
186,2,3:21.0,Z. LaVine misses 3-pt jump shot from 23 ft,,53,48
187,2,3:21.0,,Defensive rebound by P. Patterson,53,48
188,2,3:02.0,,P. Patterson misses 2-pt hook shot from 7 ft,53,48
189,2,3:02.0,Defensive rebound by G. Dieng,,53,48
190,2,2:53.0,K. Towns misses 3-pt jump shot from 24 ft,,53,48
191,2,2:53.0,,Defensive rebound by J. Valančiūnas,53,48
192,2,2:45.0,,D. Carroll misses 3-pt jump shot from 26 ft,53,48
193,2,2:45.0,,Offensive rebound by Team,53,48
194,2,2:45.0,Loose ball foul by G. Dieng (drawn by J. Valančiūnas),,53,48
195,2,2:45.0,Minnesota full timeout,,53,48
196,2,2:33.0,,D. Carroll makes 3-pt jump shot from 23 ft (assist by K. Lowry),53,51
197,2,2:13.0,K. Towns misses 2-pt jump shot from 14 ft,,53,51
198,2,2:12.0,,Defensive rebound by D. DeRozan,53,51
199,2,2:01.0,,D. Carroll makes 3-pt jump shot from 26 ft (assist by D. DeRozan),53,54
200,2,1:46.0,Personal block foul by D. DeRozan (drawn by Z. LaVine),,53,54
201,2,1:31.0,Z. LaVine makes 2-pt jump shot from 14 ft,,55,54
202,2,1:17.0,,D. DeRozan misses 2-pt jump shot from 13 ft,55,54
203,2,1:17.0,,Offensive rebound by J. Valančiūnas,55,54
204,2,1:13.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),55,57
205,2,0:54.0,R. Rubio misses 3-pt jump shot from 23 ft,,55,57
206,2,0:53.0,Offensive rebound by K. Towns,,55,57
207,2,0:48.0,A. Wiggins makes 2-pt jump shot from 14 ft (assist by G. Dieng),,57,57
208,2,0:36.0,,K. Lowry makes 2-pt layup from 4 ft,57,59
209,2,0:25.0,G. Dieng makes 2-pt dunk at rim,,59,59
210,2,0:01.0,,Turnover by Team (shot clock),59,59
211,2,0:01.0,,L. Nogueira enters the game for J. Valančiūnas,59,59
212,2,0:01.0,Minnesota full timeout,,59,59
213,2,0:01.0,,N. Powell enters the game for D. DeRozan,59,59
214,3,11:40.0,A. Wiggins misses 2-pt jump shot from 19 ft,,59,59
215,3,11:40.0,,Defensive rebound by J. Valančiūnas,59,59
216,3,11:21.0,,Shooting foul by K. Towns (drawn by P. Siakam),59,59
217,3,11:21.0,,P. Siakam makes free throw 1 of 2,59,60
218,3,11:21.0,,P. Siakam makes free throw 2 of 2,59,61
219,3,11:17.0,,Offensive charge foul by A. Wiggins (drawn by K. Lowry),59,61
220,3,11:17.0,Turnover by A. Wiggins (offensive foul),,59,61
221,3,11:06.0,,D. DeRozan makes 2-pt jump shot from 5 ft,59,63
222,3,10:48.0,G. Dieng misses 2-pt jump shot from 13 ft,,59,63
223,3,10:48.0,,Defensive rebound by J. Valančiūnas,59,63
224,3,10:42.0,,P. Siakam makes 2-pt dunk at rim (assist by K. Lowry),59,65
225,3,10:42.0,Minnesota full timeout,,59,65
226,3,10:26.0,A. Wiggins misses 3-pt jump shot from 25 ft,,59,65
227,3,10:25.0,,Defensive rebound by D. DeRozan,59,65
228,3,10:15.0,,D. DeRozan misses 2-pt jump shot from 16 ft,59,65
229,3,10:14.0,,Offensive rebound by J. Valančiūnas,59,65
230,3,10:13.0,,J. Valančiūnas misses 2-pt layup from 1 ft,59,65
231,3,10:13.0,Defensive rebound by K. Towns,,59,65
232,3,10:03.0,A. Wiggins misses 2-pt jump shot from 6 ft,,59,65
233,3,10:02.0,Offensive rebound by K. Towns,,59,65
234,3,10:01.0,K. Towns misses 2-pt layup from 2 ft,,59,65
235,3,10:01.0,Offensive rebound by K. Towns,,59,65
236,3,10:00.0,K. Towns makes 2-pt layup from 1 ft,,61,65
237,3,9:54.0,,D. DeRozan makes 2-pt dunk at rim (assist by K. Lowry),61,67
238,3,9:54.0,,Shooting foul by A. Wiggins (drawn by D. DeRozan),61,67
239,3,9:54.0,,D. DeRozan makes free throw 1 of 1,61,68
240,3,9:41.0,Offensive foul by K. Towns (drawn by P. Siakam),,61,68
241,3,9:41.0,Turnover by K. Towns (offensive foul),,61,68
242,3,9:28.0,,J. Valančiūnas makes 2-pt hook shot from 8 ft,61,70
243,3,9:02.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,64,70
244,3,8:47.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),64,72
245,3,8:33.0,Personal foul by P. Siakam (drawn by K. Towns),,64,72
246,3,8:23.0,K. Towns makes 2-pt hook shot from 6 ft (assist by R. Rubio),,66,72
247,3,8:11.0,,Shooting foul by Z. LaVine (drawn by D. DeRozan),66,72
248,3,8:11.0,,D. DeRozan misses free throw 1 of 2,66,72
249,3,8:11.0,,Offensive rebound by Team,66,72
250,3,8:11.0,,D. DeRozan makes free throw 2 of 2,66,73
251,3,7:58.0,K. Towns makes 2-pt dunk at rim,,68,73
252,3,7:46.0,,Personal foul by R. Rubio (drawn by D. DeRozan),68,73
253,3,7:30.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),68,75
254,3,7:14.0,A. Wiggins makes 2-pt jump shot from 14 ft,,70,75
255,3,7:00.0,,D. Carroll misses 3-pt jump shot from 24 ft,70,75
256,3,7:00.0,Defensive rebound by G. Dieng,,70,75
257,3,6:58.0,Personal foul by P. Siakam (drawn by R. Rubio),,70,75
258,3,6:42.0,Z. LaVine makes 3-pt jump shot from 27 ft (assist by G. Dieng),,73,75
259,3,6:24.0,,J. Valančiūnas makes 2-pt jump shot from 20 ft (assist by D. DeRozan),73,77
260,3,6:09.0,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),,75,77
261,3,5:41.0,,K. Lowry makes 3-pt jump shot from 31 ft,75,80
262,3,5:24.0,K. Towns makes 2-pt hook shot from 4 ft,,77,80
263,3,5:11.0,,D. DeRozan misses 2-pt jump shot from 5 ft,77,80
264,3,5:10.0,,Offensive rebound by J. Valančiūnas,77,80
265,3,5:09.0,,J. Valančiūnas misses 2-pt layup from 1 ft,77,80
266,3,5:09.0,Defensive rebound by A. Wiggins,,77,80
267,3,5:07.0,Personal foul by D. Carroll (drawn by R. Rubio),,77,80
268,3,5:07.0,,P. Patterson enters the game for P. Siakam,77,80
269,3,4:55.0,A. Wiggins misses 3-pt jump shot from 25 ft,,77,80
270,3,4:55.0,,Defensive rebound by D. DeRozan,77,80
271,3,4:52.0,S. Muhammad enters the game for Z. LaVine,,77,80
272,3,4:42.0,,Shooting foul by A. Wiggins (drawn by D. DeRozan),77,80
273,3,4:42.0,,D. DeRozan makes free throw 1 of 2,77,81
274,3,4:42.0,Z. LaVine enters the game for A. Wiggins,,77,81
275,3,4:42.0,,C. Joseph enters the game for K. Lowry,77,81
276,3,4:42.0,,D. DeRozan makes free throw 2 of 2,77,82
277,3,4:25.0,K. Towns misses 2-pt jump shot from 21 ft,,77,82
278,3,4:25.0,,Defensive rebound by D. DeRozan,77,82
279,3,4:16.0,,D. DeRozan misses 2-pt jump shot from 6 ft,77,82
280,3,4:16.0,Defensive rebound by R. Rubio,,77,82
281,3,4:03.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by Z. LaVine),,80,82
282,3,4:00.0,,Toronto full timeout,80,82
283,3,4:00.0,,T. Ross enters the game for D. Carroll,80,82
284,3,4:00.0,C. Aldrich enters the game for G. Dieng,,80,82
285,3,3:47.0,,Offensive foul by J. Valančiūnas (drawn by C. Aldrich),80,82
286,3,3:47.0,,Turnover by J. Valančiūnas (offensive foul),80,82
287,3,3:35.0,K. Towns makes 3-pt jump shot from 24 ft (assist by R. Rubio),,83,82
288,3,3:14.0,,D. DeRozan misses 2-pt jump shot from 13 ft,83,82
289,3,3:14.0,,Offensive rebound by J. Valančiūnas,83,82
290,3,3:14.0,,J. Valančiūnas misses 2-pt layup from 1 ft,83,82
291,3,3:14.0,,Offensive rebound by Team,83,82
292,3,3:14.0,Loose ball foul by R. Rubio (drawn by J. Valančiūnas),,83,82
293,3,3:14.0,,J. Valančiūnas makes free throw 1 of 2,83,83
294,3,3:14.0,K. Dunn enters the game for R. Rubio,,83,83
295,3,3:14.0,,J. Valančiūnas makes free throw 2 of 2,83,84
296,3,2:58.0,Z. LaVine makes 2-pt jump shot from 19 ft,,85,84
297,3,2:39.0,,P. Patterson misses 3-pt jump shot from 26 ft,85,84
298,3,2:38.0,Defensive rebound by C. Aldrich,,85,84
299,3,2:25.0,S. Muhammad misses 2-pt jump shot from 13 ft (block by C. Joseph),,85,84
300,3,2:25.0,Offensive rebound by S. Muhammad,,85,84
301,3,2:25.0,,L. Nogueira enters the game for J. Valančiūnas,85,84
302,3,2:16.0,Z. LaVine makes 2-pt layup from 1 ft,,87,84
303,3,2:00.0,,C. Joseph makes 2-pt jump shot from 19 ft,87,86
304,3,1:43.0,K. Towns misses 3-pt jump shot from 27 ft,,87,86
305,3,1:43.0,,Defensive rebound by D. DeRozan,87,86
306,3,1:36.0,,D. DeRozan misses 2-pt layup from 2 ft,87,86
307,3,1:35.0,Defensive rebound by C. Aldrich,,87,86
308,3,1:30.0,Turnover by Z. LaVine (bad pass; steal by T. Ross),,87,86
309,3,1:22.0,,C. Joseph misses 2-pt jump shot from 14 ft,87,86
310,3,1:22.0,Defensive rebound by C. Aldrich,,87,86
311,3,1:09.0,K. Dunn misses 2-pt layup from 5 ft (block by L. Nogueira),,87,86
312,3,1:08.0,Offensive rebound by K. Towns,,87,86
313,3,1:06.0,K. Towns makes 2-pt dunk at rim,,89,86
314,3,0:51.0,,D. DeRozan makes 2-pt layup from 3 ft,89,88
315,3,0:42.0,Z. LaVine misses 3-pt jump shot from 26 ft,,89,88
316,3,0:42.0,Offensive rebound by Z. LaVine,,89,88
317,3,0:25.0,Turnover by K. Towns (traveling),,89,88
318,3,0:05.0,,C. Joseph misses 2-pt jump shot from 19 ft,89,88
319,3,0:05.0,Defensive rebound by C. Aldrich,,89,88
320,3,0:00.0,Z. LaVine misses 3-pt jump shot from 28 ft,,89,88
321,3,0:00.0,Offensive rebound by Team,,89,88
322,4,11:51.0,,Offensive foul by L. Nogueira (drawn by K. Dunn),89,88
323,4,11:51.0,,Turnover by L. Nogueira (offensive foul),89,88
324,4,11:34.0,Z. LaVine misses 2-pt jump shot from 4 ft (block by L. Nogueira),,89,88
325,4,11:34.0,Offensive rebound by Team,,89,88
326,4,11:31.0,Turnover by C. Aldrich (lost ball; steal by K. Lowry),,89,88
327,4,11:25.0,,C. Joseph makes 2-pt layup from 2 ft (assist by K. Lowry),89,90
328,4,11:00.0,N. Bjelica misses 3-pt jump shot from 25 ft,,89,90
329,4,10:59.0,,Defensive rebound by K. Lowry,89,90
330,4,10:52.0,,P. Patterson misses 3-pt jump shot from 22 ft,89,90
331,4,10:51.0,Defensive rebound by C. Aldrich,,89,90
332,4,10:39.0,Z. LaVine makes 2-pt jump shot from 18 ft,,91,90
333,4,10:21.0,,Shooting foul by S. Muhammad (drawn by T. Ross),91,90
334,4,10:21.0,,T. Ross makes free throw 1 of 2,91,91
335,4,10:21.0,A. Wiggins enters the game for Z. LaVine,,91,91
336,4,10:21.0,,D. Carroll enters the game for P. Patterson,91,91
337,4,10:21.0,,T. Ross makes free throw 2 of 2,91,92
338,4,10:15.0,A. Wiggins misses 2-pt jump shot from 10 ft,,91,92
339,4,10:14.0,,Defensive rebound by L. Nogueira,91,92
340,4,10:04.0,,Turnover by K. Lowry (lost ball; steal by C. Aldrich),91,92
341,4,9:49.0,K. Dunn misses 2-pt jump shot from 15 ft,,91,92
342,4,9:49.0,,Defensive rebound by L. Nogueira,91,92
343,4,9:41.0,,C. Joseph makes 2-pt layup from 2 ft,91,94
344,4,9:19.0,A. Wiggins makes 2-pt jump shot from 16 ft,,93,94
345,4,8:53.0,,K. Lowry misses 3-pt jump shot from 27 ft,93,94
346,4,8:52.0,Defensive rebound by K. Dunn,,93,94
347,4,8:46.0,N. Bjelica makes 2-pt layup from 2 ft (assist by K. Dunn),,95,94
348,4,8:31.0,,K. Lowry makes 2-pt layup from 1 ft,95,96
349,4,8:07.0,A. Wiggins misses 2-pt jump shot from 21 ft,,95,96
350,4,8:07.0,Offensive rebound by S. Muhammad,,95,96
351,4,8:06.0,Turnover by Team (shot clock),,95,96
352,4,8:06.0,Official timeout,,95,96
353,4,7:50.0,,T. Ross makes 2-pt jump shot from 14 ft,95,98
354,4,7:31.0,Shooting foul by C. Joseph (drawn by A. Wiggins),,95,98
355,4,7:31.0,A. Wiggins makes free throw 1 of 2,,96,98
356,4,7:31.0,A. Wiggins misses free throw 2 of 2,,96,98
357,4,7:31.0,K. Towns enters the game for N. Bjelica,,96,98
358,4,7:31.0,,P. Patterson enters the game for C. Joseph,96,98
359,4,7:30.0,,Defensive rebound by P. Patterson,96,98
360,4,7:17.0,,K. Lowry makes 3-pt jump shot from 25 ft,96,101
361,4,7:17.0,,Shooting foul by K. Dunn (drawn by K. Lowry),96,101
362,4,7:17.0,,K. Lowry makes free throw 1 of 1,96,102
363,4,7:09.0,Personal foul by P. Patterson (drawn by K. Towns),,96,102
364,4,7:09.0,G. Dieng enters the game for C. Aldrich,,96,102
365,4,6:52.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Dunn),,99,102
366,4,6:35.0,,Shooting foul by K. Towns (drawn by K. Lowry),99,102
367,4,6:35.0,,K. Lowry misses free throw 1 of 2,99,102
368,4,6:35.0,,Offensive rebound by Team,99,102
369,4,6:35.0,Z. LaVine enters the game for S. Muhammad,,99,102
370,4,6:35.0,,K. Lowry makes free throw 2 of 2,99,103
371,4,6:22.0,Turnover by A. Wiggins (bad pass; steal by D. Carroll),,99,103
372,4,6:18.0,,T. Ross makes 2-pt dunk at rim (assist by K. Lowry),99,105
373,4,6:18.0,Minnesota full timeout,,99,105
374,4,6:18.0,,D. DeRozan enters the game for T. Ross,99,105
375,4,6:18.0,R. Rubio enters the game for K. Dunn,,99,105
376,4,5:58.0,K. Towns misses 3-pt jump shot from 25 ft,,99,105
