,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
126,2,10:16.0,I. Whitehead enters the game for S. Dinwiddie,,29,35
127,2,10:05.0,Turnover by I. Whitehead (traveling),,29,35
128,2,10:05.0,,N. Jokić enters the game for G. Harris,29,35
129,2,9:47.0,,K. Faried makes 2-pt jump shot from 15 ft (assist by W. Barton),29,37
130,2,9:38.0,R. Foye makes 3-pt jump shot from 26 ft,,32,37
131,2,9:21.0,,J. Murray misses 2-pt jump shot from 16 ft,32,37
132,2,9:21.0,Defensive rebound by J. Harris,,32,37
133,2,9:07.0,I. Whitehead makes 3-pt jump shot from 24 ft (assist by T. Booker),,35,37
134,2,9:07.0,,Denver full timeout,35,37
135,2,8:56.0,,Turnover by N. Jokić (bad pass; steal by R. Foye),35,37
136,2,8:52.0,Turnover by J. Harris (bad pass),,35,37
137,2,8:39.0,,W. Chandler misses 2-pt layup from 2 ft,35,37
138,2,8:36.0,,Offensive rebound by N. Jokić,35,37
139,2,8:36.0,,N. Jokić makes 2-pt layup from 2 ft,35,39
140,2,8:15.0,T. Booker misses 2-pt hook shot from 3 ft,,35,39
141,2,8:14.0,,Defensive rebound by W. Barton,35,39
142,2,8:11.0,,Personal foul by R. Foye (drawn by W. Barton),35,39
143,2,8:11.0,,W. Barton makes free throw 1 of 2,35,40
144,2,8:11.0,,W. Barton makes free throw 2 of 2,35,41
145,2,8:01.0,J. Harris misses 3-pt jump shot from 26 ft,,35,41
146,2,8:01.0,,Defensive rebound by N. Jokić,35,41
147,2,7:53.0,,Turnover by W. Chandler (3 sec),35,41
148,2,7:38.0,R. Foye makes 2-pt layup from 1 ft,,37,41
149,2,7:29.0,,Personal foul by I. Whitehead (drawn by N. Jokić),37,41
150,2,7:29.0,,M. Plumlee enters the game for K. Faried,37,41
151,2,7:20.0,,Personal foul by J. Hamilton (drawn by M. Plumlee),37,41
152,2,7:15.0,,W. Barton misses 2-pt jump shot from 14 ft,37,41
153,2,7:14.0,,Offensive rebound by N. Jokić,37,41
154,2,7:03.0,,W. Chandler makes 2-pt jump shot from 7 ft (assist by M. Plumlee),37,43
155,2,6:51.0,J. Hamilton misses 2-pt jump shot from 5 ft (block by N. Jokić),,37,43
156,2,6:49.0,,Defensive rebound by M. Plumlee,37,43
157,2,6:36.0,,W. Chandler makes 2-pt layup from 1 ft (assist by N. Jokić),37,45
158,2,6:36.0,Brooklyn full timeout,,37,45
159,2,6:36.0,,D. Gallinari enters the game for W. Chandler,37,45
160,2,6:36.0,B. Lopez enters the game for R. Foye,,37,45
161,2,6:36.0,C. LeVert enters the game for J. Hamilton,,37,45
162,2,6:24.0,T. Booker misses 2-pt jump shot from 18 ft,,37,45
163,2,6:23.0,,Defensive rebound by D. Gallinari,37,45
164,2,6:08.0,,M. Plumlee makes 2-pt hook shot from 2 ft (assist by N. Jokić),37,47
165,2,5:49.0,T. Booker makes 2-pt hook shot from 3 ft (assist by I. Whitehead),,39,47
166,2,5:37.0,,J. Murray misses 2-pt jump shot from 19 ft,39,47
167,2,5:37.0,Defensive rebound by J. Harris,,39,47
168,2,5:26.0,T. Booker misses 3-pt jump shot from 25 ft,,39,47
169,2,5:24.0,,Defensive rebound by W. Barton,39,47
170,2,5:15.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by N. Jokić),39,50
171,2,5:00.0,I. Whitehead misses 2-pt jump shot from 11 ft,,39,50
172,2,5:00.0,,Defensive rebound by M. Plumlee,39,50
173,2,4:52.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by M. Plumlee),39,52
174,2,4:39.0,T. Booker makes 2-pt jump shot from 21 ft,,41,52
175,2,4:30.0,,Turnover by N. Jokić (bad pass),41,52
176,2,4:30.0,J. Lin enters the game for T. Booker,,41,52
177,2,4:30.0,R. Hollis-Jefferson enters the game for J. Harris,,41,52
178,2,4:30.0,S. Kilpatrick enters the game for I. Whitehead,,41,52
179,2,4:30.0,,J. Nelson enters the game for J. Murray,41,52
180,2,4:12.0,C. LeVert misses 3-pt jump shot from 26 ft,,41,52
181,2,4:11.0,,Defensive rebound by W. Barton,41,52
182,2,4:02.0,,Offensive foul by M. Plumlee (drawn by S. Kilpatrick),41,52
183,2,4:02.0,,Turnover by M. Plumlee (offensive foul),41,52
184,2,4:02.0,,G. Harris enters the game for W. Barton,41,52
185,2,4:02.0,,K. Faried enters the game for M. Plumlee,41,52
186,2,3:47.0,B. Lopez makes 2-pt hook shot from 2 ft (assist by J. Lin),,43,52
187,2,3:29.0,,K. Faried makes 2-pt dunk at rim (assist by J. Nelson),43,54
188,2,3:18.0,S. Kilpatrick misses 2-pt jump shot from 4 ft,,43,54
189,2,3:17.0,,Defensive rebound by K. Faried,43,54
190,2,3:08.0,,Shooting block foul by B. Lopez (drawn by K. Faried),43,54
191,2,3:08.0,,K. Faried misses free throw 1 of 2,43,54
192,2,3:08.0,,Offensive rebound by Team,43,54
193,2,3:08.0,,W. Chandler enters the game for N. Jokić,43,54
194,2,3:08.0,,K. Faried makes free throw 2 of 2,43,55
195,2,2:56.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,43,55
196,2,2:55.0,,Defensive rebound by D. Gallinari,43,55
197,2,2:45.0,,W. Chandler makes 2-pt jump shot from 17 ft,43,57
