,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
265,3,5:30.0,,Dallas full timeout,53,51
266,3,5:30.0,P. Millsap makes free throw 1 of 1,,54,51
267,3,5:17.0,,W. Matthews misses 3-pt jump shot from 26 ft,54,51
268,3,5:16.0,Defensive rebound by P. Millsap,,54,51
269,3,5:05.0,P. Millsap misses 2-pt jump shot from 10 ft,,54,51
270,3,5:03.0,Offensive rebound by K. Bazemore,,54,51
271,3,4:58.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by K. Bazemore),,57,51
272,3,4:50.0,,D. Williams misses 3-pt jump shot from 23 ft,57,51
273,3,4:49.0,,Offensive rebound by H. Barnes,57,51
274,3,4:49.0,,H. Barnes misses 2-pt layup at rim,57,51
275,3,4:40.0,Defensive rebound by P. Millsap,,57,51
276,3,4:39.0,Atlanta full timeout,,57,51
277,3,4:29.0,P. Millsap misses 3-pt jump shot from 25 ft,,57,51
278,3,4:28.0,,Defensive rebound by H. Barnes,57,51
279,3,4:13.0,,H. Barnes makes 2-pt jump shot from 17 ft (assist by D. Finney-Smith),57,53
280,3,3:55.0,Shooting foul by D. Finney-Smith (drawn by T. Hardaway),,57,53
281,3,3:55.0,T. Hardaway makes free throw 1 of 2,,58,53
282,3,3:55.0,T. Prince enters the game for K. Bazemore,,58,53
283,3,3:55.0,,D. Harris enters the game for D. Williams,58,53
284,3,3:55.0,,J. Barea enters the game for D. Finney-Smith,58,53
285,3,3:55.0,T. Hardaway makes free throw 2 of 2,,59,53
286,3,3:27.0,,J. Barea misses 3-pt jump shot from 27 ft,59,53
287,3,3:26.0,Defensive rebound by T. Prince,,59,53
288,3,3:22.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by T. Prince),,62,53
289,3,3:20.0,,Dallas full timeout,62,53
290,3,3:20.0,,D. Powell enters the game for H. Barnes,62,53
291,3,3:20.0,,D. Nowitzki enters the game for A. Bogut,62,53
292,3,3:04.0,,Personal foul by T. Hardaway (drawn by D. Powell),62,53
293,3,2:55.0,,D. Powell makes 2-pt layup from 3 ft (assist by D. Nowitzki),62,55
294,3,2:34.0,T. Prince misses 2-pt jump shot from 17 ft,,62,55
295,3,2:33.0,,Defensive rebound by D. Powell,62,55
296,3,2:13.0,,Turnover by D. Nowitzki (lost ball; steal by T. Prince),62,55
297,3,2:06.0,M. Delaney misses 2-pt jump shot from 14 ft,,62,55
298,3,2:03.0,,Defensive rebound by D. Nowitzki,62,55
299,3,1:55.0,,Personal foul by T. Prince (drawn by W. Matthews),62,55
300,3,1:46.0,,D. Harris misses 3-pt jump shot from 23 ft,62,55
301,3,1:46.0,Defensive rebound by P. Millsap,,62,55
302,3,1:30.0,M. Delaney misses 2-pt jump shot from 13 ft,,62,55
303,3,1:29.0,,Defensive rebound by D. Powell,62,55
304,3,1:16.0,,D. Nowitzki makes 2-pt jump shot from 14 ft,62,57
305,3,1:01.0,Personal foul by D. Harris (drawn by M. Muscala),,62,57
306,3,1:01.0,M. Muscala makes free throw 1 of 2,,63,57
307,3,1:01.0,D. Howard enters the game for P. Millsap,,63,57
308,3,1:01.0,T. Sefolosha enters the game for T. Prince,,63,57
309,3,1:01.0,,D. Finney-Smith enters the game for W. Matthews,63,57
310,3,1:01.0,M. Muscala makes free throw 2 of 2,,64,57
311,3,0:43.0,,D. Harris misses 3-pt jump shot from 22 ft,64,57
312,3,0:43.0,Defensive rebound by M. Muscala,,64,57
313,3,0:33.0,M. Muscala misses 3-pt jump shot from 25 ft,,64,57
314,3,0:31.0,,Defensive rebound by D. Powell,64,57
315,3,0:11.0,,D. Harris makes 2-pt layup from 1 ft,64,59
316,3,0:02.0,M. Delaney makes 2-pt jump shot from 18 ft,,66,59
317,3,0:01.0,,D. Finney-Smith misses 3-pt jump shot from 39 ft,66,59
318,3,0:00.0,,Offensive rebound by Team,66,59
319,4,11:44.0,,D. Powell makes 2-pt layup from 2 ft (assist by D. Nowitzki),66,61
320,4,11:20.0,T. Hardaway misses 3-pt jump shot from 29 ft,,66,61
321,4,11:20.0,,Defensive rebound by Team,66,61
322,4,11:20.0,P. Millsap enters the game for M. Muscala,,66,61
323,4,11:08.0,,D. Harris misses 3-pt jump shot from 25 ft,66,61
324,4,11:08.0,Defensive rebound by D. Howard,,66,61
325,4,10:58.0,Shooting foul by D. Nowitzki (drawn by P. Millsap),,66,61
326,4,10:58.0,,Violation by Team (jump ball),66,61
327,4,10:58.0,P. Millsap makes free throw 1 of 2,,67,61
328,4,10:58.0,P. Millsap misses free throw 2 of 2,,67,61
329,4,10:58.0,,Defensive rebound by D. Nowitzki,67,61
330,4,10:58.0,,S. Curry enters the game for D. Harris,67,61
331,4,10:58.0,D. Schröder enters the game for T. Sefolosha,,67,61
332,4,10:46.0,,J. Barea makes 2-pt jump shot from 11 ft,67,63
333,4,10:28.0,D. Schröder misses 2-pt jump shot from 16 ft,,67,63
334,4,10:25.0,,Defensive rebound by Team,67,63
335,4,10:09.0,,D. Nowitzki makes 2-pt jump shot from 11 ft (assist by J. Barea),67,65
336,4,9:51.0,Personal foul by D. Powell (drawn by P. Millsap),,67,65
337,4,9:45.0,Shooting foul by D. Finney-Smith (drawn by P. Millsap),,67,65
338,4,9:45.0,P. Millsap makes free throw 1 of 2,,68,65
339,4,9:45.0,K. Bazemore enters the game for M. Delaney,,68,65
340,4,9:45.0,P. Millsap makes free throw 2 of 2,,69,65
341,4,9:37.0,,J. Barea makes 2-pt jump shot from 11 ft,69,67
342,4,9:18.0,D. Howard makes 2-pt dunk at rim (assist by K. Bazemore),,71,67
343,4,9:06.0,,Turnover by J. Barea (lost ball),71,67
344,4,8:55.0,T. Hardaway misses 3-pt jump shot from 23 ft,,71,67
345,4,8:54.0,,Defensive rebound by D. Powell,71,67
346,4,8:39.0,,D. Powell misses 2-pt jump shot from 6 ft,71,67
347,4,8:38.0,Defensive rebound by T. Hardaway,,71,67
348,4,8:27.0,K. Bazemore makes 3-pt jump shot from 26 ft,,74,67
349,4,8:24.0,,Dallas full timeout,74,67
350,4,8:24.0,,A. Bogut enters the game for D. Nowitzki,74,67
351,4,8:24.0,,H. Barnes enters the game for D. Powell,74,67
352,4,8:02.0,,S. Curry misses 2-pt jump shot from 6 ft,74,67
353,4,8:01.0,Defensive rebound by D. Howard,,74,67
354,4,7:47.0,T. Hardaway misses 2-pt jump shot from 5 ft,,74,67
355,4,7:46.0,,Defensive rebound by A. Bogut,74,67
356,4,7:39.0,,J. Barea misses 3-pt jump shot from 27 ft,74,67
357,4,7:39.0,Defensive rebound by P. Millsap,,74,67
358,4,7:29.0,D. Schröder makes 2-pt layup from 2 ft,,76,67
359,4,7:24.0,,Dallas full timeout,76,67
360,4,7:24.0,,D. Williams enters the game for J. Barea,76,67
361,4,7:24.0,,W. Matthews enters the game for D. Finney-Smith,76,67
362,4,7:05.0,,D. Williams misses 3-pt jump shot from 25 ft,76,67
363,4,7:05.0,Defensive rebound by D. Howard,,76,67
364,4,6:47.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by D. Schröder),,79,67
365,4,6:23.0,,D. Williams makes 2-pt layup from 2 ft,79,69
366,4,6:14.0,Personal take foul by W. Matthews (drawn by D. Howard),,79,69
367,4,6:14.0,Personal take foul by W. Matthews (drawn by D. Howard),,79,69
368,4,6:14.0,D. Howard misses free throw 1 of 2,,79,69
369,4,6:14.0,Offensive rebound by Team,,79,69
370,4,6:14.0,M. Delaney enters the game for T. Hardaway,,79,69
371,4,6:14.0,D. Howard makes free throw 2 of 2,,80,69
372,4,6:01.0,,D. Williams makes 2-pt jump shot from 16 ft,80,71
373,4,5:55.0,Personal foul by S. Curry (drawn by D. Howard),,80,71
374,4,5:55.0,D. Howard makes free throw 1 of 2,,81,71
375,4,5:55.0,D. Howard makes free throw 2 of 2,,82,71
376,4,5:44.0,,Turnover by D. Williams (bad pass; steal by D. Schröder),82,71
377,4,5:41.0,D. Schröder makes 2-pt layup from 1 ft,,84,71
378,4,5:12.0,,H. Barnes misses 3-pt jump shot from 25 ft,84,71
379,4,5:11.0,Defensive rebound by P. Millsap,,84,71
380,4,5:10.0,Personal foul by W. Matthews (drawn by P. Millsap),,84,71
381,4,5:10.0,Technical foul by P. Millsap,,84,71
382,4,5:10.0,,D. Williams makes technical free throw,84,72
383,4,5:10.0,P. Millsap misses free throw 1 of 2,,84,72
384,4,5:10.0,Offensive rebound by Team,,84,72
385,4,5:10.0,,D. Harris enters the game for A. Bogut,84,72
386,4,5:10.0,,D. Nowitzki enters the game for S. Curry,84,72
387,4,5:10.0,P. Millsap makes free throw 2 of 2,,85,72
