,QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA LAKERS_ACTION,ATLANTA_SCORE,LA LAKERS_SCORE
121,2,10:40.0,T. Prince enters the game for T. Sefolosha,,32,23
122,2,10:37.0,P. Millsap makes 2-pt jump shot from 5 ft (assist by K. Korver),,34,23
123,2,10:17.0,,L. Nance makes 2-pt jump shot from 14 ft (assist by J. Clarkson),34,25
124,2,9:52.0,M. Delaney makes 2-pt jump shot from 20 ft,,36,25
125,2,9:43.0,,L. Nance makes 2-pt jump shot from 18 ft (assist by L. Williams),36,27
126,2,9:29.0,K. Korver misses 3-pt jump shot from 24 ft,,36,27
127,2,9:28.0,,Defensive rebound by L. Nance,36,27
128,2,9:22.0,,L. Williams makes 2-pt layup from 2 ft,36,29
129,2,9:22.0,,Shooting foul by M. Muscala (drawn by L. Williams),36,29
130,2,9:22.0,,L. Williams makes free throw 1 of 1,36,30
131,2,9:07.0,K. Korver misses 3-pt jump shot from 26 ft,,36,30
132,2,9:06.0,,Defensive rebound by B. Ingram,36,30
133,2,8:59.0,,T. Black misses 2-pt layup from 2 ft,36,30
134,2,8:58.0,,Offensive rebound by L. Nance,36,30
135,2,8:58.0,,L. Nance makes 2-pt layup from 2 ft,36,32
136,2,8:58.0,Atlanta full timeout,,36,32
137,2,8:58.0,D. Howard enters the game for M. Muscala,,36,32
138,2,8:47.0,M. Delaney makes 2-pt jump shot from 14 ft,,38,32
139,2,8:34.0,,L. Williams misses 3-pt jump shot from 27 ft,38,32
140,2,8:30.0,Defensive rebound by P. Millsap,,38,32
141,2,8:21.0,Personal foul by B. Ingram (drawn by D. Howard),,38,32
142,2,8:19.0,Offensive foul by K. Korver (drawn by B. Ingram),,38,32
143,2,8:19.0,Turnover by K. Korver (offensive foul),,38,32
144,2,8:06.0,,J. Clarkson misses 2-pt jump shot from 16 ft,38,32
145,2,8:02.0,Defensive rebound by M. Delaney,,38,32
146,2,7:48.0,P. Millsap misses 2-pt hook shot from 7 ft,,38,32
147,2,7:44.0,,Defensive rebound by B. Ingram,38,32
148,2,7:26.0,,B. Ingram makes 2-pt jump shot from 14 ft (assist by J. Clarkson),38,34
149,2,7:11.0,Turnover by D. Howard (lost ball; steal by J. Clarkson),,38,34
150,2,7:08.0,,Shooting foul by T. Prince (drawn by J. Clarkson),38,34
151,2,7:08.0,,J. Clarkson makes free throw 1 of 2,38,35
152,2,7:08.0,D. Schröder enters the game for M. Delaney,,38,35
153,2,7:08.0,M. Muscala enters the game for P. Millsap,,38,35
154,2,7:08.0,K. Bazemore enters the game for T. Prince,,38,35
155,2,7:08.0,,J. Clarkson makes free throw 2 of 2,38,36
156,2,6:57.0,Turnover by D. Schröder (bad pass; steal by T. Black),,38,36
157,2,6:46.0,,B. Ingram makes 3-pt jump shot from 27 ft (assist by L. Williams),38,39
158,2,6:35.0,D. Schröder misses 2-pt layup from 3 ft,,38,39
159,2,6:35.0,Offensive rebound by D. Howard,,38,39
160,2,6:35.0,Shooting foul by B. Ingram (drawn by D. Howard),,38,39
161,2,6:35.0,D. Howard misses free throw 1 of 2,,38,39
162,2,6:35.0,Offensive rebound by Team,,38,39
163,2,6:35.0,D. Howard misses free throw 2 of 2,,38,39
164,2,6:35.0,,N. Young enters the game for B. Ingram,38,39
165,2,6:31.0,,Defensive rebound by J. Clarkson,38,39
166,2,6:20.0,,L. Nance misses 2-pt jump shot from 17 ft,38,39
167,2,6:19.0,,Offensive rebound by Team,38,39
168,2,6:06.0,,T. Black misses 2-pt hook shot from 9 ft,38,39
169,2,6:03.0,Defensive rebound by D. Schröder,,38,39
170,2,5:55.0,D. Schröder misses 2-pt layup from 2 ft,,38,39
171,2,5:53.0,Offensive rebound by D. Howard,,38,39
172,2,5:51.0,M. Muscala misses 2-pt jump shot from 18 ft,,38,39
173,2,5:48.0,,Defensive rebound by L. Nance,38,39
174,2,5:43.0,,N. Young makes 2-pt jump shot from 17 ft,38,41
175,2,5:27.0,Turnover by D. Schröder (bad pass; steal by T. Black),,38,41
176,2,5:23.0,,J. Clarkson makes 2-pt layup from 3 ft (assist by L. Nance),38,43
177,2,5:23.0,Atlanta full timeout,,38,43
178,2,5:23.0,Official timeout,,38,43
179,2,5:12.0,K. Bazemore makes 2-pt jump shot from 16 ft,,40,43
180,2,4:55.0,,N. Young makes 3-pt jump shot from 26 ft (assist by T. Black),40,46
181,2,4:55.0,,Shooting foul by K. Bazemore (drawn by N. Young),40,46
182,2,4:55.0,,N. Young makes free throw 1 of 1,40,47
183,2,4:45.0,K. Korver misses 3-pt jump shot from 25 ft,,40,47
184,2,4:44.0,,Defensive rebound by L. Nance,40,47
185,2,4:35.0,,J. Clarkson misses 3-pt jump shot from 24 ft,40,47
186,2,4:33.0,,Offensive rebound by L. Nance,40,47
187,2,4:33.0,,L. Nance misses 2-pt layup from 1 ft,40,47
188,2,4:33.0,Defensive rebound by Team,,40,47
189,2,4:22.0,D. Schröder makes 2-pt jump shot from 14 ft,,42,47
190,2,3:56.0,,T. Black misses 2-pt hook shot from 6 ft,42,47
191,2,3:52.0,Defensive rebound by K. Korver,,42,47
192,2,3:44.0,D. Schröder misses 3-pt jump shot from 25 ft,,42,47
193,2,3:43.0,,Defensive rebound by J. Clarkson,42,47
194,2,3:42.0,,Personal take foul by D. Schröder (drawn by J. Clarkson),42,47
195,2,3:42.0,P. Millsap enters the game for M. Muscala,,42,47
196,2,3:42.0,T. Hardaway enters the game for K. Korver,,42,47
197,2,3:29.0,,L. Williams misses 2-pt jump shot from 14 ft,42,47
198,2,3:28.0,Defensive rebound by D. Howard,,42,47
199,2,3:12.0,D. Schröder misses 2-pt jump shot from 7 ft (block by T. Black),,42,47
200,2,3:10.0,Offensive rebound by T. Hardaway,,42,47
201,2,3:07.0,Turnover by T. Hardaway (bad pass; steal by N. Young),,42,47
202,2,3:03.0,,J. Clarkson misses 2-pt layup from 2 ft (block by T. Hardaway),42,47
203,2,2:58.0,,Offensive rebound by N. Young,42,47
204,2,2:56.0,,N. Young makes 3-pt jump shot from 27 ft,42,50
205,2,2:38.0,P. Millsap makes 3-pt jump shot from 23 ft (assist by K. Bazemore),,45,50
206,2,2:38.0,,LA Lakers full timeout,45,50
207,2,2:38.0,,T. Mozgov enters the game for L. Williams,45,50
208,2,2:38.0,,L. Deng enters the game for T. Black,45,50
209,2,2:26.0,,J. Clarkson misses 2-pt jump shot from 11 ft (block by D. Schröder),45,50
210,2,2:24.0,Defensive rebound by D. Howard,,45,50
211,2,2:00.0,D. Schröder misses 2-pt jump shot from 7 ft,,45,50
212,2,1:58.0,,Defensive rebound by L. Deng,45,50
213,2,1:48.0,,N. Young makes 3-pt jump shot from 27 ft (assist by J. Clarkson),45,53
214,2,1:26.0,Turnover by P. Millsap (bad pass),,45,53
215,2,1:01.0,,J. Clarkson makes 3-pt jump shot from 24 ft,45,56
216,2,0:39.0,K. Bazemore misses 3-pt jump shot from 26 ft,,45,56
217,2,0:37.0,,Defensive rebound by T. Mozgov,45,56
218,2,0:32.0,,J. Clarkson misses 3-pt jump shot from 26 ft,45,56
219,2,0:26.0,,Offensive rebound by T. Mozgov,45,56
220,2,0:07.0,,Turnover by L. Nance (bad pass; steal by D. Howard),45,56
221,2,0:01.0,K. Bazemore makes 3-pt jump shot from 28 ft,,48,56
222,2,0:00.0,M. Muscala enters the game for D. Howard,,48,56
223,3,11:47.0,K. Korver makes 2-pt jump shot from 16 ft (assist by D. Howard),,50,56
224,3,11:20.0,,L. Deng makes 2-pt dunk at rim (assist by J. Calderón),50,58
225,3,11:06.0,K. Bazemore misses 2-pt jump shot from 10 ft,,50,58
226,3,11:04.0,,Defensive rebound by L. Deng,50,58
227,3,10:48.0,,T. Mozgov misses 2-pt hook shot from 10 ft,50,58
228,3,10:47.0,,Offensive rebound by Team,50,58
229,3,10:47.0,Loose ball foul by P. Millsap (drawn by T. Robinson),,50,58
230,3,10:47.0,Technical foul by P. Millsap,,50,58
231,3,10:47.0,,J. Calderón makes technical free throw,50,59
232,3,10:42.0,,Offensive foul by T. Robinson (drawn by K. Bazemore),50,59
233,3,10:42.0,,Turnover by T. Robinson (offensive foul),50,59
234,3,10:27.0,K. Bazemore makes 2-pt jump shot from 13 ft,,52,59
235,3,10:13.0,Violation by D. Howard (def goaltending),,52,59
236,3,10:13.0,,J. Calderón makes 2-pt jump shot from 2 ft,52,61
237,3,10:02.0,K. Bazemore makes 2-pt jump shot from 12 ft,,54,61
238,3,9:50.0,,N. Young misses 2-pt jump shot from 14 ft,54,61
239,3,9:48.0,Defensive rebound by D. Howard,,54,61
240,3,9:47.0,Shooting foul by J. Calderón (drawn by K. Korver),,54,61
241,3,9:47.0,K. Korver makes free throw 1 of 2,,55,61
242,3,9:47.0,K. Korver makes free throw 2 of 2,,56,61
243,3,9:29.0,,T. Robinson misses 2-pt jump shot from 9 ft,56,61
244,3,9:26.0,Defensive rebound by P. Millsap,,56,61
245,3,9:20.0,K. Korver misses 3-pt jump shot from 27 ft,,56,61
246,3,9:18.0,Offensive rebound by D. Howard,,56,61
247,3,9:18.0,D. Howard misses 2-pt layup at rim,,56,61
248,3,9:13.0,,Defensive rebound by T. Mozgov,56,61
249,3,9:07.0,,N. Young makes 2-pt jump shot from 14 ft,56,63
250,3,8:55.0,D. Howard misses 2-pt jump shot from 19 ft,,56,63
251,3,8:54.0,,Defensive rebound by L. Deng,56,63
252,3,8:49.0,,Shooting foul by K. Korver (drawn by T. Mozgov),56,63
253,3,8:49.0,,T. Mozgov misses free throw 1 of 2,56,63
254,3,8:49.0,,Offensive rebound by Team,56,63
255,3,8:49.0,,T. Mozgov makes free throw 2 of 2,56,64
256,3,8:39.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by D. Schröder),,59,64
257,3,8:25.0,,N. Young misses 2-pt jump shot from 16 ft,59,64
258,3,8:22.0,,Offensive rebound by T. Robinson,59,64
259,3,8:21.0,,T. Robinson makes 2-pt layup from 1 ft,59,66
260,3,8:09.0,P. Millsap misses 3-pt jump shot from 26 ft,,59,66
261,3,8:07.0,,Defensive rebound by T. Mozgov,59,66
262,3,7:59.0,,J. Calderón makes 2-pt jump shot from 20 ft,59,68
263,3,7:38.0,K. Bazemore makes 3-pt jump shot from 26 ft,,62,68
264,3,7:15.0,,T. Robinson makes 2-pt layup from 1 ft (assist by L. Deng),62,70
265,3,7:13.0,Personal foul by J. Calderón (drawn by D. Schröder),,62,70
266,3,7:13.0,M. Muscala enters the game for P. Millsap,,62,70
267,3,7:00.0,D. Howard makes 2-pt layup from 2 ft (assist by K. Bazemore),,64,70
268,3,6:42.0,,T. Robinson makes 2-pt layup from 1 ft (assist by J. Calderón),64,72
269,3,6:34.0,D. Howard makes 2-pt layup from 2 ft (assist by D. Schröder),,66,72
270,3,6:34.0,Shooting foul by N. Young (drawn by D. Howard),,66,72
271,3,6:34.0,D. Howard misses free throw 1 of 1,,66,72
272,3,6:34.0,,Defensive rebound by T. Robinson,66,72
273,3,6:15.0,,T. Robinson misses 2-pt layup at rim (block by D. Howard),66,72
274,3,6:10.0,,Offensive rebound by T. Mozgov,66,72
275,3,6:10.0,,T. Mozgov makes 2-pt dunk at rim,66,74
276,3,6:01.0,Turnover by K. Korver (bad pass; steal by L. Deng),,66,74
277,3,5:56.0,,N. Young misses 2-pt jump shot from 15 ft,66,74
278,3,5:54.0,Defensive rebound by K. Bazemore,,66,74
279,3,5:47.0,K. Korver misses 3-pt jump shot from 24 ft,,66,74
280,3,5:45.0,,Defensive rebound by J. Calderón,66,74
281,3,5:41.0,,N. Young misses 3-pt jump shot from 27 ft,66,74
282,3,5:41.0,Defensive rebound by Team,,66,74
283,3,5:41.0,,LA Lakers full timeout,66,74
284,3,5:41.0,T. Sefolosha enters the game for K. Bazemore,,66,74
285,3,5:41.0,,B. Ingram enters the game for J. Calderón,66,74
286,3,5:25.0,Turnover by D. Howard (step out of bounds),,66,74
287,3,5:06.0,,T. Robinson misses 2-pt jump shot from 6 ft,66,74
288,3,5:05.0,,Offensive rebound by T. Robinson,66,74
289,3,4:58.0,,L. Deng misses 3-pt jump shot from 26 ft,66,74
290,3,4:56.0,Defensive rebound by T. Sefolosha,,66,74
291,3,4:42.0,D. Schröder makes 2-pt jump shot from 18 ft,,68,74
292,3,4:27.0,,Personal foul by D. Schröder (drawn by B. Ingram),68,74
293,3,4:27.0,,L. Nance enters the game for T. Robinson,68,74
294,3,4:13.0,,B. Ingram misses 2-pt jump shot from 17 ft,68,74
295,3,4:10.0,,Offensive rebound by L. Nance,68,74
296,3,4:10.0,,L. Nance makes 2-pt layup from 1 ft,68,76
297,3,3:59.0,Offensive foul by D. Howard (drawn by T. Mozgov),,68,76
298,3,3:59.0,Turnover by D. Howard (offensive foul),,68,76
299,3,3:41.0,,T. Mozgov misses 2-pt jump shot from 21 ft,68,76
300,3,3:40.0,Defensive rebound by M. Muscala,,68,76
301,3,3:32.0,Personal foul by T. Mozgov (drawn by D. Howard),,68,76
302,3,3:32.0,,J. Clarkson enters the game for L. Deng,68,76
303,3,3:20.0,K. Korver misses 2-pt jump shot from 8 ft,,68,76
304,3,3:17.0,Offensive rebound by T. Sefolosha,,68,76
305,3,3:14.0,K. Korver makes 3-pt jump shot from 24 ft (assist by T. Sefolosha),,71,76
306,3,3:01.0,,B. Ingram misses 3-pt jump shot from 24 ft,71,76
307,3,3:01.0,,Offensive rebound by Team,71,76
308,3,3:01.0,Loose ball foul by D. Howard (drawn by T. Mozgov),,71,76
309,3,3:01.0,P. Millsap enters the game for D. Howard,,71,76
310,3,3:01.0,,T. Black enters the game for T. Mozgov,71,76
311,3,2:56.0,,Shooting foul by M. Muscala (drawn by J. Clarkson),71,76
312,3,2:56.0,Atlanta full timeout,,71,76
313,3,2:56.0,,J. Clarkson makes free throw 1 of 2,71,77
314,3,2:56.0,,L. Williams enters the game for N. Young,71,76
315,3,2:56.0,,J. Clarkson misses free throw 2 of 2,71,77
316,3,2:54.0,Defensive rebound by T. Sefolosha,,71,77
317,3,2:35.0,D. Schröder misses 2-pt jump shot from 11 ft,,71,77
318,3,2:32.0,,Defensive rebound by T. Black,71,77
319,3,2:17.0,,J. Clarkson makes 2-pt hook shot from 5 ft,71,79
320,3,1:59.0,T. Sefolosha misses 3-pt jump shot from 25 ft,,71,79
321,3,1:57.0,,Defensive rebound by L. Williams,71,79
322,3,1:48.0,,L. Williams misses 2-pt jump shot from 4 ft,71,79
323,3,1:44.0,Defensive rebound by M. Muscala,,71,79
324,3,1:39.0,M. Muscala makes 2-pt layup from 2 ft (assist by D. Schröder),,73,79
325,3,1:11.0,,J. Clarkson makes 2-pt jump shot from 7 ft,73,81
326,3,1:02.0,P. Millsap misses 3-pt jump shot from 25 ft,,73,81
327,3,1:01.0,,Defensive rebound by T. Black,73,81
328,3,0:51.0,,B. Ingram misses 2-pt jump shot from 16 ft,73,81
329,3,0:49.0,,Offensive rebound by L. Nance,73,81
330,3,0:41.0,,L. Williams makes 3-pt jump shot from 24 ft,73,84
331,3,0:29.0,P. Millsap makes 2-pt layup from 2 ft (assist by D. Schröder),,75,84
332,3,0:14.0,,Turnover by L. Williams (lost ball; steal by D. Schröder),75,84
333,3,0:01.0,M. Muscala makes 2-pt layup from 1 ft (assist by D. Schröder),,77,84
334,4,11:39.0,,L. Williams makes 2-pt jump shot from 15 ft (assist by L. Nance),77,86
335,4,11:16.0,P. Millsap makes 2-pt layup from 2 ft (assist by M. Delaney),,79,86
336,4,10:59.0,,L. Williams misses 3-pt jump shot from 25 ft,79,86
337,4,10:58.0,Defensive rebound by Team,,79,86
338,4,10:46.0,P. Millsap misses 2-pt jump shot from 13 ft,,79,86
339,4,10:46.0,Offensive rebound by Team,,79,86
340,4,10:37.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by M. Delaney),,82,86
341,4,10:18.0,,B. Ingram misses 2-pt jump shot from 19 ft,82,86
342,4,10:14.0,Defensive rebound by M. Muscala,,82,86
343,4,10:09.0,K. Bazemore misses 2-pt jump shot from 20 ft,,82,86
344,4,10:03.0,,Defensive rebound by B. Ingram,82,86
345,4,9:56.0,,Personal block foul by M. Delaney (drawn by B. Ingram),82,86
346,4,9:49.0,,Shooting block foul by M. Delaney (drawn by L. Williams),82,86
347,4,9:49.0,,L. Williams makes free throw 1 of 2,82,87
348,4,9:49.0,,L. Williams makes free throw 2 of 2,82,88
349,4,9:37.0,M. Delaney misses 2-pt jump shot from 20 ft,,82,88
350,4,9:36.0,,Defensive rebound by B. Ingram,82,88
351,4,9:29.0,,Shooting foul by M. Delaney (drawn by L. Williams),82,88
352,4,9:29.0,,L. Williams makes free throw 1 of 3,82,89
353,4,9:29.0,,L. Williams makes free throw 2 of 3,82,90
354,4,9:29.0,D. Howard enters the game for M. Muscala,,82,90
355,4,9:29.0,,L. Williams makes free throw 3 of 3,82,91
356,4,9:09.0,K. Bazemore misses 3-pt jump shot from 26 ft,,82,91
357,4,9:08.0,Offensive rebound by P. Millsap,,82,91
358,4,9:02.0,K. Bazemore misses 2-pt jump shot from 18 ft,,82,91
359,4,9:00.0,,Defensive rebound by T. Black,82,91
360,4,8:44.0,,Personal foul by T. Sefolosha (drawn by T. Black),82,91
361,4,8:44.0,Official timeout,,82,91
362,4,8:44.0,K. Korver enters the game for T. Sefolosha,,82,91
363,4,8:39.0,,J. Clarkson misses 2-pt jump shot from 13 ft,82,91
364,4,8:38.0,,Offensive rebound by Team,82,91
365,4,8:31.0,,L. Williams misses 3-pt jump shot from 27 ft,82,91
366,4,8:29.0,,Offensive rebound by T. Black,82,91
367,4,8:26.0,,T. Black makes 2-pt layup from 2 ft,82,93
368,4,8:14.0,D. Howard makes 2-pt dunk at rim (assist by P. Millsap),,84,93
369,4,7:50.0,,J. Clarkson makes 2-pt jump shot from 9 ft (assist by L. Nance),84,95
370,4,7:31.0,K. Bazemore misses 2-pt jump shot from 4 ft (block by T. Black),,84,95
371,4,7:29.0,,Defensive rebound by L. Nance,84,95
372,4,7:08.0,,L. Nance misses 3-pt jump shot from 24 ft,84,95
373,4,7:06.0,Defensive rebound by M. Delaney,,84,95
374,4,6:46.0,K. Bazemore misses 3-pt jump shot from 26 ft,,84,95
375,4,6:42.0,,Defensive rebound by L. Williams,84,95
376,4,6:39.0,,Offensive foul by L. Nance (drawn by K. Bazemore),84,95
377,4,6:39.0,,Turnover by L. Nance (offensive foul),84,95
378,4,6:39.0,T. Sefolosha enters the game for K. Bazemore,,84,95
379,4,6:39.0,D. Schröder enters the game for M. Delaney,,84,95
380,4,6:31.0,Turnover by D. Schröder (bad pass; steal by J. Clarkson),,84,95
381,4,6:23.0,,B. Ingram makes 2-pt jump shot from 15 ft (assist by J. Clarkson),84,97
382,4,6:17.0,Atlanta full timeout,,84,97
383,4,6:17.0,M. Muscala enters the game for P. Millsap,,84,97
384,4,6:12.0,Turnover by D. Howard (bad pass),,84,97
385,4,5:58.0,,L. Williams makes 2-pt jump shot from 13 ft,84,99
386,4,5:58.0,,Shooting foul by D. Howard (drawn by L. Williams),84,99
