,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DALLAS_ACTION,WASHINGTON_SCORE,DALLAS_SCORE
172,2,4:32.0,,Personal foul by M. Morris (drawn by S. Curry),43,52
173,2,4:32.0,,S. Curry makes free throw 1 of 2,43,53
174,2,4:32.0,K. Oubre enters the game for M. Morris,,43,53
175,2,4:32.0,,S. Curry makes free throw 2 of 2,43,54
176,2,4:18.0,J. Wall misses 2-pt jump shot from 10 ft,,43,54
177,2,4:18.0,,Defensive rebound by A. Bogut,43,54
178,2,4:06.0,,W. Matthews misses 2-pt jump shot from 16 ft,43,54
179,2,4:05.0,Defensive rebound by O. Porter,,43,54
180,2,3:59.0,Personal foul by H. Barnes (drawn by J. Wall),,43,54
181,2,3:59.0,,D. Williams enters the game for S. Curry,43,54
182,2,3:45.0,J. Wall makes 2-pt jump shot from 2 ft,,45,54
183,2,3:34.0,,D. Williams makes 2-pt jump shot from 19 ft,45,56
184,2,3:17.0,,D. Finney-Smith enters the game for P. Jackson,45,56
185,2,3:15.0,B. Beal makes 2-pt jump shot from 8 ft (assist by K. Oubre),,47,56
186,2,3:15.0,Shooting foul by H. Barnes (drawn by B. Beal),,47,56
187,2,3:15.0,B. Beal misses free throw 1 of 1,,47,56
188,2,3:15.0,,D. Nowitzki enters the game for A. Bogut,47,56
189,2,3:14.0,,Defensive rebound by D. Nowitzki,47,56
190,2,3:01.0,,H. Barnes misses 2-pt jump shot from 18 ft,47,56
191,2,3:00.0,Defensive rebound by K. Oubre,,47,56
192,2,2:50.0,J. Wall misses 2-pt jump shot from 8 ft,,47,56
193,2,2:49.0,,Defensive rebound by D. Nowitzki,47,56
194,2,2:37.0,,W. Matthews makes 2-pt jump shot from 11 ft,47,58
195,2,2:29.0,B. Beal makes 2-pt layup from 1 ft,,49,58
196,2,2:25.0,,Dallas full timeout,49,58
197,2,2:21.0,,Turnover by D. Williams (lost ball; steal by J. Wall),49,58
198,2,2:21.0,Personal take foul by D. Williams (drawn by J. Wall),,49,58
199,2,2:08.0,O. Porter makes 3-pt jump shot from 23 ft (assist by B. Beal),,52,58
200,2,1:52.0,,H. Barnes misses 3-pt jump shot from 25 ft,52,58
201,2,1:51.0,Defensive rebound by K. Oubre,,52,58
202,2,1:43.0,J. Wall makes 2-pt layup from 1 ft,,54,58
203,2,1:20.0,,Turnover by D. Williams (lost ball),54,58
204,2,1:18.0,B. Beal makes 2-pt jump shot from 16 ft (assist by J. Wall),,56,58
205,2,1:09.0,,Turnover by D. Williams (lost ball; steal by J. Wall),56,58
206,2,1:07.0,J. Wall makes 2-pt layup from 1 ft (assist by B. Beal),,58,58
207,2,1:07.0,Shooting foul by D. Nowitzki (drawn by J. Wall),,58,58
208,2,1:07.0,J. Wall makes free throw 1 of 1,,59,58
209,2,0:58.0,,H. Barnes makes 2-pt dunk at rim (assist by D. Williams),59,60
210,2,0:49.0,B. Beal misses 2-pt jump shot from 23 ft,,59,60
211,2,0:48.0,,Defensive rebound by D. Nowitzki,59,60
212,2,0:43.0,,W. Matthews misses 2-pt layup from 3 ft (block by O. Porter),59,60
213,2,0:41.0,Defensive rebound by M. Gortat,,59,60
214,2,0:41.0,,Loose ball foul by H. Barnes (drawn by J. Wall),59,60
215,2,0:41.0,J. Wall makes free throw 1 of 2,,60,60
216,2,0:41.0,S. Mac enters the game for B. Beal,,60,60
217,2,0:41.0,J. Wall makes free throw 2 of 2,,61,60
218,2,0:36.0,,D. Williams misses 2-pt layup from 3 ft (block by M. Gortat),61,60
219,2,0:33.0,Defensive rebound by M. Gortat,,61,60
220,2,0:30.0,J. Wall makes 3-pt jump shot from 25 ft (assist by M. Gortat),,64,60
221,2,0:21.0,,Personal foul by K. Oubre (drawn by H. Barnes),64,60
222,2,0:21.0,,H. Barnes misses free throw 1 of 2,64,60
223,2,0:21.0,,Offensive rebound by Team,64,60
224,2,0:21.0,,D. Powell enters the game for D. Nowitzki,64,60
225,2,0:21.0,B. Beal enters the game for K. Oubre,,64,60
226,2,0:21.0,,H. Barnes makes free throw 2 of 2,64,61
227,2,0:03.0,J. Wall makes 2-pt layup at rim,,66,61
228,2,0:03.0,Shooting foul by D. Powell (drawn by J. Wall),,66,61
229,2,0:03.0,K. Oubre enters the game for B. Beal,,66,61
230,2,0:03.0,J. Wall makes free throw 1 of 1,,67,61
231,2,0:01.0,,D. Williams misses 3-pt jump shot from 47 ft,67,61
232,2,0:00.0,,Offensive rebound by Team,67,61
233,3,11:47.0,,Shooting foul by O. Porter (drawn by H. Barnes),67,61
234,3,11:47.0,,H. Barnes makes free throw 1 of 2,67,62
235,3,11:47.0,,H. Barnes makes free throw 2 of 2,67,63
236,3,11:39.0,M. Morris makes 2-pt dunk at rim (assist by J. Wall),,69,63
237,3,11:24.0,,W. Matthews misses 3-pt jump shot from 25 ft,69,63
238,3,11:23.0,Defensive rebound by O. Porter,,69,63
239,3,11:08.0,O. Porter misses 2-pt layup at rim,,69,63
240,3,11:07.0,,Defensive rebound by D. Nowitzki,69,63
241,3,10:50.0,,D. Williams misses 2-pt layup at rim,69,63
242,3,10:49.0,Defensive rebound by M. Morris,,69,63
243,3,10:40.0,M. Morris misses 3-pt jump shot from 23 ft,,69,63
244,3,10:39.0,,Defensive rebound by H. Barnes,69,63
245,3,10:20.0,,Turnover by D. Finney-Smith (traveling),69,63
246,3,10:04.0,B. Beal misses 3-pt jump shot from 24 ft,,69,63
247,3,10:03.0,,Defensive rebound by H. Barnes,69,63
248,3,9:54.0,,Turnover by D. Williams (bad pass; steal by J. Wall),69,63
249,3,9:52.0,Shooting foul by D. Williams (drawn by B. Beal),,69,63
250,3,9:52.0,B. Beal makes free throw 1 of 2,,70,63
251,3,9:52.0,B. Beal makes free throw 2 of 2,,71,63
252,3,9:36.0,,D. Williams makes 3-pt jump shot from 25 ft,71,66
253,3,9:21.0,B. Beal misses 3-pt jump shot from 24 ft,,71,66
254,3,9:21.0,Offensive rebound by M. Gortat,,71,66
255,3,9:14.0,M. Gortat misses 2-pt jump shot from 8 ft,,71,66
256,3,9:13.0,,Defensive rebound by D. Finney-Smith,71,66
257,3,9:09.0,,Turnover by D. Finney-Smith (step out of bounds),71,66
258,3,8:59.0,J. Wall misses 2-pt jump shot from 20 ft,,71,66
259,3,8:58.0,Offensive rebound by Team,,71,66
260,3,8:53.0,M. Morris makes 2-pt jump shot from 8 ft (assist by B. Beal),,73,66
261,3,8:36.0,,H. Barnes misses 3-pt jump shot from 23 ft,73,66
262,3,8:35.0,Defensive rebound by M. Gortat,,73,66
263,3,8:17.0,M. Morris misses 2-pt jump shot from 4 ft (block by W. Matthews),,73,66
264,3,8:17.0,Offensive rebound by Team,,73,66
265,3,8:14.0,B. Beal makes 2-pt hook shot from 5 ft (assist by O. Porter),,75,66
266,3,8:13.0,,Dallas full timeout,75,66
267,3,8:13.0,,D. Harris enters the game for D. Finney-Smith,75,66
268,3,7:54.0,,D. Harris makes 3-pt jump shot from 24 ft (assist by H. Barnes),75,69
269,3,7:32.0,M. Morris misses 2-pt jump shot from 9 ft,,75,69
270,3,7:31.0,,Defensive rebound by D. Harris,75,69
271,3,7:16.0,,H. Barnes misses 2-pt jump shot from 6 ft,75,69
272,3,7:15.0,Defensive rebound by M. Gortat,,75,69
273,3,7:00.0,B. Beal misses 2-pt layup from 3 ft,,75,69
274,3,6:58.0,Offensive rebound by M. Gortat,,75,69
275,3,6:57.0,M. Gortat makes 2-pt layup from 1 ft,,77,69
276,3,6:38.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by D. Williams),77,72
277,3,6:16.0,Personal foul by D. Williams (drawn by M. Gortat),,77,72
278,3,6:10.0,Turnover by O. Porter (lost ball; steal by D. Harris),,77,72
279,3,6:06.0,,D. Harris misses 2-pt layup from 3 ft (block by O. Porter),77,72
280,3,6:04.0,Defensive rebound by B. Beal,,77,72
281,3,5:56.0,M. Gortat makes 2-pt layup at rim (assist by O. Porter),,79,72
282,3,5:36.0,,Shooting block foul by M. Gortat (drawn by D. Williams),79,72
283,3,5:36.0,,D. Williams makes free throw 1 of 2,79,73
284,3,5:36.0,,A. Bogut enters the game for D. Nowitzki,79,73
285,3,5:36.0,K. Oubre enters the game for M. Morris,,79,73
286,3,5:36.0,,D. Williams makes free throw 2 of 2,79,74
287,3,5:25.0,B. Beal misses 3-pt jump shot from 25 ft,,79,74
288,3,5:24.0,,Defensive rebound by H. Barnes,79,74
289,3,5:15.0,,Turnover by H. Barnes (lost ball),79,74
290,3,5:04.0,J. Wall makes 2-pt jump shot from 11 ft,,81,74
291,3,4:41.0,,D. Harris makes 3-pt jump shot from 23 ft (assist by H. Barnes),81,77
292,3,4:16.0,K. Oubre misses 3-pt jump shot from 24 ft,,81,77
293,3,4:15.0,,Defensive rebound by D. Harris,81,77
294,3,4:05.0,,Personal foul by K. Oubre (drawn by H. Barnes),81,77
295,3,4:05.0,,S. Curry enters the game for D. Williams,81,77
296,3,4:05.0,M. Thornton enters the game for B. Beal,,81,77
297,3,3:56.0,,Shooting foul by O. Porter (drawn by H. Barnes),81,77
298,3,3:56.0,,H. Barnes makes free throw 1 of 2,81,78
299,3,3:56.0,,H. Barnes makes free throw 2 of 2,81,79
300,3,3:47.0,J. Wall misses 2-pt jump shot from 20 ft,,81,79
301,3,3:46.0,,Defensive rebound by H. Barnes,81,79
302,3,3:32.0,,Turnover by S. Curry (bad pass; steal by O. Porter),81,79
303,3,3:21.0,Personal foul by S. Curry (drawn by M. Thornton),,81,79
304,3,3:09.0,M. Thornton misses 3-pt jump shot from 24 ft,,81,79
305,3,3:08.0,Offensive rebound by M. Gortat,,81,79
306,3,3:08.0,M. Gortat makes 2-pt layup from 1 ft,,83,79
307,3,2:53.0,,S. Curry makes 3-pt jump shot from 24 ft,83,82
308,3,2:51.0,Washington full timeout,,83,82
309,3,2:32.0,M. Gortat misses 2-pt layup from 2 ft (block by H. Barnes),,83,82
310,3,2:31.0,,Defensive rebound by H. Barnes,83,82
311,3,2:08.0,,D. Harris makes 3-pt jump shot from 24 ft (assist by H. Barnes),83,85
312,3,1:42.0,O. Porter makes 2-pt jump shot from 11 ft (assist by K. Oubre),,85,85
313,3,1:16.0,,H. Barnes makes 2-pt jump shot from 19 ft (assist by S. Curry),85,87
314,3,1:02.0,M. Thornton makes 3-pt jump shot from 24 ft (assist by J. Wall),,88,87
315,3,0:50.0,,S. Curry misses 2-pt jump shot from 8 ft,88,87
316,3,0:49.0,,Offensive rebound by A. Bogut,88,87
317,3,0:49.0,,A. Bogut misses 2-pt layup from 1 ft,88,87
318,3,0:48.0,,Offensive rebound by A. Bogut,88,87
319,3,0:48.0,,A. Bogut misses 2-pt layup from 1 ft,88,87
320,3,0:47.0,Defensive rebound by O. Porter,,88,87
321,3,0:32.0,J. Wall misses 2-pt jump shot from 18 ft,,88,87
322,3,0:31.0,,Defensive rebound by H. Barnes,88,87
323,3,0:12.0,,H. Barnes misses 2-pt jump shot from 19 ft,88,87
324,3,0:11.0,Defensive rebound by K. Oubre,,88,87
325,3,0:04.0,Personal take foul by S. Curry (drawn by J. Wall),,88,87
326,3,0:04.0,,D. Finney-Smith enters the game for H. Barnes,88,87
327,3,0:01.0,J. Wall misses 2-pt layup from 1 ft,,88,87
328,3,0:00.0,Offensive rebound by Team,,88,87
329,4,11:46.0,T. Burke misses 2-pt jump shot from 17 ft,,88,87
330,4,11:45.0,,Defensive rebound by D. Powell,88,87
331,4,11:28.0,,D. Powell makes 2-pt layup from 2 ft (assist by D. Harris),88,89
332,4,11:19.0,Personal foul by D. Harris (drawn by M. Thornton),,88,89
333,4,11:13.0,Personal foul by D. Harris (drawn by M. Gortat),,88,89
334,4,11:04.0,M. Thornton misses 3-pt jump shot from 25 ft,,88,89
335,4,11:03.0,,Defensive rebound by D. Powell,88,89
336,4,10:42.0,,S. Curry makes 2-pt jump shot from 11 ft,88,91
337,4,10:25.0,O. Porter misses 2-pt jump shot from 18 ft,,88,91
338,4,10:24.0,,Defensive rebound by Team,88,91
339,4,10:24.0,,D. Williams enters the game for D. Harris,88,91
340,4,10:07.0,,Shooting foul by O. Porter (drawn by D. Powell),88,91
341,4,10:07.0,,D. Powell misses free throw 1 of 2,88,91
342,4,10:07.0,,Offensive rebound by Team,88,91
343,4,10:07.0,B. Beal enters the game for M. Gortat,,88,91
344,4,10:07.0,J. Smith enters the game for O. Porter,,88,91
345,4,10:07.0,,D. Powell makes free throw 2 of 2,88,92
346,4,9:45.0,K. Oubre misses 3-pt jump shot from 25 ft,,88,92
347,4,9:44.0,,Defensive rebound by D. Nowitzki,88,92
348,4,9:29.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,88,92
349,4,9:28.0,Defensive rebound by B. Beal,,88,92
350,4,9:13.0,B. Beal misses 2-pt jump shot from 14 ft,,88,92
351,4,9:12.0,,Defensive rebound by Team,88,92
352,4,8:52.0,,D. Williams misses 3-pt jump shot from 24 ft,88,92
353,4,8:51.0,Defensive rebound by Team,,88,92
354,4,8:51.0,Official timeout,,88,92
355,4,8:28.0,B. Beal misses 2-pt jump shot from 19 ft,,88,92
356,4,8:28.0,,Defensive rebound by Team,88,92
357,4,8:28.0,Loose ball foul by J. Smith (drawn by D. Nowitzki),,88,92
358,4,8:14.0,,D. Williams makes 2-pt jump shot from 7 ft,88,94
359,4,8:14.0,,Shooting foul by T. Burke (drawn by D. Williams),88,94
360,4,8:14.0,J. Wall enters the game for T. Burke,,88,94
361,4,8:14.0,,D. Williams makes free throw 1 of 1,88,95
362,4,7:58.0,J. Smith makes 2-pt layup from 1 ft (assist by B. Beal),,90,95
363,4,7:41.0,Offensive charge foul by D. Powell (drawn by K. Oubre),,90,95
364,4,7:41.0,,Turnover by D. Powell (offensive foul),90,95
365,4,7:25.0,Turnover by J. Wall (bad pass),,90,95
366,4,7:25.0,O. Porter enters the game for M. Thornton,,90,95
367,4,7:06.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Williams),90,98
368,4,7:05.0,Washington full timeout,,90,98
369,4,7:05.0,,W. Matthews enters the game for D. Nowitzki,90,98
370,4,7:05.0,,A. Bogut enters the game for D. Williams,90,98
371,4,7:05.0,,H. Barnes enters the game for D. Powell,90,98
372,4,7:03.0,M. Morris enters the game for K. Oubre,,90,98
373,4,7:03.0,M. Gortat enters the game for J. Smith,,90,98
374,4,6:48.0,O. Porter misses 3-pt jump shot from 23 ft,,90,98
375,4,6:47.0,,Defensive rebound by D. Finney-Smith,90,98
376,4,6:22.0,,S. Curry misses 2-pt jump shot from 11 ft,90,98
377,4,6:21.0,Defensive rebound by M. Gortat,,90,98
378,4,6:18.0,B. Beal makes 2-pt dunk from 1 ft (assist by J. Wall),,92,98
379,4,6:17.0,Technical foul by B. Beal,,92,98
380,4,6:17.0,,H. Barnes makes technical free throw,92,99
381,4,5:55.0,,W. Matthews makes 3-pt jump shot from 23 ft,92,102
382,4,5:32.0,B. Beal makes 3-pt jump shot from 25 ft (assist by M. Gortat),,95,102
383,4,5:13.0,,H. Barnes makes 2-pt jump shot from 12 ft (assist by S. Curry),95,104
384,4,5:04.0,Turnover by B. Beal (lost ball; steal by D. Finney-Smith),,95,104
385,4,4:51.0,,W. Matthews misses 2-pt jump shot from 23 ft,95,104
386,4,4:50.0,Defensive rebound by M. Gortat,,95,104
387,4,4:37.0,M. Morris makes 2-pt jump shot from 4 ft,,97,104
