,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
156,2,7:07.0,B. Bass makes 2-pt dunk at rim (assist by W. Johnson),,43,36
157,2,6:47.0,,Shooting block foul by M. Speights (drawn by B. Ingram),43,36
158,2,6:47.0,,B. Ingram makes free throw 1 of 2,43,37
159,2,6:47.0,D. Jordan enters the game for M. Speights,,43,37
160,2,6:47.0,,D. Russell enters the game for J. Clarkson,43,37
161,2,6:47.0,,T. Mozgov enters the game for T. Robinson,43,37
162,2,6:47.0,,B. Ingram makes free throw 2 of 2,43,38
163,2,6:38.0,Personal foul by B. Ingram (drawn by B. Bass),,43,38
164,2,6:38.0,J. Redick enters the game for J. Crawford,,43,38
165,2,6:35.0,Turnover by R. Felton (bad pass; steal by L. Deng),,43,38
166,2,6:21.0,,B. Ingram misses 3-pt jump shot from 24 ft,43,38
167,2,6:20.0,Defensive rebound by B. Bass,,43,38
168,2,6:09.0,W. Johnson misses 2-pt jump shot from 19 ft,,43,38
169,2,6:08.0,,Defensive rebound by T. Mozgov,43,38
170,2,6:01.0,,L. Williams misses 2-pt layup from 2 ft,43,38
171,2,5:56.0,Defensive rebound by D. Jordan,,43,38
172,2,5:51.0,R. Felton makes 2-pt jump shot from 4 ft,,45,38
173,2,5:36.0,,Shooting foul by W. Johnson (drawn by T. Mozgov),45,38
174,2,5:36.0,Official timeout,,45,38
175,2,5:36.0,,T. Mozgov makes free throw 1 of 2,45,39
176,2,5:36.0,,N. Young enters the game for L. Deng,45,38
177,2,5:36.0,,J. Randle enters the game for L. Williams,45,38
178,2,5:36.0,,T. Mozgov misses free throw 2 of 2,45,39
179,2,5:34.0,Defensive rebound by B. Bass,,45,39
180,2,5:14.0,R. Felton misses 2-pt jump shot from 19 ft,,45,39
181,2,5:14.0,Offensive rebound by Team,,45,39
182,2,5:14.0,,Loose ball foul by T. Mozgov (drawn by D. Jordan),45,39
183,2,5:14.0,J. Crawford enters the game for W. Johnson,,45,39
184,2,4:58.0,Turnover by B. Bass (traveling),,45,39
185,2,4:41.0,,Shooting foul by R. Felton (drawn by D. Russell),45,39
186,2,4:41.0,,D. Russell makes free throw 1 of 2,45,40
187,2,4:41.0,,D. Russell makes free throw 2 of 2,45,41
188,2,4:30.0,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Crawford),,47,41
189,2,4:16.0,,D. Russell misses 3-pt jump shot from 25 ft,47,41
190,2,4:15.0,Defensive rebound by B. Bass,,47,41
191,2,4:08.0,J. Redick misses 3-pt jump shot from 24 ft,,47,41
192,2,4:07.0,,Defensive rebound by D. Russell,47,41
193,2,3:58.0,,N. Young makes 3-pt jump shot from 24 ft (assist by J. Randle),47,44
194,2,3:41.0,J. Crawford makes 2-pt jump shot from 5 ft (assist by J. Redick),,49,44
195,2,3:32.0,,D. Russell misses 3-pt jump shot from 26 ft,49,44
196,2,3:30.0,Defensive rebound by D. Jordan,,49,44
197,2,3:21.0,J. Redick misses 3-pt jump shot from 27 ft,,49,44
198,2,3:19.0,,Defensive rebound by N. Young,49,44
199,2,3:17.0,,Personal take foul by J. Redick (drawn by N. Young),49,44
200,2,3:17.0,,N. Young makes free throw 1 of 2,49,45
201,2,3:17.0,,L. Deng enters the game for B. Ingram,49,45
202,2,3:17.0,,N. Young makes free throw 2 of 2,49,46
203,2,3:07.0,J. Crawford makes 2-pt jump shot from 12 ft (assist by D. Jordan),,51,46
204,2,2:50.0,,N. Young misses 3-pt jump shot from 25 ft,51,46
205,2,2:49.0,Defensive rebound by D. Jordan,,51,46
206,2,2:43.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Crawford),,54,46
207,2,2:42.0,,LA Lakers full timeout,54,46
208,2,2:30.0,,Turnover by D. Russell (bad pass; steal by B. Bass),54,46
