,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PHILADELPHIA_ACTION,PHOENIX_SCORE,PHILADELPHIA_SCORE
115,1,1:17.0,,Defensive rebound by J. Embiid,17,28
116,1,1:06.0,,J. Embiid makes 3-pt jump shot from 24 ft (assist by T. McConnell),17,31
117,1,0:47.0,A. Williams misses 2-pt jump shot from 10 ft,,17,31
118,1,0:46.0,Offensive rebound by J. Dudley,,17,31
119,1,0:41.0,D. Bender misses 3-pt jump shot from 25 ft,,17,31
120,1,0:40.0,,Defensive rebound by J. Embiid,17,31
121,1,0:35.0,,Turnover by J. Embiid (lost ball; steal by B. Knight),17,31
122,1,0:33.0,Personal foul by J. Embiid (drawn by B. Knight),,17,31
123,1,0:33.0,B. Knight makes free throw 1 of 2,,18,31
124,1,0:33.0,,J. Okafor enters the game for J. Embiid,18,31
125,1,0:33.0,B. Knight makes free throw 2 of 2,,19,31
126,1,0:25.0,,D. Šarić misses 3-pt jump shot from 26 ft,19,31
127,1,0:24.0,,Offensive rebound by H. Thompson,19,31
128,1,0:13.0,,Shooting foul by D. Bender (drawn by H. Thompson),19,31
129,1,0:13.0,,H. Thompson makes free throw 1 of 2,19,32
130,1,0:13.0,,H. Thompson misses free throw 2 of 2,19,32
131,1,0:12.0,Defensive rebound by D. Bender,,19,32
132,2,11:37.0,,D. Šarić makes 3-pt jump shot from 24 ft (assist by J. Okafor),19,35
133,2,11:19.0,E. Bledsoe makes 2-pt jump shot from 17 ft,,21,35
134,2,11:04.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by D. Šarić),21,38
135,2,10:52.0,E. Bledsoe misses 2-pt jump shot from 8 ft,,21,38
136,2,10:51.0,Offensive rebound by A. Williams,,21,38
137,2,10:50.0,A. Williams makes 2-pt layup from 1 ft,,23,38
138,2,10:30.0,,H. Thompson makes 2-pt layup from 2 ft (assist by D. Šarić),23,40
139,2,10:18.0,J. Dudley makes 2-pt layup from 2 ft (assist by E. Bledsoe),,25,40
140,2,9:57.0,,Turnover by D. Šarić (lost ball; steal by T. Ulis),25,40
141,2,9:47.0,E. Bledsoe misses 2-pt layup from 2 ft,,25,40
142,2,9:46.0,,Defensive rebound by D. Šarić,25,40
143,2,9:25.0,,T. McConnell misses 2-pt jump shot from 8 ft,25,40
144,2,9:24.0,Defensive rebound by T. Ulis,,25,40
145,2,9:20.0,Shooting foul by J. Okafor (drawn by T. Ulis),,25,40
146,2,9:20.0,T. Ulis misses free throw 1 of 2,,25,40
147,2,9:20.0,Offensive rebound by Team,,25,40
148,2,9:20.0,,S. Rodríguez enters the game for T. McConnell,25,40
149,2,9:20.0,,R. Covington enters the game for H. Thompson,25,40
150,2,9:20.0,,G. Henderson enters the game for N. Stauskas,25,40
151,2,9:20.0,T. Ulis makes free throw 2 of 2,,26,40
152,2,9:04.0,,Turnover by D. Šarić (bad pass; steal by T. Ulis),26,40
153,2,8:58.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by T. Ulis),,28,40
154,2,8:58.0,,Philadelphia full timeout,28,40
155,2,8:58.0,,E. İlyasova enters the game for D. Šarić,28,40
156,2,8:42.0,,J. Okafor makes 2-pt layup from 2 ft (assist by E. İlyasova),28,42
157,2,8:31.0,J. Dudley misses 3-pt jump shot from 23 ft,,28,42
158,2,8:30.0,,Defensive rebound by S. Rodríguez,28,42
159,2,8:16.0,,G. Henderson misses 2-pt jump shot from 9 ft,28,42
160,2,8:15.0,Defensive rebound by P. Tucker,,28,42
161,2,8:06.0,A. Williams misses 2-pt layup from 3 ft,,28,42
162,2,8:04.0,,Defensive rebound by S. Rodríguez,28,42
163,2,7:59.0,,E. İlyasova makes 2-pt dunk at rim (assist by R. Covington),28,44
164,2,7:40.0,E. Bledsoe makes 2-pt layup from 1 ft,,30,44
165,2,7:26.0,,G. Henderson makes 2-pt layup from 2 ft (assist by S. Rodríguez),30,46
166,2,7:06.0,T. Ulis makes 2-pt jump shot from 10 ft (assist by E. Bledsoe),,32,46
167,2,7:00.0,,S. Rodríguez misses 2-pt layup from 2 ft (block by A. Williams),32,46
168,2,6:58.0,Defensive rebound by T. Ulis,,32,46
