,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
325,3,3:19.0,J. Green enters the game for A. Gordon,,56,76
326,3,3:19.0,,C. Andersen enters the game for L. James,56,76
327,3,3:19.0,,M. Dunleavy enters the game for T. Thompson,56,76
328,3,3:19.0,,K. Irving enters the game for K. Felder,56,76
329,3,2:59.0,Turnover by E. Fournier (bad pass; steal by I. Shumpert),,56,76
330,3,2:51.0,,R. Jefferson misses 3-pt jump shot from 25 ft,56,76
331,3,2:50.0,Defensive rebound by J. Green,,56,76
332,3,2:41.0,J. Green misses 2-pt jump shot from 17 ft,,56,76
333,3,2:41.0,Offensive rebound by B. Biyombo,,56,76
334,3,2:37.0,Turnover by B. Biyombo (bad pass; steal by I. Shumpert),,56,76
335,3,2:32.0,,I. Shumpert makes 2-pt layup from 2 ft,56,78
336,3,2:12.0,E. Fournier makes 2-pt jump shot from 22 ft,,58,78
337,3,1:58.0,,Offensive foul by I. Shumpert (drawn by E. Fournier),58,78
338,3,1:58.0,,Turnover by I. Shumpert (offensive foul),58,78
339,3,1:38.0,,Violation by M. Dunleavy (kicked ball),58,78
340,3,1:30.0,D. Augustin misses 3-pt jump shot from 25 ft,,58,78
341,3,1:30.0,Offensive rebound by Team,,58,78
342,3,1:30.0,,Loose ball foul by M. Dunleavy (drawn by J. Green),58,78
343,3,1:30.0,Orlando full timeout,,58,78
344,3,1:11.0,E. Fournier makes 2-pt jump shot from 9 ft,,60,78
345,3,0:58.0,,M. Dunleavy misses 3-pt jump shot from 25 ft,60,78
346,3,0:57.0,Defensive rebound by D. Augustin,,60,78
347,3,0:41.0,D. Augustin misses 2-pt jump shot from 20 ft,,60,78
348,3,0:39.0,Offensive rebound by S. Ibaka,,60,78
349,3,0:39.0,Shooting foul by C. Andersen (drawn by S. Ibaka),,60,78
350,3,0:39.0,S. Ibaka makes free throw 1 of 2,,61,78
351,3,0:39.0,M. Hezonja enters the game for E. Fournier,,61,78
352,3,0:39.0,S. Ibaka makes free throw 2 of 2,,62,78
353,3,0:33.0,,K. Irving misses 3-pt jump shot from 30 ft,62,78
354,3,0:31.0,Defensive rebound by B. Biyombo,,62,78
355,3,0:22.0,J. Green misses 3-pt jump shot from 25 ft,,62,78
356,3,0:22.0,,Defensive rebound by C. Andersen,62,78
357,3,0:01.0,,K. Irving misses 2-pt jump shot from 15 ft,62,78
358,3,0:01.0,,Offensive rebound by Team,62,78
359,3,0:01.0,Loose ball foul by D. Augustin (drawn by C. Andersen),,62,78
360,3,0:01.0,,C. Andersen makes free throw 1 of 2,62,79
361,3,0:01.0,,C. Andersen makes free throw 2 of 2,62,80
362,4,11:38.0,C. Wilcox misses 3-pt jump shot from 25 ft,,62,80
363,4,11:38.0,Offensive rebound by B. Biyombo,,62,80
364,4,11:30.0,J. Green makes 3-pt jump shot from 22 ft (assist by D. Augustin),,65,80
365,4,11:03.0,,L. James misses 2-pt jump shot from 19 ft,65,80
366,4,11:03.0,Defensive rebound by J. Green,,65,80
