,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
66,1,3:50.0,B. Lopez makes 2-pt layup from 3 ft (assist by S. Dinwiddie),,19,23
67,1,3:41.0,,A. Davis makes 2-pt layup from 3 ft (assist by J. Holiday),19,25
68,1,3:28.0,B. Lopez misses 2-pt layup from 2 ft,,19,25
69,1,3:27.0,,Defensive rebound by A. Davis,19,25
70,1,3:17.0,,A. Davis makes 2-pt jump shot from 21 ft (assist by J. Holiday),19,27
71,1,3:15.0,Brooklyn full timeout,,19,27
72,1,3:15.0,Q. Acy enters the game for B. Bogdanović,,19,27
73,1,3:15.0,I. Whitehead enters the game for J. Hamilton,,19,27
74,1,3:15.0,R. Hollis-Jefferson enters the game for B. Lopez,,19,27
75,1,3:15.0,R. Foye enters the game for S. Dinwiddie,,19,27
76,1,3:04.0,Turnover by R. Hollis-Jefferson (lost ball),,19,27
77,1,2:59.0,,Turnover by J. Holiday (traveling),19,27
78,1,2:59.0,,New Orleans full timeout,19,27
79,1,2:45.0,Turnover by C. LeVert (lost ball; steal by E. Moore),,19,27
80,1,2:40.0,,S. Hill misses 2-pt layup from 3 ft,19,27
81,1,2:39.0,Defensive rebound by Q. Acy,,19,27
82,1,2:33.0,Shooting foul by S. Hill (drawn by R. Hollis-Jefferson),,19,27
83,1,2:33.0,R. Hollis-Jefferson makes free throw 1 of 2,,20,27
84,1,2:33.0,,L. Galloway enters the game for S. Hill,20,27
85,1,2:33.0,R. Hollis-Jefferson makes free throw 2 of 2,,21,27
86,1,2:14.0,,A. Davis makes 2-pt jump shot from 14 ft,21,29
87,1,2:14.0,,Shooting foul by C. LeVert (drawn by A. Davis),21,29
88,1,2:14.0,,A. Davis makes free throw 1 of 1,21,30
89,1,2:02.0,Q. Acy makes 3-pt jump shot from 25 ft (assist by C. LeVert),,24,30
90,1,1:51.0,,E. Moore misses 2-pt jump shot from 6 ft,24,30
91,1,1:50.0,Defensive rebound by I. Whitehead,,24,30
