,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
160,2,5:44.0,,L. James misses free throw 1 of 2,43,50
161,2,5:44.0,,Offensive rebound by Team,43,50
162,2,5:44.0,,L. James makes free throw 2 of 2,43,51
163,2,5:23.0,B. Brown misses 3-pt jump shot from 26 ft,,43,51
164,2,5:22.0,,Defensive rebound by C. Frye,43,51
165,2,5:12.0,,Turnover by K. Irving (lost ball; steal by J. Harden),43,51
166,2,5:08.0,Shooting foul by M. Dunleavy (drawn by J. Harden),,43,51
167,2,5:08.0,J. Harden makes free throw 1 of 2,,44,51
168,2,5:08.0,S. Dekker enters the game for E. Gordon,,44,51
169,2,5:08.0,,J. Smith enters the game for M. Dunleavy,44,51
170,2,5:08.0,,I. Shumpert enters the game for L. James,44,51
171,2,5:08.0,J. Harden makes free throw 2 of 2,,45,51
172,2,4:48.0,,K. Irving misses 2-pt jump shot from 9 ft,45,51
173,2,4:47.0,,Offensive rebound by K. Irving,45,51
174,2,4:44.0,,K. Irving makes 2-pt layup at rim,45,53
175,2,4:44.0,,Loose ball foul by I. Shumpert (drawn by J. Harden),45,53
176,2,4:31.0,J. Harden makes 2-pt layup from 1 ft,,47,53
177,2,4:15.0,,C. Frye misses 3-pt jump shot from 24 ft,47,53
178,2,4:15.0,Defensive rebound by T. Ariza,,47,53
179,2,4:01.0,S. Dekker makes 2-pt layup at rim (assist by T. Ariza),,49,53
180,2,4:01.0,,Cleveland full timeout,49,53
181,2,4:01.0,K. McDaniels enters the game for B. Brown,,49,53
182,2,4:01.0,,K. Love enters the game for R. Jefferson,49,53
183,2,4:01.0,,T. Thompson enters the game for C. Frye,49,53
184,2,4:01.0,N. Hilário enters the game for T. Ariza,,49,53
185,2,3:52.0,,Personal foul by K. McDaniels (drawn by K. Irving),49,53
186,2,3:52.0,,K. Irving makes free throw 1 of 2,49,54
187,2,3:52.0,,K. Irving makes free throw 2 of 2,49,55
188,2,3:31.0,J. Harden misses 2-pt jump shot from 18 ft,,49,55
189,2,3:30.0,,Defensive rebound by Team,49,55
190,2,3:13.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by T. Thompson),49,58
191,2,2:54.0,R. Anderson misses 2-pt jump shot from 15 ft,,49,58
192,2,2:53.0,Offensive rebound by S. Dekker,,49,58
193,2,2:53.0,S. Dekker makes 2-pt layup from 2 ft,,51,58
194,2,2:42.0,,K. Love misses 2-pt hook shot at rim,51,58
195,2,2:41.0,Defensive rebound by S. Dekker,,51,58
196,2,2:33.0,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),,53,58
197,2,2:03.0,,K. Irving misses 2-pt jump shot from 18 ft,53,58
198,2,2:03.0,Defensive rebound by J. Harden,,53,58
199,2,1:38.0,J. Harden misses 2-pt layup from 2 ft,,53,58
200,2,1:36.0,Offensive rebound by N. Hilário,,53,58
201,2,1:30.0,J. Harden makes 3-pt jump shot from 24 ft (assist by N. Hilário),,56,58
202,2,1:17.0,,K. Irving makes 2-pt layup from 1 ft,56,60
203,2,1:05.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),,59,60
204,2,0:50.0,,J. Smith misses 2-pt layup from 3 ft (block by N. Hilário),59,60
205,2,0:49.0,Defensive rebound by S. Dekker,,59,60
206,2,0:31.0,J. Harden misses 2-pt jump shot from 19 ft,,59,60
207,2,0:29.0,,Defensive rebound by T. Thompson,59,60
208,2,0:13.0,,K. Irving makes 3-pt jump shot from 25 ft,59,63
209,2,0:04.0,Personal foul by J. Smith (drawn by J. Harden),,59,63
210,2,0:04.0,Houston full timeout,,59,63
211,2,0:04.0,,D. Liggins enters the game for J. Smith,59,63
212,2,0:00.0,S. Dekker misses 3-pt jump shot from 28 ft,,59,63
213,2,0:00.0,Offensive rebound by Team,,59,63
214,3,11:44.0,,L. James misses 3-pt jump shot from 23 ft,59,63
215,3,11:42.0,,Offensive rebound by K. Love,59,63
216,3,11:42.0,,K. Love makes 2-pt layup from 2 ft,59,65
217,3,11:40.0,Houston full timeout,,59,65
218,3,11:40.0,K. McDaniels enters the game for T. Ariza,,59,65
219,3,11:26.0,J. Harden makes 2-pt layup from 1 ft,,61,65
220,3,11:13.0,,Shooting foul by J. Harden (drawn by L. James),61,65
221,3,11:13.0,,L. James makes free throw 1 of 2,61,66
222,3,11:13.0,,L. James makes free throw 2 of 2,61,67
223,3,11:01.0,J. Harden misses 3-pt jump shot from 25 ft,,61,67
224,3,11:01.0,,Defensive rebound by T. Thompson,61,67
225,3,10:58.0,,Personal foul by J. Harden (drawn by K. Love),61,67
226,3,10:44.0,,L. James misses 2-pt hook shot from 10 ft,61,67
