,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
93,2,11:04.0,Shooting foul by R. Jefferson (drawn by B. Beal),,43,28
94,2,11:04.0,B. Beal makes free throw 1 of 2,,44,28
95,2,11:04.0,B. Beal makes free throw 2 of 2,,45,28
96,2,10:48.0,,D. Williams makes 3-pt jump shot from 25 ft (assist by L. James),45,31
97,2,10:41.0,Shooting foul by D. Williams (drawn by B. Jennings),,45,31
98,2,10:41.0,B. Jennings makes free throw 1 of 2,,46,31
99,2,10:41.0,B. Jennings misses free throw 2 of 2,,46,31
100,2,10:40.0,,Defensive rebound by L. James,46,31
101,2,10:23.0,,K. Korver misses 3-pt jump shot from 27 ft,46,31
102,2,10:23.0,Defensive rebound by K. Oubre,,46,31
103,2,10:15.0,B. Jennings misses 3-pt jump shot from 25 ft,,46,31
104,2,10:13.0,,Defensive rebound by C. Frye,46,31
105,2,10:03.0,,Shooting foul by I. Mahinmi (drawn by R. Jefferson),46,31
106,2,10:03.0,,R. Jefferson makes free throw 1 of 2,46,32
107,2,10:03.0,M. Morris enters the game for J. Smith,,46,32
108,2,10:03.0,,R. Jefferson makes free throw 2 of 2,46,33
109,2,9:54.0,B. Beal misses 2-pt layup from 2 ft (block by C. Frye),,46,33
110,2,9:53.0,,Defensive rebound by R. Jefferson,46,33
111,2,9:42.0,,L. James misses 2-pt layup at rim,46,33
112,2,9:40.0,Defensive rebound by B. Jennings,,46,33
113,2,9:36.0,K. Oubre makes 2-pt layup from 2 ft (assist by B. Jennings),,48,33
114,2,9:26.0,,Turnover by D. Williams (bad pass),48,33
115,2,9:19.0,Washington full timeout,,48,33
116,2,9:04.0,B. Beal makes 2-pt jump shot from 13 ft,,50,33
117,2,8:48.0,,C. Frye makes 2-pt dunk at rim (assist by L. James),50,35
118,2,8:34.0,Offensive foul by I. Mahinmi (drawn by K. Korver),,50,35
119,2,8:34.0,Turnover by I. Mahinmi (offensive foul),,50,35
120,2,8:16.0,,L. James makes 2-pt layup from 1 ft (assist by D. Williams),50,37
121,2,8:03.0,M. Morris makes 2-pt jump shot from 16 ft (assist by B. Beal),,52,37
122,2,7:45.0,,D. Williams makes 2-pt layup from 2 ft (assist by R. Jefferson),52,39
123,2,7:35.0,Turnover by M. Morris (bad pass; steal by D. Williams),,52,39
124,2,7:26.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by L. James),52,42
125,2,7:26.0,Washington full timeout,,52,42
126,2,7:26.0,M. Gortat enters the game for I. Mahinmi,,52,42
127,2,7:26.0,J. Wall enters the game for B. Jennings,,52,42
128,2,7:12.0,M. Gortat makes 2-pt layup from 2 ft (assist by B. Beal),,54,42
129,2,6:47.0,,K. Korver misses 3-pt jump shot from 24 ft,54,42
130,2,6:47.0,Defensive rebound by M. Morris,,54,42
131,2,6:35.0,M. Morris misses 2-pt layup from 2 ft (block by L. James),,54,42
132,2,6:34.0,,Defensive rebound by C. Frye,54,42
133,2,6:23.0,,C. Frye makes 3-pt jump shot from 24 ft (assist by R. Jefferson),54,45
134,2,6:03.0,M. Morris makes 2-pt jump shot from 19 ft,,56,45
135,2,5:41.0,,Personal foul by K. Oubre (drawn by D. Williams),56,45
136,2,5:41.0,Official timeout,,56,45
137,2,5:41.0,O. Porter enters the game for K. Oubre,,56,45
138,2,5:41.0,,K. Love enters the game for R. Jefferson,56,45
139,2,5:41.0,,K. Irving enters the game for K. Korver,56,45
140,2,5:41.0,,J. Smith enters the game for D. Williams,56,45
141,2,5:41.0,,T. Thompson enters the game for C. Frye,56,45
142,2,5:35.0,,Turnover by L. James (bad pass),56,45
143,2,5:20.0,M. Morris makes 2-pt layup from 1 ft (assist by J. Wall),,58,45
144,2,5:01.0,,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),58,47
145,2,4:41.0,M. Morris makes 2-pt jump shot from 19 ft,,60,47
146,2,4:27.0,,K. Irving makes 2-pt jump shot from 11 ft,60,49
147,2,4:01.0,B. Beal misses 2-pt jump shot from 12 ft,,60,49
148,2,4:00.0,,Defensive rebound by K. Irving,60,49
149,2,3:46.0,,K. Irving makes 2-pt jump shot from 17 ft,60,51
150,2,3:41.0,Offensive foul by M. Gortat (drawn by L. James),,60,51
151,2,3:41.0,Turnover by M. Gortat (offensive foul),,60,51
152,2,3:19.0,,Shooting foul by M. Gortat (drawn by K. Irving),60,51
153,2,3:19.0,,K. Irving misses free throw 1 of 2,60,51
154,2,3:19.0,,Offensive rebound by Team,60,51
155,2,3:19.0,,K. Irving makes free throw 2 of 2,60,52
156,2,3:07.0,J. Wall misses 2-pt layup from 1 ft,,60,52
157,2,3:06.0,Offensive rebound by M. Gortat,,60,52
158,2,3:06.0,M. Gortat misses 2-pt layup from 1 ft,,60,52
159,2,3:05.0,,Defensive rebound by L. James,60,52
160,2,3:04.0,,Personal foul by M. Morris (drawn by L. James),60,52
161,2,2:53.0,,K. Irving misses 3-pt jump shot from 27 ft,60,52
162,2,2:52.0,Defensive rebound by M. Gortat,,60,52
163,2,2:39.0,J. Wall makes 2-pt layup from 1 ft,,62,52
164,2,2:27.0,,Shooting foul by J. Wall (drawn by K. Love),62,52
165,2,2:27.0,,Cleveland full timeout,62,52
166,2,2:27.0,,K. Love makes free throw 1 of 2,62,53
167,2,2:27.0,,K. Love makes free throw 2 of 2,62,54
168,2,2:14.0,Shooting foul by K. Irving (drawn by M. Morris),,62,54
169,2,2:14.0,M. Morris misses free throw 1 of 2,,62,54
170,2,2:14.0,Offensive rebound by Team,,62,54
171,2,2:14.0,M. Morris makes free throw 2 of 2,,63,54
172,2,2:00.0,,Personal foul by M. Morris (drawn by T. Thompson),63,54
173,2,2:00.0,,T. Thompson makes free throw 1 of 2,63,55
174,2,2:00.0,,T. Thompson misses free throw 2 of 2,63,55
175,2,1:59.0,Defensive rebound by M. Gortat,,63,55
176,2,1:45.0,M. Gortat makes 2-pt dunk at rim (assist by B. Beal),,65,55
177,2,1:26.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),65,58
178,2,1:09.0,M. Gortat misses 2-pt layup from 1 ft,,65,58
179,2,1:07.0,,Defensive rebound by L. James,65,58
180,2,1:03.0,,Shooting foul by M. Morris (drawn by L. James),65,58
181,2,1:03.0,,L. James misses free throw 1 of 2,65,58
182,2,1:03.0,,Offensive rebound by Team,65,58
183,2,1:03.0,J. Smith enters the game for M. Morris,,65,58
184,2,1:03.0,,L. James makes free throw 2 of 2,65,59
185,2,0:56.0,J. Wall makes 2-pt layup from 3 ft,,67,59
186,2,0:56.0,Shooting foul by K. Irving (drawn by J. Wall),,67,59
187,2,0:56.0,,D. Williams enters the game for K. Irving,67,59
188,2,0:56.0,J. Wall makes free throw 1 of 1,,68,59
189,2,0:40.0,,K. Love misses 3-pt jump shot from 25 ft,68,59
190,2,0:39.0,Defensive rebound by J. Wall,,68,59
191,2,0:35.0,Shooting foul by D. Williams (drawn by J. Wall),,68,59
192,2,0:35.0,J. Wall makes free throw 1 of 2,,69,59
193,2,0:35.0,J. Wall misses free throw 2 of 2,,69,59
194,2,0:35.0,,Defensive rebound by K. Love,69,59
195,2,0:35.0,,R. Jefferson enters the game for T. Thompson,69,59
196,2,0:35.0,K. Oubre enters the game for M. Gortat,,69,59
197,2,0:26.0,,L. James misses 2-pt layup from 1 ft (block by O. Porter),69,59
198,2,0:25.0,,Offensive rebound by L. James,69,59
199,2,0:25.0,,L. James makes 2-pt layup from 1 ft,69,61
200,2,0:02.0,O. Porter misses 3-pt jump shot from 25 ft,,69,61
201,2,0:01.0,Offensive rebound by J. Smith,,69,61
202,2,0:01.0,J. Smith makes 2-pt layup at rim,,71,61
203,2,0:00.0,,Turnover by K. Love (bad pass; steal by O. Porter),71,61
204,3,11:38.0,M. Gortat makes 2-pt hook shot from 8 ft (assist by J. Wall),,73,61
205,3,11:21.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by T. Thompson),73,64
206,3,11:06.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,76,64
207,3,10:43.0,,Shooting foul by B. Beal (drawn by K. Irving),76,64
208,3,10:43.0,,K. Irving makes free throw 1 of 2,76,65
209,3,10:43.0,,K. Irving makes free throw 2 of 2,76,66
210,3,10:17.0,M. Morris misses 3-pt jump shot from 24 ft,,76,66
211,3,10:17.0,,Defensive rebound by J. Smith,76,66
212,3,10:07.0,,Turnover by T. Thompson (lost ball; steal by J. Wall),76,66
213,3,10:04.0,Turnover by M. Gortat (bad pass; steal by T. Thompson),,76,66
214,3,9:57.0,,K. Irving makes 2-pt layup from 1 ft (assist by T. Thompson),76,68
215,3,9:44.0,M. Morris misses 2-pt jump shot from 7 ft (block by K. Love),,76,68
216,3,9:44.0,Offensive rebound by Team,,76,68
217,3,9:39.0,M. Morris misses 2-pt dunk at rim (block by T. Thompson),,76,68
218,3,9:38.0,,Defensive rebound by K. Love,76,68
219,3,9:09.0,,K. Irving misses 2-pt layup from 3 ft,76,68
220,3,9:08.0,,Offensive rebound by T. Thompson,76,68
221,3,9:08.0,,T. Thompson makes 2-pt layup from 2 ft,76,70
222,3,8:58.0,J. Wall misses 2-pt layup from 2 ft (block by K. Irving),,76,70
223,3,8:57.0,Offensive rebound by J. Wall,,76,70
224,3,8:51.0,J. Wall makes 2-pt jump shot from 16 ft,,78,70
225,3,8:30.0,,K. Irving misses 2-pt jump shot from 6 ft,78,70
226,3,8:28.0,Defensive rebound by M. Morris,,78,70
227,3,8:21.0,B. Beal makes 2-pt layup from 2 ft,,80,70
228,3,8:21.0,Shooting foul by J. Smith (drawn by B. Beal),,80,70
229,3,8:21.0,B. Beal makes free throw 1 of 1,,81,70
230,3,8:02.0,,L. James makes 2-pt jump shot from 23 ft,81,72
231,3,7:50.0,Personal foul by L. James (drawn by M. Gortat),,81,72
232,3,7:47.0,Shooting foul by K. Love (drawn by M. Morris),,81,72
233,3,7:47.0,M. Morris misses free throw 1 of 2,,81,72
234,3,7:47.0,Offensive rebound by Team,,81,72
235,3,7:47.0,M. Morris makes free throw 2 of 2,,82,72
236,3,7:37.0,,L. James makes 2-pt layup from 1 ft,82,74
237,3,7:23.0,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),,85,74
238,3,7:05.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),85,77
239,3,6:51.0,J. Wall misses 2-pt layup from 2 ft (block by K. Irving),,85,77
240,3,6:51.0,Offensive rebound by M. Morris,,85,77
241,3,6:51.0,Personal foul by K. Love (drawn by M. Morris),,85,77
242,3,6:41.0,Offensive foul by O. Porter (drawn by K. Love),,85,77
243,3,6:41.0,Turnover by O. Porter (offensive foul),,85,77
244,3,6:41.0,Washington full timeout,,85,77
245,3,6:26.0,,L. James makes 2-pt jump shot from 5 ft,85,79
246,3,6:04.0,B. Beal misses 3-pt jump shot from 25 ft,,85,79
247,3,6:04.0,,Defensive rebound by K. Love,85,79
248,3,5:54.0,,K. Love misses 3-pt jump shot from 26 ft,85,79
249,3,5:54.0,Defensive rebound by M. Gortat,,85,79
250,3,5:49.0,Shooting foul by K. Irving (drawn by J. Wall),,85,79
251,3,5:49.0,J. Wall makes free throw 1 of 2,,86,79
252,3,5:49.0,J. Wall makes free throw 2 of 2,,87,79
253,3,5:28.0,,K. Irving misses 3-pt jump shot from 24 ft,87,79
254,3,5:27.0,,Offensive rebound by T. Thompson,87,79
255,3,5:07.0,,K. Irving misses 2-pt jump shot from 16 ft,87,79
256,3,5:07.0,,Offensive rebound by K. Love,87,79
257,3,4:58.0,,K. Love misses 2-pt jump shot from 15 ft (block by M. Morris),87,79
258,3,4:58.0,,Offensive rebound by Team,87,79
259,3,4:44.0,,L. James misses 3-pt jump shot from 26 ft,87,79
260,3,4:43.0,,Offensive rebound by K. Irving,87,79
261,3,4:40.0,,K. Irving misses 2-pt layup from 1 ft,87,79
262,3,4:38.0,Defensive rebound by B. Beal,,87,79
263,3,4:35.0,J. Wall makes 2-pt jump shot from 12 ft,,89,79
264,3,4:33.0,,Cleveland full timeout,89,79
265,3,4:33.0,,R. Jefferson enters the game for T. Thompson,89,79
266,3,4:14.0,,K. Love makes 3-pt jump shot from 24 ft (assist by K. Irving),89,82
267,3,3:49.0,B. Beal misses 3-pt jump shot from 26 ft,,89,82
268,3,3:49.0,Offensive rebound by Team,,89,82
269,3,3:49.0,Turnover by Team (shot clock),,89,82
270,3,3:49.0,K. Oubre enters the game for M. Gortat,,89,82
271,3,3:37.0,,J. Smith misses 3-pt jump shot from 24 ft,89,82
272,3,3:37.0,Defensive rebound by K. Oubre,,89,82
273,3,3:24.0,J. Wall misses 2-pt jump shot from 13 ft,,89,82
274,3,3:22.0,,Defensive rebound by L. James,89,82
275,3,3:15.0,,R. Jefferson misses 3-pt jump shot from 24 ft,89,82
276,3,3:15.0,Defensive rebound by M. Morris,,89,82
277,3,3:07.0,B. Beal misses 3-pt jump shot from 25 ft,,89,82
278,3,3:06.0,,Defensive rebound by K. Love,89,82
279,3,2:40.0,,L. James misses 2-pt jump shot from 17 ft,89,82
280,3,2:40.0,Defensive rebound by K. Oubre,,89,82
281,3,2:37.0,J. Wall makes 2-pt layup from 1 ft,,91,82
282,3,2:37.0,Shooting foul by J. Smith (drawn by J. Wall),,91,82
283,3,2:37.0,,K. Korver enters the game for L. James,91,82
284,3,2:37.0,,D. Williams enters the game for J. Smith,91,82
285,3,2:37.0,B. Jennings enters the game for B. Beal,,91,82
286,3,2:37.0,J. Smith enters the game for M. Morris,,91,82
287,3,2:37.0,J. Wall makes free throw 1 of 1,,92,82
288,3,2:19.0,,K. Love makes 2-pt hook shot from 6 ft,92,84
289,3,2:00.0,K. Oubre misses 3-pt jump shot from 23 ft,,92,84
290,3,2:00.0,Offensive rebound by O. Porter,,92,84
291,3,2:00.0,O. Porter misses 2-pt layup from 2 ft,,92,84
292,3,1:58.0,,Defensive rebound by K. Korver,92,84
293,3,1:52.0,,K. Irving makes 2-pt layup from 1 ft,92,86
294,3,1:52.0,,Shooting foul by B. Jennings (drawn by K. Irving),92,86
295,3,1:52.0,,K. Irving makes free throw 1 of 1,92,87
296,3,1:32.0,Turnover by J. Wall (lost ball; steal by K. Irving),,92,87
297,3,1:28.0,,R. Jefferson makes 2-pt layup from 1 ft,92,89
298,3,1:28.0,,Shooting foul by J. Smith (drawn by R. Jefferson),92,89
299,3,1:28.0,,R. Jefferson misses free throw 1 of 1,92,89
300,3,1:28.0,B. Beal enters the game for J. Wall,,92,89
301,3,1:25.0,Defensive rebound by J. Smith,,92,89
302,3,1:10.0,B. Beal misses 2-pt layup from 1 ft,,92,89
303,3,1:07.0,Offensive rebound by K. Oubre,,92,89
304,3,1:07.0,K. Oubre makes 2-pt layup from 1 ft,,94,89
305,3,0:51.0,,K. Irving misses 3-pt jump shot from 25 ft,94,89
306,3,0:51.0,,Offensive rebound by K. Love,94,89
307,3,0:49.0,,Turnover by K. Love (bad pass; steal by B. Jennings),94,89
308,3,0:47.0,Shooting foul by D. Williams (drawn by B. Beal),,94,89
309,3,0:47.0,B. Beal makes free throw 1 of 2,,95,89
310,3,0:47.0,B. Beal makes free throw 2 of 2,,96,89
311,3,0:28.0,,K. Love misses 2-pt jump shot from 7 ft (block by O. Porter),96,89
312,3,0:26.0,Defensive rebound by B. Beal,,96,89
313,3,0:25.0,Turnover by B. Beal (bad pass),,96,89
314,3,0:25.0,,L. James enters the game for R. Jefferson,96,89
315,3,0:07.0,,K. Irving makes 2-pt layup from 1 ft,96,91
316,4,11:43.0,,L. James misses 3-pt jump shot from 26 ft,96,91
317,4,11:43.0,Defensive rebound by J. Smith,,96,91
318,4,11:27.0,M. Morris misses 2-pt jump shot from 14 ft,,96,91
319,4,11:26.0,,Defensive rebound by L. James,96,91
320,4,11:16.0,,R. Jefferson misses 2-pt layup from 2 ft,96,91
321,4,11:15.0,Defensive rebound by J. Smith,,96,91
322,4,11:06.0,B. Beal makes 3-pt jump shot from 25 ft (assist by B. Jennings),,99,91
323,4,10:38.0,,D. Williams makes 2-pt jump shot from 19 ft,99,93
324,4,10:20.0,B. Beal makes 2-pt jump shot from 8 ft,,101,93
325,4,10:00.0,,L. James makes 2-pt layup from 1 ft (assist by D. Williams),101,95
326,4,9:46.0,K. Oubre makes 2-pt layup from 1 ft (assist by B. Beal),,103,95
327,4,9:32.0,,R. Jefferson makes 3-pt jump shot from 22 ft (assist by L. James),103,98
328,4,9:20.0,Shooting foul by K. Korver (drawn by K. Oubre),,103,98
329,4,9:20.0,K. Oubre makes free throw 1 of 2,,104,98
330,4,9:20.0,K. Oubre makes free throw 2 of 2,,105,98
