,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ATLANTA_ACTION,MEMPHIS_SCORE,ATLANTA_SCORE
38,1,6:02.0,,Atlanta full timeout,14,12
39,1,6:02.0,,T. Hardaway enters the game for T. Sefolosha,14,12
40,1,6:02.0,A. Harrison enters the game for M. Conley,,14,12
41,1,5:53.0,,Turnover by D. Howard (traveling),14,12
42,1,5:38.0,M. Gasol misses 2-pt jump shot from 20 ft,,14,12
43,1,5:36.0,,Defensive rebound by D. Howard,14,12
44,1,5:27.0,,P. Millsap makes 2-pt jump shot from 8 ft,14,14
45,1,5:19.0,Personal foul by P. Millsap (drawn by M. Gasol),,14,14
46,1,5:11.0,M. Gasol misses 2-pt hook shot from 9 ft,,14,14
47,1,5:09.0,,Defensive rebound by D. Howard,14,14
48,1,5:02.0,,D. Schröder misses 3-pt jump shot from 26 ft,14,14
49,1,5:01.0,Defensive rebound by J. Green,,14,14
50,1,4:40.0,T. Allen misses 3-pt jump shot from 23 ft,,14,14
51,1,4:38.0,,Defensive rebound by D. Howard,14,14
52,1,4:30.0,,D. Schröder makes 2-pt layup from 1 ft (assist by P. Millsap),14,16
53,1,4:07.0,J. Green misses 3-pt jump shot from 25 ft,,14,16
54,1,4:04.0,Offensive rebound by T. Allen,,14,16
55,1,4:03.0,Shooting foul by D. Howard (drawn by T. Allen),,14,16
56,1,4:03.0,T. Allen misses free throw 1 of 2,,14,16
57,1,4:03.0,Offensive rebound by Team,,14,16
58,1,4:03.0,Z. Randolph enters the game for J. Green,,14,16
59,1,4:03.0,,E. İlyasova enters the game for D. Howard,14,16
60,1,4:03.0,,T. Prince enters the game for K. Bazemore,14,16
61,1,4:03.0,T. Allen makes free throw 2 of 2,,15,16
62,1,3:49.0,,T. Prince misses 3-pt jump shot from 25 ft,15,16
63,1,3:48.0,Defensive rebound by M. Gasol,,15,16
64,1,3:41.0,T. Allen makes 2-pt layup from 2 ft (assist by A. Harrison),,17,16
65,1,3:41.0,Violation by Team (jump ball),,17,16
66,1,3:19.0,,P. Millsap makes 3-pt jump shot from 23 ft (assist by D. Schröder),17,19
67,1,3:01.0,Shooting foul by E. İlyasova (drawn by M. Gasol),,17,19
68,1,3:01.0,M. Gasol makes free throw 1 of 2,,18,19
69,1,3:01.0,T. Daniels enters the game for V. Carter,,18,19
70,1,3:01.0,J. Ennis enters the game for T. Allen,,18,19
71,1,3:01.0,M. Gasol makes free throw 2 of 2,,19,19
72,1,2:45.0,,Personal foul by J. Ennis (drawn by T. Hardaway),19,19
73,1,2:45.0,Memphis full timeout,,19,19
74,1,2:45.0,,J. Calderón enters the game for D. Schröder,19,19
75,1,2:38.0,,Turnover by T. Prince (traveling),19,19
76,1,2:25.0,T. Daniels makes 3-pt jump shot from 24 ft (assist by A. Harrison),,22,19
77,1,2:17.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by J. Calderón),22,22
78,1,1:53.0,Z. Randolph misses 2-pt jump shot from 20 ft,,22,22
79,1,1:51.0,,Defensive rebound by J. Calderón,22,22
80,1,1:40.0,,T. Hardaway misses 2-pt jump shot from 6 ft,22,22
81,1,1:38.0,,Offensive rebound by E. İlyasova,22,22
82,1,1:38.0,,E. İlyasova misses 2-pt layup at rim,22,22
83,1,1:37.0,Defensive rebound by Z. Randolph,,22,22
84,1,1:30.0,J. Ennis misses 3-pt jump shot from 23 ft,,22,22
85,1,1:28.0,,Defensive rebound by T. Prince,22,22
86,1,1:18.0,,Shooting foul by J. Ennis (drawn by E. İlyasova),22,22
87,1,1:18.0,,E. İlyasova misses free throw 1 of 2,22,22
88,1,1:18.0,,Offensive rebound by Team,22,22
89,1,1:18.0,,M. Muscala enters the game for P. Millsap,22,22
90,1,1:18.0,B. Wright enters the game for M. Gasol,,22,22
91,1,1:18.0,M. Conley enters the game for A. Harrison,,22,22
92,1,1:18.0,,E. İlyasova makes free throw 2 of 2,22,23
93,1,1:00.0,Personal foul by M. Muscala (drawn by B. Wright),,22,23
94,1,1:00.0,B. Wright makes free throw 1 of 2,,23,23
95,1,1:00.0,B. Wright makes free throw 2 of 2,,24,23
96,1,0:48.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by T. Hardaway),24,26
97,1,0:36.0,Z. Randolph makes 2-pt layup at rim (assist by B. Wright),,26,26
98,1,0:30.0,,T. Hardaway makes 2-pt dunk at rim,26,28
99,1,0:11.0,M. Conley misses 3-pt jump shot from 25 ft,,26,28
100,1,0:09.0,Offensive rebound by B. Wright,,26,28
101,1,0:00.0,T. Daniels misses 3-pt jump shot from 26 ft,,26,28
102,1,0:00.0,Offensive rebound by Team,,26,28
103,2,11:44.0,Z. Randolph makes 2-pt jump shot from 20 ft,,28,28
104,2,11:33.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by T. Hardaway),28,31
105,2,11:11.0,Z. Randolph misses 2-pt jump shot from 6 ft (block by T. Prince),,28,31
106,2,11:07.0,,Defensive rebound by T. Hardaway,28,31
107,2,11:03.0,,T. Prince misses 3-pt jump shot from 25 ft,28,31
108,2,11:01.0,Defensive rebound by M. Conley,,28,31
109,2,10:53.0,M. Conley misses 2-pt layup from 1 ft,,28,31
110,2,10:53.0,Offensive rebound by Team,,28,31
111,2,10:50.0,M. Conley misses 2-pt jump shot from 17 ft,,28,31
112,2,10:49.0,,Defensive rebound by E. İlyasova,28,31
113,2,10:44.0,,Turnover by E. İlyasova (offensive foul),28,31
114,2,10:44.0,,Offensive foul by E. İlyasova (drawn by M. Conley),28,31
115,2,10:44.0,,D. Howard enters the game for E. İlyasova,28,31
116,2,10:25.0,Shooting foul by M. Muscala (drawn by M. Conley),,28,31
117,2,10:25.0,M. Conley makes free throw 1 of 2,,29,31
118,2,10:25.0,M. Conley makes free throw 2 of 2,,30,31
119,2,10:19.0,,Offensive foul by M. Muscala (drawn by J. Ennis),30,31
120,2,10:19.0,,Turnover by M. Muscala (offensive foul),30,31
121,2,10:11.0,B. Wright makes 2-pt dunk at rim (assist by M. Conley),,32,31
122,2,10:01.0,,D. Howard makes 2-pt jump shot from 9 ft (assist by J. Calderón),32,33
123,2,9:49.0,B. Wright makes 2-pt hook shot from 7 ft (assist by M. Conley),,34,33
124,2,9:37.0,,D. Howard makes 2-pt hook shot from 4 ft (assist by T. Hardaway),34,35
125,2,9:17.0,Turnover by Z. Randolph (lost ball; steal by T. Hardaway),,34,35
126,2,9:12.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by T. Prince),34,38
127,2,8:52.0,T. Daniels misses 3-pt jump shot from 24 ft,,34,38
128,2,8:51.0,,Defensive rebound by M. Muscala,34,38
129,2,8:36.0,,D. Howard makes 2-pt layup at rim (assist by M. Muscala),34,40
130,2,8:27.0,Memphis full timeout,,34,40
131,2,8:27.0,M. Gasol enters the game for Z. Randolph,,34,40
132,2,8:14.0,M. Conley makes 2-pt jump shot from 17 ft,,36,40
133,2,8:00.0,,M. Muscala misses 3-pt jump shot from 25 ft,36,40
134,2,7:58.0,Defensive rebound by T. Daniels,,36,40
135,2,7:38.0,B. Wright makes 2-pt layup from 2 ft (assist by M. Gasol),,38,40
136,2,7:22.0,,Personal foul by M. Gasol (drawn by D. Howard),38,40
137,2,7:22.0,,D. Schröder enters the game for J. Calderón,38,40
138,2,7:18.0,,T. Hardaway misses 3-pt jump shot from 25 ft,38,40
139,2,7:17.0,Defensive rebound by M. Gasol,,38,40
140,2,7:02.0,J. Ennis makes 3-pt jump shot from 24 ft (assist by M. Gasol),,41,40
141,2,6:49.0,,T. Prince makes 2-pt jump shot from 15 ft (assist by D. Howard),41,42
142,2,6:29.0,M. Gasol makes 3-pt jump shot from 24 ft (assist by M. Conley),,44,42
143,2,6:28.0,,Atlanta full timeout,44,42
144,2,6:28.0,J. Green enters the game for T. Daniels,,44,42
145,2,6:28.0,V. Carter enters the game for B. Wright,,44,42
146,2,6:28.0,,P. Millsap enters the game for M. Muscala,44,42
147,2,6:17.0,,D. Schröder misses 2-pt jump shot from 18 ft,44,42
148,2,6:15.0,Defensive rebound by M. Gasol,,44,42
149,2,5:56.0,J. Ennis misses 2-pt layup from 2 ft (block by D. Howard),,44,42
150,2,5:54.0,,Defensive rebound by T. Prince,44,42
151,2,5:43.0,,D. Schröder misses 2-pt layup from 2 ft,44,42
152,2,5:41.0,,Offensive rebound by D. Schröder,44,42
153,2,5:35.0,,Shooting foul by M. Gasol (drawn by D. Howard),44,42
154,2,5:35.0,,D. Howard makes free throw 1 of 2,44,43
155,2,5:35.0,,D. Howard misses free throw 2 of 2,44,43
156,2,5:35.0,,T. Sefolosha enters the game for T. Hardaway,44,43
157,2,5:35.0,,K. Bazemore enters the game for T. Prince,44,43
158,2,5:35.0,T. Allen enters the game for M. Conley,,44,43
159,2,5:35.0,A. Harrison enters the game for J. Ennis,,44,43
160,2,5:34.0,Defensive rebound by J. Green,,44,43
161,2,5:21.0,Shooting foul by D. Howard (drawn by V. Carter),,44,43
162,2,5:21.0,V. Carter misses free throw 1 of 2,,44,43
163,2,5:21.0,Offensive rebound by Team,,44,43
164,2,5:21.0,V. Carter makes free throw 2 of 2,,45,43
165,2,5:08.0,,Turnover by D. Schröder (bad pass; steal by A. Harrison),45,43
166,2,5:00.0,M. Gasol misses 3-pt jump shot from 25 ft,,45,43
167,2,4:58.0,Offensive rebound by J. Green,,45,43
168,2,4:42.0,A. Harrison misses 3-pt jump shot from 25 ft,,45,43
169,2,4:41.0,,Defensive rebound by T. Sefolosha,45,43
170,2,4:35.0,,Shooting foul by T. Allen (drawn by T. Sefolosha),45,43
171,2,4:35.0,,T. Sefolosha makes free throw 1 of 2,45,44
172,2,4:35.0,,T. Sefolosha makes free throw 2 of 2,45,45
173,2,4:18.0,V. Carter makes 2-pt hook shot from 6 ft,,47,45
174,2,4:18.0,Violation by Team (jump ball),,47,45
175,2,4:18.0,Technical foul by Team,,47,45
176,2,4:18.0,,D. Schröder makes technical free throw,47,46
177,2,4:02.0,,Shooting foul by J. Green (drawn by D. Howard),47,46
178,2,4:02.0,,D. Howard makes free throw 1 of 2,47,47
179,2,4:02.0,,D. Howard misses free throw 2 of 2,47,47
180,2,4:01.0,Defensive rebound by M. Gasol,,47,47
181,2,3:44.0,M. Gasol misses 2-pt hook shot from 8 ft,,47,47
182,2,3:43.0,,Defensive rebound by D. Howard,47,47
183,2,3:30.0,,Turnover by P. Millsap (traveling),47,47
184,2,3:07.0,A. Harrison makes 3-pt jump shot from 25 ft (assist by M. Gasol),,50,47
185,2,2:50.0,,Shooting foul by J. Green (drawn by K. Bazemore),50,47
186,2,2:50.0,Official timeout,,50,47
187,2,2:50.0,,K. Bazemore makes free throw 1 of 2,50,48
188,2,2:50.0,,K. Bazemore makes free throw 2 of 2,50,49
189,2,2:30.0,J. Green misses 2-pt jump shot from 19 ft,,50,49
190,2,2:29.0,,Defensive rebound by D. Schröder,50,49
191,2,2:07.0,,K. Bazemore makes 2-pt jump shot from 10 ft (assist by D. Schröder),50,51
192,2,1:45.0,J. Green makes 3-pt jump shot from 23 ft (assist by M. Gasol),,53,51
193,2,1:33.0,,D. Schröder misses 2-pt jump shot from 18 ft,53,51
194,2,1:30.0,Defensive rebound by M. Gasol,,53,51
195,2,1:18.0,Turnover by V. Carter (lost ball; steal by T. Sefolosha),,53,51
196,2,1:12.0,,D. Schröder misses 3-pt jump shot from 23 ft,53,51
197,2,1:09.0,Defensive rebound by A. Harrison,,53,51
198,2,0:52.0,Turnover by J. Green (bad pass),,53,51
199,2,0:52.0,M. Conley enters the game for A. Harrison,,53,51
200,2,0:52.0,,E. İlyasova enters the game for D. Howard,53,51
201,2,0:52.0,,T. Hardaway enters the game for T. Sefolosha,53,51
202,2,0:41.0,,D. Schröder misses 2-pt layup from 2 ft (block by J. Green),53,51
203,2,0:41.0,Defensive rebound by Team,,53,51
204,2,0:31.0,M. Conley misses 2-pt layup from 2 ft,,53,51
205,2,0:30.0,,Defensive rebound by P. Millsap,53,51
206,2,0:07.0,,T. Hardaway misses 3-pt jump shot from 23 ft,53,51
207,2,0:07.0,,Offensive rebound by Team,53,51
208,2,0:07.0,Loose ball foul by V. Carter (drawn by K. Bazemore),,53,51
209,2,0:07.0,,K. Bazemore makes free throw 1 of 2,53,52
210,2,0:07.0,,K. Bazemore misses free throw 2 of 2,53,52
211,2,0:07.0,Defensive rebound by Team,,53,52
212,2,0:07.0,,M. Muscala enters the game for E. İlyasova,53,52
213,2,0:07.0,T. Daniels enters the game for T. Allen,,53,52
214,2,0:03.0,M. Conley misses 2-pt layup from 1 ft,,53,52
215,2,0:02.0,Offensive rebound by J. Green,,53,52
216,2,0:02.0,J. Green makes 2-pt dunk at rim,,55,52
217,2,0:01.0,,T. Hardaway misses 3-pt jump shot from 69 ft,55,52
218,2,0:00.0,,Offensive rebound by Team,55,52
219,3,11:41.0,M. Conley makes 2-pt jump shot from 19 ft (assist by M. Gasol),,57,52
220,3,11:17.0,,P. Millsap misses 2-pt jump shot from 9 ft,57,52
221,3,11:14.0,Defensive rebound by J. Green,,57,52
222,3,11:08.0,M. Conley makes 3-pt jump shot from 25 ft,,60,52
223,3,10:49.0,,D. Schröder makes 2-pt jump shot from 17 ft (assist by T. Sefolosha),60,54
224,3,10:34.0,Turnover by M. Conley (bad pass; steal by D. Schröder),,60,54
225,3,10:29.0,,D. Schröder misses 2-pt jump shot from 12 ft,60,54
226,3,10:25.0,Defensive rebound by J. Green,,60,54
227,3,10:10.0,M. Conley misses 3-pt jump shot from 24 ft,,60,54
228,3,10:09.0,,Defensive rebound by D. Howard,60,54
229,3,9:47.0,,P. Millsap misses 2-pt jump shot from 16 ft (block by V. Carter),60,54
230,3,9:43.0,Defensive rebound by J. Green,,60,54
231,3,9:37.0,M. Gasol misses 3-pt jump shot from 25 ft,,60,54
232,3,9:35.0,,Defensive rebound by P. Millsap,60,54
233,3,9:18.0,,Shooting foul by T. Allen (drawn by D. Howard),60,54
234,3,9:18.0,,Technical foul by P. Millsap,60,54
235,3,9:18.0,M. Conley makes technical free throw,,61,54
236,3,9:18.0,,D. Howard makes free throw 1 of 2,61,55
237,3,9:18.0,,D. Howard makes free throw 2 of 2,61,56
238,3,9:05.0,J. Green makes 2-pt jump shot from 18 ft (assist by M. Gasol),,63,56
239,3,8:45.0,,T. Hardaway enters the game for T. Sefolosha,63,56
240,3,8:38.0,,K. Bazemore misses 3-pt jump shot from 24 ft,63,56
241,3,8:38.0,,Offensive rebound by Team,63,56
242,3,8:38.0,,Turnover by Team (shot clock),63,56
243,3,8:25.0,Personal foul by P. Millsap (drawn by M. Gasol),,63,56
244,3,8:11.0,J. Green misses 3-pt jump shot from 24 ft,,63,56
245,3,8:10.0,,Defensive rebound by D. Schröder,63,56
246,3,8:05.0,,Personal foul by J. Green (drawn by D. Howard),63,56
247,3,8:00.0,,Turnover by P. Millsap (lost ball),63,56
248,3,7:44.0,T. Allen makes 3-pt jump shot from 24 ft (assist by M. Gasol),,66,56
249,3,7:36.0,,Atlanta full timeout,66,56
250,3,7:28.0,,P. Millsap misses 3-pt jump shot from 25 ft,66,56
251,3,7:26.0,,Offensive rebound by D. Howard,66,56
252,3,7:23.0,,D. Schröder misses 3-pt jump shot from 25 ft,66,56
253,3,7:22.0,Defensive rebound by J. Green,,66,56
254,3,7:05.0,M. Gasol misses 2-pt hook shot from 7 ft,,66,56
255,3,7:03.0,Offensive rebound by T. Allen,,66,56
256,3,7:03.0,T. Allen makes 2-pt dunk at rim,,68,56
257,3,6:50.0,,T. Prince enters the game for D. Schröder,68,56
258,3,6:40.0,,P. Millsap misses 2-pt jump shot from 7 ft (block by V. Carter),68,56
259,3,6:40.0,,Offensive rebound by Team,68,56
260,3,6:35.0,,P. Millsap misses 2-pt jump shot from 15 ft,68,56
261,3,6:34.0,Defensive rebound by M. Gasol,,68,56
262,3,6:32.0,Turnover by M. Gasol (bad pass; steal by K. Bazemore),,68,56
263,3,6:28.0,,T. Hardaway misses 3-pt jump shot from 25 ft,68,56
264,3,6:26.0,,Offensive rebound by D. Howard,68,56
265,3,6:26.0,,Personal foul by M. Gasol (drawn by D. Howard),68,56
266,3,6:20.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by P. Millsap),68,58
267,3,5:55.0,M. Conley makes 2-pt layup from 2 ft,,70,58
268,3,5:39.0,,Turnover by P. Millsap (bad pass),70,58
269,3,5:25.0,J. Green makes 2-pt jump shot from 15 ft (assist by M. Conley),,72,58
270,3,5:07.0,,Shooting foul by J. Green (drawn by P. Millsap),72,58
271,3,5:07.0,,P. Millsap misses free throw 1 of 2,72,58
272,3,5:07.0,,Offensive rebound by Team,72,58
273,3,5:07.0,Z. Randolph enters the game for J. Green,,72,58
274,3,5:07.0,A. Harrison enters the game for M. Conley,,72,58
275,3,5:07.0,,E. İlyasova enters the game for D. Howard,72,58
276,3,5:07.0,,P. Millsap makes free throw 2 of 2,72,59
277,3,4:44.0,Z. Randolph misses 2-pt hook shot from 5 ft,,72,59
278,3,4:42.0,,Defensive rebound by T. Prince,72,59
279,3,4:35.0,,Turnover by T. Prince (bad pass; steal by T. Allen),72,59
280,3,4:27.0,T. Allen makes 2-pt layup from 1 ft (assist by V. Carter),,74,59
281,3,4:13.0,,T. Hardaway misses 3-pt jump shot from 24 ft,74,59
282,3,4:12.0,Defensive rebound by Z. Randolph,,74,59
283,3,3:59.0,Turnover by Team (5 sec inbounds),,74,59
284,3,3:46.0,,K. Bazemore misses 3-pt jump shot from 25 ft,74,59
285,3,3:44.0,,Offensive rebound by E. İlyasova,74,59
286,3,3:42.0,,E. İlyasova misses 2-pt jump shot from 4 ft,74,59
287,3,3:41.0,Defensive rebound by M. Gasol,,74,59
288,3,3:21.0,A. Harrison makes 2-pt jump shot from 16 ft,,76,59
289,3,3:05.0,,Shooting foul by T. Allen (drawn by P. Millsap),76,59
290,3,3:05.0,,P. Millsap misses free throw 1 of 2,76,59
291,3,3:05.0,,Offensive rebound by Team,76,59
292,3,3:05.0,J. Ennis enters the game for T. Allen,,76,59
293,3,3:05.0,T. Daniels enters the game for V. Carter,,76,59
294,3,3:05.0,,D. Schröder enters the game for K. Bazemore,76,59
295,3,3:05.0,,P. Millsap makes free throw 2 of 2,76,60
296,3,2:46.0,M. Gasol misses 2-pt jump shot from 16 ft,,76,60
297,3,2:45.0,,Defensive rebound by T. Prince,76,60
298,3,2:34.0,,D. Schröder misses 2-pt jump shot from 18 ft,76,60
299,3,2:31.0,Defensive rebound by M. Gasol,,76,60
300,3,2:15.0,J. Ennis misses 2-pt layup from 3 ft (block by T. Prince),,76,60
301,3,2:13.0,,Defensive rebound by T. Hardaway,76,60
302,3,1:58.0,,T. Hardaway misses 3-pt jump shot from 25 ft,76,60
303,3,1:56.0,Defensive rebound by Z. Randolph,,76,60
304,3,1:52.0,Memphis full timeout,,76,60
305,3,1:52.0,B. Wright enters the game for M. Gasol,,76,60
306,3,1:52.0,M. Conley enters the game for A. Harrison,,76,60
307,3,1:40.0,M. Conley misses 2-pt jump shot from 12 ft,,76,60
308,3,1:38.0,Offensive rebound by M. Conley,,76,60
309,3,1:36.0,M. Conley misses 2-pt jump shot from 5 ft,,76,60
310,3,1:36.0,Offensive rebound by B. Wright,,76,60
311,3,1:36.0,Personal foul by T. Prince (drawn by B. Wright),,76,60
312,3,1:18.0,J. Ennis makes 2-pt jump shot from 18 ft (assist by Z. Randolph),,78,60
313,3,0:54.0,,Shooting foul by B. Wright (drawn by T. Hardaway),78,60
314,3,0:54.0,,T. Hardaway makes free throw 1 of 2,78,61
315,3,0:54.0,,T. Hardaway makes free throw 2 of 2,78,62
316,3,0:40.0,T. Daniels misses 2-pt jump shot from 3 ft,,78,62
317,3,0:37.0,Offensive rebound by T. Daniels,,78,62
318,3,0:20.0,Z. Randolph misses 2-pt hook shot from 3 ft,,78,62
319,3,0:18.0,Offensive rebound by Z. Randolph,,78,62
320,3,0:17.0,Z. Randolph misses 2-pt layup from 1 ft,,78,62
321,3,0:16.0,,Defensive rebound by T. Hardaway,78,62
322,3,0:03.0,,T. Hardaway makes 2-pt layup from 1 ft,78,64
323,3,0:03.0,,Shooting foul by T. Daniels (drawn by T. Hardaway),78,64
324,3,0:03.0,,T. Hardaway makes free throw 1 of 1,78,65
325,3,0:00.0,M. Conley misses 3-pt jump shot from 36 ft,,78,65
326,3,0:00.0,Offensive rebound by Team,,78,65
327,4,11:44.0,,D. Schröder misses 2-pt layup from 2 ft,78,65
328,4,11:42.0,Defensive rebound by T. Daniels,,78,65
329,4,11:26.0,Z. Randolph misses 3-pt jump shot from 24 ft,,78,65
330,4,11:25.0,,Defensive rebound by E. İlyasova,78,65
331,4,11:16.0,,D. Howard misses 2-pt hook shot from 3 ft,78,65
332,4,11:13.0,Defensive rebound by J. Ennis,,78,65
333,4,10:57.0,T. Daniels makes 3-pt jump shot from 24 ft (assist by M. Conley),,81,65
334,4,10:42.0,,Personal foul by Z. Randolph (drawn by D. Howard),81,65
335,4,10:42.0,,K. Bazemore enters the game for D. Schröder,81,65
336,4,10:42.0,,J. Calderón enters the game for T. Hardaway,81,65
337,4,10:40.0,,Turnover by T. Prince (bad pass; steal by M. Conley),81,65
338,4,10:39.0,Shooting foul by J. Calderón (drawn by M. Conley),,81,65
339,4,10:39.0,M. Conley misses free throw 1 of 2,,81,65
340,4,10:39.0,Offensive rebound by Team,,81,65
341,4,10:39.0,M. Conley makes free throw 2 of 2,,82,65
342,4,10:31.0,,Turnover by J. Calderón (bad pass),82,65
343,4,10:21.0,T. Daniels misses 2-pt jump shot from 7 ft,,82,65
344,4,10:20.0,,Defensive rebound by D. Howard,82,65
345,4,10:11.0,,Turnover by D. Howard (3 sec),82,65
346,4,10:02.0,Z. Randolph misses 2-pt layup at rim (block by D. Howard),,82,65
347,4,9:58.0,Offensive rebound by M. Conley,,82,65
348,4,9:55.0,B. Wright misses 2-pt layup from 2 ft (block by T. Prince),,82,65
349,4,9:55.0,Offensive rebound by B. Wright,,82,65
350,4,9:55.0,Shooting foul by T. Prince (drawn by B. Wright),,82,65
351,4,9:55.0,B. Wright makes free throw 1 of 2,,83,65
352,4,9:55.0,B. Wright makes free throw 2 of 2,,84,65
353,4,9:44.0,,J. Calderón misses 3-pt jump shot from 23 ft,84,65
354,4,9:42.0,,Offensive rebound by D. Howard,84,65
355,4,9:42.0,,D. Howard misses 2-pt layup from 1 ft (block by J. Ennis),84,65
356,4,9:42.0,,Offensive rebound by Team,84,65
357,4,9:33.0,,E. İlyasova misses 2-pt hook shot from 11 ft,84,65
358,4,9:32.0,,Offensive rebound by E. İlyasova,84,65
359,4,9:31.0,,E. İlyasova makes 2-pt jump shot from 4 ft,84,67
360,4,9:15.0,Personal foul by K. Bazemore (drawn by B. Wright),,84,67
361,4,9:01.0,Turnover by T. Daniels (lost ball),,84,67
362,4,9:01.0,Loose ball foul by T. Daniels (drawn by K. Bazemore),,84,67
363,4,8:54.0,,Offensive foul by D. Howard (drawn by Z. Randolph),84,67
364,4,8:54.0,,Turnover by D. Howard (offensive foul),84,67
365,4,8:54.0,Official timeout,,84,67
366,4,8:54.0,,T. Hardaway enters the game for E. İlyasova,84,67
367,4,8:33.0,T. Daniels misses 3-pt jump shot from 26 ft,,84,67
368,4,8:32.0,,Defensive rebound by J. Calderón,84,67
369,4,8:28.0,,Shooting block foul by T. Daniels (drawn by T. Prince),84,67
370,4,8:28.0,,T. Prince makes free throw 1 of 2,84,68
371,4,8:28.0,M. Gasol enters the game for B. Wright,,84,68
372,4,8:28.0,,T. Prince makes free throw 2 of 2,84,69
373,4,8:13.0,Z. Randolph makes 2-pt layup from 1 ft (assist by J. Ennis),,86,69
374,4,8:07.0,,Personal foul by J. Ennis (drawn by K. Bazemore),86,69
375,4,7:53.0,,T. Hardaway makes 2-pt dunk at rim,86,71
376,4,7:32.0,Z. Randolph makes 2-pt hook shot from 6 ft (assist by M. Gasol),,88,71
377,4,7:19.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by J. Calderón),88,74
378,4,6:58.0,Z. Randolph misses 2-pt layup from 1 ft (block by T. Prince),,88,74
379,4,6:56.0,Offensive rebound by Z. Randolph,,88,74
380,4,6:56.0,Z. Randolph misses 2-pt layup from 2 ft,,88,74
381,4,6:55.0,,Defensive rebound by J. Calderón,88,74
382,4,6:50.0,,Personal foul by M. Conley (drawn by K. Bazemore),88,74
383,4,6:50.0,,K. Bazemore makes free throw 1 of 2,88,75
384,4,6:50.0,J. Green enters the game for Z. Randolph,,88,75
385,4,6:50.0,,K. Bazemore makes free throw 2 of 2,88,76
386,4,6:37.0,M. Conley misses 2-pt layup from 2 ft,,88,76
387,4,6:35.0,Offensive rebound by J. Green,,88,76
388,4,6:34.0,J. Green misses 2-pt layup at rim (block by D. Howard),,88,76
