,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
164,2,4:53.0,,K. Irving makes free throw 2 of 2,31,49
165,2,4:46.0,Personal foul by I. Shumpert (drawn by D. Booker),,31,49
166,2,4:46.0,M. Chriss enters the game for P. Tucker,,31,49
167,2,4:36.0,D. Booker misses 2-pt jump shot from 13 ft,,31,49
168,2,4:35.0,,Defensive rebound by K. Korver,31,49
169,2,4:32.0,,Turnover by K. Korver (bad pass; steal by E. Bledsoe),31,49
170,2,4:28.0,Shooting block foul by K. Korver (drawn by D. Booker),,31,49
171,2,4:28.0,D. Booker misses free throw 1 of 2,,31,49
172,2,4:28.0,Offensive rebound by Team,,31,49
173,2,4:28.0,,C. Frye enters the game for T. Thompson,31,49
174,2,4:28.0,D. Booker makes free throw 2 of 2,,32,49
175,2,4:14.0,,K. Irving makes 2-pt jump shot from 21 ft,32,51
176,2,3:59.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,32,51
177,2,3:56.0,,Defensive rebound by C. Frye,32,51
178,2,3:42.0,,K. Irving misses 3-pt jump shot from 26 ft,32,51
179,2,3:42.0,Defensive rebound by T. Chandler,,32,51
180,2,3:31.0,M. Chriss misses 2-pt jump shot from 13 ft,,32,51
181,2,3:29.0,,Defensive rebound by K. Korver,32,51
182,2,3:21.0,,R. Jefferson misses 3-pt jump shot from 24 ft,32,51
183,2,3:21.0,Defensive rebound by D. Booker,,32,51
184,2,3:16.0,Turnover by D. Booker (bad pass),,32,51
185,2,3:16.0,,L. James enters the game for K. Korver,32,51
186,2,3:03.0,,L. James makes 2-pt dunk at rim (assist by R. Jefferson),32,53
187,2,3:03.0,,Shooting foul by T. Warren (drawn by L. James),32,53
188,2,3:03.0,,L. James misses free throw 1 of 1,32,53
189,2,3:02.0,Defensive rebound by M. Chriss,,32,53
190,2,2:48.0,D. Booker makes 2-pt jump shot from 18 ft (assist by E. Bledsoe),,34,53
191,2,2:28.0,,L. James misses 2-pt jump shot from 19 ft,34,53
192,2,2:27.0,Defensive rebound by D. Booker,,34,53
193,2,2:18.0,T. Warren misses 3-pt jump shot from 24 ft,,34,53
194,2,2:17.0,Offensive rebound by T. Chandler,,34,53
195,2,2:09.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,34,53
196,2,2:07.0,Offensive rebound by T. Chandler,,34,53
197,2,2:05.0,T. Warren misses 2-pt jump shot from 17 ft,,34,53
198,2,2:02.0,,Defensive rebound by L. James,34,53
199,2,1:57.0,,R. Jefferson makes 2-pt dunk at rim (assist by L. James),34,55
200,2,1:39.0,M. Chriss makes 2-pt jump shot from 4 ft (assist by D. Booker),,36,55
201,2,1:22.0,,R. Jefferson misses 2-pt jump shot from 21 ft,36,55
202,2,1:22.0,Defensive rebound by Team,,36,55
203,2,1:22.0,,Loose ball foul by I. Shumpert (drawn by D. Booker),36,55
204,2,1:22.0,,Cleveland full timeout,36,55
205,2,1:22.0,D. Booker makes free throw 1 of 2,,37,55
206,2,1:22.0,,D. Liggins enters the game for I. Shumpert,36,55
207,2,1:22.0,D. Booker makes free throw 2 of 2,,38,55
208,2,1:00.0,,K. Irving makes 2-pt jump shot from 5 ft (assist by L. James),38,57
209,2,0:47.0,Shooting foul by C. Frye (drawn by T. Chandler),,38,57
210,2,0:47.0,T. Chandler makes free throw 1 of 2,,39,57
211,2,0:47.0,T. Chandler misses free throw 2 of 2,,39,57
212,2,0:46.0,,Defensive rebound by L. James,39,57
213,2,0:36.0,,C. Frye makes 2-pt hook shot from 7 ft (assist by K. Irving),39,59
214,2,0:21.0,,K. Korver enters the game for L. James,39,59
215,2,0:18.0,D. Booker misses 2-pt jump shot from 14 ft,,39,59
216,2,0:18.0,Offensive rebound by T. Chandler,,39,59
217,2,0:18.0,T. Chandler makes 2-pt dunk at rim,,41,59
218,2,0:18.0,,Cleveland full timeout,41,59
219,2,0:18.0,,L. James enters the game for D. Liggins,41,59
220,2,0:00.0,,K. Korver misses 3-pt jump shot from 25 ft,41,59
221,2,0:00.0,,Offensive rebound by Team,41,59
222,3,11:46.0,,K. Irving misses 2-pt jump shot from 9 ft,41,59
223,3,11:44.0,Defensive rebound by E. Bledsoe,,41,59
224,3,11:36.0,D. Booker misses 3-pt jump shot from 24 ft,,41,59
225,3,11:35.0,,Defensive rebound by L. James,41,59
226,3,11:27.0,,I. Shumpert misses 3-pt jump shot from 24 ft,41,59
227,3,11:26.0,Defensive rebound by T. Chandler,,41,59
228,3,11:08.0,E. Bledsoe makes 2-pt jump shot from 8 ft,,43,59
229,3,10:44.0,,J. Jones makes 3-pt jump shot from 23 ft (assist by K. Irving),43,62
230,3,10:30.0,M. Chriss misses 2-pt jump shot from 20 ft,,43,62
231,3,10:30.0,,Defensive rebound by T. Thompson,43,62
232,3,10:26.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by L. James),43,65
233,3,10:26.0,Phoenix full timeout,,43,65
234,3,10:11.0,T. Chandler misses 2-pt layup from 2 ft (block by I. Shumpert),,43,65
235,3,10:10.0,Offensive rebound by T. Chandler,,43,65
236,3,10:09.0,T. Chandler makes 2-pt dunk at rim,,45,65
237,3,9:57.0,,K. Irving misses 2-pt jump shot from 17 ft,45,65
238,3,9:55.0,,Offensive rebound by I. Shumpert,45,65
239,3,9:37.0,,J. Jones misses 2-pt jump shot from 21 ft,45,65
240,3,9:36.0,Defensive rebound by T. Chandler,,45,65
241,3,9:26.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,45,65
242,3,9:25.0,Offensive rebound by M. Chriss,,45,65
243,3,9:25.0,Personal foul by T. Thompson (drawn by M. Chriss),,45,65
244,3,9:14.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by D. Booker),,48,65
245,3,8:51.0,,T. Thompson misses 2-pt jump shot from 7 ft,48,65
246,3,8:51.0,Defensive rebound by T. Chandler,,48,65
247,3,8:49.0,Turnover by T. Chandler (bad pass; steal by K. Irving),,48,65
248,3,8:37.0,,T. Thompson makes 2-pt jump shot from 14 ft (assist by J. Jones),48,67
249,3,8:33.0,Shooting foul by K. Irving (drawn by D. Booker),,48,67
250,3,8:33.0,D. Booker makes free throw 1 of 2,,49,67
251,3,8:33.0,D. Booker makes free throw 2 of 2,,50,67
252,3,8:24.0,,Turnover by L. James (lost ball; steal by T. Warren),50,67
253,3,8:15.0,E. Bledsoe makes 2-pt layup from 1 ft,,52,67
254,3,8:05.0,,Turnover by T. Thompson (bad pass; steal by M. Chriss),52,67
255,3,8:01.0,M. Chriss misses 2-pt dunk at rim,,52,67
256,3,7:59.0,,Defensive rebound by L. James,52,67
257,3,7:59.0,,Personal foul by E. Bledsoe (drawn by L. James),52,67
258,3,7:43.0,,T. Thompson misses 2-pt layup from 1 ft,52,67
259,3,7:41.0,Defensive rebound by T. Chandler,,52,67
260,3,7:37.0,T. Warren makes 2-pt layup from 2 ft (assist by E. Bledsoe),,54,67
261,3,7:37.0,,Cleveland full timeout,54,67
262,3,7:21.0,,Shooting block foul by M. Chriss (drawn by T. Thompson),54,67
263,3,7:21.0,,T. Thompson misses free throw 1 of 2,54,67
264,3,7:21.0,,Offensive rebound by Team,54,67
265,3,7:21.0,,T. Thompson misses free throw 2 of 2,54,67
266,3,7:20.0,Defensive rebound by E. Bledsoe,,54,67
267,3,7:06.0,T. Chandler makes 2-pt dunk at rim (assist by D. Booker),,56,67
268,3,6:45.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by T. Thompson),56,70
