,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
198,2,1:02.0,P. Gasol makes 3-pt jump shot from 24 ft (assist by K. Leonard),,43,37
199,2,0:52.0,,Personal foul by K. Leonard (drawn by C. Paul),43,37
200,2,0:52.0,,C. Paul makes free throw 1 of 2,43,38
201,2,0:52.0,,C. Paul misses free throw 2 of 2,43,38
202,2,0:51.0,Defensive rebound by L. Aldridge,,43,38
203,2,0:38.0,Personal foul by L. Mbah a Moute (drawn by K. Leonard),,43,38
204,2,0:38.0,K. Leonard makes free throw 1 of 2,,44,38
205,2,0:38.0,K. Leonard misses free throw 2 of 2,,44,38
206,2,0:38.0,,Defensive rebound by B. Griffin,44,38
207,2,0:38.0,,A. Rivers enters the game for L. Mbah a Moute,44,38
208,2,0:28.0,,C. Paul makes 2-pt jump shot from 9 ft,44,40
209,2,0:08.0,P. Gasol makes 3-pt jump shot from 23 ft (assist by M. Ginóbili),,47,40
210,2,0:02.0,,C. Paul makes 2-pt jump shot from 12 ft,47,42
211,2,0:00.0,P. Mills misses 3-pt jump shot from 39 ft,,47,42
212,2,0:00.0,Offensive rebound by Team,,47,42
213,3,11:48.0,Personal foul by C. Paul (drawn by D. Dedmon),,47,42
214,3,11:31.0,L. Aldridge misses 2-pt jump shot from 15 ft,,47,42
215,3,11:31.0,,Defensive rebound by L. Mbah a Moute,47,42
216,3,11:06.0,,C. Paul misses 2-pt jump shot from 20 ft,47,42
217,3,11:05.0,Defensive rebound by L. Aldridge,,47,42
218,3,10:44.0,K. Leonard makes 2-pt jump shot from 21 ft (assist by D. Dedmon),,49,42
219,3,10:20.0,,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),49,44
220,3,10:00.0,K. Leonard misses 2-pt jump shot from 10 ft,,49,44
221,3,9:58.0,,Defensive rebound by B. Griffin,49,44
222,3,9:53.0,,B. Griffin misses 2-pt layup from 3 ft,49,44
223,3,9:51.0,Defensive rebound by D. Dedmon,,49,44
224,3,9:46.0,Turnover by K. Leonard (bad pass; steal by D. Jordan),,49,44
225,3,9:42.0,,Shooting foul by K. Leonard (drawn by B. Griffin),49,44
226,3,9:42.0,,B. Griffin makes free throw 1 of 2,49,45
227,3,9:42.0,P. Gasol enters the game for D. Dedmon,,49,45
228,3,9:42.0,,B. Griffin makes free throw 2 of 2,49,46
229,3,9:25.0,P. Gasol misses 2-pt jump shot from 21 ft,,49,46
230,3,9:22.0,,Defensive rebound by D. Jordan,49,46
231,3,9:14.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Griffin),49,49
232,3,9:14.0,San Antonio full timeout,,49,49
233,3,8:56.0,Shooting foul by D. Jordan (drawn by L. Aldridge),,49,49
234,3,8:56.0,L. Aldridge makes free throw 1 of 2,,50,49
235,3,8:56.0,L. Aldridge makes free throw 2 of 2,,51,49
236,3,8:43.0,,Personal foul by K. Leonard (drawn by C. Paul),51,49
237,3,8:32.0,,B. Griffin makes 2-pt jump shot from 21 ft,51,51
238,3,8:15.0,Shooting foul by B. Griffin (drawn by K. Leonard),,51,51
239,3,8:15.0,K. Leonard makes free throw 1 of 2,,52,51
240,3,8:15.0,K. Leonard makes free throw 2 of 2,,53,51
241,3,8:05.0,,B. Griffin makes 2-pt layup from 2 ft,53,53
242,3,7:52.0,L. Aldridge misses 2-pt jump shot from 19 ft,,53,53
243,3,7:52.0,,Defensive rebound by D. Jordan,53,53
244,3,7:46.0,,C. Paul makes 3-pt jump shot from 24 ft,53,56
245,3,7:28.0,Personal foul by L. Mbah a Moute (drawn by P. Gasol),,53,56
246,3,7:28.0,P. Mills enters the game for T. Parker,,53,56
247,3,7:18.0,P. Mills misses 3-pt jump shot from 25 ft,,53,56
248,3,7:15.0,,Defensive rebound by C. Paul,53,56
249,3,7:13.0,,Shooting foul by K. Leonard (drawn by B. Griffin),53,56
250,3,7:13.0,,B. Griffin makes free throw 1 of 2,53,57
251,3,7:13.0,J. Simmons enters the game for K. Leonard,,53,57
252,3,7:13.0,,A. Rivers enters the game for L. Mbah a Moute,53,57
253,3,7:13.0,,B. Griffin makes free throw 2 of 2,53,58
254,3,6:57.0,Shooting foul by D. Jordan (drawn by J. Simmons),,53,58
255,3,6:57.0,J. Simmons makes free throw 1 of 2,,54,58
256,3,6:57.0,J. Simmons makes free throw 2 of 2,,55,58
257,3,6:41.0,,C. Paul makes 2-pt jump shot from 15 ft,55,60
258,3,6:31.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. Green),,57,60
259,3,6:10.0,,B. Griffin makes 2-pt hook shot from 11 ft,57,62
260,3,5:44.0,J. Simmons misses 3-pt jump shot from 28 ft,,57,62
261,3,5:44.0,Offensive rebound by P. Gasol,,57,62
262,3,5:39.0,D. Green misses 3-pt jump shot from 26 ft,,57,62
263,3,5:39.0,,Defensive rebound by C. Paul,57,62
264,3,5:33.0,,J. Redick misses 3-pt jump shot from 25 ft,57,62
265,3,5:31.0,Defensive rebound by L. Aldridge,,57,62
266,3,5:19.0,Turnover by Team (back court),,57,62
267,3,5:19.0,M. Ginóbili enters the game for D. Green,,57,62
268,3,5:06.0,,D. Jordan makes 2-pt layup from 2 ft (assist by B. Griffin),57,64
269,3,5:06.0,,Shooting foul by M. Ginóbili (drawn by D. Jordan),57,64
270,3,5:06.0,,D. Jordan misses free throw 1 of 1,57,64
271,3,5:06.0,K. Anderson enters the game for J. Simmons,,57,64
272,3,5:04.0,Defensive rebound by P. Gasol,,57,64
273,3,4:55.0,L. Aldridge misses 2-pt jump shot from 19 ft,,57,64
274,3,4:55.0,,Defensive rebound by B. Griffin,57,64
275,3,4:42.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),57,66
276,3,4:31.0,P. Gasol makes 2-pt jump shot from 16 ft (assist by P. Mills),,59,66
277,3,4:26.0,,Shooting foul by P. Gasol (drawn by B. Griffin),59,66
278,3,4:26.0,,B. Griffin makes free throw 1 of 2,59,67
279,3,4:26.0,,B. Griffin makes free throw 2 of 2,59,68
280,3,4:08.0,L. Aldridge misses 2-pt jump shot from 18 ft,,59,68
281,3,4:07.0,Offensive rebound by P. Gasol,,59,68
282,3,3:57.0,P. Gasol makes 2-pt hook shot from 4 ft,,61,68
