,QUARTER,TIME_REMAINING,MIAMI_ACTION,SAN ANTONIO_ACTION,MIAMI_SCORE,SAN ANTONIO_SCORE
48,1,5:20.0,J. Winslow misses 2-pt layup from 1 ft,,8,17
49,1,5:19.0,,Defensive rebound by K. Leonard,8,17
50,1,5:13.0,,Turnover by D. Green (bad pass; steal by J. Richardson),8,17
51,1,5:08.0,J. Winslow makes 2-pt layup from 1 ft (assist by J. Richardson),,10,17
52,1,4:49.0,,P. Gasol misses 2-pt hook shot from 6 ft,10,17
53,1,4:48.0,Defensive rebound by H. Whiteside,,10,17
54,1,4:24.0,J. Richardson misses 2-pt jump shot from 24 ft,,10,17
55,1,4:24.0,,Defensive rebound by P. Gasol,10,17
56,1,4:14.0,,Personal foul by D. Williams (drawn by L. Aldridge),10,17
57,1,4:14.0,,M. Ginóbili enters the game for D. Green,10,17
58,1,4:14.0,,D. Lee enters the game for P. Gasol,10,17
59,1,4:14.0,J. Johnson enters the game for D. Williams,,10,17
60,1,4:14.0,T. Johnson enters the game for J. Richardson,,10,17
61,1,3:58.0,,K. Leonard misses 2-pt jump shot from 13 ft,10,17
62,1,3:57.0,Defensive rebound by J. Winslow,,10,17
63,1,3:48.0,Turnover by H. Whiteside (traveling),,10,17
64,1,3:35.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by P. Mills),10,19
65,1,3:20.0,T. Johnson misses 2-pt jump shot from 9 ft,,10,19
66,1,3:18.0,,Defensive rebound by L. Aldridge,10,19
67,1,3:12.0,,K. Leonard misses 2-pt jump shot from 9 ft,10,19
68,1,3:10.0,,Offensive rebound by K. Leonard,10,19
69,1,3:07.0,,K. Leonard makes 2-pt layup from 2 ft,10,21
70,1,2:47.0,D. Waiters makes 2-pt layup from 3 ft,,12,21
71,1,2:44.0,,San Antonio full timeout,12,21
72,1,2:44.0,J. McRoberts enters the game for H. Whiteside,,12,21
73,1,2:34.0,,M. Ginóbili misses 2-pt jump shot from 8 ft,12,21
74,1,2:33.0,,Offensive rebound by Team,12,21
75,1,2:33.0,Loose ball foul by J. Johnson (drawn by M. Ginóbili),,12,21
76,1,2:21.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by D. Lee),12,24
77,1,2:10.0,Turnover by D. Waiters (bad pass),,12,24
78,1,2:10.0,R. McGruder enters the game for D. Waiters,,12,24
79,1,2:04.0,,Personal foul by J. Winslow (drawn by K. Leonard),12,24
80,1,2:04.0,,K. Leonard makes free throw 1 of 2,12,25
81,1,2:04.0,,K. Leonard misses free throw 2 of 2,12,25
82,1,2:04.0,,D. Dedmon enters the game for L. Aldridge,12,25
83,1,2:03.0,Defensive rebound by J. McRoberts,,12,25
84,1,1:45.0,J. Winslow makes 2-pt dunk at rim (assist by J. McRoberts),,14,25
85,1,1:33.0,,Turnover by K. Leonard (bad pass; steal by J. Johnson),14,25
86,1,1:18.0,R. McGruder makes 2-pt layup from 1 ft (assist by J. McRoberts),,16,25
87,1,1:02.0,,M. Ginóbili misses 2-pt jump shot from 11 ft,16,25
88,1,1:00.0,Defensive rebound by T. Johnson,,16,25
89,1,0:41.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by J. Winslow),,19,25
90,1,0:25.0,,D. Dedmon misses 2-pt jump shot from 5 ft,19,25
91,1,0:24.0,Defensive rebound by R. McGruder,,19,25
92,1,0:01.0,J. McRoberts misses 3-pt jump shot from 25 ft,,19,25
93,1,0:00.0,,Defensive rebound by D. Lee,19,25
94,2,11:50.0,,Turnover by M. Ginóbili (bad pass; steal by J. McRoberts),19,25
95,2,11:42.0,J. McRoberts misses 2-pt jump shot from 6 ft,,19,25
96,2,11:41.0,,Defensive rebound by D. Lee,19,25
97,2,11:35.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),19,28
98,2,11:17.0,Turnover by J. Johnson (step out of bounds),,19,28
99,2,11:17.0,,T. Parker enters the game for P. Mills,19,28
100,2,11:03.0,,D. Lee makes 2-pt layup from 1 ft (assist by T. Parker),19,30
101,2,10:49.0,Turnover by J. Richardson (bad pass; steal by T. Parker),,19,30
102,2,10:45.0,,Shooting foul by J. Johnson (drawn by T. Parker),19,30
103,2,10:45.0,,T. Parker makes free throw 1 of 2,19,31
104,2,10:45.0,,T. Parker makes free throw 2 of 2,19,32
105,2,10:35.0,J. Johnson makes 2-pt jump shot from 6 ft (assist by T. Johnson),,21,32
106,2,10:07.0,,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by J. Simmons),21,35
107,2,9:53.0,Personal foul by D. Dedmon (drawn by R. McGruder),,21,35
108,2,9:53.0,,D. Green enters the game for M. Ginóbili,21,35
109,2,9:53.0,,P. Gasol enters the game for D. Lee,21,35
110,2,9:43.0,J. McRoberts misses 2-pt jump shot from 19 ft,,21,35
111,2,9:43.0,,Defensive rebound by D. Dedmon,21,35
112,2,9:28.0,,D. Green misses 2-pt jump shot from 4 ft,21,35
113,2,9:27.0,Defensive rebound by J. McRoberts,,21,35
114,2,9:11.0,Shooting foul by D. Dedmon (drawn by T. Johnson),,21,35
115,2,9:11.0,T. Johnson misses free throw 1 of 2,,21,35
116,2,9:11.0,Offensive rebound by Team,,21,35
117,2,9:11.0,T. Johnson misses free throw 2 of 2,,21,35
118,2,9:10.0,,Defensive rebound by P. Gasol,21,35
119,2,8:48.0,,P. Gasol misses 3-pt jump shot from 25 ft,21,35
120,2,8:48.0,Defensive rebound by R. McGruder,,21,35
121,2,8:29.0,J. Richardson misses 2-pt jump shot from 17 ft,,21,35
122,2,8:28.0,Offensive rebound by J. Johnson,,21,35
123,2,8:23.0,J. McRoberts misses 2-pt layup from 3 ft (block by D. Dedmon),,21,35
124,2,8:22.0,,Defensive rebound by D. Dedmon,21,35
125,2,8:15.0,,T. Parker misses 2-pt layup from 2 ft,21,35
126,2,8:13.0,,Offensive rebound by D. Dedmon,21,35
127,2,8:13.0,,D. Dedmon misses 2-pt layup from 1 ft,21,35
128,2,8:13.0,,Offensive rebound by J. Simmons,21,35
129,2,8:13.0,,J. Simmons makes 2-pt layup from 1 ft,21,37
130,2,8:13.0,Miami full timeout,,21,37
131,2,8:13.0,H. Whiteside enters the game for J. McRoberts,,21,37
132,2,8:01.0,Offensive foul by H. Whiteside (drawn by J. Simmons),,21,37
133,2,8:01.0,Turnover by H. Whiteside (offensive foul),,21,37
134,2,7:43.0,,Turnover by T. Parker (bad pass; steal by T. Johnson),21,37
135,2,7:39.0,Shooting foul by J. Simmons (drawn by T. Johnson),,21,37
136,2,7:39.0,T. Johnson makes free throw 1 of 2,,22,37
137,2,7:39.0,T. Johnson misses free throw 2 of 2,,22,37
138,2,7:39.0,L. Babbitt enters the game for J. Johnson,,22,37
139,2,7:39.0,,L. Aldridge enters the game for D. Dedmon,22,37
140,2,7:35.0,,Defensive rebound by P. Gasol,22,37
141,2,7:12.0,,P. Gasol makes 2-pt jump shot from 12 ft,22,39
142,2,6:49.0,Turnover by J. Richardson (lost ball),,22,39
143,2,6:31.0,,Personal foul by L. Babbitt (drawn by P. Gasol),22,39
144,2,6:31.0,D. Waiters enters the game for J. Richardson,,22,39
145,2,6:23.0,,T. Parker misses 2-pt layup from 2 ft (block by R. McGruder),22,39
146,2,6:23.0,,Offensive rebound by Team,22,39
147,2,6:17.0,,P. Gasol misses 2-pt hook shot at rim,22,39
148,2,6:15.0,Defensive rebound by T. Johnson,,22,39
149,2,6:08.0,T. Johnson makes 2-pt layup from 1 ft,,24,39
150,2,5:53.0,,J. Simmons misses 3-pt jump shot from 24 ft (block by D. Waiters),24,39
151,2,5:53.0,,Offensive rebound by Team,24,39
152,2,5:53.0,Official timeout,,24,39
153,2,5:53.0,,K. Leonard enters the game for J. Simmons,24,39
154,2,5:43.0,,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),24,42
155,2,5:28.0,D. Waiters makes 2-pt layup at rim,,26,42
156,2,5:15.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by T. Parker),26,44
157,2,4:52.0,T. Johnson misses 2-pt jump shot from 10 ft,,26,44
158,2,4:49.0,Offensive rebound by H. Whiteside,,26,44
159,2,4:47.0,H. Whiteside makes 2-pt layup from 1 ft,,28,44
160,2,4:29.0,,Shooting foul by H. Whiteside (drawn by L. Aldridge),28,44
161,2,4:29.0,,L. Aldridge makes free throw 1 of 2,28,45
162,2,4:29.0,,P. Mills enters the game for T. Parker,28,45
163,2,4:29.0,J. Winslow enters the game for R. McGruder,,28,45
164,2,4:29.0,,L. Aldridge makes free throw 2 of 2,28,46
165,2,4:13.0,H. Whiteside makes 2-pt dunk at rim (assist by T. Johnson),,30,46
166,2,3:58.0,,P. Gasol misses 2-pt jump shot from 19 ft,30,46
167,2,3:58.0,Defensive rebound by H. Whiteside,,30,46
168,2,3:48.0,D. Waiters misses 2-pt layup from 1 ft,,30,46
169,2,3:48.0,Offensive rebound by H. Whiteside,,30,46
170,2,3:48.0,Shooting foul by P. Gasol (drawn by H. Whiteside),,30,46
171,2,3:48.0,H. Whiteside makes free throw 1 of 2,,31,46
172,2,3:48.0,H. Whiteside makes free throw 2 of 2,,32,46
173,2,3:36.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by P. Mills),32,48
174,2,3:13.0,D. Waiters misses 2-pt layup from 2 ft,,32,48
175,2,3:13.0,Offensive rebound by H. Whiteside,,32,48
176,2,3:13.0,Shooting foul by P. Mills (drawn by H. Whiteside),,32,48
177,2,3:13.0,H. Whiteside misses free throw 1 of 2,,32,48
178,2,3:13.0,Offensive rebound by Team,,32,48
179,2,3:13.0,,San Antonio full timeout,32,48
180,2,3:13.0,H. Whiteside misses free throw 2 of 2,,32,48
181,2,3:12.0,,Defensive rebound by K. Leonard,32,48
182,2,2:53.0,,Turnover by L. Aldridge (lost ball; steal by D. Waiters),32,48
183,2,2:43.0,D. Waiters misses 3-pt jump shot from 24 ft,,32,48
184,2,2:43.0,Offensive rebound by Team,,32,48
185,2,2:43.0,,Loose ball foul by D. Green (drawn by H. Whiteside),32,48
186,2,2:43.0,H. Whiteside makes free throw 1 of 2,,33,48
187,2,2:43.0,H. Whiteside misses free throw 2 of 2,,33,48
188,2,2:43.0,,D. Lee enters the game for P. Gasol,33,48
189,2,2:43.0,,M. Ginóbili enters the game for D. Green,33,48
190,2,2:41.0,,Defensive rebound by L. Aldridge,33,48
191,2,2:26.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by M. Ginóbili),33,50
192,2,2:08.0,H. Whiteside makes 2-pt hook shot from 6 ft (assist by D. Waiters),,35,50
193,2,1:57.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by L. Aldridge),35,53
194,2,1:33.0,D. Waiters makes 3-pt jump shot from 22 ft (assist by J. Winslow),,38,53
195,2,1:13.0,,L. Aldridge makes 2-pt jump shot from 9 ft (assist by K. Leonard),38,55
196,2,1:00.0,D. Waiters misses 2-pt layup at rim,,38,55
197,2,0:53.0,,Defensive rebound by M. Ginóbili,38,55
198,2,0:50.0,,K. Leonard misses 3-pt jump shot from 25 ft,38,55
199,2,0:49.0,Defensive rebound by T. Johnson,,38,55
200,2,0:32.0,D. Waiters makes 2-pt jump shot from 19 ft,,40,55
201,2,0:11.0,,L. Aldridge misses 2-pt jump shot from 18 ft,40,55
202,2,0:10.0,Defensive rebound by T. Johnson,,40,55
203,2,0:07.0,Miami full timeout,,40,55
204,2,0:07.0,,J. Simmons enters the game for D. Lee,40,55
205,2,0:07.0,J. Richardson enters the game for H. Whiteside,,40,55
206,2,0:07.0,J. Johnson enters the game for L. Babbitt,,40,55
207,2,0:01.0,J. Winslow misses 3-pt jump shot from 25 ft,,40,55
208,2,0:00.0,,Defensive rebound by M. Ginóbili,40,55
209,3,11:44.0,,K. Leonard misses 2-pt layup from 2 ft (block by H. Whiteside),40,55
210,3,11:42.0,,Offensive rebound by T. Parker,40,55
211,3,11:37.0,,P. Gasol misses 2-pt jump shot from 11 ft,40,55
212,3,11:37.0,Defensive rebound by D. Waiters,,40,55
213,3,11:32.0,D. Waiters misses 2-pt layup from 1 ft,,40,55
214,3,11:30.0,Offensive rebound by J. Richardson,,40,55
215,3,11:28.0,J. Richardson makes 2-pt layup from 1 ft,,42,55
216,3,11:15.0,,Turnover by K. Leonard (bad pass; steal by H. Whiteside),42,55
217,3,11:12.0,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Waiters),,44,55
218,3,11:12.0,,San Antonio full timeout,44,55
219,3,10:47.0,,P. Gasol makes 2-pt jump shot from 16 ft (assist by T. Parker),44,57
220,3,10:25.0,D. Waiters makes 2-pt layup from 1 ft,,46,57
221,3,10:10.0,,P. Gasol makes 2-pt jump shot from 16 ft (assist by T. Parker),46,59
222,3,10:00.0,D. Williams misses 2-pt layup at rim (block by P. Gasol),,46,59
223,3,9:59.0,,Defensive rebound by J. Simmons,46,59
224,3,9:55.0,,K. Leonard misses 2-pt layup from 2 ft (block by D. Waiters),46,59
225,3,9:55.0,,Offensive rebound by Team,46,59
226,3,9:52.0,,K. Leonard misses 2-pt jump shot from 15 ft,46,59
227,3,9:51.0,Defensive rebound by H. Whiteside,,46,59
228,3,9:47.0,Turnover by D. Waiters (discontinued dribble),,46,59
229,3,9:23.0,,T. Parker misses 2-pt layup from 3 ft,46,59
230,3,9:23.0,Defensive rebound by Team,,46,59
231,3,9:12.0,Shooting block foul by T. Parker (drawn by J. Winslow),,46,59
232,3,9:12.0,J. Winslow misses free throw 1 of 2,,46,59
233,3,9:12.0,Offensive rebound by Team,,46,59
234,3,9:12.0,J. Winslow makes free throw 2 of 2,,47,59
235,3,9:01.0,,Personal foul by J. Richardson (drawn by T. Parker),47,59
236,3,8:52.0,,Turnover by P. Gasol (bad pass; steal by H. Whiteside),47,59
237,3,8:48.0,D. Williams misses 2-pt layup from 2 ft (block by J. Simmons),,47,59
238,3,8:48.0,Offensive rebound by Team,,47,59
239,3,8:38.0,D. Waiters misses 2-pt layup from 1 ft,,47,59
240,3,8:38.0,,Defensive rebound by K. Leonard,47,59
241,3,8:30.0,,J. Simmons misses 2-pt layup from 1 ft,47,59
242,3,8:29.0,,Offensive rebound by J. Simmons,47,59
243,3,8:28.0,,Turnover by J. Simmons (lost ball; steal by D. Waiters),47,59
244,3,8:21.0,J. Richardson misses 2-pt layup from 1 ft,,47,59
245,3,8:20.0,,Defensive rebound by T. Parker,47,59
246,3,8:15.0,,T. Parker makes 2-pt layup from 2 ft,47,61
247,3,8:15.0,Miami full timeout,,47,61
248,3,7:53.0,H. Whiteside makes 2-pt hook shot from 6 ft,,49,61
249,3,7:32.0,,L. Aldridge misses 2-pt jump shot from 10 ft,49,61
250,3,7:32.0,Defensive rebound by H. Whiteside,,49,61
251,3,7:22.0,J. Winslow misses 2-pt jump shot from 10 ft,,49,61
252,3,7:21.0,Offensive rebound by J. Winslow,,49,61
253,3,7:13.0,J. Richardson makes 2-pt jump shot from 15 ft (assist by D. Waiters),,51,61
254,3,6:58.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Simmons),51,63
255,3,6:40.0,D. Waiters misses 2-pt layup at rim,,51,63
256,3,6:40.0,,Defensive rebound by Team,51,63
257,3,6:15.0,,T. Parker misses 2-pt jump shot from 16 ft,51,63
258,3,6:15.0,,Offensive rebound by L. Aldridge,51,63
259,3,6:04.0,,Turnover by K. Leonard (lost ball; steal by D. Williams),51,63
260,3,6:04.0,,Loose ball foul by K. Leonard (drawn by D. Williams),51,63
261,3,6:04.0,,P. Mills enters the game for T. Parker,51,63
262,3,5:45.0,D. Waiters misses 2-pt jump shot from 20 ft,,51,63
263,3,5:44.0,,Defensive rebound by P. Mills,51,63
264,3,5:38.0,,P. Gasol makes 2-pt layup from 1 ft (assist by P. Mills),51,65
265,3,5:20.0,Turnover by H. Whiteside (bad pass; steal by L. Aldridge),,51,65
266,3,4:59.0,,J. Simmons misses 3-pt jump shot from 24 ft,51,65
267,3,4:58.0,Defensive rebound by H. Whiteside,,51,65
268,3,4:48.0,Shooting foul by P. Gasol (drawn by D. Williams),,51,65
269,3,4:48.0,D. Williams misses free throw 1 of 2,,51,65
270,3,4:48.0,Offensive rebound by Team,,51,65
271,3,4:48.0,,M. Ginóbili enters the game for J. Simmons,51,65
272,3,4:48.0,T. Johnson enters the game for D. Waiters,,51,65
273,3,4:48.0,,D. Lee enters the game for L. Aldridge,51,65
274,3,4:48.0,D. Williams makes free throw 2 of 2,,52,65
275,3,4:30.0,,K. Leonard misses 2-pt jump shot from 8 ft,52,65
276,3,4:28.0,Defensive rebound by T. Johnson,,52,65
277,3,4:19.0,D. Williams makes 2-pt layup from 2 ft (assist by T. Johnson),,54,65
278,3,4:12.0,,P. Gasol misses 2-pt layup from 1 ft (block by H. Whiteside),54,65
279,3,4:12.0,,Offensive rebound by Team,54,65
280,3,4:12.0,J. Johnson enters the game for D. Williams,,54,65
281,3,4:12.0,,K. Anderson enters the game for K. Leonard,54,65
282,3,4:08.0,,Personal foul by J. Richardson (drawn by M. Ginóbili),54,65
283,3,4:05.0,,Personal foul by J. Johnson (drawn by P. Gasol),54,65
284,3,3:59.0,,P. Gasol misses 2-pt layup at rim (block by J. Johnson),54,65
285,3,3:58.0,,Offensive rebound by D. Lee,54,65
286,3,3:57.0,,Shooting foul by J. Johnson (drawn by D. Lee),54,65
287,3,3:57.0,,D. Lee misses free throw 1 of 2,54,65
288,3,3:57.0,,Offensive rebound by Team,54,65
289,3,3:57.0,,D. Dedmon enters the game for P. Gasol,54,65
290,3,3:57.0,,D. Lee makes free throw 2 of 2,54,66
291,3,3:43.0,J. Winslow misses 2-pt jump shot from 8 ft (block by K. Anderson),,54,66
292,3,3:42.0,Offensive rebound by J. Winslow,,54,66
293,3,3:42.0,J. Winslow misses 2-pt layup from 2 ft (block by D. Lee),,54,66
294,3,3:42.0,Offensive rebound by Team,,54,66
295,3,3:39.0,T. Johnson makes 2-pt jump shot from 20 ft (assist by J. Winslow),,56,66
296,3,3:30.0,,Personal foul by J. Richardson,56,66
297,3,3:30.0,,P. Mills makes free throw 1 of 2,56,67
298,3,3:30.0,R. McGruder enters the game for J. Richardson,,56,67
299,3,3:30.0,,P. Mills makes free throw 2 of 2,56,68
300,3,3:11.0,T. Johnson misses 2-pt jump shot from 16 ft,,56,68
301,3,3:10.0,,Defensive rebound by D. Lee,56,68
302,3,3:02.0,,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by D. Lee),56,71
303,3,2:33.0,H. Whiteside misses 2-pt hook shot from 10 ft,,56,71
304,3,2:31.0,,Defensive rebound by K. Anderson,56,71
305,3,2:27.0,,Offensive foul by D. Dedmon (drawn by J. Winslow),56,71
306,3,2:27.0,,Turnover by D. Dedmon (offensive foul),56,71
307,3,2:27.0,J. McRoberts enters the game for H. Whiteside,,56,71
308,3,2:07.0,J. Winslow makes 2-pt dunk at rim (assist by T. Johnson),,58,71
309,3,1:53.0,,Turnover by P. Mills (bad pass),58,71
310,3,1:39.0,T. Johnson misses 2-pt jump shot from 8 ft (block by D. Dedmon),,58,71
311,3,1:38.0,,Defensive rebound by M. Ginóbili,58,71
312,3,1:26.0,,M. Ginóbili misses 2-pt hook shot from 5 ft,58,71
313,3,1:26.0,,Offensive rebound by D. Lee,58,71
314,3,1:24.0,,D. Lee misses 2-pt layup from 1 ft,58,71
315,3,1:24.0,,Offensive rebound by D. Dedmon,58,71
316,3,1:22.0,,Turnover by D. Dedmon (lost ball; steal by J. Winslow),58,71
317,3,1:08.0,J. Winslow misses 2-pt jump shot from 19 ft,,58,71
318,3,1:08.0,,Defensive rebound by P. Mills,58,71
319,3,0:53.0,,P. Mills misses 2-pt jump shot from 19 ft,58,71
320,3,0:52.0,,Offensive rebound by D. Dedmon,58,71
321,3,0:47.0,,D. Dedmon misses 2-pt jump shot from 8 ft,58,71
322,3,0:47.0,Defensive rebound by J. Johnson,,58,71
323,3,0:33.0,J. Winslow misses 2-pt jump shot from 15 ft,,58,71
324,3,0:31.0,,Defensive rebound by D. Dedmon,58,71
325,3,0:10.0,,Turnover by M. Ginóbili (bad pass; steal by R. McGruder),58,71
326,3,0:08.0,Shooting foul by P. Mills (drawn by T. Johnson),,58,71
327,3,0:08.0,T. Johnson makes free throw 1 of 2,,59,71
328,3,0:08.0,,D. Bertāns enters the game for D. Dedmon,59,71
329,3,0:08.0,D. Williams enters the game for J. Johnson,,59,71
330,3,0:08.0,T. Johnson makes free throw 2 of 2,,60,71
331,3,0:01.0,,D. Bertāns misses 3-pt jump shot from 24 ft,60,71
332,3,0:00.0,Defensive rebound by J. McRoberts,,60,71
333,4,11:44.0,D. Waiters makes 2-pt layup from 1 ft (assist by T. Johnson),,62,71
334,4,11:23.0,,K. Anderson misses 2-pt jump shot from 9 ft (block by D. Waiters),62,71
335,4,11:21.0,,Offensive rebound by K. Anderson,62,71
336,4,11:18.0,,D. Lee makes 2-pt jump shot from 16 ft (assist by K. Anderson),62,73
337,4,11:02.0,Shooting foul by M. Ginóbili (drawn by J. Johnson),,62,73
338,4,11:02.0,J. Johnson makes free throw 1 of 2,,63,73
339,4,11:02.0,,J. Simmons enters the game for K. Anderson,63,73
340,4,11:02.0,J. Johnson makes free throw 2 of 2,,64,73
341,4,10:43.0,,D. Lee misses 2-pt layup from 1 ft (block by J. Johnson),64,73
342,4,10:42.0,Defensive rebound by J. Johnson,,64,73
343,4,10:36.0,D. Waiters makes 2-pt layup from 2 ft (assist by J. McRoberts),,66,73
344,4,10:18.0,,L. Aldridge misses 2-pt jump shot from 13 ft,66,73
345,4,10:15.0,Defensive rebound by D. Waiters,,66,73
346,4,9:59.0,D. Waiters misses 2-pt jump shot from 19 ft,,66,73
347,4,9:58.0,,Defensive rebound by D. Lee,66,73
348,4,9:45.0,,Turnover by T. Parker (bad pass; steal by R. McGruder),66,73
349,4,9:36.0,J. Johnson misses 3-pt jump shot from 24 ft,,66,73
350,4,9:34.0,,Defensive rebound by J. Simmons,66,73
351,4,9:13.0,,T. Parker misses 2-pt jump shot from 9 ft,66,73
352,4,9:13.0,Defensive rebound by J. Johnson,,66,73
353,4,9:00.0,J. McRoberts misses 2-pt layup from 1 ft,,66,73
354,4,8:59.0,,Defensive rebound by D. Lee,66,73
355,4,8:53.0,,Personal foul by J. McRoberts (drawn by T. Parker),66,73
356,4,8:53.0,Official timeout,,66,73
357,4,8:53.0,,K. Leonard enters the game for M. Ginóbili,66,73
358,4,8:53.0,,P. Gasol enters the game for D. Lee,66,73
359,4,8:47.0,,Personal foul by J. McRoberts (drawn by P. Gasol),66,73
360,4,8:35.0,,J. Simmons misses 2-pt jump shot from 18 ft,66,73
361,4,8:34.0,Defensive rebound by T. Johnson,,66,73
362,4,8:20.0,Turnover by D. Waiters (lost ball; steal by J. Simmons),,66,73
363,4,8:08.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by L. Aldridge),66,76
364,4,7:49.0,J. McRoberts misses 2-pt jump shot from 14 ft,,66,76
365,4,7:48.0,,Defensive rebound by K. Leonard,66,76
366,4,7:26.0,,Turnover by L. Aldridge (lost ball; steal by J. McRoberts),66,76
367,4,7:18.0,R. McGruder misses 3-pt jump shot from 24 ft,,66,76
368,4,7:16.0,,Defensive rebound by K. Leonard,66,76
369,4,6:59.0,,K. Leonard makes 2-pt jump shot from 14 ft,66,78
370,4,6:59.0,Miami full timeout,,66,78
371,4,6:59.0,,P. Mills enters the game for T. Parker,66,78
372,4,6:59.0,H. Whiteside enters the game for J. McRoberts,,66,78
373,4,6:59.0,J. Winslow enters the game for R. McGruder,,66,78
374,4,6:41.0,H. Whiteside misses 2-pt hook shot from 8 ft,,66,78
375,4,6:38.0,Offensive rebound by J. Johnson,,66,78
376,4,6:36.0,J. Johnson misses 2-pt layup from 1 ft,,66,78
377,4,6:36.0,,Defensive rebound by P. Gasol,66,78
378,4,6:28.0,,L. Aldridge misses 2-pt layup from 1 ft,66,78
379,4,6:26.0,,Offensive rebound by P. Mills,66,78
380,4,6:24.0,,Shooting foul by J. Johnson (drawn by J. Simmons),66,78
381,4,6:24.0,,J. Simmons makes free throw 1 of 2,66,79
382,4,6:24.0,J. Richardson enters the game for J. Johnson,,66,79
383,4,6:24.0,,J. Simmons makes free throw 2 of 2,66,80
