,QUARTER,TIME_REMAINING,TORONTO_ACTION,MEMPHIS_ACTION,TORONTO_SCORE,MEMPHIS_SCORE
70,1,2:18.0,J. Sullinger misses 2-pt jump shot from 21 ft,,27,28
71,1,2:18.0,Offensive rebound by L. Nogueira,,27,28
72,1,2:18.0,Shooting foul by A. Harrison (drawn by L. Nogueira),,27,28
73,1,2:18.0,L. Nogueira makes 2-pt layup from 1 ft,,29,28
74,1,2:18.0,L. Nogueira misses free throw 1 of 1,,29,28
75,1,2:18.0,T. Ross enters the game for N. Powell,,29,28
76,1,2:18.0,,M. Conley enters the game for Z. Randolph,29,28
77,1,2:18.0,,J. Ennis enters the game for T. Allen,29,28
78,1,2:18.0,K. Lowry enters the game for D. Carroll,,29,28
79,1,2:16.0,,Defensive rebound by V. Carter,29,28
80,1,1:58.0,,M. Gasol makes 2-pt jump shot from 14 ft (assist by A. Harrison),29,30
81,1,1:39.0,J. Sullinger misses 3-pt jump shot from 27 ft,,29,30
82,1,1:38.0,,Defensive rebound by A. Harrison,29,30
83,1,1:31.0,,M. Conley misses 3-pt jump shot from 25 ft,29,30
84,1,1:28.0,Defensive rebound by L. Nogueira,,29,30
85,1,1:26.0,K. Lowry makes 2-pt jump shot from 6 ft,,31,30
86,1,1:26.0,Shooting foul by A. Harrison (drawn by K. Lowry),,31,30
87,1,1:26.0,K. Lowry makes free throw 1 of 1,,32,30
88,1,1:11.0,,M. Gasol misses 3-pt jump shot from 25 ft,32,30
89,1,1:11.0,Defensive rebound by T. Ross,,32,30
90,1,1:00.0,Personal foul by A. Harrison (drawn by C. Joseph),,32,30
91,1,1:00.0,C. Joseph makes free throw 1 of 2,,33,30
92,1,1:00.0,C. Joseph makes free throw 2 of 2,,34,30
93,1,0:51.0,,Shooting foul by C. Joseph (drawn by M. Conley),34,30
94,1,0:51.0,,M. Conley makes free throw 1 of 2,34,31
95,1,0:51.0,,T. Allen enters the game for A. Harrison,34,31
96,1,0:51.0,,M. Conley makes free throw 2 of 2,34,32
97,1,0:32.0,Turnover by L. Nogueira (bad pass; steal by M. Gasol),,34,32
98,1,0:22.0,,T. Allen misses 2-pt layup from 2 ft,34,32
99,1,0:21.0,Defensive rebound by L. Nogueira,,34,32
100,1,0:01.0,J. Sullinger misses 3-pt jump shot from 26 ft,,34,32
101,1,0:00.0,Offensive rebound by Team,,34,32
102,2,11:41.0,Shooting foul by Z. Randolph (drawn by P. Patterson),,34,32
103,2,11:41.0,P. Patterson misses free throw 1 of 2,,34,32
104,2,11:41.0,Offensive rebound by Team,,34,32
105,2,11:41.0,P. Patterson misses free throw 2 of 2,,34,32
106,2,11:39.0,,Defensive rebound by Z. Randolph,34,32
107,2,11:18.0,,D. Davis misses 2-pt layup from 1 ft,34,32
108,2,11:17.0,Defensive rebound by Team,,34,32
109,2,11:00.0,T. Ross makes 3-pt jump shot from 26 ft,,37,32
110,2,10:47.0,,M. Conley makes 2-pt jump shot from 6 ft,37,34
111,2,10:34.0,K. Lowry misses 3-pt jump shot from 25 ft,,37,34
112,2,10:34.0,,Defensive rebound by J. Ennis,37,34
113,2,10:24.0,,Turnover by Z. Randolph (bad pass; steal by K. Lowry),37,34
114,2,10:13.0,T. Ross misses 2-pt jump shot from 6 ft,,37,34
115,2,10:13.0,,Defensive rebound by Z. Randolph,37,34
116,2,9:57.0,,Z. Randolph makes 2-pt hook shot from 5 ft,37,36
117,2,9:48.0,C. Joseph makes 2-pt layup from 2 ft,,39,36
118,2,9:48.0,Shooting foul by D. Davis (drawn by C. Joseph),,39,36
119,2,9:48.0,C. Joseph makes free throw 1 of 1,,40,36
120,2,9:33.0,,V. Carter makes 2-pt layup from 1 ft,40,38
121,2,9:21.0,K. Lowry misses 2-pt layup from 2 ft,,40,38
122,2,9:19.0,,Defensive rebound by D. Davis,40,38
123,2,9:11.0,,M. Conley misses 2-pt layup from 2 ft (block by L. Nogueira),40,38
124,2,9:09.0,Defensive rebound by L. Nogueira,,40,38
125,2,8:53.0,P. Patterson makes 3-pt jump shot from 23 ft (assist by K. Lowry),,43,38
126,2,8:35.0,,M. Conley makes 2-pt jump shot from 12 ft,43,40
127,2,8:19.0,T. Ross misses 3-pt jump shot from 26 ft,,43,40
128,2,8:19.0,,Defensive rebound by Team,43,40
129,2,8:19.0,,Memphis full timeout,43,40
130,2,8:13.0,,Offensive foul by J. Ennis (drawn by K. Lowry),43,40
131,2,8:13.0,,Turnover by J. Ennis (offensive foul),43,40
132,2,7:58.0,K. Lowry misses 2-pt jump shot from 10 ft (block by D. Davis),,43,40
133,2,7:54.0,Offensive rebound by L. Nogueira,,43,40
134,2,7:54.0,L. Nogueira makes 2-pt dunk at rim,,45,40
135,2,7:39.0,,V. Carter misses 3-pt jump shot from 25 ft,45,40
136,2,7:39.0,Defensive rebound by C. Joseph,,45,40
137,2,7:32.0,C. Joseph makes 2-pt layup from 1 ft,,47,40
138,2,7:15.0,,Turnover by M. Conley (bad pass; steal by L. Nogueira),47,40
139,2,7:05.0,C. Joseph misses 3-pt jump shot from 26 ft,,47,40
140,2,7:05.0,Offensive rebound by K. Lowry,,47,40
141,2,6:46.0,P. Patterson misses 3-pt jump shot from 24 ft,,47,40
142,2,6:45.0,,Defensive rebound by D. Davis,47,40
143,2,6:30.0,,Shooting foul by C. Joseph (drawn by V. Carter),47,40
144,2,6:30.0,,V. Carter makes free throw 1 of 2,47,41
145,2,6:30.0,J. Valančiūnas enters the game for L. Nogueira,,47,41
146,2,6:30.0,N. Powell enters the game for K. Lowry,,47,41
147,2,6:30.0,,T. Allen enters the game for J. Ennis,47,41
148,2,6:30.0,,A. Harrison enters the game for M. Conley,47,41
149,2,6:30.0,,M. Gasol enters the game for D. Davis,47,41
150,2,6:30.0,,V. Carter makes free throw 2 of 2,47,42
151,2,6:11.0,N. Powell makes 2-pt jump shot from 23 ft,,49,42
152,2,5:53.0,,Shooting foul by N. Powell (drawn by V. Carter),49,42
153,2,5:53.0,,Memphis full timeout,49,42
154,2,5:53.0,,V. Carter makes free throw 1 of 2,49,43
155,2,5:53.0,J. Sullinger enters the game for P. Patterson,,49,42
156,2,5:53.0,,V. Carter misses free throw 2 of 2,49,43
157,2,5:52.0,Defensive rebound by J. Sullinger,,49,43
158,2,5:34.0,N. Powell misses 3-pt jump shot from 25 ft,,49,43
159,2,5:34.0,,Defensive rebound by M. Gasol,49,43
160,2,5:13.0,,T. Allen makes 3-pt jump shot from 26 ft (assist by A. Harrison),49,46
161,2,4:59.0,J. Sullinger misses 2-pt jump shot from 21 ft,,49,46
162,2,4:58.0,,Defensive rebound by T. Allen,49,46
163,2,4:50.0,,T. Allen misses 2-pt layup from 1 ft,49,46
164,2,4:49.0,Defensive rebound by C. Joseph,,49,46
165,2,4:39.0,,D. Davis enters the game for Z. Randolph,49,46
166,2,4:37.0,N. Powell misses 2-pt layup from 1 ft,,49,46
167,2,4:35.0,,Defensive rebound by T. Allen,49,46
168,2,4:27.0,,Shooting foul by J. Sullinger (drawn by D. Davis),49,46
169,2,4:27.0,,D. Davis makes free throw 1 of 2,49,47
170,2,4:27.0,D. Carroll enters the game for T. Ross,,49,47
171,2,4:27.0,,D. Davis makes free throw 2 of 2,49,48
172,2,4:10.0,C. Joseph misses 2-pt layup from 3 ft,,49,48
173,2,4:08.0,,Defensive rebound by D. Davis,49,48
174,2,4:01.0,,V. Carter misses 2-pt jump shot from 4 ft,49,48
175,2,3:58.0,,Offensive rebound by D. Davis,49,48
176,2,3:58.0,,D. Davis misses 2-pt layup from 1 ft,49,48
177,2,3:58.0,Defensive rebound by N. Powell,,49,48
178,2,3:48.0,N. Powell misses 2-pt layup from 1 ft,,49,48
179,2,3:46.0,Offensive rebound by N. Powell,,49,48
180,2,3:38.0,C. Joseph makes 2-pt jump shot from 21 ft,,51,48
181,2,3:13.0,,M. Gasol misses 2-pt jump shot from 15 ft,51,48
182,2,3:13.0,,Offensive rebound by Team,51,48
183,2,3:13.0,Loose ball foul by D. Carroll (drawn by V. Carter),,51,48
184,2,3:13.0,K. Lowry enters the game for C. Joseph,,51,48
185,2,3:13.0,,M. Conley enters the game for V. Carter,51,48
186,2,3:13.0,,Z. Randolph enters the game for D. Davis,51,48
187,2,3:06.0,,Personal foul by J. Valančiūnas (drawn by Z. Randolph),51,48
188,2,3:06.0,,Z. Randolph makes free throw 1 of 2,51,49
189,2,3:06.0,,Z. Randolph misses free throw 2 of 2,51,49
190,2,3:05.0,Defensive rebound by J. Valančiūnas,,51,49
191,2,2:53.0,Shooting foul by M. Gasol (drawn by N. Powell),,51,49
192,2,2:53.0,Toronto full timeout,,51,49
193,2,2:53.0,N. Powell misses free throw 1 of 2,,51,49
194,2,2:53.0,Offensive rebound by Team,,51,49
195,2,2:53.0,N. Powell misses free throw 2 of 2,,51,49
196,2,2:52.0,,Defensive rebound by M. Gasol,51,49
197,2,2:38.0,,Personal foul by J. Sullinger (drawn by M. Gasol),51,49
198,2,2:38.0,,M. Gasol makes free throw 1 of 2,51,50
199,2,2:38.0,,V. Carter enters the game for A. Harrison,51,50
200,2,2:38.0,,M. Gasol makes free throw 2 of 2,51,51
201,2,2:25.0,Turnover by J. Valančiūnas (lost ball),,51,51
202,2,2:10.0,,M. Gasol makes 2-pt jump shot from 7 ft,51,53
203,2,1:49.0,J. Sullinger misses 2-pt jump shot from 11 ft,,51,53
204,2,1:48.0,Offensive rebound by N. Powell,,51,53
205,2,1:46.0,N. Powell misses 2-pt layup from 1 ft,,51,53
206,2,1:45.0,Offensive rebound by J. Valančiūnas,,51,53
207,2,1:45.0,Shooting foul by V. Carter (drawn by J. Valančiūnas),,51,53
208,2,1:45.0,J. Valančiūnas makes free throw 1 of 2,,52,53
209,2,1:45.0,L. Nogueira enters the game for J. Sullinger,,52,53
210,2,1:45.0,,J. Ennis enters the game for T. Allen,52,53
211,2,1:45.0,J. Valančiūnas makes free throw 2 of 2,,53,53
212,2,1:26.0,,M. Conley misses 2-pt jump shot from 10 ft,53,53
213,2,1:24.0,Defensive rebound by J. Valančiūnas,,53,53
214,2,1:14.0,D. Carroll misses 3-pt jump shot from 25 ft,,53,53
215,2,1:14.0,,Defensive rebound by M. Gasol,53,53
216,2,1:01.0,,J. Ennis makes 3-pt jump shot from 25 ft (assist by V. Carter),53,56
217,2,0:51.0,K. Lowry misses 3-pt jump shot from 26 ft,,53,56
218,2,0:50.0,Offensive rebound by K. Lowry,,53,56
219,2,0:48.0,D. Carroll makes 2-pt layup from 2 ft,,55,56
220,2,0:30.0,,M. Gasol misses 3-pt jump shot from 23 ft,55,56
221,2,0:30.0,Defensive rebound by J. Valančiūnas,,55,56
222,2,0:18.0,N. Powell misses 3-pt jump shot from 25 ft,,55,56
223,2,0:17.0,Offensive rebound by L. Nogueira,,55,56
224,2,0:07.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,57,56
225,2,0:01.0,,Turnover by J. Ennis (lost ball; steal by D. Carroll),57,56
226,3,12:00.0,,Technical foul by V. Carter,57,56
227,3,12:00.0,K. Lowry makes technical free throw,,58,56
228,3,11:50.0,Offensive foul by J. Valančiūnas (drawn by M. Conley),,58,56
229,3,11:50.0,Turnover by J. Valančiūnas (offensive foul),,58,56
230,3,11:37.0,,M. Gasol makes 2-pt jump shot from 21 ft (assist by M. Conley),58,58
231,3,11:15.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,61,58
232,3,10:53.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),61,61
233,3,10:25.0,K. Lowry makes 2-pt layup at rim,,63,61
234,3,10:01.0,,M. Gasol makes 2-pt jump shot from 6 ft,63,63
235,3,9:41.0,N. Powell misses 2-pt layup from 2 ft,,63,63
236,3,9:40.0,,Defensive rebound by M. Gasol,63,63
237,3,9:40.0,,Personal foul by N. Powell (drawn by M. Gasol),63,63
238,3,9:24.0,,Z. Randolph misses 2-pt jump shot from 13 ft,63,63
239,3,9:21.0,,Offensive rebound by J. Ennis,63,63
240,3,9:21.0,,J. Ennis misses 2-pt layup from 1 ft,63,63
241,3,9:19.0,Defensive rebound by D. Carroll,,63,63
242,3,9:12.0,K. Lowry misses 3-pt jump shot from 27 ft,,63,63
243,3,9:12.0,Offensive rebound by J. Sullinger,,63,63
244,3,9:02.0,D. Carroll misses 2-pt layup from 2 ft (block by M. Gasol),,63,63
245,3,9:01.0,,Defensive rebound by M. Gasol,63,63
246,3,8:51.0,,Z. Randolph makes 3-pt jump shot from 26 ft (assist by J. Ennis),63,66
247,3,8:27.0,D. Carroll makes 2-pt jump shot from 22 ft,,65,66
248,3,8:00.0,,M. Conley misses 2-pt jump shot from 10 ft,65,66
249,3,7:58.0,Defensive rebound by D. Carroll,,65,66
250,3,7:51.0,N. Powell makes 3-pt jump shot from 25 ft (assist by K. Lowry),,68,66
251,3,7:50.0,,Memphis full timeout,68,66
252,3,7:33.0,,M. Conley misses 2-pt jump shot from 16 ft,68,66
253,3,7:32.0,Defensive rebound by D. Carroll,,68,66
254,3,7:23.0,K. Lowry misses 3-pt jump shot from 25 ft,,68,66
255,3,7:22.0,,Defensive rebound by J. Ennis,68,66
256,3,7:12.0,,M. Conley misses 3-pt jump shot from 23 ft,68,66
257,3,7:09.0,Defensive rebound by D. Carroll,,68,66
258,3,6:56.0,D. Carroll misses 3-pt jump shot from 23 ft,,68,66
259,3,6:56.0,,Defensive rebound by M. Gasol,68,66
260,3,6:47.0,,M. Conley misses 2-pt jump shot from 8 ft,68,66
261,3,6:44.0,Defensive rebound by D. Carroll,,68,66
262,3,6:33.0,N. Powell misses 2-pt layup at rim,,68,66
263,3,6:31.0,,Defensive rebound by Z. Randolph,68,66
264,3,6:15.0,,M. Gasol misses 2-pt jump shot from 14 ft,68,66
265,3,6:15.0,Defensive rebound by K. Lowry,,68,66
266,3,6:08.0,D. Carroll misses 2-pt layup from 1 ft,,68,66
267,3,6:06.0,,Defensive rebound by M. Conley,68,66
268,3,6:06.0,,Personal take foul by K. Lowry (drawn by M. Conley),68,66
269,3,6:06.0,L. Nogueira enters the game for J. Valančiūnas,,68,66
270,3,6:06.0,P. Patterson enters the game for J. Sullinger,,68,66
271,3,6:06.0,,A. Harrison enters the game for J. Ennis,68,66
272,3,6:06.0,,V. Carter enters the game for M. Conley,68,66
273,3,5:53.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by V. Carter),68,68
274,3,5:31.0,P. Patterson misses 3-pt jump shot from 25 ft,,68,68
275,3,5:30.0,,Defensive rebound by T. Allen,68,68
276,3,5:23.0,,T. Allen makes 2-pt layup from 2 ft,68,70
277,3,5:10.0,N. Powell makes 2-pt layup from 2 ft (assist by K. Lowry),,70,70
278,3,4:44.0,,T. Allen misses 3-pt jump shot from 23 ft,70,70
279,3,4:44.0,Defensive rebound by P. Patterson,,70,70
280,3,4:32.0,P. Patterson misses 3-pt jump shot from 23 ft,,70,70
281,3,4:31.0,,Defensive rebound by Z. Randolph,70,70
282,3,4:23.0,,Personal foul by L. Nogueira (drawn by M. Gasol),70,70
283,3,4:23.0,C. Joseph enters the game for K. Lowry,,70,70
284,3,4:23.0,T. Ross enters the game for D. Carroll,,70,70
285,3,4:23.0,,J. Ennis enters the game for Z. Randolph,70,70
286,3,4:15.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by V. Carter),70,73
287,3,3:55.0,C. Joseph misses 2-pt jump shot from 12 ft,,70,73
288,3,3:53.0,Offensive rebound by L. Nogueira,,70,73
289,3,3:50.0,P. Patterson misses 3-pt jump shot from 24 ft,,70,73
290,3,3:49.0,,Defensive rebound by J. Ennis,70,73
291,3,3:41.0,,Shooting foul by N. Powell (drawn by M. Gasol),70,73
292,3,3:41.0,,M. Gasol makes 2-pt layup from 1 ft,70,75
293,3,3:41.0,,M. Gasol makes free throw 1 of 1,70,76
294,3,3:39.0,Toronto full timeout,,70,76
295,3,3:39.0,F. VanVleet enters the game for P. Patterson,,70,76
296,3,3:30.0,,Violation by V. Carter (kicked ball),70,76
297,3,3:30.0,Inbound foul by J. Ennis,,70,76
298,3,3:30.0,C. Joseph makes free throw 1 of 1,,71,76
299,3,3:18.0,Shooting foul by V. Carter (drawn by C. Joseph),,71,76
300,3,3:18.0,C. Joseph misses free throw 1 of 2,,71,76
301,3,3:18.0,Offensive rebound by Team,,71,76
302,3,3:18.0,C. Joseph makes free throw 2 of 2,,72,76
303,3,3:02.0,,M. Gasol misses 3-pt jump shot from 25 ft,72,76
304,3,3:02.0,,Offensive rebound by J. Ennis,72,76
305,3,2:52.0,,T. Allen makes 2-pt layup from 2 ft,72,78
306,3,2:52.0,,Shooting foul by L. Nogueira (drawn by T. Allen),72,78
307,3,2:52.0,,T. Allen misses free throw 1 of 1,72,78
308,3,2:51.0,Defensive rebound by L. Nogueira,,72,78
309,3,2:36.0,T. Ross misses 3-pt jump shot from 26 ft,,72,78
310,3,2:35.0,Offensive rebound by N. Powell,,72,78
311,3,2:27.0,T. Ross makes 3-pt jump shot from 25 ft (assist by C. Joseph),,75,78
312,3,2:08.0,,T. Allen misses 2-pt layup from 1 ft,75,78
313,3,2:06.0,,Offensive rebound by T. Allen,75,78
314,3,2:06.0,,T. Allen misses 2-pt layup from 2 ft,75,78
315,3,2:05.0,,Offensive rebound by T. Allen,75,78
316,3,2:04.0,,T. Allen makes 2-pt layup from 1 ft,75,80
317,3,1:47.0,C. Joseph makes 2-pt jump shot from 20 ft,,77,80
318,3,1:30.0,,J. Ennis misses 2-pt jump shot from 5 ft (block by F. VanVleet),77,80
319,3,1:28.0,Defensive rebound by F. VanVleet,,77,80
320,3,1:27.0,F. VanVleet misses 2-pt layup from 3 ft (block by T. Allen),,77,80
321,3,1:27.0,Offensive rebound by Team,,77,80
322,3,1:27.0,K. Lowry enters the game for N. Powell,,77,80
323,3,1:23.0,,M. Conley enters the game for T. Allen,77,80
324,3,1:14.0,Turnover by L. Nogueira (lost ball; steal by M. Conley),,77,80
325,3,1:04.0,,V. Carter makes 2-pt layup from 1 ft,77,82
326,3,0:49.0,T. Ross misses 3-pt jump shot from 25 ft,,77,82
327,3,0:49.0,,Defensive rebound by A. Harrison,77,82
328,3,0:43.0,,Personal foul by F. VanVleet (drawn by A. Harrison),77,82
329,3,0:43.0,,A. Harrison makes free throw 1 of 2,77,83
330,3,0:43.0,,A. Harrison makes free throw 2 of 2,77,84
331,3,0:34.0,C. Joseph misses 2-pt jump shot from 15 ft,,77,84
332,3,0:34.0,,Defensive rebound by V. Carter,77,84
333,3,0:12.0,,J. Ennis makes 3-pt jump shot from 23 ft (assist by M. Gasol),77,87
334,3,0:01.0,K. Lowry misses 2-pt layup from 2 ft (block by A. Harrison),,77,87
335,3,0:00.0,,Defensive rebound by J. Ennis,77,87
336,4,11:35.0,,M. Conley misses 2-pt jump shot from 22 ft,77,87
337,4,11:34.0,Defensive rebound by Team,,77,87
338,4,11:09.0,C. Joseph misses 2-pt layup from 2 ft,,77,87
339,4,11:08.0,,Defensive rebound by Z. Randolph,77,87
340,4,10:49.0,,M. Conley makes 2-pt jump shot from 6 ft,77,89
341,4,10:33.0,Personal foul by J. Ennis (drawn by L. Nogueira),,77,89
342,4,10:23.0,L. Nogueira makes 2-pt dunk at rim (assist by T. Ross),,79,89
343,4,10:08.0,,Z. Randolph misses 3-pt jump shot from 26 ft,79,89
344,4,10:07.0,Defensive rebound by P. Patterson,,79,89
345,4,9:55.0,K. Lowry makes 2-pt jump shot from 5 ft,,81,89
346,4,9:28.0,,A. Harrison misses 2-pt jump shot from 22 ft (block by K. Lowry),81,89
347,4,9:28.0,,Offensive rebound by A. Harrison,81,89
348,4,9:28.0,,Turnover by Team (shot clock),81,89
349,4,9:11.0,T. Ross misses 2-pt jump shot from 21 ft,,81,89
350,4,9:10.0,,Defensive rebound by Team,81,89
351,4,9:02.0,,Turnover by A. Harrison (offensive foul),81,89
352,4,9:02.0,,Offensive foul by A. Harrison (drawn by T. Ross),81,89
353,4,9:02.0,,T. Allen enters the game for A. Harrison,81,89
354,4,8:49.0,C. Joseph makes 2-pt layup from 2 ft (assist by K. Lowry),,83,89
355,4,8:49.0,,Memphis full timeout,83,89
356,4,8:37.0,,T. Allen makes 2-pt layup from 1 ft (assist by Z. Randolph),83,91
357,4,8:21.0,K. Lowry makes 2-pt jump shot from 12 ft,,85,91
358,4,7:58.0,,J. Ennis misses 2-pt jump shot from 4 ft,85,91
359,4,7:55.0,Defensive rebound by P. Patterson,,85,91
360,4,7:53.0,Personal foul by V. Carter (drawn by P. Patterson),,85,91
361,4,7:53.0,,M. Gasol enters the game for V. Carter,85,91
362,4,7:45.0,K. Lowry misses 3-pt jump shot from 26 ft,,85,91
363,4,7:44.0,,Defensive rebound by T. Allen,85,91
364,4,7:29.0,,M. Gasol makes 2-pt jump shot from 14 ft (assist by M. Conley),85,93
365,4,7:18.0,L. Nogueira makes 2-pt layup from 1 ft (assist by K. Lowry),,87,93
366,4,7:18.0,Shooting foul by M. Conley (drawn by L. Nogueira),,87,93
367,4,7:18.0,L. Nogueira misses free throw 1 of 1,,87,93
368,4,7:17.0,,Defensive rebound by T. Allen,87,93
369,4,7:00.0,,Z. Randolph makes 2-pt hook shot from 5 ft,87,95
370,4,6:41.0,T. Ross misses 3-pt jump shot from 27 ft,,87,95
371,4,6:38.0,,Defensive rebound by T. Allen,87,95
372,4,6:24.0,,T. Allen misses 2-pt layup from 2 ft,87,95
373,4,6:24.0,,Offensive rebound by T. Allen,87,95
374,4,6:24.0,,T. Allen makes 2-pt layup from 2 ft,87,97
375,4,6:20.0,Toronto full timeout,,87,97
376,4,6:20.0,J. Valančiūnas enters the game for L. Nogueira,,87,97
377,4,6:20.0,N. Powell enters the game for T. Ross,,87,97
378,4,5:58.0,C. Joseph misses 2-pt jump shot from 22 ft,,87,97
379,4,5:58.0,Offensive rebound by Team,,87,97
380,4,5:58.0,Turnover by Team (shot clock),,87,97
381,4,5:38.0,,M. Gasol misses 2-pt jump shot from 4 ft (block by J. Valančiūnas),87,97
382,4,5:35.0,Defensive rebound by J. Valančiūnas,,87,97
383,4,5:19.0,Turnover by J. Valančiūnas (bad pass; steal by J. Ennis),,87,97
384,4,4:58.0,,M. Gasol misses 3-pt jump shot from 27 ft,87,97
385,4,4:57.0,,Offensive rebound by Team,87,97
386,4,4:55.0,,Turnover by T. Allen (bad pass; steal by N. Powell),87,97
387,4,4:55.0,Turnover by N. Powell (bad pass),,87,97
