,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHARLOTTE_ACTION,MEMPHIS_SCORE,CHARLOTTE_SCORE
42,1,6:07.0,,K. Walker makes 2-pt layup from 1 ft,16,6
43,1,5:56.0,V. Carter makes 2-pt layup from 2 ft (assist by M. Gasol),,18,6
44,1,5:35.0,,K. Walker makes 2-pt jump shot from 19 ft,18,8
45,1,5:12.0,M. Gasol makes 2-pt jump shot from 7 ft,,20,8
46,1,5:04.0,,Shooting foul by A. Harrison (drawn by K. Walker),20,8
47,1,5:04.0,,K. Walker makes free throw 1 of 2,20,9
48,1,5:04.0,,K. Walker misses free throw 2 of 2,20,9
49,1,5:04.0,,S. Hawes enters the game for M. Kidd-Gilchrist,20,9
50,1,5:04.0,,F. Kaminsky enters the game for M. Williams,20,9
51,1,5:04.0,,M. Belinelli enters the game for R. Hibbert,20,9
52,1,5:02.0,Defensive rebound by J. Green,,20,9
53,1,4:50.0,A. Harrison misses 3-pt jump shot from 23 ft,,20,9
54,1,4:48.0,,Defensive rebound by S. Hawes,20,9
55,1,4:38.0,,F. Kaminsky makes 2-pt layup at rim (assist by K. Walker),20,11
56,1,4:31.0,Memphis full timeout,,20,11
57,1,4:15.0,J. Green makes 2-pt jump shot from 19 ft (assist by J. Ennis),,22,11
58,1,4:04.0,,Shooting foul by J. Ennis (drawn by N. Batum),22,11
59,1,4:04.0,,N. Batum makes free throw 1 of 3,22,12
60,1,4:04.0,,N. Batum makes free throw 2 of 3,22,13
61,1,4:04.0,Z. Randolph enters the game for M. Gasol,,22,13
62,1,4:04.0,,N. Batum makes free throw 3 of 3,22,14
63,1,3:46.0,Turnover by J. Green (lost ball; steal by F. Kaminsky),,22,14
64,1,3:32.0,,N. Batum misses 3-pt jump shot from 25 ft,22,14
65,1,3:31.0,Defensive rebound by A. Harrison,,22,14
66,1,3:20.0,Def 3 sec tech foul by M. Belinelli,,22,14
67,1,3:20.0,V. Carter makes technical free throw,,23,14
68,1,3:14.0,J. Green makes 2-pt layup from 1 ft (assist by A. Harrison),,25,14
69,1,3:14.0,Shooting foul by F. Kaminsky (drawn by J. Green),,25,14
70,1,3:14.0,,Violation by N. Batum (lane),25,14
71,1,3:14.0,M. Conley enters the game for J. Ennis,,25,14
72,1,3:14.0,J. Green makes free throw 1 of 1,,26,14
73,1,2:57.0,,F. Kaminsky makes 2-pt layup from 1 ft (assist by N. Batum),26,16
74,1,2:41.0,M. Conley misses 2-pt jump shot from 6 ft (block by S. Hawes),,26,16
75,1,2:41.0,,Defensive rebound by Team,26,16
76,1,2:40.0,J. Martin enters the game for J. Green,,26,16
77,1,2:28.0,,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by N. Batum),26,19
78,1,2:16.0,Shooting foul by F. Kaminsky (drawn by J. Martin),,26,19
79,1,2:16.0,J. Martin makes free throw 1 of 2,,27,19
80,1,2:16.0,J. Martin misses free throw 2 of 2,,27,19
81,1,2:16.0,,M. Williams enters the game for F. Kaminsky,27,19
82,1,2:16.0,,R. Sessions enters the game for K. Walker,27,19
83,1,2:12.0,,Defensive rebound by S. Hawes,27,19
84,1,2:01.0,,Turnover by N. Batum (bad pass; steal by M. Conley),27,19
85,1,1:55.0,M. Conley makes 2-pt layup at rim,,29,19
86,1,1:37.0,,M. Williams misses 2-pt layup from 1 ft,29,19
87,1,1:35.0,Defensive rebound by Z. Randolph,,29,19
88,1,1:19.0,M. Conley makes 3-pt jump shot from 23 ft (assist by V. Carter),,32,19
89,1,1:00.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by M. Williams),32,22
90,1,0:44.0,Z. Randolph misses 2-pt jump shot from 16 ft,,32,22
91,1,0:43.0,,Defensive rebound by M. Belinelli,32,22
92,1,0:35.0,,Shooting foul by J. Martin (drawn by R. Sessions),32,22
93,1,0:35.0,,R. Sessions misses free throw 1 of 2,32,22
94,1,0:35.0,,Offensive rebound by Team,32,22
95,1,0:35.0,,R. Sessions misses free throw 2 of 2,32,22
96,1,0:34.0,Defensive rebound by Z. Randolph,,32,22
97,1,0:10.0,A. Harrison misses 2-pt jump shot from 21 ft,,32,22
98,1,0:08.0,,Defensive rebound by N. Batum,32,22
99,1,0:00.0,,S. Hawes misses 3-pt jump shot from 24 ft,32,22
100,1,0:00.0,,Offensive rebound by Team,32,22
101,2,11:49.0,,Shooting foul by Z. Randolph (drawn by M. Kidd-Gilchrist),32,22
102,2,11:49.0,,M. Kidd-Gilchrist misses free throw 1 of 2,32,22
103,2,11:49.0,,Offensive rebound by Team,32,22
104,2,11:49.0,,M. Kidd-Gilchrist makes free throw 2 of 2,32,23
105,2,11:37.0,Z. Randolph makes 2-pt layup from 1 ft (assist by V. Carter),,34,23
106,2,11:16.0,,S. Hawes misses 2-pt jump shot from 6 ft,34,23
107,2,11:14.0,,Offensive rebound by M. Kidd-Gilchrist,34,23
108,2,11:14.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,34,25
109,2,10:59.0,A. Harrison makes 3-pt jump shot from 24 ft (assist by M. Conley),,37,25
110,2,10:43.0,,S. Hawes misses 2-pt layup from 2 ft,37,25
111,2,10:42.0,Defensive rebound by M. Conley,,37,25
112,2,10:34.0,Z. Randolph misses 2-pt hook shot from 6 ft,,37,25
113,2,10:33.0,,Defensive rebound by M. Kidd-Gilchrist,37,25
114,2,10:27.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),37,28
115,2,10:27.0,,Shooting foul by A. Harrison (drawn by M. Belinelli),37,28
116,2,10:27.0,J. Ennis enters the game for A. Harrison,,37,28
117,2,10:27.0,,M. Belinelli makes free throw 1 of 1,37,29
118,2,10:17.0,M. Conley makes 2-pt jump shot from 19 ft,,39,29
119,2,10:07.0,,Charlotte full timeout,39,29
120,2,10:00.0,,Shooting foul by J. Martin (drawn by M. Belinelli),39,29
121,2,10:00.0,,M. Belinelli makes free throw 1 of 2,39,30
122,2,10:00.0,,M. Belinelli makes free throw 2 of 2,39,31
123,2,9:46.0,V. Carter makes 3-pt jump shot from 26 ft (assist by Z. Randolph),,42,31
124,2,9:19.0,,R. Sessions misses 2-pt jump shot from 17 ft,42,31
125,2,9:18.0,Defensive rebound by Z. Randolph,,42,31
126,2,9:08.0,Z. Randolph misses 2-pt jump shot from 19 ft,,42,31
127,2,9:07.0,,Defensive rebound by S. Hawes,42,31
128,2,8:58.0,,M. Belinelli misses 2-pt jump shot from 19 ft,42,31
129,2,8:57.0,Defensive rebound by V. Carter,,42,31
130,2,8:44.0,V. Carter misses 3-pt jump shot from 23 ft,,42,31
131,2,8:43.0,,Defensive rebound by S. Hawes,42,31
132,2,8:24.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,42,31
133,2,8:23.0,Defensive rebound by Z. Randolph,,42,31
134,2,8:13.0,Z. Randolph misses 2-pt jump shot from 6 ft,,42,31
135,2,8:13.0,Offensive rebound by Team,,42,31
136,2,8:07.0,M. Conley misses 3-pt jump shot from 23 ft (block by R. Sessions),,42,31
137,2,8:06.0,,Defensive rebound by R. Sessions,42,31
138,2,8:01.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by R. Sessions),42,33
139,2,7:55.0,Memphis full timeout,,42,33
140,2,7:55.0,A. Harrison enters the game for M. Conley,,42,33
141,2,7:55.0,M. Gasol enters the game for Z. Randolph,,42,33
142,2,7:55.0,J. Green enters the game for J. Martin,,42,33
143,2,7:36.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by V. Carter),,44,33
144,2,7:19.0,,Personal foul by A. Harrison (drawn by R. Sessions),44,33
145,2,7:19.0,,F. Kaminsky enters the game for M. Williams,44,33
146,2,7:19.0,,K. Walker enters the game for R. Sessions,44,33
147,2,7:19.0,T. Allen enters the game for A. Harrison,,44,33
148,2,7:12.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by M. Belinelli),44,35
149,2,6:57.0,Turnover by V. Carter (bad pass; steal by M. Belinelli),,44,35
150,2,6:53.0,,Shooting foul by V. Carter (drawn by M. Kidd-Gilchrist),44,35
151,2,6:53.0,,M. Kidd-Gilchrist makes free throw 1 of 2,44,36
152,2,6:53.0,,Turnover by M. Kidd-Gilchrist (lane violation.),44,36
153,2,6:38.0,J. Ennis makes 2-pt layup from 2 ft (assist by M. Gasol),,46,36
154,2,6:18.0,,M. Belinelli misses 3-pt jump shot from 25 ft,46,36
155,2,6:16.0,,Offensive rebound by M. Kidd-Gilchrist,46,36
156,2,6:07.0,,F. Kaminsky makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),46,39
157,2,6:04.0,Memphis full timeout,,46,39
158,2,6:04.0,M. Conley enters the game for J. Ennis,,46,39
159,2,6:04.0,,N. Batum enters the game for M. Kidd-Gilchrist,46,39
