,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MIAMI_ACTION,SACRAMENTO_SCORE,MIAMI_SCORE
28,1,8:11.0,,D. Waiters makes 2-pt layup from 1 ft,10,8
29,1,8:11.0,,Shooting foul by A. Afflalo (drawn by D. Waiters),10,8
30,1,8:11.0,,D. Waiters makes free throw 1 of 1,10,9
31,1,7:59.0,D. Cousins misses 2-pt jump shot from 6 ft (block by H. Whiteside),,10,9
32,1,7:58.0,,Defensive rebound by D. Waiters,10,9
33,1,7:53.0,,D. Waiters makes 2-pt layup from 2 ft (assist by J. Winslow),10,11
34,1,7:27.0,A. Afflalo misses 3-pt jump shot from 24 ft,,10,11
35,1,7:26.0,,Defensive rebound by G. Dragić,10,11
36,1,7:13.0,,J. Winslow misses 2-pt jump shot from 19 ft,10,11
37,1,7:12.0,Defensive rebound by R. Gay,,10,11
38,1,7:02.0,R. Gay makes 2-pt layup from 3 ft,,12,11
39,1,6:46.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by G. Dragić),12,13
40,1,6:43.0,Personal foul by L. Babbitt (drawn by R. Gay),,12,13
41,1,6:43.0,G. Temple enters the game for T. Lawson,,12,13
42,1,6:28.0,R. Gay makes 2-pt layup from 1 ft,,14,13
43,1,6:10.0,,L. Babbitt makes 3-pt jump shot from 25 ft (assist by G. Dragić),14,16
44,1,6:02.0,Sacramento full timeout,,14,16
45,1,5:55.0,Shooting foul by H. Whiteside (drawn by D. Cousins),,14,16
46,1,5:55.0,D. Cousins misses free throw 1 of 2,,14,16
47,1,5:55.0,Offensive rebound by Team,,14,16
48,1,5:55.0,D. Cousins makes free throw 2 of 2,,15,16
49,1,5:43.0,,L. Babbitt misses 3-pt jump shot from 26 ft,15,16
50,1,5:42.0,Defensive rebound by R. Gay,,15,16
51,1,5:28.0,D. Cousins makes 2-pt jump shot from 20 ft (assist by M. Barnes),,17,16
52,1,5:13.0,,G. Dragić misses 3-pt jump shot from 24 ft,17,16
53,1,5:12.0,Defensive rebound by D. Cousins,,17,16
54,1,5:02.0,D. Cousins misses 2-pt jump shot from 12 ft,,17,16
55,1,5:01.0,,Defensive rebound by G. Dragić,17,16
56,1,4:57.0,,D. Waiters makes 2-pt layup from 1 ft (assist by G. Dragić),17,18
57,1,4:37.0,D. Cousins makes 2-pt hook shot from 5 ft,,19,18
58,1,4:22.0,,G. Dragić makes 3-pt jump shot from 26 ft (assist by D. Waiters),19,21
59,1,3:59.0,D. Cousins makes 2-pt jump shot from 12 ft,,21,21
60,1,3:54.0,,Miami full timeout,21,21
61,1,3:54.0,Technical foul by D. Cousins,,21,21
62,1,3:54.0,,G. Dragić misses technical free throw,21,21
63,1,3:54.0,,Offensive rebound by Team,21,21
64,1,3:54.0,B. McLemore enters the game for R. Gay,,21,21
65,1,3:54.0,A. Tolliver enters the game for A. Afflalo,,21,21
66,1,3:54.0,,T. Johnson enters the game for L. Babbitt,21,21
67,1,3:41.0,,H. Whiteside makes 2-pt layup from 2 ft,21,23
68,1,3:26.0,D. Cousins misses 2-pt layup from 3 ft (block by G. Dragić),,21,23
69,1,3:25.0,,Defensive rebound by H. Whiteside,21,23
70,1,3:17.0,,T. Johnson makes 2-pt jump shot from 20 ft (assist by D. Waiters),21,25
71,1,3:04.0,M. Barnes misses 2-pt hook shot from 9 ft,,21,25
72,1,3:03.0,,Defensive rebound by Team,21,25
73,1,3:03.0,,J. Johnson enters the game for J. Winslow,21,25
74,1,3:03.0,K. Koufos enters the game for D. Cousins,,21,25
75,1,2:41.0,,H. Whiteside misses 2-pt hook shot from 12 ft,21,25
76,1,2:40.0,Defensive rebound by M. Barnes,,21,25
77,1,2:32.0,Turnover by A. Tolliver (bad pass; steal by H. Whiteside),,21,25
78,1,2:24.0,,Personal foul by M. Barnes (drawn by G. Dragić),21,25
79,1,2:24.0,T. Lawson enters the game for M. Barnes,,21,25
80,1,2:24.0,,W. Reed enters the game for H. Whiteside,21,25
81,1,2:14.0,,G. Dragić makes 2-pt jump shot from 17 ft,21,27
82,1,2:02.0,Turnover by K. Koufos (bad pass; steal by T. Johnson),,21,27
83,1,1:56.0,,G. Dragić misses 2-pt layup from 3 ft,21,27
84,1,1:55.0,Defensive rebound by G. Temple,,21,27
85,1,1:36.0,G. Temple misses 3-pt jump shot from 23 ft,,21,27
86,1,1:35.0,,Defensive rebound by W. Reed,21,27
87,1,1:25.0,,D. Waiters misses 3-pt jump shot from 24 ft,21,27
88,1,1:24.0,Defensive rebound by K. Koufos,,21,27
89,1,1:14.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by T. Lawson),,24,27
90,1,0:58.0,,R. McGruder enters the game for G. Dragić,24,27
91,1,0:51.0,,J. Johnson misses 3-pt jump shot from 24 ft,24,27
92,1,0:50.0,Defensive rebound by G. Temple,,24,27
93,1,0:42.0,T. Lawson misses 2-pt layup from 2 ft (block by T. Johnson),,24,27
94,1,0:41.0,,Defensive rebound by J. Johnson,24,27
95,1,0:38.0,,Shooting foul by G. Temple (drawn by D. Waiters),24,27
96,1,0:38.0,,D. Waiters misses free throw 1 of 2,24,27
97,1,0:38.0,,Offensive rebound by Team,24,27
98,1,0:38.0,R. Gay enters the game for G. Temple,,24,27
99,1,0:38.0,,D. Waiters makes free throw 2 of 2,24,28
100,1,0:31.0,R. Gay misses 2-pt jump shot from 21 ft,,24,28
101,1,0:30.0,Offensive rebound by A. Tolliver,,24,28
102,1,0:29.0,A. Tolliver makes 2-pt dunk at rim,,26,28
103,1,0:09.0,,D. Waiters misses 2-pt layup from 2 ft (block by K. Koufos),26,28
104,1,0:08.0,Defensive rebound by T. Lawson,,26,28
105,1,0:01.0,R. Gay misses 2-pt hook shot from 8 ft,,26,28
106,1,0:00.0,Offensive rebound by Team,,26,28
107,2,11:37.0,R. Gay makes 2-pt jump shot from 10 ft,,28,28
108,2,11:19.0,,W. Reed makes 2-pt dunk at rim (assist by T. Johnson),28,30
109,2,10:54.0,K. Koufos makes 2-pt hook shot from 9 ft,,30,30
110,2,10:42.0,,Shooting foul by A. Tolliver (drawn by J. Johnson),30,30
111,2,10:42.0,,J. Johnson makes free throw 1 of 2,30,31
112,2,10:42.0,,J. Johnson makes free throw 2 of 2,30,32
113,2,10:27.0,B. McLemore misses 2-pt jump shot from 19 ft,,30,32
114,2,10:26.0,Offensive rebound by K. Koufos,,30,32
115,2,10:18.0,T. Lawson misses 3-pt jump shot from 25 ft,,30,32
116,2,10:17.0,,Defensive rebound by J. Winslow,30,32
117,2,10:11.0,,Shooting foul by K. Koufos (drawn by J. Winslow),30,32
118,2,10:11.0,,J. Winslow makes free throw 1 of 2,30,33
119,2,10:11.0,,J. Winslow misses free throw 2 of 2,30,33
120,2,10:10.0,,Offensive rebound by Team,30,33
121,2,9:54.0,,J. Johnson misses 2-pt layup from 2 ft,30,33
122,2,9:53.0,Defensive rebound by K. Koufos,,30,33
123,2,9:46.0,R. Gay misses 2-pt layup from 2 ft (block by J. Johnson),,30,33
124,2,9:45.0,,Defensive rebound by Team,30,33
125,2,9:45.0,Loose ball foul by K. Koufos (drawn by W. Reed),,30,33
126,2,9:45.0,D. Cousins enters the game for A. Tolliver,,30,33
127,2,9:32.0,,Turnover by J. Winslow (bad pass),30,33
128,2,9:23.0,Personal foul by J. Winslow (drawn by R. Gay),,30,33
129,2,9:16.0,D. Cousins makes 2-pt layup from 2 ft (assist by T. Lawson),,32,33
130,2,9:16.0,Shooting block foul by W. Reed (drawn by D. Cousins),,32,33
131,2,9:16.0,,Violation by W. Reed (lane),32,33
132,2,9:16.0,D. Cousins makes free throw 1 of 1,,33,33
133,2,9:02.0,,T. Johnson makes 3-pt jump shot from 24 ft (assist by J. Winslow),33,36
134,2,8:35.0,R. Gay misses 3-pt jump shot from 27 ft,,33,36
135,2,8:34.0,,Defensive rebound by J. Johnson,33,36
136,2,8:18.0,,T. Johnson misses 2-pt jump shot from 16 ft,33,36
137,2,8:17.0,Defensive rebound by R. Gay,,33,36
138,2,8:13.0,Turnover by R. Gay (bad pass; steal by T. Johnson),,33,36
139,2,8:03.0,,W. Reed makes 2-pt dunk at rim (assist by T. Johnson),33,38
140,2,7:53.0,Sacramento full timeout,,33,38
141,2,7:53.0,,H. Whiteside enters the game for W. Reed,33,38
142,2,7:53.0,A. Afflalo enters the game for B. McLemore,,33,38
143,2,7:53.0,Violation by Team (jump ball),,33,38
144,2,7:43.0,Shooting block foul by H. Whiteside (drawn by D. Cousins),,33,38
145,2,7:43.0,D. Cousins makes free throw 1 of 2,,34,38
146,2,7:43.0,D. Cousins makes free throw 2 of 2,,35,38
147,2,7:22.0,,J. Winslow misses 2-pt jump shot from 17 ft,35,38
148,2,7:21.0,Defensive rebound by K. Koufos,,35,38
149,2,7:11.0,R. Gay makes 3-pt jump shot from 24 ft (assist by D. Cousins),,38,38
150,2,6:52.0,,H. Whiteside misses 2-pt hook shot from 9 ft,38,38
151,2,6:51.0,Defensive rebound by D. Cousins,,38,38
152,2,6:38.0,R. Gay misses 2-pt layup from 2 ft,,38,38
153,2,6:37.0,,Defensive rebound by H. Whiteside,38,38
154,2,6:34.0,,T. Johnson makes 2-pt layup from 1 ft (assist by R. McGruder),38,40
155,2,6:34.0,,Shooting foul by T. Lawson (drawn by T. Johnson),38,40
156,2,6:34.0,M. Barnes enters the game for K. Koufos,,38,40
157,2,6:34.0,,D. Waiters enters the game for J. Winslow,38,40
158,2,6:34.0,,G. Dragić enters the game for R. McGruder,38,40
159,2,6:34.0,,T. Johnson makes free throw 1 of 1,38,41
160,2,6:18.0,A. Afflalo misses 2-pt jump shot from 16 ft,,38,41
161,2,6:17.0,,Defensive rebound by T. Johnson,38,41
162,2,6:08.0,,G. Dragić misses 3-pt jump shot from 23 ft,38,41
163,2,6:07.0,,Offensive rebound by H. Whiteside,38,41
164,2,6:05.0,,H. Whiteside misses 2-pt layup from 1 ft,38,41
165,2,6:04.0,,Offensive rebound by Team,38,41
166,2,6:01.0,,H. Whiteside misses 2-pt jump shot from 10 ft,38,41
167,2,6:00.0,Defensive rebound by A. Afflalo,,38,41
168,2,5:51.0,Personal foul by T. Johnson (drawn by A. Afflalo),,38,41
169,2,5:51.0,Official timeout,,38,41
170,2,5:51.0,,L. Babbitt enters the game for T. Johnson,38,41
171,2,5:51.0,G. Temple enters the game for T. Lawson,,38,41
172,2,5:42.0,Personal block foul by H. Whiteside (drawn by D. Cousins),,38,41
173,2,5:42.0,D. Cousins makes free throw 1 of 2,,39,41
174,2,5:42.0,D. Cousins misses free throw 2 of 2,,39,41
175,2,5:42.0,,U. Haslem enters the game for H. Whiteside,39,41
176,2,5:41.0,,Defensive rebound by J. Johnson,39,41
177,2,5:15.0,,D. Waiters misses 2-pt jump shot from 21 ft,39,41
178,2,5:14.0,,Offensive rebound by G. Dragić,39,41
179,2,5:11.0,,G. Dragić makes 2-pt layup from 1 ft,39,43
180,2,4:56.0,R. Gay makes 2-pt dunk at rim (assist by D. Cousins),,41,43
181,2,4:40.0,,U. Haslem misses 2-pt jump shot from 16 ft,41,43
182,2,4:39.0,Defensive rebound by D. Cousins,,41,43
183,2,4:26.0,Turnover by M. Barnes (bad pass; steal by G. Dragić),,41,43
184,2,4:21.0,,Shooting foul by M. Barnes (drawn by D. Waiters),41,43
185,2,4:21.0,,D. Waiters makes free throw 1 of 2,41,44
186,2,4:21.0,,D. Waiters makes free throw 2 of 2,41,45
187,2,4:02.0,D. Cousins misses 2-pt hook shot from 7 ft,,41,45
188,2,4:01.0,,Defensive rebound by J. Johnson,41,45
189,2,3:54.0,,U. Haslem misses 2-pt layup from 1 ft (block by G. Temple),41,45
190,2,3:53.0,Defensive rebound by R. Gay,,41,45
191,2,3:43.0,M. Barnes misses 3-pt jump shot from 24 ft,,41,45
192,2,3:42.0,,Defensive rebound by J. Johnson,41,45
193,2,3:36.0,,D. Waiters makes 3-pt jump shot from 25 ft (assist by J. Johnson),41,48
194,2,3:10.0,A. Afflalo makes 2-pt hook shot from 9 ft,,43,48
195,2,3:00.0,,Miami full timeout,43,48
196,2,3:00.0,,J. Winslow enters the game for J. Johnson,43,48
197,2,2:44.0,,J. Winslow misses 2-pt jump shot from 12 ft,43,48
198,2,2:43.0,Defensive rebound by D. Cousins,,43,48
199,2,2:31.0,Personal foul by U. Haslem (drawn by D. Cousins),,43,48
200,2,2:31.0,D. Cousins makes free throw 1 of 2,,44,48
201,2,2:31.0,D. Cousins makes free throw 2 of 2,,45,48
202,2,2:19.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by G. Dragić),45,51
203,2,1:59.0,G. Temple makes 2-pt jump shot from 16 ft,,47,51
204,2,1:39.0,,Turnover by G. Dragić (bad pass; steal by M. Barnes),47,51
205,2,1:36.0,Turnover by M. Barnes (bad pass; steal by D. Waiters),,47,51
206,2,1:30.0,,G. Dragić makes 3-pt jump shot from 24 ft (assist by D. Waiters),47,54
207,2,1:01.0,D. Cousins misses 2-pt hook shot from 9 ft,,47,54
208,2,1:00.0,Offensive rebound by M. Barnes,,47,54
209,2,0:56.0,M. Barnes misses 3-pt jump shot from 23 ft,,47,54
210,2,0:55.0,,Defensive rebound by D. Waiters,47,54
211,2,0:50.0,,Turnover by D. Waiters (bad pass),47,54
212,2,0:36.0,A. Afflalo misses 3-pt jump shot from 25 ft,,47,54
213,2,0:35.0,Offensive rebound by Team,,47,54
214,2,0:27.0,A. Afflalo misses 3-pt jump shot from 24 ft,,47,54
215,2,0:26.0,Offensive rebound by G. Temple,,47,54
216,2,0:22.0,R. Gay misses 2-pt jump shot from 3 ft,,47,54
217,2,0:21.0,Offensive rebound by G. Temple,,47,54
218,2,0:05.0,R. Gay makes 2-pt layup from 2 ft,,49,54
219,2,0:05.0,Shooting foul by L. Babbitt (drawn by R. Gay),,49,54
220,2,0:05.0,T. Lawson enters the game for D. Cousins,,49,54
221,2,0:05.0,R. Gay makes free throw 1 of 1,,50,54
222,2,0:02.0,,Miami full timeout,50,54
223,2,0:02.0,K. Koufos enters the game for T. Lawson,,50,54
224,2,0:02.0,,Turnover by J. Winslow (bad pass),50,54
225,2,0:00.0,K. Koufos misses 3-pt jump shot from 54 ft,,50,54
226,2,0:00.0,Offensive rebound by Team,,50,54
227,3,11:45.0,Turnover by A. Afflalo (bad pass),,50,54
228,3,11:29.0,,Turnover by H. Whiteside (bad pass),50,54
229,3,11:06.0,D. Cousins misses 2-pt jump shot from 19 ft,,50,54
230,3,11:05.0,,Defensive rebound by D. Waiters,50,54
231,3,10:53.0,,H. Whiteside misses 2-pt dunk at rim (block by D. Cousins),50,54
232,3,10:52.0,Defensive rebound by R. Gay,,50,54
233,3,10:47.0,Personal foul by D. Waiters (drawn by D. Cousins),,50,54
234,3,10:34.0,A. Afflalo misses 2-pt layup from 3 ft (block by D. Waiters),,50,54
235,3,10:33.0,,Defensive rebound by H. Whiteside,50,54
236,3,10:26.0,,L. Babbitt makes 3-pt jump shot from 24 ft (assist by G. Dragić),50,57
237,3,10:26.0,Sacramento full timeout,,50,57
238,3,10:14.0,R. Gay misses 2-pt jump shot from 10 ft,,50,57
239,3,10:13.0,,Defensive rebound by L. Babbitt,50,57
240,3,10:07.0,,D. Waiters misses 2-pt layup from 2 ft,50,57
241,3,10:06.0,Defensive rebound by R. Gay,,50,57
242,3,9:57.0,D. Cousins misses 2-pt dunk at rim,,50,57
243,3,9:56.0,,Defensive rebound by H. Whiteside,50,57
244,3,9:48.0,,J. Winslow makes 3-pt jump shot from 23 ft (assist by G. Dragić),50,60
245,3,9:22.0,R. Gay misses 2-pt jump shot from 20 ft,,50,60
246,3,9:21.0,,Defensive rebound by G. Dragić,50,60
247,3,9:13.0,,H. Whiteside makes 2-pt dunk at rim (assist by J. Winslow),50,62
248,3,8:46.0,A. Afflalo makes 2-pt layup from 2 ft,,52,62
249,3,8:23.0,,G. Dragić makes 2-pt layup from 2 ft,52,64
250,3,8:06.0,Personal foul by H. Whiteside (drawn by D. Cousins),,52,64
251,3,8:06.0,D. Cousins makes free throw 1 of 2,,53,64
252,3,8:06.0,,U. Haslem enters the game for H. Whiteside,53,64
253,3,8:06.0,D. Cousins makes free throw 2 of 2,,54,64
254,3,8:01.0,,Personal foul by A. Afflalo (drawn by D. Waiters),54,64
255,3,7:49.0,,L. Babbitt misses 3-pt jump shot from 24 ft,54,64
256,3,7:48.0,,Offensive rebound by J. Winslow,54,64
257,3,7:47.0,,J. Winslow misses 2-pt dunk at rim,54,64
258,3,7:46.0,Defensive rebound by R. Gay,,54,64
259,3,7:31.0,R. Gay misses 2-pt jump shot from 11 ft,,54,64
260,3,7:30.0,Offensive rebound by M. Barnes,,54,64
261,3,7:26.0,M. Barnes misses 2-pt layup from 1 ft,,54,64
262,3,7:24.0,,Defensive rebound by G. Dragić,54,64
263,3,7:23.0,,L. Babbitt misses 3-pt jump shot from 25 ft,54,64
264,3,7:20.0,Defensive rebound by T. Lawson,,54,64
265,3,7:14.0,A. Afflalo makes 2-pt layup from 2 ft,,56,64
266,3,7:07.0,Technical foul by M. Barnes,,56,64
267,3,7:07.0,K. Koufos enters the game for D. Cousins,,56,64
268,3,7:07.0,,L. Babbitt makes technical free throw,56,65
269,3,6:56.0,,J. Winslow misses 2-pt jump shot from 19 ft,56,65
270,3,6:55.0,Defensive rebound by K. Koufos,,56,65
271,3,6:41.0,T. Lawson misses 2-pt jump shot from 15 ft,,56,65
272,3,6:40.0,,Defensive rebound by G. Dragić,56,65
273,3,6:28.0,,L. Babbitt misses 3-pt jump shot from 25 ft,56,65
274,3,6:27.0,Defensive rebound by A. Afflalo,,56,65
275,3,6:20.0,M. Barnes misses 3-pt jump shot from 24 ft,,56,65
276,3,6:19.0,,Defensive rebound by G. Dragić,56,65
277,3,6:11.0,,L. Babbitt misses 3-pt jump shot from 25 ft,56,65
278,3,6:10.0,,Offensive rebound by U. Haslem,56,65
279,3,5:54.0,,D. Waiters makes 2-pt jump shot from 20 ft (assist by U. Haslem),56,67
280,3,5:36.0,M. Barnes misses 3-pt jump shot from 24 ft,,56,67
281,3,5:35.0,,Defensive rebound by U. Haslem,56,67
282,3,5:23.0,,L. Babbitt misses 3-pt jump shot from 25 ft,56,67
283,3,5:22.0,Defensive rebound by M. Barnes,,56,67
284,3,5:19.0,Turnover by M. Barnes (bad pass; steal by G. Dragić),,56,67
285,3,5:13.0,,J. Winslow misses 3-pt jump shot from 24 ft,56,67
286,3,5:12.0,Defensive rebound by M. Barnes,,56,67
287,3,5:12.0,Sacramento full timeout,,56,67
288,3,5:12.0,A. Tolliver enters the game for R. Gay,,56,67
289,3,5:12.0,B. McLemore enters the game for M. Barnes,,56,67
290,3,5:12.0,,T. Johnson enters the game for D. Waiters,56,67
291,3,4:51.0,A. Afflalo makes 2-pt jump shot from 20 ft,,58,67
292,3,4:31.0,,U. Haslem misses 2-pt jump shot from 3 ft,58,67
293,3,4:30.0,Defensive rebound by K. Koufos,,58,67
294,3,4:23.0,K. Koufos makes 2-pt dunk at rim (assist by B. McLemore),,60,67
295,3,4:23.0,,Miami full timeout,60,67
296,3,4:23.0,,R. McGruder enters the game for L. Babbitt,60,67
297,3,4:14.0,,Turnover by G. Dragić (bad pass),60,67
298,3,4:03.0,B. McLemore misses 3-pt jump shot from 24 ft,,60,67
299,3,4:02.0,,Defensive rebound by U. Haslem,60,67
300,3,3:46.0,,G. Dragić misses 2-pt jump shot from 12 ft,60,67
301,3,3:45.0,Defensive rebound by A. Tolliver,,60,67
302,3,3:35.0,B. McLemore makes 3-pt jump shot from 26 ft (assist by T. Lawson),,63,67
303,3,3:14.0,,J. Winslow misses 2-pt jump shot from 17 ft,63,67
304,3,3:13.0,,Offensive rebound by R. McGruder,63,67
305,3,3:02.0,,Turnover by G. Dragić (bad pass; steal by B. McLemore),63,67
306,3,2:53.0,Personal foul by G. Dragić (drawn by K. Koufos),,63,67
307,3,2:53.0,,W. Reed enters the game for U. Haslem,63,67
308,3,2:53.0,,J. Johnson enters the game for J. Winslow,63,67
309,3,2:39.0,A. Afflalo makes 2-pt jump shot from 10 ft,,65,67
310,3,2:27.0,,Def 3 sec tech foul by A. Tolliver,65,67
311,3,2:27.0,,T. Johnson makes technical free throw,65,68
312,3,2:17.0,,T. Johnson makes 2-pt jump shot from 9 ft,65,70
313,3,2:05.0,Turnover by T. Lawson (lost ball; steal by J. Johnson),,65,70
314,3,2:01.0,,Turnover by J. Johnson (bad pass),65,70
315,3,1:41.0,A. Afflalo misses 2-pt jump shot from 13 ft,,65,70
316,3,1:40.0,,Defensive rebound by T. Johnson,65,70
317,3,1:31.0,,T. Johnson misses 2-pt jump shot from 19 ft,65,70
318,3,1:30.0,Defensive rebound by A. Tolliver,,65,70
319,3,1:20.0,K. Koufos makes 2-pt dunk at rim (assist by T. Lawson),,67,70
320,3,0:57.0,,Shooting foul by A. Tolliver (drawn by G. Dragić),67,70
321,3,0:57.0,,G. Dragić makes free throw 1 of 2,67,71
322,3,0:57.0,,G. Dragić misses free throw 2 of 2,67,71
323,3,0:57.0,G. Temple enters the game for T. Lawson,,67,71
324,3,0:55.0,Defensive rebound by A. Tolliver,,67,71
325,3,0:40.0,A. Tolliver misses 2-pt jump shot from 7 ft,,67,71
326,3,0:38.0,,Defensive rebound by W. Reed,67,71
327,3,0:35.0,,Shooting block foul by A. Afflalo (drawn by G. Dragić),67,71
328,3,0:35.0,,G. Dragić makes free throw 1 of 2,67,72
329,3,0:35.0,,G. Dragić makes free throw 2 of 2,67,73
330,3,0:29.0,G. Temple misses 2-pt jump shot from 19 ft (block by G. Dragić),,67,73
331,3,0:28.0,,Defensive rebound by T. Johnson,67,73
332,3,0:08.0,,T. Johnson misses 2-pt layup from 1 ft,67,73
333,3,0:07.0,Defensive rebound by B. McLemore,,67,73
334,3,0:02.0,B. McLemore misses 2-pt jump shot from 21 ft,,67,73
335,3,0:00.0,Offensive rebound by K. Koufos,,67,73
336,4,11:47.0,,Turnover by D. Waiters (traveling),67,73
337,4,11:32.0,B. McLemore misses 3-pt jump shot from 25 ft,,67,73
338,4,11:31.0,,Defensive rebound by J. Johnson,67,73
339,4,11:19.0,,Personal foul by D. Cousins (drawn by U. Haslem),67,73
340,4,11:06.0,,D. Waiters misses 3-pt jump shot from 25 ft,67,73
341,4,11:05.0,,Offensive rebound by Team,67,73
342,4,11:05.0,,Turnover by Team (shot clock),67,73
343,4,10:53.0,B. McLemore misses 3-pt jump shot from 24 ft,,67,73
344,4,10:52.0,,Defensive rebound by J. Johnson,67,73
345,4,10:36.0,,J. Johnson misses 3-pt jump shot from 25 ft,67,73
346,4,10:35.0,Defensive rebound by K. Koufos,,67,73
347,4,10:25.0,Offensive foul by D. Cousins (drawn by U. Haslem),,67,73
348,4,10:25.0,Turnover by D. Cousins (offensive foul),,67,73
349,4,10:07.0,,J. Johnson makes 2-pt jump shot from 6 ft,67,75
350,4,9:43.0,G. Temple misses 2-pt jump shot from 17 ft,,67,75
351,4,9:37.0,Offensive rebound by Team,,67,75
352,4,9:37.0,R. Gay enters the game for A. Tolliver,,67,75
353,4,9:22.0,Turnover by G. Temple (bad pass; steal by U. Haslem),,67,75
354,4,9:09.0,,Personal foul by R. Gay (drawn by R. McGruder),67,75
355,4,9:09.0,,J. Winslow enters the game for R. McGruder,67,75
356,4,9:01.0,,J. Johnson misses 2-pt jump shot from 17 ft,67,75
357,4,9:00.0,Defensive rebound by K. Koufos,,67,75
358,4,8:56.0,Personal foul by J. Johnson (drawn by D. Cousins),,67,75
359,4,8:56.0,Official timeout,,67,75
360,4,8:56.0,,L. Babbitt enters the game for J. Johnson,67,75
361,4,8:50.0,Shooting foul by U. Haslem (drawn by D. Cousins),,67,75
362,4,8:50.0,D. Cousins makes free throw 1 of 2,,68,75
363,4,8:50.0,D. Cousins makes free throw 2 of 2,,69,75
364,4,8:34.0,,H. Whiteside enters the game for U. Haslem,69,75
365,4,8:26.0,,L. Babbitt makes 3-pt jump shot from 24 ft (assist by J. Winslow),69,78
366,4,8:05.0,A. Afflalo enters the game for K. Koufos,,69,78
367,4,8:01.0,B. McLemore misses 2-pt jump shot from 18 ft,,69,78
368,4,8:00.0,,Defensive rebound by H. Whiteside,69,78
369,4,7:50.0,,Turnover by H. Whiteside (lost ball),69,78
370,4,7:32.0,Shooting foul by H. Whiteside (drawn by R. Gay),,69,78
371,4,7:32.0,R. Gay makes free throw 1 of 2,,70,78
372,4,7:32.0,,U. Haslem enters the game for H. Whiteside,70,78
373,4,7:32.0,R. Gay makes free throw 2 of 2,,71,78
374,4,7:14.0,,J. Winslow misses 3-pt jump shot from 26 ft,71,78
375,4,7:13.0,Defensive rebound by R. Gay,,71,78
376,4,7:02.0,Shooting foul by U. Haslem (drawn by D. Cousins),,71,78
377,4,7:02.0,D. Cousins misses free throw 1 of 2,,71,78
378,4,7:02.0,Offensive rebound by Team,,71,78
379,4,7:02.0,D. Cousins misses free throw 2 of 2,,71,78
380,4,7:02.0,T. Lawson enters the game for B. McLemore,,71,78
381,4,7:01.0,,Defensive rebound by U. Haslem,71,78
382,4,6:45.0,,Turnover by T. Johnson (bad pass),71,78
383,4,6:31.0,Turnover by R. Gay (bad pass; steal by L. Babbitt),,71,78
384,4,6:28.0,,Shooting foul by T. Lawson (drawn by T. Johnson),71,78
385,4,6:28.0,,T. Johnson makes free throw 1 of 2,71,79
386,4,6:28.0,,G. Dragić enters the game for L. Babbitt,71,79
387,4,6:28.0,,T. Johnson makes free throw 2 of 2,71,80
388,4,6:17.0,A. Afflalo misses 3-pt jump shot from 24 ft,,71,80
389,4,6:16.0,Offensive rebound by D. Cousins,,71,80
