,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA LAKERS_ACTION,CHARLOTTE_SCORE,LA LAKERS_SCORE
129,2,8:46.0,B. Roberts makes 2-pt layup from 1 ft,,41,33
130,2,8:28.0,,T. Ennis misses 3-pt jump shot from 25 ft,41,33
131,2,8:27.0,Defensive rebound by M. Belinelli,,41,33
132,2,8:12.0,Personal foul by J. Clarkson (drawn by M. Belinelli),,41,33
133,2,8:12.0,K. Walker enters the game for B. Roberts,,41,33
134,2,8:12.0,,N. Young enters the game for C. Brewer,41,33
135,2,8:12.0,,B. Ingram enters the game for I. Zubac,41,33
136,2,8:01.0,M. Kidd-Gilchrist makes 2-pt jump shot from 13 ft (assist by K. Walker),,43,33
137,2,7:53.0,,Offensive foul by J. Clarkson (drawn by J. Lamb),43,33
138,2,7:53.0,,Turnover by J. Clarkson (offensive foul),43,33
139,2,7:41.0,Turnover by J. Lamb (bad pass; steal by B. Ingram),,43,33
140,2,7:31.0,,Turnover by L. Nance (bad pass),43,33
141,2,7:31.0,,J. Randle enters the game for L. Nance,43,33
142,2,7:31.0,,D. Russell enters the game for T. Ennis,43,33
143,2,7:17.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,43,33
144,2,7:15.0,,Defensive rebound by J. Randle,43,33
145,2,7:08.0,,J. Randle misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist),43,33
146,2,7:06.0,Defensive rebound by J. Lamb,,43,33
147,2,6:49.0,K. Walker misses 2-pt jump shot from 5 ft,,43,33
148,2,6:46.0,,Defensive rebound by J. Randle,43,33
149,2,6:39.0,,D. Russell makes 3-pt jump shot from 27 ft (assist by J. Randle),43,36
150,2,6:31.0,Charlotte full timeout,,43,36
151,2,6:31.0,N. Batum enters the game for J. Lamb,,43,36
152,2,6:20.0,M. Belinelli makes 3-pt jump shot from 26 ft (assist by M. Kidd-Gilchrist),,46,36
153,2,5:56.0,,B. Ingram makes 3-pt jump shot from 25 ft (assist by D. Russell),46,39
154,2,5:38.0,K. Walker misses 2-pt jump shot from 17 ft,,46,39
155,2,5:34.0,,Defensive rebound by B. Ingram,46,39
156,2,5:30.0,,J. Randle makes 2-pt dunk at rim (assist by B. Ingram),46,41
157,2,5:20.0,Personal foul by B. Ingram (drawn by N. Batum),,46,41
158,2,5:04.0,M. Belinelli misses 3-pt jump shot from 25 ft,,46,41
159,2,5:03.0,,Defensive rebound by B. Ingram,46,41
160,2,4:51.0,,N. Young makes 3-pt jump shot from 26 ft (assist by J. Randle),46,44
161,2,4:31.0,F. Kaminsky misses 2-pt hook shot from 8 ft,,46,44
162,2,4:27.0,,Defensive rebound by J. Randle,46,44
163,2,4:23.0,,J. Randle makes 2-pt layup from 2 ft,46,46
164,2,4:16.0,Charlotte full timeout,,46,46
165,2,4:16.0,M. Williams enters the game for M. Kidd-Gilchrist,,46,46
166,2,3:59.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by M. Williams),,49,46
167,2,3:40.0,,B. Ingram misses 3-pt jump shot from 23 ft,49,46
168,2,3:39.0,Defensive rebound by F. Kaminsky,,49,46
169,2,3:32.0,K. Walker makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),,52,46
170,2,3:10.0,,N. Young misses 3-pt jump shot from 25 ft,52,46
171,2,3:09.0,Defensive rebound by K. Walker,,52,46
172,2,2:59.0,K. Walker makes 2-pt layup from 3 ft,,54,46
173,2,2:50.0,Official timeout,,54,46
174,2,2:50.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,54,46
175,2,2:33.0,,J. Clarkson makes 3-pt jump shot from 26 ft,54,49
176,2,2:11.0,Turnover by K. Walker (bad pass),,54,49
