,QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
149,2,7:28.0,Turnover by M. Ellis (bad pass; steal by J. Ingles),,32,45
150,2,7:12.0,,Shooting foul by M. Turner (drawn by D. Favors),32,45
151,2,7:12.0,,D. Favors misses free throw 1 of 2,32,45
152,2,7:12.0,,Offensive rebound by Team,32,45
153,2,7:12.0,,G. Hayward enters the game for J. Johnson,32,45
154,2,7:12.0,,R. Neto enters the game for G. Hill,32,45
155,2,7:12.0,,D. Favors makes free throw 2 of 2,32,46
156,2,6:57.0,M. Turner makes 3-pt jump shot from 24 ft (assist by J. Teague),,35,46
157,2,6:39.0,,J. Ingles makes 2-pt layup from 2 ft (assist by D. Favors),35,48
158,2,6:25.0,J. Teague misses 2-pt jump shot from 10 ft,,35,48
159,2,6:24.0,,Defensive rebound by D. Favors,35,48
160,2,6:12.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),35,50
161,2,6:10.0,Turnover by M. Turner (inbound),,35,50
162,2,6:10.0,,R. Gobert enters the game for D. Favors,35,50
163,2,6:07.0,,Shooting foul by P. George (drawn by G. Hayward),35,50
164,2,6:07.0,,G. Hayward makes free throw 1 of 2,35,51
165,2,6:07.0,C. Miles enters the game for P. George,,35,51
166,2,6:07.0,,G. Hayward makes free throw 2 of 2,35,52
167,2,5:48.0,C. Miles makes 2-pt jump shot from 15 ft (assist by M. Turner),,37,52
168,2,5:28.0,,R. Neto misses 3-pt jump shot from 24 ft,37,52
169,2,5:27.0,Defensive rebound by T. Young,,37,52
170,2,5:20.0,J. Teague makes 2-pt layup from 1 ft,,39,52
171,2,5:04.0,,B. Diaw misses 2-pt hook shot from 4 ft,39,52
172,2,5:04.0,Defensive rebound by C. Miles,,39,52
173,2,4:52.0,T. Young makes 2-pt hook shot from 3 ft,,41,52
174,2,4:35.0,,B. Diaw misses 2-pt jump shot from 23 ft,41,52
175,2,4:35.0,Defensive rebound by J. Teague,,41,52
176,2,4:26.0,Turnover by M. Ellis (bad pass; steal by J. Ingles),,41,52
