,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PORTLAND_ACTION,PHILADELPHIA_SCORE,PORTLAND_SCORE
106,1,1:04.0,,M. Leonard misses 2-pt jump shot from 14 ft,21,25
107,1,1:04.0,Defensive rebound by K. McDaniels,,21,25
108,1,0:58.0,R. Covington misses 3-pt jump shot from 25 ft,,21,25
109,1,0:57.0,,Defensive rebound by M. Leonard,21,25
110,1,0:41.0,,D. Wright misses 2-pt jump shot from 2 ft,21,25
111,1,0:40.0,Defensive rebound by H. Sims,,21,25
112,1,0:32.0,T. Wroten makes 3-pt jump shot from 24 ft,,24,25
113,1,0:12.0,,W. Matthews makes 2-pt jump shot from 3 ft,24,27
114,1,0:03.0,T. Wroten misses 3-pt jump shot from 27 ft,,24,27
115,1,0:01.0,Offensive rebound by Team,,24,27
116,2,11:52.0,,Personal block foul by T. Wroten (drawn by S. Blake),24,27
117,2,11:45.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by S. Blake),24,30
118,2,11:40.0,Shooting foul by S. Blake (drawn by K. McDaniels),,24,30
119,2,11:40.0,K. McDaniels makes free throw 1 of 2,,25,30
120,2,11:40.0,,V. Claver enters the game for D. Wright,25,30
121,2,11:40.0,K. McDaniels makes free throw 2 of 2,,26,30
122,2,11:24.0,,W. Matthews makes 3-pt jump shot from 22 ft (assist by S. Blake),26,33
123,2,11:19.0,Turnover by R. Covington (lost ball; steal by S. Blake),,26,33
124,2,11:09.0,,Turnover by S. Blake (bad pass; steal by J. Grant),26,33
125,2,11:03.0,Turnover by R. Covington (lost ball),,26,33
126,2,11:03.0,M. Carter-Williams enters the game for R. Covington,,26,33
127,2,11:03.0,,C. McCollum enters the game for A. Crabbe,26,33
128,2,10:47.0,,W. Matthews misses 3-pt jump shot from 22 ft,26,33
129,2,10:46.0,Defensive rebound by M. Carter-Williams,,26,33
130,2,10:31.0,K. McDaniels misses 3-pt jump shot from 24 ft,,26,33
131,2,10:30.0,,Defensive rebound by J. Freeland,26,33
132,2,10:16.0,,C. McCollum misses 3-pt jump shot from 24 ft,26,33
133,2,10:16.0,Defensive rebound by H. Sims,,26,33
134,2,9:58.0,K. McDaniels makes 2-pt jump shot from 8 ft,,28,33
135,2,9:37.0,,W. Matthews misses 2-pt jump shot from 10 ft,28,33
136,2,9:36.0,Defensive rebound by H. Sims,,28,33
137,2,9:28.0,T. Wroten makes 2-pt jump shot from 3 ft,,30,33
138,2,9:15.0,,S. Blake makes 3-pt jump shot from 23 ft,30,36
139,2,9:06.0,Philadelphia full timeout,,30,36
140,2,9:06.0,L. Mbah a Moute enters the game for H. Sims,,30,36
141,2,9:06.0,N. Noel enters the game for J. Grant,,30,36
142,2,9:06.0,,D. Lillard enters the game for W. Matthews,30,36
143,2,8:50.0,M. Carter-Williams makes 2-pt layup from 1 ft,,32,36
144,2,8:28.0,,S. Blake misses 3-pt jump shot from 26 ft,32,36
145,2,8:28.0,Defensive rebound by M. Carter-Williams,,32,36
146,2,8:12.0,N. Noel misses 2-pt jump shot from 7 ft,,32,36
147,2,8:12.0,,Defensive rebound by J. Freeland,32,36
148,2,8:04.0,,C. McCollum makes 2-pt layup from 1 ft,32,38
149,2,8:00.0,Turnover by T. Wroten (bad pass),,32,38
150,2,7:49.0,,N. Batum enters the game for S. Blake,32,38
151,2,7:49.0,J. Grant enters the game for K. McDaniels,,32,38
152,2,7:40.0,,Turnover by D. Lillard (bad pass; steal by T. Wroten),32,38
153,2,7:37.0,Shooting foul by C. McCollum (drawn by T. Wroten),,32,38
154,2,7:37.0,T. Wroten misses free throw 1 of 2,,32,38
155,2,7:37.0,Offensive rebound by Team,,32,38
156,2,7:37.0,T. Wroten makes free throw 2 of 2,,33,38
157,2,7:23.0,,N. Batum misses 3-pt jump shot from 22 ft,33,38
158,2,7:22.0,,Offensive rebound by J. Freeland,33,38
159,2,7:17.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),33,41
160,2,7:01.0,T. Wroten makes 2-pt layup from 1 ft,,35,41
161,2,6:51.0,,D. Lillard misses 3-pt jump shot from 25 ft,35,41
162,2,6:49.0,,Offensive rebound by N. Batum,35,41
163,2,6:49.0,,N. Batum makes 2-pt dunk at rim,35,43
164,2,6:34.0,M. Carter-Williams makes 2-pt jump shot from 11 ft,,37,43
165,2,6:19.0,,V. Claver makes 3-pt jump shot from 26 ft (assist by D. Lillard),37,46
166,2,5:59.0,T. Wroten misses 3-pt jump shot from 25 ft,,37,46
167,2,5:59.0,,Defensive rebound by J. Freeland,37,46
168,2,5:49.0,,J. Freeland makes 2-pt jump shot from 20 ft (assist by N. Batum),37,48
169,2,5:29.0,Official timeout,,37,48
170,2,5:23.0,J. Grant misses 2-pt jump shot from 6 ft,,37,48
171,2,5:20.0,,Defensive rebound by V. Claver,37,48
172,2,5:08.0,,V. Claver makes 2-pt layup at rim (assist by J. Freeland),37,50
173,2,4:55.0,,Offensive charge foul by M. Carter-Williams (drawn by J. Freeland),37,50
174,2,4:55.0,Turnover by M. Carter-Williams (offensive foul),,37,50
175,2,4:55.0,K. McDaniels enters the game for T. Wroten,,37,50
176,2,4:37.0,,D. Lillard makes 2-pt dunk at rim,37,52
177,2,4:27.0,M. Carter-Williams makes 2-pt jump shot from 6 ft,,39,52
178,2,4:13.0,,D. Lillard misses 2-pt jump shot from 19 ft,39,52
179,2,4:11.0,,Offensive rebound by J. Freeland,39,52
180,2,4:11.0,,J. Freeland misses 2-pt tip-in from 1 ft,39,52
181,2,4:10.0,Defensive rebound by M. Carter-Williams,,39,52
182,2,3:59.0,K. McDaniels misses 2-pt jump shot from 3 ft,,39,52
183,2,3:57.0,,Defensive rebound by J. Freeland,39,52
184,2,3:44.0,,N. Batum misses 3-pt jump shot from 25 ft,39,52
185,2,3:43.0,Defensive rebound by N. Noel,,39,52
186,2,3:31.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,39,52
187,2,3:30.0,,Defensive rebound by V. Claver,39,52
188,2,3:30.0,,Personal foul by J. Grant (drawn by V. Claver),39,52
189,2,3:30.0,,M. Leonard enters the game for J. Freeland,39,52
190,2,3:30.0,,W. Matthews enters the game for C. McCollum,39,52
191,2,3:13.0,,Turnover by V. Claver (bad pass),39,52
192,2,2:59.0,N. Noel misses 2-pt layup at rim,,39,52
193,2,2:57.0,,Defensive rebound by M. Leonard,39,52
194,2,2:51.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Lillard),39,55
195,2,2:36.0,M. Carter-Williams makes 2-pt layup from 2 ft,,41,55
196,2,2:17.0,,D. Lillard misses 3-pt jump shot from 24 ft,41,55
197,2,2:16.0,Defensive rebound by N. Noel,,41,55
198,2,2:09.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,43,55
199,2,2:09.0,Shooting foul by V. Claver (drawn by L. Mbah a Moute),,43,55
200,2,2:09.0,,Portland full timeout,43,55
201,2,2:09.0,,D. Wright enters the game for V. Claver,43,55
202,2,2:09.0,R. Covington enters the game for J. Grant,,43,55
203,2,2:09.0,L. Mbah a Moute makes free throw 1 of 1,,44,55
204,2,2:02.0,,W. Matthews misses 3-pt jump shot from 24 ft,44,55
205,2,2:00.0,Defensive rebound by N. Noel,,44,55
206,2,1:45.0,R. Covington makes 2-pt jump shot from 19 ft (assist by N. Noel),,46,55
207,2,1:27.0,,D. Lillard makes 2-pt layup at rim,46,57
208,2,1:14.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,48,57
209,2,1:14.0,Shooting foul by M. Leonard (drawn by L. Mbah a Moute),,48,57
210,2,1:14.0,,J. Freeland enters the game for M. Leonard,48,57
211,2,1:14.0,L. Mbah a Moute makes free throw 1 of 1,,49,57
212,2,0:54.0,,D. Wright misses 3-pt jump shot from 22 ft,49,57
213,2,0:53.0,Defensive rebound by M. Carter-Williams,,49,57
214,2,0:48.0,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by N. Noel),,51,57
215,2,0:34.0,,Def 3 sec tech foul by K. McDaniels,51,57
216,2,0:34.0,,D. Lillard makes technical free throw,51,58
217,2,0:25.0,,Turnover by J. Freeland (lost ball; steal by N. Noel),51,58
218,2,0:21.0,R. Covington misses 2-pt layup from 1 ft,,51,58
219,2,0:19.0,,Defensive rebound by J. Freeland,51,58
220,2,0:02.0,,D. Wright makes 3-pt jump shot from 22 ft (assist by D. Lillard),51,61
221,3,11:46.0,,Turnover by D. Lillard (bad pass; steal by N. Noel),51,61
222,3,11:43.0,Shooting foul by J. Freeland (drawn by M. Carter-Williams),,51,61
223,3,11:43.0,M. Carter-Williams misses free throw 1 of 2,,51,61
224,3,11:43.0,Offensive rebound by Team,,51,61
225,3,11:43.0,M. Carter-Williams makes free throw 2 of 2,,52,61
226,3,11:19.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Lillard),52,64
227,3,10:56.0,N. Noel misses 2-pt jump shot from 18 ft,,52,64
228,3,10:55.0,Offensive rebound by J. Sampson,,52,64
229,3,10:39.0,Turnover by M. Carter-Williams (bad pass; steal by D. Lillard),,52,64
230,3,10:31.0,,T. Robinson misses 2-pt jump shot from 9 ft,52,64
231,3,10:30.0,Defensive rebound by N. Noel,,52,64
232,3,10:14.0,R. Covington misses 2-pt jump shot from 8 ft,,52,64
233,3,10:12.0,,Defensive rebound by T. Robinson,52,64
234,3,10:05.0,,W. Matthews makes 3-pt jump shot from 24 ft,52,67
235,3,10:04.0,Philadelphia full timeout,,52,67
236,3,9:49.0,M. Carter-Williams misses 2-pt jump shot from 22 ft,,52,67
237,3,9:48.0,,Defensive rebound by D. Lillard,52,67
238,3,9:32.0,,W. Matthews misses 3-pt jump shot from 24 ft,52,67
239,3,9:30.0,,Offensive rebound by Team,52,67
240,3,9:30.0,Loose ball foul by R. Covington (drawn by J. Freeland),,52,67
241,3,9:28.0,,Turnover by N. Batum (bad pass; steal by J. Sampson),52,67
242,3,9:17.0,Turnover by M. Carter-Williams (bad pass; steal by T. Robinson),,52,67
243,3,9:07.0,,N. Batum makes 2-pt jump shot from 20 ft (assist by D. Lillard),52,69
244,3,8:50.0,R. Covington makes 3-pt jump shot from 23 ft (assist by M. Carter-Williams),,55,69
245,3,8:34.0,,Turnover by J. Freeland (bad pass; steal by M. Carter-Williams),55,69
246,3,8:27.0,J. Sampson makes 2-pt dunk at rim (assist by M. Carter-Williams),,57,69
247,3,8:01.0,,D. Lillard makes 2-pt jump shot from 7 ft,57,71
248,3,7:44.0,N. Noel misses 2-pt hook shot from 8 ft,,57,71
249,3,7:43.0,,Defensive rebound by N. Batum,57,71
250,3,7:37.0,,J. Freeland misses 2-pt jump shot from 19 ft,57,71
251,3,7:36.0,Defensive rebound by N. Noel,,57,71
252,3,7:27.0,M. Carter-Williams misses 2-pt layup from 2 ft,,57,71
253,3,7:26.0,,Defensive rebound by T. Robinson,57,71
254,3,7:20.0,,D. Lillard misses 3-pt jump shot from 27 ft,57,71
255,3,7:20.0,Defensive rebound by L. Mbah a Moute,,57,71
256,3,7:09.0,M. Carter-Williams makes 2-pt layup from 1 ft (assist by R. Covington),,59,71
257,3,6:53.0,,W. Matthews makes 2-pt jump shot from 18 ft,59,73
258,3,6:34.0,R. Covington misses 3-pt jump shot from 22 ft,,59,73
259,3,6:33.0,,Defensive rebound by J. Freeland,59,73
260,3,6:27.0,,W. Matthews misses 3-pt jump shot from 22 ft,59,73
261,3,6:26.0,Defensive rebound by Team,,59,73
262,3,6:26.0,H. Sims enters the game for N. Noel,,59,73
263,3,6:26.0,T. Wroten enters the game for M. Carter-Williams,,59,73
264,3,6:26.0,,V. Claver enters the game for J. Freeland,59,73
265,3,6:14.0,Shooting foul by V. Claver (drawn by T. Wroten),,59,73
266,3,6:14.0,T. Wroten makes 2-pt layup from 2 ft (assist by L. Mbah a Moute),,61,73
267,3,6:14.0,T. Wroten makes free throw 1 of 1,,62,73
268,3,5:56.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by N. Batum),62,76
269,3,5:31.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,62,76
270,3,5:30.0,Offensive rebound by H. Sims,,62,76
271,3,5:24.0,H. Sims makes 2-pt hook shot from 7 ft (assist by T. Wroten),,64,76
272,3,5:14.0,,D. Lillard makes 3-pt jump shot from 24 ft,64,79
273,3,5:14.0,,Shooting foul by J. Sampson (drawn by D. Lillard),64,79
274,3,5:14.0,,M. Leonard enters the game for T. Robinson,64,79
275,3,5:14.0,,S. Blake enters the game for W. Matthews,64,79
276,3,5:14.0,,D. Lillard makes free throw 1 of 1,64,80
277,3,5:03.0,Shooting foul by V. Claver (drawn by L. Mbah a Moute),,64,80
278,3,5:03.0,L. Mbah a Moute misses free throw 1 of 2,,64,80
279,3,5:03.0,Offensive rebound by Team,,64,80
280,3,5:03.0,K. McDaniels enters the game for J. Sampson,,64,80
281,3,5:03.0,L. Mbah a Moute makes free throw 2 of 2,,65,80
282,3,4:50.0,,Shooting foul by T. Wroten (drawn by D. Lillard),65,80
283,3,4:50.0,,D. Lillard makes free throw 1 of 2,65,81
284,3,4:50.0,,A. Crabbe enters the game for N. Batum,65,81
285,3,4:50.0,,D. Lillard makes free throw 2 of 2,65,82
286,3,4:43.0,R. Covington makes 3-pt jump shot from 24 ft (assist by T. Wroten),,68,82
287,3,4:30.0,,Personal foul by K. McDaniels (drawn by V. Claver),68,82
288,3,4:22.0,,D. Lillard makes 2-pt jump shot from 17 ft,68,84
289,3,4:09.0,Turnover by R. Covington (lost ball; steal by V. Claver),,68,84
290,3,4:00.0,,D. Lillard misses 3-pt jump shot from 24 ft,68,84
291,3,3:58.0,Defensive rebound by L. Mbah a Moute,,68,84
292,3,3:50.0,Turnover by R. Covington (traveling),,68,84
293,3,3:50.0,J. Grant enters the game for L. Mbah a Moute,,68,84
294,3,3:50.0,Technical foul by Team,,68,84
295,3,3:50.0,,D. Lillard makes technical free throw,68,85
296,3,3:50.0,M. Carter-Williams enters the game for R. Covington,,68,85
297,3,3:33.0,,D. Lillard misses 2-pt jump shot from 6 ft,68,85
298,3,3:32.0,,Offensive rebound by M. Leonard,68,85
299,3,3:26.0,,V. Claver misses 2-pt layup from 2 ft (block by H. Sims),68,85
300,3,3:24.0,Defensive rebound by T. Wroten,,68,85
301,3,3:19.0,J. Grant misses 2-pt layup from 2 ft (block by A. Crabbe),,68,85
302,3,3:16.0,Offensive rebound by T. Wroten,,68,85
303,3,3:10.0,K. McDaniels makes 2-pt layup at rim,,70,85
304,3,2:54.0,,M. Leonard misses 3-pt jump shot from 25 ft,70,85
305,3,2:53.0,Defensive rebound by T. Wroten,,70,85
306,3,2:38.0,Shooting foul by V. Claver (drawn by T. Wroten),,70,85
307,3,2:38.0,,Portland full timeout,70,85
308,3,2:38.0,,D. Wright enters the game for D. Lillard,70,85
309,3,2:38.0,,W. Matthews enters the game for V. Claver,70,85
310,3,2:38.0,T. Wroten makes free throw 1 of 2,,71,85
311,3,2:38.0,T. Wroten makes free throw 2 of 2,,72,85
312,3,2:14.0,,A. Crabbe misses 2-pt jump shot from 22 ft,72,85
313,3,2:13.0,Defensive rebound by J. Grant,,72,85
314,3,2:04.0,K. McDaniels misses 2-pt layup from 2 ft (block by M. Leonard),,72,85
315,3,2:02.0,Offensive rebound by K. McDaniels,,72,85
316,3,2:01.0,K. McDaniels misses 2-pt layup from 1 ft,,72,85
317,3,1:59.0,,Defensive rebound by D. Wright,72,85
318,3,1:43.0,,A. Crabbe makes 3-pt jump shot from 22 ft (assist by D. Wright),72,88
319,3,1:31.0,Personal foul by D. Wright (drawn by J. Grant),,72,88
320,3,1:31.0,J. Grant misses free throw 1 of 2,,72,88
321,3,1:31.0,Offensive rebound by Team,,72,88
322,3,1:31.0,J. Grant misses free throw 2 of 2,,72,88
323,3,1:30.0,,Defensive rebound by M. Leonard,72,88
324,3,1:15.0,,Turnover by W. Matthews (step out of bounds),72,88
325,3,1:00.0,T. Wroten misses 2-pt layup from 2 ft,,72,88
326,3,1:00.0,,Defensive rebound by M. Leonard,72,88
327,3,0:43.0,,W. Matthews misses 2-pt layup from 1 ft (block by K. McDaniels),72,88
328,3,0:42.0,Defensive rebound by H. Sims,,72,88
329,3,0:32.0,H. Sims misses 2-pt jump shot from 9 ft,,72,88
330,3,0:31.0,Offensive rebound by H. Sims,,72,88
331,3,0:30.0,H. Sims makes 2-pt jump shot from 6 ft,,74,88
332,3,0:16.0,Violation by M. Carter-Williams (kicked ball),,74,88
333,3,0:16.0,,D. Lillard enters the game for M. Leonard,74,88
334,3,0:04.0,,S. Blake misses 3-pt jump shot from 23 ft,74,88
335,3,0:03.0,,Offensive rebound by S. Blake,74,88
336,3,0:02.0,,Turnover by Team (shot clock),74,88
337,3,0:00.0,Turnover by M. Carter-Williams (lost ball; steal by W. Matthews),,74,88
338,4,11:48.0,J. Grant misses 2-pt layup from 1 ft,,74,88
339,4,11:47.0,,Defensive rebound by J. Freeland,74,88
340,4,11:39.0,,C. McCollum makes 3-pt jump shot from 22 ft (assist by D. Wright),74,91
341,4,11:23.0,M. Carter-Williams misses 2-pt layup from 2 ft,,74,91
342,4,11:22.0,Offensive rebound by H. Sims,,74,91
343,4,11:22.0,H. Sims misses 2-pt layup at rim (block by D. Wright),,74,91
344,4,11:19.0,,Defensive rebound by S. Blake,74,91
345,4,11:14.0,,C. McCollum misses 3-pt jump shot from 22 ft,74,91
346,4,11:11.0,,Offensive rebound by J. Freeland,74,91
347,4,11:09.0,,J. Freeland makes 2-pt layup from 2 ft,74,93
348,4,10:59.0,Personal foul by A. Crabbe (drawn by H. Sims),,74,93
349,4,10:59.0,N. Noel enters the game for H. Sims,,74,93
350,4,10:51.0,M. Carter-Williams makes 2-pt layup from 1 ft,,76,93
351,4,10:29.0,,A. Crabbe misses 3-pt jump shot from 23 ft,76,93
352,4,10:28.0,,Offensive rebound by J. Freeland,76,93
353,4,10:21.0,,S. Blake misses 3-pt jump shot from 23 ft,76,93
354,4,10:21.0,,Offensive rebound by Team,76,93
355,4,10:21.0,Loose ball foul by M. Carter-Williams (drawn by J. Freeland),,76,93
356,4,10:13.0,,C. McCollum misses 2-pt dunk at rim (block by N. Noel),76,93
357,4,10:11.0,Defensive rebound by J. Grant,,76,93
358,4,10:06.0,N. Noel makes 2-pt dunk at rim (assist by T. Wroten),,78,93
359,4,9:48.0,,J. Freeland misses 2-pt jump shot from 11 ft,78,93
360,4,9:48.0,Defensive rebound by R. Covington,,78,93
361,4,9:38.0,N. Noel makes 2-pt hook shot from 4 ft,,80,93
362,4,9:38.0,Shooting foul by J. Freeland (drawn by N. Noel),,80,93
363,4,9:38.0,N. Noel misses free throw 1 of 1,,80,93
364,4,9:37.0,,Defensive rebound by A. Crabbe,80,93
365,4,9:26.0,,C. McCollum misses 2-pt jump shot from 3 ft,80,93
366,4,9:25.0,Defensive rebound by N. Noel,,80,93
367,4,9:18.0,Turnover by T. Wroten (bad pass; steal by D. Wright),,80,93
368,4,9:10.0,,D. Wright makes 3-pt jump shot from 23 ft (assist by S. Blake),80,96
369,4,9:10.0,Philadelphia full timeout,,80,96
370,4,8:57.0,T. Wroten makes 2-pt layup from 3 ft (assist by R. Covington),,82,96
371,4,8:35.0,,Turnover by C. McCollum (bad pass; steal by N. Noel),82,96
372,4,8:29.0,J. Grant misses 2-pt layup from 1 ft (block by A. Crabbe),,82,96
373,4,8:27.0,,Defensive rebound by A. Crabbe,82,96
374,4,8:09.0,,N. Batum enters the game for A. Crabbe,82,96
375,4,8:09.0,,D. Lillard enters the game for S. Blake,82,96
376,4,8:09.0,J. Sampson enters the game for J. Grant,,82,96
377,4,8:06.0,,J. Freeland misses 2-pt hook shot from 2 ft (block by N. Noel),82,96
378,4,8:05.0,,Offensive rebound by Team,82,96
379,4,8:05.0,,Turnover by Team (shot clock),82,96
380,4,7:54.0,N. Noel misses 2-pt jump shot from 8 ft,,82,96
381,4,7:53.0,,Defensive rebound by J. Freeland,82,96
