,QUARTER,TIME_REMAINING,DALLAS_ACTION,DETROIT_ACTION,DALLAS_SCORE,DETROIT_SCORE
79,1,3:24.0,,C. Butler enters the game for K. Singler,20,26
80,1,3:24.0,C. Parsons makes free throw 1 of 1,,21,26
81,1,3:19.0,,Shooting foul by B. Wright (drawn by B. Jennings),21,26
82,1,3:19.0,,B. Jennings makes free throw 1 of 2,21,27
83,1,3:19.0,,B. Jennings makes free throw 2 of 2,21,28
84,1,3:03.0,Shooting foul by J. Meeks (drawn by B. Wright),,21,28
85,1,3:03.0,B. Wright makes free throw 1 of 2,,22,28
86,1,3:03.0,B. Wright makes free throw 2 of 2,,23,28
87,1,2:49.0,,J. Meeks makes 2-pt jump shot from 16 ft (assist by B. Jennings),23,30
88,1,2:42.0,M. Ellis makes 2-pt layup at rim (assist by D. Harris),,25,30
89,1,2:26.0,,Turnover by J. Smith (lost ball; steal by D. Harris),25,30
90,1,2:20.0,M. Ellis makes 2-pt layup at rim (assist by D. Harris),,27,30
91,1,2:05.0,,J. Meeks misses 2-pt jump shot from 15 ft,27,30
92,1,2:04.0,Defensive rebound by C. Parsons,,27,30
93,1,1:53.0,D. Harris makes 3-pt jump shot from 25 ft (assist by M. Ellis),,30,30
94,1,1:32.0,,G. Monroe misses 2-pt hook shot from 5 ft (block by B. Wright),30,30
95,1,1:31.0,Defensive rebound by R. Jefferson,,30,30
96,1,1:26.0,C. Parsons makes 2-pt layup at rim,,32,30
97,1,1:18.0,,Detroit full timeout,32,30
98,1,1:18.0,D. Nowitzki enters the game for C. Parsons,,32,30
99,1,1:18.0,J. Barea enters the game for M. Ellis,,32,30
100,1,1:07.0,,J. Meeks misses 3-pt jump shot from 24 ft,32,30
101,1,1:06.0,Defensive rebound by D. Nowitzki,,32,30
102,1,0:56.0,Turnover by D. Harris (palming),,32,30
103,1,0:45.0,,Personal foul by J. Barea (drawn by B. Jennings),32,30
104,1,0:37.0,,B. Jennings misses 3-pt jump shot from 26 ft,32,30
105,1,0:35.0,Defensive rebound by D. Nowitzki,,32,30
106,1,0:14.0,R. Jefferson misses 3-pt jump shot from 24 ft,,32,30
107,1,0:13.0,,Defensive rebound by G. Monroe,32,30
108,1,0:01.0,,B. Jennings misses 3-pt jump shot from 27 ft,32,30
109,1,0:00.0,,Offensive rebound by Team,32,30
110,2,11:46.0,R. Jefferson misses 2-pt jump shot from 15 ft,,32,30
111,2,11:45.0,,Defensive rebound by A. Drummond,32,30
112,2,11:23.0,,G. Monroe makes 2-pt layup from 1 ft (assist by C. Butler),32,32
113,2,11:09.0,B. Wright misses 2-pt layup from 1 ft,,32,32
114,2,11:08.0,,Defensive rebound by G. Monroe,32,32
115,2,10:59.0,,Shooting foul by R. Jefferson (drawn by A. Drummond),32,32
116,2,10:59.0,,A. Drummond misses free throw 1 of 2,32,32
117,2,10:59.0,,Offensive rebound by Team,32,32
118,2,10:59.0,T. Chandler enters the game for B. Wright,,32,32
119,2,10:59.0,,A. Drummond misses free throw 2 of 2,32,32
120,2,10:58.0,Defensive rebound by D. Nowitzki,,32,32
121,2,10:49.0,Turnover by J. Barea (bad pass),,32,32
122,2,10:25.0,,C. Butler makes 3-pt jump shot from 25 ft,32,35
123,2,10:02.0,D. Nowitzki misses 2-pt jump shot from 16 ft (block by A. Drummond),,32,35
124,2,10:01.0,,Defensive rebound by J. Meeks,32,35
125,2,9:58.0,Violation by D. Harris (kicked ball),,32,35
126,2,9:42.0,,G. Monroe misses 2-pt jump shot from 7 ft,32,35
127,2,9:40.0,Defensive rebound by J. Barea,,32,35
128,2,9:34.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,32,35
129,2,9:33.0,,Defensive rebound by G. Monroe,32,35
130,2,9:26.0,,D. Augustin makes 3-pt jump shot from 26 ft,32,38
131,2,9:07.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by D. Harris),,35,38
132,2,8:45.0,,C. Butler misses 3-pt jump shot from 26 ft,35,38
133,2,8:44.0,Defensive rebound by D. Harris,,35,38
134,2,8:35.0,Turnover by R. Jefferson (lost ball; steal by C. Butler),,35,38
135,2,8:30.0,,Shooting foul by R. Jefferson (drawn by A. Drummond),35,38
136,2,8:30.0,Official timeout,,35,38
137,2,8:30.0,J. Crowder enters the game for R. Jefferson,,35,38
138,2,8:30.0,,A. Drummond makes free throw 1 of 2,35,39
139,2,8:30.0,,A. Drummond misses free throw 2 of 2,35,39
140,2,8:29.0,Defensive rebound by D. Nowitzki,,35,39
141,2,8:18.0,Personal foul by G. Monroe (drawn by D. Nowitzki),,35,39
142,2,8:06.0,J. Barea makes 3-pt jump shot from 26 ft (assist by T. Chandler),,38,39
143,2,7:40.0,,C. Butler misses 2-pt jump shot from 8 ft,38,39
144,2,7:39.0,Defensive rebound by D. Nowitzki,,38,39
145,2,7:32.0,D. Harris misses 3-pt jump shot from 27 ft,,38,39
146,2,7:31.0,Offensive rebound by J. Crowder,,38,39
147,2,7:18.0,Turnover by J. Barea (bad pass; steal by A. Drummond),,38,39
148,2,7:12.0,,C. Butler misses 3-pt jump shot from 26 ft,38,39
149,2,7:10.0,Defensive rebound by J. Barea,,38,39
150,2,7:10.0,Personal foul by J. Meeks (drawn by J. Barea),,38,39
151,2,7:10.0,B. Wright enters the game for D. Nowitzki,,38,39
152,2,7:10.0,M. Ellis enters the game for D. Harris,,38,39
153,2,6:59.0,J. Barea misses 3-pt jump shot from 26 ft,,38,39
154,2,6:57.0,,Defensive rebound by A. Drummond,38,39
155,2,6:49.0,,J. Meeks misses 2-pt jump shot from 6 ft (block by B. Wright),38,39
156,2,6:47.0,Defensive rebound by J. Barea,,38,39
157,2,6:47.0,Shooting foul by D. Augustin (drawn by T. Chandler),,38,39
158,2,6:47.0,T. Chandler makes free throw 1 of 2,,39,39
159,2,6:47.0,J. Nelson enters the game for J. Barea,,39,39
160,2,6:47.0,T. Chandler makes free throw 2 of 2,,40,39
161,2,6:35.0,,Turnover by D. Augustin (bad pass; steal by J. Crowder),40,39
162,2,6:30.0,Turnover by J. Crowder (bad pass; steal by A. Drummond),,40,39
163,2,6:27.0,,Shooting foul by J. Nelson (drawn by J. Meeks),40,39
164,2,6:27.0,,J. Meeks makes free throw 1 of 2,40,40
165,2,6:27.0,C. Parsons enters the game for J. Crowder,,40,40
166,2,6:27.0,,K. Singler enters the game for G. Monroe,40,40
167,2,6:27.0,,J. Smith enters the game for C. Butler,40,40
168,2,6:27.0,J. Crowder enters the game for T. Chandler,,40,40
169,2,6:27.0,,J. Meeks makes free throw 2 of 2,40,41
170,2,6:05.0,M. Ellis misses 2-pt jump shot from 20 ft,,40,41
171,2,6:04.0,,Defensive rebound by J. Smith,40,41
172,2,6:01.0,,K. Singler misses 3-pt jump shot from 26 ft,40,41
173,2,6:00.0,Defensive rebound by B. Wright,,40,41
174,2,5:51.0,J. Crowder misses 3-pt jump shot from 23 ft,,40,41
175,2,5:50.0,,Defensive rebound by A. Drummond,40,41
176,2,5:45.0,Violation by C. Parsons (kicked ball),,40,41
177,2,5:45.0,,Detroit full timeout,40,41
178,2,5:45.0,,K. Caldwell-Pope enters the game for J. Meeks,40,41
179,2,5:36.0,,D. Augustin makes 2-pt layup at rim,40,43
180,2,5:20.0,Shooting foul by J. Smith (drawn by C. Parsons),,40,43
181,2,5:20.0,C. Parsons misses free throw 1 of 3,,40,43
182,2,5:20.0,Offensive rebound by Team,,40,43
183,2,5:20.0,C. Parsons makes free throw 2 of 3,,41,43
184,2,5:20.0,C. Parsons makes free throw 3 of 3,,42,43
185,2,5:07.0,,Shooting foul by J. Crowder (drawn by A. Drummond),42,43
186,2,5:07.0,,A. Drummond misses free throw 1 of 2,42,43
187,2,5:07.0,,Offensive rebound by Team,42,43
188,2,5:07.0,,A. Drummond misses free throw 2 of 2,42,43
189,2,5:05.0,Defensive rebound by B. Wright,,42,43
190,2,4:58.0,Turnover by M. Ellis (lost ball; steal by D. Augustin),,42,43
191,2,4:53.0,,D. Augustin misses 2-pt jump shot from 4 ft,42,43
192,2,4:52.0,,Offensive rebound by A. Drummond,42,43
193,2,4:51.0,,A. Drummond makes 2-pt dunk at rim,42,45
194,2,4:51.0,Dallas full timeout,,42,45
195,2,4:51.0,D. Nowitzki enters the game for B. Wright,,42,45
196,2,4:51.0,T. Chandler enters the game for J. Crowder,,42,45
197,2,4:36.0,J. Nelson misses 3-pt jump shot from 24 ft,,42,45
198,2,4:35.0,,Defensive rebound by A. Drummond,42,45
199,2,4:34.0,,Turnover by A. Drummond (bad pass; steal by C. Parsons),42,45
200,2,4:28.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,42,45
201,2,4:26.0,Offensive rebound by T. Chandler,,42,45
202,2,4:19.0,M. Ellis makes 3-pt jump shot from 23 ft (assist by C. Parsons),,45,45
203,2,4:04.0,,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,45,45
204,2,4:03.0,Defensive rebound by C. Parsons,,45,45
205,2,3:47.0,M. Ellis misses 2-pt jump shot from 7 ft,,45,45
206,2,3:46.0,,Defensive rebound by K. Singler,45,45
207,2,3:31.0,,J. Smith makes 2-pt jump shot from 16 ft (assist by D. Augustin),45,47
208,2,3:17.0,Personal foul by K. Singler (drawn by C. Parsons),,45,47
209,2,3:17.0,C. Parsons makes free throw 1 of 2,,46,47
210,2,3:17.0,,C. Butler enters the game for K. Singler,46,47
211,2,3:17.0,C. Parsons makes free throw 2 of 2,,47,47
212,2,3:02.0,,D. Augustin makes 2-pt jump shot from 8 ft,47,49
213,2,2:48.0,M. Ellis misses 2-pt jump shot from 19 ft,,47,49
214,2,2:47.0,,Defensive rebound by A. Drummond,47,49
215,2,2:40.0,,A. Drummond misses 2-pt dunk at rim,47,49
216,2,2:37.0,Defensive rebound by D. Nowitzki,,47,49
217,2,2:28.0,C. Parsons misses 2-pt jump shot from 4 ft (block by A. Drummond),,47,49
218,2,2:26.0,,Defensive rebound by K. Caldwell-Pope,47,49
219,2,2:22.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,47,49
220,2,2:21.0,Defensive rebound by C. Parsons,,47,49
221,2,2:16.0,M. Ellis makes 2-pt layup at rim (assist by C. Parsons),,49,49
222,2,2:00.0,,D. Augustin misses 3-pt jump shot from 26 ft,49,49
223,2,1:59.0,Defensive rebound by T. Chandler,,49,49
224,2,1:37.0,C. Parsons misses 2-pt jump shot from 13 ft,,49,49
225,2,1:36.0,Offensive rebound by T. Chandler,,49,49
226,2,1:36.0,T. Chandler makes 2-pt layup at rim,,51,49
227,2,1:18.0,,K. Caldwell-Pope makes 2-pt jump shot from 4 ft (assist by J. Smith),51,51
228,2,1:01.0,Shooting foul by C. Butler (drawn by D. Nowitzki),,51,51
229,2,1:01.0,D. Nowitzki makes free throw 1 of 2,,52,51
230,2,1:01.0,,G. Monroe enters the game for J. Smith,52,51
231,2,1:01.0,D. Nowitzki makes free throw 2 of 2,,53,51
232,2,0:39.0,,Turnover by A. Drummond (offensive goaltending),53,51
233,2,0:34.0,T. Chandler misses 2-pt layup from 2 ft,,53,51
234,2,0:34.0,Offensive rebound by Team,,53,51
235,2,0:34.0,Dallas full timeout,,53,51
236,2,0:28.0,Turnover by C. Parsons (lost ball; steal by A. Drummond),,53,51
237,2,0:06.0,,D. Augustin misses 2-pt jump shot from 3 ft (block by T. Chandler),53,51
238,2,0:06.0,Defensive rebound by Team,,53,51
239,2,0:03.0,M. Ellis misses 3-pt jump shot from 27 ft,,53,51
240,2,0:01.0,,Defensive rebound by A. Drummond,53,51
241,2,0:01.0,,A. Drummond misses 3-pt jump shot from 82 ft,53,51
242,2,0:00.0,,Offensive rebound by Team,53,51
243,3,11:54.0,Personal foul by K. Singler (drawn by C. Parsons),,53,51
244,3,11:54.0,,C. Butler enters the game for K. Singler,53,51
245,3,11:43.0,Turnover by T. Chandler (3 sec),,53,51
246,3,11:25.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by C. Butler),53,53
247,3,11:25.0,,Shooting foul by M. Ellis (drawn by K. Caldwell-Pope),53,53
248,3,11:25.0,,K. Caldwell-Pope makes free throw 1 of 1,53,54
249,3,11:15.0,C. Parsons makes 2-pt jump shot from 4 ft,,55,54
250,3,10:52.0,,B. Jennings misses 2-pt jump shot from 19 ft,55,54
251,3,10:51.0,Defensive rebound by D. Nowitzki,,55,54
252,3,10:43.0,Turnover by D. Nowitzki (lost ball; steal by J. Smith),,55,54
253,3,10:40.0,,Personal foul by M. Ellis (drawn by B. Jennings),55,54
254,3,10:32.0,,Turnover by B. Jennings (bad pass; steal by M. Ellis),55,54
255,3,10:32.0,Personal foul by J. Smith (drawn by M. Ellis),,55,54
256,3,10:17.0,M. Ellis misses 2-pt jump shot from 14 ft,,55,54
257,3,10:15.0,,Defensive rebound by A. Drummond,55,54
258,3,10:01.0,,J. Smith misses 2-pt layup at rim,55,54
259,3,10:01.0,Defensive rebound by D. Nowitzki,,55,54
260,3,10:01.0,,Loose ball foul by J. Smith (drawn by D. Nowitzki),55,54
261,3,10:01.0,,G. Monroe enters the game for J. Smith,55,54
262,3,9:53.0,J. Nelson misses 2-pt jump shot from 4 ft (block by A. Drummond),,55,54
263,3,9:52.0,,Defensive rebound by B. Jennings,55,54
264,3,9:49.0,,Personal foul by M. Ellis (drawn by B. Jennings),55,54
265,3,9:27.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,55,54
266,3,9:26.0,Defensive rebound by T. Chandler,,55,54
267,3,9:06.0,T. Chandler makes 2-pt dunk at rim (assist by M. Ellis),,57,54
268,3,8:40.0,,G. Monroe misses 2-pt jump shot from 13 ft,57,54
269,3,8:39.0,Defensive rebound by T. Chandler,,57,54
270,3,8:25.0,C. Parsons makes 2-pt jump shot from 16 ft,,59,54
271,3,8:03.0,,B. Jennings makes 2-pt jump shot from 17 ft,59,56
272,3,7:50.0,Personal foul by B. Jennings (drawn by J. Nelson),,59,56
273,3,7:43.0,D. Nowitzki misses 2-pt jump shot from 14 ft,,59,56
274,3,7:42.0,,Defensive rebound by B. Jennings,59,56
275,3,7:23.0,,B. Jennings makes 3-pt jump shot from 25 ft (assist by G. Monroe),59,59
276,3,7:04.0,C. Parsons makes 3-pt jump shot from 25 ft (assist by M. Ellis),,62,59
277,3,6:43.0,,B. Jennings misses 2-pt jump shot from 10 ft,62,59
278,3,6:42.0,Defensive rebound by T. Chandler,,62,59
279,3,6:33.0,Turnover by J. Nelson (bad pass),,62,59
280,3,6:33.0,B. Wright enters the game for D. Nowitzki,,62,59
281,3,6:19.0,,Personal foul by B. Wright (drawn by G. Monroe),62,59
282,3,6:04.0,,G. Monroe misses 2-pt jump shot from 3 ft (block by B. Wright),62,59
283,3,6:02.0,,Offensive rebound by B. Jennings,62,59
284,3,5:59.0,,B. Jennings misses 3-pt jump shot from 28 ft,62,59
285,3,5:58.0,,Offensive rebound by A. Drummond,62,59
286,3,5:57.0,,A. Drummond makes 2-pt layup at rim,62,61
287,3,5:37.0,T. Chandler makes 2-pt jump shot from 15 ft (assist by M. Ellis),,64,61
288,3,5:25.0,,K. Caldwell-Pope misses 2-pt jump shot from 14 ft,64,61
289,3,5:24.0,Defensive rebound by Team,,64,61
290,3,5:24.0,,Loose ball foul by G. Monroe (drawn by T. Chandler),64,61
291,3,5:24.0,,Detroit full timeout,64,61
292,3,5:24.0,T. Chandler makes free throw 1 of 2,,65,61
293,3,5:24.0,T. Chandler misses free throw 2 of 2,,65,61
294,3,5:22.0,,Defensive rebound by A. Drummond,65,61
295,3,5:03.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,65,61
296,3,5:02.0,,Offensive rebound by A. Drummond,65,61
297,3,5:01.0,,A. Drummond misses 2-pt jump shot from 4 ft,65,61
298,3,5:01.0,,Offensive rebound by G. Monroe,65,61
299,3,5:01.0,Loose ball foul by B. Wright (drawn by G. Monroe),,65,61
300,3,5:01.0,,G. Monroe makes free throw 1 of 2,65,62
301,3,5:01.0,,G. Monroe makes free throw 2 of 2,65,63
302,3,4:49.0,M. Ellis makes 2-pt jump shot from 18 ft,,67,63
303,3,4:32.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft,67,66
304,3,4:10.0,Turnover by C. Parsons (bad pass; steal by A. Drummond),,67,66
305,3,4:04.0,,A. Drummond misses 2-pt layup at rim,67,66
306,3,4:02.0,,Offensive rebound by G. Monroe,67,66
307,3,3:56.0,,C. Butler misses 3-pt jump shot from 26 ft,67,66
308,3,3:55.0,Defensive rebound by B. Wright,,67,66
309,3,3:45.0,M. Ellis makes 2-pt jump shot from 19 ft,,69,66
310,3,3:36.0,,B. Jennings makes 2-pt jump shot from 16 ft,69,68
311,3,3:19.0,M. Ellis makes 2-pt jump shot from 16 ft,,71,68
312,3,2:55.0,,B. Jennings misses 2-pt jump shot from 19 ft,71,68
313,3,2:54.0,Defensive rebound by J. Nelson,,71,68
314,3,2:47.0,Shooting foul by G. Monroe (drawn by C. Parsons),,71,68
315,3,2:47.0,Dallas full timeout,,71,68
316,3,2:47.0,,J. Meeks enters the game for K. Caldwell-Pope,71,68
317,3,2:47.0,D. Harris enters the game for T. Chandler,,71,68
318,3,2:47.0,D. Nowitzki enters the game for J. Nelson,,71,68
319,3,2:47.0,C. Parsons makes free throw 1 of 2,,72,68
320,3,2:47.0,C. Parsons makes free throw 2 of 2,,73,68
321,3,2:34.0,,A. Drummond misses 2-pt dunk at rim,73,68
322,3,2:31.0,Defensive rebound by C. Parsons,,73,68
323,3,2:19.0,M. Ellis makes 2-pt jump shot from 17 ft,,75,68
324,3,2:02.0,,C. Butler makes 2-pt jump shot from 15 ft (assist by B. Jennings),75,70
325,3,1:46.0,B. Wright makes 2-pt dunk at rim (assist by M. Ellis),,77,70
326,3,1:31.0,,Turnover by G. Monroe (lost ball; steal by D. Harris),77,70
327,3,1:28.0,C. Parsons makes 2-pt layup at rim (assist by D. Harris),,79,70
328,3,1:28.0,Shooting foul by J. Meeks (drawn by C. Parsons),,79,70
329,3,1:28.0,,J. Jerebko enters the game for A. Drummond,79,70
330,3,1:28.0,J. Crowder enters the game for M. Ellis,,79,70
331,3,1:28.0,C. Parsons makes free throw 1 of 1,,80,70
332,3,1:12.0,,C. Butler misses 2-pt jump shot from 15 ft,80,70
333,3,1:12.0,Defensive rebound by Team,,80,70
334,3,0:58.0,C. Parsons makes 3-pt jump shot from 28 ft (assist by D. Harris),,83,70
335,3,0:46.0,,Turnover by J. Meeks (bad pass; steal by C. Parsons),83,70
336,3,0:40.0,D. Harris misses 2-pt jump shot from 3 ft,,83,70
337,3,0:40.0,Offensive rebound by C. Parsons,,83,70
338,3,0:40.0,C. Parsons misses 2-pt layup at rim,,83,70
339,3,0:40.0,,Defensive rebound by Team,83,70
340,3,0:40.0,J. Barea enters the game for C. Parsons,,83,70
341,3,0:40.0,A. Aminu enters the game for D. Nowitzki,,83,70
342,3,0:30.0,,J. Meeks misses 3-pt jump shot from 27 ft,83,70
343,3,0:29.0,Defensive rebound by Team,,83,70
344,3,0:11.0,A. Aminu misses 2-pt layup from 1 ft,,83,70
345,3,0:10.0,,Defensive rebound by J. Jerebko,83,70
346,3,0:01.0,,C. Butler makes 3-pt jump shot from 25 ft (assist by B. Jennings),83,73
347,4,11:43.0,,J. Meeks misses 2-pt jump shot from 6 ft,83,73
348,4,11:42.0,Defensive rebound by J. Barea,,83,73
349,4,11:33.0,Turnover by D. Harris (offensive foul),,83,73
350,4,11:33.0,Offensive foul by D. Harris (drawn by J. Jerebko),,83,73
351,4,11:19.0,,Personal foul by D. Nowitzki (drawn by J. Jerebko),83,73
352,4,11:19.0,,J. Jerebko makes free throw 1 of 2,83,74
353,4,11:19.0,,J. Jerebko makes free throw 2 of 2,83,75
354,4,10:58.0,D. Harris makes 3-pt jump shot from 23 ft (assist by J. Barea),,86,75
355,4,10:38.0,,J. Meeks misses 2-pt jump shot from 12 ft,86,75
356,4,10:37.0,Defensive rebound by B. Wright,,86,75
357,4,10:16.0,J. Crowder makes 2-pt jump shot from 14 ft (assist by D. Harris),,88,75
358,4,10:15.0,,Detroit full timeout,88,75
359,4,9:54.0,,A. Drummond misses 2-pt jump shot from 7 ft,88,75
360,4,9:53.0,Defensive rebound by D. Nowitzki,,88,75
361,4,9:40.0,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by J. Barea),,90,75
362,4,9:17.0,,C. Butler misses 3-pt jump shot from 26 ft,90,75
363,4,9:15.0,Defensive rebound by D. Harris,,90,75
364,4,9:11.0,B. Wright makes 2-pt dunk at rim (assist by J. Barea),,92,75
365,4,8:46.0,,J. Jerebko makes 3-pt jump shot from 23 ft (assist by C. Butler),92,78
366,4,8:29.0,B. Wright makes 2-pt layup from 1 ft (assist by D. Nowitzki),,94,78
367,4,8:26.0,,Detroit full timeout,94,78
368,4,8:26.0,,K. Singler enters the game for C. Butler,94,78
369,4,8:14.0,,Shooting foul by D. Harris (drawn by J. Meeks),94,78
370,4,8:14.0,,J. Meeks makes free throw 1 of 2,94,79
371,4,8:14.0,,J. Meeks makes free throw 2 of 2,94,80
372,4,8:00.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,94,80
373,4,7:59.0,Offensive rebound by B. Wright,,94,80
374,4,7:41.0,J. Crowder misses 3-pt jump shot from 26 ft,,94,80
375,4,7:40.0,,Defensive rebound by J. Jerebko,94,80
376,4,7:34.0,,Turnover by J. Jerebko (bad pass; steal by D. Nowitzki),94,80
377,4,7:29.0,Personal foul by D. Augustin (drawn by B. Wright),,94,80
378,4,7:29.0,T. Chandler enters the game for D. Nowitzki,,94,80
379,4,7:29.0,M. Ellis enters the game for B. Wright,,94,80
380,4,7:29.0,C. Parsons enters the game for J. Barea,,94,80
381,4,7:22.0,T. Chandler misses 2-pt jump shot from 5 ft,,94,80
382,4,7:21.0,,Defensive rebound by A. Drummond,94,80
383,4,7:06.0,,A. Drummond makes 2-pt layup at rim,94,82
