,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHARLOTTE_ACTION,PORTLAND_SCORE,CHARLOTTE_SCORE
33,1,8:06.0,,A. Jefferson misses 2-pt jump shot from 5 ft,13,4
34,1,8:05.0,Defensive rebound by L. Aldridge,,13,4
35,1,7:57.0,D. Lillard misses 2-pt jump shot from 19 ft,,13,4
36,1,7:56.0,,Defensive rebound by L. Stephenson,13,4
37,1,7:48.0,,Shooting foul by R. Lopez (drawn by G. Henderson),13,4
38,1,7:48.0,,G. Henderson makes free throw 1 of 2,13,5
39,1,7:48.0,,G. Henderson makes free throw 2 of 2,13,6
40,1,7:38.0,W. Matthews misses 3-pt jump shot from 27 ft,,13,6
41,1,7:35.0,,Defensive rebound by G. Henderson,13,6
42,1,7:27.0,,K. Walker misses 2-pt jump shot from 16 ft,13,6
43,1,7:26.0,Defensive rebound by R. Lopez,,13,6
44,1,7:13.0,Turnover by L. Aldridge (lost ball; steal by L. Stephenson),,13,6
45,1,7:08.0,,L. Stephenson makes 2-pt layup at rim (assist by M. Williams),13,8
46,1,6:51.0,R. Lopez misses 2-pt jump shot from 15 ft,,13,8
47,1,6:51.0,Offensive rebound by Team,,13,8
48,1,6:51.0,,Loose ball foul by M. Williams (drawn by L. Aldridge),13,8
49,1,6:37.0,L. Aldridge misses 2-pt jump shot from 21 ft,,13,8
50,1,6:36.0,,Defensive rebound by A. Jefferson,13,8
51,1,6:31.0,,L. Stephenson makes 2-pt layup at rim,13,10
52,1,6:31.0,,Shooting foul by W. Matthews (drawn by L. Stephenson),13,10
53,1,6:31.0,,L. Stephenson misses free throw 1 of 1,13,10
54,1,6:29.0,Defensive rebound by N. Batum,,13,10
55,1,6:20.0,W. Matthews makes 2-pt jump shot from 6 ft,,15,10
56,1,6:20.0,Shooting foul by L. Stephenson (drawn by W. Matthews),,15,10
57,1,6:20.0,W. Matthews makes free throw 1 of 1,,16,10
58,1,6:01.0,,G. Henderson makes 2-pt jump shot from 19 ft (assist by A. Jefferson),16,12
59,1,5:35.0,L. Aldridge misses 2-pt jump shot from 9 ft,,16,12
60,1,5:32.0,Offensive rebound by R. Lopez,,16,12
61,1,5:32.0,R. Lopez makes 2-pt tip-in at rim,,18,12
62,1,5:15.0,,A. Jefferson makes 2-pt jump shot from 5 ft,18,14
63,1,4:59.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by R. Lopez),,21,14
64,1,4:43.0,,L. Stephenson makes 2-pt jump shot from 19 ft,21,16
65,1,4:41.0,Portland full timeout,,21,16
66,1,4:41.0,S. Blake enters the game for W. Matthews,,21,16
67,1,4:41.0,,C. Zeller enters the game for M. Williams,21,16
68,1,4:30.0,N. Batum makes 2-pt jump shot from 20 ft (assist by L. Aldridge),,23,16
69,1,4:10.0,,K. Walker misses 2-pt jump shot from 15 ft,23,16
70,1,4:08.0,Defensive rebound by S. Blake,,23,16
71,1,3:56.0,S. Blake misses 3-pt jump shot from 23 ft,,23,16
72,1,3:55.0,,Defensive rebound by A. Jefferson,23,16
73,1,3:49.0,,Personal foul by S. Blake (drawn by G. Henderson),23,16
74,1,3:49.0,C. Kaman enters the game for R. Lopez,,23,16
75,1,3:49.0,,B. Biyombo enters the game for L. Stephenson,23,16
76,1,3:49.0,,B. Roberts enters the game for A. Jefferson,23,16
77,1,3:40.0,,C. Zeller makes 2-pt jump shot from 18 ft (assist by G. Henderson),23,18
78,1,3:21.0,L. Aldridge misses 2-pt jump shot from 8 ft,,23,18
79,1,3:20.0,,Defensive rebound by G. Henderson,23,18
80,1,3:06.0,,C. Zeller makes 2-pt jump shot from 3 ft (assist by K. Walker),23,20
81,1,2:53.0,D. Lillard makes 2-pt layup from 1 ft,,25,20
82,1,2:42.0,,B. Roberts makes 2-pt jump shot from 16 ft (assist by K. Walker),25,22
83,1,2:30.0,Turnover by N. Batum (traveling),,25,22
84,1,2:30.0,,Charlotte full timeout,25,22
85,1,2:30.0,,P. Hairston enters the game for G. Henderson,25,22
86,1,2:30.0,A. Crabbe enters the game for N. Batum,,25,22
87,1,2:30.0,W. Matthews enters the game for D. Lillard,,25,22
88,1,2:21.0,,Def 3 sec tech foul by C. Kaman,25,22
89,1,2:21.0,,B. Roberts makes technical free throw,25,23
90,1,2:11.0,,P. Hairston misses 3-pt jump shot from 25 ft,25,23
91,1,2:09.0,Defensive rebound by A. Crabbe,,25,23
92,1,1:46.0,L. Aldridge misses 2-pt jump shot from 21 ft,,25,23
93,1,1:45.0,,Defensive rebound by Team,25,23
94,1,1:36.0,,K. Walker misses 2-pt jump shot from 17 ft,25,23
95,1,1:35.0,Defensive rebound by C. Kaman,,25,23
96,1,1:23.0,C. Kaman misses 2-pt jump shot from 14 ft,,25,23
97,1,1:22.0,,Defensive rebound by P. Hairston,25,23
98,1,1:06.0,,B. Biyombo misses 2-pt jump shot from 6 ft,25,23
99,1,1:04.0,Defensive rebound by C. Kaman,,25,23
100,1,0:42.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by S. Blake),,28,23
101,1,0:27.0,,B. Roberts makes 3-pt jump shot from 26 ft (assist by K. Walker),28,26
102,1,0:04.0,L. Aldridge misses 2-pt jump shot from 10 ft,,28,26
103,1,0:03.0,,Defensive rebound by Team,28,26
104,1,0:03.0,Technical foul by C. Kaman,,28,26
105,1,0:03.0,,B. Roberts misses technical free throw,28,26
106,1,0:03.0,,Offensive rebound by Team,28,26
107,2,11:49.0,,Offensive foul by B. Biyombo (drawn by W. Matthews),28,26
108,2,11:49.0,,Turnover by B. Biyombo (offensive foul),28,26
109,2,11:36.0,Shooting foul by B. Biyombo (drawn by S. Blake),,28,26
110,2,11:36.0,C. Kaman makes free throw 1 of 2,,29,26
111,2,11:36.0,C. Kaman makes free throw 2 of 2,,30,26
112,2,11:27.0,,C. Zeller misses 2-pt jump shot from 3 ft,30,26
113,2,11:25.0,,Offensive rebound by B. Biyombo,30,26
114,2,11:25.0,,B. Biyombo misses 2-pt layup at rim,30,26
115,2,11:22.0,Defensive rebound by J. Freeland,,30,26
116,2,11:19.0,J. Freeland misses 2-pt layup from 2 ft,,30,26
117,2,11:04.0,,Defensive rebound by Team,30,26
118,2,10:49.0,,P. Hairston misses 2-pt jump shot from 13 ft,30,26
119,2,10:49.0,Defensive rebound by Team,,30,26
120,2,10:26.0,C. Kaman misses 2-pt hook shot from 2 ft (block by B. Biyombo),,30,26
121,2,10:24.0,,Defensive rebound by C. Zeller,30,26
122,2,10:16.0,,C. Zeller misses 2-pt layup from 1 ft,30,26
123,2,10:13.0,,Offensive rebound by B. Biyombo,30,26
124,2,10:10.0,,B. Biyombo makes 2-pt layup from 1 ft,30,28
125,2,10:01.0,W. Matthews misses 3-pt jump shot from 26 ft,,30,28
126,2,10:00.0,,Defensive rebound by B. Roberts,30,28
127,2,9:53.0,,B. Roberts makes 2-pt jump shot from 14 ft,30,30
128,2,9:39.0,Turnover by J. Freeland (bad pass),,30,30
129,2,9:29.0,,C. Zeller misses 2-pt jump shot from 21 ft,30,30
130,2,9:28.0,Defensive rebound by A. Crabbe,,30,30
131,2,9:09.0,C. Kaman makes 2-pt layup from 1 ft,,32,30
132,2,8:54.0,,B. Roberts makes 2-pt layup from 1 ft (assist by L. Stephenson),32,32
133,2,8:40.0,C. Kaman misses 2-pt layup from 2 ft,,32,32
134,2,8:39.0,,Defensive rebound by C. Zeller,32,32
135,2,8:30.0,,L. Stephenson misses 2-pt layup at rim,32,32
136,2,8:29.0,Defensive rebound by J. Freeland,,32,32
137,2,8:21.0,S. Blake makes 3-pt jump shot from 27 ft (assist by W. Matthews),,35,32
138,2,8:01.0,,B. Roberts makes 3-pt jump shot from 24 ft (assist by C. Zeller),35,35
139,2,7:45.0,C. Kaman misses 2-pt jump shot from 15 ft,,35,35
140,2,7:44.0,,Defensive rebound by C. Zeller,35,35
141,2,7:33.0,,C. Zeller makes 2-pt jump shot from 19 ft (assist by B. Roberts),35,37
142,2,7:32.0,Portland full timeout,,35,37
143,2,7:32.0,,A. Jefferson enters the game for C. Zeller,35,37
144,2,7:32.0,,M. Williams enters the game for B. Biyombo,35,37
145,2,7:32.0,R. Lopez enters the game for W. Matthews,,35,37
146,2,7:32.0,N. Batum enters the game for C. Kaman,,35,37
147,2,7:31.0,D. Lillard enters the game for S. Blake,,35,37
148,2,7:17.0,N. Batum misses 3-pt jump shot from 26 ft,,35,37
149,2,7:16.0,,Defensive rebound by L. Stephenson,35,37
150,2,7:03.0,,B. Roberts makes 2-pt jump shot from 7 ft,35,39
151,2,6:49.0,D. Lillard misses 2-pt layup from 2 ft,,35,39
152,2,6:46.0,Offensive rebound by J. Freeland,,35,39
153,2,6:46.0,J. Freeland misses 2-pt tip-in at rim,,35,39
154,2,6:45.0,Offensive rebound by J. Freeland,,35,39
155,2,6:42.0,A. Crabbe misses 3-pt jump shot from 29 ft,,35,39
156,2,6:41.0,,Defensive rebound by P. Hairston,35,39
157,2,6:33.0,,A. Jefferson makes 2-pt jump shot from 16 ft (assist by L. Stephenson),35,41
158,2,6:15.0,D. Lillard misses 3-pt jump shot from 26 ft,,35,41
159,2,6:14.0,,Defensive rebound by A. Jefferson,35,41
160,2,6:02.0,,A. Jefferson makes 2-pt jump shot from 15 ft (assist by L. Stephenson),35,43
161,2,5:40.0,J. Freeland makes 2-pt jump shot from 17 ft (assist by N. Batum),,37,43
162,2,5:21.0,,M. Williams misses 3-pt jump shot from 26 ft,37,43
163,2,5:20.0,Defensive rebound by N. Batum,,37,43
164,2,5:11.0,N. Batum makes 2-pt jump shot from 15 ft,,39,43
165,2,4:57.0,,Personal foul by R. Lopez (drawn by A. Jefferson),39,43
166,2,4:57.0,Official timeout,,39,43
167,2,4:57.0,L. Aldridge enters the game for J. Freeland,,39,43
168,2,4:57.0,,G. Henderson enters the game for B. Roberts,39,43
169,2,4:57.0,,K. Walker enters the game for P. Hairston,39,43
170,2,4:42.0,,L. Stephenson misses 2-pt jump shot from 14 ft,39,43
171,2,4:41.0,Defensive rebound by L. Aldridge,,39,43
172,2,4:36.0,N. Batum makes 2-pt layup from 2 ft (assist by D. Lillard),,41,43
173,2,4:21.0,,L. Stephenson misses 2-pt jump shot from 22 ft,41,43
174,2,4:19.0,,Offensive rebound by A. Jefferson,41,43
175,2,4:19.0,,A. Jefferson makes 2-pt dunk at rim,41,45
176,2,4:07.0,Personal foul by G. Henderson (drawn by N. Batum),,41,45
177,2,4:05.0,Shooting foul by M. Williams (drawn by R. Lopez),,41,45
178,2,4:05.0,R. Lopez makes free throw 1 of 2,,42,45
179,2,4:05.0,,C. Zeller enters the game for M. Williams,42,45
180,2,4:05.0,R. Lopez makes free throw 2 of 2,,43,45
181,2,3:46.0,,C. Zeller makes 2-pt layup from 1 ft (assist by L. Stephenson),43,47
182,2,3:46.0,,Shooting foul by A. Crabbe (drawn by C. Zeller),43,47
183,2,3:46.0,,C. Zeller makes free throw 1 of 1,43,48
184,2,3:35.0,Personal foul by C. Zeller (drawn by L. Aldridge),,43,48
185,2,3:24.0,L. Aldridge misses 2-pt jump shot from 6 ft,,43,48
186,2,3:22.0,,Defensive rebound by A. Jefferson,43,48
187,2,3:15.0,,Turnover by C. Zeller (bad pass; steal by N. Batum),43,48
188,2,3:08.0,A. Crabbe misses 3-pt jump shot from 23 ft,,43,48
189,2,3:08.0,Offensive rebound by Team,,43,48
190,2,3:08.0,,Loose ball foul by K. Walker (drawn by L. Aldridge),43,48
191,2,3:08.0,L. Aldridge makes free throw 1 of 2,,44,48
192,2,3:08.0,W. Matthews enters the game for A. Crabbe,,44,48
193,2,3:08.0,L. Aldridge makes free throw 2 of 2,,45,48
194,2,2:54.0,,G. Henderson makes 2-pt jump shot from 18 ft (assist by K. Walker),45,50
195,2,2:34.0,Turnover by D. Lillard (bad pass; steal by L. Stephenson),,45,50
196,2,2:29.0,,L. Stephenson misses 2-pt layup at rim,45,50
197,2,2:25.0,,Offensive rebound by G. Henderson,45,50
198,2,2:18.0,,A. Jefferson misses 2-pt layup at rim,45,50
199,2,2:17.0,,Offensive rebound by L. Stephenson,45,50
200,2,2:17.0,,L. Stephenson makes 2-pt tip-in from 1 ft,45,52
201,2,1:55.0,W. Matthews misses 2-pt jump shot from 6 ft,,45,52
202,2,1:53.0,,Defensive rebound by L. Stephenson,45,52
203,2,1:32.0,,A. Jefferson misses 2-pt jump shot from 18 ft (block by L. Aldridge),45,52
204,2,1:32.0,,Offensive rebound by Team,45,52
205,2,1:32.0,,Charlotte full timeout,45,52
206,2,1:32.0,,B. Roberts enters the game for L. Stephenson,45,52
207,2,1:30.0,,A. Jefferson makes 2-pt jump shot from 14 ft (assist by B. Roberts),45,54
208,2,1:06.0,L. Aldridge misses 2-pt jump shot from 20 ft,,45,54
209,2,1:05.0,,Defensive rebound by G. Henderson,45,54
210,2,0:48.0,,A. Jefferson misses 2-pt jump shot from 6 ft,45,54
211,2,0:47.0,Defensive rebound by R. Lopez,,45,54
212,2,0:42.0,Turnover by N. Batum (bad pass; steal by C. Zeller),,45,54
213,2,0:31.0,,B. Roberts misses 2-pt layup from 1 ft,45,54
214,2,0:29.0,,Offensive rebound by C. Zeller,45,54
215,2,0:07.0,,A. Jefferson makes 2-pt jump shot from 6 ft (assist by K. Walker),45,56
216,2,0:07.0,Portland full timeout,,45,56
217,2,0:07.0,,P. Hairston enters the game for G. Henderson,45,56
218,2,0:07.0,,B. Biyombo enters the game for A. Jefferson,45,56
219,2,0:07.0,S. Blake enters the game for R. Lopez,,45,56
220,2,0:07.0,,G. Henderson enters the game for B. Biyombo,45,56
221,2,0:03.0,D. Lillard misses 2-pt layup from 1 ft (block by C. Zeller),,45,56
222,2,0:01.0,Offensive rebound by L. Aldridge,,45,56
223,2,0:01.0,L. Aldridge misses 2-pt tip-in at rim,,45,56
224,2,0:00.0,Offensive rebound by Team,,45,56
225,3,11:39.0,,G. Henderson makes 2-pt jump shot from 8 ft (assist by L. Stephenson),45,58
226,3,11:14.0,N. Batum misses 3-pt jump shot from 26 ft,,45,58
227,3,11:12.0,,Defensive rebound by L. Stephenson,45,58
228,3,11:01.0,,C. Zeller misses 2-pt layup from 1 ft (block by L. Aldridge),45,58
229,3,11:01.0,Defensive rebound by Team,,45,58
230,3,10:46.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Lillard),,48,58
231,3,10:29.0,,C. Zeller misses 2-pt layup from 2 ft (block by L. Aldridge),48,58
232,3,10:29.0,,Offensive rebound by Team,48,58
233,3,10:23.0,,K. Walker misses 3-pt jump shot from 25 ft,48,58
234,3,10:22.0,Defensive rebound by L. Aldridge,,48,58
235,3,10:06.0,L. Aldridge misses 2-pt jump shot from 14 ft,,48,58
236,3,10:05.0,,Defensive rebound by K. Walker,48,58
237,3,10:03.0,,Personal foul by D. Lillard (drawn by K. Walker),48,58
238,3,9:57.0,,L. Stephenson misses 2-pt jump shot from 17 ft,48,58
239,3,9:56.0,Defensive rebound by L. Aldridge,,48,58
240,3,9:49.0,D. Lillard makes 2-pt jump shot from 19 ft,,50,58
241,3,9:22.0,,A. Jefferson misses 2-pt jump shot from 15 ft,50,58
242,3,9:21.0,Defensive rebound by D. Lillard,,50,58
243,3,9:15.0,R. Lopez makes 2-pt layup from 1 ft (assist by N. Batum),,52,58
244,3,9:15.0,Shooting foul by C. Zeller (drawn by R. Lopez),,52,58
245,3,9:15.0,R. Lopez makes free throw 1 of 1,,53,58
246,3,8:55.0,,G. Henderson makes 2-pt dunk at rim (assist by A. Jefferson),53,60
247,3,8:36.0,Personal foul by C. Zeller (drawn by L. Aldridge),,53,60
248,3,8:31.0,N. Batum misses 2-pt jump shot from 20 ft,,53,60
249,3,8:30.0,,Defensive rebound by L. Stephenson,53,60
250,3,8:17.0,,L. Stephenson misses 3-pt jump shot from 25 ft,53,60
251,3,8:16.0,Defensive rebound by L. Aldridge,,53,60
252,3,8:04.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Lillard),,56,60
253,3,8:04.0,,Charlotte full timeout,56,60
254,3,8:04.0,,B. Roberts enters the game for L. Stephenson,56,60
255,3,7:42.0,,K. Walker makes 2-pt layup from 2 ft (assist by A. Jefferson),56,62
256,3,7:42.0,,Shooting foul by R. Lopez (drawn by K. Walker),56,62
257,3,7:42.0,,K. Walker makes free throw 1 of 1,56,63
258,3,7:22.0,L. Aldridge makes 2-pt jump shot from 9 ft,,58,63
259,3,7:18.0,,Charlotte full timeout,58,63
260,3,7:18.0,,P. Hairston enters the game for K. Walker,58,63
261,3,7:07.0,,P. Hairston misses 3-pt jump shot from 25 ft,58,63
262,3,7:06.0,Defensive rebound by R. Lopez,,58,63
263,3,6:58.0,L. Aldridge misses 2-pt jump shot from 21 ft,,58,63
264,3,6:57.0,,Defensive rebound by G. Henderson,58,63
265,3,6:41.0,,Turnover by P. Hairston (bad pass; steal by D. Lillard),58,63
266,3,6:39.0,D. Lillard makes 2-pt layup from 2 ft,,60,63
267,3,6:39.0,,Violation by G. Henderson (def goaltending),60,63
268,3,6:39.0,Shooting foul by P. Hairston (drawn by D. Lillard),,60,63
269,3,6:39.0,D. Lillard makes free throw 1 of 1,,61,63
270,3,6:24.0,,B. Roberts makes 2-pt jump shot from 7 ft,61,65
271,3,5:59.0,L. Aldridge misses 2-pt jump shot from 15 ft,,61,65
272,3,5:57.0,Offensive rebound by W. Matthews,,61,65
273,3,5:53.0,W. Matthews makes 3-pt jump shot from 27 ft,,64,65
274,3,5:38.0,,G. Henderson makes 2-pt jump shot from 20 ft (assist by C. Zeller),64,67
275,3,5:19.0,W. Matthews makes 2-pt jump shot from 19 ft,,66,67
276,3,4:55.0,,B. Roberts makes 2-pt jump shot,66,69
277,3,4:42.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,69,69
278,3,4:21.0,,B. Roberts misses 2-pt jump shot from 20 ft,69,69
279,3,4:19.0,Defensive rebound by N. Batum,,69,69
280,3,4:11.0,L. Aldridge misses 2-pt jump shot from 18 ft,,69,69
281,3,4:10.0,Offensive rebound by R. Lopez,,69,69
282,3,4:07.0,R. Lopez makes 2-pt layup from 1 ft,,71,69
283,3,3:59.0,,Charlotte full timeout,71,69
284,3,3:59.0,S. Blake enters the game for R. Lopez,,71,69
285,3,3:59.0,C. Kaman enters the game for W. Matthews,,71,69
286,3,3:59.0,,J. Maxiell enters the game for C. Zeller,71,69
287,3,3:43.0,,J. Maxiell misses 2-pt jump shot from 10 ft,71,69
288,3,3:41.0,Defensive rebound by L. Aldridge,,71,69
289,3,3:24.0,C. Kaman makes 2-pt hook shot from 7 ft,,73,69
290,3,3:13.0,,Turnover by B. Roberts (bad pass; steal by N. Batum),73,69
291,3,3:10.0,Shooting foul by P. Hairston (drawn by L. Aldridge),,73,69
292,3,3:10.0,L. Aldridge makes free throw 1 of 2,,74,69
293,3,3:10.0,,K. Walker enters the game for G. Henderson,74,69
294,3,3:10.0,L. Aldridge misses free throw 2 of 2,,74,69
295,3,3:09.0,,Defensive rebound by A. Jefferson,74,69
296,3,2:57.0,,Personal foul by C. Kaman (drawn by A. Jefferson),74,69
297,3,2:57.0,A. Crabbe enters the game for D. Lillard,,74,69
298,3,2:42.0,,K. Walker misses 2-pt layup from 1 ft,74,69
299,3,2:41.0,Defensive rebound by C. Kaman,,74,69
300,3,2:29.0,C. Kaman misses 2-pt jump shot from 13 ft (block by A. Jefferson),,74,69
301,3,2:27.0,,Defensive rebound by A. Jefferson,74,69
302,3,2:21.0,,Personal foul by S. Blake (drawn by B. Roberts),74,69
303,3,2:16.0,,B. Roberts misses 2-pt jump shot from 17 ft,74,69
304,3,2:14.0,Defensive rebound by L. Aldridge,,74,69
305,3,2:03.0,L. Aldridge misses 2-pt jump shot from 9 ft,,74,69
306,3,2:01.0,Offensive rebound by C. Kaman,,74,69
307,3,1:51.0,L. Aldridge misses 2-pt jump shot from 17 ft,,74,69
308,3,1:49.0,,Defensive rebound by A. Jefferson,74,69
309,3,1:34.0,,Shooting foul by C. Kaman (drawn by A. Jefferson),74,69
310,3,1:34.0,,A. Jefferson makes free throw 1 of 2,74,70
311,3,1:34.0,,A. Jefferson makes free throw 2 of 2,74,71
312,3,1:16.0,C. Kaman makes 2-pt jump shot from 12 ft (assist by A. Crabbe),,76,71
313,3,1:02.0,,A. Jefferson misses 2-pt jump shot from 3 ft,76,71
314,3,1:00.0,Defensive rebound by L. Aldridge,,76,71
315,3,0:45.0,L. Aldridge makes 2-pt jump shot from 4 ft,,78,71
316,3,0:30.0,,A. Jefferson makes 2-pt jump shot from 10 ft (assist by K. Walker),78,73
317,3,0:30.0,,Shooting foul by N. Batum (drawn by A. Jefferson),78,73
318,3,0:30.0,W. Matthews enters the game for N. Batum,,78,73
319,3,0:30.0,,A. Jefferson makes free throw 1 of 1,78,74
320,3,0:30.0,Portland full timeout,,78,74
321,3,0:30.0,,B. Biyombo enters the game for A. Jefferson,78,74
322,3,0:21.0,Personal foul by J. Maxiell (drawn by S. Blake),,78,74
323,3,0:21.0,S. Blake makes free throw 1 of 2,,79,74
324,3,0:21.0,R. Lopez enters the game for L. Aldridge,,79,74
325,3,0:21.0,S. Blake misses free throw 2 of 2,,79,74
326,3,0:20.0,,Defensive rebound by B. Biyombo,79,74
327,3,0:03.0,,K. Walker makes 2-pt jump shot from 5 ft,79,76
328,3,0:01.0,S. Blake misses 3-pt jump shot from 40 ft,,79,76
329,3,0:00.0,Offensive rebound by Team,,79,76
330,4,11:45.0,C. Kaman makes 2-pt jump shot from 4 ft,,81,76
331,4,11:29.0,,K. Walker makes 2-pt jump shot from 7 ft (assist by J. Maxiell),81,78
332,4,11:29.0,,Shooting foul by S. Blake (drawn by K. Walker),81,78
333,4,11:29.0,,K. Walker makes free throw 1 of 1,81,79
334,4,11:17.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by S. Blake),,84,79
335,4,11:09.0,,Offensive foul by P. Hairston (drawn by W. Matthews),84,79
336,4,11:09.0,,Turnover by P. Hairston (offensive foul),84,79
337,4,10:55.0,W. Matthews makes 2-pt jump shot from 11 ft (assist by C. Kaman),,86,79
338,4,10:55.0,Shooting foul by B. Roberts (drawn by W. Matthews),,86,79
339,4,10:55.0,W. Matthews makes free throw 1 of 1,,87,79
340,4,10:44.0,,B. Roberts misses 2-pt jump shot from 20 ft,87,79
341,4,10:43.0,Defensive rebound by C. Kaman,,87,79
342,4,10:34.0,C. Kaman misses 2-pt jump shot from 10 ft,,87,79
343,4,10:34.0,,Defensive rebound by Team,87,79
344,4,10:34.0,Loose ball foul by J. Freeland (drawn by J. Maxiell),,87,79
345,4,10:13.0,,P. Hairston misses 2-pt jump shot from 8 ft,87,79
346,4,10:12.0,Defensive rebound by C. Kaman,,87,79
347,4,9:59.0,W. Matthews misses 3-pt jump shot from 26 ft,,87,79
348,4,9:56.0,,Defensive rebound by K. Walker,87,79
349,4,9:48.0,,K. Walker misses 2-pt jump shot from 14 ft,87,79
350,4,9:47.0,,Offensive rebound by K. Walker,87,79
351,4,9:39.0,,P. Hairston makes 3-pt jump shot from 25 ft (assist by K. Walker),87,82
352,4,9:26.0,Offensive foul by W. Matthews (drawn by K. Walker),,87,82
353,4,9:26.0,Turnover by W. Matthews (offensive foul),,87,82
354,4,9:26.0,D. Lillard enters the game for A. Crabbe,,87,82
355,4,9:15.0,,K. Walker misses 2-pt jump shot from 14 ft,87,82
356,4,9:14.0,Defensive rebound by S. Blake,,87,82
357,4,9:05.0,Offensive foul by W. Matthews (drawn by P. Hairston),,87,82
358,4,9:05.0,Turnover by W. Matthews (offensive foul),,87,82
359,4,9:05.0,,Technical foul by P. Hairston,87,82
360,4,9:05.0,D. Lillard makes technical free throw,,88,82
361,4,8:47.0,,B. Roberts misses 3-pt jump shot from 25 ft,88,82
362,4,8:45.0,Defensive rebound by D. Lillard,,88,82
363,4,8:37.0,D. Lillard makes 3-pt jump shot from 24 ft (assist by S. Blake),,91,82
364,4,8:18.0,,Personal foul by S. Blake (drawn by K. Walker),91,82
365,4,8:18.0,Official timeout,,91,82
366,4,8:18.0,N. Batum enters the game for W. Matthews,,91,82
367,4,8:18.0,,A. Jefferson enters the game for B. Biyombo,91,82
368,4,8:18.0,,C. Zeller enters the game for P. Hairston,91,82
369,4,8:18.0,,G. Henderson enters the game for J. Maxiell,91,82
370,4,8:08.0,,Turnover by K. Walker (lost ball; steal by S. Blake),91,82
371,4,7:57.0,C. Kaman misses 2-pt jump shot from 20 ft,,91,82
372,4,7:56.0,,Defensive rebound by C. Zeller,91,82
373,4,7:46.0,,A. Jefferson misses 2-pt jump shot from 6 ft,91,82
374,4,7:45.0,Defensive rebound by N. Batum,,91,82
375,4,7:25.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by C. Kaman),,94,82
376,4,6:58.0,,B. Roberts misses 2-pt jump shot from 17 ft,94,82
377,4,6:57.0,Defensive rebound by C. Kaman,,94,82
378,4,6:47.0,C. Kaman makes 2-pt jump shot from 17 ft (assist by D. Lillard),,96,82
379,4,6:40.0,,Charlotte full timeout,96,82
380,4,6:40.0,L. Aldridge enters the game for C. Kaman,,96,82
381,4,6:40.0,R. Lopez enters the game for J. Freeland,,96,82
382,4,6:35.0,,B. Roberts makes 2-pt jump shot from 15 ft (assist by C. Zeller),96,84
