,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
120,2,9:28.0,,Defensive rebound by C. Landry,34,31
121,2,9:17.0,,Personal foul by N. Robinson (drawn by R. McCallum),34,31
122,2,9:08.0,,Turnover by C. Landry (lost ball; steal by D. Arthur),34,31
123,2,9:04.0,Turnover by J. Hickson (lost ball; steal by D. Cousins),,34,31
124,2,8:47.0,,N. Stauskas makes 3-pt jump shot from 24 ft (assist by D. Cousins),34,34
125,2,8:39.0,Denver full timeout,,34,34
126,2,8:39.0,K. Faried enters the game for D. Arthur,,34,34
127,2,8:39.0,J. Nurkić enters the game for J. Hickson,,34,34
128,2,8:27.0,J. Nurkić misses 2-pt hook shot from 6 ft,,34,34
129,2,8:27.0,,Defensive rebound by D. Williams,34,34
130,2,8:22.0,,Shooting foul by N. Robinson (drawn by D. Williams),34,34
131,2,8:22.0,,D. Williams misses free throw 1 of 2,34,34
132,2,8:22.0,,Offensive rebound by Team,34,34
133,2,8:22.0,,D. Williams misses free throw 2 of 2,34,34
134,2,8:22.0,Defensive rebound by A. Gee,,34,34
135,2,8:08.0,Turnover by K. Faried (bad pass; steal by D. Cousins),,34,34
136,2,8:00.0,,D. Cousins makes 2-pt layup from 3 ft,34,36
137,2,7:46.0,J. Nurkić makes 2-pt layup from 2 ft (assist by N. Robinson),,36,36
138,2,7:29.0,,C. Landry misses 2-pt jump shot from 4 ft,36,36
139,2,7:28.0,Defensive rebound by A. Gee,,36,36
140,2,7:20.0,A. Gee makes 3-pt jump shot from 23 ft (assist by N. Robinson),,39,36
141,2,7:02.0,,C. Landry makes 2-pt layup from 1 ft (assist by D. Cousins),39,38
142,2,6:56.0,Denver full timeout,,39,38
143,2,6:56.0,,D. Collison enters the game for C. Landry,39,38
144,2,6:56.0,,R. Gay enters the game for R. McCallum,39,38
145,2,6:56.0,,J. Thompson enters the game for D. Williams,39,38
146,2,6:56.0,T. Lawson enters the game for A. Gee,,39,38
147,2,6:56.0,A. Afflalo enters the game for G. Harris,,39,38
148,2,6:56.0,,R. McCallum enters the game for N. Stauskas,39,38
149,2,6:43.0,Offensive foul by J. Nurkić (drawn by D. Cousins),,39,38
150,2,6:43.0,Turnover by J. Nurkić (offensive foul),,39,38
151,2,6:43.0,D. Arthur enters the game for J. Nurkić,,39,38
152,2,6:43.0,J. Hickson enters the game for N. Robinson,,39,38
153,2,6:43.0,,B. McLemore enters the game for R. McCallum,39,38
154,2,6:26.0,Violation by J. Hickson (def goaltending),,39,38
155,2,6:26.0,,D. Collison makes 2-pt jump shot from 3 ft (assist by J. Thompson),39,40
156,2,6:11.0,A. Afflalo makes 2-pt jump shot from 16 ft (assist by T. Lawson),,41,40
157,2,5:47.0,,D. Cousins misses 2-pt jump shot from 6 ft,41,40
158,2,5:47.0,Defensive rebound by A. Afflalo,,41,40
159,2,5:29.0,T. Lawson misses 2-pt jump shot from 16 ft,,41,40
160,2,5:29.0,,Defensive rebound by D. Cousins,41,40
161,2,5:22.0,,D. Collison misses 2-pt jump shot from 7 ft (block by T. Lawson),41,40
162,2,5:21.0,Defensive rebound by K. Faried,,41,40
163,2,5:16.0,K. Faried misses 2-pt layup from 2 ft,,41,40
164,2,5:14.0,Offensive rebound by J. Hickson,,41,40
165,2,5:14.0,J. Hickson makes 2-pt tip-in from 1 ft,,43,40
166,2,4:50.0,,D. Cousins misses 2-pt jump shot from 21 ft,43,40
167,2,4:49.0,,Offensive rebound by J. Thompson,43,40
168,2,4:43.0,,R. Gay makes 2-pt jump shot from 19 ft,43,42
169,2,4:20.0,J. Hickson makes 2-pt jump shot from 9 ft,,45,42
170,2,4:05.0,,R. Gay makes 3-pt jump shot from 25 ft (assist by D. Collison),45,45
171,2,3:47.0,K. Faried misses 2-pt layup from 2 ft (block by D. Cousins),,45,45
172,2,3:45.0,Offensive rebound by K. Faried,,45,45
173,2,3:39.0,J. Hickson makes 2-pt jump shot from 4 ft,,47,45
174,2,3:24.0,,B. McLemore misses 3-pt jump shot from 25 ft,47,45
175,2,3:24.0,Defensive rebound by K. Faried,,47,45
176,2,3:06.0,A. Afflalo misses 2-pt jump shot from 9 ft,,47,45
177,2,3:06.0,,Defensive rebound by D. Cousins,47,45
178,2,2:49.0,,R. Gay makes 2-pt jump shot from 13 ft,47,47
179,2,2:30.0,J. Hickson makes 2-pt layup from 2 ft (assist by K. Faried),,49,47
180,2,2:25.0,,Shooting foul by A. Afflalo (drawn by B. McLemore),49,47
181,2,2:25.0,Official timeout,,49,47
182,2,2:25.0,,B. McLemore makes free throw 1 of 2,49,48
183,2,2:25.0,,B. McLemore makes free throw 2 of 2,49,49
184,2,2:14.0,Turnover by A. Afflalo (bad pass; steal by D. Collison),,49,49
185,2,2:08.0,,D. Collison makes 2-pt layup from 1 ft,49,51
186,2,1:52.0,D. Arthur misses 3-pt jump shot from 24 ft,,49,51
187,2,1:51.0,,Defensive rebound by D. Cousins,49,51
188,2,1:49.0,,R. Gay makes 2-pt dunk at rim (assist by D. Collison),49,53
189,2,1:35.0,K. Faried makes 2-pt jump shot from 3 ft (assist by T. Lawson),,51,53
190,2,1:26.0,,D. Collison makes 2-pt jump shot from 4 ft,51,55
191,2,1:17.0,A. Afflalo misses 2-pt jump shot from 5 ft (block by D. Cousins),,51,55
192,2,1:16.0,Offensive rebound by A. Afflalo,,51,55
193,2,1:13.0,T. Lawson makes 3-pt jump shot from 24 ft (assist by A. Afflalo),,54,55
194,2,1:02.0,,Sacramento full timeout,54,55
195,2,1:02.0,G. Harris enters the game for D. Arthur,,54,55
