,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,OKLAHOMA CITY_ACTION,PHILADELPHIA_SCORE,OKLAHOMA CITY_SCORE
157,2,8:30.0,,Turnover by D. Augustin (traveling),38,41
158,2,8:12.0,I. Smith makes 2-pt jump shot from 3 ft,,40,41
159,2,7:58.0,,D. Waiters makes 2-pt jump shot from 16 ft,40,43
160,2,7:50.0,I. Smith misses 2-pt jump shot from 6 ft,,40,43
161,2,7:48.0,,Defensive rebound by N. Collison,40,43
162,2,7:37.0,,D. Waiters makes 2-pt layup from 1 ft,40,45
163,2,7:24.0,Def 3 sec tech foul by N. Collison,,40,45
164,2,7:24.0,J. Richardson makes technical free throw,,41,45
165,2,7:24.0,,S. Ibaka enters the game for N. Collison,41,45
166,2,7:24.0,,E. Freedom enters the game for A. Morrow,41,45
167,2,7:24.0,,R. Westbrook enters the game for M. McGary,41,45
168,2,7:15.0,J. Sampson makes 2-pt layup from 2 ft,,43,45
169,2,6:55.0,,D. Waiters misses 2-pt jump shot from 18 ft,43,45
170,2,6:54.0,Defensive rebound by J. Richardson,,43,45
171,2,6:49.0,,Violation by S. Ibaka (def goaltending),43,45
172,2,6:49.0,J. Richardson makes 2-pt layup from 1 ft,,45,45
173,2,6:34.0,,D. Augustin misses 2-pt jump shot from 3 ft (block by N. Noel),45,45
174,2,6:32.0,Defensive rebound by I. Smith,,45,45
175,2,6:27.0,J. Sampson misses 3-pt jump shot from 22 ft,,45,45
176,2,6:26.0,,Defensive rebound by R. Westbrook,45,45
177,2,6:20.0,,R. Westbrook makes 2-pt jump shot from 17 ft,45,47
178,2,6:02.0,Personal foul by E. Freedom (drawn by N. Noel),,45,47
179,2,6:02.0,I. Canaan enters the game for I. Smith,,45,47
180,2,5:51.0,Shooting foul by S. Ibaka (drawn by L. Mbah a Moute),,45,47
181,2,5:51.0,,Oklahoma City full timeout,45,47
182,2,5:51.0,L. Mbah a Moute misses free throw 1 of 2,,45,47
183,2,5:51.0,Offensive rebound by Team,,45,47
184,2,5:51.0,L. Mbah a Moute misses free throw 2 of 2,,45,47
185,2,5:50.0,,Defensive rebound by D. Waiters,45,47
186,2,5:33.0,,D. Augustin misses 3-pt jump shot from 24 ft,45,47
187,2,5:32.0,Defensive rebound by J. Richardson,,45,47
188,2,5:17.0,L. Mbah a Moute misses 2-pt layup from 1 ft (block by S. Ibaka),,45,47
189,2,5:16.0,,Defensive rebound by E. Freedom,45,47
190,2,5:04.0,,S. Ibaka misses 2-pt layup from 1 ft,45,47
191,2,5:03.0,Defensive rebound by L. Mbah a Moute,,45,47
192,2,4:59.0,J. Sampson makes 2-pt jump shot from 3 ft,,47,47
193,2,4:59.0,Shooting foul by D. Augustin (drawn by J. Sampson),,47,47
194,2,4:59.0,H. Thompson enters the game for J. Richardson,,47,47
195,2,4:59.0,J. Sampson makes free throw 1 of 1,,48,47
196,2,4:46.0,,D. Augustin makes 2-pt jump shot from 2 ft,48,49
197,2,4:34.0,N. Noel makes 2-pt hook shot from 4 ft,,50,49
198,2,4:26.0,,K. Singler enters the game for D. Waiters,50,49
199,2,4:18.0,,E. Freedom makes 2-pt layup from 1 ft (assist by R. Westbrook),50,51
200,2,4:01.0,L. Mbah a Moute misses 3-pt jump shot from 22 ft,,50,51
201,2,4:00.0,,Defensive rebound by K. Singler,50,51
202,2,3:55.0,,Shooting foul by J. Sampson (drawn by R. Westbrook),50,51
203,2,3:55.0,,R. Westbrook makes free throw 1 of 2,50,52
204,2,3:55.0,T. Robinson enters the game for J. Sampson,,50,52
205,2,3:55.0,,R. Westbrook misses free throw 2 of 2,50,52
206,2,3:55.0,Defensive rebound by I. Canaan,,50,52
207,2,3:40.0,T. Robinson misses 2-pt layup from 1 ft,,50,52
208,2,3:39.0,Offensive rebound by T. Robinson,,50,52
209,2,3:36.0,T. Robinson misses 2-pt layup from 2 ft,,50,52
210,2,3:35.0,Offensive rebound by L. Mbah a Moute,,50,52
211,2,3:35.0,L. Mbah a Moute misses 2-pt layup from 1 ft,,50,52
212,2,3:35.0,Offensive rebound by L. Mbah a Moute,,50,52
213,2,3:35.0,Shooting foul by K. Singler (drawn by L. Mbah a Moute),,50,52
214,2,3:35.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,52,52
215,2,3:35.0,,M. McGary enters the game for S. Ibaka,52,52
216,2,3:35.0,L. Mbah a Moute makes free throw 1 of 1,,53,52
217,2,3:19.0,,E. Freedom misses 2-pt layup at rim,53,52
218,2,3:18.0,Defensive rebound by T. Robinson,,53,52
219,2,3:07.0,I. Canaan misses 3-pt jump shot from 24 ft,,53,52
220,2,3:07.0,,Defensive rebound by K. Singler,53,52
221,2,3:01.0,,R. Westbrook misses 2-pt jump shot from 16 ft,53,52
222,2,3:00.0,Defensive rebound by L. Mbah a Moute,,53,52
223,2,2:46.0,Turnover by H. Thompson (lost ball; steal by R. Westbrook),,53,52
224,2,2:42.0,,R. Westbrook makes 2-pt layup at rim (assist by D. Augustin),53,54
225,2,2:41.0,Philadelphia full timeout,,53,54
226,2,2:27.0,N. Noel misses 2-pt jump shot from 16 ft,,53,54
227,2,2:26.0,,Defensive rebound by R. Westbrook,53,54
228,2,2:07.0,,Turnover by K. Singler (bad pass; steal by N. Noel),53,54
229,2,2:02.0,I. Canaan makes 2-pt layup from 3 ft,,55,54
230,2,1:39.0,,R. Westbrook misses 2-pt jump shot from 15 ft,55,54
231,2,1:38.0,Defensive rebound by N. Noel,,55,54
232,2,1:29.0,L. Mbah a Moute misses 2-pt jump shot from 23 ft,,55,54
233,2,1:28.0,,Defensive rebound by M. McGary,55,54
234,2,1:16.0,,D. Augustin misses 2-pt layup from 1 ft,55,54
235,2,1:14.0,,Offensive rebound by E. Freedom,55,54
236,2,1:14.0,,E. Freedom makes 2-pt tip-in from 1 ft,55,56
237,2,0:57.0,N. Noel misses 2-pt dunk at rim,,55,56
238,2,0:55.0,Offensive rebound by T. Robinson,,55,56
239,2,0:53.0,Shooting foul by R. Westbrook (drawn by N. Noel),,55,56
240,2,0:53.0,N. Noel makes free throw 1 of 2,,56,56
241,2,0:53.0,,N. Collison enters the game for E. Freedom,56,56
242,2,0:53.0,N. Noel makes free throw 2 of 2,,57,56
243,2,0:46.0,,Personal foul by T. Robinson (drawn by N. Collison),57,56
244,2,0:34.0,,M. McGary misses 2-pt jump shot from 5 ft,57,56
245,2,0:33.0,Defensive rebound by T. Robinson,,57,56
246,2,0:32.0,Personal foul by M. McGary (drawn by T. Robinson),,57,56
247,2,0:32.0,T. Robinson makes free throw 1 of 2,,58,56
248,2,0:32.0,T. Robinson makes free throw 2 of 2,,59,56
249,2,0:13.0,,R. Westbrook misses 2-pt layup from 2 ft,59,56
250,2,0:12.0,Defensive rebound by I. Canaan,,59,56
251,2,0:03.0,Turnover by I. Canaan (lost ball),,59,56
252,2,0:00.0,,R. Westbrook misses 2-pt jump shot from 6 ft (block by N. Noel),59,56
253,2,0:00.0,,Offensive rebound by Team,59,56
254,3,11:50.0,J. Richardson misses 3-pt jump shot from 23 ft,,59,56
255,3,11:49.0,,Defensive rebound by E. Freedom,59,56
256,3,11:36.0,,E. Freedom misses 2-pt hook shot from 3 ft,59,56
257,3,11:36.0,,Offensive rebound by Team,59,56
258,3,11:36.0,Loose ball foul by L. Mbah a Moute (drawn by S. Ibaka),,59,56
259,3,11:27.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by R. Westbrook),59,58
260,3,11:05.0,L. Mbah a Moute misses 2-pt jump shot from 19 ft,,59,58
261,3,11:04.0,Offensive rebound by L. Mbah a Moute,,59,58
262,3,11:00.0,I. Canaan makes 3-pt jump shot from 25 ft (assist by L. Mbah a Moute),,62,58
263,3,10:45.0,,Personal foul by J. Sampson (drawn by R. Westbrook),62,58
264,3,10:39.0,,R. Westbrook makes 2-pt layup from 1 ft,62,60
265,3,10:16.0,N. Noel misses 2-pt jump shot from 9 ft,,62,60
266,3,10:15.0,,Defensive rebound by K. Singler,62,60
267,3,10:07.0,,Offensive foul by S. Ibaka (drawn by J. Sampson),62,60
268,3,10:07.0,,Turnover by S. Ibaka (offensive foul),62,60
269,3,10:07.0,J. Grant enters the game for J. Sampson,,62,60
270,3,9:56.0,Personal foul by A. Roberson (drawn by J. Richardson),,62,60
271,3,9:49.0,Shooting foul by S. Ibaka (drawn by L. Mbah a Moute),,62,60
272,3,9:49.0,L. Mbah a Moute makes free throw 1 of 2,,63,60
273,3,9:49.0,L. Mbah a Moute makes free throw 2 of 2,,64,60
274,3,9:32.0,,Turnover by S. Ibaka (bad pass),64,60
275,3,9:18.0,J. Richardson misses 3-pt jump shot from 23 ft,,64,60
276,3,9:17.0,,Defensive rebound by R. Westbrook,64,60
277,3,9:09.0,,R. Westbrook misses 2-pt jump shot from 11 ft,64,60
278,3,9:07.0,,Offensive rebound by E. Freedom,64,60
279,3,9:07.0,,E. Freedom misses 2-pt layup from 1 ft,64,60
280,3,9:06.0,Defensive rebound by J. Grant,,64,60
281,3,8:49.0,L. Mbah a Moute makes 2-pt layup at rim,,66,60
282,3,8:35.0,,K. Singler misses 3-pt jump shot from 24 ft,66,60
283,3,8:34.0,Defensive rebound by L. Mbah a Moute,,66,60
284,3,8:28.0,Shooting foul by R. Westbrook (drawn by I. Canaan),,66,60
285,3,8:28.0,I. Canaan makes free throw 1 of 3,,67,60
286,3,8:28.0,I. Canaan makes free throw 2 of 3,,68,60
287,3,8:28.0,T. Robinson enters the game for L. Mbah a Moute,,68,60
288,3,8:28.0,I. Canaan makes free throw 3 of 3,,69,60
289,3,8:07.0,,K. Singler misses 3-pt jump shot from 22 ft,69,60
290,3,8:06.0,Defensive rebound by N. Noel,,69,60
291,3,7:58.0,I. Canaan makes 3-pt jump shot from 24 ft,,72,60
292,3,7:58.0,,Oklahoma City full timeout,72,60
293,3,7:58.0,,D. Augustin enters the game for K. Singler,72,60
294,3,7:58.0,,D. Waiters enters the game for A. Roberson,72,60
295,3,7:42.0,,D. Augustin misses 3-pt jump shot from 24 ft,72,60
296,3,7:41.0,Defensive rebound by T. Robinson,,72,60
297,3,7:20.0,I. Canaan makes 3-pt jump shot from 24 ft (assist by N. Noel),,75,60
298,3,7:06.0,,R. Westbrook makes 2-pt jump shot from 17 ft,75,62
299,3,6:50.0,Personal foul by E. Freedom (drawn by N. Noel),,75,62
300,3,6:42.0,T. Robinson misses 2-pt jump shot from 16 ft,,75,62
301,3,6:42.0,,Defensive rebound by E. Freedom,75,62
302,3,6:34.0,,R. Westbrook makes 2-pt jump shot from 14 ft (assist by D. Waiters),75,64
303,3,6:21.0,J. Richardson makes 2-pt jump shot from 19 ft (assist by T. Robinson),,77,64
304,3,6:06.0,,R. Westbrook misses 2-pt layup from 2 ft (block by N. Noel),77,64
305,3,6:05.0,Defensive rebound by T. Robinson,,77,64
306,3,5:59.0,J. Grant misses 2-pt layup from 2 ft (block by S. Ibaka),,77,64
307,3,5:57.0,Offensive rebound by T. Robinson,,77,64
308,3,5:52.0,T. Robinson misses 2-pt jump shot from 15 ft,,77,64
309,3,5:49.0,,Defensive rebound by R. Westbrook,77,64
310,3,5:47.0,Violation by T. Robinson (def goaltending),,77,64
311,3,5:47.0,,E. Freedom makes 2-pt layup from 2 ft (assist by R. Westbrook),77,66
312,3,5:33.0,J. Richardson makes 3-pt jump shot from 24 ft (assist by I. Canaan),,80,66
313,3,5:15.0,,R. Westbrook misses 2-pt jump shot from 5 ft (block by N. Noel),80,66
314,3,5:13.0,Defensive rebound by I. Canaan,,80,66
315,3,5:09.0,J. Richardson makes 2-pt jump shot from 6 ft (assist by I. Canaan),,82,66
316,3,4:54.0,,D. Waiters makes 2-pt jump shot from 15 ft,82,68
317,3,4:33.0,Turnover by J. Grant (lost ball; steal by E. Freedom),,82,68
318,3,4:31.0,,Shooting foul by J. Richardson (drawn by R. Westbrook),82,68
319,3,4:31.0,,R. Westbrook makes free throw 1 of 2,82,69
320,3,4:31.0,,M. McGary enters the game for S. Ibaka,82,69
321,3,4:31.0,,R. Westbrook makes free throw 2 of 2,82,70
322,3,4:16.0,Shooting foul by D. Waiters (drawn by J. Richardson),,82,70
323,3,4:16.0,J. Richardson makes free throw 1 of 2,,83,70
324,3,4:16.0,J. Richardson makes free throw 2 of 2,,84,70
325,3,4:04.0,,R. Westbrook misses 3-pt jump shot from 23 ft,84,70
326,3,4:03.0,Defensive rebound by T. Robinson,,84,70
327,3,3:58.0,N. Noel makes 2-pt dunk at rim (assist by J. Richardson),,86,70
328,3,3:38.0,,D. Waiters makes 2-pt jump shot from 14 ft (assist by R. Westbrook),86,72
329,3,3:37.0,Philadelphia full timeout,,86,72
330,3,3:37.0,,N. Collison enters the game for E. Freedom,86,72
331,3,3:37.0,L. Mbah a Moute enters the game for J. Richardson,,86,72
332,3,3:16.0,L. Mbah a Moute makes 2-pt jump shot from 13 ft,,88,72
333,3,3:01.0,,D. Waiters makes 2-pt jump shot from 14 ft,88,74
334,3,2:53.0,Turnover by J. Grant (traveling),,88,74
335,3,2:53.0,I. Smith enters the game for I. Canaan,,88,74
336,3,2:53.0,H. Sims enters the game for N. Noel,,88,74
337,3,2:40.0,,R. Westbrook misses 3-pt jump shot from 24 ft,88,74
338,3,2:39.0,,Offensive rebound by R. Westbrook,88,74
339,3,2:39.0,,Shooting foul by T. Robinson (drawn by R. Westbrook),88,74
340,3,2:39.0,,R. Westbrook makes free throw 1 of 2,88,75
341,3,2:39.0,,R. Westbrook makes free throw 2 of 2,88,76
342,3,2:27.0,J. Grant misses 3-pt jump shot from 22 ft,,88,76
343,3,2:27.0,Offensive rebound by Team,,88,76
344,3,2:27.0,,Loose ball foul by N. Collison (drawn by H. Sims),88,76
345,3,2:27.0,H. Sims makes free throw 1 of 2,,89,76
346,3,2:27.0,H. Thompson enters the game for J. Grant,,89,76
347,3,2:27.0,,A. Morrow enters the game for R. Westbrook,89,76
348,3,2:27.0,H. Sims makes free throw 2 of 2,,90,76
349,3,2:14.0,,D. Waiters makes 2-pt layup from 1 ft,90,78
350,3,2:14.0,,Shooting foul by L. Mbah a Moute (drawn by D. Waiters),90,78
351,3,2:14.0,,D. Waiters makes free throw 1 of 1,90,79
352,3,1:54.0,H. Thompson misses 2-pt layup from 2 ft (block by M. McGary),,90,79
353,3,1:52.0,Offensive rebound by H. Thompson,,90,79
354,3,1:49.0,L. Mbah a Moute misses 2-pt jump shot from 16 ft,,90,79
355,3,1:48.0,,Defensive rebound by D. Waiters,90,79
356,3,1:42.0,,A. Morrow misses 3-pt jump shot from 23 ft,90,79
357,3,1:39.0,,Offensive rebound by N. Collison,90,79
358,3,1:26.0,,D. Waiters makes 3-pt jump shot from 24 ft (assist by D. Augustin),90,82
359,3,0:58.0,H. Thompson misses 2-pt jump shot from 15 ft,,90,82
360,3,0:57.0,,Defensive rebound by N. Collison,90,82
361,3,0:52.0,,A. Morrow misses 3-pt jump shot from 24 ft,90,82
362,3,0:50.0,Defensive rebound by L. Mbah a Moute,,90,82
363,3,0:35.0,Personal foul by N. Collison (drawn by I. Smith),,90,82
364,3,0:35.0,I. Smith misses free throw 1 of 2,,90,82
365,3,0:35.0,Offensive rebound by Team,,90,82
366,3,0:35.0,N. Noel enters the game for T. Robinson,,90,82
367,3,0:35.0,I. Smith misses free throw 2 of 2,,90,82
368,3,0:34.0,,Defensive rebound by D. Augustin,90,82
369,3,0:28.0,,D. Augustin makes 2-pt layup from 1 ft,90,84
370,3,0:07.0,Turnover by N. Noel (lost ball),,90,84
371,3,0:02.0,,D. Waiters misses 2-pt jump shot from 16 ft,90,84
372,3,0:01.0,Defensive rebound by N. Noel,,90,84
373,4,11:50.0,,Shooting foul by I. Smith (drawn by D. Augustin),90,84
374,4,11:50.0,,D. Augustin makes free throw 1 of 2,90,85
375,4,11:50.0,,D. Augustin makes free throw 2 of 2,90,86
376,4,11:38.0,L. Mbah a Moute misses 2-pt layup from 2 ft (block by M. McGary),,90,86
377,4,11:36.0,,Defensive rebound by N. Collison,90,86
378,4,11:23.0,,D. Augustin makes 2-pt jump shot from 6 ft,90,88
379,4,10:55.0,H. Thompson misses 3-pt jump shot from 23 ft,,90,88
380,4,10:54.0,Offensive rebound by H. Sims,,90,88
381,4,10:51.0,H. Sims misses 2-pt layup from 2 ft,,90,88
