,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
65,1,1:09.0,,T. Lawson makes 3-pt jump shot from 25 ft (assist by J. Hickson),22,27
66,1,0:55.0,M. Conley misses 2-pt jump shot from 4 ft,,22,27
67,1,0:53.0,,Defensive rebound by J. Nurkić,22,27
68,1,0:51.0,,J. Hickson misses 2-pt layup from 1 ft,22,27
69,1,0:50.0,,Offensive rebound by J. Hickson,22,27
70,1,0:49.0,,Shooting foul by Q. Pondexter (drawn by J. Hickson),22,27
71,1,0:49.0,,J. Hickson makes free throw 1 of 2,22,28
72,1,0:49.0,N. Calathes enters the game for M. Conley,,22,28
73,1,0:49.0,,J. Hickson makes free throw 2 of 2,22,29
74,1,0:27.0,V. Carter misses 3-pt jump shot from 31 ft,,22,29
75,1,0:26.0,,Defensive rebound by T. Lawson,22,29
76,1,0:06.0,,Turnover by T. Lawson (bad pass),22,29
77,1,0:05.0,Turnover by V. Carter (bad pass),,22,29
78,1,0:00.0,,T. Lawson makes 3-pt jump shot from 27 ft,22,32
79,2,11:41.0,T. Prince misses 2-pt layup at rim,,22,32
80,2,11:40.0,,Defensive rebound by D. Arthur,22,32
81,2,11:31.0,,W. Chandler misses 3-pt jump shot from 23 ft,22,32
82,2,11:30.0,Defensive rebound by K. Koufos,,22,32
83,2,11:20.0,Turnover by N. Calathes (bad pass; steal by J. Nurkić),,22,32
84,2,11:12.0,,J. Nurkić misses 2-pt layup from 2 ft,22,32
85,2,11:11.0,Defensive rebound by T. Prince,,22,32
86,2,11:03.0,V. Carter misses 3-pt jump shot from 25 ft,,22,32
87,2,11:01.0,,Defensive rebound by J. Nurkić,22,32
88,2,10:49.0,,T. Lawson misses 2-pt jump shot from 15 ft (block by N. Calathes),22,32
89,2,10:46.0,Defensive rebound by T. Prince,,22,32
90,2,10:35.0,V. Carter makes 2-pt jump shot from 8 ft,,24,32
91,2,10:10.0,,J. Nurkić misses 2-pt hook shot from 5 ft,24,32
92,2,10:09.0,Defensive rebound by N. Calathes,,24,32
93,2,10:00.0,N. Calathes makes 2-pt jump shot from 6 ft,,26,32
94,2,9:50.0,,Turnover by J. Hickson (traveling),26,32
95,2,9:50.0,,N. Robinson enters the game for T. Lawson,26,32
96,2,9:26.0,T. Prince misses 2-pt jump shot from 8 ft,,26,32
97,2,9:25.0,Offensive rebound by T. Prince,,26,32
98,2,9:10.0,V. Carter makes 2-pt dunk at rim,,28,32
99,2,9:09.0,,Denver full timeout,28,32
100,2,8:54.0,,J. Hickson makes 2-pt hook shot from 4 ft,28,34
101,2,8:35.0,Turnover by T. Prince (traveling),,28,34
102,2,8:35.0,Official timeout,,28,34
103,2,8:20.0,,Shooting foul by Q. Pondexter (drawn by W. Chandler),28,34
104,2,8:20.0,,W. Chandler makes free throw 1 of 2,28,35
105,2,8:20.0,,W. Chandler makes free throw 2 of 2,28,36
106,2,8:06.0,Personal foul by W. Chandler (drawn by T. Prince),,28,36
107,2,7:55.0,Q. Pondexter misses 3-pt jump shot from 24 ft,,28,36
108,2,7:53.0,,Defensive rebound by J. Nurkić,28,36
109,2,7:46.0,,N. Robinson misses 3-pt jump shot from 24 ft,28,36
110,2,7:42.0,,Offensive rebound by J. Nurkić,28,36
111,2,7:41.0,,J. Nurkić misses 2-pt tip-in from 2 ft,28,36
112,2,7:40.0,Defensive rebound by K. Koufos,,28,36
113,2,7:34.0,K. Koufos makes 2-pt layup from 2 ft (assist by N. Calathes),,30,36
114,2,7:31.0,,K. Faried enters the game for J. Hickson,30,36
115,2,7:16.0,,J. Nurkić makes 2-pt jump shot from 5 ft (assist by N. Robinson),30,38
116,2,6:59.0,V. Carter misses 3-pt jump shot from 24 ft,,30,38
117,2,6:57.0,,Defensive rebound by K. Faried,30,38
118,2,6:44.0,,J. Nurkić misses 2-pt jump shot from 5 ft,30,38
119,2,6:43.0,Defensive rebound by K. Koufos,,30,38
120,2,6:43.0,Personal foul by D. Arthur (drawn by K. Koufos),,30,38
121,2,6:43.0,J. Stokes enters the game for Q. Pondexter,,30,38
122,2,6:43.0,,A. Afflalo enters the game for D. Arthur,30,38
123,2,6:27.0,Turnover by V. Carter (bad pass),,30,38
124,2,6:08.0,,Turnover by W. Chandler (bad pass),30,38
125,2,5:55.0,V. Carter misses 2-pt jump shot from 19 ft,,30,38
126,2,5:54.0,,Defensive rebound by K. Faried,30,38
127,2,5:44.0,,W. Chandler misses 2-pt jump shot from 5 ft,30,38
128,2,5:43.0,Defensive rebound by J. Stokes,,30,38
129,2,5:35.0,J. Stokes misses 2-pt layup from 1 ft,,30,38
130,2,5:34.0,,Defensive rebound by J. Nurkić,30,38
131,2,5:26.0,,A. Afflalo misses 3-pt jump shot from 25 ft,30,38
132,2,5:25.0,Defensive rebound by K. Koufos,,30,38
133,2,5:09.0,N. Calathes misses 2-pt layup from 2 ft (block by J. Nurkić),,30,38
134,2,5:07.0,,Defensive rebound by K. Faried,30,38
135,2,5:05.0,,N. Robinson makes 2-pt layup from 2 ft (assist by K. Faried),30,40
136,2,5:05.0,,Denver full timeout,30,40
137,2,5:05.0,,T. Mozgov enters the game for J. Nurkić,30,40
138,2,5:05.0,C. Lee enters the game for K. Koufos,,30,40
139,2,5:05.0,M. Conley enters the game for V. Carter,,30,40
140,2,5:05.0,M. Gasol enters the game for N. Calathes,,30,40
141,2,5:05.0,,N. Robinson misses flagrant free throw 1 of 2,30,40
142,2,5:05.0,,Offensive rebound by Team,30,40
143,2,5:05.0,,N. Robinson misses flagrant free throw 2 of 2,30,40
144,2,5:05.0,,Offensive rebound by Team,30,40
145,2,5:05.0,,T. Lawson enters the game for N. Robinson,30,40
146,2,4:47.0,,K. Faried makes 2-pt jump shot from 6 ft,30,42
147,2,4:47.0,,Shooting foul by J. Stokes (drawn by K. Faried),30,42
148,2,4:47.0,,K. Faried makes free throw 1 of 1,30,43
149,2,4:29.0,J. Stokes misses 2-pt jump shot from 1 ft,,30,43
150,2,4:29.0,Offensive rebound by J. Stokes,,30,43
151,2,4:29.0,J. Stokes makes 2-pt layup from 1 ft,,32,43
152,2,4:29.0,Shooting foul by T. Lawson (drawn by J. Stokes),,32,43
153,2,4:29.0,J. Stokes misses free throw 1 of 1,,32,43
154,2,4:27.0,,Defensive rebound by T. Mozgov,32,43
155,2,4:10.0,,T. Mozgov misses 2-pt jump shot from 20 ft,32,43
156,2,4:10.0,,Offensive rebound by Team,32,43
157,2,4:10.0,Loose ball foul by J. Stokes (drawn by K. Faried),,32,43
158,2,3:59.0,,T. Lawson makes 2-pt jump shot from 15 ft,32,45
159,2,3:45.0,Personal foul by K. Faried (drawn by J. Stokes),,32,45
160,2,3:32.0,T. Prince misses 2-pt jump shot from 5 ft,,32,45
161,2,3:29.0,Offensive rebound by J. Stokes,,32,45
162,2,3:15.0,T. Prince misses 3-pt jump shot from 23 ft,,32,45
163,2,3:14.0,,Defensive rebound by A. Afflalo,32,45
164,2,3:03.0,,Offensive foul by T. Mozgov (drawn by M. Conley),32,45
165,2,3:03.0,,Turnover by T. Mozgov (offensive foul),32,45
166,2,3:03.0,Memphis full timeout,,32,45
167,2,3:03.0,T. Allen enters the game for T. Prince,,32,45
168,2,2:38.0,J. Stokes makes 2-pt layup from 2 ft (assist by T. Allen),,34,45
169,2,2:21.0,,A. Afflalo misses 2-pt jump shot from 17 ft,34,45
170,2,2:20.0,Defensive rebound by M. Conley,,34,45
171,2,2:11.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),,36,45
172,2,1:53.0,,T. Lawson makes 2-pt jump shot from 19 ft,36,47
173,2,1:36.0,T. Allen misses 2-pt jump shot from 7 ft,,36,47
174,2,1:34.0,Offensive rebound by T. Allen,,36,47
175,2,1:32.0,Turnover by T. Allen (bad pass; steal by A. Afflalo),,36,47
176,2,1:24.0,,A. Afflalo misses 2-pt jump shot from 5 ft,36,47
177,2,1:22.0,Defensive rebound by C. Lee,,36,47
178,2,1:20.0,Turnover by C. Lee (discontinued dribble),,36,47
179,2,1:00.0,,W. Chandler misses 2-pt jump shot from 10 ft,36,47
180,2,1:00.0,,Offensive rebound by K. Faried,36,47
181,2,1:00.0,,K. Faried makes 2-pt layup from 1 ft,36,49
182,2,0:43.0,Shooting foul by T. Mozgov (drawn by M. Gasol),,36,49
183,2,0:43.0,M. Gasol makes free throw 1 of 2,,37,49
184,2,0:43.0,M. Gasol makes free throw 2 of 2,,38,49
185,2,0:28.0,,W. Chandler misses 3-pt jump shot from 24 ft (block by T. Allen),38,49
186,2,0:26.0,,Offensive rebound by W. Chandler,38,49
187,2,0:24.0,,W. Chandler misses 2-pt jump shot from 19 ft,38,49
188,2,0:22.0,Defensive rebound by C. Lee,,38,49
189,2,0:02.0,M. Conley misses 2-pt jump shot from 8 ft,,38,49
190,2,0:01.0,,Defensive rebound by K. Faried,38,49
191,2,0:00.0,,K. Faried misses 3-pt jump shot from 54 ft,38,49
192,2,0:00.0,,Offensive rebound by Team,38,49
193,3,11:43.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),,40,49
194,3,11:17.0,,W. Chandler misses 2-pt jump shot from 5 ft,40,49
195,3,11:15.0,,Offensive rebound by K. Faried,40,49
196,3,11:15.0,,K. Faried makes 2-pt dunk at rim,40,51
197,3,10:57.0,M. Gasol misses 2-pt jump shot from 19 ft,,40,51
198,3,10:56.0,,Defensive rebound by T. Lawson,40,51
199,3,10:48.0,,Turnover by T. Lawson (lost ball; steal by M. Conley),40,51
200,3,10:41.0,T. Allen misses 2-pt layup from 1 ft,,40,51
201,3,10:40.0,,Defensive rebound by T. Mozgov,40,51
202,3,10:34.0,,A. Afflalo makes 2-pt jump shot from 13 ft (assist by W. Chandler),40,53
203,3,10:06.0,M. Conley misses 3-pt jump shot from 25 ft,,40,53
204,3,10:05.0,,Defensive rebound by W. Chandler,40,53
205,3,10:04.0,,Personal foul by M. Conley (drawn by W. Chandler),40,53
206,3,9:53.0,,T. Lawson makes 2-pt jump shot from 17 ft,40,55
207,3,9:41.0,Turnover by M. Conley (bad pass; steal by T. Lawson),,40,55
208,3,9:37.0,,A. Afflalo makes 2-pt layup from 1 ft (assist by T. Lawson),40,57
209,3,9:28.0,Memphis full timeout,,40,57
210,3,9:13.0,M. Gasol makes 2-pt dunk at rim,,42,57
211,3,8:50.0,,K. Faried misses 2-pt layup from 2 ft,42,57
212,3,8:49.0,,Offensive rebound by T. Mozgov,42,57
213,3,8:46.0,,T. Mozgov misses 2-pt layup from 2 ft (block by J. Stokes),42,57
214,3,8:45.0,Defensive rebound by T. Allen,,42,57
215,3,8:27.0,C. Lee makes 3-pt jump shot from 25 ft (assist by M. Gasol),,45,57
216,3,8:12.0,,J. Nurkić enters the game for T. Mozgov,45,57
217,3,8:03.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by T. Lawson),45,60
218,3,7:44.0,M. Conley makes 2-pt layup from 2 ft,,47,60
219,3,7:32.0,,Shooting foul by J. Stokes (drawn by J. Nurkić),47,60
220,3,7:32.0,,J. Nurkić makes free throw 1 of 2,47,61
221,3,7:32.0,K. Koufos enters the game for J. Stokes,,47,61
222,3,7:32.0,,J. Nurkić misses free throw 2 of 2,47,61
223,3,7:30.0,,Offensive rebound by W. Chandler,47,61
224,3,7:25.0,,Denver full timeout,47,61
225,3,7:17.0,,J. Nurkić misses 2-pt layup from 2 ft,47,61
226,3,7:16.0,Defensive rebound by K. Koufos,,47,61
227,3,7:01.0,M. Gasol misses 2-pt layup from 1 ft (block by J. Nurkić),,47,61
228,3,6:59.0,,Defensive rebound by T. Lawson,47,61
229,3,6:57.0,,W. Chandler makes 2-pt jump shot from 5 ft,47,63
230,3,6:57.0,,Away from play foul by T. Allen (drawn by K. Faried),47,63
231,3,6:57.0,,K. Faried makes free throw 1 of 1,47,64
232,3,6:39.0,M. Conley makes 2-pt jump shot from 7 ft,,49,64
233,3,6:22.0,,T. Lawson makes 3-pt jump shot from 25 ft,49,67
234,3,6:04.0,C. Lee makes 2-pt layup from 1 ft,,51,67
235,3,5:54.0,,T. Lawson misses 2-pt layup from 2 ft (block by K. Koufos),51,67
236,3,5:52.0,Defensive rebound by C. Lee,,51,67
237,3,5:49.0,T. Allen makes 2-pt layup from 2 ft (assist by C. Lee),,53,67
238,3,5:26.0,,K. Faried misses 2-pt jump shot from 6 ft,53,67
239,3,5:25.0,Defensive rebound by M. Gasol,,53,67
240,3,5:14.0,M. Gasol misses 2-pt jump shot from 19 ft,,53,67
241,3,5:10.0,,Defensive rebound by T. Lawson,53,67
242,3,5:06.0,,Personal foul by M. Conley (drawn by T. Lawson),53,67
243,3,4:55.0,,Turnover by J. Nurkić (bad pass; steal by T. Allen),53,67
244,3,4:53.0,T. Allen makes 2-pt layup from 1 ft,,55,67
245,3,4:53.0,Shooting foul by W. Chandler (drawn by T. Allen),,55,67
246,3,4:53.0,T. Allen misses free throw 1 of 1,,55,67
247,3,4:52.0,,Defensive rebound by K. Faried,55,67
248,3,4:36.0,,K. Faried misses 2-pt layup from 1 ft (block by M. Gasol),55,67
249,3,4:34.0,Defensive rebound by M. Gasol,,55,67
250,3,4:33.0,M. Conley misses 2-pt layup from 2 ft (block by T. Lawson),,55,67
251,3,4:32.0,Offensive rebound by Team,,55,67
252,3,4:32.0,,J. Hickson enters the game for K. Faried,55,67
253,3,4:32.0,,D. Arthur enters the game for W. Chandler,55,67
254,3,4:19.0,K. Koufos misses 2-pt hook shot from 5 ft,,55,67
255,3,4:15.0,,Defensive rebound by J. Hickson,55,67
256,3,4:12.0,,Turnover by J. Hickson (lost ball; steal by T. Allen),55,67
257,3,4:06.0,C. Lee misses 2-pt jump shot from 20 ft,,55,67
258,3,4:04.0,,Defensive rebound by Team,55,67
259,3,3:50.0,,A. Afflalo makes 2-pt layup from 1 ft,55,69
260,3,3:41.0,M. Conley misses 2-pt jump shot from 7 ft,,55,69
261,3,3:39.0,,Defensive rebound by J. Nurkić,55,69
262,3,3:39.0,,Personal foul by T. Allen (drawn by T. Lawson),55,69
263,3,3:39.0,Technical foul by Team,,55,69
264,3,3:39.0,Technical foul by Team,,55,69
265,3,3:39.0,,A. Afflalo makes technical free throw,55,70
266,3,3:39.0,,A. Afflalo makes technical free throw,55,71
267,3,3:39.0,,T. Lawson misses free throw 1 of 2,55,71
268,3,3:39.0,,Offensive rebound by Team,55,71
269,3,3:39.0,,T. Lawson makes free throw 2 of 2,55,72
270,3,3:26.0,Turnover by M. Gasol (traveling),,55,72
271,3,3:15.0,,Turnover by J. Hickson (bad pass; steal by T. Allen),55,72
272,3,3:11.0,T. Allen misses 2-pt layup from 1 ft,,55,72
273,3,3:10.0,Offensive rebound by K. Koufos,,55,72
274,3,3:07.0,K. Koufos makes 2-pt layup from 1 ft,,57,72
275,3,3:02.0,Technical foul by M. Gasol,,57,72
276,3,3:02.0,,A. Afflalo makes technical free throw,57,73
277,3,2:48.0,,Turnover by A. Afflalo (lost ball),57,73
278,3,2:48.0,,Denver full timeout,57,73
279,3,2:48.0,N. Calathes enters the game for M. Conley,,57,73
280,3,2:29.0,N. Calathes misses 2-pt jump shot from 4 ft (block by D. Arthur),,57,73
281,3,2:26.0,,Defensive rebound by T. Lawson,57,73
282,3,2:18.0,,Shooting foul by N. Calathes (drawn by J. Nurkić),57,73
283,3,2:18.0,,J. Nurkić makes free throw 1 of 2,57,74
284,3,2:18.0,T. Prince enters the game for T. Allen,,57,74
285,3,2:18.0,,J. Nurkić makes free throw 2 of 2,57,75
286,3,2:11.0,Personal foul by D. Arthur (drawn by M. Gasol),,57,75
287,3,2:03.0,N. Calathes makes 2-pt jump shot from 15 ft,,59,75
288,3,1:45.0,,A. Afflalo makes 2-pt jump shot from 9 ft (assist by T. Lawson),59,77
289,3,1:33.0,Turnover by C. Lee (bad pass; steal by J. Nurkić),,59,77
290,3,1:27.0,,T. Lawson makes 2-pt jump shot from 14 ft,59,79
291,3,1:07.0,M. Gasol misses 2-pt jump shot from 4 ft (block by J. Nurkić),,59,79
292,3,1:07.0,Offensive rebound by Team,,59,79
293,3,1:07.0,V. Carter enters the game for C. Lee,,59,79
294,3,1:01.0,N. Calathes misses 2-pt jump shot from 17 ft (block by T. Lawson),,59,79
295,3,1:00.0,Offensive rebound by Team,,59,79
296,3,1:00.0,Turnover by Team (shot clock),,59,79
297,3,0:47.0,,D. Arthur makes 2-pt jump shot from 15 ft (assist by T. Lawson),59,81
298,3,0:36.0,V. Carter misses 3-pt jump shot from 25 ft,,59,81
299,3,0:35.0,,Defensive rebound by J. Nurkić,59,81
300,3,0:29.0,,D. Arthur makes 2-pt jump shot from 13 ft (assist by T. Lawson),59,83
301,3,0:11.0,Def 3 sec tech foul by J. Hickson,,59,83
302,3,0:11.0,V. Carter makes technical free throw,,60,83
303,3,0:02.0,T. Prince misses 2-pt layup from 2 ft (block by J. Nurkić),,60,83
304,3,0:01.0,Offensive rebound by M. Gasol,,60,83
305,3,0:00.0,M. Gasol misses 2-pt jump shot from 6 ft (block by J. Nurkić),,60,83
306,3,0:00.0,Offensive rebound by Team,,60,83
307,3,0:00.0,,Technical foul by J. Nurkić,60,83
308,3,0:00.0,Technical foul by N. Calathes,,60,83
309,4,11:42.0,,Shooting foul by J. Leuer (drawn by K. Faried),60,83
310,4,11:42.0,,K. Faried misses free throw 1 of 2,60,83
311,4,11:42.0,,Offensive rebound by Team,60,83
312,4,11:42.0,,K. Faried makes free throw 2 of 2,60,84
313,4,11:27.0,N. Calathes misses 2-pt jump shot from 19 ft,,60,84
314,4,11:25.0,,Defensive rebound by J. Nurkić,60,84
315,4,11:16.0,,D. Arthur misses 3-pt jump shot from 24 ft,60,84
316,4,11:14.0,Defensive rebound by K. Koufos,,60,84
317,4,11:05.0,T. Prince makes 2-pt jump shot from 13 ft (assist by N. Calathes),,62,84
318,4,10:46.0,,J. Nurkić makes 2-pt jump shot from 8 ft (assist by T. Lawson),62,86
319,4,10:25.0,V. Carter misses 2-pt layup from 2 ft,,62,86
320,4,10:24.0,,Defensive rebound by K. Faried,62,86
321,4,10:17.0,,Turnover by K. Faried (lost ball; steal by J. Leuer),62,86
322,4,10:14.0,Personal take foul by T. Lawson (drawn by N. Calathes),,62,86
323,4,10:06.0,J. Leuer misses 3-pt jump shot from 25 ft,,62,86
324,4,10:05.0,,Defensive rebound by J. Nurkić,62,86
325,4,9:48.0,,T. Lawson misses 2-pt jump shot from 19 ft,62,86
326,4,9:47.0,Defensive rebound by K. Koufos,,62,86
327,4,9:39.0,N. Calathes misses 3-pt jump shot from 26 ft,,62,86
328,4,9:37.0,,Defensive rebound by K. Faried,62,86
329,4,9:21.0,,J. Nurkić makes 2-pt jump shot from 16 ft (assist by T. Lawson),62,88
330,4,9:05.0,Turnover by T. Prince (traveling),,62,88
331,4,8:46.0,,W. Chandler misses 2-pt jump shot from 15 ft,62,88
332,4,8:44.0,Defensive rebound by J. Leuer,,62,88
333,4,8:35.0,T. Prince misses 3-pt jump shot from 22 ft,,62,88
334,4,8:34.0,,Defensive rebound by J. Nurkić,62,88
335,4,8:22.0,,T. Lawson makes 2-pt jump shot from 4 ft,62,90
336,4,8:22.0,,Shooting foul by N. Calathes (drawn by T. Lawson),62,90
337,4,8:22.0,Official timeout,,62,90
338,4,8:22.0,,A. Afflalo enters the game for D. Arthur,62,90
339,4,8:22.0,,T. Lawson makes free throw 1 of 1,62,91
340,4,8:03.0,K. Koufos makes 2-pt hook shot from 11 ft,,64,91
341,4,7:50.0,,W. Chandler misses 2-pt dunk at rim,64,91
342,4,7:46.0,Defensive rebound by J. Leuer,,64,91
343,4,7:43.0,J. Leuer misses 2-pt layup at rim,,64,91
344,4,7:42.0,,Defensive rebound by K. Faried,64,91
345,4,7:36.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by A. Afflalo),64,94
346,4,7:25.0,N. Calathes misses 2-pt layup from 1 ft,,64,94
347,4,7:23.0,Offensive rebound by J. Leuer,,64,94
348,4,7:20.0,J. Leuer makes 2-pt layup from 1 ft,,66,94
349,4,6:59.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by T. Lawson),66,96
350,4,6:44.0,J. Leuer makes 2-pt jump shot from 17 ft (assist by N. Calathes),,68,96
351,4,6:30.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by T. Lawson),68,99
352,4,6:23.0,Memphis full timeout,,68,99
353,4,6:23.0,,A. Gee enters the game for W. Chandler,68,99
354,4,6:23.0,,J. Hickson enters the game for T. Lawson,68,99
355,4,6:23.0,,E. Green enters the game for A. Afflalo,68,99
356,4,6:23.0,,G. Harris enters the game for K. Faried,68,99
357,4,6:23.0,Q. Pondexter enters the game for T. Prince,,68,99
358,4,6:23.0,J. Adams enters the game for V. Carter,,68,99
359,4,6:18.0,Turnover by J. Adams (lost ball; steal by G. Harris),,68,99
360,4,6:14.0,,G. Harris makes 2-pt layup from 2 ft,68,101
361,4,5:57.0,J. Adams makes 3-pt jump shot from 25 ft (assist by J. Leuer),,71,101
362,4,5:45.0,,Personal foul by J. Leuer (drawn by J. Hickson),71,101
363,4,5:45.0,J. Stokes enters the game for K. Koufos,,71,101
364,4,5:45.0,,T. Mozgov enters the game for J. Nurkić,71,101
365,4,5:31.0,,T. Mozgov misses 2-pt jump shot from 14 ft,71,101
366,4,5:29.0,Defensive rebound by N. Calathes,,71,101
367,4,5:21.0,J. Adams makes 2-pt layup from 2 ft (assist by N. Calathes),,73,101
368,4,5:05.0,,T. Mozgov makes 2-pt dunk at rim (assist by G. Harris),73,103
369,4,4:53.0,J. Stokes misses 2-pt jump shot from 9 ft,,73,103
370,4,4:52.0,,Defensive rebound by A. Gee,73,103
371,4,4:48.0,,E. Green misses 2-pt jump shot from 18 ft,73,103
372,4,4:46.0,Defensive rebound by J. Leuer,,73,103
373,4,4:33.0,J. Adams makes 2-pt jump shot from 10 ft (assist by N. Calathes),,75,103
374,4,4:20.0,,G. Harris misses 2-pt layup from 2 ft,75,103
375,4,4:19.0,Defensive rebound by J. Leuer,,75,103
376,4,4:14.0,Shooting foul by T. Mozgov (drawn by J. Stokes),,75,103
377,4,4:14.0,J. Stokes makes free throw 1 of 2,,76,103
378,4,4:14.0,J. Stokes misses free throw 2 of 2,,76,103
379,4,4:12.0,,Defensive rebound by E. Green,76,103
380,4,3:56.0,,Shooting foul by J. Stokes (drawn by A. Gee),76,103
381,4,3:56.0,,A. Gee makes free throw 1 of 2,76,104
382,4,3:56.0,,A. Gee makes free throw 2 of 2,76,105
383,4,3:41.0,J. Adams makes 2-pt jump shot from 17 ft (assist by J. Leuer),,78,105
384,4,3:25.0,,T. Mozgov misses 2-pt jump shot from 20 ft,78,105
385,4,3:25.0,Defensive rebound by Team,,78,105
386,4,3:13.0,Personal foul by G. Harris (drawn by J. Adams),,78,105
